,ID,Chemical_Name,Molecular_Weight (g/mol),pH,LogP,Carbon_Chain_Length,Functional_Group,label
396,397,Chemical_397,182.88,4.14,4.1,49,Ester,0
397,398,Chemical_398,176.6,10.81,-4.7,32,Aromatic Hydrocarbon,0
398,399,Chemical_399,121.86,10.36,-2.41,2,Ether,0
399,400,Chemical_400,90.56,1.65,0.78,45,Halogenated Hydrocarbon,0
400,401,Chemical_401,170.62,4.98,-1.69,7,Polymer,0
401,402,Chemical_402,67.33,5.62,-1.83,26,Alcohol,1
402,403,Chemical_403,82.06,11.86,-0.4,31,Aromatic Hydrocarbon,0
403,404,Chemical_404,144.28,2.67,-0.38,12,Polymer,0
404,405,Chemical_405,100.8,13.69,-4.27,35,Ester,0
405,406,Chemical_406,71.57,11.34,-3.79,49,Alcohol,1
406,407,Chemical_407,65.13,7.18,-0.67,11,Alcohol,1
407,408,Chemical_408,83.28,9.59,-3.69,26,Ether,0
408,409,Chemical_409,164.95,9.58,-1.31,2,Alkane,0
409,410,Chemical_410,92.56,5.57,-4.17,48,Halogenated Hydrocarbon,0
410,411,Chemical_411,49.35,3.28,5.0,12,Alkane,0
411,412,Chemical_412,183.35,6.72,-4.42,34,Ketone,1
412,413,Chemical_413,92.9,6.16,-1.9,16,Alkane,1
413,414,Chemical_414,147.38,12.86,-1.54,47,Alcohol,0
414,415,Chemical_415,102.97,5.53,3.84,40,Alkane,0
415,416,Chemical_416,154.12,3.6,-2.8,41,Alkane,0
416,417,Chemical_417,141.45,5.85,2.44,46,Ether,0
417,418,Chemical_418,87.63,9.09,-0.66,14,Alkane,0
418,419,Chemical_419,160.42,7.13,2.46,34,Ketone,1
419,420,Chemical_420,84.05,9.37,-4.69,47,Alkane,0
420,421,Chemical_421,147.03,11.12,-0.95,48,Aromatic Hydrocarbon,0
421,422,Chemical_422,157.87,9.5,0.23,8,Ketone,1
422,423,Chemical_423,124.29,10.11,-3.64,36,Ketone,0
423,424,Chemical_424,124.32,11.98,-3.18,28,Carboxylic Acid,0
424,425,Chemical_425,119.71,1.0,1.13,14,Polymer,0
425,426,Chemical_426,42.66,1.58,-3.25,34,Aromatic Hydrocarbon,0
426,427,Chemical_427,166.34,6.51,0.65,9,Halogenated Hydrocarbon,1
427,428,Chemical_428,146.63,13.36,-0.26,7,Polymer,1
428,429,Chemical_429,138.67,5.67,-2.28,31,Aromatic Hydrocarbon,0
429,430,Chemical_430,65.26,4.62,-2.01,1,Ether,0
430,431,Chemical_431,176.92,5.37,3.98,16,Alkane,0
431,432,Chemical_432,87.46,13.79,1.1,6,Ether,1
432,433,Chemical_433,189.32,5.52,-4.76,10,Ketone,0
433,434,Chemical_434,125.63,7.33,4.46,21,Alcohol,0
434,435,Chemical_435,59.51,7.85,-2.12,25,Aromatic Hydrocarbon,1
435,436,Chemical_436,55.04,8.68,1.04,49,Alcohol,1
436,437,Chemical_437,137.11,8.37,3.26,41,Halogenated Hydrocarbon,0
437,438,Chemical_438,97.68,2.75,2.77,33,Halogenated Hydrocarbon,0
438,439,Chemical_439,48.85,7.79,-4.12,45,Carboxylic Acid,1
439,440,Chemical_440,78.87,11.07,-3.58,34,Alcohol,1
440,441,Chemical_441,144.95,0.07,-3.97,43,Alcohol,0
441,442,Chemical_442,41.87,0.56,0.27,48,Alkane,0
442,443,Chemical_443,195.24,2.26,-4.72,12,Polymer,0
443,444,Chemical_444,144.02,8.31,4.34,14,Alcohol,0
444,445,Chemical_445,148.81,0.25,-0.57,23,Ester,0
445,446,Chemical_446,110.68,9.65,2.73,1,Carboxylic Acid,1
446,447,Chemical_447,129.66,12.22,-3.59,2,Ester,0
447,448,Chemical_448,159.85,12.01,4.27,32,Ether,0
448,449,Chemical_449,55.59,7.3,-0.8,3,Ether,1
449,450,Chemical_450,43.03,5.37,3.84,6,Polymer,1
450,451,Chemical_451,109.47,2.14,1.95,43,Aromatic Hydrocarbon,0
451,452,Chemical_452,78.99,6.81,0.59,28,Alkane,1
452,453,Chemical_453,113.23,10.47,1.79,35,Ester,0
453,454,Chemical_454,80.63,9.19,4.42,50,Ketone,0
454,455,Chemical_455,86.18,11.06,1.07,33,Carboxylic Acid,1
455,456,Chemical_456,140.14,13.44,2.92,38,Ether,0
456,457,Chemical_457,44.1,13.39,-3.25,4,Alkane,0
457,458,Chemical_458,113.5,3.3,1.28,3,Ketone,1
458,459,Chemical_459,99.83,7.1,-2.59,28,Polymer,1
459,460,Chemical_460,126.26,9.66,0.58,24,Alcohol,0
460,461,Chemical_461,197.04,7.98,3.17,40,Alkane,0
461,462,Chemical_462,89.94,1.23,-0.02,24,Polymer,0
462,463,Chemical_463,114.74,3.7,4.87,9,Polymer,1
463,464,Chemical_464,140.15,0.49,-1.1,49,Polymer,0
464,465,Chemical_465,78.74,0.37,1.88,49,Ketone,0
465,466,Chemical_466,59.65,9.19,-4.42,4,Alcohol,1
466,467,Chemical_467,69.66,2.39,3.16,22,Alcohol,1
467,468,Chemical_468,60.97,0.09,2.94,25,Ester,0
468,469,Chemical_469,193.59,11.0,3.64,12,Aromatic Hydrocarbon,0
469,470,Chemical_470,139.29,0.88,-4.77,13,Ether,0
470,471,Chemical_471,119.1,11.82,-2.87,33,Carboxylic Acid,0
471,472,Chemical_472,136.3,2.66,-4.31,25,Halogenated Hydrocarbon,0
472,473,Chemical_473,182.19,3.4,-1.13,13,Halogenated Hydrocarbon,0
473,474,Chemical_474,146.79,10.21,-4.9,10,Ketone,0
474,475,Chemical_475,54.55,6.9,4.09,47,Ether,0
475,476,Chemical_476,169.28,1.57,-4.44,27,Aromatic Hydrocarbon,0
476,477,Chemical_477,42.49,10.41,3.53,31,Alcohol,1
477,478,Chemical_478,159.96,3.92,-4.03,37,Ether,0
478,479,Chemical_479,172.41,9.91,3.82,17,Alkane,0
479,480,Chemical_480,126.34,11.08,0.09,6,Alkane,1
480,481,Chemical_481,45.6,2.07,3.62,7,Ether,1
481,482,Chemical_482,158.85,1.19,1.06,26,Carboxylic Acid,0
482,483,Chemical_483,192.71,4.97,-3.71,41,Ether,0
483,484,Chemical_484,138.57,11.21,0.58,10,Ether,0
484,485,Chemical_485,63.98,7.59,-0.08,4,Ether,1
485,486,Chemical_486,73.8,0.79,-3.23,31,Ether,0
486,487,Chemical_487,158.26,11.09,-3.33,19,Ester,0
487,488,Chemical_488,174.33,3.46,2.55,23,Ketone,0
488,489,Chemical_489,76.75,0.68,-4.42,11,Ketone,0
489,490,Chemical_490,182.9,4.19,-2.61,40,Carboxylic Acid,0
490,491,Chemical_491,178.91,2.25,-2.96,8,Aromatic Hydrocarbon,0
491,492,Chemical_492,137.37,11.2,3.28,16,Alcohol,0
492,493,Chemical_493,60.84,12.76,-1.53,12,Polymer,0
493,494,Chemical_494,142.82,8.68,-3.26,6,Ketone,0
494,495,Chemical_495,74.5,6.47,-2.54,43,Polymer,1
495,496,Chemical_496,50.97,9.45,-4.59,35,Ketone,0
496,497,Chemical_497,72.09,11.78,-0.58,10,Polymer,0
497,498,Chemical_498,43.84,10.86,1.27,50,Alcohol,1
498,499,Chemical_499,67.88,8.88,-4.8,12,Carboxylic Acid,1
499,500,Chemical_500,63.67,1.97,-0.33,50,Carboxylic Acid,1
500,501,Chemical_501,131.28,11.85,1.15,26,Carboxylic Acid,0
501,502,Chemical_502,167.39,8.95,-0.73,9,Ketone,1
502,503,Chemical_503,107.58,11.2,4.16,32,Halogenated Hydrocarbon,0
503,504,Chemical_504,78.69,5.34,-2.6,44,Carboxylic Acid,1
504,505,Chemical_505,104.57,0.98,4.94,4,Halogenated Hydrocarbon,1
505,506,Chemical_506,48.7,7.73,0.31,15,Carboxylic Acid,1
506,507,Chemical_507,102.4,8.8,-0.61,9,Alcohol,1
507,508,Chemical_508,41.02,1.87,-1.68,34,Polymer,0
508,509,Chemical_509,132.49,9.63,-2.86,20,Carboxylic Acid,0
509,510,Chemical_510,116.73,9.29,2.4,26,Alkane,0
510,511,Chemical_511,84.82,12.76,4.41,22,Alcohol,1
511,512,Chemical_512,84.53,11.32,3.04,27,Carboxylic Acid,1
512,513,Chemical_513,137.06,12.2,-1.07,27,Polymer,0
513,514,Chemical_514,128.98,12.27,-2.51,46,Carboxylic Acid,0
514,515,Chemical_515,86.88,8.26,-1.31,42,Ketone,0
515,516,Chemical_516,163.06,11.03,4.36,42,Halogenated Hydrocarbon,0
516,517,Chemical_517,63.24,11.28,1.08,37,Polymer,0
517,518,Chemical_518,91.91,6.29,-1.46,48,Aromatic Hydrocarbon,1
518,519,Chemical_519,195.32,3.59,-4.58,43,Carboxylic Acid,0
519,520,Chemical_520,64.44,12.74,0.95,4,Ketone,1
520,521,Chemical_521,117.04,12.67,3.75,5,Ether,1
521,522,Chemical_522,102.48,10.0,-4.88,16,Ester,0
522,523,Chemical_523,73.6,6.44,-4.37,36,Carboxylic Acid,1
523,524,Chemical_524,109.28,7.87,-3.45,10,Polymer,1
524,525,Chemical_525,169.4,12.02,4.81,45,Alkane,0
525,526,Chemical_526,60.0,0.5,-3.69,5,Alkane,0
526,527,Chemical_527,121.42,1.94,1.94,19,Polymer,0
527,528,Chemical_528,160.28,6.17,3.08,27,Alcohol,0
528,529,Chemical_529,57.95,13.79,0.12,31,Ether,0
529,530,Chemical_530,48.85,10.42,2.7,16,Alcohol,1
530,531,Chemical_531,194.61,2.7,-4.36,37,Ketone,0
531,532,Chemical_532,104.1,12.86,-1.4,4,Carboxylic Acid,0
532,533,Chemical_533,132.17,7.46,0.63,39,Ether,1
533,534,Chemical_534,123.81,3.71,2.38,29,Halogenated Hydrocarbon,0
534,535,Chemical_535,100.18,0.6,4.44,41,Aromatic Hydrocarbon,0
535,536,Chemical_536,152.36,2.46,-4.8,47,Ether,0
536,537,Chemical_537,170.32,11.27,-2.3,32,Alkane,0
537,538,Chemical_538,179.28,7.07,-3.85,29,Ketone,1
538,539,Chemical_539,117.44,11.45,4.31,26,Ester,0
539,540,Chemical_540,184.66,1.64,-2.14,29,Ketone,0
540,541,Chemical_541,133.95,2.76,4.53,29,Ether,0
541,542,Chemical_542,195.49,2.08,2.41,26,Ester,0
542,543,Chemical_543,110.79,9.48,1.27,28,Alkane,0
543,544,Chemical_544,196.97,13.32,-2.87,11,Ketone,0
544,545,Chemical_545,162.55,10.85,2.5,7,Halogenated Hydrocarbon,1
545,546,Chemical_546,126.87,8.83,1.36,28,Halogenated Hydrocarbon,0
546,547,Chemical_547,77.8,0.57,1.14,48,Carboxylic Acid,1
547,548,Chemical_548,139.98,10.13,-1.15,24,Alkane,0
548,549,Chemical_549,176.58,1.68,-0.23,22,Ether,0
549,550,Chemical_550,171.23,2.89,-1.01,10,Alkane,0
550,551,Chemical_551,184.11,3.62,-3.06,35,Ketone,0
551,552,Chemical_552,183.21,2.0,1.96,37,Alcohol,0
552,553,Chemical_553,177.92,13.36,1.66,47,Polymer,0
553,554,Chemical_554,172.95,12.46,-4.5,21,Halogenated Hydrocarbon,0
554,555,Chemical_555,174.54,8.85,-1.48,5,Polymer,0
555,556,Chemical_556,78.83,6.25,3.6,17,Aromatic Hydrocarbon,0
556,557,Chemical_557,102.05,9.28,-4.1,8,Alkane,0
557,558,Chemical_558,172.71,11.66,4.36,5,Ketone,1
558,559,Chemical_559,171.85,9.45,-0.11,34,Alkane,0
559,560,Chemical_560,116.34,9.12,0.13,21,Carboxylic Acid,0
560,561,Chemical_561,85.51,4.81,-4.03,36,Alkane,0
561,562,Chemical_562,96.5,9.23,4.03,15,Ketone,0
562,563,Chemical_563,66.98,1.23,3.26,22,Alcohol,1
563,564,Chemical_564,58.37,11.57,2.56,45,Carboxylic Acid,1
564,565,Chemical_565,80.2,10.65,0.4,16,Alcohol,1
565,566,Chemical_566,100.88,1.97,-2.68,9,Ether,0
566,567,Chemical_567,146.8,7.87,3.78,13,Halogenated Hydrocarbon,0
567,568,Chemical_568,127.64,13.96,4.76,43,Ether,0
568,569,Chemical_569,104.62,0.1,0.62,44,Halogenated Hydrocarbon,0
569,570,Chemical_570,63.08,0.4,3.62,36,Ester,0
570,571,Chemical_571,124.19,7.8,-4.73,19,Halogenated Hydrocarbon,1
571,572,Chemical_572,54.94,6.64,2.59,34,Ester,1
572,573,Chemical_573,113.83,13.37,3.77,42,Carboxylic Acid,0
573,574,Chemical_574,68.93,6.84,-2.85,31,Carboxylic Acid,1
574,575,Chemical_575,182.8,9.42,-2.91,15,Ether,0
575,576,Chemical_576,63.16,3.38,-2.5,48,Ketone,0
576,577,Chemical_577,78.15,13.91,-3.73,48,Alcohol,1
577,578,Chemical_578,142.13,12.26,-3.06,32,Carboxylic Acid,0
578,579,Chemical_579,134.24,4.09,0.66,29,Halogenated Hydrocarbon,0
579,580,Chemical_580,79.63,6.66,-0.44,2,Ester,1
580,581,Chemical_581,102.77,6.08,3.42,29,Carboxylic Acid,0
581,582,Chemical_582,165.54,5.44,2.87,47,Carboxylic Acid,0
582,583,Chemical_583,122.36,0.97,-1.24,15,Ether,0
583,584,Chemical_584,67.9,1.23,0.57,13,Ester,0
584,585,Chemical_585,111.47,2.51,0.12,23,Carboxylic Acid,0
585,586,Chemical_586,133.22,10.46,3.79,21,Ether,0
586,587,Chemical_587,174.76,0.88,1.6,6,Alkane,1
587,588,Chemical_588,68.9,2.52,-0.36,45,Ester,0
588,589,Chemical_589,98.15,3.32,-1.67,25,Aromatic Hydrocarbon,0
589,590,Chemical_590,174.52,0.92,1.45,22,Ester,0
590,591,Chemical_591,183.62,10.73,-1.11,22,Aromatic Hydrocarbon,0
591,592,Chemical_592,178.85,0.38,-0.99,16,Ketone,0
592,593,Chemical_593,91.29,4.02,3.58,6,Alcohol,1
593,594,Chemical_594,42.42,13.87,3.28,32,Alkane,0
594,595,Chemical_595,199.88,11.43,1.17,7,Alkane,1
595,596,Chemical_596,157.06,10.23,-4.27,16,Halogenated Hydrocarbon,0
596,597,Chemical_597,142.25,0.04,-0.12,49,Alcohol,0
597,598,Chemical_598,50.46,3.62,1.61,42,Carboxylic Acid,1
598,599,Chemical_599,185.67,3.6,-3.54,45,Alkane,0
599,600,Chemical_600,77.91,5.98,-3.04,9,Alcohol,1
600,601,Chemical_601,81.0,11.94,-1.89,7,Ketone,0
601,602,Chemical_602,88.77,5.17,4.67,42,Ether,0
602,603,Chemical_603,181.14,1.31,2.64,39,Halogenated Hydrocarbon,0
603,604,Chemical_604,184.24,12.74,-1.99,5,Alkane,0
604,605,Chemical_605,152.78,11.47,-0.36,39,Ester,0
605,606,Chemical_606,109.07,11.7,4.21,44,Alcohol,0
606,607,Chemical_607,175.72,12.4,-1.73,31,Aromatic Hydrocarbon,0
607,608,Chemical_608,176.23,7.76,4.91,39,Ester,0
608,609,Chemical_609,57.12,2.99,4.16,7,Carboxylic Acid,1
609,610,Chemical_610,161.64,3.85,-3.29,37,Carboxylic Acid,0
610,611,Chemical_611,68.54,1.08,0.84,31,Carboxylic Acid,1
611,612,Chemical_612,148.64,11.91,-4.13,48,Halogenated Hydrocarbon,0
612,613,Chemical_613,89.49,10.84,3.77,15,Alkane,0
613,614,Chemical_614,89.83,10.91,0.0,4,Ketone,1
614,615,Chemical_615,171.87,9.02,-2.24,6,Alkane,0
615,616,Chemical_616,130.9,4.71,-0.33,31,Halogenated Hydrocarbon,0
616,617,Chemical_617,157.05,8.24,-2.44,3,Ketone,0
617,618,Chemical_618,55.81,7.95,3.48,17,Ester,0
618,619,Chemical_619,90.28,0.53,2.68,47,Ester,0
619,620,Chemical_620,42.45,4.91,1.92,47,Carboxylic Acid,1
620,621,Chemical_621,75.84,3.77,-3.59,16,Ether,0
621,622,Chemical_622,110.72,0.95,-3.51,22,Ketone,0
622,623,Chemical_623,179.06,4.79,1.24,37,Ester,0
623,624,Chemical_624,167.31,6.15,4.62,45,Polymer,0
624,625,Chemical_625,73.71,6.02,-4.27,10,Aromatic Hydrocarbon,1
625,626,Chemical_626,161.19,4.53,0.48,2,Alcohol,1
626,627,Chemical_627,128.14,2.32,0.44,38,Ester,0
627,628,Chemical_628,73.55,8.42,-0.39,24,Aromatic Hydrocarbon,0
628,629,Chemical_629,191.68,11.1,1.2,8,Ester,1
629,630,Chemical_630,179.31,3.58,-2.24,41,Carboxylic Acid,0
630,631,Chemical_631,45.94,5.08,4.17,35,Ether,0
631,632,Chemical_632,143.96,0.63,-3.87,7,Ether,0
632,633,Chemical_633,122.06,2.83,-1.09,28,Alkane,0
633,634,Chemical_634,171.43,10.12,-1.76,7,Aromatic Hydrocarbon,0
634,635,Chemical_635,122.33,0.5,-4.88,37,Alkane,0
635,636,Chemical_636,185.27,2.57,1.84,15,Ketone,0
636,637,Chemical_637,186.77,12.23,-2.68,3,Ester,0
637,638,Chemical_638,96.5,6.25,-1.97,6,Ether,1
638,639,Chemical_639,182.23,0.8,-3.83,36,Halogenated Hydrocarbon,0
639,640,Chemical_640,130.67,12.47,3.52,28,Carboxylic Acid,0
640,641,Chemical_641,140.4,9.66,3.86,36,Polymer,0
641,642,Chemical_642,168.1,10.08,0.97,3,Carboxylic Acid,1
642,643,Chemical_643,141.18,9.29,3.2,39,Ester,0
643,644,Chemical_644,97.85,5.05,-2.71,18,Ether,0
644,645,Chemical_645,157.27,0.85,-3.78,47,Ester,0
645,646,Chemical_646,109.41,10.85,-2.74,46,Ketone,0
646,647,Chemical_647,73.37,1.7,0.67,41,Halogenated Hydrocarbon,0
647,648,Chemical_648,171.48,12.13,-0.73,2,Polymer,1
648,649,Chemical_649,54.42,1.34,-4.72,31,Ketone,0
649,650,Chemical_650,53.4,9.98,1.63,24,Ester,0
650,651,Chemical_651,170.55,7.23,-0.71,25,Ester,1
651,652,Chemical_652,164.24,7.43,0.26,33,Ether,1
652,653,Chemical_653,183.09,0.26,-0.85,34,Halogenated Hydrocarbon,0
653,654,Chemical_654,108.72,10.45,-2.22,35,Ester,0
654,655,Chemical_655,49.6,10.7,1.07,5,Aromatic Hydrocarbon,1
655,656,Chemical_656,85.71,4.79,2.79,13,Ester,0
656,657,Chemical_657,134.3,5.15,3.22,42,Ester,0
657,658,Chemical_658,140.02,4.03,2.99,39,Carboxylic Acid,0
658,659,Chemical_659,193.38,4.63,-4.31,37,Aromatic Hydrocarbon,0
659,660,Chemical_660,130.71,13.38,-4.19,33,Ether,0
660,661,Chemical_661,199.67,7.16,3.07,40,Ketone,0
661,662,Chemical_662,114.79,3.08,3.35,41,Carboxylic Acid,0
662,663,Chemical_663,157.94,10.83,-0.61,20,Halogenated Hydrocarbon,0
663,664,Chemical_664,142.82,4.27,-4.4,8,Alcohol,0
664,665,Chemical_665,181.69,5.72,0.32,7,Alcohol,1
665,666,Chemical_666,92.72,2.7,-3.24,16,Halogenated Hydrocarbon,0
666,667,Chemical_667,184.71,10.69,-4.46,10,Alkane,0
667,668,Chemical_668,77.39,2.99,-4.86,14,Ester,0
668,669,Chemical_669,146.81,5.55,-4.85,21,Carboxylic Acid,0
669,670,Chemical_670,120.68,12.82,-2.01,10,Carboxylic Acid,0
670,671,Chemical_671,53.28,12.14,3.25,8,Polymer,1
671,672,Chemical_672,191.23,11.11,-0.96,11,Alkane,0
672,673,Chemical_673,59.47,11.08,1.21,49,Polymer,0
673,674,Chemical_674,197.2,11.85,-3.23,46,Halogenated Hydrocarbon,0
674,675,Chemical_675,153.47,11.15,4.61,34,Ketone,0
675,676,Chemical_676,183.33,12.48,4.51,19,Halogenated Hydrocarbon,0
676,677,Chemical_677,59.02,13.6,-0.77,22,Carboxylic Acid,1
677,678,Chemical_678,51.17,8.26,4.1,14,Alkane,0
678,679,Chemical_679,119.58,12.28,-0.66,27,Alkane,0
679,680,Chemical_680,135.97,2.78,-1.03,34,Ester,0
680,681,Chemical_681,46.87,9.51,4.21,49,Ketone,0
681,682,Chemical_682,87.1,4.7,4.63,41,Ester,0
682,683,Chemical_683,144.26,8.42,0.9,30,Polymer,0
683,684,Chemical_684,54.66,1.53,-0.33,35,Ether,0
684,685,Chemical_685,100.44,3.43,1.03,33,Ether,0
685,686,Chemical_686,56.44,1.9,-3.34,32,Carboxylic Acid,1
686,687,Chemical_687,148.71,3.55,-0.62,48,Aromatic Hydrocarbon,0
687,688,Chemical_688,114.46,4.73,2.49,12,Ketone,0
688,689,Chemical_689,42.93,8.46,-1.46,42,Ether,0
689,690,Chemical_690,147.85,12.82,3.21,26,Polymer,0
690,691,Chemical_691,86.86,13.94,0.93,45,Alcohol,1
691,692,Chemical_692,145.57,10.6,2.51,45,Ether,0
692,693,Chemical_693,130.01,0.51,-2.04,43,Polymer,0
693,694,Chemical_694,143.74,13.05,-4.99,4,Alkane,0
694,695,Chemical_695,197.16,10.78,-1.23,16,Polymer,0
695,696,Chemical_696,146.72,9.01,-0.82,13,Aromatic Hydrocarbon,0
696,697,Chemical_697,103.34,1.99,4.5,32,Alcohol,0
697,698,Chemical_698,128.05,8.66,4.06,34,Carboxylic Acid,0
698,699,Chemical_699,73.89,1.36,3.04,49,Halogenated Hydrocarbon,0
699,700,Chemical_700,182.77,2.4,-3.69,36,Ester,0
700,701,Chemical_701,91.13,3.76,-2.93,26,Aromatic Hydrocarbon,0
701,702,Chemical_702,41.36,9.17,1.3,27,Carboxylic Acid,1
702,703,Chemical_703,55.86,7.56,2.43,43,Polymer,1
703,704,Chemical_704,179.67,8.91,2.9,21,Carboxylic Acid,0
704,705,Chemical_705,51.29,2.13,1.27,40,Aromatic Hydrocarbon,0
705,706,Chemical_706,60.27,8.35,-4.66,29,Ether,0
706,707,Chemical_707,74.97,8.3,0.49,6,Alkane,1
707,708,Chemical_708,107.97,10.19,3.13,4,Aromatic Hydrocarbon,1
708,709,Chemical_709,175.23,2.89,2.41,7,Alcohol,1
709,710,Chemical_710,80.34,3.64,-0.16,6,Aromatic Hydrocarbon,1
710,711,Chemical_711,66.04,0.45,1.59,15,Halogenated Hydrocarbon,0
711,712,Chemical_712,43.6,1.75,-1.3,7,Alcohol,1
712,713,Chemical_713,55.2,7.07,4.01,15,Alkane,0
713,714,Chemical_714,91.76,8.78,-4.84,21,Carboxylic Acid,1
714,715,Chemical_715,108.73,5.69,-0.25,48,Ester,0
715,716,Chemical_716,46.52,11.79,3.47,19,Ester,0
716,717,Chemical_717,60.13,13.86,-4.47,9,Ester,0
717,718,Chemical_718,124.99,1.42,2.05,35,Aromatic Hydrocarbon,0
718,719,Chemical_719,63.1,6.53,-3.54,45,Carboxylic Acid,1
719,720,Chemical_720,172.46,1.44,0.46,6,Halogenated Hydrocarbon,1
720,721,Chemical_721,133.95,0.74,3.52,47,Aromatic Hydrocarbon,0
721,722,Chemical_722,198.03,4.28,-1.2,1,Carboxylic Acid,0
722,723,Chemical_723,157.27,7.2,1.0,26,Ester,1
723,724,Chemical_724,104.3,6.49,3.43,13,Ether,0
724,725,Chemical_725,41.15,8.17,-4.22,10,Halogenated Hydrocarbon,0
725,726,Chemical_726,139.8,7.26,2.14,48,Carboxylic Acid,1
726,727,Chemical_727,169.23,9.64,4.05,48,Alcohol,0
727,728,Chemical_728,195.54,4.45,-2.14,14,Alkane,0
728,729,Chemical_729,57.45,6.35,-1.96,31,Alkane,1
729,730,Chemical_730,190.65,0.78,1.01,19,Halogenated Hydrocarbon,0
730,731,Chemical_731,129.12,12.88,3.62,38,Halogenated Hydrocarbon,0
731,732,Chemical_732,99.64,2.58,-2.73,1,Polymer,0
732,733,Chemical_733,73.77,3.12,-2.41,39,Aromatic Hydrocarbon,0
733,734,Chemical_734,42.19,13.03,3.46,39,Ketone,0
734,735,Chemical_735,101.55,5.51,1.28,50,Polymer,0
735,736,Chemical_736,77.18,8.44,4.85,32,Alcohol,1
736,737,Chemical_737,115.67,6.84,4.66,34,Ether,0
737,738,Chemical_738,119.72,2.76,-4.16,30,Ketone,0
738,739,Chemical_739,75.48,6.09,-1.93,49,Polymer,1
739,740,Chemical_740,127.17,4.18,-4.04,3,Ketone,0
740,741,Chemical_741,125.83,4.22,-2.83,26,Polymer,0
741,742,Chemical_742,178.24,0.35,0.96,8,Ketone,1
742,743,Chemical_743,44.18,7.27,-2.27,6,Alcohol,1
743,744,Chemical_744,181.48,9.73,3.85,41,Ketone,0
744,745,Chemical_745,71.0,2.09,-0.12,38,Halogenated Hydrocarbon,0
745,746,Chemical_746,74.15,2.16,-0.97,33,Alkane,0
746,747,Chemical_747,127.54,6.3,-2.49,35,Alkane,1
747,748,Chemical_748,49.97,9.78,0.49,48,Carboxylic Acid,1
748,749,Chemical_749,40.34,13.84,4.72,14,Ketone,0
749,750,Chemical_750,173.72,0.29,-2.61,7,Carboxylic Acid,0
750,751,Chemical_751,113.6,3.77,2.57,47,Ether,0
751,752,Chemical_752,102.36,10.03,3.07,31,Carboxylic Acid,0
752,753,Chemical_753,136.87,6.08,-0.85,23,Ester,1
753,754,Chemical_754,129.8,7.74,4.55,31,Alkane,0
754,755,Chemical_755,140.98,7.22,2.15,23,Ketone,1
755,756,Chemical_756,151.85,4.52,-1.73,24,Carboxylic Acid,0
756,757,Chemical_757,155.39,8.07,2.31,44,Ester,0
757,758,Chemical_758,143.26,11.95,-0.77,27,Aromatic Hydrocarbon,0
758,759,Chemical_759,56.33,1.9,4.97,20,Carboxylic Acid,1
759,760,Chemical_760,55.14,7.05,-3.35,26,Ketone,1
760,761,Chemical_761,119.07,3.55,1.55,21,Ether,0
761,762,Chemical_762,45.21,7.65,-3.27,17,Ketone,1
762,763,Chemical_763,93.06,8.63,4.3,36,Ketone,0
763,764,Chemical_764,46.07,6.82,-1.22,19,Halogenated Hydrocarbon,1
764,765,Chemical_765,170.02,9.56,4.37,47,Alkane,0
765,766,Chemical_766,118.26,2.12,-1.9,23,Carboxylic Acid,0
766,767,Chemical_767,177.4,7.77,-1.92,42,Ester,1
767,768,Chemical_768,149.47,6.45,3.22,2,Aromatic Hydrocarbon,1
768,769,Chemical_769,170.72,1.26,-2.21,24,Ester,0
769,770,Chemical_770,127.61,3.47,-0.83,48,Ketone,0
770,771,Chemical_771,168.0,0.15,-2.26,3,Halogenated Hydrocarbon,0
771,772,Chemical_772,98.01,8.03,2.26,20,Alkane,0
772,773,Chemical_773,95.29,7.55,-3.77,19,Alcohol,1
773,774,Chemical_774,167.46,1.09,2.31,35,Ester,0
774,775,Chemical_775,117.59,0.77,1.7,24,Ether,0
775,776,Chemical_776,45.86,11.56,-3.39,25,Halogenated Hydrocarbon,0
776,777,Chemical_777,59.12,12.2,-3.48,11,Aromatic Hydrocarbon,0
777,778,Chemical_778,85.98,1.61,-1.67,34,Halogenated Hydrocarbon,0
778,779,Chemical_779,160.86,5.98,0.16,48,Alcohol,0
779,780,Chemical_780,100.6,2.29,-3.41,16,Alcohol,0
780,781,Chemical_781,48.35,5.23,-4.74,19,Halogenated Hydrocarbon,0
781,782,Chemical_782,143.67,10.26,4.0,37,Ether,0
782,783,Chemical_783,167.96,3.2,1.3,27,Ketone,0
783,784,Chemical_784,88.12,9.33,-4.71,45,Ether,0
784,785,Chemical_785,189.92,2.55,-2.94,24,Aromatic Hydrocarbon,0
785,786,Chemical_786,54.26,4.69,-4.2,39,Alkane,0
786,787,Chemical_787,78.05,0.99,-2.82,30,Polymer,0
787,788,Chemical_788,122.28,11.11,0.9,44,Aromatic Hydrocarbon,0
788,789,Chemical_789,61.03,7.56,0.35,16,Carboxylic Acid,1
789,790,Chemical_790,192.72,8.76,-0.65,39,Halogenated Hydrocarbon,0
790,791,Chemical_791,113.32,3.65,-2.7,23,Alkane,0
791,792,Chemical_792,69.36,5.28,2.78,42,Aromatic Hydrocarbon,0
792,793,Chemical_793,81.62,11.85,1.25,35,Alkane,0
793,794,Chemical_794,41.94,10.02,-4.14,1,Ether,0
794,795,Chemical_795,52.82,12.91,-4.23,45,Ester,0
795,796,Chemical_796,60.18,12.25,0.65,29,Ester,0
