,Age,Gender,Location,Education,Income,Purchase History,Campaign Participation,label
458,31,Male,"Boston, MA",Master's,65350,3,No,1
459,45,Male,"Los Angeles, CA",Master's,79561,3,Yes,1
460,22,Male,"New York, NY",Master's,61955,6,Yes,1
461,64,Female,"Boston, MA",High School,71240,6,No,1
462,47,Female,"Boston, MA",Bachelor's,30093,7,Yes,1
463,63,Female,"Los Angeles, CA",Bachelor's,16155,4,Yes,1
464,22,Male,"Los Angeles, CA",Bachelor's,56607,6,No,0
465,29,Female,"Boston, MA",High School,43487,7,No,0
466,33,Female,"Chicago, IL",High School,65668,8,Yes,1
467,43,Male,"Boston, MA",Bachelor's,30963,2,No,0
468,43,Female,"Los Angeles, CA",High School,60124,2,Yes,1
469,38,Female,"New York, NY",Bachelor's,62870,3,Yes,1
470,56,Male,"New York, NY",High School,66547,4,Yes,0
471,53,Male,"Chicago, IL",Master's,74110,9,No,1
472,50,Male,"Boston, MA",Master's,63554,0,No,1
473,47,Female,"New York, NY",Bachelor's,30936,6,Yes,1
474,54,Female,"Boston, MA",High School,14426,8,Yes,1
475,40,Female,"Los Angeles, CA",High School,98839,7,No,1
476,27,Male,"New York, NY",Master's,37606,4,No,0
477,22,Male,"Chicago, IL",Master's,57832,3,No,1
478,53,Female,"Los Angeles, CA",High School,38151,6,Yes,1
479,51,Female,"Chicago, IL",High School,89303,4,No,1
480,48,Male,"Los Angeles, CA",High School,21308,6,No,0
481,27,Male,"New York, NY",High School,72522,0,Yes,0
482,36,Male,"Chicago, IL",High School,55671,0,Yes,0
483,49,Male,"Chicago, IL",High School,12204,9,Yes,1
484,18,Female,"Los Angeles, CA",Bachelor's,97265,2,No,1
485,22,Male,"Chicago, IL",High School,41131,1,Yes,0
486,62,Female,"Los Angeles, CA",Master's,62428,1,Yes,1
487,21,Female,"Los Angeles, CA",Bachelor's,43870,6,Yes,0
488,33,Female,"Los Angeles, CA",High School,59067,9,Yes,1
489,41,Male,"Los Angeles, CA",Master's,68585,1,No,1
490,33,Male,"New York, NY",Bachelor's,31607,3,Yes,0
491,19,Male,"Los Angeles, CA",Master's,34968,1,No,0
492,45,Male,"Boston, MA",High School,21908,5,No,0
493,49,Female,"Chicago, IL",High School,36423,7,No,1
494,44,Male,"Boston, MA",High School,84707,9,Yes,1
495,37,Male,"New York, NY",High School,88257,3,No,0
496,41,Female,"Boston, MA",Bachelor's,71215,4,Yes,1
497,29,Male,"Chicago, IL",Bachelor's,65835,3,Yes,0
498,52,Female,"Boston, MA",Master's,59429,2,Yes,1
499,50,Female,"New York, NY",High School,92152,4,No,1
500,50,Female,"Los Angeles, CA",Master's,48458,8,Yes,1
501,60,Female,"Boston, MA",Bachelor's,56169,7,Yes,1
502,54,Female,"New York, NY",High School,17659,7,Yes,1
503,29,Female,"New York, NY",High School,70614,7,No,1
504,20,Female,"Chicago, IL",Bachelor's,87240,7,No,1
505,18,Female,"Chicago, IL",Bachelor's,42793,6,No,0
506,50,Male,"Boston, MA",Bachelor's,56473,7,Yes,1
507,57,Male,"Los Angeles, CA",Bachelor's,99388,7,No,0
508,27,Male,"New York, NY",Bachelor's,98330,7,Yes,1
509,60,Male,"Boston, MA",High School,65751,9,Yes,1
510,61,Female,"New York, NY",Bachelor's,88915,6,No,1
511,46,Male,"New York, NY",High School,64254,0,Yes,0
512,30,Female,"Los Angeles, CA",High School,17006,3,No,1
513,29,Male,"Los Angeles, CA",Bachelor's,84218,3,Yes,0
514,48,Male,"Boston, MA",Bachelor's,75344,4,No,0
515,63,Male,"Los Angeles, CA",High School,43840,9,Yes,1
516,19,Female,"Los Angeles, CA",Bachelor's,42430,5,Yes,0
517,52,Male,"Boston, MA",Bachelor's,33091,3,Yes,0
518,40,Female,"Los Angeles, CA",Bachelor's,42983,1,Yes,1
519,34,Female,"Chicago, IL",Master's,33989,5,Yes,1
520,43,Male,"New York, NY",High School,85451,7,No,0
521,25,Male,"New York, NY",Master's,28990,7,Yes,0
522,46,Male,"New York, NY",Bachelor's,90360,6,No,0
523,43,Female,"New York, NY",Master's,46081,5,No,1
524,27,Male,"Boston, MA",Bachelor's,21033,1,No,0
525,43,Female,"New York, NY",Master's,26241,6,Yes,1
526,51,Female,"New York, NY",Bachelor's,15939,4,Yes,1
527,58,Male,"New York, NY",Master's,57562,5,Yes,1
528,24,Male,"New York, NY",Master's,45063,9,No,0
529,21,Female,"Chicago, IL",Master's,86721,7,Yes,1
530,62,Female,"New York, NY",High School,37045,7,Yes,1
531,28,Female,"Chicago, IL",Master's,54769,2,No,1
532,46,Male,"Boston, MA",High School,57118,6,No,0
533,53,Female,"Los Angeles, CA",Bachelor's,94703,0,No,1
534,42,Male,"New York, NY",Master's,31625,0,No,1
535,38,Female,"Los Angeles, CA",Bachelor's,37076,6,No,1
536,53,Female,"Los Angeles, CA",Bachelor's,74805,9,No,1
537,27,Male,"Boston, MA",Master's,54605,8,Yes,1
538,54,Female,"Los Angeles, CA",High School,94565,6,No,1
539,26,Male,"Chicago, IL",Master's,98509,9,Yes,1
540,41,Male,"Los Angeles, CA",Bachelor's,49121,4,Yes,0
541,52,Female,"Los Angeles, CA",Bachelor's,75101,7,Yes,1
542,52,Male,"Los Angeles, CA",Master's,41433,1,No,1
543,53,Male,"New York, NY",High School,53309,8,Yes,1
544,35,Female,"New York, NY",High School,77468,5,No,1
545,56,Male,"Chicago, IL",Bachelor's,54254,8,No,0
546,49,Male,"Chicago, IL",Bachelor's,77293,1,Yes,0
547,41,Male,"New York, NY",High School,47853,2,No,0
548,40,Female,"Chicago, IL",Master's,48405,7,Yes,1
549,49,Male,"New York, NY",Bachelor's,76652,0,Yes,0
550,54,Female,"Boston, MA",High School,53527,9,No,1
551,29,Female,"Los Angeles, CA",Bachelor's,87227,6,Yes,1
552,30,Male,"Los Angeles, CA",Master's,10492,6,Yes,1
553,40,Male,"Chicago, IL",High School,18811,0,Yes,0
554,42,Male,"New York, NY",Bachelor's,34272,8,No,0
555,52,Female,"New York, NY",Master's,82010,7,Yes,1
556,58,Male,"Chicago, IL",Bachelor's,57153,3,No,0
557,47,Male,"New York, NY",Master's,64110,9,No,1
558,34,Male,"Boston, MA",Master's,23979,4,Yes,1
559,37,Male,"Los Angeles, CA",High School,38328,1,Yes,0
560,42,Male,"Chicago, IL",Master's,22867,8,No,1
561,39,Female,"Chicago, IL",Bachelor's,69234,5,No,1
562,30,Female,"New York, NY",Master's,35851,2,Yes,1
563,36,Male,"Chicago, IL",Master's,41279,6,Yes,1
564,53,Male,"Boston, MA",High School,83402,8,No,0
565,29,Male,"New York, NY",Master's,25449,2,No,0
566,58,Male,"New York, NY",Master's,86221,1,No,1
567,36,Female,"New York, NY",Bachelor's,99080,6,No,1
568,29,Male,"New York, NY",High School,15451,6,No,0
569,26,Female,"Boston, MA",High School,97178,3,Yes,1
570,24,Female,"New York, NY",High School,51316,8,No,1
571,45,Male,"Chicago, IL",Master's,73064,7,No,1
572,31,Female,"Boston, MA",High School,73761,0,Yes,1
573,48,Female,"Los Angeles, CA",Master's,48870,0,Yes,1
574,36,Female,"Los Angeles, CA",Master's,40873,4,No,1
575,64,Female,"Chicago, IL",Bachelor's,68627,5,No,1
576,33,Male,"Chicago, IL",Bachelor's,76155,2,Yes,0
577,22,Male,"Boston, MA",Bachelor's,35372,8,No,0
578,52,Female,"Los Angeles, CA",Bachelor's,13642,9,No,1
579,29,Male,"Los Angeles, CA",Bachelor's,38001,5,Yes,0
580,42,Male,"Los Angeles, CA",Master's,44064,3,No,1
581,38,Male,"Los Angeles, CA",Master's,24122,6,Yes,1
582,53,Male,"Los Angeles, CA",High School,34820,7,Yes,1
583,40,Male,"New York, NY",Master's,78431,8,Yes,1
584,33,Female,"Chicago, IL",Master's,65745,5,Yes,1
585,56,Male,"New York, NY",Bachelor's,60081,5,No,0
586,62,Male,"Los Angeles, CA",Master's,80902,7,Yes,1
587,59,Male,"Boston, MA",Bachelor's,18711,4,No,0
588,56,Male,"Boston, MA",High School,95132,2,No,0
589,31,Female,"Los Angeles, CA",High School,28793,2,No,1
590,48,Female,"Los Angeles, CA",Master's,18199,5,No,1
591,22,Female,"Boston, MA",High School,86253,1,No,1
592,52,Female,"New York, NY",Master's,46191,5,Yes,1
593,40,Male,"New York, NY",High School,20211,5,Yes,0
594,46,Female,"Los Angeles, CA",Bachelor's,73069,7,Yes,1
595,60,Male,"New York, NY",Bachelor's,98896,6,Yes,1
596,28,Male,"Boston, MA",Bachelor's,66746,7,No,0
597,35,Male,"New York, NY",Bachelor's,31542,8,Yes,1
598,64,Male,"Los Angeles, CA",Master's,41312,5,No,1
599,29,Male,"Boston, MA",High School,55242,2,No,0
600,26,Female,"New York, NY",Master's,97893,9,Yes,1
601,27,Female,"Chicago, IL",Bachelor's,65388,2,Yes,1
602,61,Female,"Boston, MA",Master's,37691,0,Yes,1
603,34,Female,"Boston, MA",High School,87960,4,Yes,1
604,55,Male,"Chicago, IL",Master's,94388,3,No,1
605,24,Female,"Chicago, IL",High School,32601,8,No,0
606,63,Male,"Boston, MA",Master's,28020,8,Yes,1
607,30,Female,"Chicago, IL",High School,18155,4,No,1
608,57,Male,"Los Angeles, CA",High School,79119,9,No,0
609,59,Male,"Los Angeles, CA",Bachelor's,91051,3,No,0
610,26,Female,"Los Angeles, CA",High School,46777,6,Yes,0
611,44,Male,"Boston, MA",Bachelor's,29710,5,No,0
612,19,Male,"Chicago, IL",Bachelor's,34532,3,Yes,0
613,22,Female,"Chicago, IL",Bachelor's,28601,9,Yes,0
614,46,Male,"New York, NY",Master's,73227,1,No,1
615,54,Female,"New York, NY",Master's,14967,0,No,1
616,55,Female,"Chicago, IL",Master's,94289,3,Yes,1
617,36,Female,"Chicago, IL",Master's,30022,3,No,1
618,25,Male,"Chicago, IL",High School,53463,0,No,0
619,62,Male,"Boston, MA",High School,84671,5,Yes,0
620,18,Male,"Chicago, IL",Master's,15722,3,Yes,0
621,39,Female,"New York, NY",High School,37413,0,Yes,1
622,34,Male,"Boston, MA",High School,91050,0,Yes,0
623,24,Female,"Chicago, IL",Bachelor's,95867,0,No,1
624,42,Female,"New York, NY",Bachelor's,93596,7,No,1
625,62,Male,"Boston, MA",Bachelor's,76732,9,Yes,1
626,21,Female,"Chicago, IL",Bachelor's,22297,7,Yes,0
627,53,Male,"Chicago, IL",High School,78323,1,Yes,0
628,23,Male,"Chicago, IL",Master's,33816,6,No,0
629,48,Male,"Boston, MA",High School,50695,7,Yes,1
630,36,Male,"New York, NY",High School,29702,7,No,0
631,61,Male,"New York, NY",High School,35242,9,Yes,1
632,56,Female,"Los Angeles, CA",Bachelor's,65841,6,Yes,1
633,44,Female,"Chicago, IL",Bachelor's,77712,4,Yes,1
634,27,Female,"Los Angeles, CA",Bachelor's,95663,0,No,1
635,43,Male,"Los Angeles, CA",Master's,63574,8,No,1
636,36,Male,"New York, NY",High School,95744,6,No,0
637,56,Male,"Boston, MA",Master's,38482,1,Yes,1
638,20,Female,"Boston, MA",Bachelor's,19171,5,No,0
639,62,Male,"New York, NY",Master's,13696,1,No,1
640,30,Female,"Boston, MA",High School,30058,0,Yes,1
641,45,Female,"Los Angeles, CA",High School,30313,6,Yes,1
642,37,Male,"Chicago, IL",Bachelor's,29149,1,No,0
643,45,Male,"New York, NY",Bachelor's,63521,1,No,0
644,25,Female,"Chicago, IL",Master's,55740,4,No,1
645,58,Male,"Boston, MA",Bachelor's,14956,4,No,0
646,56,Female,"Chicago, IL",Bachelor's,85731,6,Yes,1
647,18,Male,"Boston, MA",High School,92612,0,Yes,0
648,20,Male,"Boston, MA",Bachelor's,76641,7,Yes,1
649,30,Female,"Los Angeles, CA",Bachelor's,73811,2,No,1
650,45,Male,"Boston, MA",High School,62160,3,No,0
651,42,Female,"Los Angeles, CA",High School,61313,8,Yes,1
652,50,Male,"Los Angeles, CA",Master's,73232,3,Yes,1
653,55,Female,"Los Angeles, CA",Bachelor's,25417,9,No,1
654,23,Female,"New York, NY",High School,34729,4,No,0
655,61,Male,"New York, NY",Master's,40099,6,Yes,1
656,62,Female,"Boston, MA",Master's,39961,3,Yes,1
657,49,Male,"Los Angeles, CA",Bachelor's,22602,0,Yes,0
658,62,Male,"New York, NY",Bachelor's,19256,8,No,0
659,64,Male,"Los Angeles, CA",Master's,96120,3,No,1
660,38,Female,"Chicago, IL",High School,44681,8,No,1
661,33,Female,"Chicago, IL",Master's,97440,5,No,1
662,38,Male,"Chicago, IL",Bachelor's,74789,0,No,0
663,28,Male,"Boston, MA",High School,53361,2,No,0
664,54,Female,"Los Angeles, CA",High School,74503,1,Yes,1
665,53,Male,"Chicago, IL",Master's,44540,8,Yes,1
666,52,Male,"New York, NY",Bachelor's,36536,0,No,0
667,36,Female,"Chicago, IL",Master's,94700,8,Yes,1
668,37,Male,"Chicago, IL",Master's,73043,8,No,1
669,35,Female,"Chicago, IL",Master's,88532,7,Yes,1
670,64,Male,"Boston, MA",High School,66575,7,No,0
671,58,Female,"New York, NY",High School,12871,0,Yes,1
672,31,Male,"Los Angeles, CA",Bachelor's,56002,7,Yes,1
673,32,Male,"New York, NY",Bachelor's,59812,9,No,0
674,48,Female,"Los Angeles, CA",Master's,32626,2,No,1
675,18,Male,"Boston, MA",Master's,69979,6,Yes,1
676,20,Female,"Boston, MA",Master's,86057,0,Yes,1
677,33,Male,"Boston, MA",Bachelor's,76668,0,No,0
678,40,Female,"Boston, MA",High School,90070,9,Yes,1
679,28,Female,"Los Angeles, CA",High School,99390,4,No,1
680,29,Female,"Chicago, IL",Master's,52998,4,No,1
681,27,Female,"Los Angeles, CA",Master's,73814,7,Yes,1
682,49,Male,"New York, NY",Master's,55607,6,No,1
683,33,Male,"Boston, MA",Master's,17812,7,Yes,1
684,25,Female,"Boston, MA",Bachelor's,71844,5,Yes,1
685,55,Female,"New York, NY",High School,80093,5,No,1
686,29,Female,"Los Angeles, CA",Master's,12179,1,Yes,0
687,41,Male,"Chicago, IL",Bachelor's,53798,5,No,0
688,45,Male,"Chicago, IL",Master's,84601,4,No,1
689,25,Male,"New York, NY",Master's,18275,2,No,0
690,45,Male,"Chicago, IL",High School,60574,5,Yes,0
691,53,Female,"Los Angeles, CA",Master's,57857,7,No,1
692,43,Female,"Los Angeles, CA",High School,30700,8,Yes,1
693,25,Female,"New York, NY",High School,49464,0,No,0
694,45,Male,"Los Angeles, CA",High School,52351,2,No,0
695,45,Male,"Boston, MA",Bachelor's,92534,2,No,0
696,54,Male,"New York, NY",Bachelor's,23869,7,Yes,1
697,58,Female,"Los Angeles, CA",High School,70315,0,Yes,1
698,53,Female,"New York, NY",Master's,30954,4,No,1
699,44,Male,"Chicago, IL",High School,41555,2,No,0
700,34,Female,"Los Angeles, CA",Master's,73353,1,Yes,1
701,26,Male,"Boston, MA",High School,92190,7,Yes,1
702,50,Male,"Los Angeles, CA",Master's,55026,2,Yes,1
703,37,Female,"New York, NY",Bachelor's,56976,6,No,1
704,30,Male,"New York, NY",Master's,90578,0,Yes,1
705,45,Female,"Los Angeles, CA",High School,55095,5,No,1
706,46,Male,"Boston, MA",Bachelor's,24270,2,Yes,0
707,30,Female,"Boston, MA",Master's,40908,7,No,1
708,63,Female,"Boston, MA",Master's,25523,5,No,1
709,52,Female,"New York, NY",Master's,72433,1,No,1
710,23,Male,"Los Angeles, CA",Master's,57068,5,Yes,1
711,35,Male,"Chicago, IL",Master's,29991,6,Yes,1
712,22,Female,"New York, NY",Bachelor's,20775,4,Yes,0
713,64,Female,"Boston, MA",Bachelor's,87801,2,No,1
714,42,Male,"Los Angeles, CA",Bachelor's,94995,3,No,0
715,19,Male,"Boston, MA",Bachelor's,71250,3,Yes,0
716,27,Male,"Chicago, IL",High School,26673,5,No,0
717,47,Female,"Boston, MA",Bachelor's,37056,9,No,1
718,62,Male,"Boston, MA",Master's,16614,0,No,1
719,22,Male,"Chicago, IL",Master's,17415,3,Yes,0
720,50,Female,"Los Angeles, CA",Bachelor's,98691,9,No,1
721,18,Male,"New York, NY",Master's,53884,3,Yes,1
722,35,Male,"Los Angeles, CA",Bachelor's,26964,9,Yes,1
723,49,Male,"Chicago, IL",Master's,47726,0,Yes,1
724,64,Female,"Boston, MA",High School,47044,8,Yes,1
725,28,Female,"Los Angeles, CA",High School,67149,3,Yes,1
726,38,Female,"New York, NY",Bachelor's,47544,6,No,1
727,43,Female,"Chicago, IL",Bachelor's,59976,2,Yes,1
728,42,Female,"Los Angeles, CA",Bachelor's,42252,9,Yes,1
729,39,Female,"New York, NY",Master's,13832,2,Yes,1
730,44,Female,"Chicago, IL",Bachelor's,90437,7,No,1
731,30,Male,"New York, NY",High School,44148,7,No,0
732,50,Male,"Chicago, IL",Master's,71240,0,No,1
733,51,Female,"Boston, MA",Bachelor's,98454,9,No,1
734,58,Male,"Los Angeles, CA",Master's,95076,1,Yes,1
735,52,Male,"New York, NY",Master's,87116,7,Yes,1
736,18,Female,"Chicago, IL",Bachelor's,63459,0,No,1
737,38,Male,"New York, NY",Master's,48402,7,No,1
738,23,Male,"New York, NY",High School,67727,7,No,0
739,45,Male,"Los Angeles, CA",High School,48578,1,No,0
740,34,Male,"Boston, MA",Master's,32318,3,Yes,1
741,22,Male,"New York, NY",Bachelor's,85715,5,No,0
742,48,Female,"Chicago, IL",Master's,87787,8,No,1
743,22,Female,"Chicago, IL",High School,95029,7,No,1
744,55,Female,"Boston, MA",Master's,30466,7,No,1
745,20,Male,"Chicago, IL",Master's,55475,6,No,1
746,40,Female,"Boston, MA",High School,70142,8,No,1
747,54,Male,"Chicago, IL",Master's,95160,1,No,1
748,54,Male,"Los Angeles, CA",Master's,36564,2,Yes,1
749,27,Male,"New York, NY",Bachelor's,32412,9,Yes,0
750,27,Male,"Los Angeles, CA",Bachelor's,61001,7,Yes,1
751,36,Female,"New York, NY",High School,67649,5,Yes,1
752,34,Female,"New York, NY",High School,70957,9,Yes,1
753,38,Male,"New York, NY",High School,45517,8,Yes,1
754,31,Female,"Los Angeles, CA",Bachelor's,23156,9,No,1
755,26,Male,"New York, NY",High School,33064,3,No,0
756,63,Female,"Los Angeles, CA",High School,35711,7,Yes,1
757,18,Female,"Boston, MA",High School,40106,9,No,0
758,62,Male,"Chicago, IL",Bachelor's,75458,2,Yes,0
759,30,Female,"Chicago, IL",Master's,26589,2,No,1
760,21,Male,"New York, NY",High School,99272,7,No,0
761,18,Female,"Los Angeles, CA",Master's,96511,4,No,1
762,57,Male,"Chicago, IL",High School,17214,2,No,0
763,49,Male,"Los Angeles, CA",Master's,95731,9,No,1
764,51,Female,"Los Angeles, CA",Bachelor's,37127,0,No,1
765,45,Female,"New York, NY",Bachelor's,15141,2,Yes,1
766,48,Male,"Chicago, IL",High School,38884,8,Yes,1
767,25,Female,"New York, NY",Master's,12708,4,No,0
768,56,Female,"New York, NY",Bachelor's,28375,9,Yes,1
769,43,Male,"Chicago, IL",High School,25088,1,No,0
770,51,Male,"Chicago, IL",High School,67615,6,Yes,1
771,20,Female,"Boston, MA",Bachelor's,55046,1,No,1
772,29,Male,"Boston, MA",Bachelor's,20014,3,Yes,0
773,18,Male,"Los Angeles, CA",High School,74425,6,No,0
774,61,Male,"Chicago, IL",Master's,13273,3,Yes,1
775,22,Female,"Boston, MA",Master's,57135,6,No,1
776,47,Female,"Los Angeles, CA",Master's,40881,6,Yes,1
777,47,Male,"Los Angeles, CA",High School,88077,0,No,0
778,34,Female,"Los Angeles, CA",Bachelor's,18712,5,No,1
779,64,Male,"Boston, MA",High School,84704,8,No,0
780,40,Female,"Chicago, IL",Bachelor's,62874,1,Yes,1
781,32,Male,"New York, NY",Master's,79087,2,Yes,1
782,54,Male,"Los Angeles, CA",Master's,22297,9,Yes,1
783,38,Female,"Boston, MA",Bachelor's,37128,4,No,1
784,31,Male,"Boston, MA",Bachelor's,78368,8,Yes,1
785,19,Female,"New York, NY",High School,97599,3,No,1
786,28,Female,"New York, NY",Master's,98499,0,Yes,1
787,56,Male,"Boston, MA",High School,88958,3,Yes,0
788,55,Male,"Chicago, IL",High School,42920,5,Yes,0
789,51,Female,"New York, NY",High School,21156,4,Yes,1
790,55,Male,"Boston, MA",Master's,21108,0,No,1
791,51,Male,"New York, NY",High School,41845,3,Yes,0
792,35,Male,"Chicago, IL",High School,12800,5,Yes,0
793,47,Male,"Los Angeles, CA",High School,52712,9,No,0
794,32,Male,"New York, NY",High School,12610,9,No,0
795,44,Female,"Chicago, IL",High School,87603,3,Yes,1
796,51,Female,"Boston, MA",High School,43872,8,Yes,1
797,55,Male,"New York, NY",Master's,20728,4,No,1
798,50,Male,"New York, NY",High School,30583,7,No,0
799,41,Male,"Boston, MA",Bachelor's,95774,8,No,0
800,32,Female,"Los Angeles, CA",High School,17263,9,Yes,1
801,47,Male,"Boston, MA",High School,77450,4,Yes,0
802,59,Female,"New York, NY",Master's,99285,5,Yes,1
803,34,Female,"Boston, MA",Master's,29456,0,No,1
804,22,Female,"Chicago, IL",Bachelor's,75942,6,No,1
805,46,Male,"Boston, MA",Bachelor's,23689,3,No,0
806,21,Female,"New York, NY",Master's,42934,1,Yes,0
807,27,Male,"Boston, MA",Master's,43276,4,No,0
808,34,Female,"Los Angeles, CA",High School,29873,2,Yes,1
809,27,Male,"Boston, MA",Master's,23050,5,No,0
810,34,Female,"Los Angeles, CA",Bachelor's,76216,7,Yes,1
811,37,Male,"Chicago, IL",High School,94444,6,Yes,1
812,41,Female,"Los Angeles, CA",Bachelor's,94040,2,No,1
813,22,Male,"Boston, MA",High School,31644,7,Yes,0
814,51,Male,"New York, NY",Master's,72021,1,No,1
815,23,Male,"Los Angeles, CA",Bachelor's,47125,9,Yes,0
816,19,Male,"Chicago, IL",High School,76899,8,No,0
817,30,Female,"Los Angeles, CA",High School,52291,3,No,1
818,60,Female,"Los Angeles, CA",Master's,45060,0,Yes,1
819,60,Male,"Los Angeles, CA",Master's,11538,7,No,1
820,28,Female,"Chicago, IL",Master's,46176,6,Yes,0
821,64,Male,"Boston, MA",Bachelor's,51520,4,No,0
822,40,Male,"Los Angeles, CA",High School,35675,9,No,0
823,33,Female,"Los Angeles, CA",Master's,28287,4,No,1
824,48,Male,"New York, NY",Bachelor's,10174,6,No,0
825,28,Male,"Chicago, IL",Bachelor's,44998,4,Yes,0
826,33,Female,"Los Angeles, CA",Bachelor's,63312,7,No,1
827,25,Male,"Chicago, IL",Master's,22112,5,No,0
828,21,Male,"Los Angeles, CA",Master's,85225,4,Yes,1
829,57,Male,"Boston, MA",High School,54814,8,Yes,1
830,21,Male,"Boston, MA",High School,95091,1,Yes,0
831,42,Female,"Los Angeles, CA",Master's,60719,0,Yes,1
832,20,Female,"Boston, MA",Bachelor's,43919,7,Yes,0
833,49,Female,"Los Angeles, CA",Bachelor's,83155,2,Yes,1
834,20,Male,"Boston, MA",Bachelor's,81569,6,No,0
835,44,Male,"New York, NY",High School,51328,9,Yes,1
836,46,Female,"New York, NY",Bachelor's,80482,7,No,1
837,49,Male,"New York, NY",High School,34618,5,Yes,0
838,36,Male,"Chicago, IL",High School,44675,9,No,0
839,38,Male,"Chicago, IL",Bachelor's,28919,8,No,0
840,22,Male,"New York, NY",Bachelor's,14173,6,No,0
841,35,Female,"Chicago, IL",Master's,36400,9,Yes,1
842,45,Female,"Boston, MA",Master's,60445,4,Yes,1
843,59,Female,"Los Angeles, CA",Bachelor's,80305,7,Yes,1
844,39,Male,"Los Angeles, CA",High School,47564,1,Yes,0
845,38,Female,"Los Angeles, CA",High School,55814,6,No,1
846,23,Female,"New York, NY",High School,89747,3,Yes,1
847,18,Male,"Chicago, IL",High School,98791,8,No,0
848,22,Male,"Boston, MA",High School,37962,0,No,0
849,58,Female,"Boston, MA",Master's,94892,6,Yes,1
850,29,Female,"New York, NY",Bachelor's,95842,5,Yes,1
851,43,Female,"Boston, MA",Master's,80533,7,Yes,1
852,63,Female,"Boston, MA",High School,66184,4,No,1
853,51,Male,"Boston, MA",High School,92912,0,Yes,0
854,31,Female,"Boston, MA",High School,20578,0,No,1
855,43,Female,"Chicago, IL",High School,28624,8,Yes,1
856,62,Male,"Boston, MA",Bachelor's,49194,9,No,0
857,44,Female,"Los Angeles, CA",High School,10389,5,Yes,1
858,26,Male,"New York, NY",Bachelor's,77391,9,Yes,1
859,43,Male,"Chicago, IL",High School,23794,4,No,0
860,64,Male,"Boston, MA",Bachelor's,68002,0,Yes,0
861,39,Female,"Chicago, IL",Master's,45531,5,Yes,1
862,64,Female,"Boston, MA",High School,62815,5,Yes,1
863,47,Male,"Los Angeles, CA",Bachelor's,14986,2,Yes,0
864,60,Female,"New York, NY",Master's,42298,7,Yes,1
865,34,Female,"Boston, MA",High School,11481,0,Yes,1
866,43,Male,"Boston, MA",High School,66408,0,Yes,0
867,53,Male,"Boston, MA",High School,79267,5,No,0
868,18,Female,"Boston, MA",Bachelor's,26835,9,No,0
869,25,Male,"New York, NY",Bachelor's,37798,0,Yes,0
870,52,Female,"New York, NY",Master's,74887,5,Yes,1
871,32,Female,"Los Angeles, CA",Bachelor's,29477,0,Yes,1
872,64,Female,"New York, NY",Bachelor's,27266,5,No,1
873,39,Female,"Boston, MA",High School,96328,2,No,1
874,31,Male,"Los Angeles, CA",High School,95988,7,Yes,1
875,43,Male,"Los Angeles, CA",High School,53526,5,No,0
876,45,Male,"Los Angeles, CA",High School,21889,0,Yes,0
877,40,Male,"Boston, MA",High School,34335,4,Yes,0
878,31,Female,"Chicago, IL",High School,21254,7,Yes,1
879,41,Female,"Boston, MA",High School,96610,2,Yes,1
880,19,Male,"New York, NY",Master's,21442,5,No,0
881,62,Female,"New York, NY",Master's,56289,4,No,1
882,43,Female,"Boston, MA",Master's,63747,5,Yes,1
883,31,Female,"Boston, MA",Master's,47327,9,No,1
884,24,Male,"Los Angeles, CA",High School,26199,0,No,0
885,20,Male,"Boston, MA",Master's,82827,6,Yes,1
886,64,Male,"Los Angeles, CA",High School,10112,8,No,0
887,40,Female,"New York, NY",Master's,97051,1,Yes,1
888,63,Male,"Los Angeles, CA",Bachelor's,29581,9,Yes,1
889,60,Male,"Boston, MA",Master's,69722,4,Yes,1
890,64,Male,"New York, NY",Master's,26523,9,Yes,1
891,62,Male,"Chicago, IL",High School,76960,3,No,0
892,35,Male,"Los Angeles, CA",Master's,29552,5,Yes,1
893,55,Male,"New York, NY",Bachelor's,20808,5,No,0
894,52,Female,"Los Angeles, CA",High School,82525,1,Yes,1
895,32,Female,"New York, NY",High School,33620,1,Yes,1
896,42,Male,"New York, NY",Master's,10887,3,No,1
897,54,Male,"Los Angeles, CA",High School,41802,0,Yes,0
898,45,Female,"Chicago, IL",High School,95024,8,No,1
899,27,Female,"New York, NY",High School,91938,6,No,1
900,56,Male,"New York, NY",High School,96741,6,Yes,1
901,34,Male,"New York, NY",High School,36049,2,Yes,0
902,56,Male,"Chicago, IL",High School,87789,2,Yes,0
903,39,Male,"Chicago, IL",Bachelor's,94526,0,Yes,0
904,43,Female,"Boston, MA",Master's,17846,2,Yes,1
905,61,Male,"Los Angeles, CA",Bachelor's,56220,2,Yes,0
906,42,Male,"Chicago, IL",High School,56163,3,No,0
907,34,Male,"Los Angeles, CA",High School,13765,3,No,0
908,30,Male,"Boston, MA",Master's,91486,2,Yes,1
909,37,Female,"Los Angeles, CA",Bachelor's,55270,9,No,1
910,42,Female,"Chicago, IL",Master's,85277,7,No,1
911,21,Female,"Los Angeles, CA",Bachelor's,98278,7,Yes,1
912,27,Male,"Chicago, IL",High School,32931,0,Yes,0
913,20,Male,"Los Angeles, CA",Master's,99116,6,No,1
914,58,Female,"Chicago, IL",Master's,65633,1,Yes,1
915,62,Male,"Chicago, IL",High School,90702,0,No,0
916,35,Male,"Los Angeles, CA",Master's,61913,2,Yes,1
