,member_id,age,gender,membership_type,last_attendance,class_type,class_time,class_day,distance_to_gym,weather_forecast,previous_attendance_rate,has_been_reminded,class_capacity,current_enrollment,class_fullness_ratio,label
248,1249,57,Male,Premium,3,Strength Training,Evening,Thursday,4.8,Cloudy,88.6,0,27,5,0.19,0
249,1250,56,Male,Premium,23,Zumba,Afternoon,Saturday,4.8,Stormy,1.0,0,16,6,0.38,0
250,1251,35,Female,Basic,10,Yoga,Morning,Wednesday,9.4,Sunny,88.2,0,13,7,0.54,0
251,1252,57,Male,Family,19,Strength Training,Morning,Tuesday,9.8,Sunny,57.2,0,22,12,0.55,0
252,1253,18,Male,Premium,17,HIIT,Afternoon,Thursday,8.1,Cloudy,33.2,0,26,6,0.23,0
253,1254,28,Female,Family,25,Zumba,Morning,Wednesday,7.7,Rainy,72.3,0,11,2,0.18,0
254,1255,45,Female,Basic,10,HIIT,Evening,Saturday,7.0,Stormy,50.8,0,23,21,0.91,0
255,1256,42,Male,Premium,24,HIIT,Evening,Wednesday,2.1,Cloudy,49.9,1,12,4,0.33,1
256,1257,40,Male,Family,20,Yoga,Afternoon,Thursday,1.1,Sunny,11.0,1,14,12,0.86,0
257,1258,48,Female,Premium,3,Strength Training,Morning,Monday,7.1,Snowy,39.0,1,23,11,0.48,1
258,1259,47,Female,Basic,17,Yoga,Morning,Tuesday,7.4,Rainy,24.1,1,12,0,0.0,1
259,1260,59,Male,Family,0,Yoga,Evening,Tuesday,0.9,Snowy,1.6,0,16,15,0.94,0
260,1261,52,Female,Basic,26,Yoga,Afternoon,Monday,9.3,Cloudy,36.0,1,27,22,0.81,0
261,1262,24,Male,Basic,6,HIIT,Morning,Sunday,1.4,Sunny,9.0,1,22,1,0.05,1
262,1263,33,Male,Premium,5,Yoga,Afternoon,Thursday,3.2,Stormy,25.7,1,19,6,0.32,1
263,1264,43,Male,Family,14,Yoga,Morning,Tuesday,6.9,Snowy,9.3,0,22,5,0.23,0
264,1265,19,Male,Basic,17,Strength Training,Evening,Thursday,2.1,Stormy,10.1,1,25,4,0.16,1
265,1266,18,Male,Basic,23,Strength Training,Evening,Saturday,1.0,Sunny,19.9,1,18,3,0.17,1
266,1267,29,Female,Family,10,Yoga,Afternoon,Thursday,3.6,Snowy,100.0,0,11,1,0.09,0
267,1268,22,Female,Basic,19,Strength Training,Evening,Wednesday,7.8,Stormy,0.2,1,14,9,0.64,0
268,1269,54,Female,Basic,23,Strength Training,Morning,Monday,4.4,Stormy,63.9,0,26,5,0.19,0
269,1270,49,Female,Family,14,Yoga,Evening,Sunday,6.7,Snowy,14.1,1,13,4,0.31,1
270,1271,26,Male,Family,15,HIIT,Afternoon,Thursday,6.0,Sunny,92.1,0,26,1,0.04,0
271,1272,58,Male,Family,6,Yoga,Afternoon,Sunday,0.7,Stormy,9.4,1,18,1,0.06,1
272,1273,52,Male,Family,20,Strength Training,Afternoon,Sunday,9.9,Cloudy,95.5,1,29,22,0.76,0
273,1274,36,Male,Premium,9,HIIT,Morning,Saturday,0.9,Snowy,61.1,1,11,14,1.27,0
274,1275,33,Female,Family,25,Zumba,Morning,Friday,9.7,Rainy,0.1,0,27,8,0.3,0
275,1276,20,Male,Premium,11,HIIT,Morning,Monday,5.7,Rainy,89.4,1,20,2,0.1,1
276,1277,37,Male,Premium,23,Strength Training,Morning,Sunday,9.7,Sunny,52.2,0,22,16,0.73,0
277,1278,41,Female,Premium,13,HIIT,Morning,Tuesday,1.6,Cloudy,26.3,0,17,4,0.24,0
278,1279,50,Female,Basic,24,Yoga,Evening,Wednesday,5.2,Stormy,76.7,0,10,8,0.8,0
279,1280,41,Female,Premium,4,Zumba,Morning,Tuesday,2.1,Rainy,92.7,0,26,22,0.85,0
280,1281,28,Female,Premium,25,Zumba,Morning,Saturday,1.0,Sunny,48.4,1,21,3,0.14,1
281,1282,25,Male,Basic,20,Zumba,Evening,Saturday,6.4,Cloudy,31.6,1,13,5,0.38,1
282,1283,53,Male,Basic,17,Strength Training,Morning,Tuesday,2.5,Cloudy,78.9,1,22,5,0.23,1
283,1284,55,Female,Basic,4,Strength Training,Afternoon,Monday,6.1,Sunny,68.2,0,18,10,0.56,0
284,1285,57,Male,Family,2,Zumba,Morning,Tuesday,1.6,Sunny,88.9,1,16,22,1.38,1
285,1286,37,Male,Basic,22,HIIT,Morning,Thursday,3.7,Stormy,69.3,0,14,16,1.14,0
286,1287,52,Male,Basic,25,Zumba,Afternoon,Tuesday,7.9,Sunny,24.4,0,14,3,0.21,0
287,1288,42,Female,Premium,4,HIIT,Afternoon,Wednesday,4.7,Stormy,93.2,0,26,4,0.15,0
288,1289,52,Male,Basic,23,HIIT,Afternoon,Wednesday,6.5,Stormy,10.5,1,18,14,0.78,0
289,1290,42,Female,Family,16,Strength Training,Afternoon,Friday,6.7,Snowy,26.8,1,15,0,0.0,1
290,1291,46,Male,Basic,18,HIIT,Morning,Wednesday,8.5,Cloudy,52.0,0,28,5,0.18,0
291,1292,35,Male,Family,18,Zumba,Afternoon,Tuesday,3.6,Cloudy,56.6,1,25,19,0.76,0
292,1293,63,Male,Basic,24,Strength Training,Afternoon,Wednesday,7.0,Cloudy,1.5,1,11,0,0.0,1
293,1294,35,Female,Basic,20,Yoga,Evening,Monday,9.6,Snowy,78.1,0,19,8,0.42,0
294,1295,19,Male,Basic,11,Yoga,Afternoon,Sunday,7.4,Stormy,36.2,0,25,11,0.44,0
295,1296,52,Female,Basic,24,Strength Training,Afternoon,Wednesday,5.2,Stormy,40.6,1,14,3,0.21,1
296,1297,33,Female,Family,28,Zumba,Evening,Thursday,6.5,Sunny,80.9,0,24,3,0.12,0
297,1298,58,Female,Family,8,Yoga,Evening,Monday,7.5,Snowy,37.9,0,22,21,0.95,0
298,1299,53,Male,Premium,0,Yoga,Morning,Friday,6.3,Sunny,4.7,1,22,12,0.55,1
299,1300,50,Male,Family,17,HIIT,Evening,Thursday,0.7,Snowy,17.6,1,22,3,0.14,1
300,1301,21,Male,Basic,20,HIIT,Morning,Tuesday,2.4,Sunny,95.6,0,24,4,0.17,0
301,1302,50,Male,Premium,3,Zumba,Evening,Sunday,8.2,Rainy,7.0,1,23,2,0.09,1
302,1303,31,Female,Premium,9,Strength Training,Evening,Tuesday,3.1,Cloudy,35.5,0,17,8,0.47,0
303,1304,38,Female,Premium,24,Zumba,Morning,Sunday,7.4,Cloudy,50.3,0,20,15,0.75,0
304,1305,37,Female,Basic,6,Strength Training,Evening,Sunday,4.0,Stormy,49.3,1,27,9,0.33,1
305,1306,25,Male,Family,21,Yoga,Morning,Tuesday,5.5,Rainy,0.4,0,13,10,0.77,0
306,1307,24,Female,Basic,22,HIIT,Evening,Thursday,1.1,Cloudy,50.1,0,19,3,0.16,0
307,1308,20,Male,Premium,0,Zumba,Afternoon,Thursday,2.2,Stormy,38.4,0,10,13,1.3,0
308,1309,34,Female,Basic,16,Zumba,Evening,Sunday,9.6,Rainy,97.2,1,14,0,0.0,1
309,1310,50,Male,Basic,23,Strength Training,Morning,Thursday,9.0,Cloudy,15.9,1,22,2,0.09,1
310,1311,29,Male,Family,28,Strength Training,Evening,Sunday,6.7,Sunny,35.4,1,10,11,1.1,0
311,1312,39,Female,Family,28,Zumba,Morning,Sunday,4.9,Snowy,41.9,0,17,1,0.06,0
312,1313,39,Female,Premium,1,Strength Training,Morning,Monday,6.9,Rainy,39.1,0,12,4,0.33,0
313,1314,63,Female,Basic,27,Zumba,Afternoon,Saturday,6.4,Stormy,66.6,1,12,0,0.0,1
314,1315,47,Female,Basic,25,Zumba,Afternoon,Monday,5.9,Rainy,21.6,1,16,2,0.12,1
315,1316,55,Male,Family,10,Zumba,Morning,Tuesday,1.1,Stormy,22.1,1,13,0,0.0,1
316,1317,55,Female,Basic,8,Yoga,Evening,Saturday,6.5,Rainy,72.9,0,12,18,1.5,0
317,1318,62,Female,Basic,6,Strength Training,Morning,Wednesday,7.8,Stormy,50.0,1,24,3,0.12,1
318,1319,25,Female,Basic,21,HIIT,Morning,Tuesday,9.9,Cloudy,41.5,0,17,15,0.88,0
319,1320,44,Male,Family,16,HIIT,Evening,Friday,0.6,Sunny,16.9,1,12,11,0.92,0
320,1321,44,Male,Premium,16,Strength Training,Evening,Monday,7.4,Cloudy,18.8,0,16,4,0.25,0
321,1322,51,Female,Premium,1,Zumba,Evening,Thursday,5.9,Sunny,1.1,0,27,4,0.15,1
322,1323,38,Male,Basic,5,HIIT,Evening,Monday,4.6,Cloudy,9.1,1,20,12,0.6,0
323,1324,47,Female,Premium,13,HIIT,Morning,Thursday,1.7,Cloudy,55.7,0,20,0,0.0,0
324,1325,50,Male,Family,5,Strength Training,Morning,Saturday,4.4,Rainy,89.2,1,26,0,0.0,1
325,1326,45,Male,Family,1,HIIT,Afternoon,Friday,3.9,Snowy,28.7,0,15,3,0.2,0
326,1327,64,Male,Premium,0,Zumba,Morning,Saturday,3.4,Stormy,32.8,0,17,4,0.24,0
327,1328,50,Male,Premium,9,Strength Training,Evening,Friday,7.4,Stormy,11.6,1,10,1,0.1,1
328,1329,22,Female,Basic,20,Zumba,Afternoon,Monday,7.2,Stormy,38.9,0,19,14,0.74,0
329,1330,36,Female,Premium,4,HIIT,Evening,Thursday,6.1,Sunny,3.7,1,28,11,0.39,1
330,1331,21,Female,Basic,1,HIIT,Morning,Saturday,9.4,Stormy,91.8,1,12,12,1.0,0
331,1332,52,Male,Basic,21,Zumba,Afternoon,Friday,3.8,Stormy,67.3,1,13,0,0.0,1
332,1333,34,Female,Family,15,Yoga,Evening,Sunday,2.8,Rainy,99.1,0,20,24,1.2,0
333,1334,61,Female,Family,24,HIIT,Afternoon,Tuesday,6.7,Cloudy,88.3,0,24,14,0.58,0
334,1335,45,Female,Family,1,Yoga,Afternoon,Tuesday,2.4,Stormy,47.3,0,10,1,0.1,0
335,1336,47,Male,Family,9,HIIT,Morning,Saturday,3.5,Snowy,52.0,1,18,5,0.28,1
336,1337,46,Male,Premium,1,Yoga,Evening,Thursday,2.6,Stormy,19.1,1,20,16,0.8,0
337,1338,63,Male,Family,15,Yoga,Afternoon,Sunday,1.2,Sunny,46.2,0,28,15,0.54,0
338,1339,23,Female,Premium,15,Yoga,Afternoon,Saturday,8.4,Sunny,90.3,0,22,0,0.0,0
339,1340,52,Female,Family,18,Zumba,Evening,Monday,2.9,Sunny,5.1,1,25,8,0.32,1
340,1341,58,Female,Premium,28,Yoga,Afternoon,Friday,5.0,Stormy,86.4,0,13,3,0.23,0
341,1342,54,Male,Basic,6,Yoga,Afternoon,Monday,0.9,Rainy,34.1,1,10,0,0.0,1
342,1343,41,Male,Premium,21,Yoga,Afternoon,Tuesday,7.1,Snowy,90.0,0,29,8,0.28,0
343,1344,46,Female,Premium,11,HIIT,Evening,Friday,3.6,Stormy,94.1,1,22,4,0.18,1
344,1345,63,Male,Family,23,Yoga,Evening,Saturday,7.6,Rainy,67.1,0,10,6,0.6,0
345,1346,48,Male,Premium,14,HIIT,Evening,Monday,4.4,Rainy,66.4,0,14,0,0.0,0
346,1347,52,Male,Basic,7,Yoga,Evening,Wednesday,2.4,Stormy,45.3,1,14,5,0.36,1
347,1348,50,Male,Basic,5,Yoga,Morning,Thursday,5.4,Stormy,83.6,1,23,23,1.0,0
348,1349,38,Female,Family,27,Zumba,Afternoon,Sunday,1.7,Rainy,96.2,1,23,5,0.22,1
349,1350,49,Male,Basic,26,HIIT,Evening,Sunday,4.7,Rainy,77.5,0,17,16,0.94,0
350,1351,40,Male,Premium,9,Yoga,Afternoon,Thursday,3.5,Rainy,62.2,1,13,24,1.85,0
351,1352,50,Male,Basic,2,HIIT,Afternoon,Wednesday,9.2,Stormy,60.7,1,16,2,0.12,1
352,1353,20,Male,Family,18,HIIT,Morning,Tuesday,1.1,Rainy,84.9,0,29,0,0.0,1
353,1354,35,Female,Premium,16,Strength Training,Evening,Friday,7.1,Sunny,54.1,1,28,0,0.0,1
354,1355,42,Female,Family,6,Zumba,Evening,Thursday,2.2,Stormy,80.4,1,24,0,0.0,1
355,1356,59,Male,Premium,20,Zumba,Afternoon,Wednesday,3.5,Sunny,50.9,1,13,13,1.0,0
356,1357,48,Male,Basic,19,Zumba,Evening,Saturday,4.4,Cloudy,6.2,0,28,5,0.18,0
357,1358,20,Male,Family,25,Strength Training,Afternoon,Sunday,9.1,Stormy,38.4,0,18,10,0.56,0
358,1359,57,Male,Family,3,Strength Training,Afternoon,Wednesday,2.8,Cloudy,44.4,0,22,5,0.23,0
359,1360,63,Male,Premium,13,Zumba,Morning,Tuesday,1.4,Rainy,14.2,1,23,0,0.0,1
360,1361,41,Male,Family,19,Strength Training,Morning,Tuesday,3.5,Rainy,10.2,0,23,13,0.57,0
361,1362,49,Female,Premium,21,Strength Training,Morning,Monday,1.5,Snowy,53.5,1,19,2,0.11,1
362,1363,64,Male,Premium,14,Strength Training,Afternoon,Thursday,1.7,Rainy,8.5,1,25,6,0.24,1
363,1364,39,Female,Premium,23,Zumba,Evening,Monday,6.0,Cloudy,30.3,1,14,2,0.14,1
364,1365,40,Female,Premium,7,Zumba,Morning,Sunday,1.1,Rainy,74.5,0,15,18,1.2,1
365,1366,19,Male,Basic,20,Zumba,Evening,Wednesday,0.8,Stormy,96.4,0,11,18,1.64,1
366,1367,44,Female,Premium,14,Strength Training,Morning,Friday,7.3,Rainy,71.8,1,22,6,0.27,1
367,1368,59,Female,Family,21,Zumba,Morning,Friday,3.9,Snowy,99.3,1,22,3,0.14,1
368,1369,19,Female,Basic,19,Strength Training,Afternoon,Tuesday,1.7,Rainy,69.8,0,28,3,0.11,0
369,1370,43,Female,Family,27,Yoga,Morning,Friday,2.9,Cloudy,29.4,0,27,2,0.07,0
370,1371,34,Female,Basic,13,Strength Training,Morning,Friday,6.6,Cloudy,67.2,0,28,0,0.0,0
371,1372,57,Female,Premium,26,HIIT,Afternoon,Sunday,3.1,Rainy,70.2,1,10,9,0.9,0
372,1373,50,Male,Basic,28,Zumba,Evening,Friday,5.2,Cloudy,37.2,0,17,10,0.59,0
373,1374,26,Female,Basic,8,Zumba,Morning,Wednesday,1.7,Cloudy,1.8,0,25,0,0.0,0
374,1375,60,Female,Family,7,HIIT,Afternoon,Friday,6.1,Snowy,70.3,0,11,1,0.09,0
375,1376,56,Female,Family,25,Strength Training,Morning,Saturday,3.5,Stormy,2.2,1,17,3,0.18,1
376,1377,46,Male,Premium,27,Yoga,Afternoon,Friday,6.5,Snowy,63.1,0,15,0,0.0,0
377,1378,59,Female,Basic,25,HIIT,Evening,Friday,8.2,Sunny,16.4,1,25,7,0.28,1
378,1379,43,Male,Basic,16,HIIT,Evening,Monday,6.3,Snowy,56.6,1,20,5,0.25,1
379,1380,52,Female,Basic,1,Strength Training,Afternoon,Wednesday,3.3,Rainy,50.4,1,26,5,0.19,1
380,1381,42,Male,Premium,24,Zumba,Afternoon,Tuesday,2.9,Stormy,1.4,0,28,6,0.21,0
381,1382,41,Male,Premium,23,Strength Training,Afternoon,Monday,3.6,Rainy,36.3,0,20,15,0.75,0
382,1383,30,Female,Premium,29,HIIT,Evening,Thursday,2.1,Sunny,60.1,0,17,6,0.35,0
383,1384,24,Female,Premium,2,HIIT,Morning,Wednesday,2.2,Stormy,84.9,1,13,17,1.31,0
384,1385,53,Male,Premium,7,Zumba,Evening,Saturday,8.0,Cloudy,88.9,0,20,19,0.95,0
385,1386,62,Female,Family,11,Zumba,Afternoon,Wednesday,4.2,Snowy,48.4,1,17,9,0.53,1
386,1387,37,Male,Basic,0,Zumba,Afternoon,Thursday,4.6,Rainy,72.8,0,18,5,0.28,0
387,1388,18,Male,Basic,9,Strength Training,Evening,Thursday,6.1,Sunny,31.6,0,11,18,1.64,0
388,1389,25,Male,Basic,19,Zumba,Afternoon,Thursday,6.1,Cloudy,34.2,0,25,8,0.32,0
389,1390,63,Male,Basic,2,HIIT,Evening,Sunday,1.1,Snowy,19.4,0,15,12,0.8,0
390,1391,33,Male,Basic,5,HIIT,Afternoon,Tuesday,8.4,Cloudy,56.2,1,28,19,0.68,0
391,1392,31,Female,Basic,6,Yoga,Morning,Friday,2.2,Snowy,31.5,1,17,9,0.53,1
392,1393,29,Male,Basic,19,Strength Training,Morning,Wednesday,7.4,Stormy,8.4,1,23,0,0.0,1
393,1394,40,Male,Basic,22,Yoga,Afternoon,Sunday,7.8,Cloudy,68.5,1,25,17,0.68,0
394,1395,32,Female,Family,24,HIIT,Evening,Friday,7.3,Cloudy,70.8,0,21,0,0.0,0
395,1396,45,Male,Basic,26,Yoga,Morning,Friday,6.0,Cloudy,36.0,1,14,15,1.07,0
396,1397,51,Female,Family,17,HIIT,Evening,Saturday,0.6,Stormy,7.7,1,28,5,0.18,1
397,1398,19,Female,Premium,10,Yoga,Afternoon,Thursday,3.9,Sunny,42.6,1,27,16,0.59,1
398,1399,49,Female,Basic,18,Zumba,Evening,Tuesday,6.2,Snowy,44.2,0,18,21,1.17,0
399,1400,40,Male,Premium,4,Yoga,Morning,Saturday,4.2,Cloudy,66.9,1,11,12,1.09,0
400,1401,39,Male,Premium,18,Zumba,Evening,Monday,8.7,Stormy,31.5,1,29,3,0.1,1
401,1402,42,Male,Premium,10,Zumba,Evening,Sunday,3.4,Sunny,68.3,0,21,9,0.43,0
402,1403,39,Female,Family,23,Strength Training,Afternoon,Sunday,3.3,Snowy,87.1,0,11,0,0.0,0
403,1404,39,Male,Premium,11,Zumba,Afternoon,Tuesday,3.0,Stormy,23.7,1,19,7,0.37,1
404,1405,59,Female,Premium,9,Zumba,Afternoon,Friday,3.7,Snowy,97.9,1,10,4,0.4,1
405,1406,23,Male,Premium,7,Yoga,Morning,Sunday,5.8,Cloudy,38.6,0,13,21,1.62,0
406,1407,32,Female,Basic,23,HIIT,Morning,Tuesday,7.2,Sunny,26.7,1,21,17,0.81,0
407,1408,60,Male,Basic,27,Strength Training,Afternoon,Sunday,6.8,Stormy,42.2,0,18,1,0.06,0
408,1409,54,Male,Family,27,Zumba,Afternoon,Sunday,8.2,Sunny,9.4,1,13,15,1.15,0
409,1410,50,Male,Family,8,Strength Training,Morning,Thursday,8.9,Cloudy,12.6,1,18,3,0.17,1
410,1411,25,Female,Basic,3,Yoga,Morning,Monday,8.3,Sunny,41.4,1,15,8,0.53,1
411,1412,61,Female,Family,4,Zumba,Morning,Thursday,0.7,Sunny,76.2,1,10,2,0.2,1
412,1413,61,Male,Basic,20,Yoga,Morning,Monday,7.5,Rainy,90.0,1,19,5,0.26,1
413,1414,22,Male,Premium,7,Strength Training,Afternoon,Sunday,2.5,Sunny,66.5,0,23,3,0.13,0
414,1415,56,Female,Premium,22,Yoga,Morning,Saturday,1.8,Snowy,10.5,0,27,1,0.04,0
415,1416,21,Female,Family,8,Strength Training,Afternoon,Friday,6.6,Stormy,67.2,1,15,1,0.07,1
416,1417,23,Female,Basic,14,Yoga,Evening,Sunday,3.5,Rainy,63.5,1,27,0,0.0,1
417,1418,62,Male,Basic,14,Strength Training,Evening,Monday,1.0,Stormy,80.6,1,29,7,0.24,1
418,1419,49,Female,Family,15,HIIT,Morning,Monday,1.8,Stormy,82.5,0,25,9,0.36,1
419,1420,47,Male,Basic,13,Yoga,Evening,Monday,0.5,Cloudy,86.8,0,24,15,0.62,1
420,1421,64,Female,Premium,7,Yoga,Evening,Sunday,9.1,Cloudy,41.4,0,25,6,0.24,0
421,1422,52,Male,Family,17,HIIT,Evening,Tuesday,0.7,Rainy,69.8,0,17,10,0.59,0
422,1423,57,Female,Family,9,HIIT,Morning,Saturday,2.5,Cloudy,26.8,0,22,1,0.05,0
423,1424,33,Female,Basic,27,Yoga,Morning,Tuesday,4.5,Cloudy,99.9,0,20,5,0.25,0
424,1425,30,Female,Family,19,HIIT,Evening,Friday,3.9,Cloudy,17.5,0,16,13,0.81,0
425,1426,59,Female,Basic,5,Zumba,Afternoon,Sunday,9.2,Stormy,1.0,0,26,7,0.27,0
426,1427,47,Female,Basic,11,Strength Training,Evening,Monday,0.9,Rainy,14.9,1,27,22,0.81,0
427,1428,36,Male,Basic,1,Strength Training,Morning,Saturday,5.4,Stormy,77.6,0,28,14,0.5,0
428,1429,34,Female,Basic,6,Strength Training,Morning,Saturday,7.0,Snowy,44.7,0,22,16,0.73,0
429,1430,36,Female,Basic,15,Zumba,Morning,Wednesday,9.4,Stormy,44.8,0,24,0,0.0,0
430,1431,45,Female,Family,2,HIIT,Evening,Friday,6.4,Snowy,95.5,0,10,20,2.0,0
431,1432,43,Male,Premium,12,HIIT,Afternoon,Saturday,8.1,Sunny,92.0,1,25,17,0.68,0
432,1433,54,Female,Premium,2,Yoga,Morning,Sunday,1.3,Sunny,31.1,0,14,5,0.36,1
433,1434,43,Male,Family,26,HIIT,Morning,Monday,4.2,Snowy,20.9,1,12,6,0.5,1
434,1435,40,Female,Family,17,Yoga,Evening,Monday,4.1,Snowy,84.8,1,19,13,0.68,0
435,1436,26,Female,Premium,10,Zumba,Afternoon,Saturday,8.9,Stormy,90.6,1,28,2,0.07,1
436,1437,29,Male,Premium,7,Strength Training,Evening,Tuesday,1.9,Snowy,54.2,0,14,6,0.43,0
437,1438,18,Female,Premium,5,Strength Training,Morning,Friday,1.9,Rainy,62.9,0,16,4,0.25,0
438,1439,18,Male,Premium,0,Strength Training,Afternoon,Monday,3.6,Sunny,25.7,0,23,23,1.0,1
439,1440,64,Male,Premium,27,HIIT,Afternoon,Saturday,1.0,Sunny,80.1,1,12,7,0.58,1
440,1441,51,Female,Basic,0,Yoga,Morning,Monday,2.2,Snowy,63.2,1,22,6,0.27,1
441,1442,49,Male,Family,22,Yoga,Afternoon,Saturday,9.7,Cloudy,50.4,1,22,5,0.23,1
442,1443,42,Female,Basic,7,Zumba,Afternoon,Friday,4.6,Cloudy,6.0,1,19,1,0.05,1
443,1444,57,Female,Premium,4,HIIT,Evening,Saturday,6.5,Snowy,91.6,0,11,5,0.45,0
444,1445,62,Male,Premium,27,Zumba,Morning,Wednesday,7.4,Rainy,61.5,0,15,12,0.8,0
445,1446,18,Male,Premium,15,Yoga,Morning,Saturday,4.0,Cloudy,19.3,0,17,11,0.65,0
446,1447,33,Male,Basic,10,Yoga,Morning,Saturday,1.9,Snowy,60.6,1,13,2,0.15,1
447,1448,56,Male,Basic,4,Strength Training,Morning,Sunday,2.5,Rainy,67.7,1,21,0,0.0,1
448,1449,22,Female,Premium,3,HIIT,Morning,Friday,3.5,Rainy,52.6,0,24,6,0.25,0
449,1450,39,Female,Basic,29,Yoga,Afternoon,Sunday,6.5,Stormy,71.8,0,17,1,0.06,0
450,1451,46,Male,Basic,5,Strength Training,Evening,Saturday,4.3,Rainy,58.1,1,16,0,0.0,1
451,1452,20,Female,Premium,13,HIIT,Morning,Friday,0.6,Cloudy,94.8,0,23,10,0.43,1
452,1453,29,Female,Basic,21,Zumba,Evening,Wednesday,5.5,Cloudy,5.4,0,28,4,0.14,0
453,1454,43,Female,Family,18,HIIT,Evening,Friday,9.3,Snowy,10.6,1,23,10,0.43,1
454,1455,33,Female,Family,8,HIIT,Afternoon,Monday,8.2,Snowy,17.4,1,22,1,0.05,1
455,1456,54,Male,Family,11,Yoga,Morning,Sunday,8.3,Rainy,69.0,1,10,18,1.8,0
456,1457,39,Male,Family,10,Yoga,Afternoon,Friday,8.1,Sunny,64.6,0,28,23,0.82,0
457,1458,46,Female,Premium,13,HIIT,Morning,Wednesday,3.6,Stormy,89.2,1,10,6,0.6,0
458,1459,31,Male,Premium,22,Yoga,Afternoon,Thursday,7.8,Sunny,73.3,0,13,1,0.08,0
459,1460,45,Male,Premium,15,Yoga,Evening,Saturday,1.9,Rainy,50.8,0,19,7,0.37,0
460,1461,22,Male,Family,0,Yoga,Morning,Friday,6.7,Rainy,99.2,1,12,11,0.92,0
461,1462,64,Female,Family,12,Strength Training,Evening,Saturday,6.6,Sunny,26.6,0,29,22,0.76,0
462,1463,47,Female,Basic,22,Strength Training,Evening,Tuesday,0.7,Stormy,83.3,1,18,14,0.78,1
463,1464,63,Female,Basic,20,HIIT,Afternoon,Monday,8.0,Sunny,42.7,1,12,0,0.0,1
464,1465,22,Male,Family,20,Yoga,Morning,Sunday,9.1,Snowy,64.9,0,15,0,0.0,0
465,1466,29,Female,Family,29,Strength Training,Evening,Monday,3.0,Cloudy,72.7,0,15,12,0.8,0
466,1467,33,Female,Family,12,HIIT,Afternoon,Tuesday,8.2,Snowy,63.4,1,21,0,0.0,1
467,1468,43,Male,Family,1,Yoga,Morning,Tuesday,1.3,Cloudy,14.1,1,10,1,0.1,1
468,1469,43,Female,Basic,3,Zumba,Morning,Sunday,6.2,Rainy,44.3,1,25,12,0.48,1
469,1470,38,Female,Family,27,Yoga,Evening,Friday,5.1,Stormy,56.1,1,14,17,1.21,0
470,1471,56,Male,Basic,5,Yoga,Morning,Tuesday,5.7,Sunny,84.9,1,18,0,0.0,1
471,1472,53,Male,Family,25,Strength Training,Evening,Thursday,9.3,Stormy,44.4,1,19,2,0.11,1
472,1473,50,Male,Family,26,HIIT,Morning,Saturday,8.8,Sunny,91.9,0,22,0,0.0,0
473,1474,47,Female,Family,22,HIIT,Afternoon,Saturday,8.0,Snowy,44.0,0,24,0,0.0,0
474,1475,54,Female,Basic,26,Strength Training,Evening,Wednesday,3.1,Snowy,54.9,0,21,2,0.1,0
475,1476,40,Female,Basic,4,Yoga,Evening,Tuesday,9.2,Sunny,79.6,0,14,9,0.64,0
476,1477,27,Male,Premium,24,Zumba,Morning,Tuesday,1.4,Stormy,58.3,1,14,12,0.86,0
477,1478,22,Male,Family,2,Yoga,Morning,Thursday,8.6,Sunny,96.0,0,27,4,0.15,1
478,1479,53,Female,Premium,0,Yoga,Evening,Monday,3.6,Rainy,66.0,0,21,12,0.57,0
479,1480,51,Female,Premium,3,Zumba,Morning,Monday,1.0,Snowy,52.3,1,12,5,0.42,1
480,1481,48,Male,Basic,24,Strength Training,Afternoon,Saturday,6.9,Rainy,2.4,0,16,4,0.25,0
481,1482,27,Male,Basic,19,HIIT,Morning,Saturday,2.7,Snowy,41.4,1,26,18,0.69,0
482,1483,36,Male,Premium,1,Strength Training,Afternoon,Friday,2.8,Snowy,29.9,1,28,20,0.71,0
483,1484,49,Male,Family,25,Strength Training,Afternoon,Sunday,3.4,Cloudy,74.8,1,27,23,0.85,0
484,1485,18,Female,Basic,29,Yoga,Afternoon,Thursday,1.1,Rainy,20.8,1,10,17,1.7,0
485,1486,22,Male,Family,29,HIIT,Afternoon,Sunday,2.2,Rainy,20.5,1,14,4,0.29,1
486,1487,62,Female,Family,4,HIIT,Afternoon,Sunday,0.5,Cloudy,19.0,0,11,21,1.91,0
487,1488,21,Female,Premium,2,Strength Training,Morning,Wednesday,4.7,Stormy,12.6,0,10,9,0.9,0
488,1489,33,Female,Premium,28,Zumba,Afternoon,Sunday,1.3,Rainy,31.1,0,16,7,0.44,0
489,1490,41,Male,Premium,27,Strength Training,Morning,Wednesday,7.0,Sunny,88.6,1,20,14,0.7,0
490,1491,33,Male,Premium,28,Zumba,Afternoon,Sunday,2.7,Cloudy,77.5,0,20,20,1.0,0
491,1492,19,Male,Basic,8,HIIT,Evening,Thursday,9.5,Rainy,73.5,0,27,19,0.7,0
492,1493,45,Male,Basic,19,Strength Training,Afternoon,Wednesday,8.8,Stormy,79.7,0,26,27,1.04,0
493,1494,49,Female,Premium,5,Yoga,Evening,Monday,3.2,Rainy,26.9,0,11,3,0.27,0
494,1495,44,Male,Basic,17,Strength Training,Afternoon,Wednesday,7.9,Snowy,88.7,1,16,1,0.06,1
495,1496,37,Male,Premium,5,HIIT,Afternoon,Wednesday,8.1,Sunny,13.7,0,16,5,0.31,0
496,1497,41,Female,Family,18,Yoga,Afternoon,Thursday,9.9,Cloudy,33.6,1,19,2,0.11,1
