,age,gender,parent_education_level,household_income,parent_occupation,student_grade_level,study_hours_week,extracurricular_activities,school_type,family_size,internet_access_at_home,parent_involvement,student_gpa,label
319,20,Male,PhD,59577,Service,9th,16,Yes,Charter,2,No,1,3.8,0
320,13,Other,High School,100212,Service,8th,8,No,Charter,9,Yes,5,0.2,1
321,18,Other,Bachelor's,30747,Service,8th,40,No,Charter,10,No,4,1.8,1
322,25,Other,High School,43972,Teacher,10th,0,No,Public,9,No,5,0.3,0
323,21,Female,None,134450,Unemployed,6th,1,Yes,Charter,6,Yes,4,2.9,1
324,14,Other,Bachelor's,1950,Healthcare,6th,47,Yes,Private,3,Yes,3,2.4,0
325,18,Male,High School,12826,Engineer,9th,28,Yes,Charter,1,No,4,2.8,0
326,23,Other,PhD,31182,Unemployed,12th,32,Yes,Charter,4,No,3,1.5,0
327,21,Male,PhD,3979,Teacher,8th,9,Yes,Charter,3,Yes,1,1.5,0
328,20,Other,Bachelor's,27215,Service,12th,49,Yes,Public,1,No,4,0.2,1
329,15,Other,None,87456,Engineer,6th,39,No,Private,3,Yes,5,1.4,1
330,23,Male,PhD,63213,Healthcare,12th,20,No,Public,4,Yes,3,3.7,1
331,12,Other,PhD,133900,Unemployed,11th,27,Yes,Private,8,Yes,5,1.5,1
332,13,Other,None,122616,Unemployed,10th,10,No,Public,9,No,2,3.3,0
333,12,Other,High School,51272,Engineer,8th,33,Yes,Private,3,Yes,3,3.4,1
334,25,Female,PhD,38913,Teacher,9th,7,Yes,Public,6,Yes,4,1.5,1
335,23,Male,Master's,56953,Healthcare,10th,21,No,Charter,10,Yes,3,2.5,1
336,16,Other,PhD,88544,Engineer,7th,7,Yes,Public,5,No,5,0.4,1
337,16,Male,High School,40209,Service,11th,48,No,Public,6,No,1,0.4,0
338,22,Male,High School,93622,Healthcare,9th,14,Yes,Charter,4,No,3,0.2,0
339,18,Male,Bachelor's,61411,Unemployed,10th,16,Yes,Charter,10,Yes,4,2.3,1
340,20,Other,Master's,82807,Engineer,6th,22,No,Private,6,No,2,1.7,0
341,20,Other,High School,65418,Unemployed,7th,23,Yes,Private,7,No,1,2.2,0
342,14,Male,None,44169,Unemployed,9th,44,Yes,Private,9,Yes,2,2.1,0
343,14,Female,Master's,142267,Unemployed,6th,18,Yes,Public,10,Yes,3,1.4,1
344,14,Male,Master's,114540,Teacher,11th,4,No,Private,7,No,5,2.7,1
345,15,Female,None,21016,Unemployed,7th,31,Yes,Public,6,No,5,3.0,1
346,19,Male,PhD,130270,Service,8th,43,Yes,Public,1,Yes,4,0.1,1
347,17,Male,None,73114,Service,6th,0,Yes,Private,2,No,5,0.8,0
348,19,Male,None,134182,Healthcare,10th,22,No,Private,1,Yes,1,2.9,1
349,12,Other,PhD,119978,Unemployed,12th,36,No,Public,9,Yes,5,1.5,1
350,19,Female,PhD,63782,Unemployed,9th,7,No,Charter,10,No,4,2.6,1
351,15,Female,PhD,3370,Engineer,7th,12,No,Charter,10,No,3,1.4,0
352,22,Male,PhD,40301,Teacher,6th,7,No,Public,9,No,3,1.6,0
353,12,Other,PhD,81245,Healthcare,8th,22,Yes,Private,7,No,5,0.6,1
354,19,Other,None,95021,Unemployed,12th,42,No,Public,2,Yes,2,1.0,1
355,15,Female,Bachelor's,38683,Engineer,9th,0,No,Public,6,No,3,2.4,0
356,17,Other,Bachelor's,20903,Teacher,9th,44,Yes,Private,4,No,5,1.7,1
357,19,Female,High School,125239,Healthcare,6th,50,No,Charter,1,No,4,3.1,1
358,15,Female,Bachelor's,147660,Healthcare,8th,23,Yes,Public,1,Yes,5,3.4,1
359,25,Female,Bachelor's,78853,Unemployed,11th,34,No,Charter,5,No,3,2.2,0
360,14,Other,None,25751,Healthcare,12th,23,Yes,Charter,2,No,4,3.0,1
361,25,Female,PhD,40846,Engineer,11th,16,Yes,Private,4,Yes,5,1.2,1
362,20,Female,PhD,2758,Healthcare,7th,4,No,Public,1,Yes,1,1.7,0
363,14,Male,None,137144,Service,6th,19,No,Public,4,Yes,4,2.9,1
364,20,Female,Bachelor's,17662,Engineer,12th,20,Yes,Charter,6,Yes,1,1.5,0
365,24,Female,None,86477,Teacher,7th,39,Yes,Charter,10,Yes,2,2.4,1
366,13,Male,High School,41108,Teacher,11th,30,Yes,Private,4,No,4,0.7,0
367,25,Male,PhD,83126,Unemployed,12th,45,Yes,Charter,1,Yes,1,2.4,1
368,13,Other,Master's,97713,Unemployed,9th,35,Yes,Private,7,Yes,3,3.4,1
369,13,Female,High School,124461,Service,7th,10,Yes,Public,2,Yes,3,3.5,1
370,17,Other,High School,30963,Teacher,8th,14,Yes,Private,9,Yes,2,2.9,0
371,14,Other,None,1649,Teacher,10th,18,No,Charter,3,Yes,4,3.0,0
372,24,Male,Bachelor's,20532,Teacher,11th,6,Yes,Public,8,Yes,4,2.2,1
373,20,Other,PhD,135002,Teacher,11th,50,No,Private,8,Yes,4,2.3,1
374,15,Female,Master's,131083,Healthcare,8th,27,No,Public,3,Yes,2,0.5,1
375,12,Male,High School,89611,Engineer,12th,50,Yes,Private,4,No,4,1.8,0
376,15,Female,Master's,90077,Engineer,12th,42,Yes,Charter,2,No,3,1.8,0
377,12,Female,Bachelor's,99755,Service,12th,4,No,Charter,4,No,1,3.8,0
378,25,Male,Bachelor's,26305,Healthcare,7th,4,Yes,Public,9,Yes,3,1.7,0
379,16,Female,Master's,137161,Teacher,6th,29,Yes,Public,2,Yes,3,2.2,1
380,15,Male,PhD,62815,Teacher,9th,31,No,Public,3,Yes,1,2.1,1
381,19,Female,Bachelor's,57470,Unemployed,10th,7,No,Private,4,No,3,2.5,0
382,19,Male,Master's,77837,Unemployed,6th,9,No,Charter,5,Yes,2,3.0,1
383,18,Other,High School,7044,Service,6th,37,Yes,Public,1,Yes,1,0.9,0
384,14,Female,Master's,24942,Teacher,8th,46,Yes,Public,7,Yes,3,2.1,0
385,12,Male,Master's,110705,Service,7th,31,No,Public,10,No,5,3.3,1
386,12,Female,None,12419,Healthcare,11th,47,Yes,Private,7,No,3,1.9,0
387,23,Female,Bachelor's,90472,Engineer,11th,27,No,Public,9,Yes,2,1.1,1
388,22,Female,PhD,36802,Teacher,8th,16,Yes,Public,4,No,4,2.6,1
389,14,Male,PhD,58394,Healthcare,7th,30,No,Private,6,Yes,3,3.3,1
390,17,Other,None,43304,Teacher,8th,7,Yes,Private,2,Yes,4,0.3,0
391,18,Other,PhD,53350,Unemployed,11th,39,No,Public,4,No,5,3.1,1
392,17,Other,Master's,107856,Service,6th,24,Yes,Public,2,No,3,3.3,1
393,25,Male,None,44568,Unemployed,9th,8,Yes,Private,10,No,1,1.8,0
394,25,Other,High School,84960,Engineer,12th,1,No,Charter,5,No,4,3.9,0
395,17,Male,Bachelor's,71407,Unemployed,7th,14,Yes,Private,7,Yes,5,3.1,1
396,17,Female,Bachelor's,99550,Teacher,10th,49,Yes,Charter,1,Yes,1,3.1,1
397,24,Female,Bachelor's,140524,Unemployed,10th,2,No,Public,10,No,1,3.0,0
398,14,Other,Master's,109885,Teacher,6th,48,Yes,Public,10,No,1,0.6,0
399,17,Male,High School,32241,Engineer,8th,35,Yes,Charter,7,Yes,1,0.9,0
400,19,Female,None,4677,Unemployed,8th,3,Yes,Private,10,Yes,3,1.9,0
401,22,Male,None,39339,Service,11th,13,No,Public,6,Yes,3,1.1,0
402,22,Male,Bachelor's,89261,Service,6th,40,No,Charter,6,Yes,3,1.7,1
403,13,Female,High School,7713,Service,11th,40,No,Private,8,No,5,3.6,1
404,16,Male,High School,74454,Unemployed,11th,24,No,Charter,8,No,5,3.3,1
405,25,Female,High School,89526,Unemployed,10th,49,No,Private,6,No,5,2.5,0
406,12,Female,PhD,50136,Unemployed,11th,9,Yes,Private,3,Yes,2,3.4,1
407,23,Female,PhD,115636,Teacher,12th,20,Yes,Private,5,Yes,5,3.1,1
408,12,Male,Bachelor's,15989,Engineer,11th,35,No,Private,2,No,3,1.7,0
409,16,Female,High School,11270,Service,10th,11,Yes,Charter,5,No,3,0.8,0
410,23,Male,High School,109228,Teacher,12th,26,Yes,Charter,9,No,2,2.1,0
411,24,Female,None,74323,Service,8th,39,Yes,Charter,10,Yes,2,2.9,1
412,14,Female,None,103260,Teacher,7th,1,Yes,Charter,1,No,5,1.7,0
413,15,Other,Bachelor's,65224,Unemployed,9th,12,No,Charter,10,Yes,4,2.7,1
414,14,Other,High School,36960,Service,11th,31,No,Private,5,No,2,0.4,0
415,12,Other,Bachelor's,122865,Unemployed,12th,30,Yes,Public,6,No,1,3.0,1
416,12,Male,None,119912,Service,7th,15,Yes,Public,7,No,3,3.3,0
417,23,Male,None,104204,Healthcare,10th,31,No,Charter,9,Yes,1,2.8,1
418,23,Female,PhD,40821,Teacher,7th,31,Yes,Charter,6,Yes,3,3.9,1
419,25,Female,Bachelor's,88534,Healthcare,9th,33,Yes,Public,5,Yes,3,3.3,1
420,24,Female,Bachelor's,54146,Teacher,7th,10,Yes,Private,7,Yes,2,3.6,1
421,25,Female,High School,13737,Engineer,12th,9,No,Charter,1,Yes,2,3.7,0
422,16,Male,High School,137597,Service,7th,14,No,Private,5,Yes,1,3.2,1
423,17,Female,PhD,20522,Engineer,7th,16,Yes,Public,2,No,3,2.7,0
424,14,Female,Master's,142535,Engineer,7th,39,Yes,Public,4,Yes,1,0.0,1
425,23,Other,Master's,66900,Teacher,6th,17,Yes,Charter,7,No,4,1.9,1
426,20,Female,Master's,27769,Healthcare,11th,8,Yes,Private,5,Yes,1,2.3,0
427,16,Female,Bachelor's,81285,Unemployed,10th,24,Yes,Charter,6,No,5,1.2,1
428,19,Female,Bachelor's,130941,Teacher,9th,39,Yes,Public,2,No,1,1.3,0
429,24,Male,None,109833,Unemployed,10th,13,No,Private,3,Yes,5,3.8,1
430,12,Other,Bachelor's,120984,Engineer,6th,24,No,Charter,7,No,5,3.6,1
431,25,Female,Bachelor's,98817,Unemployed,6th,49,Yes,Charter,2,Yes,5,3.4,1
432,16,Female,Bachelor's,103841,Healthcare,12th,21,No,Charter,6,Yes,4,1.6,1
433,14,Other,PhD,127379,Teacher,6th,29,Yes,Public,5,Yes,1,0.1,1
434,23,Female,Bachelor's,37450,Healthcare,11th,19,Yes,Charter,10,Yes,1,0.3,0
435,12,Male,High School,73413,Healthcare,6th,20,No,Private,1,No,4,1.2,0
436,15,Female,High School,33181,Teacher,7th,43,No,Charter,10,Yes,3,0.1,0
437,24,Male,None,148150,Healthcare,10th,31,Yes,Public,4,No,2,0.1,0
438,16,Male,PhD,141608,Service,8th,50,Yes,Charter,2,No,1,3.7,1
439,18,Female,High School,5914,Service,9th,45,No,Public,4,No,2,2.8,0
440,12,Other,PhD,105836,Service,6th,48,No,Public,1,Yes,4,1.2,1
441,14,Male,PhD,138787,Unemployed,10th,20,Yes,Private,2,No,3,0.5,0
442,13,Other,None,27086,Healthcare,12th,34,Yes,Private,8,Yes,3,2.0,0
443,20,Female,PhD,85191,Teacher,6th,31,Yes,Charter,6,No,3,0.0,0
444,21,Male,Bachelor's,137323,Teacher,11th,29,No,Public,2,Yes,4,3.8,1
445,17,Female,PhD,5091,Unemployed,6th,38,Yes,Public,6,Yes,5,1.7,1
446,21,Other,None,104613,Teacher,6th,48,No,Private,10,Yes,5,1.6,1
447,14,Female,None,44602,Service,6th,11,Yes,Private,9,Yes,2,1.6,0
448,19,Female,None,138659,Healthcare,12th,40,No,Charter,7,No,5,0.3,0
449,25,Male,High School,145658,Teacher,6th,46,No,Public,9,No,5,2.6,0
450,19,Female,Bachelor's,141639,Teacher,9th,17,No,Private,5,Yes,3,2.9,1
451,13,Female,High School,71132,Engineer,10th,20,No,Charter,7,No,3,2.7,0
452,17,Female,Master's,129306,Engineer,11th,12,Yes,Public,7,Yes,2,0.6,1
453,18,Male,Bachelor's,126682,Engineer,6th,20,No,Public,3,Yes,1,2.3,1
454,13,Other,PhD,47865,Healthcare,6th,7,No,Private,7,No,2,2.3,0
455,22,Other,None,124337,Service,6th,45,No,Charter,1,Yes,2,3.5,1
456,21,Female,Master's,5551,Service,6th,39,Yes,Private,9,Yes,4,1.5,1
457,13,Male,Bachelor's,89440,Service,7th,45,Yes,Charter,10,Yes,4,1.5,1
458,21,Female,High School,34501,Healthcare,7th,6,Yes,Public,6,Yes,2,2.5,0
459,12,Other,None,18085,Healthcare,8th,22,Yes,Charter,5,Yes,2,2.5,0
460,19,Male,High School,11542,Engineer,6th,43,Yes,Charter,7,No,2,1.9,0
461,12,Other,Bachelor's,104443,Teacher,8th,31,Yes,Charter,5,No,5,1.8,1
462,20,Other,Bachelor's,50981,Unemployed,9th,10,No,Charter,10,No,4,2.0,1
463,22,Male,Master's,108715,Unemployed,8th,21,No,Charter,5,Yes,2,3.4,1
464,17,Male,PhD,9803,Teacher,10th,21,No,Private,10,Yes,3,1.8,0
465,18,Female,High School,47293,Engineer,7th,42,Yes,Charter,7,Yes,3,3.8,1
466,24,Female,Master's,80923,Teacher,7th,24,No,Charter,10,Yes,5,2.0,1
467,21,Other,None,118608,Teacher,6th,21,No,Public,7,Yes,5,3.8,1
468,18,Male,PhD,47812,Unemployed,6th,27,Yes,Charter,3,Yes,1,3.3,1
469,21,Male,Master's,93883,Engineer,9th,28,No,Public,3,No,1,1.4,0
470,14,Female,High School,132896,Healthcare,11th,12,Yes,Private,10,Yes,1,3.5,1
471,13,Other,Bachelor's,92379,Unemployed,9th,17,No,Private,3,No,5,0.4,1
472,20,Other,None,34943,Healthcare,10th,1,Yes,Charter,6,Yes,5,3.7,0
473,19,Female,High School,3660,Engineer,6th,28,Yes,Private,6,No,5,2.5,0
474,24,Male,PhD,130514,Teacher,6th,20,Yes,Charter,3,Yes,3,0.2,1
475,23,Female,PhD,3190,Service,9th,14,No,Private,3,No,5,2.6,1
476,21,Female,Bachelor's,131205,Service,9th,26,No,Charter,8,No,3,3.9,1
477,18,Female,Bachelor's,79340,Engineer,9th,49,Yes,Charter,8,Yes,1,0.3,1
478,20,Female,None,140860,Service,7th,30,Yes,Public,7,Yes,1,2.2,1
479,15,Male,None,119817,Healthcare,8th,14,No,Public,10,No,1,3.0,0
480,24,Female,Bachelor's,149690,Service,8th,50,No,Public,4,Yes,2,3.2,1
481,15,Male,Bachelor's,52606,Engineer,6th,22,Yes,Public,4,Yes,2,1.7,1
482,12,Female,PhD,115078,Engineer,7th,23,No,Charter,3,Yes,4,0.8,1
483,19,Other,Bachelor's,60289,Healthcare,9th,43,No,Private,5,No,4,0.2,1
484,25,Male,Master's,71981,Service,6th,12,No,Charter,3,Yes,4,2.3,1
485,25,Other,High School,94125,Service,7th,21,Yes,Public,8,No,2,1.8,0
486,23,Female,Bachelor's,131051,Teacher,10th,42,Yes,Public,7,No,2,3.8,1
487,14,Female,None,147612,Unemployed,11th,36,No,Private,3,Yes,4,0.2,1
488,18,Female,Master's,115241,Engineer,7th,32,Yes,Public,9,No,4,2.7,1
489,23,Male,None,62665,Teacher,12th,2,No,Charter,5,Yes,5,0.1,1
490,13,Other,Master's,63203,Engineer,6th,18,No,Charter,9,Yes,4,0.7,1
491,13,Male,Bachelor's,110637,Teacher,8th,22,Yes,Charter,7,No,5,1.8,1
492,18,Male,High School,35816,Unemployed,12th,28,Yes,Charter,7,No,3,1.8,0
493,17,Female,None,16571,Teacher,9th,29,Yes,Charter,6,No,2,2.7,0
494,14,Other,Master's,53193,Engineer,11th,38,No,Private,2,No,4,3.6,1
495,20,Female,PhD,43085,Service,10th,43,No,Charter,9,No,2,2.6,0
496,21,Male,Bachelor's,44446,Engineer,11th,46,Yes,Public,6,Yes,2,3.8,1
497,25,Female,High School,35041,Healthcare,11th,24,Yes,Public,8,No,2,3.5,1
498,24,Other,Bachelor's,6313,Healthcare,7th,36,Yes,Public,1,Yes,3,2.3,0
499,17,Female,PhD,2681,Healthcare,6th,46,No,Public,5,Yes,1,3.3,1
500,21,Other,High School,148158,Healthcare,6th,7,No,Private,1,No,4,2.6,0
501,21,Other,PhD,64165,Unemployed,11th,41,No,Public,10,No,1,0.3,0
502,17,Female,Bachelor's,57648,Service,9th,15,Yes,Private,8,No,1,3.0,0
503,12,Male,Master's,101947,Service,6th,7,Yes,Public,8,No,1,0.4,0
504,15,Female,Bachelor's,32738,Engineer,11th,0,No,Private,1,No,2,2.4,0
505,21,Male,Bachelor's,142494,Teacher,6th,43,Yes,Private,9,Yes,5,2.8,1
506,17,Male,Bachelor's,117951,Engineer,9th,4,Yes,Private,2,Yes,2,0.3,1
507,17,Female,None,13411,Engineer,10th,2,Yes,Public,9,Yes,2,0.9,0
508,22,Male,PhD,62637,Engineer,12th,0,Yes,Private,1,No,1,3.7,0
509,23,Male,PhD,131867,Engineer,11th,3,No,Charter,10,No,2,2.5,0
510,16,Female,PhD,141709,Service,8th,39,Yes,Charter,9,Yes,1,1.0,1
511,12,Female,None,70110,Teacher,8th,34,No,Public,4,No,5,2.8,0
512,19,Female,Master's,92011,Engineer,11th,31,No,Charter,9,No,4,2.4,1
513,16,Male,Bachelor's,25055,Service,7th,41,Yes,Charter,7,No,1,2.0,0
514,23,Other,Master's,148675,Engineer,10th,33,No,Charter,6,Yes,5,3.9,1
515,23,Male,None,34750,Healthcare,7th,42,No,Public,5,No,4,2.7,0
516,23,Other,PhD,141409,Engineer,12th,24,Yes,Public,9,Yes,3,1.5,1
517,16,Female,Bachelor's,97446,Engineer,8th,9,No,Charter,2,No,1,3.2,0
518,18,Other,High School,91160,Unemployed,9th,20,No,Public,2,No,1,3.5,1
519,15,Female,High School,76903,Healthcare,11th,45,No,Private,9,Yes,3,0.5,1
520,17,Female,Master's,34600,Teacher,12th,38,No,Charter,3,No,3,0.8,0
521,24,Other,PhD,26479,Engineer,6th,26,No,Public,8,No,1,0.9,0
522,15,Female,High School,33072,Teacher,8th,26,No,Public,9,No,3,2.8,0
523,25,Other,Master's,27965,Healthcare,10th,1,No,Charter,8,Yes,2,2.4,0
524,14,Female,None,116937,Engineer,8th,40,No,Public,4,No,4,2.5,0
525,18,Male,Master's,52518,Unemployed,10th,47,Yes,Charter,1,No,4,3.8,1
526,19,Male,Master's,8676,Service,10th,12,Yes,Public,4,No,4,3.1,1
527,15,Female,Master's,145365,Unemployed,11th,8,Yes,Private,9,No,2,0.5,0
528,24,Female,Bachelor's,132567,Unemployed,10th,35,No,Charter,2,No,3,1.4,0
529,13,Other,Master's,139162,Service,7th,21,No,Private,3,Yes,5,1.7,1
530,23,Male,Master's,149236,Service,12th,41,No,Charter,10,Yes,3,1.6,1
531,21,Other,Bachelor's,26084,Service,9th,25,Yes,Public,8,No,1,2.7,0
532,25,Female,Bachelor's,59436,Engineer,8th,11,Yes,Private,6,No,4,3.6,1
533,14,Female,None,113735,Teacher,9th,16,Yes,Public,8,Yes,3,1.2,1
534,12,Other,PhD,104403,Teacher,12th,13,No,Charter,7,No,5,2.2,1
535,19,Female,High School,23084,Service,6th,13,Yes,Charter,5,No,1,3.2,0
536,14,Male,High School,122374,Unemployed,12th,33,Yes,Charter,9,No,2,1.7,0
537,23,Other,Master's,33666,Healthcare,8th,19,No,Charter,4,No,2,0.7,0
538,21,Male,None,33572,Service,9th,10,Yes,Charter,6,No,5,1.9,0
539,18,Male,Master's,80546,Unemployed,9th,15,No,Private,2,No,1,0.2,0
540,21,Male,High School,88940,Unemployed,11th,50,Yes,Charter,2,No,4,3.8,1
541,16,Other,Bachelor's,87012,Engineer,11th,30,No,Public,2,No,3,0.3,0
542,21,Female,PhD,13723,Engineer,12th,5,No,Private,10,Yes,1,1.8,0
543,16,Male,None,131619,Teacher,12th,18,No,Public,7,Yes,2,2.1,1
544,25,Male,Bachelor's,39840,Teacher,6th,36,No,Charter,2,No,5,3.9,1
545,18,Male,PhD,19427,Healthcare,10th,3,No,Public,2,No,5,0.7,1
546,20,Female,None,133312,Healthcare,8th,46,Yes,Private,9,No,3,0.5,0
547,23,Female,None,143347,Healthcare,11th,3,No,Private,7,No,5,0.0,0
548,16,Other,High School,129319,Healthcare,8th,19,No,Private,3,Yes,5,0.6,1
549,12,Female,Bachelor's,121427,Unemployed,6th,9,No,Public,3,Yes,1,0.8,1
550,21,Other,None,98286,Unemployed,11th,23,No,Private,7,Yes,4,2.5,1
551,21,Other,None,82628,Teacher,11th,34,Yes,Public,5,Yes,3,0.9,1
552,12,Other,PhD,13048,Engineer,10th,25,No,Charter,10,No,1,0.1,0
553,13,Other,High School,61267,Engineer,8th,36,Yes,Charter,6,No,4,3.3,1
554,25,Other,Master's,55903,Service,8th,37,No,Public,8,No,1,1.5,0
555,17,Male,High School,38963,Unemployed,8th,20,No,Private,9,Yes,1,1.4,0
556,20,Female,Master's,108513,Healthcare,10th,39,Yes,Public,1,No,5,1.2,1
557,19,Male,Bachelor's,74381,Healthcare,11th,38,Yes,Public,3,No,4,3.9,1
558,24,Other,Bachelor's,12156,Service,6th,20,Yes,Public,7,Yes,3,0.7,0
559,16,Female,None,33027,Engineer,8th,9,No,Charter,6,Yes,3,3.6,0
560,12,Male,Bachelor's,102488,Healthcare,9th,37,Yes,Public,7,Yes,4,3.1,1
561,24,Male,None,11419,Engineer,10th,45,No,Charter,8,Yes,5,0.3,0
562,18,Other,High School,127681,Service,7th,3,Yes,Public,6,Yes,2,3.9,1
563,16,Male,Bachelor's,74271,Engineer,6th,44,Yes,Charter,3,No,1,1.1,0
564,17,Male,High School,72087,Engineer,9th,19,No,Public,2,No,5,0.4,0
565,24,Male,High School,88861,Engineer,8th,16,Yes,Public,7,Yes,4,3.3,1
566,18,Male,Bachelor's,123702,Healthcare,7th,6,Yes,Private,1,No,1,2.8,0
567,14,Male,High School,52171,Teacher,6th,3,No,Private,3,No,3,2.5,0
568,23,Other,Bachelor's,101702,Unemployed,10th,28,No,Public,4,No,2,0.6,0
569,21,Other,Bachelor's,84859,Engineer,7th,13,No,Public,1,No,3,1.9,0
570,14,Male,Bachelor's,40054,Engineer,11th,2,Yes,Public,5,Yes,4,3.1,1
571,16,Other,Master's,131794,Engineer,12th,23,Yes,Public,10,No,1,1.2,0
572,17,Other,High School,119613,Teacher,7th,36,Yes,Private,3,No,4,1.2,0
573,20,Female,PhD,98767,Service,12th,15,Yes,Charter,2,No,1,0.0,0
574,24,Male,Bachelor's,127587,Healthcare,9th,3,Yes,Public,3,Yes,5,0.7,1
575,25,Other,High School,130094,Teacher,6th,23,No,Private,8,No,2,3.5,1
576,23,Other,None,106254,Engineer,9th,33,Yes,Public,6,Yes,5,1.8,1
577,16,Male,Bachelor's,125551,Teacher,9th,29,No,Public,7,Yes,5,3.9,1
578,12,Female,Bachelor's,104620,Teacher,8th,17,Yes,Charter,6,Yes,4,1.6,1
579,25,Male,PhD,102021,Teacher,10th,18,No,Public,6,Yes,2,2.9,1
580,25,Female,Master's,92791,Service,7th,30,Yes,Public,3,No,1,1.1,0
581,25,Male,Master's,112907,Unemployed,6th,18,Yes,Charter,8,Yes,1,1.5,1
582,15,Male,Bachelor's,23790,Healthcare,11th,48,No,Charter,7,Yes,3,0.8,0
583,16,Male,High School,132130,Service,10th,45,Yes,Charter,7,Yes,1,1.4,1
584,23,Male,None,130776,Service,10th,18,No,Charter,6,Yes,4,2.2,1
585,21,Female,None,4387,Unemployed,6th,21,Yes,Private,5,Yes,5,4.0,1
586,21,Female,High School,123872,Service,10th,23,Yes,Private,10,No,5,2.7,0
587,16,Other,Bachelor's,19330,Teacher,8th,44,No,Private,8,Yes,5,0.8,1
588,18,Male,None,50267,Teacher,10th,11,Yes,Public,5,No,2,0.2,0
589,15,Female,Master's,111526,Engineer,8th,29,No,Charter,9,No,1,0.5,0
590,12,Female,High School,24113,Service,7th,37,Yes,Charter,9,Yes,4,2.3,0
591,25,Female,PhD,122695,Engineer,7th,30,Yes,Private,1,No,2,3.1,1
592,25,Male,Bachelor's,124820,Healthcare,9th,35,Yes,Public,6,No,3,3.8,1
593,16,Other,High School,76120,Teacher,8th,18,Yes,Public,7,No,4,0.1,0
594,18,Female,None,957,Healthcare,11th,47,Yes,Public,3,Yes,4,2.1,0
595,21,Male,Bachelor's,43055,Unemployed,7th,44,Yes,Private,7,Yes,4,1.9,1
596,21,Female,Master's,92539,Teacher,10th,35,Yes,Public,7,Yes,5,2.6,1
597,17,Female,Bachelor's,147177,Healthcare,6th,29,No,Public,2,Yes,4,2.2,1
598,16,Other,Bachelor's,94772,Unemployed,6th,48,Yes,Public,7,Yes,1,2.7,1
599,15,Female,Master's,38970,Healthcare,12th,32,Yes,Charter,1,Yes,4,2.6,1
600,13,Female,Master's,95100,Unemployed,8th,17,Yes,Private,5,Yes,5,0.5,1
601,15,Male,Bachelor's,80997,Unemployed,11th,48,No,Charter,9,No,4,3.2,1
602,21,Male,Master's,116976,Teacher,9th,27,No,Charter,7,No,3,0.5,0
603,21,Other,High School,16047,Engineer,10th,46,Yes,Private,7,Yes,3,2.8,0
604,14,Male,Master's,114154,Unemployed,8th,10,Yes,Charter,2,No,5,1.7,1
605,21,Male,Master's,81189,Unemployed,12th,44,Yes,Public,8,Yes,1,2.1,1
606,12,Other,Bachelor's,144448,Teacher,6th,32,No,Public,3,Yes,1,3.6,1
607,19,Female,High School,51280,Engineer,8th,16,Yes,Public,8,Yes,2,3.6,1
608,16,Other,PhD,94893,Service,10th,5,No,Public,3,No,5,3.3,1
609,24,Male,PhD,139804,Service,11th,3,Yes,Private,10,Yes,4,2.0,1
610,15,Other,None,15376,Engineer,11th,19,No,Charter,7,Yes,5,2.9,0
611,19,Female,Master's,140584,Healthcare,7th,47,No,Charter,2,Yes,2,2.1,1
612,18,Other,Master's,103182,Teacher,10th,46,Yes,Public,4,Yes,5,3.5,1
613,13,Male,High School,10175,Engineer,12th,26,Yes,Public,6,No,5,1.6,0
614,12,Male,PhD,45144,Service,7th,14,Yes,Charter,9,Yes,2,3.9,0
615,23,Other,None,106225,Unemployed,7th,5,Yes,Private,5,No,1,3.7,0
616,22,Female,High School,10102,Service,7th,46,Yes,Charter,9,No,4,3.0,1
617,15,Other,Master's,87325,Unemployed,8th,13,Yes,Public,5,Yes,2,1.1,1
618,19,Female,PhD,51882,Teacher,12th,10,Yes,Public,10,Yes,3,0.5,1
619,23,Female,None,93137,Unemployed,6th,38,No,Private,8,No,1,3.4,1
620,13,Other,Bachelor's,6861,Engineer,11th,8,Yes,Charter,1,No,3,0.7,0
621,14,Female,PhD,130730,Unemployed,8th,25,Yes,Private,7,No,1,3.4,1
622,23,Male,None,146023,Healthcare,6th,15,No,Private,4,No,4,2.0,0
623,12,Other,High School,145331,Engineer,11th,4,Yes,Public,5,Yes,4,1.6,1
624,12,Female,Bachelor's,112447,Teacher,12th,9,Yes,Charter,6,No,5,3.6,1
625,24,Male,None,19512,Engineer,12th,49,Yes,Public,5,No,3,2.4,0
626,14,Other,None,113739,Healthcare,10th,2,Yes,Charter,1,No,1,2.3,0
627,22,Male,Master's,3688,Teacher,11th,12,No,Public,9,No,4,2.2,1
628,16,Male,PhD,3318,Service,11th,42,No,Public,2,Yes,2,1.5,0
629,23,Male,Master's,48541,Healthcare,12th,48,Yes,Charter,9,Yes,4,3.1,1
630,14,Female,Bachelor's,73296,Teacher,11th,29,Yes,Charter,10,Yes,2,1.0,1
631,12,Other,None,115561,Unemployed,9th,44,No,Public,2,No,1,3.8,1
632,12,Other,Master's,102494,Engineer,10th,5,Yes,Charter,9,No,4,3.6,1
633,19,Female,PhD,66885,Teacher,8th,16,No,Public,6,Yes,4,1.3,1
634,21,Other,Bachelor's,41043,Engineer,8th,44,No,Charter,9,Yes,1,2.9,0
635,22,Male,High School,149568,Unemployed,6th,50,No,Public,6,No,4,2.3,0
636,23,Other,Master's,63927,Teacher,8th,18,Yes,Public,6,Yes,2,1.4,1
