,Age,Education,Occupation,Marital Status,Family size,Income source,Neighborhood income percentiles,label
304,60,Bachelor's,Professional,Single,4,Salary,[90.31202335 86.95620164 66.4296643 ],1
305,31,High School,Professional,Divorced,3,Salary,[27.99677439 21.7979738   6.2507964 ],0
306,58,Bachelor's,White-collar,Divorced,2,Inheritance,[92.54718996 75.22978448  7.83405813],1
307,24,PhD,Blue-collar,Married,3,Salary,[60.27875953 71.78736655 73.23355812],1
308,40,Bachelor's,White-collar,Divorced,2,Business,[23.10522229 96.36045336  7.65743115],0
309,43,Master's,Entrepreneur,Married,1,Salary,[25.73990557 93.43441156 57.03506186],1
310,25,PhD,White-collar,Married,2,Salary,[66.27916668 61.45779478 15.97376694],1
311,43,High School,Blue-collar,Married,4,Salary,[43.41159982  5.46931567 69.87657505],1
312,32,Bachelor's,Blue-collar,Single,1,Inheritance,[72.87103744  6.69236174  7.17107313],0
313,39,PhD,Professional,Divorced,1,Business,[22.1557363  30.85154954 66.39963336],1
314,56,PhD,White-collar,Single,4,Business,[67.78116694 29.15721655 52.23057624],1
315,41,High School,Entrepreneur,Divorced,1,Business,[88.97421302 15.48667128 83.86979551],1
316,63,High School,Blue-collar,Married,1,Salary,[29.22653583 39.93689945 35.5715007 ],0
317,61,Master's,Professional,Married,1,Inheritance,[33.73527053 89.3973485  28.63491419],1
318,27,Bachelor's,Entrepreneur,Divorced,2,Salary,[59.06251862 27.10525136  4.46295905],1
319,59,Master's,Entrepreneur,Single,4,Inheritance,[33.67440499 93.89773727  4.63761024],1
320,59,PhD,White-collar,Married,1,Inheritance,[76.22883351 30.64952324 17.09895848],0
321,20,Bachelor's,White-collar,Married,4,Inheritance,[81.42784564 53.21179985 73.38574634],1
322,31,High School,Professional,Divorced,2,Inheritance,[60.16066969  3.01207302  5.68477629],0
323,21,Master's,White-collar,Divorced,4,Inheritance,[80.77284184 50.31824592 74.70522572],1
324,61,PhD,White-collar,Married,4,Inheritance,[46.88695849 95.56495695 19.51525124],1
325,60,PhD,Blue-collar,Divorced,2,Inheritance,[ 8.82989501 51.73369692 85.79458924],1
326,25,PhD,Entrepreneur,Married,3,Salary,[ 0.58499686 19.36007714 34.82668524],1
327,60,PhD,Professional,Single,2,Inheritance,[74.63004939 19.43631433 56.09355717],1
328,43,High School,Blue-collar,Divorced,4,Business,[49.47576303 43.05577895 92.4332972 ],0
329,61,High School,White-collar,Divorced,4,Business,[73.37120892 52.14123496 11.55174892],1
330,18,Master's,Entrepreneur,Divorced,3,Business,[16.81423183 11.0828179  31.00392245],1
331,45,PhD,White-collar,Married,2,Inheritance,[84.75638063 80.35938246 74.54958648],1
332,46,Master's,Entrepreneur,Divorced,4,Business,[87.31463938 43.45033877 89.91341897],1
333,29,Bachelor's,Entrepreneur,Divorced,1,Business,[64.0448119  26.73628489 44.13275495],1
334,43,PhD,White-collar,Divorced,4,Business,[42.96250529 92.8788568  99.17906722],1
335,48,PhD,Blue-collar,Married,3,Business,[62.06499575 23.75816877 46.36351562],1
336,55,Bachelor's,Entrepreneur,Divorced,4,Salary,[34.25888127 74.86986252 78.33600937],1
337,30,Master's,Entrepreneur,Divorced,3,Inheritance,[92.91571827 73.63890638 88.10936742],1
338,43,High School,Professional,Single,4,Business,[11.35612692 64.94194916 80.51886949],1
339,62,Master's,Professional,Single,4,Business,[ 5.06858254 33.94487436 92.42755654],1
340,44,High School,Professional,Divorced,2,Business,[20.235238   58.04574825 12.44148143],0
341,31,PhD,Professional,Single,1,Inheritance,[18.84718216 65.67705766 56.548875  ],1
342,20,Bachelor's,Entrepreneur,Divorced,1,Inheritance,[44.75062619 12.09050616  4.77423821],1
343,23,PhD,White-collar,Married,4,Salary,[39.00083251 69.51102982 55.66203347],1
344,24,Bachelor's,White-collar,Single,1,Business,[81.27687341 94.09146713 49.3625238 ],1
345,56,Bachelor's,Professional,Married,3,Inheritance,[13.87606553 30.51597319 78.14921614],1
346,47,PhD,Professional,Married,3,Salary,[15.26248632 57.19499336 29.51004151],1
347,24,Bachelor's,Professional,Married,2,Inheritance,[80.33694753 36.67042851 64.58996052],1
348,18,Master's,Blue-collar,Married,3,Inheritance,[30.68390852 92.1904285  94.94123203],1
349,64,Master's,White-collar,Single,2,Business,[73.573398    6.47622452 35.45244748],0
350,51,Master's,Professional,Single,1,Salary,[64.34235188 96.35286132 62.79903872],1
351,55,Master's,White-collar,Married,3,Business,[95.77801688 53.73948231  9.574337  ],1
352,64,PhD,Blue-collar,Divorced,4,Inheritance,[89.56652887 51.99448175  4.01495692],1
353,19,High School,Entrepreneur,Divorced,1,Business,[42.28058631 69.01198067 36.98391571],0
354,36,High School,Entrepreneur,Divorced,4,Salary,[19.34663168 93.10133124 39.0686212 ],0
355,22,Master's,Entrepreneur,Married,1,Inheritance,[95.32290383 34.26602427 64.56888192],1
356,37,High School,Professional,Single,4,Business,[99.43405714 20.17870942 85.28232326],1
357,44,Master's,Professional,Single,4,Business,[85.84152444 37.96057677 22.57656541],1
358,21,PhD,White-collar,Single,1,Business,[12.45725184  4.3388476  82.51380471],0
359,60,Bachelor's,White-collar,Single,1,Inheritance,[12.84773178 79.7758738  19.88961299],0
360,32,Bachelor's,Professional,Married,3,Salary,[10.67947499 32.42222559 11.02536881],1
361,60,PhD,Blue-collar,Married,1,Inheritance,[38.73775103 50.18095852 15.41098855],0
362,27,PhD,Entrepreneur,Married,2,Business,[76.25682128 65.81667943 80.34738774],1
363,58,Master's,Entrepreneur,Divorced,2,Business,[29.43181841 84.86960061  9.37453896],1
364,41,PhD,White-collar,Married,1,Business,[74.57001176 19.1074774  73.31185041],1
365,22,Bachelor's,Professional,Divorced,2,Business,[ 3.64077041 17.5399728  84.79726805],1
366,19,High School,Blue-collar,Married,4,Business,[ 6.76480779 88.85903551 34.46692789],1
367,27,PhD,Professional,Divorced,1,Salary,[93.32098334 47.91037871  4.8131727 ],1
368,41,PhD,Entrepreneur,Single,2,Inheritance,[95.86278241 83.51310438 56.43797496],1
369,40,Bachelor's,White-collar,Divorced,1,Inheritance,[44.49098868 70.14465742 71.07941027],1
370,57,High School,Blue-collar,Single,3,Business,[11.80680737 27.4825767  26.04062912],0
371,51,Master's,Blue-collar,Divorced,2,Salary,[28.58397878  3.66840198 68.49121475],0
372,60,PhD,Blue-collar,Single,4,Inheritance,[36.15874086 49.51144536 39.55403221],0
373,63,PhD,Blue-collar,Single,1,Inheritance,[58.38320427 40.11861376  2.36138479],0
374,28,Bachelor's,Blue-collar,Married,3,Business,[ 1.33233981  7.12740151 61.06542348],1
375,52,PhD,Professional,Divorced,1,Salary,[90.9189688  36.278237   47.42998513],1
376,21,PhD,Entrepreneur,Married,4,Salary,[63.38010636 36.12259498 55.81988601],1
377,53,PhD,White-collar,Divorced,3,Business,[92.14007419 34.22439233 95.02085848],1
378,35,High School,Blue-collar,Married,4,Salary,[55.79933234 87.91223235 48.15861108],1
379,54,PhD,Blue-collar,Married,1,Salary,[52.42110117  4.26327093 40.19811554],0
380,41,High School,Professional,Married,2,Business,[43.86265672 37.69101488 19.88600609],0
381,53,Bachelor's,Entrepreneur,Divorced,4,Business,[91.60322135 22.35055339 22.96996405],1
382,34,High School,Professional,Single,3,Business,[68.15008585 70.87780745 48.37396537],1
383,62,PhD,White-collar,Single,2,Inheritance,[10.7573488  12.80248076 68.17584509],0
384,36,High School,Professional,Married,1,Inheritance,[ 8.73707813 92.92350683 64.08906351],1
385,49,High School,White-collar,Divorced,3,Business,[97.24650544 20.48239089 79.57557218],1
386,61,PhD,Blue-collar,Single,2,Business,[28.18139771  3.86810437 66.88419717],0
387,41,PhD,Professional,Married,2,Salary,[ 1.25796019  5.8019387  91.72391711],1
388,47,PhD,White-collar,Single,4,Salary,[24.83953637 96.96083363 12.94622104],0
389,46,Bachelor's,White-collar,Divorced,4,Salary,[60.47173191 28.41086951 55.51383911],1
390,32,High School,Entrepreneur,Married,3,Business,[19.1745656  20.05808687 75.6293798 ],1
391,20,Master's,Entrepreneur,Married,3,Salary,[68.03109545 22.05273756 66.89713267],1
392,35,Bachelor's,White-collar,Single,1,Salary,[78.70194011  5.17629966 38.82468112],0
393,19,Master's,Professional,Single,1,Inheritance,[39.21118761 59.15446378 78.70525712],1
394,54,Master's,Blue-collar,Divorced,3,Inheritance,[62.723266   94.09533534 52.8701483 ],1
395,22,Master's,Entrepreneur,Married,2,Inheritance,[31.96626465 76.47335615 25.53858391],1
396,44,Master's,White-collar,Single,4,Salary,[71.39949506 73.35935356  6.80651622],1
397,61,Bachelor's,Entrepreneur,Married,4,Salary,[51.34186768 82.28907411 87.77535119],1
398,55,Bachelor's,Entrepreneur,Married,4,Salary,[51.87897143 64.21508941 77.46707787],1
399,50,Master's,Blue-collar,Single,4,Inheritance,[32.4924349  97.35723038 13.89047747],0
400,38,PhD,Entrepreneur,Divorced,4,Inheritance,[18.2828232   2.53591781 43.23143873],1
401,32,Bachelor's,Blue-collar,Married,2,Business,[10.37246258 47.69445783 83.68241805],0
402,46,Bachelor's,Entrepreneur,Married,1,Salary,[75.60672492  5.15238627  2.77899541],1
403,43,Bachelor's,Entrepreneur,Single,3,Salary,[83.41022999 14.2722018  54.92140945],1
404,34,Master's,Professional,Single,2,Business,[40.63606444 55.72117747 64.68271698],1
405,62,Master's,Blue-collar,Divorced,2,Salary,[42.15530501 80.55024217 75.6954844 ],1
406,44,Master's,Professional,Single,3,Inheritance,[88.78391368  6.1629048  21.33626637],1
407,60,Bachelor's,White-collar,Divorced,3,Salary,[20.03611716 18.1645929  60.06772991],0
408,33,Master's,Entrepreneur,Divorced,2,Inheritance,[90.7903819  80.32026657 51.79970347],1
409,53,Bachelor's,Blue-collar,Single,3,Salary,[87.09202044 38.55571901 87.5051177 ],1
410,47,PhD,Professional,Divorced,3,Salary,[87.75733954  8.44111562 36.2239255 ],1
411,37,PhD,Professional,Divorced,1,Salary,[69.13730712 88.39043382 75.81410476],1
412,22,Bachelor's,Professional,Divorced,2,Inheritance,[25.97373487 10.42336572 48.70656022],1
413,62,PhD,Professional,Divorced,2,Business,[15.3532445  21.71707916 12.05080646],1
414,26,Bachelor's,Blue-collar,Divorced,3,Inheritance,[ 7.01027392 46.92290623 59.66542705],0
415,18,High School,Blue-collar,Single,2,Salary,[45.7168316  56.87617738 51.71129457],1
416,34,PhD,Blue-collar,Single,3,Business,[83.48653857 33.42434656 54.92878031],1
417,63,Bachelor's,Professional,Single,3,Inheritance,[58.0383556  26.37086094 79.59111788],1
418,18,High School,Blue-collar,Divorced,3,Inheritance,[30.95510459 53.84226342 22.47463813],0
419,26,High School,Professional,Single,4,Business,[44.26444959 97.21152657 29.61909245],0
420,39,PhD,Professional,Married,3,Salary,[94.63881959  0.93040022 67.74222964],1
421,51,Master's,White-collar,Married,1,Business,[96.70201948 75.49270276 35.0394401 ],1
422,47,Master's,Entrepreneur,Divorced,2,Salary,[56.86052212 61.26497224 26.18381827],1
423,28,PhD,Professional,Single,2,Salary,[96.35659493 22.52132843 95.6049115 ],1
424,45,PhD,White-collar,Divorced,2,Salary,[66.95034262 74.70115941 64.64032848],1
425,43,High School,White-collar,Married,1,Salary,[81.54638275 16.29257941 70.77087088],1
426,27,High School,Professional,Married,4,Inheritance,[41.77579387 95.55190359 44.27545632],1
427,33,PhD,Entrepreneur,Single,3,Inheritance,[20.24757877 12.4366582  90.64136254],1
428,59,Master's,Entrepreneur,Married,4,Salary,[75.84153871 49.24119728 91.9714364 ],1
429,51,High School,Professional,Single,4,Inheritance,[45.16692408 34.14416746 51.16994285],0
430,39,PhD,Professional,Single,2,Inheritance,[29.51490727 64.31717315 15.77200731],1
431,36,Bachelor's,Entrepreneur,Divorced,2,Salary,[58.56889489 52.45035569 60.45739706],1
432,52,Bachelor's,White-collar,Single,1,Business,[72.92251312 27.98003321  0.52033833],0
433,46,High School,Professional,Married,3,Salary,[59.26425973 38.91935453 44.94740931],1
434,48,High School,Professional,Divorced,1,Salary,[22.01104873 76.30507923 99.98132247],1
435,36,Bachelor's,Blue-collar,Divorced,3,Business,[74.35935594 54.50196442 91.73920756],1
436,62,PhD,Blue-collar,Married,2,Business,[44.7383776  60.26069778 17.90639337],0
437,40,High School,Professional,Single,4,Business,[75.92662835 77.2684176  45.6812328 ],1
438,47,Master's,Blue-collar,Divorced,1,Business,[27.26348375 34.67904457 90.90752942],0
439,30,High School,Professional,Single,2,Salary,[26.16888933 40.42150262 51.34838772],0
440,38,Bachelor's,White-collar,Single,2,Inheritance,[20.95425262 20.8781919  13.44747635],0
441,46,High School,Entrepreneur,Married,4,Inheritance,[87.95763196 34.54170379 23.50469389],1
442,55,High School,Blue-collar,Married,2,Salary,[ 6.43693077 54.25305182 32.88228646],0
443,20,High School,Blue-collar,Married,3,Inheritance,[87.82059912 53.39742781 51.80145341],1
444,24,PhD,Blue-collar,Married,1,Inheritance,[ 6.7343931   5.55904628 61.79865885],0
445,55,PhD,White-collar,Single,2,Inheritance,[55.42826078 54.8690617  83.46907946],1
446,23,Master's,Blue-collar,Married,4,Inheritance,[40.82719488 73.39801284 26.5525599 ],1
447,31,High School,Professional,Single,2,Salary,[24.33536382 87.93460338 22.35184398],0
448,21,Master's,Blue-collar,Single,2,Salary,[77.47845293 44.19724091 76.0260569 ],1
449,28,Bachelor's,Professional,Married,1,Inheritance,[35.97687056 98.61119809 38.04429696],1
450,21,Bachelor's,Blue-collar,Divorced,1,Salary,[64.31735495 90.64219453 62.47757952],1
451,64,Master's,White-collar,Single,3,Inheritance,[79.47177303 65.85702194 61.69013788],1
452,38,PhD,Professional,Married,4,Inheritance,[64.41708239 34.66410453 26.79600616],1
453,35,Bachelor's,Blue-collar,Divorced,1,Business,[14.76716377 55.45084914 75.3689983 ],1
454,51,High School,Professional,Divorced,3,Inheritance,[56.67908084 38.72816028 34.80941082],0
455,31,Bachelor's,Entrepreneur,Divorced,4,Inheritance,[88.91007374 88.30513067 32.55368795],1
456,21,High School,Entrepreneur,Single,4,Business,[18.3981983  53.31934135 40.87278485],0
457,38,PhD,White-collar,Single,2,Business,[26.32023133 54.42854936 53.09606799],1
458,58,Master's,White-collar,Divorced,2,Business,[84.28991264 60.91489856 51.92333861],1
459,61,Master's,Entrepreneur,Divorced,2,Business,[ 6.75234165 11.79995466 14.63635004],1
460,23,Master's,Entrepreneur,Divorced,4,Inheritance,[43.85487995 22.34650416 30.4657328 ],1
461,18,Master's,Blue-collar,Single,3,Salary,[12.37746787 19.63656824 93.88374413],0
462,42,PhD,Professional,Single,3,Inheritance,[32.67484578 74.75808669 86.7230328 ],1
463,31,Bachelor's,Professional,Divorced,4,Inheritance,[53.56281276  7.4155576  45.50937965],1
464,47,PhD,Entrepreneur,Divorced,3,Salary,[87.85655412 75.1214319  44.15576651],1
465,31,PhD,Entrepreneur,Divorced,4,Business,[98.8885252  29.76344078 35.64806846],1
466,19,PhD,Entrepreneur,Divorced,1,Business,[67.99924486  2.31091367 53.10691331],1
467,22,Master's,Professional,Single,3,Business,[76.04754578 33.20727142 44.28399301],1
468,34,Master's,Blue-collar,Single,1,Business,[85.07760103 64.16321582 32.65875413],1
469,22,High School,Professional,Married,1,Salary,[99.8052527  64.60375794 24.34126884],1
470,56,PhD,White-collar,Divorced,2,Business,[45.69213108 83.04000478 71.3385148 ],1
471,32,High School,Professional,Divorced,1,Inheritance,[ 4.66446932 31.22077763 27.52191054],0
472,42,Master's,White-collar,Divorced,2,Business,[99.45128369 44.25377416 98.04273375],1
473,39,High School,White-collar,Married,1,Inheritance,[81.85837237 82.3864389  71.41818574],1
474,35,Bachelor's,Blue-collar,Single,1,Business,[21.29000227 36.85594623 59.23943594],0
475,41,High School,Blue-collar,Single,3,Business,[28.25587217 70.42178586 47.79123341],0
476,20,PhD,White-collar,Single,4,Inheritance,[44.52167097  5.52477314 91.79636039],0
477,20,Master's,Professional,Single,4,Salary,[65.79822815 39.08503251 25.70538391],1
478,36,High School,Professional,Divorced,3,Business,[95.71979426 49.60060791 46.32115941],0
479,61,High School,Professional,Single,2,Business,[56.60257091 87.94756845 56.45116582],1
480,32,Bachelor's,Blue-collar,Married,3,Inheritance,[23.63266105 99.70905007 86.74802173],1
481,24,Bachelor's,White-collar,Divorced,3,Business,[91.18225535 13.10686246 47.55349858],0
482,39,Bachelor's,Professional,Single,4,Business,[33.42039702 73.41239202 66.75900812],1
483,44,Master's,White-collar,Married,1,Inheritance,[71.39788573 22.96130145 73.00131563],1
484,59,High School,Professional,Single,3,Business,[48.78107332 74.19006599 50.04555796],1
485,20,Master's,Entrepreneur,Married,3,Inheritance,[61.80751721 15.12179798 59.65745081],1
486,25,PhD,Entrepreneur,Single,3,Salary,[14.85457131 51.17713526 75.20626886],1
487,41,PhD,Blue-collar,Married,2,Salary,[24.51803631 95.14108049 83.53113484],1
488,41,High School,Blue-collar,Divorced,3,Inheritance,[56.45184299 11.40443807 40.44414461],0
489,21,Bachelor's,Professional,Single,2,Inheritance,[ 5.17390579 81.65057586 28.4293062 ],1
490,26,PhD,Blue-collar,Divorced,2,Salary,[ 2.02552992 49.5404286  24.03460981],0
491,48,High School,Blue-collar,Divorced,4,Inheritance,[29.4006258  33.38165471 34.01777915],0
492,18,Master's,White-collar,Divorced,2,Salary,[92.70785996 26.06363671 67.54316582],1
493,51,High School,Blue-collar,Married,4,Inheritance,[98.54315486 31.69955576 97.15884959],1
494,47,PhD,Entrepreneur,Single,2,Inheritance,[85.67660947 55.28778311 12.09411993],1
495,45,High School,White-collar,Single,2,Inheritance,[69.8676853  21.96172557 75.94808335],1
496,30,High School,Entrepreneur,Single,2,Inheritance,[ 1.92676063 99.31963114  8.80512298],0
497,53,High School,Professional,Divorced,2,Inheritance,[ 0.83085342 63.89422669 99.57301674],1
498,24,Bachelor's,Entrepreneur,Married,2,Salary,[19.84932982 38.61350125 87.42248055],1
499,41,High School,Entrepreneur,Married,3,Inheritance,[15.37675212 77.0810578  52.74948813],1
500,32,High School,White-collar,Married,4,Salary,[95.76101447 94.94411184 82.75541768],1
501,47,High School,Professional,Married,3,Inheritance,[22.31315576  0.09742743 84.05835803],1
502,42,High School,White-collar,Married,4,Salary,[46.31744332 32.78643038 81.54478632],1
503,22,Master's,Blue-collar,Divorced,3,Salary,[27.44634642 54.20750113 39.99425872],0
504,28,High School,White-collar,Married,3,Inheritance,[58.11704122 44.03551186 99.99122183],1
505,62,Master's,Blue-collar,Single,4,Inheritance,[79.94505186 51.2468445  62.62478881],1
506,27,Master's,White-collar,Divorced,4,Business,[15.34708357 82.7444111  65.25082164],1
507,31,High School,Entrepreneur,Divorced,4,Inheritance,[ 9.99632687 65.91986059 13.25726909],0
508,43,Master's,Professional,Divorced,4,Inheritance,[39.30267654 58.7640466  21.90416864],1
509,54,PhD,Entrepreneur,Married,4,Salary,[93.30354441 89.536291   55.23930914],1
510,53,Master's,Blue-collar,Married,2,Business,[67.47911776 32.50320285 87.92825806],1
511,46,High School,Entrepreneur,Divorced,2,Business,[11.5324378  11.37577227 19.42596793],0
512,40,High School,Professional,Divorced,4,Business,[95.49034125 16.70096973  0.28000366],0
513,43,PhD,Entrepreneur,Divorced,4,Inheritance,[65.93795475 90.25986771 48.31477034],1
514,54,Master's,White-collar,Divorced,1,Salary,[24.27355372 29.13608016 38.25811508],0
515,22,Bachelor's,White-collar,Divorced,2,Business,[34.75427412 95.77403423 76.49939345],1
516,39,Bachelor's,Entrepreneur,Single,1,Salary,[22.94545289 26.72461488 24.26593477],1
517,48,Bachelor's,White-collar,Single,1,Inheritance,[46.39792579 32.5962715   5.00748465],0
518,32,Bachelor's,Entrepreneur,Divorced,4,Salary,[66.7201692  36.39993051  1.66356838],1
519,43,Bachelor's,Professional,Single,1,Business,[62.0549691  35.76871023  0.84580802],1
520,31,PhD,Blue-collar,Single,2,Business,[98.52789119 70.26435867 50.99239264],1
521,43,Master's,Professional,Married,1,Inheritance,[38.64629126 80.23294066 43.73253288],1
522,39,Bachelor's,Entrepreneur,Divorced,1,Business,[ 0.42564082 40.51594484 16.72773046],1
523,41,Bachelor's,White-collar,Married,3,Inheritance,[11.89334747 85.19567465 89.05363916],1
524,46,PhD,White-collar,Divorced,3,Business,[92.05991876 65.20254174  0.65801865],1
525,25,Bachelor's,Blue-collar,Married,1,Inheritance,[19.26632197 68.95652414 75.05082008],1
526,44,PhD,White-collar,Divorced,2,Business,[72.18663113 16.14005937 57.5339566 ],1
527,40,Master's,Entrepreneur,Single,1,Inheritance,[78.27600018 54.45730871 63.9354187 ],1
528,27,PhD,Professional,Divorced,3,Business,[19.35190057 73.28738116 17.57080941],1
529,61,Master's,Professional,Single,1,Inheritance,[68.48440499 83.89675864 71.33684851],1
530,35,PhD,Professional,Married,4,Business,[98.33171544 69.69063336 43.92529524],1
531,25,PhD,Blue-collar,Divorced,1,Business,[50.39335299 10.08659503 89.48540688],1
532,38,Bachelor's,Entrepreneur,Single,2,Salary,[22.86098324  3.45848138 68.64189328],1
533,21,PhD,Entrepreneur,Single,4,Salary,[33.16226777 30.60788886 73.86497495],1
534,56,PhD,Professional,Single,1,Salary,[78.92160416 55.25996149 49.61094041],1
535,24,Master's,Blue-collar,Married,3,Salary,[12.69472293 13.81271896 63.11472665],1
536,44,PhD,Professional,Married,1,Salary,[96.71917076 83.43415221 79.72216616],1
537,59,Master's,Entrepreneur,Divorced,4,Business,[43.09542374 71.89758992  8.96316909],1
538,44,High School,White-collar,Single,3,Salary,[84.91509352 24.53402666  1.76031926],0
539,62,PhD,Professional,Single,3,Inheritance,[15.97521937 75.90348346 71.34060921],1
540,29,PhD,Professional,Divorced,1,Inheritance,[38.11572111 41.2701957   2.95178887],1
541,28,Master's,Professional,Divorced,2,Salary,[57.73023926 79.19622267 67.97959235],1
542,56,Bachelor's,Blue-collar,Married,3,Inheritance,[17.93587327 25.31073216 68.68992805],1
543,47,Bachelor's,Entrepreneur,Married,2,Inheritance,[64.43481926 84.45548832 64.73045578],1
544,43,Bachelor's,Entrepreneur,Single,3,Business,[50.27752885 51.70568055 99.16010297],1
545,21,Master's,Blue-collar,Single,1,Salary,[37.08178087 64.42943771  0.91027654],0
546,30,Bachelor's,Blue-collar,Single,1,Salary,[73.91819917 64.21745568 76.27706524],1
547,49,Bachelor's,White-collar,Single,1,Salary,[92.44331426 79.9651398  10.81053335],1
548,32,Master's,White-collar,Single,1,Inheritance,[55.79247341 81.26219321 28.918272  ],1
549,38,PhD,Blue-collar,Single,4,Inheritance,[51.98534679 90.77221689 19.76004882],1
550,27,Master's,White-collar,Divorced,1,Business,[79.38559359 92.31770842 44.18396457],1
551,51,Master's,Entrepreneur,Married,1,Salary,[17.05440771 86.59734778 73.11625856],1
552,62,Bachelor's,White-collar,Divorced,1,Inheritance,[ 6.61056352 79.704131   63.52104147],1
553,60,High School,Entrepreneur,Single,4,Salary,[42.02453189 18.64723831 15.16547722],0
554,21,Master's,Entrepreneur,Married,2,Salary,[86.46505212 40.06409759 52.94223237],1
555,27,High School,Professional,Divorced,3,Inheritance,[42.36444509 72.04348057 87.3964006 ],1
556,50,PhD,White-collar,Single,2,Inheritance,[95.42158684  1.0539837  37.14790418],0
557,19,PhD,Blue-collar,Married,4,Inheritance,[20.02179218 34.91200385 93.60696563],1
558,55,Master's,Blue-collar,Single,1,Salary,[36.4547803  80.85825047 30.76507831],0
559,18,PhD,Entrepreneur,Divorced,2,Inheritance,[82.84320852 83.91854558 24.06330472],1
560,52,Master's,Blue-collar,Single,1,Salary,[59.43547111 23.35124308 97.3155873 ],1
561,49,Master's,White-collar,Single,4,Salary,[12.55275597  9.69392023 86.88232859],0
562,57,Bachelor's,White-collar,Single,2,Salary,[56.87841429 25.02452225 41.19530716],0
563,21,Master's,Blue-collar,Married,3,Inheritance,[78.93611752 22.24488923 29.59080294],1
564,42,High School,White-collar,Divorced,1,Salary,[41.6551585  35.28828308 42.41905648],0
565,40,PhD,Professional,Married,1,Salary,[49.62240031 12.50578696  4.83070762],1
566,55,High School,Professional,Single,2,Inheritance,[14.81614193 79.85226325  4.71627055],0
567,54,Master's,White-collar,Married,3,Salary,[42.30671968 81.50558346 44.06524088],1
568,31,High School,White-collar,Married,3,Inheritance,[28.27538227 54.22352323 65.81862508],1
569,21,PhD,Blue-collar,Single,3,Business,[53.80559964 26.90092569 19.63242383],0
570,25,PhD,Blue-collar,Married,2,Inheritance,[48.48240201 10.10492813 74.48483187],0
571,29,High School,Blue-collar,Married,3,Business,[88.83003179 27.84278419 46.42925433],1
572,34,Bachelor's,Blue-collar,Divorced,3,Business,[72.34349304 24.22887885 57.18192858],1
573,64,Master's,White-collar,Married,3,Business,[87.08924238 29.99601206 59.57964686],1
574,56,PhD,Entrepreneur,Single,4,Salary,[29.82950877 34.57193236 86.85130274],1
575,39,Bachelor's,Professional,Married,2,Salary,[83.02708253 99.94423834 62.78854789],1
576,24,Bachelor's,White-collar,Divorced,3,Business,[95.11922394 66.56090692 74.17815958],1
577,51,PhD,Entrepreneur,Divorced,2,Inheritance,[72.80233589 50.68988079 35.07987427],1
578,59,Bachelor's,White-collar,Divorced,1,Inheritance,[69.05012562 64.13087377 59.41069711],1
579,43,PhD,Entrepreneur,Single,4,Inheritance,[61.09112783 18.70442851 56.50971671],1
580,45,PhD,White-collar,Divorced,1,Business,[ 4.18205027 70.74421284 29.85256182],0
581,19,Bachelor's,Blue-collar,Divorced,4,Salary,[20.57992674 10.86169068 47.78024753],0
582,58,High School,Professional,Married,2,Business,[26.89671231 71.3133293  90.73980526],1
583,51,High School,Professional,Divorced,1,Salary,[83.04395641 83.83997169 29.86081029],1
584,19,Bachelor's,Blue-collar,Single,3,Salary,[60.09728445 83.75999758  1.93328336],1
585,31,Bachelor's,Professional,Married,2,Inheritance,[35.30827535 67.23103598 81.50043605],1
586,58,Bachelor's,Professional,Single,1,Inheritance,[10.38185171 75.73583497 40.03757755],1
587,64,PhD,White-collar,Single,4,Salary,[62.52403189 87.05214683 88.8327869 ],1
588,21,Master's,White-collar,Married,4,Salary,[55.64243795 48.90990722 93.593603  ],1
589,47,Master's,Blue-collar,Single,4,Salary,[19.63455668 93.90309001 26.337122  ],0
590,44,High School,Professional,Single,3,Inheritance,[18.60737795  0.5994752  43.6832131 ],0
591,50,PhD,Entrepreneur,Single,3,Salary,[ 9.93585261 97.0578091  51.42561123],1
592,33,Bachelor's,Entrepreneur,Single,1,Business,[22.57869735  9.20621855 41.16898121],1
593,28,PhD,Professional,Single,1,Business,[66.97712074 32.04394966  6.29189801],1
594,20,High School,White-collar,Married,2,Inheritance,[ 9.67989965 14.50068283 15.52769862],0
595,54,PhD,Blue-collar,Married,4,Business,[13.38300948 46.17513685 87.64356737],1
596,37,Bachelor's,Entrepreneur,Divorced,2,Inheritance,[68.0189664  49.61340277 91.97839562],1
597,25,Bachelor's,Entrepreneur,Married,3,Business,[39.63936218 54.52121306 43.49654706],1
598,27,PhD,White-collar,Married,2,Business,[23.31627673  7.29126407 26.68626782],0
599,36,Master's,White-collar,Divorced,3,Inheritance,[95.63529517 72.01806317 65.97585625],1
600,26,Bachelor's,Professional,Married,1,Salary,[91.49577361  6.34758642 58.8968224 ],1
601,37,Master's,Entrepreneur,Married,4,Business,[3.71875298e+01 4.20337170e+01 2.19228070e-02],1
602,41,Master's,Professional,Divorced,4,Inheritance,[43.13398304 76.46842794 96.48321574],1
603,19,Bachelor's,Blue-collar,Married,3,Inheritance,[24.47873415 62.24327429 39.53589025],1
604,54,PhD,Professional,Divorced,2,Inheritance,[60.31246263 94.97967456 68.20941697],1
605,41,Bachelor's,Entrepreneur,Divorced,3,Business,[78.88401733  2.36646326 65.43837317],1
606,42,PhD,Blue-collar,Married,1,Salary,[86.00489053 31.15934521 87.90895407],1
