,Age,Gender,Race,Criminal History,Prior Offense Type,Violation Type,Employment Status,Income Level,Education Level,Family Structure,label
334,27,Male,Black,0,Theft,Property theft,Employed,Middle,Bachelor's degree,Yes,0
335,63,Male,White,2,Theft,Property theft,Employed,Low,Master's degree,Yes,0
336,56,Male,Black,0,Assault,Property theft,Employed,Low,High school diploma,No,1
337,57,Male,Black,1,Assault,Other,Employed,Low,High school diploma,Yes,1
338,23,Male,Black,3,Battery,Drug offenses,Employed,High,High school diploma,Yes,1
339,27,Female,White,1,Assault,Domestic violence,Employed,Middle,Master's degree,Yes,1
340,31,Male,White,0,Assault,Other,Unemployed,Middle,High school diploma,No,1
341,20,Male,Black,2,Battery,Domestic violence,Employed,High,Master's degree,Yes,1
342,31,Male,Asian,4,Battery,Property theft,Employed,Low,Bachelor's degree,Yes,1
343,62,Female,Asian,3,Battery,Domestic violence,Unemployed,Low,Master's degree,Yes,1
344,25,Male,White,0,Property damage,Property theft,Unemployed,Middle,Master's degree,Yes,0
345,20,Male,Asian,1,Battery,Domestic violence,Unemployed,Low,High school diploma,No,1
346,26,Female,Asian,1,Battery,Other,Employed,High,High school diploma,No,1
347,28,Male,Asian,0,Battery,Domestic violence,Unemployed,Low,Master's degree,Yes,1
348,25,Male,Black,1,Property damage,Other,Unemployed,High,High school diploma,Yes,0
349,20,Male,Other,1,Assault,Property theft,Unemployed,Low,High school diploma,No,1
350,63,Male,Black,2,Battery,Drug offenses,Employed,High,Bachelor's degree,Yes,1
351,33,Male,Asian,4,Theft,Domestic violence,Employed,Low,Master's degree,No,1
352,33,Female,White,2,Property damage,Domestic violence,Employed,Low,Master's degree,No,0
353,62,Female,Asian,2,Battery,Domestic violence,Employed,Middle,Bachelor's degree,No,1
354,20,Male,Other,0,Theft,Property theft,Unemployed,High,Bachelor's degree,No,0
355,56,Female,Other,4,Battery,Other,Unemployed,Middle,Master's degree,Yes,1
356,39,Male,Asian,2,Battery,Domestic violence,Unemployed,Low,High school diploma,Yes,1
357,18,Male,Asian,2,Theft,Other,Employed,Middle,Bachelor's degree,Yes,0
358,52,Female,Asian,3,Assault,Other,Unemployed,High,Bachelor's degree,No,1
359,20,Female,Other,4,Assault,Property theft,Unemployed,Middle,Master's degree,No,1
360,43,Female,White,1,Assault,Domestic violence,Employed,High,Bachelor's degree,No,1
361,57,Male,Asian,3,Assault,Drug offenses,Unemployed,High,Master's degree,No,1
362,41,Female,Black,4,Assault,Domestic violence,Unemployed,Low,Master's degree,Yes,1
363,64,Male,Black,2,Assault,Other,Unemployed,Low,Bachelor's degree,No,1
364,27,Male,Other,1,Theft,Drug offenses,Unemployed,High,High school diploma,No,1
365,37,Male,White,2,Assault,Domestic violence,Unemployed,High,High school diploma,Yes,1
366,58,Female,Asian,1,Battery,Property theft,Unemployed,Middle,Bachelor's degree,Yes,1
367,56,Female,Asian,4,Theft,Property theft,Employed,Low,High school diploma,Yes,1
368,37,Female,White,1,Battery,Property theft,Employed,High,Bachelor's degree,Yes,1
369,57,Female,Asian,3,Assault,Domestic violence,Unemployed,Middle,High school diploma,No,1
370,46,Female,Other,3,Property damage,Property theft,Unemployed,Low,High school diploma,No,1
371,47,Female,Other,0,Theft,Drug offenses,Employed,Middle,High school diploma,No,1
372,21,Female,Black,0,Assault,Domestic violence,Unemployed,Middle,Bachelor's degree,No,1
373,41,Male,Other,0,Assault,Other,Unemployed,High,High school diploma,No,1
374,50,Female,White,4,Battery,Property theft,Employed,Middle,Bachelor's degree,No,1
375,60,Female,White,0,Property damage,Drug offenses,Unemployed,Low,Master's degree,No,1
376,55,Male,White,1,Theft,Other,Unemployed,High,High school diploma,Yes,0
377,29,Male,Asian,0,Assault,Property theft,Employed,High,Bachelor's degree,No,1
378,40,Male,Black,4,Assault,Drug offenses,Unemployed,High,High school diploma,No,1
379,52,Female,Asian,2,Assault,Property theft,Unemployed,Middle,Master's degree,Yes,1
380,33,Male,Asian,3,Assault,Property theft,Employed,Low,Bachelor's degree,Yes,1
381,32,Male,White,1,Property damage,Drug offenses,Employed,Low,Master's degree,Yes,0
382,43,Female,Other,0,Theft,Domestic violence,Unemployed,Low,High school diploma,No,1
383,26,Male,Black,0,Assault,Property theft,Employed,Middle,Master's degree,No,1
384,16,Male,Other,0,Property damage,Domestic violence,Unemployed,Middle,Master's degree,Yes,0
385,30,Female,Other,0,Property damage,Other,Unemployed,Middle,Master's degree,No,0
386,39,Male,Other,4,Battery,Drug offenses,Employed,Low,High school diploma,Yes,1
387,24,Male,Other,3,Battery,Other,Unemployed,Middle,Master's degree,No,1
388,51,Male,White,2,Assault,Domestic violence,Employed,High,Bachelor's degree,No,1
389,51,Female,Black,2,Assault,Other,Unemployed,Middle,Bachelor's degree,Yes,1
390,37,Male,Other,0,Battery,Domestic violence,Unemployed,Low,Bachelor's degree,Yes,1
391,16,Male,White,1,Battery,Drug offenses,Employed,Middle,High school diploma,No,1
392,40,Female,Other,0,Theft,Other,Employed,High,Bachelor's degree,No,0
393,31,Male,Asian,2,Assault,Domestic violence,Unemployed,Middle,High school diploma,Yes,1
394,50,Female,Black,2,Theft,Property theft,Employed,Middle,High school diploma,Yes,0
395,32,Female,Other,4,Property damage,Other,Unemployed,High,High school diploma,Yes,1
396,28,Male,Asian,4,Assault,Other,Unemployed,Low,Bachelor's degree,No,1
397,48,Male,Asian,0,Assault,Property theft,Employed,Middle,Master's degree,Yes,1
398,61,Male,Asian,3,Assault,Other,Unemployed,Low,Master's degree,Yes,1
399,28,Female,Other,1,Battery,Other,Unemployed,Low,Bachelor's degree,No,1
400,30,Male,White,0,Property damage,Domestic violence,Unemployed,Middle,High school diploma,No,1
401,60,Male,Asian,3,Battery,Drug offenses,Employed,Middle,Bachelor's degree,No,1
402,39,Male,Other,3,Battery,Domestic violence,Unemployed,Middle,Master's degree,Yes,1
403,49,Female,White,0,Property damage,Property theft,Employed,High,Master's degree,Yes,0
404,40,Female,Asian,4,Assault,Drug offenses,Employed,Middle,Bachelor's degree,Yes,1
405,40,Male,White,3,Property damage,Other,Unemployed,Low,Bachelor's degree,Yes,1
406,41,Male,Black,1,Battery,Domestic violence,Unemployed,Low,High school diploma,Yes,1
407,26,Female,White,1,Property damage,Other,Unemployed,Low,Master's degree,Yes,1
408,44,Female,Other,1,Theft,Drug offenses,Unemployed,Middle,High school diploma,No,1
409,19,Male,Other,1,Theft,Domestic violence,Employed,Low,High school diploma,Yes,0
410,34,Male,Black,1,Property damage,Domestic violence,Employed,Middle,Master's degree,No,0
411,55,Female,Asian,2,Battery,Drug offenses,Unemployed,Low,Master's degree,No,1
412,42,Female,Other,0,Assault,Domestic violence,Unemployed,High,Master's degree,No,1
413,34,Male,White,4,Battery,Domestic violence,Employed,Middle,Bachelor's degree,Yes,1
414,19,Male,Other,3,Theft,Domestic violence,Employed,High,High school diploma,Yes,1
415,59,Female,Black,2,Battery,Drug offenses,Employed,Middle,High school diploma,No,1
416,49,Male,Asian,3,Assault,Property theft,Unemployed,Low,Bachelor's degree,Yes,1
417,23,Male,Asian,3,Property damage,Domestic violence,Employed,High,High school diploma,No,1
418,34,Male,White,0,Theft,Property theft,Employed,High,High school diploma,No,1
419,43,Female,Asian,4,Property damage,Domestic violence,Unemployed,Middle,High school diploma,No,1
420,26,Male,Black,2,Property damage,Drug offenses,Unemployed,Middle,High school diploma,Yes,0
421,47,Female,White,1,Theft,Drug offenses,Unemployed,High,High school diploma,Yes,0
422,33,Female,Asian,4,Battery,Property theft,Unemployed,Low,High school diploma,Yes,1
423,60,Female,Other,2,Battery,Drug offenses,Employed,Low,Master's degree,No,1
424,25,Female,Asian,2,Battery,Domestic violence,Employed,High,Bachelor's degree,No,1
425,36,Female,Black,1,Property damage,Property theft,Employed,High,Master's degree,No,0
426,25,Male,Black,3,Theft,Drug offenses,Unemployed,Middle,Bachelor's degree,No,1
427,51,Male,Other,0,Property damage,Property theft,Unemployed,High,Bachelor's degree,Yes,0
428,55,Female,White,3,Assault,Property theft,Employed,Middle,High school diploma,No,1
429,47,Male,White,4,Assault,Drug offenses,Employed,High,Master's degree,No,1
430,40,Female,Other,2,Theft,Domestic violence,Unemployed,Low,Bachelor's degree,No,1
431,38,Male,White,3,Property damage,Domestic violence,Employed,Low,Master's degree,Yes,1
432,16,Female,Black,4,Battery,Property theft,Unemployed,High,Master's degree,No,1
433,46,Female,Black,0,Theft,Other,Employed,Low,Bachelor's degree,No,0
434,63,Male,Other,4,Theft,Other,Employed,High,Master's degree,No,1
435,21,Female,Asian,1,Assault,Property theft,Employed,Middle,High school diploma,Yes,1
436,62,Female,Asian,3,Theft,Other,Unemployed,Middle,High school diploma,No,1
437,47,Male,Asian,0,Assault,Drug offenses,Unemployed,Middle,Bachelor's degree,No,1
438,36,Female,Other,0,Theft,Domestic violence,Employed,Low,Master's degree,Yes,0
439,29,Male,Asian,1,Theft,Drug offenses,Unemployed,Middle,Master's degree,No,0
440,22,Male,Asian,0,Theft,Property theft,Employed,High,Bachelor's degree,Yes,0
441,58,Male,Black,1,Property damage,Other,Employed,Middle,Master's degree,Yes,0
442,50,Male,Other,3,Property damage,Property theft,Unemployed,High,Master's degree,Yes,1
443,37,Male,Other,1,Assault,Drug offenses,Unemployed,Middle,High school diploma,No,1
444,42,Male,Black,2,Theft,Drug offenses,Employed,Middle,High school diploma,No,1
445,39,Female,Other,3,Battery,Drug offenses,Unemployed,Low,High school diploma,No,1
446,26,Male,White,0,Battery,Other,Employed,Middle,Master's degree,Yes,1
447,60,Female,White,4,Battery,Property theft,Unemployed,Low,Master's degree,Yes,1
448,41,Female,Asian,3,Battery,Domestic violence,Employed,High,Bachelor's degree,Yes,1
449,31,Female,Other,1,Theft,Drug offenses,Employed,High,Bachelor's degree,No,0
450,63,Female,Other,3,Property damage,Property theft,Employed,High,High school diploma,No,1
451,24,Female,White,0,Battery,Drug offenses,Employed,High,High school diploma,Yes,1
452,36,Male,Asian,3,Property damage,Other,Employed,Middle,Master's degree,No,1
453,51,Male,Black,0,Theft,Domestic violence,Employed,Low,Bachelor's degree,No,0
454,63,Male,White,4,Property damage,Property theft,Employed,Low,High school diploma,Yes,1
455,22,Male,Black,3,Theft,Domestic violence,Employed,Low,Bachelor's degree,Yes,1
456,60,Male,Asian,2,Assault,Other,Employed,High,Bachelor's degree,No,1
457,58,Female,Asian,1,Battery,Domestic violence,Employed,High,Bachelor's degree,No,1
458,27,Male,Asian,3,Assault,Property theft,Employed,High,Bachelor's degree,No,1
459,60,Female,Black,0,Assault,Other,Employed,High,Bachelor's degree,No,1
460,58,Male,White,0,Assault,Other,Employed,Low,Master's degree,Yes,1
461,44,Female,Asian,0,Assault,Domestic violence,Employed,Middle,Bachelor's degree,No,1
462,40,Male,Black,3,Assault,Drug offenses,Employed,Middle,Master's degree,No,1
463,35,Male,White,2,Property damage,Drug offenses,Unemployed,Middle,Bachelor's degree,No,0
464,61,Female,Other,3,Assault,Property theft,Unemployed,High,Bachelor's degree,Yes,1
465,39,Male,Asian,1,Theft,Domestic violence,Employed,High,Bachelor's degree,Yes,0
466,32,Female,Black,0,Property damage,Drug offenses,Employed,Middle,Bachelor's degree,Yes,0
467,63,Female,Other,4,Theft,Other,Employed,Middle,Master's degree,Yes,1
468,51,Male,Black,2,Theft,Drug offenses,Unemployed,High,Master's degree,No,0
469,35,Female,Asian,0,Assault,Drug offenses,Employed,Middle,Bachelor's degree,No,1
470,41,Male,White,4,Property damage,Domestic violence,Employed,Low,High school diploma,Yes,1
471,58,Male,Asian,1,Assault,Drug offenses,Unemployed,High,Master's degree,Yes,1
472,55,Male,Asian,1,Property damage,Domestic violence,Unemployed,Middle,Bachelor's degree,Yes,0
473,54,Female,Black,3,Assault,Domestic violence,Employed,Middle,Master's degree,No,1
474,56,Male,White,2,Battery,Other,Unemployed,High,Bachelor's degree,Yes,1
475,29,Female,White,4,Theft,Property theft,Employed,Middle,Bachelor's degree,No,1
476,59,Female,Other,3,Property damage,Drug offenses,Employed,Middle,Master's degree,Yes,1
477,19,Female,White,1,Theft,Other,Employed,Low,High school diploma,No,1
478,17,Female,Other,2,Theft,Domestic violence,Unemployed,High,High school diploma,Yes,0
479,58,Female,Asian,0,Property damage,Drug offenses,Unemployed,Low,Master's degree,No,1
480,23,Female,Black,3,Theft,Drug offenses,Unemployed,Middle,Bachelor's degree,No,1
481,62,Male,White,1,Property damage,Property theft,Employed,High,Master's degree,No,0
482,42,Male,Other,2,Property damage,Domestic violence,Unemployed,Low,High school diploma,Yes,1
483,34,Male,White,3,Assault,Domestic violence,Unemployed,Middle,High school diploma,Yes,1
484,43,Female,Black,0,Theft,Drug offenses,Employed,Low,Master's degree,Yes,0
485,61,Female,White,0,Theft,Other,Employed,Middle,Master's degree,No,0
486,53,Female,Other,1,Assault,Other,Employed,High,High school diploma,No,1
487,30,Female,Other,0,Theft,Drug offenses,Employed,Low,Master's degree,Yes,0
488,58,Male,Other,4,Battery,Property theft,Unemployed,Low,Master's degree,Yes,1
489,57,Male,Other,0,Theft,Property theft,Unemployed,Low,High school diploma,No,1
490,49,Male,Other,2,Property damage,Domestic violence,Unemployed,High,Master's degree,No,0
491,38,Female,Other,0,Battery,Other,Employed,Low,Master's degree,No,1
492,20,Female,Other,4,Theft,Domestic violence,Employed,Low,High school diploma,Yes,1
493,53,Female,Asian,0,Property damage,Other,Unemployed,Low,High school diploma,No,1
494,60,Female,Black,0,Property damage,Other,Unemployed,High,High school diploma,Yes,0
495,57,Male,Asian,1,Theft,Other,Unemployed,High,Bachelor's degree,Yes,0
496,61,Male,Other,1,Property damage,Property theft,Unemployed,Middle,Master's degree,Yes,0
497,27,Female,Other,2,Battery,Property theft,Employed,Middle,Master's degree,No,1
498,47,Male,Black,0,Property damage,Domestic violence,Unemployed,Middle,Bachelor's degree,Yes,0
499,54,Female,Black,0,Battery,Other,Employed,High,Bachelor's degree,Yes,1
500,16,Male,Asian,1,Battery,Domestic violence,Unemployed,Middle,High school diploma,No,1
501,22,Female,Black,0,Assault,Other,Unemployed,Middle,Bachelor's degree,Yes,1
502,27,Female,Black,0,Assault,Drug offenses,Employed,Middle,High school diploma,Yes,1
503,57,Male,Asian,4,Property damage,Other,Employed,Low,Bachelor's degree,Yes,1
504,56,Female,Other,4,Battery,Drug offenses,Employed,Low,High school diploma,No,1
505,21,Female,Other,1,Battery,Drug offenses,Employed,Middle,High school diploma,No,1
506,27,Male,White,3,Battery,Other,Unemployed,High,Bachelor's degree,No,1
507,48,Male,Asian,0,Theft,Drug offenses,Unemployed,Low,High school diploma,No,1
508,59,Male,Black,0,Theft,Domestic violence,Unemployed,Low,Bachelor's degree,Yes,1
509,42,Female,White,0,Property damage,Other,Unemployed,High,High school diploma,Yes,0
510,31,Female,Black,1,Assault,Domestic violence,Unemployed,High,Bachelor's degree,Yes,1
511,38,Male,White,3,Theft,Other,Unemployed,Middle,High school diploma,No,1
512,53,Male,White,4,Battery,Drug offenses,Unemployed,Middle,High school diploma,Yes,1
513,43,Male,Black,4,Property damage,Property theft,Unemployed,Low,High school diploma,No,1
514,26,Female,Asian,0,Assault,Domestic violence,Unemployed,Low,Bachelor's degree,Yes,1
515,16,Female,White,0,Property damage,Domestic violence,Unemployed,Middle,Bachelor's degree,No,0
516,64,Female,White,0,Battery,Domestic violence,Unemployed,Low,High school diploma,No,1
517,42,Female,White,2,Theft,Property theft,Unemployed,Low,Bachelor's degree,No,1
518,56,Male,White,3,Assault,Other,Employed,High,Master's degree,No,1
519,17,Male,White,2,Theft,Domestic violence,Unemployed,Low,High school diploma,Yes,1
520,18,Female,Other,3,Battery,Drug offenses,Employed,High,High school diploma,No,1
521,29,Female,Black,0,Assault,Drug offenses,Employed,Middle,High school diploma,No,1
522,38,Female,Black,1,Theft,Property theft,Unemployed,Middle,Bachelor's degree,No,0
523,55,Female,Black,0,Battery,Drug offenses,Unemployed,Middle,Master's degree,Yes,1
524,35,Female,White,3,Battery,Other,Unemployed,Low,High school diploma,No,1
525,27,Male,Other,0,Theft,Drug offenses,Unemployed,Low,Bachelor's degree,No,1
526,49,Female,Other,2,Battery,Property theft,Employed,Middle,Master's degree,No,1
527,52,Male,White,1,Battery,Property theft,Unemployed,Middle,Master's degree,Yes,1
528,64,Female,Asian,0,Theft,Drug offenses,Employed,High,Master's degree,No,0
529,50,Female,Black,4,Property damage,Drug offenses,Employed,High,Bachelor's degree,No,1
530,34,Male,Black,2,Theft,Drug offenses,Employed,High,High school diploma,Yes,0
531,32,Female,Other,0,Assault,Property theft,Employed,Low,High school diploma,No,1
532,62,Male,Other,3,Property damage,Drug offenses,Employed,Low,Bachelor's degree,No,1
533,50,Male,Other,0,Assault,Domestic violence,Employed,Low,Master's degree,No,1
534,50,Female,Asian,2,Battery,Domestic violence,Unemployed,High,Master's degree,No,1
535,41,Male,Other,0,Assault,Property theft,Unemployed,High,Bachelor's degree,Yes,1
536,59,Male,White,1,Theft,Domestic violence,Unemployed,Low,Master's degree,No,1
537,40,Male,White,0,Theft,Domestic violence,Unemployed,High,Master's degree,Yes,0
538,40,Female,Black,2,Property damage,Drug offenses,Unemployed,Middle,Master's degree,Yes,0
539,27,Female,Black,3,Battery,Other,Unemployed,Low,Master's degree,No,1
540,24,Female,Black,2,Theft,Property theft,Unemployed,Low,Bachelor's degree,Yes,1
541,25,Male,Asian,2,Assault,Drug offenses,Employed,Low,Bachelor's degree,Yes,1
542,41,Male,Other,1,Assault,Property theft,Employed,High,High school diploma,Yes,1
543,59,Female,Black,1,Theft,Property theft,Employed,Middle,High school diploma,Yes,0
544,43,Male,Other,1,Theft,Drug offenses,Employed,Middle,Master's degree,Yes,0
545,46,Female,Black,1,Battery,Drug offenses,Unemployed,High,High school diploma,Yes,1
546,24,Male,White,4,Battery,Other,Employed,Middle,Master's degree,No,1
547,20,Male,Other,1,Battery,Other,Unemployed,Low,Bachelor's degree,Yes,1
548,44,Male,Black,3,Battery,Other,Unemployed,Middle,Master's degree,No,1
549,46,Male,Black,2,Assault,Other,Unemployed,Low,Master's degree,No,1
550,19,Female,White,4,Assault,Other,Unemployed,Middle,Master's degree,No,1
551,20,Male,Asian,3,Battery,Other,Unemployed,Low,High school diploma,No,1
552,33,Male,Black,1,Property damage,Property theft,Unemployed,Middle,Master's degree,No,0
553,41,Female,Other,2,Theft,Other,Unemployed,High,Bachelor's degree,Yes,0
554,21,Female,Asian,3,Assault,Other,Unemployed,Middle,High school diploma,Yes,1
555,49,Female,Black,1,Assault,Drug offenses,Unemployed,Middle,Bachelor's degree,Yes,1
556,52,Female,White,1,Battery,Property theft,Unemployed,Middle,High school diploma,Yes,1
557,19,Male,White,2,Battery,Drug offenses,Unemployed,Low,Bachelor's degree,Yes,1
558,18,Male,Asian,2,Battery,Drug offenses,Employed,High,Master's degree,No,1
559,46,Female,Asian,2,Theft,Drug offenses,Unemployed,High,High school diploma,No,1
560,19,Female,Asian,1,Battery,Drug offenses,Employed,High,Bachelor's degree,No,1
561,62,Female,Other,3,Battery,Domestic violence,Employed,Middle,High school diploma,No,1
562,22,Male,Black,3,Battery,Domestic violence,Employed,Low,Master's degree,Yes,1
563,48,Male,Black,3,Assault,Domestic violence,Employed,Low,Master's degree,No,1
564,31,Male,Black,3,Assault,Property theft,Unemployed,Middle,High school diploma,Yes,1
565,51,Female,Asian,4,Theft,Domestic violence,Unemployed,High,Master's degree,Yes,1
566,30,Male,Black,4,Battery,Drug offenses,Employed,High,Master's degree,Yes,1
567,48,Male,Asian,3,Battery,Domestic violence,Unemployed,High,Master's degree,Yes,1
568,22,Male,White,3,Battery,Property theft,Unemployed,Low,Master's degree,No,1
569,47,Male,White,4,Battery,Other,Unemployed,High,Bachelor's degree,Yes,1
570,52,Female,White,3,Assault,Other,Unemployed,Low,Bachelor's degree,Yes,1
571,31,Female,Other,0,Battery,Other,Employed,Low,Master's degree,No,1
572,50,Female,Asian,4,Property damage,Other,Unemployed,Middle,High school diploma,Yes,1
573,34,Male,Asian,1,Assault,Drug offenses,Unemployed,Low,Bachelor's degree,Yes,1
574,46,Female,Other,1,Theft,Other,Unemployed,Middle,High school diploma,No,1
575,30,Male,Black,0,Assault,Domestic violence,Employed,High,High school diploma,Yes,1
576,52,Female,Black,2,Assault,Other,Employed,Middle,Bachelor's degree,No,1
577,47,Female,Asian,3,Battery,Other,Unemployed,Low,High school diploma,No,1
578,23,Male,Other,1,Theft,Drug offenses,Unemployed,Low,Bachelor's degree,Yes,1
579,20,Male,Asian,3,Battery,Drug offenses,Unemployed,Middle,Master's degree,Yes,1
580,37,Female,Other,2,Theft,Other,Unemployed,High,Master's degree,No,0
581,32,Female,White,1,Theft,Drug offenses,Employed,Low,Master's degree,No,0
582,44,Male,Asian,3,Assault,Property theft,Unemployed,High,Bachelor's degree,Yes,1
583,43,Male,Black,1,Theft,Other,Employed,Middle,Master's degree,No,0
584,48,Female,Black,2,Battery,Other,Unemployed,Middle,High school diploma,Yes,1
585,31,Female,Other,3,Theft,Property theft,Unemployed,Low,Master's degree,No,1
586,39,Female,Other,2,Property damage,Drug offenses,Unemployed,Middle,Bachelor's degree,No,0
587,63,Male,Asian,3,Assault,Property theft,Employed,High,High school diploma,Yes,1
588,61,Male,White,2,Assault,Domestic violence,Unemployed,High,Master's degree,No,1
589,24,Male,White,4,Theft,Property theft,Unemployed,Low,Master's degree,Yes,1
590,34,Male,White,3,Property damage,Drug offenses,Unemployed,Low,Bachelor's degree,Yes,1
591,24,Female,Black,1,Theft,Other,Unemployed,High,Bachelor's degree,No,0
592,19,Male,Asian,0,Property damage,Property theft,Unemployed,Low,Bachelor's degree,Yes,1
593,37,Male,Black,2,Assault,Domestic violence,Employed,Low,Bachelor's degree,Yes,1
594,52,Male,Other,2,Property damage,Domestic violence,Employed,High,Master's degree,Yes,0
595,17,Male,Black,3,Property damage,Other,Unemployed,Middle,Master's degree,No,1
596,20,Female,White,1,Battery,Drug offenses,Employed,Middle,Bachelor's degree,Yes,1
597,25,Male,Asian,4,Property damage,Domestic violence,Unemployed,High,High school diploma,No,1
598,57,Male,Black,4,Battery,Drug offenses,Employed,High,Bachelor's degree,Yes,1
599,47,Male,White,3,Theft,Property theft,Unemployed,Middle,Master's degree,No,1
600,56,Female,White,0,Property damage,Property theft,Unemployed,High,High school diploma,No,1
601,35,Female,White,4,Battery,Domestic violence,Unemployed,Low,High school diploma,No,1
602,31,Female,Asian,1,Property damage,Drug offenses,Employed,High,Master's degree,Yes,0
603,49,Male,Other,2,Property damage,Drug offenses,Employed,Low,Master's degree,No,0
604,49,Female,Black,0,Assault,Drug offenses,Unemployed,High,Bachelor's degree,Yes,1
605,26,Female,Asian,1,Theft,Drug offenses,Employed,Low,High school diploma,No,1
606,62,Female,Asian,0,Assault,Property theft,Unemployed,High,Bachelor's degree,No,1
607,58,Female,Asian,3,Theft,Property theft,Unemployed,High,Master's degree,No,1
608,52,Male,White,4,Theft,Domestic violence,Employed,Middle,High school diploma,Yes,1
609,57,Male,White,1,Theft,Property theft,Employed,High,Bachelor's degree,No,0
610,37,Female,White,4,Property damage,Domestic violence,Unemployed,Middle,Bachelor's degree,No,1
611,60,Female,Black,3,Battery,Other,Employed,Low,High school diploma,No,1
612,34,Male,Black,2,Battery,Domestic violence,Unemployed,Middle,High school diploma,No,1
613,51,Male,White,3,Property damage,Property theft,Unemployed,Middle,Bachelor's degree,No,1
614,53,Male,Asian,0,Battery,Drug offenses,Unemployed,Middle,Master's degree,Yes,1
615,48,Male,Other,4,Battery,Other,Unemployed,Low,High school diploma,Yes,1
616,20,Female,Asian,0,Property damage,Drug offenses,Employed,High,High school diploma,No,1
617,27,Male,Asian,4,Battery,Other,Unemployed,Low,Master's degree,No,1
618,30,Female,Asian,4,Assault,Drug offenses,Employed,Middle,High school diploma,Yes,1
619,57,Male,Black,4,Property damage,Drug offenses,Employed,Middle,High school diploma,Yes,1
620,18,Female,White,1,Battery,Property theft,Employed,Low,High school diploma,Yes,1
621,34,Female,Other,2,Assault,Domestic violence,Employed,Low,High school diploma,Yes,1
622,49,Female,Asian,1,Assault,Property theft,Unemployed,High,High school diploma,Yes,1
623,50,Female,Black,1,Assault,Other,Unemployed,Middle,Bachelor's degree,No,1
624,38,Female,Asian,0,Property damage,Drug offenses,Unemployed,Low,Bachelor's degree,No,1
625,22,Female,Asian,4,Property damage,Domestic violence,Unemployed,High,Master's degree,Yes,1
626,37,Male,White,3,Assault,Drug offenses,Unemployed,High,Master's degree,Yes,1
627,63,Female,Asian,3,Assault,Property theft,Unemployed,Low,Master's degree,Yes,1
628,19,Male,Other,0,Theft,Other,Unemployed,High,Master's degree,No,0
629,39,Female,Other,3,Theft,Property theft,Employed,Middle,Bachelor's degree,Yes,1
630,17,Female,White,0,Battery,Property theft,Unemployed,Middle,High school diploma,No,1
631,48,Female,Black,2,Theft,Other,Unemployed,Middle,Master's degree,Yes,0
632,45,Male,Other,0,Theft,Property theft,Unemployed,High,Master's degree,Yes,0
633,47,Male,Asian,4,Assault,Other,Unemployed,High,High school diploma,No,1
634,62,Female,Black,3,Battery,Other,Employed,High,High school diploma,Yes,1
635,51,Male,Asian,4,Assault,Domestic violence,Employed,Low,High school diploma,Yes,1
636,26,Female,White,4,Theft,Domestic violence,Employed,High,Bachelor's degree,Yes,1
637,45,Female,Black,0,Assault,Other,Unemployed,Middle,Master's degree,No,1
638,18,Male,Asian,4,Assault,Other,Unemployed,Low,Bachelor's degree,No,1
639,49,Female,Black,2,Theft,Other,Unemployed,Middle,Master's degree,Yes,0
640,43,Male,Black,2,Battery,Domestic violence,Employed,Low,Master's degree,No,1
641,56,Male,White,4,Battery,Property theft,Unemployed,Middle,High school diploma,No,1
642,50,Female,Asian,0,Property damage,Property theft,Employed,High,Master's degree,Yes,0
643,19,Female,Black,2,Theft,Domestic violence,Unemployed,High,High school diploma,No,1
644,58,Male,Asian,1,Theft,Other,Employed,Low,High school diploma,Yes,0
645,34,Female,White,1,Property damage,Drug offenses,Unemployed,High,High school diploma,Yes,0
646,19,Female,Black,1,Assault,Domestic violence,Unemployed,Low,High school diploma,No,1
647,58,Male,Black,2,Property damage,Property theft,Unemployed,Low,Bachelor's degree,Yes,1
648,64,Female,Other,3,Battery,Property theft,Unemployed,Middle,Master's degree,Yes,1
649,64,Female,Asian,0,Battery,Property theft,Unemployed,High,Master's degree,Yes,1
650,53,Female,Asian,2,Battery,Drug offenses,Unemployed,Middle,Master's degree,Yes,1
651,64,Male,Black,2,Property damage,Drug offenses,Employed,Low,Master's degree,Yes,0
652,50,Female,White,2,Property damage,Property theft,Unemployed,Middle,High school diploma,No,1
653,43,Female,Other,0,Theft,Drug offenses,Unemployed,Middle,High school diploma,Yes,0
654,52,Female,Asian,4,Battery,Domestic violence,Employed,High,Master's degree,No,1
655,30,Female,Other,3,Assault,Property theft,Unemployed,Low,Master's degree,Yes,1
656,20,Female,Black,1,Property damage,Property theft,Unemployed,Middle,Bachelor's degree,No,0
657,26,Male,Other,3,Battery,Other,Employed,Middle,High school diploma,No,1
658,30,Female,White,1,Battery,Domestic violence,Employed,Middle,Master's degree,No,1
659,53,Male,Other,2,Property damage,Drug offenses,Unemployed,Low,Master's degree,Yes,1
660,18,Female,White,1,Assault,Property theft,Unemployed,High,High school diploma,No,1
661,30,Female,Black,3,Battery,Domestic violence,Unemployed,Middle,Bachelor's degree,No,1
662,22,Female,Black,0,Assault,Other,Employed,High,Bachelor's degree,No,1
663,16,Female,Asian,2,Assault,Drug offenses,Unemployed,Low,Bachelor's degree,No,1
664,47,Male,Asian,1,Battery,Drug offenses,Employed,High,High school diploma,No,1
665,61,Female,Black,2,Theft,Property theft,Employed,High,High school diploma,Yes,0
666,64,Male,Other,4,Assault,Domestic violence,Unemployed,Middle,Bachelor's degree,Yes,1
