,Type of Crime,Location,Time of Occurrence,Suspect Age,Suspect Gender,Prior Record,Weapon Used,Officer Response Time,label
468,Burglary,New York City,Day,42,Male,True,Gun,59,1
469,Assault,Los Angeles,Night,40,Female,True,Knife,51,1
470,Theft,Chicago,Day,30,Male,True,Sword,10,0
471,Burglary,New York City,Night,44,Female,True,Gun,57,1
472,Assault,Los Angeles,Day,44,Male,False,Knife,48,1
473,Theft,Chicago,Night,31,Female,True,Sword,11,1
474,Burglary,New York City,Day,36,Male,True,Gun,20,1
475,Assault,Los Angeles,Night,34,Female,True,Knife,42,1
476,Theft,Chicago,Day,18,Male,True,Sword,38,1
477,Burglary,New York City,Night,47,Female,True,Gun,27,1
478,Assault,Los Angeles,Day,35,Male,False,Knife,28,1
479,Theft,Chicago,Night,41,Female,False,Sword,18,1
480,Burglary,New York City,Day,48,Male,True,Gun,9,1
481,Assault,Los Angeles,Night,38,Female,False,Knife,53,1
482,Theft,Chicago,Day,26,Male,False,Sword,6,0
483,Burglary,New York City,Night,48,Female,False,Gun,7,1
484,Assault,Los Angeles,Day,45,Male,True,Knife,51,1
485,Theft,Chicago,Night,29,Female,False,Sword,7,0
486,Burglary,New York City,Day,40,Male,False,Gun,1,1
487,Assault,Los Angeles,Night,27,Female,True,Knife,41,0
488,Theft,Chicago,Day,45,Male,True,Sword,52,1
489,Burglary,New York City,Night,45,Female,False,Gun,49,1
490,Assault,Los Angeles,Day,33,Male,True,Knife,3,1
491,Theft,Chicago,Night,27,Female,False,Sword,27,0
492,Burglary,New York City,Day,33,Male,True,Gun,39,1
493,Assault,Los Angeles,Night,30,Female,True,Knife,53,0
494,Theft,Chicago,Day,27,Male,True,Sword,41,0
495,Burglary,New York City,Night,22,Female,True,Gun,18,1
496,Assault,Los Angeles,Day,26,Male,False,Knife,58,0
497,Theft,Chicago,Night,16,Female,True,Sword,57,1
498,Burglary,New York City,Day,19,Male,False,Gun,42,1
499,Assault,Los Angeles,Night,38,Female,False,Knife,51,1
500,Theft,Chicago,Day,44,Male,True,Sword,26,1
501,Burglary,New York City,Night,25,Female,False,Gun,39,1
502,Assault,Los Angeles,Day,49,Male,False,Knife,3,1
503,Theft,Chicago,Night,18,Female,True,Sword,4,1
504,Burglary,New York City,Day,17,Male,False,Gun,6,1
505,Assault,Los Angeles,Night,50,Female,True,Knife,52,1
506,Theft,Chicago,Day,24,Male,False,Sword,16,0
507,Burglary,New York City,Night,31,Female,False,Gun,46,1
508,Assault,Los Angeles,Day,36,Male,False,Knife,37,1
509,Theft,Chicago,Night,17,Female,True,Sword,59,1
510,Burglary,New York City,Day,32,Male,False,Gun,8,1
511,Assault,Los Angeles,Night,41,Female,True,Knife,47,1
512,Theft,Chicago,Day,22,Male,True,Sword,33,0
513,Burglary,New York City,Night,28,Female,False,Gun,59,1
514,Assault,Los Angeles,Day,32,Male,False,Knife,34,1
515,Theft,Chicago,Night,29,Female,False,Sword,37,0
516,Burglary,New York City,Day,25,Male,False,Gun,37,1
517,Assault,Los Angeles,Night,19,Female,False,Knife,18,1
518,Theft,Chicago,Day,40,Male,False,Sword,5,1
519,Burglary,New York City,Night,43,Female,False,Gun,38,1
520,Assault,Los Angeles,Day,40,Male,False,Knife,41,1
521,Theft,Chicago,Night,20,Female,False,Sword,58,1
522,Burglary,New York City,Day,19,Male,False,Gun,27,1
523,Assault,Los Angeles,Night,49,Female,False,Knife,44,1
524,Theft,Chicago,Day,31,Male,True,Sword,22,1
525,Burglary,New York City,Night,32,Female,True,Gun,3,1
526,Assault,Los Angeles,Day,38,Male,False,Knife,18,1
527,Theft,Chicago,Night,26,Female,False,Sword,37,0
528,Burglary,New York City,Day,48,Male,False,Gun,46,1
529,Assault,Los Angeles,Night,25,Female,False,Knife,24,0
530,Theft,Chicago,Day,48,Male,True,Sword,16,1
531,Burglary,New York City,Night,35,Female,False,Gun,16,1
532,Assault,Los Angeles,Day,48,Male,True,Knife,13,1
533,Theft,Chicago,Night,38,Female,False,Sword,58,1
534,Burglary,New York City,Day,29,Male,True,Gun,29,1
535,Assault,Los Angeles,Night,44,Female,False,Knife,51,1
536,Theft,Chicago,Day,21,Male,True,Sword,3,0
537,Burglary,New York City,Night,49,Female,False,Gun,36,1
538,Assault,Los Angeles,Day,46,Male,True,Knife,55,1
539,Theft,Chicago,Night,24,Female,False,Sword,43,0
540,Burglary,New York City,Day,33,Male,True,Gun,42,1
541,Assault,Los Angeles,Night,26,Female,True,Knife,10,0
542,Theft,Chicago,Day,48,Male,True,Sword,30,1
543,Burglary,New York City,Night,40,Female,True,Gun,40,1
544,Assault,Los Angeles,Day,44,Male,True,Knife,59,1
545,Theft,Chicago,Night,23,Female,False,Sword,5,0
546,Burglary,New York City,Day,21,Male,True,Gun,51,1
547,Assault,Los Angeles,Night,34,Female,True,Knife,44,1
548,Theft,Chicago,Day,18,Male,False,Sword,25,1
549,Burglary,New York City,Night,17,Female,False,Gun,3,1
550,Assault,Los Angeles,Day,28,Male,True,Knife,42,0
551,Theft,Chicago,Night,32,Female,True,Sword,36,1
552,Burglary,New York City,Day,35,Male,False,Gun,45,1
553,Assault,Los Angeles,Night,47,Female,False,Knife,6,1
554,Theft,Chicago,Day,41,Male,True,Sword,26,1
555,Burglary,New York City,Night,41,Female,True,Gun,20,1
556,Assault,Los Angeles,Day,20,Male,True,Knife,59,1
557,Theft,Chicago,Night,47,Female,False,Sword,25,1
558,Burglary,New York City,Day,33,Male,False,Gun,44,1
559,Assault,Los Angeles,Night,33,Female,True,Knife,13,1
560,Theft,Chicago,Day,21,Male,True,Sword,16,0
561,Burglary,New York City,Night,45,Female,False,Gun,36,1
562,Assault,Los Angeles,Day,25,Male,False,Knife,50,0
563,Theft,Chicago,Night,47,Female,True,Sword,4,1
564,Burglary,New York City,Day,45,Male,True,Gun,44,1
565,Assault,Los Angeles,Night,30,Female,True,Knife,19,0
566,Theft,Chicago,Day,22,Male,True,Sword,23,0
567,Burglary,New York City,Night,43,Female,False,Gun,32,1
568,Assault,Los Angeles,Day,45,Male,True,Knife,34,1
569,Theft,Chicago,Night,39,Female,True,Sword,11,1
570,Burglary,New York City,Day,31,Male,True,Gun,2,1
571,Assault,Los Angeles,Night,35,Female,True,Knife,42,1
572,Theft,Chicago,Day,17,Male,False,Sword,4,1
573,Burglary,New York City,Night,44,Female,True,Gun,59,1
574,Assault,Los Angeles,Day,32,Male,True,Knife,53,1
575,Theft,Chicago,Night,33,Female,True,Sword,24,1
576,Burglary,New York City,Day,45,Male,True,Gun,5,1
577,Assault,Los Angeles,Night,36,Female,False,Knife,50,1
578,Theft,Chicago,Day,48,Male,False,Sword,52,1
579,Burglary,New York City,Night,29,Female,True,Gun,25,1
580,Assault,Los Angeles,Day,31,Male,True,Knife,20,1
581,Theft,Chicago,Night,26,Female,True,Sword,44,0
582,Burglary,New York City,Day,33,Male,False,Gun,21,1
583,Assault,Los Angeles,Night,28,Female,True,Knife,53,0
584,Theft,Chicago,Day,48,Male,True,Sword,32,1
585,Burglary,New York City,Night,38,Female,False,Gun,17,1
586,Assault,Los Angeles,Day,42,Male,True,Knife,32,1
587,Theft,Chicago,Night,17,Female,True,Sword,19,1
588,Burglary,New York City,Day,47,Male,True,Gun,47,1
589,Assault,Los Angeles,Night,25,Female,False,Knife,43,0
590,Theft,Chicago,Day,48,Male,False,Sword,39,1
591,Burglary,New York City,Night,39,Female,False,Gun,32,1
592,Assault,Los Angeles,Day,22,Male,False,Knife,49,0
593,Theft,Chicago,Night,18,Female,True,Sword,49,1
594,Burglary,New York City,Day,19,Male,False,Gun,13,1
595,Assault,Los Angeles,Night,42,Female,False,Knife,20,1
596,Theft,Chicago,Day,25,Male,False,Sword,54,0
597,Burglary,New York City,Night,29,Female,False,Gun,59,1
598,Assault,Los Angeles,Day,22,Male,True,Knife,43,0
599,Theft,Chicago,Night,29,Female,True,Sword,14,0
600,Burglary,New York City,Day,21,Male,False,Gun,39,1
601,Assault,Los Angeles,Night,30,Female,False,Knife,46,0
602,Theft,Chicago,Day,41,Male,True,Sword,9,1
603,Burglary,New York City,Night,40,Female,False,Gun,49,1
604,Assault,Los Angeles,Day,32,Male,True,Knife,34,1
605,Theft,Chicago,Night,48,Female,True,Sword,54,1
606,Burglary,New York City,Day,20,Male,False,Gun,49,1
607,Assault,Los Angeles,Night,19,Female,True,Knife,3,1
608,Theft,Chicago,Day,39,Male,True,Sword,5,1
609,Burglary,New York City,Night,33,Female,False,Gun,45,1
610,Assault,Los Angeles,Day,29,Male,True,Knife,30,0
611,Theft,Chicago,Night,23,Female,False,Sword,23,0
612,Burglary,New York City,Day,25,Male,True,Gun,42,1
613,Assault,Los Angeles,Night,19,Female,True,Knife,46,1
614,Theft,Chicago,Day,44,Male,True,Sword,33,1
615,Burglary,New York City,Night,31,Female,False,Gun,38,1
616,Assault,Los Angeles,Day,44,Male,False,Knife,17,1
617,Theft,Chicago,Night,35,Female,False,Sword,49,1
618,Burglary,New York City,Day,19,Male,False,Gun,54,1
619,Assault,Los Angeles,Night,18,Female,False,Knife,40,1
620,Theft,Chicago,Day,36,Male,False,Sword,16,1
621,Burglary,New York City,Night,27,Female,True,Gun,45,1
622,Assault,Los Angeles,Day,48,Male,True,Knife,16,1
623,Theft,Chicago,Night,23,Female,False,Sword,21,0
624,Burglary,New York City,Day,24,Male,True,Gun,26,1
625,Assault,Los Angeles,Night,26,Female,False,Knife,23,0
626,Theft,Chicago,Day,21,Male,True,Sword,55,0
627,Burglary,New York City,Night,48,Female,True,Gun,33,1
628,Assault,Los Angeles,Day,26,Male,True,Knife,10,0
629,Theft,Chicago,Night,46,Female,True,Sword,28,1
630,Burglary,New York City,Day,20,Male,False,Gun,57,1
631,Assault,Los Angeles,Night,16,Female,True,Knife,26,1
632,Theft,Chicago,Day,16,Male,False,Sword,47,1
633,Burglary,New York City,Night,21,Female,True,Gun,13,1
634,Assault,Los Angeles,Day,45,Male,False,Knife,6,1
635,Theft,Chicago,Night,31,Female,True,Sword,39,1
636,Burglary,New York City,Day,49,Male,False,Gun,26,1
637,Assault,Los Angeles,Night,36,Female,True,Knife,41,1
638,Theft,Chicago,Day,35,Male,False,Sword,59,1
639,Burglary,New York City,Night,30,Female,False,Gun,27,1
640,Assault,Los Angeles,Day,43,Male,False,Knife,4,1
641,Theft,Chicago,Night,32,Female,False,Sword,4,1
642,Burglary,New York City,Day,39,Male,False,Gun,28,1
643,Assault,Los Angeles,Night,41,Female,False,Knife,14,1
644,Theft,Chicago,Day,41,Male,False,Sword,10,1
645,Burglary,New York City,Night,44,Female,True,Gun,19,1
646,Assault,Los Angeles,Day,21,Male,False,Knife,42,0
647,Theft,Chicago,Night,36,Female,True,Sword,46,1
648,Burglary,New York City,Day,25,Male,True,Gun,13,1
649,Assault,Los Angeles,Night,28,Female,False,Knife,38,0
650,Theft,Chicago,Day,49,Male,False,Sword,4,1
651,Burglary,New York City,Night,35,Female,True,Gun,5,1
652,Assault,Los Angeles,Day,48,Male,False,Knife,19,1
653,Theft,Chicago,Night,24,Female,True,Sword,16,0
654,Burglary,New York City,Day,17,Male,False,Gun,29,1
655,Assault,Los Angeles,Night,40,Female,False,Knife,8,1
656,Theft,Chicago,Day,42,Male,True,Sword,23,1
657,Burglary,New York City,Night,18,Female,True,Gun,2,1
658,Assault,Los Angeles,Day,27,Male,False,Knife,7,0
659,Theft,Chicago,Night,32,Female,True,Sword,31,1
660,Burglary,New York City,Day,40,Male,True,Gun,38,1
661,Assault,Los Angeles,Night,49,Female,False,Knife,54,1
662,Theft,Chicago,Day,19,Male,True,Sword,7,1
663,Burglary,New York City,Night,26,Female,True,Gun,24,1
664,Assault,Los Angeles,Day,21,Male,True,Knife,15,0
665,Theft,Chicago,Night,33,Female,True,Sword,45,1
666,Burglary,New York City,Day,27,Male,False,Gun,29,1
667,Assault,Los Angeles,Night,19,Female,True,Knife,14,1
668,Theft,Chicago,Day,19,Male,True,Sword,39,1
669,Burglary,New York City,Night,39,Female,False,Gun,34,1
670,Assault,Los Angeles,Day,35,Male,False,Knife,34,1
671,Theft,Chicago,Night,24,Female,True,Sword,41,0
672,Burglary,New York City,Day,43,Male,True,Gun,35,1
673,Assault,Los Angeles,Night,30,Female,False,Knife,4,0
674,Theft,Chicago,Day,28,Male,True,Sword,24,0
675,Burglary,New York City,Night,49,Female,False,Gun,21,1
676,Assault,Los Angeles,Day,34,Male,True,Knife,12,1
677,Theft,Chicago,Night,18,Female,True,Sword,27,1
678,Burglary,New York City,Day,50,Male,False,Gun,11,1
679,Assault,Los Angeles,Night,49,Female,False,Knife,41,1
680,Theft,Chicago,Day,22,Male,True,Sword,28,0
681,Burglary,New York City,Night,50,Female,False,Gun,39,1
682,Assault,Los Angeles,Day,44,Male,False,Knife,30,1
683,Theft,Chicago,Night,19,Female,False,Sword,59,1
684,Burglary,New York City,Day,48,Male,True,Gun,30,1
685,Assault,Los Angeles,Night,46,Female,True,Knife,45,1
686,Theft,Chicago,Day,36,Male,False,Sword,50,1
687,Burglary,New York City,Night,21,Female,True,Gun,25,1
688,Assault,Los Angeles,Day,25,Male,True,Knife,22,0
689,Theft,Chicago,Night,25,Female,True,Sword,10,0
690,Burglary,New York City,Day,40,Male,False,Gun,14,1
691,Assault,Los Angeles,Night,38,Female,True,Knife,26,1
692,Theft,Chicago,Day,48,Male,True,Sword,11,1
693,Burglary,New York City,Night,47,Female,True,Gun,12,1
694,Assault,Los Angeles,Day,21,Male,False,Knife,49,0
695,Theft,Chicago,Night,48,Female,False,Sword,50,1
696,Burglary,New York City,Day,17,Male,False,Gun,24,1
697,Assault,Los Angeles,Night,18,Female,False,Knife,46,1
698,Theft,Chicago,Day,50,Male,True,Sword,28,1
699,Burglary,New York City,Night,32,Female,False,Gun,34,1
700,Assault,Los Angeles,Day,32,Male,True,Knife,9,1
701,Theft,Chicago,Night,24,Female,False,Sword,45,0
702,Burglary,New York City,Day,48,Male,False,Gun,6,1
703,Assault,Los Angeles,Night,36,Female,True,Knife,38,1
704,Theft,Chicago,Day,29,Male,True,Sword,19,0
705,Burglary,New York City,Night,49,Female,True,Gun,28,1
706,Assault,Los Angeles,Day,29,Male,False,Knife,24,0
707,Theft,Chicago,Night,28,Female,False,Sword,27,0
708,Burglary,New York City,Day,25,Male,True,Gun,31,1
709,Assault,Los Angeles,Night,24,Female,True,Knife,51,0
710,Theft,Chicago,Day,33,Male,True,Sword,16,1
711,Burglary,New York City,Night,40,Female,True,Gun,51,1
712,Assault,Los Angeles,Day,41,Male,False,Knife,10,1
713,Theft,Chicago,Night,34,Female,False,Sword,10,1
714,Burglary,New York City,Day,23,Male,False,Gun,43,1
715,Assault,Los Angeles,Night,30,Female,False,Knife,2,0
716,Theft,Chicago,Day,32,Male,False,Sword,31,1
717,Burglary,New York City,Night,50,Female,True,Gun,37,1
718,Assault,Los Angeles,Day,27,Male,True,Knife,32,0
719,Theft,Chicago,Night,33,Female,False,Sword,57,1
720,Burglary,New York City,Day,37,Male,False,Gun,30,1
721,Assault,Los Angeles,Night,35,Female,True,Knife,35,1
722,Theft,Chicago,Day,31,Male,False,Sword,39,1
723,Burglary,New York City,Night,19,Female,True,Gun,47,1
724,Assault,Los Angeles,Day,35,Male,False,Knife,39,1
725,Theft,Chicago,Night,31,Female,True,Sword,39,1
726,Burglary,New York City,Day,17,Male,False,Gun,51,1
727,Assault,Los Angeles,Night,44,Female,False,Knife,25,1
728,Theft,Chicago,Day,47,Male,True,Sword,39,1
729,Burglary,New York City,Night,40,Female,False,Gun,53,1
730,Assault,Los Angeles,Day,38,Male,False,Knife,27,1
731,Theft,Chicago,Night,42,Female,False,Sword,29,1
732,Burglary,New York City,Day,39,Male,False,Gun,27,1
733,Assault,Los Angeles,Night,21,Female,True,Knife,46,0
734,Theft,Chicago,Day,30,Male,False,Sword,37,0
735,Burglary,New York City,Night,28,Female,False,Gun,12,1
736,Assault,Los Angeles,Day,44,Male,False,Knife,27,1
737,Theft,Chicago,Night,23,Female,True,Sword,29,0
738,Burglary,New York City,Day,18,Male,False,Gun,30,1
739,Assault,Los Angeles,Night,38,Female,True,Knife,10,1
740,Theft,Chicago,Day,45,Male,True,Sword,59,1
741,Burglary,New York City,Night,38,Female,True,Gun,4,1
742,Assault,Los Angeles,Day,21,Male,False,Knife,30,0
743,Theft,Chicago,Night,45,Female,False,Sword,51,1
744,Burglary,New York City,Day,21,Male,True,Gun,9,1
745,Assault,Los Angeles,Night,29,Female,False,Knife,44,0
746,Theft,Chicago,Day,49,Male,True,Sword,53,1
747,Burglary,New York City,Night,35,Female,False,Gun,14,1
748,Assault,Los Angeles,Day,49,Male,True,Knife,1,1
749,Theft,Chicago,Night,35,Female,False,Sword,57,1
750,Burglary,New York City,Day,27,Male,True,Gun,37,1
751,Assault,Los Angeles,Night,47,Female,True,Knife,4,1
752,Theft,Chicago,Day,23,Male,True,Sword,9,0
753,Burglary,New York City,Night,21,Female,True,Gun,53,1
754,Assault,Los Angeles,Day,25,Male,False,Knife,12,0
755,Theft,Chicago,Night,37,Female,False,Sword,19,1
756,Burglary,New York City,Day,46,Male,False,Gun,49,1
757,Assault,Los Angeles,Night,23,Female,False,Knife,42,0
758,Theft,Chicago,Day,46,Male,True,Sword,38,1
759,Burglary,New York City,Night,25,Female,False,Gun,30,1
760,Assault,Los Angeles,Day,32,Male,True,Knife,54,1
761,Theft,Chicago,Night,35,Female,False,Sword,23,1
762,Burglary,New York City,Day,41,Male,True,Gun,24,1
763,Assault,Los Angeles,Night,35,Female,False,Knife,44,1
764,Theft,Chicago,Day,32,Male,True,Sword,33,1
765,Burglary,New York City,Night,36,Female,True,Gun,20,1
766,Assault,Los Angeles,Day,39,Male,True,Knife,28,1
767,Theft,Chicago,Night,22,Female,False,Sword,19,0
768,Burglary,New York City,Day,32,Male,False,Gun,5,1
769,Assault,Los Angeles,Night,48,Female,False,Knife,44,1
770,Theft,Chicago,Day,50,Male,True,Sword,35,1
771,Burglary,New York City,Night,35,Female,False,Gun,17,1
772,Assault,Los Angeles,Day,36,Male,False,Knife,15,1
773,Theft,Chicago,Night,20,Female,True,Sword,58,1
774,Burglary,New York City,Day,41,Male,True,Gun,57,1
775,Assault,Los Angeles,Night,18,Female,True,Knife,47,1
776,Theft,Chicago,Day,48,Male,True,Sword,20,1
777,Burglary,New York City,Night,36,Female,False,Gun,8,1
778,Assault,Los Angeles,Day,25,Male,True,Knife,11,0
779,Theft,Chicago,Night,29,Female,False,Sword,3,0
780,Burglary,New York City,Day,19,Male,True,Gun,59,1
781,Assault,Los Angeles,Night,36,Female,False,Knife,12,1
782,Theft,Chicago,Day,43,Male,False,Sword,43,1
783,Burglary,New York City,Night,36,Female,False,Gun,2,1
784,Assault,Los Angeles,Day,20,Male,False,Knife,29,1
785,Theft,Chicago,Night,32,Female,False,Sword,15,1
786,Burglary,New York City,Day,48,Male,True,Gun,23,1
787,Assault,Los Angeles,Night,16,Female,False,Knife,22,1
788,Theft,Chicago,Day,33,Male,False,Sword,56,1
789,Burglary,New York City,Night,26,Female,False,Gun,55,1
790,Assault,Los Angeles,Day,37,Male,False,Knife,1,1
791,Theft,Chicago,Night,21,Female,False,Sword,32,0
792,Burglary,New York City,Day,17,Male,True,Gun,17,1
793,Assault,Los Angeles,Night,50,Female,True,Knife,15,1
794,Theft,Chicago,Day,44,Male,False,Sword,57,1
795,Burglary,New York City,Night,44,Female,True,Gun,4,1
796,Assault,Los Angeles,Day,36,Male,False,Knife,14,1
797,Theft,Chicago,Night,24,Female,True,Sword,26,0
798,Burglary,New York City,Day,41,Male,True,Gun,12,1
799,Assault,Los Angeles,Night,42,Female,True,Knife,4,1
800,Theft,Chicago,Day,26,Male,True,Sword,19,0
801,Burglary,New York City,Night,46,Female,False,Gun,49,1
802,Assault,Los Angeles,Day,35,Male,False,Knife,31,1
803,Theft,Chicago,Night,50,Female,True,Sword,28,1
804,Burglary,New York City,Day,43,Male,True,Gun,13,1
805,Assault,Los Angeles,Night,19,Female,False,Knife,56,1
806,Theft,Chicago,Day,26,Male,True,Sword,13,0
807,Burglary,New York City,Night,17,Female,False,Gun,55,1
808,Assault,Los Angeles,Day,45,Male,True,Knife,22,1
809,Theft,Chicago,Night,49,Female,False,Sword,25,1
810,Burglary,New York City,Day,47,Male,False,Gun,57,1
811,Assault,Los Angeles,Night,42,Female,True,Knife,7,1
812,Theft,Chicago,Day,18,Male,False,Sword,15,1
813,Burglary,New York City,Night,30,Female,True,Gun,6,1
814,Assault,Los Angeles,Day,48,Male,True,Knife,47,1
815,Theft,Chicago,Night,47,Female,False,Sword,20,1
816,Burglary,New York City,Day,37,Male,False,Gun,36,1
817,Assault,Los Angeles,Night,27,Female,True,Knife,11,0
818,Theft,Chicago,Day,45,Male,True,Sword,59,1
819,Burglary,New York City,Night,47,Female,True,Gun,33,1
820,Assault,Los Angeles,Day,46,Male,True,Knife,59,1
821,Theft,Chicago,Night,17,Female,False,Sword,15,1
822,Burglary,New York City,Day,19,Male,False,Gun,43,1
823,Assault,Los Angeles,Night,17,Female,False,Knife,9,1
824,Theft,Chicago,Day,17,Male,True,Sword,33,1
825,Burglary,New York City,Night,22,Female,True,Gun,5,1
826,Assault,Los Angeles,Day,24,Male,True,Knife,34,0
827,Theft,Chicago,Night,20,Female,True,Sword,30,1
828,Burglary,New York City,Day,30,Male,False,Gun,37,1
829,Assault,Los Angeles,Night,22,Female,True,Knife,46,0
830,Theft,Chicago,Day,26,Male,True,Sword,11,0
831,Burglary,New York City,Night,34,Female,False,Gun,48,1
832,Assault,Los Angeles,Day,26,Male,False,Knife,12,0
833,Theft,Chicago,Night,38,Female,True,Sword,59,1
834,Burglary,New York City,Day,48,Male,False,Gun,14,1
835,Assault,Los Angeles,Night,22,Female,True,Knife,15,0
836,Theft,Chicago,Day,50,Male,False,Sword,32,1
837,Burglary,New York City,Night,27,Female,False,Gun,14,1
838,Assault,Los Angeles,Day,36,Male,True,Knife,31,1
839,Theft,Chicago,Night,23,Female,False,Sword,55,0
840,Burglary,New York City,Day,47,Male,False,Gun,11,1
841,Assault,Los Angeles,Night,36,Female,False,Knife,15,1
842,Theft,Chicago,Day,35,Male,True,Sword,14,1
843,Burglary,New York City,Night,38,Female,False,Gun,24,1
844,Assault,Los Angeles,Day,28,Male,False,Knife,31,0
845,Theft,Chicago,Night,49,Female,False,Sword,38,1
846,Burglary,New York City,Day,17,Male,True,Gun,50,1
847,Assault,Los Angeles,Night,43,Female,True,Knife,4,1
848,Theft,Chicago,Day,32,Male,True,Sword,18,1
849,Burglary,New York City,Night,43,Female,False,Gun,1,1
850,Assault,Los Angeles,Day,35,Male,False,Knife,27,1
851,Theft,Chicago,Night,47,Female,True,Sword,52,1
852,Burglary,New York City,Day,50,Male,True,Gun,46,1
853,Assault,Los Angeles,Night,31,Female,False,Knife,55,1
854,Theft,Chicago,Day,24,Male,False,Sword,30,0
855,Burglary,New York City,Night,31,Female,True,Gun,51,1
856,Assault,Los Angeles,Day,38,Male,True,Knife,11,1
857,Theft,Chicago,Night,26,Female,False,Sword,51,0
858,Burglary,New York City,Day,22,Male,False,Gun,36,1
859,Assault,Los Angeles,Night,32,Female,False,Knife,9,1
860,Theft,Chicago,Day,47,Male,False,Sword,3,1
861,Burglary,New York City,Night,30,Female,True,Gun,15,1
862,Assault,Los Angeles,Day,23,Male,True,Knife,35,0
863,Theft,Chicago,Night,37,Female,True,Sword,23,1
864,Burglary,New York City,Day,20,Male,False,Gun,47,1
865,Assault,Los Angeles,Night,21,Female,True,Knife,35,0
866,Theft,Chicago,Day,48,Male,True,Sword,37,1
867,Burglary,New York City,Night,37,Female,True,Gun,6,1
868,Assault,Los Angeles,Day,22,Male,False,Knife,2,0
869,Theft,Chicago,Night,46,Female,True,Sword,12,1
870,Burglary,New York City,Day,41,Male,True,Gun,56,1
871,Assault,Los Angeles,Night,33,Female,False,Knife,23,1
872,Theft,Chicago,Day,27,Male,False,Sword,1,0
873,Burglary,New York City,Night,35,Female,True,Gun,58,1
874,Assault,Los Angeles,Day,37,Male,True,Knife,3,1
875,Theft,Chicago,Night,20,Female,False,Sword,3,1
876,Burglary,New York City,Day,31,Male,True,Gun,6,1
877,Assault,Los Angeles,Night,16,Female,False,Knife,48,1
878,Theft,Chicago,Day,47,Male,True,Sword,20,1
879,Burglary,New York City,Night,24,Female,False,Gun,54,1
880,Assault,Los Angeles,Day,23,Male,False,Knife,2,0
881,Theft,Chicago,Night,50,Female,False,Sword,45,1
882,Burglary,New York City,Day,22,Male,False,Gun,22,1
883,Assault,Los Angeles,Night,38,Female,True,Knife,12,1
884,Theft,Chicago,Day,25,Male,True,Sword,55,0
885,Burglary,New York City,Night,31,Female,False,Gun,28,1
886,Assault,Los Angeles,Day,30,Male,True,Knife,48,0
887,Theft,Chicago,Night,19,Female,False,Sword,12,1
888,Burglary,New York City,Day,27,Male,True,Gun,30,1
889,Assault,Los Angeles,Night,49,Female,False,Knife,57,1
890,Theft,Chicago,Day,47,Male,True,Sword,2,1
891,Burglary,New York City,Night,16,Female,False,Gun,28,1
892,Assault,Los Angeles,Day,48,Male,False,Knife,50,1
893,Theft,Chicago,Night,24,Female,False,Sword,57,0
894,Burglary,New York City,Day,45,Male,False,Gun,49,1
895,Assault,Los Angeles,Night,49,Female,True,Knife,8,1
896,Theft,Chicago,Day,30,Male,True,Sword,6,0
897,Burglary,New York City,Night,36,Female,False,Gun,52,1
898,Assault,Los Angeles,Day,44,Male,True,Knife,15,1
899,Theft,Chicago,Night,45,Female,True,Sword,48,1
900,Burglary,New York City,Day,34,Male,True,Gun,19,1
901,Assault,Los Angeles,Night,35,Female,True,Knife,15,1
902,Theft,Chicago,Day,35,Male,False,Sword,47,1
903,Burglary,New York City,Night,38,Female,False,Gun,21,1
904,Assault,Los Angeles,Day,33,Male,True,Knife,8,1
905,Theft,Chicago,Night,42,Female,True,Sword,28,1
906,Burglary,New York City,Day,19,Male,True,Gun,3,1
907,Assault,Los Angeles,Night,22,Female,False,Knife,51,0
908,Theft,Chicago,Day,48,Male,True,Sword,41,1
909,Burglary,New York City,Night,29,Female,True,Gun,35,1
910,Assault,Los Angeles,Day,22,Male,False,Knife,53,0
911,Theft,Chicago,Night,48,Female,False,Sword,57,1
912,Burglary,New York City,Day,36,Male,False,Gun,21,1
913,Assault,Los Angeles,Night,39,Female,False,Knife,50,1
914,Theft,Chicago,Day,17,Male,True,Sword,8,1
915,Burglary,New York City,Night,29,Female,False,Gun,50,1
916,Assault,Los Angeles,Day,29,Male,False,Knife,51,0
917,Theft,Chicago,Night,24,Female,False,Sword,5,0
918,Burglary,New York City,Day,49,Male,True,Gun,43,1
919,Assault,Los Angeles,Night,49,Female,True,Knife,31,1
920,Theft,Chicago,Day,25,Male,True,Sword,8,0
921,Burglary,New York City,Night,43,Female,True,Gun,17,1
922,Assault,Los Angeles,Day,22,Male,True,Knife,12,0
923,Theft,Chicago,Night,49,Female,False,Sword,2,1
924,Burglary,New York City,Day,22,Male,True,Gun,24,1
925,Assault,Los Angeles,Night,21,Female,True,Knife,21,0
926,Theft,Chicago,Day,41,Male,False,Sword,40,1
927,Burglary,New York City,Night,24,Female,False,Gun,47,1
928,Assault,Los Angeles,Day,17,Male,False,Knife,35,1
929,Theft,Chicago,Night,36,Female,False,Sword,39,1
930,Burglary,New York City,Day,42,Male,False,Gun,21,1
931,Assault,Los Angeles,Night,29,Female,True,Knife,36,0
932,Theft,Chicago,Day,31,Male,False,Sword,7,1
933,Burglary,New York City,Night,19,Female,True,Gun,9,1
934,Assault,Los Angeles,Day,28,Male,False,Knife,27,0
935,Theft,Chicago,Night,44,Female,False,Sword,41,1
936,Burglary,New York City,Day,39,Male,False,Gun,51,1
