,Age,Gender,Occupation,Income,Fitness Club Member,Frequency of Visits,Duration of Visits,Class Type,Class Day,Class Time,Class Duration,Attitude towards Fitness,Motivation Levels,Past Attendance History,Weather,Location,Time of Day,label
156,19,Male,Doctor,53364.79084128701,False,2,1.6435801069405973,Strength Training,Friday,6 AM,1.3439919853972118,Negative,Low,Never Attends,Snowy,Other,5 PM,0
157,28,Male,Teacher,45473.01843807784,True,2,1.642950925978567,Strength Training,Thursday,4 PM,1.0720932105757908,Positive,Low,Sometimes Attends,Sunny,Resort,2 PM,1
158,67,Male,Engineer,93786.32508826666,False,3,0.898245806256555,Spinning,Monday,1 PM,0.6695591825678353,Positive,Low,Rarely Attends,Cloudy,Suburban,6 PM,0
159,49,Female,Other,91398.82143819079,True,2,1.8200847112032772,Pool,Wednesday,6 AM,1.4276849494117019,Neutral,Medium,Never Attends,Rainy,Downtown,7 AM,1
160,46,Male,Student,93033.16095945623,False,4,0.940648850902589,Cardio,Friday,10 AM,1.3013654756041282,Negative,Medium,Never Attends,Rainy,Other,6 AM,0
161,53,Male,Engineer,46906.113669901206,True,1,0.6350225794504496,Group Fitness,Tuesday,2 PM,0.7336729449311473,Neutral,High,Sometimes Attends,Cloudy,Resort,9 AM,1
162,30,Male,Engineer,78121.27917083881,True,4,1.851352888902576,Yoga,Sunday,7 AM,1.197072655195103,Neutral,Low,Never Attends,Cloudy,Suburban,9 AM,1
163,35,Male,Engineer,68195.07990106862,False,3,0.73066669408357,Spinning,Friday,11 AM,0.5534517340045583,Negative,Medium,Sometimes Attends,Rainy,Other,2 PM,0
164,29,Female,Engineer,49008.60458260278,True,5,1.7456132809493636,Strength Training,Monday,11 AM,0.5120169916191011,Positive,High,Never Attends,Overcast,Suburban,10 AM,1
165,25,Female,Student,92613.09484720007,False,3,1.5718835577381882,Spinning,Wednesday,8 AM,1.3859599715553261,Negative,Low,Rarely Attends,Snowy,Resort,4 PM,0
166,20,Female,Other,86331.27053678875,True,5,1.323236017846019,Group Fitness,Thursday,5 PM,0.8456535702728408,Neutral,Low,Never Attends,Overcast,Resort,9 AM,1
167,49,Female,Teacher,41496.28882724479,False,4,1.2382715262937398,Spinning,Sunday,11 AM,0.8444843727809237,Negative,Low,Regularly Attends,Rainy,Beach,5 PM,0
168,57,Male,Teacher,64982.10947399256,False,4,1.223828479784091,Strength Training,Wednesday,7 AM,0.8063307512808949,Neutral,High,Never Attends,Overcast,Suburban,4 PM,0
169,19,Male,Engineer,58210.417738188225,True,1,1.37712864227737,Pool,Monday,4 PM,1.2574858693397089,Neutral,Medium,Never Attends,Snowy,Other,10 AM,1
170,24,Female,Doctor,88464.52954357203,True,1,0.2334600398415998,Yoga,Wednesday,2 PM,0.5902620510080386,Negative,High,Never Attends,Rainy,Beach,6 AM,1
171,45,Male,Student,60127.10473079953,True,2,1.846536689522057,Cardio,Sunday,7 AM,0.8452332127929716,Neutral,Medium,Sometimes Attends,Rainy,Beach,3 PM,1
172,28,Female,Student,76420.94446418365,True,4,1.2136294226638493,Yoga,Friday,5 PM,1.1295242243437242,Mixed,High,Never Attends,Overcast,Resort,4 PM,1
173,30,Male,Doctor,33939.65836940171,True,1,1.6101284222571208,Pool,Friday,8 AM,0.6286305748772337,Negative,Medium,Never Attends,Snowy,Resort,3 PM,1
174,40,Female,Doctor,35278.05616777402,True,3,1.9715176041039388,Pool,Friday,6 AM,0.570796215439609,Neutral,Medium,Never Attends,Sunny,Resort,11 AM,1
175,40,Female,Doctor,36094.101201302925,True,4,1.8766304491255872,Spinning,Sunday,3 PM,1.324172653153512,Negative,High,Rarely Attends,Rainy,Suburban,3 PM,1
176,38,Female,Teacher,62986.480853350375,False,5,1.2564867299105038,Cardio,Friday,10 AM,0.81802232248148,Positive,High,Never Attends,Overcast,Resort,6 PM,0
177,39,Male,Other,24589.382340429664,False,4,1.5672393941887723,Cardio,Saturday,1 PM,1.1694382244725432,Neutral,Medium,Regularly Attends,Sunny,Downtown,5 PM,0
178,18,Male,Other,69692.53633613084,True,1,1.0602500000653197,Group Fitness,Friday,7 AM,0.5373146810215491,Negative,Low,Rarely Attends,Sunny,Rural,8 PM,1
179,30,Female,Other,39880.258994023534,True,1,0.0521519742158445,Pool,Thursday,6 AM,1.1352211121366453,Neutral,High,Sometimes Attends,Overcast,Resort,4 PM,1
180,35,Female,Doctor,54891.62150808862,True,1,0.9477439053571075,Spinning,Thursday,12 PM,1.2019009705563732,Mixed,Medium,Sometimes Attends,Cloudy,Other,12 PM,1
181,41,Male,Engineer,81054.621363707,False,3,0.595887248705977,Cardio,Thursday,4 PM,1.4581547188670938,Negative,Medium,Regularly Attends,Rainy,Beach,3 PM,0
182,23,Female,Teacher,80817.69331722244,False,5,1.1719686799663325,Spinning,Wednesday,2 PM,0.8238226761676715,Mixed,Low,Rarely Attends,Snowy,Suburban,4 PM,0
183,48,Female,Student,22655.42693855557,True,3,1.08084711853821,Strength Training,Saturday,5 PM,0.7315729940748282,Neutral,High,Regularly Attends,Cloudy,Suburban,9 AM,1
184,66,Female,Student,75750.91600454302,True,5,1.018089801773044,Strength Training,Thursday,4 PM,1.2154371531200963,Neutral,Medium,Regularly Attends,Overcast,Suburban,3 PM,1
185,56,Female,Teacher,74912.29139806615,True,4,1.0088775435084814,Group Fitness,Friday,6 PM,1.4772902107391959,Mixed,Low,Regularly Attends,Cloudy,Suburban,7 AM,1
186,50,Male,Doctor,22633.889939507768,True,2,1.9618763285758944,Pool,Wednesday,8 PM,0.9812656193756721,Negative,Low,Regularly Attends,Cloudy,Downtown,11 AM,1
187,65,Male,Other,68742.26818563961,False,1,1.1912620778731753,Spinning,Saturday,7 AM,1.0851301200994472,Mixed,High,Rarely Attends,Sunny,Other,12 PM,0
188,38,Female,Other,78126.56133334368,False,3,0.7684252380343792,Spinning,Sunday,5 PM,1.0444361474084345,Negative,Low,Sometimes Attends,Cloudy,Beach,4 PM,0
189,29,Female,Doctor,58757.91046779837,False,3,1.4799433699101816,Group Fitness,Monday,3 PM,1.3592944687692547,Mixed,High,Sometimes Attends,Sunny,Rural,12 PM,1
190,38,Male,Student,53731.377255385116,True,1,1.0264928834809361,Group Fitness,Tuesday,11 AM,0.5966657851223133,Positive,Medium,Never Attends,Rainy,Beach,8 PM,1
191,23,Female,Other,81736.80195109309,False,5,1.4797741850059638,Group Fitness,Wednesday,4 PM,0.9278573782576752,Positive,Low,Regularly Attends,Sunny,Downtown,7 PM,1
192,33,Female,Engineer,20899.09207720485,True,1,1.3663301669353674,Spinning,Tuesday,9 AM,0.5728988472015604,Mixed,High,Regularly Attends,Rainy,Resort,7 PM,1
193,52,Male,Teacher,65668.3373163919,True,1,0.7101163877963661,Spinning,Sunday,2 PM,0.5683987864357364,Positive,Low,Sometimes Attends,Overcast,Beach,8 AM,1
194,32,Female,Teacher,52716.981805031,False,5,1.415618571985817,Spinning,Thursday,6 PM,0.8545272936887299,Neutral,Low,Sometimes Attends,Snowy,Downtown,7 AM,0
195,63,Male,Doctor,24187.639212937785,False,4,1.386308767868719,Spinning,Friday,7 AM,0.5554283601767743,Positive,Medium,Regularly Attends,Rainy,Resort,5 PM,0
196,24,Female,Teacher,89327.47998232611,False,1,0.35320656199989653,Strength Training,Thursday,4 PM,1.317626821015941,Mixed,Low,Sometimes Attends,Sunny,Suburban,8 AM,1
197,29,Female,Student,66292.20872317682,False,2,1.6309406638526156,Spinning,Tuesday,10 AM,0.7141082236761696,Neutral,High,Regularly Attends,Overcast,Resort,4 PM,0
198,68,Female,Teacher,93114.63348346569,True,4,1.1150212846253933,Yoga,Thursday,3 PM,0.5952888534963456,Negative,Medium,Rarely Attends,Snowy,Downtown,9 AM,1
199,41,Male,Other,80797.57461146355,True,4,0.9212946920783267,Group Fitness,Tuesday,10 AM,0.6715480828268928,Positive,Medium,Never Attends,Sunny,Other,9 AM,1
200,64,Female,Other,72325.3053762776,False,3,1.5225225189013016,Cardio,Friday,8 AM,0.7189908010556717,Negative,Medium,Sometimes Attends,Rainy,Resort,6 PM,0
201,59,Male,Doctor,50055.81157107336,False,3,1.920560122250236,Yoga,Sunday,5 PM,1.0936124163926488,Positive,Medium,Rarely Attends,Cloudy,Downtown,7 PM,0
202,47,Male,Teacher,31266.980818778356,True,5,1.8360432091967962,Spinning,Friday,8 AM,1.2473546224196865,Mixed,High,Sometimes Attends,Rainy,Downtown,7 AM,1
203,49,Female,Student,82023.1952958793,True,4,1.2122483039914647,Group Fitness,Thursday,8 AM,1.3435324251000962,Positive,High,Rarely Attends,Rainy,Other,12 PM,1
204,29,Male,Student,34538.260570849656,False,3,1.6708861416028051,Group Fitness,Saturday,5 PM,0.5499982808809917,Negative,Medium,Never Attends,Snowy,Rural,7 AM,0
205,32,Male,Teacher,76552.75283230524,False,4,1.3890804472159999,Group Fitness,Tuesday,3 PM,1.2330552636438594,Neutral,Medium,Rarely Attends,Cloudy,Downtown,8 AM,0
206,29,Female,Doctor,61728.952564841464,True,3,1.0589112463163965,Spinning,Tuesday,6 PM,1.294980517263239,Positive,High,Regularly Attends,Overcast,Other,5 PM,1
207,47,Female,Doctor,48421.439004669046,False,1,0.6223213632264131,Pool,Sunday,11 AM,0.6868920296703115,Negative,Medium,Never Attends,Cloudy,Other,8 AM,0
208,55,Male,Other,86747.6868183017,False,5,0.2797328913646566,Group Fitness,Friday,6 AM,0.8006116916615813,Negative,Low,Rarely Attends,Cloudy,Downtown,8 PM,0
209,43,Female,Other,85795.32188838728,False,3,1.7889887597761718,Cardio,Friday,6 AM,1.4415074856067709,Positive,High,Rarely Attends,Sunny,Suburban,3 PM,1
210,63,Female,Engineer,33884.29009795052,True,4,1.22918911451871,Pool,Sunday,5 PM,0.6660494028474555,Mixed,Medium,Sometimes Attends,Sunny,Beach,8 PM,1
211,52,Male,Student,41294.091097481476,True,1,0.5558419999461717,Strength Training,Thursday,7 PM,1.179489166590574,Mixed,Medium,Sometimes Attends,Sunny,Beach,1 PM,1
212,24,Male,Other,60136.70207720261,False,2,1.952344733430647,Pool,Wednesday,1 PM,1.14925269610248,Neutral,Low,Rarely Attends,Cloudy,Beach,5 PM,0
213,47,Female,Engineer,71165.86831102558,False,4,1.969104591914328,Pool,Saturday,5 PM,0.5694533658070402,Mixed,Medium,Regularly Attends,Sunny,Beach,2 PM,1
214,45,Female,Engineer,92030.83501705345,True,4,0.4525492922603471,Group Fitness,Sunday,6 PM,1.0157172673540535,Negative,Medium,Never Attends,Sunny,Downtown,12 PM,1
215,54,Female,Teacher,55248.67472721011,False,4,1.5004254574368587,Strength Training,Saturday,7 PM,0.5556525681718749,Negative,Low,Regularly Attends,Snowy,Resort,1 PM,0
216,50,Male,Student,51801.89729666439,True,4,1.2246428788062886,Strength Training,Tuesday,6 PM,1.0209265000276941,Negative,High,Never Attends,Cloudy,Other,1 PM,1
217,56,Male,Student,23240.587752294796,True,3,0.14199517447856191,Spinning,Thursday,6 PM,1.1361349207067328,Neutral,Low,Regularly Attends,Cloudy,Other,8 PM,1
218,52,Male,Teacher,74753.18760635966,True,4,0.4479197621698576,Spinning,Friday,6 AM,1.1658248492150831,Mixed,Low,Regularly Attends,Rainy,Rural,8 AM,1
219,37,Male,Teacher,79889.89631243175,False,5,1.794838732183641,Cardio,Thursday,12 PM,1.0964370752718966,Mixed,High,Sometimes Attends,Overcast,Other,12 PM,0
220,57,Female,Doctor,75754.12427907632,True,4,1.9482457562165656,Group Fitness,Thursday,6 PM,1.2819275411394657,Neutral,Medium,Regularly Attends,Overcast,Other,12 PM,1
221,52,Male,Engineer,74863.7002551074,True,2,0.5052569048991535,Cardio,Thursday,8 PM,0.5347128697146571,Positive,High,Never Attends,Overcast,Downtown,10 AM,1
222,65,Female,Doctor,30881.50041575323,True,2,0.8202371049009998,Group Fitness,Tuesday,10 AM,0.715385504317311,Mixed,Low,Sometimes Attends,Sunny,Suburban,6 PM,1
223,25,Female,Student,54928.866151224654,False,2,1.712056326492416,Strength Training,Friday,7 AM,0.9739382991816563,Negative,High,Sometimes Attends,Snowy,Beach,6 AM,0
224,30,Female,Doctor,49985.823486929294,False,1,0.9174709531111487,Group Fitness,Friday,4 PM,0.9497659848073342,Mixed,Medium,Never Attends,Overcast,Suburban,6 PM,0
225,65,Female,Engineer,55781.270609994055,True,2,0.14129679999576217,Pool,Wednesday,3 PM,0.7418762781141932,Mixed,Low,Never Attends,Rainy,Beach,6 AM,1
226,49,Female,Student,21229.456344974675,False,3,0.00994068496622269,Pool,Wednesday,3 PM,1.257105691903396,Neutral,Low,Sometimes Attends,Overcast,Other,8 AM,0
227,21,Female,Doctor,96921.00301941321,True,1,1.4470053071882638,Strength Training,Sunday,6 AM,1.1809151807196434,Neutral,Low,Never Attends,Rainy,Downtown,9 AM,1
228,37,Male,Teacher,27966.692425014888,False,2,0.9367225576270681,Spinning,Friday,8 PM,0.5067410697327144,Neutral,Medium,Never Attends,Sunny,Rural,6 PM,0
229,22,Male,Engineer,29364.385635303857,True,4,0.4045036352597857,Cardio,Thursday,2 PM,1.4494816164778745,Mixed,Medium,Never Attends,Rainy,Resort,10 AM,1
230,49,Female,Student,83373.71247318861,False,1,0.27845040634039586,Yoga,Wednesday,4 PM,0.8150760503714711,Neutral,Medium,Rarely Attends,Snowy,Suburban,8 AM,0
231,29,Female,Engineer,79456.1309380128,False,4,0.508879292320934,Cardio,Monday,2 PM,0.5856041362567964,Negative,Low,Never Attends,Rainy,Beach,9 AM,0
232,31,Male,Other,49982.836802667254,True,3,1.2039493451293546,Pool,Tuesday,10 AM,0.8459343525244016,Positive,High,Rarely Attends,Overcast,Other,3 PM,1
233,40,Female,Other,63492.29301057334,True,5,1.607733445499634,Yoga,Saturday,6 AM,1.0393519975780303,Neutral,High,Sometimes Attends,Sunny,Downtown,8 PM,1
234,69,Male,Doctor,81036.3325770683,False,4,1.7112276848835353,Group Fitness,Sunday,3 PM,0.8819771083842471,Negative,Low,Never Attends,Snowy,Suburban,7 AM,0
235,44,Female,Engineer,25954.33245425582,True,3,1.7886877411865174,Spinning,Wednesday,10 AM,0.6280082926276364,Neutral,Low,Sometimes Attends,Snowy,Beach,7 PM,1
236,42,Male,Doctor,51746.67252941571,True,3,0.5463400708388926,Group Fitness,Sunday,7 AM,1.4155114946243101,Positive,Medium,Never Attends,Snowy,Suburban,7 AM,1
237,22,Female,Other,64847.96115439972,True,4,0.6975562174038821,Yoga,Sunday,11 AM,1.126836204599182,Mixed,Low,Sometimes Attends,Overcast,Rural,8 PM,1
238,55,Female,Engineer,96616.85816089585,True,1,0.1824768697270387,Yoga,Friday,7 PM,1.1479926638304576,Positive,Low,Rarely Attends,Rainy,Resort,4 PM,1
239,28,Female,Teacher,85605.27194760114,False,4,1.2570663640355133,Pool,Thursday,7 AM,1.1263474942158087,Neutral,High,Sometimes Attends,Cloudy,Suburban,6 AM,0
240,41,Female,Teacher,66364.28592645659,False,3,0.8890969599993688,Strength Training,Wednesday,4 PM,1.4618623353323015,Positive,Medium,Rarely Attends,Overcast,Resort,3 PM,0
241,40,Male,Student,41308.38997906659,False,2,0.20487104290224134,Group Fitness,Tuesday,7 PM,0.7321199846821268,Mixed,High,Rarely Attends,Snowy,Rural,8 AM,0
242,38,Male,Student,96433.37229005925,True,4,0.45262152557054014,Cardio,Thursday,1 PM,0.6859871680188285,Positive,Medium,Regularly Attends,Cloudy,Suburban,10 AM,1
243,41,Male,Teacher,86763.05828221381,False,2,1.3170949563375378,Group Fitness,Friday,12 PM,1.341417779908451,Neutral,Medium,Never Attends,Cloudy,Rural,8 PM,0
244,65,Male,Student,98031.89543358634,False,2,0.528527237690172,Pool,Thursday,7 PM,1.0403316794156119,Mixed,Medium,Rarely Attends,Overcast,Rural,7 PM,0
245,28,Male,Student,98283.04280639823,True,3,0.7488418417637193,Group Fitness,Monday,8 PM,0.9974858772859738,Mixed,High,Never Attends,Snowy,Other,2 PM,1
246,62,Male,Student,68273.61720571405,False,3,1.0493241622324694,Cardio,Tuesday,2 PM,1.3340058417116214,Negative,Medium,Never Attends,Overcast,Suburban,5 PM,0
247,27,Female,Student,84397.0230268322,True,3,0.93197490873642,Pool,Sunday,11 AM,1.330986335301462,Negative,High,Sometimes Attends,Cloudy,Suburban,6 AM,1
248,23,Male,Doctor,57536.5001971139,True,2,0.04887460350995876,Cardio,Monday,9 AM,0.9792910954147619,Mixed,High,Rarely Attends,Cloudy,Downtown,6 AM,1
249,59,Female,Student,90925.38169346811,True,2,0.38220239573748227,Group Fitness,Tuesday,4 PM,0.6478237112069565,Positive,High,Sometimes Attends,Cloudy,Rural,11 AM,1
250,24,Female,Other,88666.05550215277,True,5,0.4059252022281479,Group Fitness,Wednesday,7 AM,1.372453145134223,Mixed,Low,Rarely Attends,Rainy,Beach,11 AM,1
251,23,Male,Student,38116.46747483051,True,1,1.2620606776230938,Cardio,Tuesday,6 PM,1.499551770502738,Neutral,Medium,Sometimes Attends,Overcast,Rural,2 PM,1
252,68,Female,Other,57090.886697469,True,3,1.8310665682375138,Strength Training,Wednesday,6 PM,0.9931114275161278,Positive,Medium,Never Attends,Rainy,Other,6 PM,1
253,57,Male,Teacher,32512.446957787837,False,3,1.6992907727095392,Group Fitness,Saturday,7 AM,0.9503055238848208,Negative,Low,Regularly Attends,Sunny,Other,4 PM,0
254,39,Male,Other,43643.73719063722,True,1,0.7445332530998872,Pool,Saturday,7 AM,1.211094962858951,Negative,High,Regularly Attends,Overcast,Rural,1 PM,1
255,36,Female,Engineer,61471.86623931211,True,5,1.8045300208845139,Strength Training,Friday,3 PM,0.6206224201468723,Negative,Medium,Sometimes Attends,Overcast,Resort,9 AM,1
256,26,Female,Engineer,37834.254323761445,True,5,0.4769994163205735,Pool,Sunday,8 PM,1.3522804256052607,Neutral,Low,Regularly Attends,Rainy,Rural,9 AM,1
257,69,Female,Doctor,32875.187794295525,True,3,0.06373420554776321,Pool,Thursday,9 AM,0.7146079806934204,Negative,Medium,Never Attends,Cloudy,Resort,10 AM,1
258,40,Female,Student,97326.88646431812,False,1,1.892936143520151,Pool,Thursday,8 PM,1.1802460037521172,Neutral,High,Never Attends,Rainy,Beach,11 AM,0
259,63,Male,Doctor,34377.9130621368,False,1,0.7328654928026197,Cardio,Sunday,4 PM,0.7185315444977269,Mixed,Low,Sometimes Attends,Rainy,Other,8 PM,0
260,28,Male,Doctor,67022.30805984879,True,1,0.8225581883969766,Spinning,Tuesday,3 PM,0.949767064503549,Positive,Medium,Regularly Attends,Rainy,Rural,8 PM,1
261,43,Male,Doctor,51361.236484686655,False,3,1.8419701665177894,Strength Training,Tuesday,1 PM,0.8926827566197455,Positive,Low,Regularly Attends,Sunny,Suburban,7 AM,0
262,68,Male,Other,61069.8766293405,True,4,1.2163168237937094,Cardio,Sunday,12 PM,0.5626714893736311,Negative,Low,Regularly Attends,Sunny,Downtown,8 PM,1
263,47,Male,Doctor,54948.35946180873,False,2,0.24940100480957184,Strength Training,Tuesday,5 PM,0.8355996495592948,Positive,Low,Regularly Attends,Sunny,Beach,8 AM,0
264,20,Female,Student,49304.059255304164,True,2,0.7155521117425516,Pool,Tuesday,3 PM,1.435926664195946,Neutral,Medium,Never Attends,Snowy,Resort,6 PM,1
265,51,Male,Student,85207.78498460242,False,4,1.3574036338567481,Strength Training,Wednesday,7 PM,0.9290161962455371,Neutral,Low,Rarely Attends,Sunny,Beach,1 PM,0
266,38,Female,Student,55086.22481971214,False,3,0.9859309686620883,Spinning,Thursday,7 AM,0.8967189483146083,Positive,Medium,Regularly Attends,Sunny,Downtown,7 PM,1
267,39,Male,Doctor,37144.20809591027,False,3,0.9096196471353541,Cardio,Monday,11 AM,0.7736664857636408,Neutral,Medium,Rarely Attends,Overcast,Other,5 PM,0
268,21,Female,Doctor,77337.38354877768,False,2,1.4098416301986385,Group Fitness,Monday,5 PM,1.1555797239406673,Mixed,Low,Regularly Attends,Sunny,Rural,4 PM,1
269,21,Male,Doctor,32392.66748789303,False,3,1.406346777006697,Strength Training,Thursday,3 PM,0.5411051714529845,Mixed,Low,Regularly Attends,Rainy,Downtown,4 PM,1
270,34,Female,Student,59713.902314620114,True,1,0.9084915857886713,Spinning,Thursday,1 PM,1.237262593052759,Positive,Low,Sometimes Attends,Sunny,Suburban,1 PM,1
271,25,Female,Student,41782.63058737932,False,1,1.7055644661270302,Strength Training,Saturday,9 AM,1.4310511822474212,Negative,High,Regularly Attends,Sunny,Downtown,7 AM,1
272,18,Female,Doctor,29508.43054177538,True,3,1.6043025622476337,Pool,Wednesday,10 AM,1.2436907549706584,Negative,High,Regularly Attends,Overcast,Suburban,8 PM,1
273,50,Male,Other,60407.60755091365,True,5,1.3602408832156456,Pool,Wednesday,7 AM,1.1095816484204444,Positive,High,Sometimes Attends,Rainy,Other,3 PM,1
274,66,Female,Other,28393.437213629477,False,1,1.5697646650571668,Strength Training,Saturday,4 PM,1.2767271219712217,Mixed,High,Regularly Attends,Overcast,Rural,11 AM,0
275,42,Female,Teacher,47319.98291402789,True,4,0.7878059576335723,Yoga,Monday,5 PM,1.0053952682412035,Positive,High,Never Attends,Snowy,Downtown,10 AM,1
276,24,Male,Doctor,80720.94502897275,False,3,0.9057439539298602,Pool,Thursday,5 PM,0.6464610178704857,Neutral,Low,Rarely Attends,Snowy,Rural,7 PM,0
277,43,Male,Doctor,93294.14928912606,False,3,1.397223500493283,Group Fitness,Friday,8 AM,0.7235101155448331,Negative,High,Regularly Attends,Overcast,Other,8 PM,0
278,36,Female,Engineer,47157.88043823851,True,2,1.512048649117926,Spinning,Sunday,6 PM,1.175391706893456,Positive,High,Sometimes Attends,Sunny,Beach,7 AM,1
279,50,Female,Other,73560.74280689712,True,2,0.08278750684044,Yoga,Monday,9 AM,1.21879719313654,Mixed,Low,Rarely Attends,Rainy,Downtown,10 AM,1
280,52,Male,Engineer,79431.75754397588,False,4,0.0281035321207892,Pool,Thursday,8 AM,1.039102091178445,Negative,High,Never Attends,Snowy,Other,1 PM,0
281,30,Male,Student,26956.59207981982,False,2,1.8563913611827716,Pool,Thursday,6 AM,0.5934555711029397,Negative,Low,Never Attends,Rainy,Downtown,10 AM,1
282,44,Male,Student,26705.2220495239,False,1,0.8874216222490561,Yoga,Wednesday,8 PM,0.511133933416472,Positive,Low,Sometimes Attends,Rainy,Other,7 PM,0
283,44,Male,Student,50310.19772895449,False,4,1.1716002218375212,Group Fitness,Wednesday,9 AM,1.4237168065948325,Neutral,Medium,Sometimes Attends,Overcast,Rural,12 PM,0
284,33,Male,Engineer,33851.2427616824,False,3,0.047340495550063144,Strength Training,Thursday,9 AM,0.9736566772465948,Positive,High,Sometimes Attends,Snowy,Resort,7 PM,0
285,22,Male,Doctor,39158.21765792028,True,5,1.2572563936262162,Strength Training,Wednesday,7 AM,0.8940222262707959,Neutral,High,Sometimes Attends,Snowy,Suburban,12 PM,1
286,58,Female,Student,67478.3240965355,True,2,0.07674548424906513,Spinning,Tuesday,7 PM,1.0289759334965516,Neutral,High,Never Attends,Cloudy,Suburban,11 AM,1
287,31,Male,Other,66005.03269062203,True,4,1.0763586915578807,Strength Training,Wednesday,6 AM,1.4062214931590962,Negative,Medium,Never Attends,Rainy,Beach,8 PM,1
288,50,Male,Doctor,60917.95579122723,False,4,1.550977739186352,Pool,Sunday,7 PM,0.9545055703928,Positive,Medium,Rarely Attends,Cloudy,Rural,6 AM,0
289,64,Female,Other,37572.44562862032,False,4,0.8527645657651477,Spinning,Friday,7 PM,1.2885292206223014,Mixed,High,Regularly Attends,Overcast,Downtown,11 AM,0
290,69,Female,Engineer,76090.31675301888,True,1,0.19473641138794529,Cardio,Tuesday,5 PM,0.8020892900963571,Mixed,Medium,Rarely Attends,Sunny,Downtown,4 PM,1
291,55,Male,Other,54922.55018174097,True,3,1.4782573929605443,Pool,Saturday,4 PM,1.1238347800668522,Mixed,Medium,Regularly Attends,Sunny,Suburban,7 AM,1
292,52,Female,Doctor,65816.53720246983,True,3,0.34378858048931193,Pool,Tuesday,8 AM,1.080269247894364,Neutral,High,Regularly Attends,Sunny,Resort,3 PM,1
293,37,Female,Other,23962.535622558906,True,2,0.5991765929756108,Strength Training,Monday,8 AM,1.3929353657154473,Neutral,High,Rarely Attends,Overcast,Downtown,2 PM,1
294,43,Male,Other,46240.24347681558,False,5,1.1014013745087046,Pool,Monday,3 PM,1.235473079646793,Negative,Low,Regularly Attends,Rainy,Beach,11 AM,0
295,46,Female,Doctor,40789.39569209222,False,1,0.16107809224525216,Yoga,Monday,4 PM,0.7203116498754566,Positive,Low,Never Attends,Overcast,Resort,12 PM,0
296,54,Female,Engineer,24007.333964735975,False,4,1.0762033136919857,Strength Training,Sunday,4 PM,1.0577820888936318,Positive,Low,Never Attends,Rainy,Beach,3 PM,0
297,57,Female,Other,98812.75379937499,False,5,0.18880577119021047,Yoga,Wednesday,9 AM,0.936705051050022,Mixed,Medium,Regularly Attends,Snowy,Beach,6 PM,0
298,35,Female,Engineer,25315.93647643316,True,1,1.725871377958698,Strength Training,Wednesday,7 PM,1.409850334276027,Mixed,Medium,Never Attends,Rainy,Resort,8 AM,1
299,66,Male,Teacher,52455.57652249776,True,2,1.578271831925342,Strength Training,Tuesday,3 PM,1.3687174594821698,Mixed,Medium,Sometimes Attends,Overcast,Downtown,4 PM,1
300,31,Female,Doctor,22415.422777626973,True,1,1.1271904246694242,Group Fitness,Friday,5 PM,1.1283432529050583,Positive,High,Regularly Attends,Rainy,Other,7 PM,1
301,52,Female,Teacher,24669.142938828452,True,2,1.8855457561213098,Strength Training,Thursday,10 AM,0.7179876959454274,Negative,High,Rarely Attends,Cloudy,Suburban,2 PM,1
302,30,Female,Other,72812.71705395736,False,2,1.5372500762817993,Pool,Thursday,4 PM,1.2611750671336126,Mixed,Low,Rarely Attends,Cloudy,Beach,11 AM,0
303,22,Male,Student,67521.61282045886,False,4,0.022622293451215025,Pool,Tuesday,7 PM,1.3203347961084162,Neutral,Low,Sometimes Attends,Overcast,Resort,6 PM,0
304,28,Male,Doctor,72578.6307756016,True,3,1.7324604701741764,Strength Training,Friday,9 AM,1.0867599360338112,Negative,High,Rarely Attends,Overcast,Downtown,7 PM,1
305,31,Female,Student,34393.487039385036,True,4,1.9749695085409054,Strength Training,Sunday,10 AM,0.8784854052643146,Negative,High,Never Attends,Cloudy,Resort,5 PM,1
306,45,Male,Teacher,55297.59866701408,True,3,1.8518649249525112,Yoga,Monday,12 PM,0.875541873573522,Neutral,High,Rarely Attends,Rainy,Downtown,8 PM,1
307,47,Female,Student,43421.3477755579,True,5,0.5934500233336846,Pool,Wednesday,11 AM,1.2746032043530728,Positive,Medium,Regularly Attends,Cloudy,Resort,8 AM,1
308,69,Female,Student,42969.23479730653,True,5,1.8620745410236648,Cardio,Saturday,11 AM,1.3463986254677034,Mixed,High,Never Attends,Overcast,Rural,8 AM,1
309,42,Male,Other,77596.04861610729,False,5,1.8266344282402256,Group Fitness,Saturday,5 PM,1.1178563199230247,Mixed,Low,Rarely Attends,Rainy,Other,5 PM,0
310,45,Female,Other,44243.62412962213,False,4,0.4303011671710377,Group Fitness,Thursday,8 AM,0.9825412946801935,Positive,High,Regularly Attends,Sunny,Beach,7 PM,1
311,21,Male,Engineer,87550.55949583955,True,4,0.20619051916974218,Strength Training,Wednesday,2 PM,1.4274548722512646,Neutral,High,Rarely Attends,Cloudy,Downtown,7 AM,1
312,30,Female,Engineer,26872.302918714086,False,4,0.7472122150968323,Pool,Tuesday,1 PM,0.5796063020700312,Negative,Medium,Sometimes Attends,Sunny,Beach,9 AM,1
313,34,Female,Engineer,32792.56027558305,False,2,0.7318986601015629,Spinning,Sunday,10 AM,1.316130300028399,Neutral,Medium,Rarely Attends,Sunny,Resort,1 PM,1
