,age,years_in_congress,state,party_affiliation,voted_on_budget,voted_on_healthcare_reform,voted_on_tax_cuts,voted_on_immigration_reform,voted_on_climate_change_bill,voted_on_abortion_rights,voted_on_gun_control,voted_on_welfare_reform,education_level,income_level,number_of_bills_sponsored,number_of_amendments_supported,gender,race,religion,label
323,66,19,IL,Democrat,1,0,0,1,1,1,0,0,4,3,12,28,Male,White,Jewish,1
324,25,12,MI,Democrat,0,1,1,0,1,0,1,0,3,3,8,18,Female,Other,Christian,1
325,56,26,FL,Democrat,0,1,0,0,0,1,1,1,3,1,14,5,Female,Black,Other,1
326,62,11,FL,Democrat,1,0,0,1,0,1,0,0,4,3,9,20,Male,Other,Jewish,1
327,36,15,NY,Republican,0,1,0,0,1,0,0,1,4,3,4,23,Male,Other,Jewish,1
328,76,11,OH,Republican,1,0,0,0,1,1,0,0,3,2,3,9,Male,Black,Christian,1
329,71,11,CA,Democrat,1,0,0,1,1,1,0,1,2,3,17,17,Male,Other,Jewish,1
330,69,22,CA,Democrat,1,1,0,0,1,1,0,1,1,2,3,13,Female,Black,Other,1
331,71,10,FL,Republican,1,0,1,0,0,0,1,1,3,2,15,27,Male,Black,Christian,1
332,40,19,TX,Republican,1,1,0,0,0,1,1,1,3,2,10,1,Female,Black,Jewish,1
333,48,3,OH,Democrat,1,1,0,1,0,0,0,1,1,1,6,3,Female,White,Christian,1
334,68,4,AZ,Republican,0,1,0,0,1,1,0,1,3,3,0,28,Female,Black,Other,1
335,44,3,NY,Democrat,0,1,1,1,0,1,1,0,3,3,2,14,Male,Black,Christian,1
336,67,15,FL,Republican,1,1,1,1,0,0,0,0,4,2,15,24,Female,Other,Other,1
337,68,6,IL,Republican,0,0,0,0,1,0,1,1,3,3,3,20,Male,White,Christian,1
339,51,8,FL,Republican,1,0,0,1,1,1,0,0,4,3,19,22,Male,Other,Christian,1
340,58,2,FL,Republican,1,0,1,0,0,1,0,1,3,2,0,5,Male,White,Christian,1
341,46,19,FL,Republican,0,1,1,0,1,1,0,0,3,2,0,27,Female,Other,Jewish,1
342,27,15,NC,Democrat,0,0,1,0,1,1,1,0,1,2,9,5,Female,Other,Christian,0
343,41,8,AZ,Republican,0,1,1,1,0,0,0,1,1,1,11,8,Male,Black,Jewish,0
345,51,5,CA,Republican,1,0,0,0,1,1,0,0,1,1,12,17,Male,White,Other,0
346,63,12,WA,Republican,1,0,0,1,1,0,0,0,1,1,5,22,Female,White,Christian,0
347,44,27,IL,Republican,1,0,1,0,0,0,0,0,2,2,19,21,Male,Other,Jewish,1
348,70,12,IL,Democrat,0,1,0,0,0,1,0,0,3,1,9,3,Female,Other,Jewish,1
349,55,28,WA,Republican,0,0,1,0,1,0,1,1,1,3,5,0,Male,White,Christian,0
350,65,9,NC,Republican,0,1,0,1,1,0,0,0,1,1,0,3,Female,Other,Jewish,1
351,55,18,WA,Democrat,0,0,1,0,1,0,0,1,2,1,14,21,Male,White,Christian,1
352,53,25,WA,Democrat,1,1,0,1,1,1,0,1,1,1,13,26,Male,Other,Christian,1
353,66,10,AZ,Democrat,1,0,0,1,1,0,1,1,4,1,11,2,Male,White,Christian,1
354,67,5,NC,Republican,0,1,0,0,0,1,1,0,1,2,9,12,Female,White,Jewish,1
355,56,15,FL,Republican,0,1,0,0,1,1,1,1,3,3,8,14,Female,Other,Christian,1
356,54,25,AZ,Democrat,0,1,0,0,1,1,0,0,2,3,14,28,Male,White,Other,1
357,67,20,NC,Democrat,1,1,1,0,1,0,1,1,3,1,13,0,Female,White,Christian,1
358,51,24,WA,Republican,0,1,1,1,1,0,1,0,3,3,9,27,Female,Black,Jewish,1
359,43,24,OH,Republican,0,1,0,0,0,0,1,0,3,2,0,15,Female,White,Christian,1
360,52,19,WA,Republican,0,0,1,1,0,0,1,1,2,1,19,1,Male,White,Christian,1
362,34,10,WA,Republican,0,1,1,0,1,0,1,1,1,1,1,0,Male,White,Other,0
363,40,17,NY,Democrat,1,1,0,1,1,0,0,1,3,3,1,21,Female,White,Jewish,1
364,55,29,NC,Democrat,1,0,0,1,1,0,1,1,2,1,1,16,Female,Black,Christian,0
365,34,6,WA,Democrat,0,1,0,1,1,0,1,1,1,1,7,16,Female,Other,Christian,1
367,52,28,AZ,Republican,0,1,1,0,1,0,1,1,3,2,12,28,Male,Other,Christian,1
368,36,17,NC,Democrat,0,1,1,0,0,1,1,1,2,3,16,0,Female,White,Jewish,1
369,57,18,TX,Democrat,0,0,1,1,1,0,0,0,3,2,7,15,Female,White,Other,1
371,42,23,TX,Democrat,0,0,0,1,0,1,1,1,3,2,13,8,Female,Black,Jewish,1
372,76,6,MI,Democrat,0,1,1,1,0,1,1,1,1,1,18,1,Female,Black,Christian,0
373,52,26,TX,Republican,0,1,1,0,0,0,0,1,2,2,18,24,Female,White,Jewish,1
374,52,11,TX,Republican,0,1,0,1,0,0,1,1,2,1,4,20,Male,Black,Other,1
375,67,19,NY,Republican,1,0,1,0,1,1,0,0,1,3,17,4,Female,White,Other,1
376,63,16,IL,Democrat,1,1,0,1,1,0,0,1,3,2,9,25,Male,White,Jewish,1
377,38,2,WA,Democrat,0,0,1,0,0,1,1,0,4,1,15,7,Female,Other,Other,0
378,32,7,CA,Republican,0,0,1,0,0,1,0,1,3,1,17,0,Male,Other,Christian,0
379,54,26,WA,Republican,0,0,0,0,1,1,1,1,3,2,8,8,Male,Black,Other,1
381,27,21,NY,Democrat,0,1,1,0,1,0,1,0,4,2,11,16,Male,White,Jewish,1
382,34,6,CA,Republican,0,0,0,0,0,1,0,1,2,1,4,4,Female,Black,Other,0
383,33,15,AZ,Republican,0,0,0,0,1,1,1,1,4,1,14,7,Male,Other,Jewish,1
385,64,13,TX,Republican,1,1,1,1,1,1,0,1,2,3,19,20,Male,Black,Christian,1
386,37,7,NY,Democrat,0,1,1,1,1,1,1,0,1,1,6,28,Male,White,Other,0
388,48,27,NY,Democrat,0,0,1,1,1,1,1,0,3,3,2,18,Female,White,Jewish,1
389,31,25,NC,Democrat,0,0,1,1,0,1,0,1,4,3,6,7,Male,White,Jewish,1
390,37,3,CA,Republican,0,0,1,0,1,0,1,1,3,3,0,28,Male,Black,Christian,1
391,30,15,TX,Republican,0,1,0,0,1,0,0,0,2,1,17,18,Male,Other,Other,1
393,75,26,WA,Democrat,0,0,1,0,0,0,0,1,3,3,5,7,Female,Black,Jewish,1
395,53,26,NY,Democrat,0,0,1,1,0,1,1,1,2,1,6,10,Male,White,Other,0
396,40,27,OH,Republican,0,1,0,0,1,1,1,0,4,1,11,14,Female,Black,Christian,1
397,78,15,AZ,Republican,0,1,1,1,0,1,1,0,3,3,2,1,Male,Black,Christian,1
398,44,28,TX,Democrat,1,1,0,1,1,1,1,1,2,2,1,25,Male,Other,Other,1
399,45,3,OH,Democrat,0,0,1,1,0,1,1,0,4,2,14,29,Female,White,Jewish,1
400,79,28,TX,Republican,1,1,1,0,1,1,0,1,3,1,19,2,Male,White,Jewish,1
401,53,15,MI,Democrat,0,1,0,0,0,0,0,1,2,3,3,28,Female,Black,Other,1
403,79,21,AZ,Democrat,0,0,0,1,1,0,0,1,3,3,18,0,Female,Black,Christian,1
404,65,20,TX,Democrat,0,0,0,1,0,1,1,0,2,1,10,3,Female,White,Christian,1
405,40,11,IL,Democrat,0,1,1,0,0,1,1,1,3,2,19,20,Male,Other,Jewish,1
406,33,25,AZ,Democrat,1,1,1,1,0,1,1,0,3,3,4,29,Male,White,Other,1
407,30,4,TX,Republican,1,0,0,1,1,1,1,0,4,2,19,18,Male,Black,Other,1
408,62,19,NY,Democrat,0,1,1,0,1,1,0,0,1,2,11,17,Female,Black,Jewish,1
409,53,22,OH,Democrat,1,0,1,1,0,0,0,1,3,3,15,0,Male,White,Jewish,1
411,48,28,TX,Democrat,1,1,0,0,1,1,0,0,4,2,5,0,Female,Other,Other,1
412,75,10,CA,Democrat,0,1,1,0,1,0,0,1,1,2,11,25,Male,Other,Other,1
413,41,27,CA,Republican,1,0,1,1,1,0,0,0,1,2,6,9,Male,Black,Other,0
414,60,21,CA,Republican,1,0,1,1,1,0,1,1,2,2,9,21,Male,Black,Jewish,0
417,47,1,WA,Republican,0,0,1,1,0,0,0,0,2,1,15,18,Male,White,Christian,0
418,51,27,MI,Democrat,0,1,0,1,1,1,1,1,1,2,11,27,Male,White,Jewish,1
421,50,14,NY,Republican,0,0,0,1,0,0,1,0,4,3,16,25,Female,Other,Christian,1
422,77,13,AZ,Republican,1,1,1,0,1,1,0,0,1,1,19,4,Female,Other,Christian,1
423,78,29,FL,Democrat,0,1,1,1,0,1,1,0,2,1,19,10,Male,White,Jewish,1
424,35,4,CA,Republican,0,1,0,1,1,1,1,1,4,1,13,20,Female,Other,Christian,1
426,46,27,FL,Republican,0,1,1,0,0,0,1,1,3,2,18,25,Male,White,Christian,1
427,43,8,TX,Democrat,0,0,1,1,0,1,1,0,2,3,11,25,Female,Other,Christian,0
428,32,9,NC,Republican,0,0,0,0,0,1,0,1,4,3,10,27,Female,Black,Other,1
429,47,14,AZ,Republican,1,0,1,1,1,0,1,1,1,3,0,13,Female,Other,Jewish,0
431,77,25,MI,Republican,1,0,1,0,0,0,1,0,4,1,7,10,Male,Other,Other,0
432,47,26,TX,Democrat,1,1,1,1,0,1,0,1,1,2,19,12,Male,Other,Jewish,1
433,64,1,FL,Republican,1,1,0,1,1,0,0,1,4,1,3,9,Male,Black,Jewish,1
435,48,16,MI,Republican,0,1,0,0,1,0,0,0,2,3,10,28,Female,White,Jewish,1
437,36,19,IL,Republican,0,0,1,0,0,0,0,1,2,3,3,9,Female,Other,Christian,0
440,30,18,IL,Democrat,0,0,1,1,1,0,1,0,1,1,10,0,Female,Other,Other,1
441,28,26,OH,Democrat,0,1,1,1,0,1,0,0,2,1,11,8,Male,Other,Jewish,1
444,65,27,OH,Republican,0,1,0,0,0,1,0,0,2,2,8,22,Male,Black,Jewish,1
445,63,6,OH,Democrat,0,0,1,0,0,1,0,0,3,1,14,9,Male,Other,Jewish,0
446,62,20,MI,Democrat,1,0,0,1,1,1,1,0,4,1,16,19,Male,Black,Jewish,1
447,42,6,FL,Democrat,1,1,0,1,0,0,1,1,3,1,8,20,Male,White,Jewish,1
448,39,1,OH,Republican,1,1,0,0,0,1,0,0,1,2,12,26,Male,Black,Jewish,1
449,72,6,NY,Democrat,1,1,1,0,0,1,0,1,1,1,1,6,Female,White,Jewish,0
450,57,16,TX,Republican,1,0,0,1,0,0,0,1,4,1,16,22,Female,White,Christian,1
451,66,4,CA,Democrat,0,0,1,0,0,0,0,0,1,1,17,24,Male,White,Other,0
452,54,3,AZ,Republican,1,0,1,0,0,1,0,0,1,2,5,24,Male,Other,Other,0
455,28,24,TX,Democrat,0,1,0,0,1,0,1,0,2,3,4,25,Male,Black,Jewish,1
456,42,24,NC,Republican,1,1,1,1,1,0,1,0,4,2,13,24,Male,White,Other,1
457,69,25,CA,Democrat,0,0,1,1,1,1,0,1,2,2,17,4,Male,White,Christian,1
458,78,22,WA,Democrat,0,0,0,0,0,0,1,0,4,3,3,1,Female,White,Christian,1
460,44,7,IL,Republican,0,1,0,0,0,0,1,1,3,3,14,5,Female,Black,Jewish,1
462,45,1,TX,Democrat,0,0,1,0,1,0,0,0,4,3,1,8,Male,Black,Jewish,1
463,25,22,FL,Republican,0,1,0,0,0,0,1,0,3,3,16,14,Female,White,Other,1
464,58,12,AZ,Democrat,1,0,0,1,1,1,1,1,3,3,16,12,Male,Black,Other,1
465,33,16,AZ,Republican,1,0,1,1,1,0,1,1,2,2,19,14,Female,Black,Jewish,1
468,51,20,TX,Republican,0,0,1,1,1,1,0,1,4,2,18,17,Male,White,Other,1
469,39,19,TX,Republican,0,1,0,0,0,1,1,1,1,1,0,10,Male,Black,Other,1
470,48,19,IL,Democrat,1,1,0,0,1,1,0,1,4,1,5,2,Female,Black,Christian,1
473,68,10,AZ,Republican,0,1,0,0,1,0,1,0,3,1,12,1,Female,Black,Other,1
474,74,15,NC,Democrat,0,1,1,1,1,1,1,0,2,3,19,15,Male,Black,Jewish,1
475,79,29,AZ,Democrat,0,0,1,1,0,1,0,1,3,3,16,18,Male,White,Christian,1
476,34,29,NC,Republican,0,0,1,1,0,0,1,1,3,2,12,15,Male,Other,Other,1
477,54,28,OH,Republican,1,1,1,0,1,0,1,0,1,3,15,11,Male,Black,Christian,1
478,69,13,FL,Democrat,0,0,0,0,1,1,0,0,4,1,12,7,Female,Black,Christian,1
479,65,13,TX,Republican,1,0,0,0,0,0,1,1,1,1,0,26,Male,White,Christian,0
480,49,24,AZ,Republican,1,1,1,0,1,1,0,1,3,3,9,3,Female,Black,Christian,1
481,27,15,OH,Republican,0,0,1,1,0,0,0,1,4,2,17,15,Male,White,Other,1
482,79,17,OH,Democrat,1,1,0,0,0,0,1,1,3,2,16,8,Female,Other,Christian,1
483,46,23,NC,Democrat,1,1,1,0,0,1,1,0,3,3,16,21,Female,White,Other,1
485,70,10,WA,Democrat,1,1,1,0,0,0,1,0,4,2,19,11,Female,White,Jewish,1
486,48,4,NY,Democrat,1,1,1,1,0,1,1,1,1,1,1,16,Female,White,Christian,0
487,51,17,WA,Republican,0,1,0,1,1,0,0,0,2,3,9,21,Male,White,Jewish,1
488,50,14,IL,Democrat,0,0,1,1,0,1,0,0,2,3,19,22,Male,White,Jewish,1
489,40,2,FL,Republican,1,1,1,1,1,0,0,1,2,1,5,27,Female,Other,Other,0
490,62,7,TX,Democrat,0,0,0,1,1,1,0,0,2,1,2,14,Female,White,Other,0
491,65,16,NC,Republican,1,1,0,1,1,1,1,0,1,3,9,3,Female,White,Christian,1
492,77,26,MI,Republican,1,1,1,0,1,0,1,1,2,3,18,7,Female,Black,Jewish,1
493,28,17,WA,Democrat,1,1,0,0,1,1,1,0,1,1,16,27,Female,Black,Jewish,1
494,47,22,OH,Democrat,0,1,0,1,1,0,1,0,4,2,11,25,Female,White,Other,1
497,55,23,FL,Democrat,0,0,0,0,1,1,1,0,4,3,11,6,Male,Black,Jewish,1
498,48,25,WA,Republican,1,1,0,1,1,1,1,1,2,3,19,14,Male,Other,Christian,1
500,77,6,WA,Republican,0,0,1,0,0,0,0,0,3,3,2,16,Male,Other,Other,1
501,34,23,TX,Republican,0,1,0,1,1,1,1,0,4,3,2,27,Female,Other,Other,1
502,32,26,NC,Democrat,1,1,1,0,1,0,0,0,2,1,8,9,Female,Black,Jewish,0
503,27,29,MI,Republican,1,0,1,1,0,1,1,1,2,3,0,15,Female,Black,Jewish,0
504,43,28,MI,Democrat,1,1,0,0,1,0,0,0,3,3,3,15,Male,Black,Other,1
505,28,6,WA,Republican,0,0,1,0,1,1,0,1,2,3,11,25,Male,Black,Other,0
507,69,19,AZ,Democrat,1,0,0,0,0,1,1,1,4,2,17,14,Female,Black,Other,1
508,65,11,WA,Republican,0,0,0,1,0,0,0,1,1,3,15,25,Male,White,Jewish,1
509,45,19,OH,Democrat,1,0,1,1,0,1,1,0,1,2,9,27,Female,Black,Other,0
510,78,14,OH,Republican,1,0,0,0,0,0,0,0,4,2,11,27,Male,White,Other,1
511,76,15,MI,Democrat,1,1,1,1,1,0,0,1,2,3,10,11,Male,Other,Jewish,1
512,69,5,MI,Republican,1,1,0,0,1,0,0,1,3,2,18,6,Female,Black,Christian,1
513,33,23,FL,Republican,0,0,1,1,0,1,1,1,3,3,4,2,Female,Black,Other,1
514,76,12,NC,Republican,0,1,0,1,0,0,0,1,2,2,2,27,Female,Other,Christian,1
515,75,13,TX,Republican,1,1,0,0,1,0,1,1,1,1,18,20,Male,Black,Christian,1
516,72,22,IL,Republican,0,1,0,1,1,0,0,0,4,3,5,23,Male,White,Other,1
517,42,18,TX,Democrat,1,1,1,1,0,1,1,0,4,3,16,22,Male,Other,Other,1
518,43,3,MI,Republican,0,0,1,0,1,1,0,1,1,2,12,1,Female,Black,Christian,0
519,41,12,FL,Republican,1,1,1,1,1,0,1,0,2,1,6,3,Female,Black,Christian,0
520,68,5,IL,Republican,1,1,0,0,1,1,0,1,2,3,18,22,Female,White,Other,1
521,67,13,NC,Democrat,0,1,1,0,1,0,1,0,1,2,18,29,Male,Black,Jewish,1
522,48,23,MI,Democrat,1,1,0,1,0,0,0,0,2,2,11,26,Male,White,Other,1
523,73,29,NC,Democrat,0,1,0,1,1,1,1,1,3,3,10,24,Male,Black,Jewish,1
524,30,13,TX,Republican,0,0,0,0,1,0,1,0,3,2,16,22,Female,Other,Christian,1
525,55,6,NC,Democrat,1,1,0,0,1,0,0,0,4,3,16,7,Female,White,Christian,1
526,51,29,MI,Republican,0,1,1,1,0,0,1,1,2,1,17,9,Female,White,Christian,1
527,71,16,FL,Democrat,0,1,1,0,1,1,1,0,1,1,14,11,Male,Black,Other,1
531,51,21,IL,Republican,1,1,1,0,0,1,1,0,1,2,12,12,Female,White,Other,1
532,59,10,NY,Republican,0,0,1,1,0,1,1,1,2,2,16,0,Female,Other,Jewish,1
533,36,4,AZ,Democrat,1,1,0,0,0,1,0,1,4,3,16,2,Male,White,Other,1
534,53,12,IL,Democrat,1,0,1,1,0,1,1,1,2,1,17,21,Female,Other,Other,1
535,30,6,WA,Republican,1,1,0,0,1,0,1,1,2,3,15,23,Male,Other,Jewish,1
536,79,18,NY,Democrat,1,1,0,0,1,1,0,1,4,1,15,10,Female,Other,Jewish,1
537,61,7,AZ,Democrat,0,0,1,1,0,0,0,0,2,3,3,29,Male,Other,Christian,0
540,77,8,MI,Republican,1,1,0,0,0,1,0,0,3,2,19,27,Female,White,Other,1
541,43,18,IL,Democrat,0,1,0,0,1,1,1,0,1,3,6,15,Male,Black,Christian,1
542,38,24,OH,Democrat,1,1,1,1,0,1,0,1,4,2,7,5,Female,White,Other,1
543,74,28,AZ,Democrat,0,0,1,1,1,1,1,1,3,2,0,19,Male,White,Jewish,1
544,45,13,OH,Republican,1,0,0,1,1,1,0,0,2,1,1,23,Female,Other,Christian,0
545,38,23,OH,Republican,0,1,1,1,0,0,0,1,2,3,12,9,Female,White,Christian,1
546,64,3,CA,Republican,0,1,0,1,1,1,0,0,4,3,1,3,Male,Black,Christian,1
549,75,1,NY,Democrat,0,1,1,0,1,1,1,0,3,2,5,11,Female,Black,Christian,1
550,56,18,TX,Democrat,0,1,0,0,0,1,0,1,2,3,17,2,Female,Black,Other,1
551,50,21,WA,Democrat,1,1,0,1,1,0,1,0,1,1,15,27,Female,Black,Other,1
552,27,16,TX,Democrat,1,1,1,0,0,1,1,1,2,3,16,11,Male,Other,Other,1
553,39,11,NC,Democrat,0,0,1,1,1,0,1,0,2,2,8,22,Male,Other,Christian,0
554,45,29,FL,Democrat,1,1,0,1,0,0,1,0,2,3,7,15,Male,White,Other,1
555,54,25,AZ,Republican,0,0,1,0,0,1,1,0,3,3,7,11,Female,White,Christian,1
556,72,17,FL,Republican,0,1,0,0,0,0,1,0,4,1,1,14,Male,Other,Other,1
557,71,5,NY,Republican,1,1,0,0,1,0,0,0,2,3,8,21,Female,Black,Other,1
558,38,6,AZ,Democrat,0,1,0,1,0,1,1,0,4,1,5,22,Male,Black,Christian,1
559,71,14,NC,Republican,1,0,0,1,0,0,1,0,4,1,18,20,Male,Black,Christian,1
560,63,14,CA,Republican,1,1,0,1,0,1,0,0,3,1,0,20,Female,Other,Jewish,1
561,61,19,IL,Republican,1,0,1,0,1,1,0,0,1,2,18,17,Male,Black,Jewish,1
563,72,18,NC,Democrat,0,1,0,1,1,0,0,0,4,3,12,5,Female,Other,Other,1
564,52,11,CA,Democrat,1,0,0,1,0,1,0,0,4,3,6,16,Female,Black,Jewish,1
565,26,24,TX,Republican,0,1,1,1,0,0,0,1,1,1,12,22,Female,White,Jewish,1
566,46,12,NY,Republican,1,0,0,1,0,1,1,1,2,1,17,2,Female,White,Jewish,1
567,79,19,TX,Republican,1,0,0,1,0,0,0,0,2,1,1,17,Male,Black,Other,0
568,31,21,TX,Republican,0,0,0,1,1,0,1,0,3,2,2,10,Male,Other,Jewish,1
569,68,29,TX,Republican,0,1,1,0,1,1,0,1,2,1,5,22,Female,Other,Christian,0
570,56,28,CA,Democrat,1,1,0,0,0,0,1,0,2,1,12,24,Female,Black,Other,1
571,40,17,TX,Republican,1,0,0,1,1,1,0,0,2,1,19,16,Female,Other,Other,1
572,60,21,NY,Republican,0,1,0,1,1,1,1,0,3,1,8,5,Male,White,Christian,1
573,26,17,OH,Democrat,1,1,0,0,1,1,1,1,3,1,2,23,Female,Black,Jewish,1
574,41,25,MI,Republican,0,1,0,0,1,0,0,0,2,3,14,17,Male,Other,Jewish,1
575,73,2,NC,Democrat,1,0,1,1,1,1,0,1,2,3,3,4,Female,Other,Christian,0
576,27,6,WA,Republican,1,0,1,0,1,0,1,0,4,3,16,15,Male,Other,Jewish,1
577,72,25,AZ,Republican,1,1,1,0,0,0,1,1,1,2,16,28,Female,Black,Jewish,1
578,47,19,CA,Republican,1,0,1,1,0,0,0,1,3,2,12,28,Male,Black,Jewish,1
580,63,1,NC,Republican,1,1,0,1,1,1,0,1,2,1,7,19,Male,Black,Christian,1
581,52,14,NC,Republican,1,1,1,1,1,0,0,1,2,1,2,9,Female,Black,Jewish,0
582,69,23,WA,Democrat,0,1,0,1,0,0,0,0,2,2,17,27,Female,Other,Christian,1
583,65,2,AZ,Republican,1,1,1,1,0,0,0,1,2,2,0,15,Male,Other,Other,0
586,28,12,NC,Republican,1,1,0,0,1,1,1,1,1,1,16,23,Male,Other,Other,1
587,77,17,FL,Democrat,1,0,0,0,0,0,0,1,4,3,7,17,Male,Black,Other,1
588,31,27,NC,Republican,1,0,1,1,0,0,1,1,4,2,10,15,Male,Black,Christian,1
589,35,23,MI,Republican,0,1,0,1,0,0,0,1,1,3,0,16,Female,Other,Jewish,1
590,64,4,FL,Democrat,0,0,1,0,0,0,0,0,1,2,1,16,Female,White,Jewish,0
591,32,4,OH,Republican,1,1,1,1,1,1,0,0,4,3,14,9,Male,White,Christian,1
592,44,7,CA,Democrat,0,0,0,0,1,1,0,0,3,3,16,4,Male,Black,Other,1
593,67,26,WA,Republican,0,1,0,1,1,1,1,1,1,2,14,24,Female,White,Christian,1
594,63,13,CA,Democrat,0,1,1,0,0,0,0,1,3,2,17,3,Male,Other,Christian,1
595,52,17,WA,Democrat,1,0,1,1,0,0,1,1,4,3,11,14,Female,Other,Other,1
596,35,14,FL,Democrat,1,1,0,1,0,0,1,1,3,3,13,15,Female,Black,Christian,1
597,74,22,NC,Democrat,0,1,0,0,0,1,0,0,4,1,11,22,Female,White,Other,1
599,60,29,OH,Democrat,1,1,1,0,1,0,1,0,3,2,15,18,Female,Other,Christian,1
600,30,16,AZ,Democrat,1,0,0,0,1,0,1,0,3,1,18,9,Male,White,Christian,1
603,64,26,MI,Democrat,0,0,0,0,1,1,1,0,2,1,11,4,Female,White,Other,1
604,28,2,FL,Democrat,1,1,0,0,1,0,1,1,2,2,3,5,Female,White,Other,1
606,62,27,WA,Republican,1,0,1,0,1,0,1,1,4,3,16,12,Male,White,Other,1
607,73,17,AZ,Democrat,1,0,1,0,0,0,1,1,1,1,4,5,Female,Black,Other,0
608,43,24,OH,Republican,1,1,1,0,0,1,0,0,3,3,1,10,Female,White,Jewish,1
609,70,23,MI,Democrat,1,0,1,1,0,0,1,1,4,3,12,28,Female,Black,Other,1
610,57,2,WA,Democrat,1,0,1,1,1,1,0,0,1,3,7,15,Female,Other,Jewish,0
611,62,18,NY,Republican,1,1,0,0,1,1,0,0,2,1,17,10,Female,Black,Christian,1
613,63,20,MI,Democrat,0,1,0,1,1,1,1,1,2,2,5,15,Male,Other,Jewish,1
614,25,12,AZ,Republican,1,0,0,1,0,1,1,1,1,1,8,23,Male,White,Other,0
615,73,4,MI,Republican,1,1,0,1,1,1,0,1,2,3,9,13,Male,White,Other,1
617,45,11,NC,Democrat,1,1,0,0,1,0,1,0,3,3,3,25,Female,White,Other,1
618,73,17,FL,Republican,1,1,1,0,0,1,0,1,4,2,6,16,Male,Black,Other,1
619,31,13,NY,Republican,0,1,1,1,1,1,0,0,1,3,13,25,Female,Other,Jewish,1
620,70,26,NC,Democrat,0,1,1,0,1,1,0,1,1,3,11,23,Female,White,Jewish,1
621,31,25,WA,Democrat,0,0,1,1,0,0,0,0,4,3,14,7,Female,White,Jewish,1
622,46,28,NC,Republican,1,0,1,1,1,0,0,0,3,2,16,22,Female,White,Christian,1
623,37,19,OH,Republican,1,1,0,1,0,1,1,0,3,3,12,3,Male,Other,Christian,1
624,47,8,TX,Democrat,1,0,1,0,0,1,0,0,2,2,0,16,Female,Black,Jewish,0
625,46,5,NC,Republican,1,1,0,1,0,0,1,0,3,2,12,9,Female,Black,Jewish,1
626,50,10,MI,Democrat,1,0,0,0,1,0,0,1,4,2,15,1,Male,Other,Christian,1
627,42,15,NC,Republican,0,1,0,0,1,1,1,1,1,2,12,11,Female,Black,Jewish,1
629,31,25,WA,Republican,0,0,1,1,1,1,1,1,2,2,17,25,Female,Other,Christian,1
630,26,9,IL,Democrat,1,1,0,1,0,0,1,0,1,3,15,18,Male,White,Jewish,1
631,77,16,WA,Democrat,0,0,0,0,1,0,0,0,2,2,19,20,Female,Black,Jewish,1
632,43,16,CA,Republican,0,1,0,1,1,0,0,1,2,3,11,18,Female,Other,Christian,1
634,49,3,MI,Democrat,0,0,1,1,0,1,0,1,1,2,0,28,Male,White,Other,0
635,57,3,MI,Republican,1,0,0,0,0,0,0,1,2,1,12,7,Male,White,Christian,0
636,72,10,NY,Democrat,0,0,0,0,0,1,0,0,2,2,18,5,Female,White,Christian,1
637,63,12,NC,Democrat,0,1,1,0,0,1,0,1,2,2,12,18,Female,White,Other,1
639,44,15,OH,Democrat,0,0,1,1,1,1,1,1,2,3,0,13,Female,White,Other,0
640,68,27,AZ,Democrat,0,0,1,0,1,1,1,1,3,3,13,2,Male,White,Jewish,1
641,29,26,CA,Republican,0,0,1,1,0,0,1,0,3,3,0,17,Female,White,Other,1
642,73,19,IL,Republican,0,0,1,0,1,0,0,0,1,2,4,27,Female,Black,Other,0
644,37,11,CA,Republican,1,1,1,1,1,1,1,0,1,3,10,24,Male,Other,Other,1
646,78,12,IL,Republican,1,1,0,0,1,0,1,0,3,1,11,15,Female,Other,Other,1
647,40,18,FL,Republican,1,1,0,0,0,1,1,0,2,3,7,16,Female,Other,Other,1
648,69,25,IL,Republican,1,0,1,0,0,0,0,0,3,1,9,2,Female,White,Jewish,0
649,74,2,WA,Republican,1,1,1,1,0,1,0,0,4,2,17,22,Female,Black,Jewish,1
651,65,24,NY,Democrat,0,1,1,0,1,0,0,0,2,3,10,12,Male,White,Other,1
652,52,26,NY,Democrat,1,0,1,0,1,1,1,0,1,3,4,11,Female,White,Christian,0
653,25,16,IL,Republican,0,1,0,1,1,0,1,0,1,1,12,18,Male,Black,Jewish,1
654,26,4,MI,Democrat,0,0,0,0,1,0,1,1,3,3,12,21,Male,Black,Christian,1
655,32,4,OH,Republican,0,0,0,1,1,1,1,1,4,1,3,27,Female,Black,Christian,0
656,37,21,AZ,Democrat,1,0,1,1,0,1,1,1,3,2,16,1,Male,White,Other,1
657,62,17,MI,Democrat,1,1,1,0,0,1,1,1,4,1,13,0,Male,Black,Other,1
658,43,20,FL,Democrat,0,0,1,0,1,0,0,0,2,2,8,9,Female,White,Other,0
659,75,22,IL,Republican,0,1,0,0,0,1,1,0,1,3,1,17,Male,Other,Christian,1
660,26,28,AZ,Republican,0,0,1,1,0,0,0,1,1,1,3,26,Female,White,Christian,0
661,55,10,MI,Democrat,0,0,1,1,1,0,1,0,2,1,10,11,Female,Other,Jewish,1
663,29,27,MI,Republican,1,0,0,1,0,0,1,1,3,3,4,3,Male,Black,Jewish,1
664,47,19,AZ,Republican,1,1,0,0,1,1,0,1,2,3,15,20,Male,White,Jewish,1
