,Credit Score,Debt-to-Income Ratio,Monthly Income,Monthly Expenses,Credit History Length,Number of Open Credit Accounts,Payment History (Late Payments),Number of Credit Inquiries,Age,Gender,Marital Status,Zip Code,Education Level,Occupation Type,label
255,532,0.5133837327378998,36478,15716,4,6,0,3,47,Female,Married,89912,High School Diploma,White-collar,1
256,827,0.6073758430132196,14931,1407,6,9,2,4,46,Male,Single,75659,Bachelor's Degree,Blue-collar,1
257,695,0.3287718789508528,43128,17147,3,3,1,3,35,Female,Married,42604,Master's Degree,White-collar,1
258,845,0.09889180515768192,10513,14303,2,3,0,3,43,Male,Single,33292,High School Diploma,Blue-collar,1
259,809,0.23762163828775396,25871,7108,1,2,0,4,30,Female,Married,55044,Bachelor's Degree,White-collar,1
260,628,0.6310557254922882,31574,10003,7,2,1,2,54,Male,Single,85446,Master's Degree,Blue-collar,1
261,735,0.07839511363297635,23654,8129,4,3,2,1,32,Female,Married,71863,High School Diploma,White-collar,1
262,782,0.8719962438186979,12027,17047,4,4,0,3,32,Male,Single,74724,Bachelor's Degree,Blue-collar,1
263,540,0.0628131418467186,12454,1921,10,2,0,4,53,Female,Married,48653,Master's Degree,White-collar,1
264,831,0.059803744557562766,37847,10436,2,1,2,3,33,Male,Single,32392,High School Diploma,Blue-collar,1
265,573,0.040768092805830936,45638,11395,10,3,0,2,48,Female,Married,56952,Bachelor's Degree,White-collar,1
266,763,0.2153816023898506,15368,8955,5,3,2,4,32,Male,Single,99690,Master's Degree,Blue-collar,1
267,722,0.8023701734170913,34236,5798,7,9,2,2,22,Female,Married,42570,High School Diploma,White-collar,1
268,594,0.8435799023559908,21766,4568,8,8,2,4,27,Male,Single,32576,Bachelor's Degree,Blue-collar,1
269,726,0.075468300289388,35514,1736,8,6,2,2,21,Female,Married,50911,Master's Degree,White-collar,1
270,773,0.3386627140250865,10802,6327,5,1,1,3,21,Male,Single,68624,High School Diploma,Blue-collar,1
271,661,0.400516667854938,38290,12827,9,3,1,4,62,Female,Married,36446,Bachelor's Degree,White-collar,0
272,795,0.6485190514763586,28517,1585,5,3,2,3,16,Male,Single,74296,Master's Degree,Blue-collar,1
273,663,0.014813494094236268,18446,16616,2,6,0,4,36,Female,Married,67780,High School Diploma,White-collar,1
274,754,0.41604760619612235,40863,15744,3,7,2,2,42,Male,Single,75306,Bachelor's Degree,Blue-collar,1
275,638,0.5066531987622338,18294,11049,8,4,0,3,32,Female,Married,54600,Master's Degree,White-collar,1
276,641,0.41082299991970117,46614,11856,6,8,2,4,39,Male,Single,91353,High School Diploma,Blue-collar,1
277,540,0.8920814374292801,22777,12623,2,8,2,1,34,Female,Married,57789,Bachelor's Degree,White-collar,0
278,758,0.29816038213259954,15697,14576,10,9,1,1,37,Male,Single,85393,Master's Degree,Blue-collar,1
279,560,0.8466412518688269,39782,3223,3,2,1,2,40,Female,Married,90307,High School Diploma,White-collar,1
280,683,0.5416409900494346,45378,3219,3,4,1,1,32,Male,Single,73387,Bachelor's Degree,Blue-collar,1
281,764,0.8861762654555392,35318,19473,10,8,0,1,24,Female,Married,94904,Master's Degree,White-collar,1
282,804,0.7151381965561363,43031,9781,10,1,1,2,33,Male,Single,34236,High School Diploma,Blue-collar,1
283,545,0.5797931373612624,10968,1794,10,3,2,4,31,Female,Married,38011,Bachelor's Degree,White-collar,1
284,696,0.3972394462448503,33022,14972,3,3,0,1,35,Male,Single,67404,Master's Degree,Blue-collar,1
285,643,0.45959105008559065,42402,7511,5,3,2,1,18,Female,Married,55461,High School Diploma,White-collar,1
286,634,0.9433366338695707,28498,6804,1,2,0,1,47,Male,Single,67441,Bachelor's Degree,Blue-collar,1
287,849,0.40429925625971164,18615,16386,1,3,1,1,55,Female,Married,64009,Master's Degree,White-collar,0
288,661,0.454135976403808,18397,9313,10,9,0,3,19,Male,Single,97981,High School Diploma,Blue-collar,1
289,508,0.3025333557273495,10853,17146,4,6,0,4,31,Female,Married,62848,Bachelor's Degree,White-collar,1
290,692,0.11437059670035987,21910,6305,1,7,1,2,35,Male,Single,69478,Master's Degree,Blue-collar,1
291,516,0.8966952757354165,19357,19721,2,8,0,3,21,Female,Married,69741,High School Diploma,White-collar,1
292,682,0.9351881305602461,28681,4243,8,3,1,3,51,Male,Single,37174,Bachelor's Degree,Blue-collar,1
293,527,0.3257336025505879,35328,7886,7,7,2,2,30,Female,Married,21065,Master's Degree,White-collar,0
294,742,0.010821124796293713,23463,15040,10,3,0,1,46,Male,Single,68937,High School Diploma,Blue-collar,1
295,570,0.18208465598009005,34335,11938,7,8,0,1,54,Female,Married,46654,Bachelor's Degree,White-collar,1
296,738,0.4568457855922031,48988,6606,3,7,2,3,50,Male,Single,10019,Master's Degree,Blue-collar,1
297,554,0.9045983266543975,16188,8081,9,7,1,2,41,Female,Married,78381,High School Diploma,White-collar,1
298,792,0.5744948927112087,44764,12108,8,6,0,1,53,Male,Single,45314,Bachelor's Degree,Blue-collar,1
299,578,0.6680971686232888,47449,12919,5,7,0,1,61,Female,Married,71028,Master's Degree,White-collar,1
300,668,0.7967285456367348,28698,13359,2,5,0,2,62,Male,Single,54978,High School Diploma,Blue-collar,1
301,772,0.632576076443797,26923,7698,1,8,0,4,35,Female,Married,53411,Bachelor's Degree,White-collar,1
302,826,0.5625973136852375,40987,7605,9,7,2,1,57,Male,Single,42329,Master's Degree,Blue-collar,1
303,789,0.08617774413585089,10904,12913,3,1,1,3,49,Female,Married,93040,High School Diploma,White-collar,1
304,839,0.8585064318509741,20149,10688,7,5,0,3,33,Male,Single,91608,Bachelor's Degree,Blue-collar,1
305,815,0.12999418487902603,39512,9498,5,8,2,4,61,Female,Married,75831,Master's Degree,White-collar,1
306,502,0.1657417245210544,47237,17226,4,2,0,4,18,Male,Single,99095,High School Diploma,Blue-collar,1
307,575,0.5899892517622006,34187,9394,3,4,1,2,19,Female,Married,53802,Bachelor's Degree,White-collar,0
308,525,0.8360395118871481,47451,15785,10,8,1,3,21,Male,Single,84385,Master's Degree,Blue-collar,1
309,682,0.1850113201026754,33061,8573,9,1,1,3,30,Female,Married,83107,High School Diploma,White-collar,1
310,844,0.5082539820475435,43810,14575,10,6,1,2,61,Male,Single,92110,Bachelor's Degree,Blue-collar,1
311,649,0.6358437726828087,13590,4084,2,9,2,3,32,Female,Married,51844,Master's Degree,White-collar,0
312,802,0.39788201902268605,32739,11912,5,3,0,2,21,Male,Single,70288,High School Diploma,Blue-collar,1
313,752,0.037339011619774154,45690,9146,1,5,1,2,37,Female,Married,52375,Bachelor's Degree,White-collar,1
314,609,0.23070643333526653,34031,5550,1,4,0,1,21,Male,Single,38487,Master's Degree,Blue-collar,1
315,612,0.12511858342769588,32278,14646,7,5,0,4,52,Female,Married,59038,High School Diploma,White-collar,1
316,567,0.12090697985273469,49970,12973,2,4,2,3,47,Male,Single,87058,Bachelor's Degree,Blue-collar,1
317,598,0.14608883725434796,13545,8067,5,3,0,3,28,Female,Married,51060,Master's Degree,White-collar,1
318,758,0.4505820546159367,47863,11338,7,2,2,3,47,Male,Single,73256,High School Diploma,Blue-collar,1
319,708,0.5480630902900219,25280,5751,8,1,0,2,61,Female,Married,28941,Bachelor's Degree,White-collar,1
320,763,0.6786634603260939,48171,19569,10,4,1,2,33,Male,Single,65849,Master's Degree,Blue-collar,1
321,654,0.5780183119958922,41614,19966,8,8,2,1,21,Female,Married,62301,High School Diploma,White-collar,1
322,774,0.5113592541541584,30714,7338,8,6,0,1,45,Male,Single,75335,Bachelor's Degree,Blue-collar,1
323,791,0.1458758679968113,41179,6076,3,6,0,3,41,Female,Married,75251,Master's Degree,White-collar,1
324,571,0.10239754922970623,45971,3992,10,3,0,1,61,Male,Single,30468,High School Diploma,Blue-collar,1
325,694,0.1767371060811047,42417,3800,6,8,1,4,17,Female,Married,97799,Bachelor's Degree,White-collar,1
326,570,0.7583935565765701,26551,12490,6,6,0,3,42,Male,Single,60086,Master's Degree,Blue-collar,1
327,799,0.19739753747498412,16409,7231,2,4,0,1,54,Female,Married,64917,High School Diploma,White-collar,1
328,849,0.4390148975133109,26149,4419,10,2,1,4,43,Male,Single,90968,Bachelor's Degree,Blue-collar,1
329,779,0.33720015545244364,39998,13317,6,9,1,1,56,Female,Married,67724,Master's Degree,White-collar,1
330,829,0.03300367219675826,11719,16518,4,9,0,4,46,Male,Single,56618,High School Diploma,Blue-collar,1
331,606,0.2326027062238537,17864,16995,10,1,2,1,58,Female,Married,69152,Bachelor's Degree,White-collar,1
332,552,0.08597752604736719,15311,11291,3,3,1,1,37,Male,Single,26300,Master's Degree,Blue-collar,1
333,822,0.27031321308938683,19993,16609,5,2,2,4,43,Female,Married,58804,High School Diploma,White-collar,1
334,608,0.12602926288153238,12976,15291,3,9,0,1,39,Male,Single,79727,Bachelor's Degree,Blue-collar,1
335,711,0.5549017239889273,23035,8201,4,8,1,1,52,Female,Married,31634,Master's Degree,White-collar,0
336,617,0.9860034811055298,23721,19148,9,9,1,1,38,Male,Single,41529,High School Diploma,Blue-collar,1
337,825,0.4066492199841272,40049,16174,6,3,2,3,34,Female,Married,12904,Bachelor's Degree,White-collar,1
338,655,0.03369901969945244,23518,8426,5,8,2,3,36,Male,Single,34071,Master's Degree,Blue-collar,1
339,729,0.6206936411927828,43512,3403,9,1,0,1,33,Female,Married,56718,High School Diploma,White-collar,1
340,802,0.8719848880402084,26776,11269,9,9,0,4,53,Male,Single,25086,Bachelor's Degree,Blue-collar,1
341,789,0.5789886909764468,13442,10657,8,7,2,3,20,Female,Married,20211,Master's Degree,White-collar,0
342,849,0.7987540480343434,45399,16961,7,1,0,2,29,Male,Single,50975,High School Diploma,Blue-collar,1
343,754,0.297137751016735,48447,10720,3,4,1,4,55,Female,Married,27713,Bachelor's Degree,White-collar,1
344,698,0.8398857333054242,19466,7347,2,7,0,2,52,Male,Single,81850,Master's Degree,Blue-collar,1
345,642,0.5079151004703775,10530,13118,9,7,0,4,37,Female,Married,51686,High School Diploma,White-collar,1
346,542,0.8928973294766419,11696,16851,8,9,1,2,36,Male,Single,98591,Bachelor's Degree,Blue-collar,1
347,659,0.5868286029964879,13276,13571,4,3,2,1,40,Female,Married,68022,Master's Degree,White-collar,0
348,645,0.14757870070220225,48294,8661,3,4,2,3,25,Male,Single,52986,High School Diploma,Blue-collar,1
349,535,0.8310758724435051,16126,11610,6,5,0,4,61,Female,Married,79584,Bachelor's Degree,White-collar,1
350,787,0.9122120681283028,34845,11409,1,1,1,1,47,Male,Single,37530,Master's Degree,Blue-collar,1
351,556,0.184388231022511,45471,17046,5,7,0,4,39,Female,Married,88550,High School Diploma,White-collar,1
352,785,0.18556132185564356,19070,9606,4,1,2,3,56,Male,Single,59957,Bachelor's Degree,Blue-collar,1
353,804,0.5429637003310763,17217,12044,2,8,0,2,40,Female,Married,51467,Master's Degree,White-collar,1
354,838,0.11861523595289203,21770,1895,3,2,2,4,26,Male,Single,79179,High School Diploma,Blue-collar,1
355,585,0.49212362815359767,22590,7845,5,3,2,1,21,Female,Married,58260,Bachelor's Degree,White-collar,0
356,546,0.6297132048502265,26614,17343,5,2,1,2,18,Male,Single,77866,Master's Degree,Blue-collar,1
357,755,0.7203538254994165,29338,10434,3,1,0,1,52,Female,Married,48265,High School Diploma,White-collar,1
358,529,0.03510996566939861,15833,8047,5,3,0,1,24,Male,Single,45402,Bachelor's Degree,Blue-collar,1
359,504,0.2510285919395133,33303,16443,5,6,2,1,54,Female,Married,99595,Master's Degree,White-collar,0
360,544,0.6917691414244576,37673,5745,7,5,0,4,36,Male,Single,35939,High School Diploma,Blue-collar,1
361,695,0.9930259043603027,35863,12007,3,6,1,3,19,Female,Married,35372,Bachelor's Degree,White-collar,0
362,801,0.5591293239329189,28383,5150,8,1,0,3,46,Male,Single,95747,Master's Degree,Blue-collar,1
363,760,0.47495806424518305,39372,10519,7,6,0,4,57,Female,Married,60972,High School Diploma,White-collar,1
364,657,0.43153025071706397,49872,15724,9,5,2,4,22,Male,Single,44787,Bachelor's Degree,Blue-collar,1
365,568,0.5234882909995985,12530,6703,8,6,2,3,33,Female,Married,59346,Master's Degree,White-collar,0
366,762,0.9569185880122687,40030,16721,9,4,0,4,60,Male,Single,76096,High School Diploma,Blue-collar,1
367,518,0.728775248996131,48040,6991,10,7,1,1,35,Female,Married,97324,Bachelor's Degree,White-collar,1
368,742,0.9467385984076566,21907,6516,4,1,0,2,58,Male,Single,88060,Master's Degree,Blue-collar,1
369,594,0.47022097597720214,23405,10394,4,8,0,4,53,Female,Married,82426,High School Diploma,White-collar,1
370,507,0.4016282272486036,43441,4624,9,8,1,4,19,Male,Single,18178,Bachelor's Degree,Blue-collar,1
371,625,0.7193722636056396,11465,15295,1,1,2,1,62,Female,Married,57306,Master's Degree,White-collar,0
372,587,0.540109016196346,24138,9224,7,4,0,3,58,Male,Single,63859,High School Diploma,Blue-collar,1
373,512,0.04765450936551607,27683,4594,6,9,0,1,23,Female,Married,81021,Bachelor's Degree,White-collar,1
374,668,0.7452004590526476,36234,14144,10,1,2,2,41,Male,Single,37529,Master's Degree,Blue-collar,1
375,775,0.010439284232640955,22002,14825,10,6,0,4,58,Female,Married,81362,High School Diploma,White-collar,1
376,737,0.544236814224162,46180,10422,4,2,2,2,55,Male,Single,30063,Bachelor's Degree,Blue-collar,1
377,621,0.09015390660784595,24991,13237,6,6,2,1,31,Female,Married,69158,Master's Degree,White-collar,0
378,750,0.46286900838474665,46639,6963,2,8,0,3,42,Male,Single,93174,High School Diploma,Blue-collar,1
379,791,0.3805339848793503,19827,14861,7,8,1,3,36,Female,Married,50217,Bachelor's Degree,White-collar,1
380,761,0.2474764563867463,10235,6164,7,9,2,3,64,Male,Single,84325,Master's Degree,Blue-collar,1
381,784,0.19420536734059746,14691,12663,3,4,1,4,43,Female,Married,13051,High School Diploma,White-collar,1
382,725,0.13769032158572725,31054,19580,8,7,2,4,41,Male,Single,27280,Bachelor's Degree,Blue-collar,1
383,779,0.37065179554917793,35389,7169,5,5,1,1,41,Female,Married,46737,Master's Degree,White-collar,1
384,701,0.7641377705459634,20218,11135,5,6,0,2,36,Male,Single,22540,High School Diploma,Blue-collar,1
385,615,0.41937647993902405,43699,13314,9,4,0,2,29,Female,Married,68874,Bachelor's Degree,White-collar,1
386,511,0.5809931846720445,24580,10203,1,4,2,4,47,Male,Single,38912,Master's Degree,Blue-collar,1
387,830,0.16487143013782568,20725,7866,2,2,2,4,24,Female,Married,41369,High School Diploma,White-collar,1
388,502,0.41853888922876614,33120,4187,8,7,0,4,23,Male,Single,39201,Bachelor's Degree,Blue-collar,1
389,678,0.6487680840618476,44624,15903,9,5,2,4,53,Female,Married,23968,Master's Degree,White-collar,1
390,660,0.23988678502659078,30362,8349,10,6,1,3,40,Male,Single,53526,High School Diploma,Blue-collar,1
391,756,0.06924946551490507,41823,2542,2,6,1,4,48,Female,Married,48474,Bachelor's Degree,White-collar,1
392,652,0.7388321782969257,43633,1289,9,4,0,2,19,Male,Single,97419,Master's Degree,Blue-collar,1
393,705,0.8602896108832896,21392,17556,1,9,1,4,26,Female,Married,59828,High School Diploma,White-collar,1
394,758,0.5235405945041635,30761,18983,9,1,2,1,29,Male,Single,55145,Bachelor's Degree,Blue-collar,1
395,746,0.27337931781382574,13344,7113,1,7,0,2,54,Female,Married,79135,Master's Degree,White-collar,1
396,558,0.047629842753705076,32054,6952,3,7,0,3,37,Male,Single,46145,High School Diploma,Blue-collar,1
397,580,0.8323457631196315,20157,14411,3,4,1,3,58,Female,Married,12766,Bachelor's Degree,White-collar,0
398,501,0.41024652255293803,28674,13659,7,3,0,3,22,Male,Single,23769,Master's Degree,Blue-collar,1
399,505,0.663496360496138,22401,10512,7,1,0,1,39,Female,Married,31479,High School Diploma,White-collar,1
400,812,0.9182995946734472,31173,11324,8,6,2,3,54,Male,Single,40900,Bachelor's Degree,Blue-collar,1
401,575,0.06319706189756724,21468,4276,3,3,1,4,26,Female,Married,69825,Master's Degree,White-collar,0
402,574,0.6300669308605386,36357,7260,4,4,2,1,63,Male,Single,71047,High School Diploma,Blue-collar,1
403,583,0.4650426199870734,17533,4618,4,6,0,1,35,Female,Married,11818,Bachelor's Degree,White-collar,1
404,507,0.04048510019339446,47018,7069,7,9,1,1,64,Male,Single,82487,Master's Degree,Blue-collar,1
405,534,0.9831347037609641,33955,3444,7,8,0,2,59,Female,Married,87458,High School Diploma,White-collar,1
406,723,0.9721561041348693,19697,12303,3,4,1,3,57,Male,Single,42347,Bachelor's Degree,Blue-collar,1
407,783,0.6311414747140912,15647,15467,4,3,1,3,51,Female,Married,13069,Master's Degree,White-collar,0
408,767,0.6258869591584928,19700,1288,9,5,0,2,23,Male,Single,65772,High School Diploma,Blue-collar,1
409,693,0.4207946693737409,20027,13298,9,3,0,1,62,Female,Married,20397,Bachelor's Degree,White-collar,1
410,741,0.8513744059436562,39102,2845,4,2,0,4,57,Male,Single,26899,Master's Degree,Blue-collar,1
411,663,0.6447716122795415,44016,9091,10,6,2,3,29,Female,Married,45128,High School Diploma,White-collar,1
412,529,0.024455945056539474,47062,15484,6,1,2,2,25,Male,Single,42060,Bachelor's Degree,Blue-collar,1
413,818,0.5575933998166782,45108,11272,8,1,2,4,33,Female,Married,85590,Master's Degree,White-collar,1
414,738,0.6308330958825777,12785,17346,1,9,1,2,18,Male,Single,65857,High School Diploma,Blue-collar,1
415,783,0.39347908775608675,48310,14101,6,6,0,2,64,Female,Married,88499,Bachelor's Degree,White-collar,1
416,560,0.7535568876369736,11746,2912,2,7,0,4,29,Male,Single,43417,Master's Degree,Blue-collar,1
417,597,0.85429092023011,49997,11371,7,3,0,1,26,Female,Married,20015,High School Diploma,White-collar,1
418,679,0.9953212213744037,28591,6615,5,7,0,2,34,Male,Single,58990,Bachelor's Degree,Blue-collar,1
419,740,0.9301371494651696,27455,4709,7,8,1,1,56,Female,Married,45176,Master's Degree,White-collar,0
420,534,0.4161536541544525,11237,1280,2,9,1,1,33,Male,Single,46497,High School Diploma,Blue-collar,1
421,599,0.7779861125547054,15892,15105,9,9,0,4,56,Female,Married,22013,Bachelor's Degree,White-collar,1
422,553,0.9342054338823473,28695,1834,8,1,0,3,29,Male,Single,41902,Master's Degree,Blue-collar,1
423,577,0.9236905319988391,42234,11207,6,9,0,2,25,Female,Married,42280,High School Diploma,White-collar,1
424,548,0.4169068355159008,17441,10648,4,5,1,4,57,Male,Single,70923,Bachelor's Degree,Blue-collar,1
425,803,0.4887348264068463,34979,4219,3,2,2,2,23,Female,Married,16688,Master's Degree,White-collar,0
426,572,0.7994963044075934,10260,4050,1,4,2,3,63,Male,Single,97613,High School Diploma,Blue-collar,1
427,809,0.006175604281669966,27764,1862,4,5,1,2,27,Female,Married,85349,Bachelor's Degree,White-collar,1
428,673,0.5748671587546679,34680,2989,7,9,0,3,35,Male,Single,37717,Master's Degree,Blue-collar,1
429,519,0.6456573721619592,43656,10014,8,5,2,4,24,Female,Married,42655,High School Diploma,White-collar,1
430,584,0.014945681965832347,23147,8259,1,7,1,2,31,Male,Single,68833,Bachelor's Degree,Blue-collar,1
431,576,0.8840464183370784,10190,8408,6,2,0,3,28,Female,Married,10909,Master's Degree,White-collar,1
432,655,0.5094760882202756,24375,11093,10,1,0,4,62,Male,Single,72313,High School Diploma,Blue-collar,1
433,831,0.9750596809060675,33185,17344,9,9,1,2,17,Female,Married,29753,Bachelor's Degree,White-collar,1
434,727,0.15579001989840746,14196,12221,6,1,2,1,41,Male,Single,13708,Master's Degree,Blue-collar,1
435,693,0.9213176555074237,43630,8721,3,7,2,3,51,Female,Married,58866,High School Diploma,White-collar,1
436,847,0.32222354321361246,44379,13900,2,1,1,1,45,Male,Single,24578,Bachelor's Degree,Blue-collar,1
437,536,0.6483131563060189,28960,1036,3,8,0,1,32,Female,Married,58439,Master's Degree,White-collar,1
438,730,0.7493260708553028,35080,4262,2,5,2,4,35,Male,Single,78304,High School Diploma,Blue-collar,1
439,724,0.0507363530918028,25682,9901,7,9,1,2,37,Female,Married,63409,Bachelor's Degree,White-collar,1
440,792,0.4295397194257735,25522,2464,6,1,2,3,39,Male,Single,62640,Master's Degree,Blue-collar,1
441,690,0.3200578521297588,27567,3566,5,9,1,1,48,Female,Married,46235,High School Diploma,White-collar,1
442,589,0.005684779525312322,28797,10359,7,6,1,4,20,Male,Single,80966,Bachelor's Degree,Blue-collar,1
443,515,0.4009653502913182,43049,8791,5,1,2,1,36,Female,Married,25412,Master's Degree,White-collar,1
444,707,0.21728767378674685,10264,11907,10,7,0,1,63,Male,Single,31287,High School Diploma,Blue-collar,1
445,540,0.4211918177009444,43789,6853,8,9,2,3,59,Female,Married,15258,Bachelor's Degree,White-collar,1
446,642,0.09808561361975354,19745,13822,4,8,1,1,44,Male,Single,42283,Master's Degree,Blue-collar,1
447,847,0.11110046582727662,20319,10338,4,5,1,4,63,Female,Married,12663,High School Diploma,White-collar,1
448,599,0.380756885789044,44804,19599,8,9,2,3,36,Male,Single,32447,Bachelor's Degree,Blue-collar,1
449,641,0.7218114337775654,42833,12860,8,9,2,3,40,Female,Married,69222,Master's Degree,White-collar,1
450,770,0.5333635884594345,25496,19036,3,6,0,3,37,Male,Single,54262,High School Diploma,Blue-collar,1
451,642,0.9600476359039042,18969,1000,10,6,1,3,18,Female,Married,34208,Bachelor's Degree,White-collar,1
452,781,0.7918760216515162,43488,3356,10,8,1,4,57,Male,Single,75295,Master's Degree,Blue-collar,1
453,659,0.6269265289615444,24713,7652,9,4,2,2,33,Female,Married,12852,High School Diploma,White-collar,1
454,685,0.05495702565381433,49178,15143,9,5,1,2,33,Male,Single,90227,Bachelor's Degree,Blue-collar,1
455,820,0.3755847182476477,45221,14621,7,9,2,3,53,Female,Married,32013,Master's Degree,White-collar,1
456,749,0.3355997984318776,15436,14461,5,9,0,1,39,Male,Single,60662,High School Diploma,Blue-collar,1
457,672,0.2729010710336316,23331,6685,4,2,0,2,63,Female,Married,62295,Bachelor's Degree,White-collar,1
458,619,0.28362136901116164,49022,8677,3,6,1,3,64,Male,Single,31009,Master's Degree,Blue-collar,1
459,636,0.3718162831838616,16672,3737,5,4,1,1,25,Female,Married,18232,High School Diploma,White-collar,1
460,844,0.7346192128721235,34830,12948,5,7,0,2,34,Male,Single,14890,Bachelor's Degree,Blue-collar,1
461,544,0.7369725083561359,16187,6165,10,2,1,4,62,Female,Married,61777,Master's Degree,White-collar,1
462,749,0.24352962873145412,49308,1364,8,7,0,2,53,Male,Single,10023,High School Diploma,Blue-collar,1
463,692,0.1230601293561161,45263,17682,1,7,1,3,35,Female,Married,41062,Bachelor's Degree,White-collar,1
464,629,0.8477449296519645,40579,7372,1,1,0,1,52,Male,Single,22744,Master's Degree,Blue-collar,1
465,810,0.4977947595239606,15167,3682,5,4,2,1,54,Female,Married,47699,High School Diploma,White-collar,1
466,594,0.8902030401494841,19397,7808,5,5,0,3,59,Male,Single,31270,Bachelor's Degree,Blue-collar,1
467,585,0.04673379100461228,18172,17208,9,6,1,1,29,Female,Married,53727,Master's Degree,White-collar,0
468,655,0.6711075619460297,31300,12195,7,2,2,2,32,Male,Single,29396,High School Diploma,Blue-collar,1
469,548,0.2676726216987597,16359,8873,9,9,2,1,29,Female,Married,94469,Bachelor's Degree,White-collar,0
470,643,0.5737488833717588,47882,6894,2,5,1,2,40,Male,Single,73356,Master's Degree,Blue-collar,1
471,757,0.5419307155977879,44539,19276,7,8,2,4,28,Female,Married,90292,High School Diploma,White-collar,1
472,668,0.14701823354418786,44797,6209,2,3,2,3,51,Male,Single,34352,Bachelor's Degree,Blue-collar,1
473,602,0.1949664761664076,41858,14702,9,1,1,2,27,Female,Married,15582,Master's Degree,White-collar,1
474,505,0.36007171860570675,17649,18958,9,4,2,1,28,Male,Single,35299,High School Diploma,Blue-collar,1
475,528,0.030714604852054683,12349,13828,3,8,2,3,36,Female,Married,72329,Bachelor's Degree,White-collar,0
476,608,0.33701804842841143,15831,2900,1,1,1,1,42,Male,Single,63562,Master's Degree,Blue-collar,1
477,757,0.9650041072044178,20149,4671,2,9,2,1,22,Female,Married,69573,High School Diploma,White-collar,1
478,658,0.9464559577473672,47328,8768,3,2,0,1,56,Male,Single,35295,Bachelor's Degree,Blue-collar,1
479,800,0.17316747806351684,46431,19424,3,5,0,2,33,Female,Married,53257,Master's Degree,White-collar,1
480,565,0.8804122008524804,21915,2093,8,4,0,4,60,Male,Single,38804,High School Diploma,Blue-collar,1
481,505,0.6297422644254165,18342,10014,8,3,2,4,46,Female,Married,60507,Bachelor's Degree,White-collar,0
482,585,0.7736514616515665,46783,5669,10,5,2,1,44,Male,Single,71850,Master's Degree,Blue-collar,1
483,783,0.6441373525258489,25808,6089,4,9,1,1,22,Female,Married,22070,High School Diploma,White-collar,1
484,695,0.4411622793584322,40189,19842,6,9,0,4,39,Male,Single,47665,Bachelor's Degree,Blue-collar,1
485,730,0.686548846262639,21972,1645,4,4,2,2,25,Female,Married,25517,Master's Degree,White-collar,0
486,721,0.32339469812190724,23105,16450,10,4,2,4,16,Male,Single,66399,High School Diploma,Blue-collar,1
487,796,0.5552338770676918,15906,10875,5,3,1,2,36,Female,Married,98548,Bachelor's Degree,White-collar,0
488,784,0.6480758261096572,43883,19275,8,9,0,1,51,Male,Single,24840,Master's Degree,Blue-collar,1
489,667,0.21302053300698243,35554,14011,9,1,0,3,64,Female,Married,26565,High School Diploma,White-collar,1
490,722,0.11782339305185563,38636,5432,6,7,0,4,54,Male,Single,44551,Bachelor's Degree,Blue-collar,1
491,680,0.2850058544197217,12010,1579,9,7,0,4,52,Female,Married,75824,Master's Degree,White-collar,1
492,794,0.43380323267104126,42066,12700,3,5,1,3,58,Male,Single,85327,High School Diploma,Blue-collar,1
493,691,0.733522410805751,13505,5733,10,9,2,3,57,Female,Married,91876,Bachelor's Degree,White-collar,1
494,546,0.021257934527363687,33203,11408,3,7,1,2,55,Male,Single,64157,Master's Degree,Blue-collar,1
495,575,0.5266035213314357,27724,6591,7,3,1,3,63,Female,Married,29324,High School Diploma,White-collar,1
496,535,0.5097544780537494,42054,7759,8,2,1,4,35,Male,Single,86209,Bachelor's Degree,Blue-collar,1
497,674,0.7987494755534919,49276,18894,8,4,2,2,51,Female,Married,86818,Master's Degree,White-collar,1
498,806,0.1289940561860068,15451,12347,4,5,0,1,17,Male,Single,96947,High School Diploma,Blue-collar,1
499,676,0.8308334168294185,40397,11005,8,6,2,2,46,Female,Married,31669,Bachelor's Degree,White-collar,1
500,577,0.7591325191468951,42155,11184,1,1,2,3,54,Male,Single,56611,Master's Degree,Blue-collar,1
501,616,0.2746777606365196,33930,8181,5,2,1,2,28,Female,Married,54917,High School Diploma,White-collar,1
502,728,0.0940214510125752,43875,6072,3,8,0,1,21,Male,Single,51241,Bachelor's Degree,Blue-collar,1
503,647,0.7760789565461758,22939,3487,5,7,1,1,16,Female,Married,76881,Master's Degree,White-collar,1
504,582,0.8352109509947948,34800,19550,9,9,1,3,50,Male,Single,78507,High School Diploma,Blue-collar,1
505,622,0.7498479065176387,12629,11949,6,4,2,1,41,Female,Married,80694,Bachelor's Degree,White-collar,0
506,802,0.35886933820552347,47450,19120,4,8,1,2,39,Male,Single,56716,Master's Degree,Blue-collar,1
507,836,0.6324243744001367,31229,8965,3,3,1,2,16,Female,Married,98150,High School Diploma,White-collar,1
508,554,0.768768825720174,43022,12085,2,7,0,3,25,Male,Single,75444,Bachelor's Degree,Blue-collar,1
509,556,0.6004430313823554,48872,9654,6,9,1,4,63,Female,Married,59642,Master's Degree,White-collar,1
510,723,0.01826417312250095,19288,1880,6,8,2,4,29,Male,Single,36839,High School Diploma,Blue-collar,1
511,563,0.9056535044083296,37233,4836,5,7,0,1,61,Female,Married,23233,Bachelor's Degree,White-collar,1
