,Module_ID,LOC,Cyclomatic_Complexity,Number_of_Comments,Number_of_Developers,Code_Age (Days),Number_of_Unit_Tests,Average_Severity_Score,Documentation_Quality,label
558,559,2298,27,19,3,479,27,3.8,1,1
559,560,1073,20,109,2,92,31,4.6,1,0
560,561,1702,19,151,4,133,27,3.2,5,0
561,562,1027,29,30,4,697,48,2.8,1,1
562,563,884,15,56,2,302,8,9.6,3,1
563,564,1213,19,97,1,35,44,9.3,3,0
564,565,1779,8,154,3,176,21,1.4,3,0
565,566,1808,25,25,3,213,31,4.0,5,1
566,567,896,17,55,4,57,4,4.6,2,0
567,568,2467,26,42,3,579,22,3.2,4,1
568,569,1781,23,24,2,148,4,6.7,1,1
569,570,698,38,161,1,322,41,6.8,4,0
570,571,615,18,183,2,400,31,8.7,2,1
571,572,1808,8,136,5,273,9,7.7,2,1
572,573,1469,31,59,4,609,38,5.9,5,1
573,574,991,33,96,3,755,14,6.9,3,0
574,575,1208,32,32,5,247,6,3.5,3,1
575,576,1246,39,8,3,206,28,6.3,2,1
576,577,587,12,154,1,328,46,5.4,5,0
577,578,1803,20,80,1,705,2,2.2,5,0
578,579,2325,34,177,1,87,18,3.2,1,1
579,580,518,22,71,3,298,9,3.6,3,0
580,581,1923,6,90,5,337,27,9.3,2,1
581,582,654,17,198,1,599,28,3.1,4,0
582,583,492,8,166,5,317,14,3.6,3,0
583,584,2356,30,95,3,134,34,4.3,1,1
584,585,1210,29,187,5,257,5,7.0,5,1
585,586,2444,34,109,3,276,11,2.1,2,1
586,587,2385,15,5,3,729,46,9.6,3,0
587,588,1349,11,76,4,523,37,8.8,4,0
588,589,809,35,91,3,112,12,6.2,1,0
589,590,2169,14,170,3,215,28,7.1,1,0
590,591,730,17,10,2,281,18,1.1,3,0
591,592,2337,35,157,1,384,2,4.1,4,1
592,593,1116,11,149,4,779,7,8.2,1,1
593,594,542,24,65,4,725,7,1.7,2,1
594,595,1121,8,16,4,239,19,3.5,1,0
595,596,2419,11,10,2,638,46,6.3,4,0
596,597,510,5,31,3,476,3,3.3,5,0
597,598,1478,17,140,1,489,20,9.4,5,0
598,599,1939,26,128,5,501,2,2.2,3,1
599,600,1053,25,110,3,749,44,8.2,4,1
600,601,1131,26,197,2,399,7,5.6,1,1
601,602,1878,32,189,3,521,22,7.8,1,1
602,603,973,13,97,3,166,15,3.8,5,0
603,604,2418,30,113,2,396,12,5.6,5,1
604,605,1551,13,103,4,213,2,8.7,2,1
605,606,2203,19,172,4,617,47,5.2,5,0
606,607,2286,14,146,1,316,8,4.2,2,1
607,608,1594,28,39,1,501,13,5.8,1,1
608,609,1529,12,180,4,404,12,7.5,2,1
609,610,556,28,88,5,683,6,5.0,2,1
610,611,497,20,60,3,778,14,9.4,3,0
611,612,786,30,181,5,566,6,3.7,5,0
612,613,1499,31,145,3,540,37,5.3,2,1
613,614,1730,8,193,4,608,33,7.8,1,1
614,615,1074,28,53,1,279,40,7.2,4,1
615,616,2340,23,50,1,539,21,8.8,2,1
616,617,1726,14,117,5,659,23,10.0,5,0
617,618,2165,29,194,1,102,48,4.8,3,1
618,619,752,22,140,4,311,36,2.0,1,1
619,620,1088,23,47,5,389,43,1.3,3,1
620,621,505,14,152,3,39,0,7.5,4,1
621,622,1175,37,128,1,240,9,8.9,2,1
622,623,975,9,101,2,181,42,3.0,2,0
623,624,923,39,94,1,34,15,2.4,5,0
624,625,477,38,43,3,224,45,1.6,2,0
625,626,814,37,89,5,312,7,8.4,1,1
626,627,975,25,181,3,493,48,3.8,4,0
627,628,1785,21,196,2,142,24,4.6,3,1
628,629,1332,26,66,4,300,49,5.5,4,1
629,630,1480,19,110,1,192,11,8.6,2,0
630,631,1476,39,111,5,489,24,6.9,3,1
631,632,2096,32,58,4,134,16,6.5,5,1
632,633,1368,11,130,3,722,25,2.6,4,0
633,634,2224,36,13,5,585,45,5.6,3,1
634,635,1981,15,92,4,311,47,7.4,3,0
635,636,2356,14,41,5,716,13,9.8,3,0
636,637,1665,13,53,2,191,40,2.8,1,0
637,638,2104,18,45,2,380,35,1.1,4,0
638,639,934,17,21,1,463,22,1.7,3,0
639,640,1163,29,92,1,169,42,4.4,4,1
640,641,1512,6,25,2,500,5,8.4,3,1
641,642,2426,39,55,5,161,46,1.1,5,1
642,643,1746,11,63,2,116,4,5.1,5,0
643,644,1704,25,171,1,717,42,4.0,5,1
644,645,575,22,187,2,212,24,1.5,2,0
645,646,986,7,45,2,397,17,5.1,3,0
646,647,2053,15,43,5,158,12,3.3,2,0
647,648,516,28,145,4,275,42,4.2,4,0
648,649,682,23,196,1,630,13,7.4,2,1
649,650,1619,8,15,5,607,27,5.7,4,0
650,651,560,30,151,2,699,17,2.1,4,0
651,652,1943,36,143,2,407,27,9.7,4,1
652,653,1072,37,81,4,178,26,6.7,2,1
653,654,1991,7,131,1,462,31,7.9,3,0
654,655,1755,13,50,1,657,46,1.7,2,1
655,656,2211,12,49,3,755,8,1.4,3,0
656,657,2425,37,5,1,498,39,1.2,3,1
657,658,1326,10,172,4,475,31,2.7,4,0
658,659,2439,8,112,3,510,19,4.7,2,1
659,660,1762,17,23,3,323,27,9.4,3,0
660,661,1910,6,80,2,794,32,5.1,5,0
661,662,2183,9,76,2,172,3,3.6,3,0
662,663,2055,31,193,1,279,45,6.1,5,1
663,664,1976,36,113,3,331,33,2.0,2,1
664,665,2080,25,16,2,54,47,6.5,2,1
665,666,1610,12,193,4,99,2,6.1,2,0
666,667,1208,12,165,2,654,25,8.1,3,0
667,668,692,7,49,2,141,7,9.9,1,1
668,669,1513,7,94,3,393,5,3.3,3,0
669,670,678,26,107,3,332,15,5.6,3,0
670,671,1369,10,12,5,500,23,9.2,4,0
671,672,1696,6,157,4,120,47,8.1,4,0
672,673,455,27,95,3,559,38,5.4,3,0
673,674,917,6,178,1,690,29,9.5,5,0
674,675,2205,21,91,4,768,44,1.5,4,1
675,676,524,39,162,4,755,12,9.4,3,0
676,677,453,38,179,3,692,4,1.5,1,1
677,678,2320,27,181,4,221,24,5.9,5,1
678,679,1095,34,179,3,581,19,9.0,2,1
679,680,567,12,88,2,271,17,3.4,3,0
680,681,2079,26,86,5,167,46,5.3,3,1
681,682,2471,9,150,2,374,17,3.9,5,0
682,683,1396,17,198,3,209,1,9.6,4,1
683,684,1914,33,72,3,741,9,8.4,4,1
684,685,643,35,165,2,532,44,7.4,4,0
685,686,1296,20,131,1,232,49,6.3,2,0
686,687,1865,34,168,1,602,46,8.4,5,1
687,688,1908,20,86,1,221,11,4.5,5,0
688,689,2118,16,151,3,34,46,5.0,4,0
689,690,1883,21,160,4,266,12,7.6,4,1
690,691,1591,20,172,3,722,49,4.2,1,1
691,692,2260,16,88,4,340,46,1.6,1,1
692,693,1173,12,117,2,578,10,1.7,3,0
693,694,674,24,80,5,85,18,2.0,3,0
694,695,981,7,126,4,472,34,8.8,5,0
695,696,562,20,147,1,266,38,5.3,5,0
696,697,1008,34,45,3,226,25,7.4,2,1
697,698,2498,27,171,2,614,45,4.5,2,1
698,699,1103,32,6,1,600,13,3.3,1,1
699,700,769,9,195,2,781,44,4.1,3,0
700,701,2023,24,33,5,543,43,8.1,1,1
701,702,2278,5,109,3,478,23,6.6,1,1
702,703,2367,34,198,3,389,40,9.4,3,1
703,704,588,25,55,5,729,0,7.1,2,1
704,705,2476,24,79,3,59,42,6.1,3,1
705,706,1351,10,14,4,137,21,6.5,4,0
706,707,1139,26,146,2,631,22,9.5,4,1
707,708,2489,22,55,1,746,18,8.1,4,1
708,709,459,12,122,5,474,17,1.2,5,0
709,710,710,36,125,4,467,11,5.8,2,1
710,711,2392,37,43,1,761,27,7.2,2,1
711,712,2123,20,32,1,635,27,7.7,5,0
712,713,1641,16,7,5,486,32,2.9,1,1
713,714,2069,38,88,4,644,18,8.8,4,1
714,715,770,18,159,1,764,27,9.6,4,0
715,716,1792,37,121,1,727,48,3.1,1,1
716,717,2086,27,6,4,725,36,8.9,3,1
717,718,2444,6,97,3,524,25,1.9,3,0
718,719,2393,25,170,1,703,34,1.5,2,1
719,720,2488,6,135,2,276,33,2.2,5,0
720,721,1568,31,148,4,572,34,1.5,2,1
721,722,2054,13,98,1,593,39,8.6,3,0
722,723,685,5,44,5,617,15,1.5,1,1
723,724,2419,15,6,2,468,37,3.4,2,1
724,725,783,7,85,1,307,12,1.9,4,0
725,726,2358,27,173,2,581,22,3.7,4,1
726,727,825,30,16,2,642,21,1.8,1,1
727,728,1610,8,167,3,140,15,7.0,3,0
728,729,2020,22,69,2,414,27,2.2,4,1
729,730,1769,10,59,3,790,47,8.7,4,0
730,731,2305,39,49,4,220,34,8.4,5,1
731,732,1822,26,105,3,519,44,1.1,2,1
732,733,1322,19,66,5,723,45,9.1,3,0
733,734,1702,26,53,1,455,7,1.3,2,1
734,735,2301,16,131,4,434,43,3.2,3,0
735,736,1764,22,157,4,364,21,1.3,4,1
736,737,1174,39,27,5,238,20,4.0,5,1
737,738,527,34,156,3,51,25,5.6,2,0
738,739,581,28,42,1,707,39,8.2,4,0
739,740,1050,34,32,3,640,20,4.0,3,1
740,741,2222,18,25,2,237,24,7.3,2,0
741,742,1515,10,186,3,37,40,2.7,2,0
742,743,2313,7,111,4,731,0,7.8,4,1
743,744,1768,20,150,1,716,5,3.1,2,1
744,745,1065,11,168,3,558,22,2.3,5,0
745,746,2338,18,103,1,631,22,2.7,5,0
746,747,1496,13,177,1,682,42,2.6,4,0
747,748,1024,19,123,2,686,42,5.6,3,0
748,749,1442,25,77,2,195,22,8.6,4,1
749,750,1698,39,185,4,525,31,1.7,5,1
750,751,952,6,126,5,619,29,7.4,1,1
751,752,2447,31,34,1,458,12,6.9,1,1
752,753,1270,6,192,5,192,42,8.9,2,0
753,754,2420,39,112,4,395,17,3.2,2,1
754,755,647,22,102,1,555,22,5.1,1,1
755,756,2119,18,36,1,268,14,9.3,5,0
756,757,1652,24,199,5,101,32,6.9,2,1
757,758,1921,22,199,3,474,20,4.5,4,1
758,759,2096,14,160,2,684,38,2.2,4,0
759,760,2142,29,176,3,538,22,3.4,5,1
760,761,1762,6,83,5,298,26,6.2,2,0
761,762,2485,29,45,2,782,44,7.5,4,1
762,763,927,37,67,3,444,43,2.1,2,1
763,764,1704,35,27,2,274,17,6.4,2,1
764,765,1372,18,108,1,704,23,6.0,4,0
765,766,869,5,79,3,89,46,5.6,1,0
766,767,1570,20,52,2,35,39,7.2,4,0
767,768,1400,7,164,2,738,41,8.5,5,0
768,769,1727,39,61,2,599,6,3.9,3,1
769,770,2307,10,122,3,436,49,9.0,4,0
770,771,966,29,104,4,246,47,2.4,2,0
771,772,2108,17,128,3,55,19,2.6,2,0
772,773,2315,38,165,5,34,26,3.4,4,1
773,774,1591,12,156,3,561,5,2.1,3,0
774,775,2382,25,171,2,419,26,3.1,4,1
775,776,1264,38,38,1,739,8,2.0,3,1
776,777,2350,8,188,3,600,44,8.4,3,0
777,778,579,29,160,3,477,30,2.3,5,0
778,779,544,19,169,2,783,20,7.7,2,1
779,780,2405,8,11,1,175,25,1.4,2,0
780,781,1243,16,169,1,417,39,9.5,3,0
781,782,2284,36,60,5,278,47,7.4,2,1
782,783,2133,36,69,3,555,44,1.1,1,1
783,784,460,32,197,1,491,12,7.9,3,0
784,785,2315,17,51,1,42,48,5.6,2,0
785,786,1161,35,152,4,413,22,8.0,1,1
786,787,1264,18,23,4,585,19,5.7,5,0
787,788,795,24,161,1,428,36,6.8,2,1
788,789,812,22,192,5,48,27,8.1,1,0
789,790,1434,33,150,1,604,16,4.6,4,1
790,791,2089,10,167,2,520,27,1.0,4,0
791,792,1277,36,175,3,780,40,8.6,1,1
792,793,805,33,130,5,448,1,4.4,3,0
793,794,1797,6,143,2,366,24,5.5,3,0
794,795,2313,27,53,5,448,49,1.1,2,1
795,796,576,23,117,2,641,40,5.4,4,0
796,797,1053,35,42,3,704,5,9.9,3,1
797,798,2378,9,68,3,151,10,3.5,3,0
798,799,1463,23,73,4,461,37,4.6,4,1
799,800,500,38,140,2,73,5,7.2,5,1
800,801,1880,14,166,4,346,44,8.3,3,0
801,802,2242,29,180,2,410,10,4.8,1,1
802,803,2086,6,120,4,174,13,3.8,2,0
803,804,2095,15,188,3,356,1,9.4,3,1
804,805,1655,35,69,5,392,39,7.1,3,1
805,806,2304,19,35,4,79,2,2.1,5,0
806,807,1016,13,136,2,94,34,1.6,1,0
807,808,1385,27,117,2,384,32,5.4,2,1
808,809,2384,23,113,3,193,23,3.0,3,1
809,810,1782,13,182,2,170,18,3.3,2,0
810,811,651,39,73,1,157,17,8.9,4,0
811,812,566,25,162,5,427,48,1.8,3,0
812,813,1386,13,124,4,492,23,7.4,3,0
813,814,1024,32,92,5,780,44,3.4,4,1
814,815,986,11,191,3,216,34,7.8,5,0
815,816,2075,20,71,4,749,0,7.5,3,1
816,817,835,20,79,4,761,35,1.1,2,1
817,818,924,37,49,1,219,24,5.6,1,0
818,819,867,8,8,3,417,44,2.3,2,1
819,820,1388,8,158,2,458,48,8.8,5,0
820,821,1404,21,159,1,313,42,8.8,1,1
821,822,1325,33,178,1,266,33,4.8,2,1
822,823,1212,39,111,5,223,24,5.0,2,1
823,824,1652,11,196,5,316,15,3.7,4,0
824,825,1655,31,55,5,787,33,7.4,5,1
825,826,1113,32,54,1,165,28,4.2,4,1
826,827,474,26,10,2,200,18,3.4,1,0
827,828,2440,18,63,4,188,22,4.9,4,0
828,829,1653,11,129,5,230,18,1.8,5,0
829,830,1159,26,147,2,516,24,7.7,3,1
830,831,2329,9,34,3,586,15,1.1,3,0
831,832,1634,6,174,5,612,8,6.8,1,1
832,833,734,31,126,4,533,0,2.6,3,0
833,834,512,25,129,3,400,41,3.1,4,0
834,835,1452,19,41,3,132,18,6.7,1,0
835,836,1111,25,174,4,154,32,9.9,5,1
836,837,1942,14,128,5,342,33,8.0,1,1
837,838,1416,27,105,1,487,15,3.0,1,1
838,839,1298,9,39,4,259,43,2.6,2,0
839,840,1557,5,91,4,687,39,8.8,2,1
840,841,1138,17,138,4,226,17,5.0,1,0
841,842,597,25,22,3,762,33,2.2,3,0
842,843,791,30,117,2,452,24,8.8,2,1
843,844,1536,25,33,1,601,44,8.3,5,1
844,845,2174,22,81,5,639,5,9.9,4,1
845,846,1833,36,63,5,200,20,9.2,2,1
846,847,776,21,179,2,411,5,8.7,1,1
847,848,2242,39,130,4,202,31,1.5,3,1
848,849,2209,15,149,1,692,40,1.9,4,0
849,850,1439,25,113,5,482,47,6.1,2,1
850,851,1401,30,26,5,379,42,5.8,3,1
851,852,1172,8,72,4,663,38,5.1,3,0
852,853,878,38,73,2,523,30,4.6,3,0
853,854,1950,22,169,1,649,41,4.9,1,1
854,855,735,39,53,2,33,9,6.1,5,0
855,856,1218,33,145,2,122,29,1.0,3,1
856,857,1844,33,166,1,35,17,3.3,4,1
857,858,643,25,113,1,317,23,5.7,2,1
858,859,1437,17,90,5,647,8,7.5,4,1
859,860,1586,21,57,5,175,30,2.6,1,1
860,861,2151,13,127,1,453,14,5.9,1,1
861,862,1396,5,91,3,637,3,7.4,4,1
862,863,1280,6,183,5,486,39,5.0,5,0
863,864,2370,33,135,3,770,8,1.2,1,1
864,865,504,37,46,1,231,44,5.0,1,0
865,866,1249,14,102,5,241,8,3.7,4,0
866,867,1227,25,164,2,35,25,9.4,1,1
867,868,1931,32,113,1,653,3,2.1,5,1
868,869,2351,15,55,4,405,16,6.9,5,0
869,870,504,38,89,3,476,15,1.5,5,0
870,871,2273,12,178,1,135,14,5.0,2,0
871,872,1651,26,131,1,680,34,6.0,5,1
872,873,1282,12,25,5,430,4,3.7,5,0
873,874,762,19,48,5,125,4,5.1,2,0
874,875,2308,21,143,5,417,19,2.5,3,1
875,876,2457,27,107,4,481,14,3.7,1,1
876,877,2456,28,72,5,445,17,6.6,5,1
877,878,2240,23,133,1,755,46,3.7,1,1
878,879,777,9,96,5,533,1,9.1,4,1
879,880,1737,36,195,2,483,28,6.7,1,1
880,881,1561,5,28,5,320,12,4.9,2,1
881,882,1761,27,129,4,563,3,1.3,1,1
882,883,901,12,145,2,222,41,5.5,1,0
883,884,1973,17,115,1,179,44,7.9,1,0
884,885,614,12,102,1,788,9,3.4,3,0
885,886,631,27,143,3,792,30,8.3,3,0
886,887,1359,5,183,2,544,40,3.3,4,0
887,888,1272,28,21,3,422,7,8.4,2,1
888,889,1393,39,103,2,345,2,1.8,1,1
889,890,2451,28,86,2,105,47,8.8,1,1
890,891,779,21,108,4,628,45,5.5,1,1
891,892,1224,9,156,3,299,8,3.7,1,0
892,893,596,24,23,4,254,29,3.4,3,0
893,894,1364,25,169,2,559,10,4.9,4,1
894,895,2021,35,89,1,142,34,10.0,5,1
895,896,1758,15,12,2,280,36,3.0,2,0
896,897,531,19,32,4,262,41,1.9,1,0
897,898,963,23,9,3,743,12,6.3,4,0
898,899,2370,11,149,3,112,35,5.4,5,0
899,900,2389,32,105,4,154,12,5.7,4,1
900,901,1195,9,168,3,204,11,7.0,3,0
901,902,1859,9,122,5,98,36,3.4,5,0
902,903,1156,34,151,1,76,9,9.2,4,1
903,904,920,36,68,1,285,8,4.9,3,0
904,905,845,12,95,1,756,6,2.2,4,0
905,906,2005,14,121,3,59,1,7.7,4,1
906,907,1254,36,102,3,310,22,6.8,5,1
907,908,1383,32,15,2,266,38,3.8,3,1
908,909,1729,21,58,2,277,39,6.6,1,1
909,910,2207,35,177,1,397,38,3.0,2,1
910,911,1354,12,51,5,524,20,5.0,5,0
911,912,1526,29,144,2,54,22,9.1,3,1
912,913,2340,13,153,2,615,28,2.2,4,0
913,914,1973,6,143,3,747,13,4.5,3,0
914,915,1837,19,9,5,519,25,8.4,2,1
915,916,1753,7,188,1,523,4,9.7,2,1
916,917,1042,8,24,2,343,30,5.1,1,1
917,918,577,18,173,5,635,24,5.6,1,1
918,919,1185,29,50,5,404,30,6.1,2,1
919,920,970,14,16,1,668,49,9.4,5,0
920,921,686,25,74,5,54,19,8.7,5,0
921,922,1754,16,21,5,363,43,2.5,4,0
922,923,2231,31,119,5,384,16,4.9,1,1
923,924,1751,6,151,2,145,44,5.2,4,0
924,925,891,17,158,1,77,1,8.1,1,1
925,926,1254,36,52,5,767,24,6.4,2,1
926,927,524,35,112,5,128,12,6.9,5,0
927,928,1829,20,56,2,488,38,10.0,5,0
928,929,490,36,100,1,552,27,1.7,2,1
929,930,2150,36,74,3,626,41,3.0,4,1
930,931,1851,38,187,2,434,5,4.7,4,1
931,932,1037,15,106,1,243,2,4.1,3,0
932,933,2072,14,79,5,714,34,1.2,1,1
933,934,791,19,165,1,532,17,1.8,4,0
934,935,1095,21,194,1,750,10,7.1,2,1
935,936,1180,22,155,1,477,19,8.9,4,1
936,937,617,13,147,3,605,4,5.6,5,0
937,938,1059,29,159,1,287,18,5.9,1,1
938,939,2222,18,196,3,150,21,3.3,3,0
939,940,2490,29,183,5,83,18,7.9,1,1
940,941,904,26,185,3,360,46,7.8,5,0
941,942,2158,34,86,5,270,15,6.3,5,1
942,943,1151,24,96,5,784,23,2.9,5,1
943,944,2049,25,183,3,559,40,1.9,5,1
944,945,579,36,179,2,512,3,1.6,2,1
945,946,2295,25,8,4,216,14,6.3,3,1
946,947,1836,39,139,1,685,24,8.4,5,1
947,948,1142,36,113,4,291,43,8.7,5,1
948,949,1844,34,167,1,393,34,5.2,4,1
949,950,1243,16,52,1,520,13,8.1,3,0
950,951,478,22,77,5,460,48,9.5,1,1
951,952,598,25,76,1,268,18,3.5,3,0
952,953,1769,17,120,1,333,37,4.6,3,0
953,954,1586,25,177,3,327,35,9.4,3,1
954,955,636,12,85,4,105,6,4.0,5,0
955,956,1700,11,85,3,729,29,9.2,5,0
956,957,1783,27,117,1,362,18,9.8,2,1
957,958,547,36,100,5,787,48,7.0,1,1
958,959,504,15,76,3,671,24,8.4,4,0
959,960,1207,26,151,3,503,15,7.7,3,1
960,961,855,26,67,2,312,46,7.3,1,1
961,962,1762,29,42,1,620,39,3.8,1,1
962,963,2235,26,71,5,101,7,1.5,2,1
963,964,1200,32,191,3,292,17,4.1,4,1
964,965,2212,33,73,3,732,27,7.0,3,1
965,966,814,17,17,5,604,15,1.9,4,0
966,967,2476,22,179,1,41,18,1.1,2,1
967,968,931,6,193,2,170,41,2.3,5,0
968,969,603,33,35,3,795,16,7.4,1,1
969,970,1974,25,118,2,584,44,9.8,3,1
970,971,1490,19,26,4,46,12,9.8,5,0
971,972,2114,31,97,1,92,6,5.4,2,1
972,973,1690,35,175,4,282,26,8.8,4,1
973,974,510,19,71,4,494,9,7.6,1,1
974,975,1388,27,58,4,405,33,5.5,3,1
975,976,2089,28,142,1,549,35,6.2,5,1
976,977,474,17,46,1,119,24,2.2,5,0
977,978,1512,26,68,5,749,5,9.4,1,1
978,979,580,37,130,2,659,23,4.2,4,0
979,980,1702,7,25,2,204,17,5.0,2,0
980,981,557,23,198,5,105,22,7.0,4,0
981,982,621,27,173,5,642,5,4.0,4,0
982,983,1908,33,156,4,692,28,3.3,4,1
983,984,551,34,39,5,429,24,6.7,1,1
984,985,2086,29,188,3,100,16,1.2,1,1
985,986,1490,12,34,2,209,45,7.5,2,0
986,987,779,20,61,5,153,23,5.6,4,0
987,988,1970,12,51,3,410,10,6.5,1,1
988,989,461,5,167,3,322,25,6.7,2,1
989,990,1791,9,23,3,224,33,5.7,2,0
990,991,665,7,118,3,257,27,6.2,4,0
991,992,788,5,12,4,460,2,7.2,3,1
992,993,2249,8,30,3,465,10,7.8,4,0
993,994,2200,39,117,4,490,37,7.5,3,1
994,995,1958,36,75,4,647,13,8.8,2,1
995,996,1159,38,34,3,50,25,2.7,1,1
996,997,1673,29,139,2,93,47,4.6,5,1
997,998,1562,14,71,3,194,20,9.5,2,0
998,999,1741,25,69,3,56,38,4.6,1,1
999,1000,938,31,40,3,340,29,2.1,2,1
