,Shift_ID,Seismic_Velocity (m/s),Ground_Pressure (MPa),Rock_Type,Depth (m),Previous_Bump (Yes/No),Temperature (°C),Humidity (%),Fault_Proximity (m),label
364,365,5.005316164212085,16.820313789261185,Shale,262,No,24,55,59,1
365,366,6.626540156382927,18.397412758988498,Shale,272,No,17,69,58,1
366,367,8.236112536895817,14.250586141370132,Sandstone,291,Yes,22,30,71,1
367,368,8.855716235326325,16.03118955012389,Sandstone,193,No,21,55,51,1
368,369,7.930347211700263,17.780183800113775,Granite,293,Yes,15,57,92,1
369,370,9.500178170714468,11.128101892887123,Sandstone,246,Yes,26,38,46,1
370,371,8.171204567311513,11.562748091216516,Limestone,226,Yes,27,51,71,1
371,372,5.143875209032303,8.007530199541474,Limestone,289,No,26,37,116,0
372,373,4.855568990370008,19.55712957077363,Sandstone,204,Yes,19,56,82,1
373,374,7.8733471521076295,19.01053873515614,Limestone,200,No,23,68,93,1
374,375,4.3500939808273,17.174819165113163,Limestone,251,No,18,48,82,1
375,376,3.649003675671889,8.948912251719777,Granite,178,No,15,54,36,0
376,377,6.725560123993358,13.370034676394098,Limestone,218,Yes,22,67,68,1
377,378,8.751490988452687,9.222701047658633,Shale,229,No,19,50,119,1
378,379,3.709658897289045,8.191043207153584,Shale,180,No,16,53,100,0
379,380,8.543239266570104,15.394195582551168,Granite,261,Yes,29,53,101,1
380,381,8.681004030460837,19.52995300496226,Sandstone,195,Yes,26,48,42,1
381,382,6.375918000570804,18.834416281185803,Granite,246,No,15,31,117,0
382,383,3.4011721700734077,16.36105777922485,Sandstone,201,No,28,43,91,0
383,384,4.222128958730305,9.159687009978457,Sandstone,287,Yes,26,61,32,1
384,385,7.951983926133527,11.289968452067601,Sandstone,223,No,26,61,42,1
385,386,7.982445614936647,11.840680722623492,Sandstone,190,No,26,57,76,1
386,387,9.288486926173658,17.157800692946736,Sandstone,226,No,17,68,81,1
387,388,7.07880302588208,17.62699015082137,Granite,280,No,23,69,73,1
388,389,3.868751573996442,12.621273475879045,Sandstone,263,Yes,15,69,39,1
389,390,3.849904338534805,13.014607959411316,Limestone,201,No,18,42,105,0
390,391,8.047926501497766,8.534108471314056,Limestone,236,Yes,22,41,71,1
391,392,4.286492655755308,11.469640621025132,Sandstone,258,No,22,37,42,0
392,393,5.298698497316238,13.415422126131679,Limestone,290,Yes,24,44,54,1
393,394,6.410484048453397,9.40379655662309,Shale,218,No,26,55,86,1
394,395,3.1733541430330585,13.439209529060257,Granite,269,Yes,25,41,53,1
395,396,4.741733189139524,18.238109747093603,Granite,216,No,27,56,52,1
396,397,5.8552272595509605,14.97585223670064,Sandstone,210,Yes,25,47,65,1
397,398,4.957454229452444,8.947158260460949,Sandstone,220,No,22,65,100,0
398,399,3.954592292272961,10.300055825963291,Shale,179,No,24,56,64,0
399,400,8.09608580457338,13.694532201902675,Sandstone,295,Yes,22,38,38,1
400,401,8.692033586175896,12.337845797861744,Limestone,245,Yes,18,68,113,1
401,402,4.802352833006074,12.304724234553184,Shale,205,Yes,22,30,106,1
402,403,8.420936462244123,14.351209377723082,Limestone,202,Yes,23,36,34,1
403,404,5.698874950809197,15.012751059073489,Granite,156,Yes,21,55,97,1
404,405,6.5468005359780195,17.562338843314294,Limestone,246,No,28,36,85,0
405,406,8.99200752425207,12.091598761549816,Granite,262,Yes,26,36,58,1
406,407,8.249675772616854,17.665595396487042,Limestone,274,Yes,16,37,37,1
407,408,8.635817959213245,12.06333474935159,Granite,281,No,23,45,89,1
408,409,3.9579161661044977,8.665195867294806,Sandstone,270,Yes,25,32,78,1
409,410,3.4880359808361066,14.650251812057494,Limestone,187,Yes,22,39,51,1
410,411,9.25383310361591,15.054827898737773,Granite,271,Yes,27,36,40,1
411,412,5.714839886997661,19.214482947462322,Limestone,175,No,19,50,59,0
412,413,5.015157746487766,16.712735912749693,Shale,278,Yes,29,66,111,1
413,414,8.072873779832772,19.013271829933274,Sandstone,153,No,26,60,46,1
414,415,8.854909176058996,18.900166522916116,Granite,188,No,17,52,21,1
415,416,9.037427353288106,15.254889323098906,Shale,203,Yes,21,56,116,1
416,417,5.211979987876592,14.333144784037371,Limestone,182,No,28,51,99,1
417,418,8.965486738411718,14.689291605963199,Shale,169,Yes,28,68,58,1
418,419,3.286537610620418,19.739969692126973,Limestone,165,Yes,29,56,105,1
419,420,3.3476304402180324,17.278012300963507,Sandstone,298,Yes,16,33,75,1
420,421,7.364634366219081,9.27519085750875,Shale,276,Yes,27,53,32,1
421,422,3.4417445838088234,17.3411408813768,Sandstone,236,Yes,17,52,75,1
422,423,5.272264179571131,10.04645658677871,Granite,231,No,26,48,85,0
423,424,7.709291903728468,13.368206588067508,Limestone,211,No,23,32,97,1
424,425,5.360868272379584,10.525516066118412,Limestone,180,No,18,56,75,0
425,426,4.257198470080672,16.27499678639876,Sandstone,191,No,18,32,47,0
426,427,4.969454352976891,18.52771683431643,Sandstone,161,Yes,17,57,83,1
427,428,6.203027325753022,11.48434262440017,Granite,214,Yes,19,46,90,1
428,429,6.3277009874883765,8.984128894498252,Shale,222,No,17,60,101,0
429,430,8.481001619430414,11.581917176899559,Limestone,280,Yes,23,39,83,1
430,431,8.251072606020587,16.068342295186334,Limestone,264,No,29,51,75,1
431,432,6.197724631892946,11.945121530653399,Granite,286,No,17,59,60,0
432,433,8.9196714436914,11.337346010645641,Granite,255,No,16,50,119,1
433,434,3.799659970139771,10.21322228701118,Sandstone,165,No,26,65,60,1
434,435,4.7874734516023105,13.970197122493202,Sandstone,227,Yes,19,52,119,1
435,436,8.79583524451576,11.31138593788625,Shale,274,Yes,20,67,23,1
436,437,5.645958270383072,16.772124189673796,Granite,280,No,15,41,76,1
437,438,9.868270911556895,8.919468823906433,Shale,290,No,28,54,49,1
438,439,6.263772970694848,15.96839639733581,Granite,279,No,26,49,107,1
439,440,8.543549360746349,10.850720174813238,Limestone,261,No,25,36,103,1
440,441,5.816149289676604,13.871351132619237,Granite,276,No,20,58,65,0
441,442,5.974674633437013,11.433079064375127,Granite,170,Yes,24,58,75,1
442,443,5.680182030989284,16.673224112129546,Limestone,296,No,17,42,50,1
443,444,8.033529343575683,19.34368448301964,Granite,238,No,18,32,107,1
444,445,6.832625188419961,19.00492135363776,Shale,196,Yes,20,31,26,1
445,446,9.606446779578583,15.001114581729093,Sandstone,299,Yes,22,45,109,1
446,447,4.756232215738733,13.55132363908374,Sandstone,234,Yes,29,59,96,1
447,448,3.7039391245841102,17.81960611327258,Shale,277,Yes,23,67,73,1
448,449,5.752830395694506,16.19991635153276,Limestone,221,Yes,20,35,27,1
449,450,7.3169889535274315,10.202769370603194,Granite,191,Yes,21,36,74,1
450,451,9.025592558408466,17.851030563356005,Shale,158,Yes,29,34,88,1
451,452,5.423378206762294,13.146612672736522,Sandstone,174,Yes,28,36,63,1
452,453,7.576507257871231,10.267827919654101,Sandstone,151,Yes,19,63,32,1
453,454,5.4513907671625335,11.38156820475791,Shale,168,No,28,61,112,1
454,455,7.3205370809612065,11.210324362980108,Sandstone,169,Yes,26,42,39,1
455,456,9.193655629214557,14.23048369524152,Shale,219,No,29,59,97,1
456,457,4.619503495815863,10.812441088134506,Sandstone,166,No,23,54,51,0
457,458,5.829691494749274,9.482797848818914,Shale,273,No,18,50,79,0
458,459,9.952856375008226,9.48429020736513,Granite,238,No,24,50,69,1
459,460,9.079899197746226,14.999314365669159,Granite,243,No,25,57,46,1
460,461,6.952479005273414,16.817111466192543,Granite,233,No,20,49,44,0
461,462,6.616393142979927,11.85839610606009,Granite,280,No,19,63,71,0
462,463,4.9922026761327665,8.415808517768205,Sandstone,236,No,15,34,87,0
463,464,6.620465993854706,9.526698643244128,Limestone,200,Yes,19,47,40,1
464,465,8.93727048795963,18.976334724044683,Shale,231,No,27,68,37,1
465,466,7.796221592944464,13.922523915073436,Limestone,157,No,19,40,58,1
466,467,5.0303081972459065,13.442873715382097,Sandstone,270,No,28,46,34,0
467,468,4.410247447374731,8.45659013972109,Sandstone,153,No,23,51,72,0
468,469,4.856459758977804,16.74364426780279,Limestone,235,Yes,15,66,57,1
469,470,4.188314409749786,14.336816971184946,Limestone,277,No,29,49,67,0
470,471,3.6694848721660116,10.42497123303825,Sandstone,259,Yes,19,35,71,1
471,472,5.933953221094384,9.320885122172687,Sandstone,248,Yes,29,63,107,1
472,473,3.7930972307878736,12.600654363583981,Shale,186,No,21,43,91,0
473,474,4.20338790408973,18.045943570340306,Granite,220,No,25,52,47,0
474,475,6.831272790376403,18.38353471041229,Granite,182,Yes,20,49,104,1
475,476,4.152194915897023,15.234156564747638,Shale,180,No,20,42,35,0
476,477,3.44715837201632,16.730437126761714,Limestone,274,No,26,61,35,1
477,478,5.221721950195196,9.381869448834443,Sandstone,161,Yes,21,55,54,1
478,479,4.542233690353773,15.057512785614257,Limestone,160,Yes,20,43,36,1
479,480,6.607136315960638,16.003588441846183,Granite,237,No,19,65,92,0
480,481,3.716569592082465,10.408554114965506,Granite,221,No,24,37,118,0
481,482,8.262395513780847,18.56185679492311,Limestone,181,No,19,69,71,1
482,483,9.34363463604597,10.339960850252236,Granite,206,Yes,23,51,112,1
483,484,8.20404621769336,11.761728318157406,Sandstone,235,No,28,51,101,1
484,485,6.72978926180976,15.446682164281503,Shale,168,Yes,22,45,31,1
485,486,9.024674752522195,15.660200781568768,Limestone,265,Yes,28,56,102,1
486,487,7.864428658470553,16.392616891848405,Sandstone,163,No,26,39,67,1
487,488,3.073857857151329,9.344140556818468,Sandstone,182,Yes,29,54,41,1
488,489,5.758631069421522,18.193573159142666,Granite,159,No,24,60,68,0
489,490,8.956663295847601,14.394165587399119,Sandstone,229,No,28,50,71,1
490,491,5.421012005826885,13.65586152926082,Limestone,213,Yes,18,56,98,1
491,492,3.2465062146786643,19.773171494162114,Sandstone,217,No,18,46,20,0
492,493,8.223257469865906,16.884539563292236,Shale,241,Yes,24,62,85,1
493,494,8.61426789198008,9.416072319432498,Sandstone,274,Yes,19,60,83,1
494,495,4.12415586530316,17.078470006714888,Sandstone,229,No,27,55,27,1
495,496,6.761383477902268,9.142987207674434,Shale,208,No,27,50,105,0
496,497,4.34368807297008,8.329646750155819,Sandstone,246,No,17,65,44,0
497,498,8.034640933309028,12.843510743238765,Sandstone,168,No,29,30,85,1
498,499,4.9008531862424,19.922938073830622,Granite,298,Yes,22,33,92,1
499,500,5.213505857943311,10.098607234338353,Limestone,171,Yes,21,33,92,1
500,501,8.91479597548071,16.071732122321478,Granite,158,Yes,19,55,96,1
501,502,6.33425646544833,10.080752794473433,Limestone,158,No,24,33,89,0
502,503,7.688281158527735,16.69744369950063,Shale,176,Yes,17,38,113,1
503,504,5.816611355057273,14.064244018853913,Shale,166,Yes,29,59,98,1
504,505,5.086048000356287,16.159660521072517,Shale,194,No,19,33,70,0
505,506,7.37834642297263,10.434478110970815,Limestone,157,No,17,34,72,1
506,507,4.0840030185517495,16.947539990246025,Limestone,295,No,24,52,34,1
507,508,5.610998848968041,19.94742871547248,Limestone,274,Yes,19,45,69,1
508,509,4.463259261701456,15.987806007511518,Shale,272,No,15,51,90,1
509,510,7.8705647685852185,13.921759976874533,Limestone,182,Yes,20,66,94,1
510,511,9.609461868422752,19.07808786343118,Sandstone,150,Yes,24,37,57,1
511,512,9.968576776111064,8.190222106782516,Granite,155,Yes,18,62,59,1
512,513,6.151937673091135,16.759082231429854,Shale,190,Yes,18,67,85,1
513,514,4.767712727455111,18.664958201765756,Granite,154,Yes,22,45,58,1
514,515,6.099805592690268,8.74009500345149,Sandstone,229,No,16,34,93,0
515,516,8.930885869739067,13.400770044989098,Limestone,167,Yes,18,45,36,1
516,517,4.442039749864279,10.456633447399987,Granite,231,No,29,36,26,0
517,518,9.664669561570467,14.798217987053961,Sandstone,214,Yes,16,30,58,1
518,519,5.393060381587057,15.794515503243925,Sandstone,232,Yes,15,38,87,1
519,520,9.900625616152134,11.63147819514506,Granite,285,No,24,47,54,1
520,521,8.870262212737735,13.51978003613721,Shale,280,Yes,27,32,70,1
521,522,8.659993739031732,11.352073823318714,Granite,174,Yes,27,53,66,1
522,523,5.225332716412985,12.432693973461365,Shale,218,No,17,57,55,0
523,524,3.061440483635506,9.914479480261083,Limestone,231,No,26,39,83,0
524,525,5.6749303617819145,18.626713323027577,Shale,266,Yes,22,38,114,1
525,526,5.112665587638856,8.120124926709638,Limestone,244,Yes,20,42,108,1
526,527,3.261778932861581,18.588910237325464,Granite,182,Yes,26,64,32,1
527,528,6.537556795541508,14.860146540196862,Limestone,260,No,21,52,37,0
528,529,5.821219178979156,11.97989413012421,Sandstone,295,Yes,16,46,40,1
529,530,7.441895274190673,16.676685505523956,Limestone,274,No,20,36,84,1
530,531,7.348304255358583,14.093025822351972,Shale,165,No,28,45,119,1
531,532,3.8452264512767607,13.989303897291279,Shale,229,Yes,22,69,27,1
532,533,9.838758822886359,9.321707395027598,Shale,187,No,22,65,67,1
533,534,4.308520006090129,12.674192311344903,Limestone,284,Yes,18,49,104,1
534,535,6.116918173352932,10.89277215028084,Shale,227,Yes,20,53,62,1
535,536,6.416822804036144,8.188350867155355,Shale,212,No,28,34,72,0
536,537,8.691439580498841,12.32119556938536,Sandstone,261,No,19,35,104,1
537,538,3.6946071726625274,9.077865553107257,Limestone,238,No,23,57,46,0
538,539,6.000509954459723,11.081960452702223,Sandstone,187,No,22,34,38,0
539,540,7.399515191653427,9.110199454197133,Shale,299,No,16,68,42,1
540,541,4.506089351368389,9.211299506676786,Shale,293,No,26,67,69,1
541,542,7.39227529136251,10.38813553298226,Shale,201,Yes,27,31,70,1
542,543,9.465653862847569,19.998190933836803,Limestone,178,Yes,21,68,62,1
543,544,9.982626918208725,8.026209714286985,Granite,293,Yes,21,50,118,1
544,545,3.22715753753473,15.664071633444863,Shale,225,No,25,69,70,0
545,546,4.649117597712743,9.694924376318689,Shale,294,No,28,66,88,1
546,547,5.172149810541882,19.04753764052931,Shale,213,No,28,47,60,0
547,548,5.793882703114763,9.12359472000355,Shale,240,Yes,26,41,91,1
548,549,4.695800103093372,19.46075824551484,Limestone,238,Yes,15,46,30,1
549,550,4.424415961887187,15.331116649801736,Granite,162,No,15,66,99,0
550,551,9.6818768969225,8.015216922985882,Granite,221,No,26,67,107,1
551,552,9.429651219393625,18.728086375001674,Granite,154,No,18,44,104,1
552,553,3.328947507021822,14.26054161640302,Shale,161,No,19,36,71,0
553,554,5.371691151233938,11.152036823965815,Shale,152,Yes,29,43,42,1
554,555,5.836039875748846,17.207350130187564,Granite,182,Yes,18,30,68,1
555,556,4.673101742661603,19.119986646642438,Granite,270,Yes,21,67,57,1
556,557,7.402110278917228,13.804289877761526,Shale,199,No,17,32,66,1
557,558,7.482665226509687,11.78664169331733,Shale,286,Yes,21,66,91,1
558,559,8.953529598300179,17.467341487219123,Sandstone,178,No,27,60,26,1
559,560,8.186084878696525,16.181425973461458,Sandstone,188,No,22,42,85,1
560,561,6.798013288761689,18.665029805003268,Sandstone,240,No,20,47,113,0
561,562,7.575107390310939,16.310168153134313,Granite,249,Yes,20,46,96,1
562,563,4.917921470801127,10.922340066794435,Limestone,166,Yes,22,46,81,1
563,564,7.151393329771503,19.17991099710823,Shale,205,No,22,40,106,1
564,565,6.4245907832494344,9.258028966471896,Sandstone,195,Yes,21,49,48,1
565,566,3.9334112712145926,11.215313001282174,Limestone,216,No,20,39,57,0
566,567,4.697809936080795,14.242335292686628,Shale,291,No,20,58,103,0
567,568,5.0418541550511025,14.788904312850818,Limestone,216,No,24,63,52,0
568,569,9.470166969367906,8.183727039522864,Granite,172,Yes,25,46,48,1
569,570,4.612706475701226,17.36687270985128,Granite,243,Yes,27,42,98,1
570,571,5.0247073197376775,12.339287821104675,Granite,203,No,27,68,42,1
571,572,5.585478910626026,12.877022492025654,Sandstone,287,Yes,20,56,22,1
572,573,7.6461991703777095,17.71243453324335,Shale,226,Yes,22,55,112,1
573,574,3.8276687473049837,12.551400700730534,Granite,165,Yes,15,57,64,1
574,575,9.677616487456433,8.566698517937057,Sandstone,190,Yes,19,42,27,1
575,576,9.058998540663351,10.117277245644203,Sandstone,247,No,17,41,105,1
576,577,7.040512511062651,19.47083806865819,Sandstone,277,Yes,26,57,48,1
577,578,7.718265071974697,8.84486434883017,Sandstone,210,No,22,31,21,1
578,579,3.116623298709512,12.259174411616195,Granite,235,No,25,66,69,0
579,580,5.372613427439141,14.038150004616135,Sandstone,267,Yes,20,63,84,1
580,581,8.569621614630094,13.919369928062721,Granite,249,No,28,52,39,1
581,582,3.542380816546701,8.047519316145713,Granite,198,No,16,58,71,0
582,583,4.976196839475041,14.013952777489884,Sandstone,151,Yes,29,64,104,1
583,584,7.097077798340179,12.60526949572891,Granite,269,No,27,40,56,1
584,585,4.794891193892592,19.664952025694685,Shale,272,No,21,62,91,1
585,586,9.537845819011634,9.909909007925958,Shale,235,Yes,21,40,46,1
586,587,3.9174104156300324,12.249850361113939,Limestone,226,Yes,27,38,66,1
587,588,8.581760505354449,13.033777821077837,Shale,285,Yes,19,43,118,1
588,589,6.555640843344857,12.688322445211385,Granite,208,Yes,22,38,25,1
589,590,8.252315430739692,15.989969931822351,Granite,161,Yes,28,68,79,1
590,591,5.175007298180132,10.586154290573226,Shale,153,No,19,32,64,0
591,592,6.6014272161842715,10.652858633767902,Sandstone,266,No,15,58,63,0
592,593,8.997847448062235,16.750531382010237,Sandstone,244,Yes,23,48,102,1
593,594,6.2681466938617305,14.003486224138156,Granite,274,Yes,18,65,37,1
594,595,5.518039033371887,12.981868112687724,Sandstone,190,No,27,61,84,1
595,596,6.753087703769152,10.030436620127022,Limestone,272,Yes,16,36,44,1
596,597,8.021539271254568,10.250326674945999,Limestone,156,Yes,18,57,46,1
597,598,6.104943418489519,8.126619641790807,Shale,218,No,28,47,26,0
598,599,9.57213882599591,9.097115226340511,Shale,218,No,27,34,63,1
599,600,5.064620768296394,14.682064336282892,Sandstone,230,No,23,52,48,0
600,601,6.328245243183843,18.702477560100917,Granite,179,Yes,16,51,114,1
601,602,8.29849361539009,11.44597718156669,Shale,222,No,18,55,63,1
602,603,7.823847633470307,11.932966710753538,Limestone,155,Yes,16,41,55,1
603,604,9.045487366920092,9.387267327338147,Shale,238,No,19,69,38,1
604,605,9.977664264767762,12.663571347285233,Shale,296,Yes,17,48,25,1
605,606,5.9880083015656265,8.44666045483195,Limestone,215,Yes,24,30,44,1
606,607,3.778056158483183,19.011208355142802,Granite,159,Yes,16,32,50,1
607,608,3.212911165655776,16.077336177494345,Shale,293,No,28,56,28,1
608,609,8.0881383429784,19.888985712718625,Shale,186,No,23,47,103,1
609,610,9.11809569916101,18.593877952141924,Shale,226,No,19,59,93,1
610,611,4.544988101610931,13.675887124377832,Sandstone,226,Yes,24,31,56,1
611,612,4.1091362603293415,14.236220373804523,Shale,181,No,19,34,46,0
612,613,3.4354356406798368,10.286912558206327,Limestone,196,No,15,58,32,0
613,614,8.758920452020444,13.544472114074667,Granite,259,Yes,20,62,60,1
614,615,5.179673579248091,18.836334481913738,Granite,269,Yes,27,49,85,1
615,616,5.811878249318435,8.610241083629854,Limestone,159,No,21,59,104,0
616,617,6.519251341267286,18.36268163597972,Sandstone,246,No,15,34,116,0
617,618,8.876172639466855,12.091373619711316,Limestone,154,No,23,50,43,1
618,619,7.555832550930394,18.794153181155718,Granite,226,Yes,22,44,63,1
619,620,7.305452409004679,19.290558876097815,Limestone,150,No,26,49,117,1
620,621,4.229704699691375,16.05037864402287,Sandstone,280,Yes,28,37,79,1
621,622,6.592329241968809,15.973085439112134,Granite,216,Yes,28,60,28,1
622,623,8.007667120250586,13.43305205250488,Sandstone,164,No,22,41,21,1
623,624,9.812826181213442,18.02648269452449,Limestone,242,No,21,50,75,1
624,625,4.409844164493466,19.5393531011994,Shale,179,Yes,19,59,49,1
625,626,3.0668034714705863,17.30098160406943,Limestone,252,Yes,17,56,41,1
626,627,3.5271100351892883,15.46324080508051,Sandstone,231,No,29,55,94,1
627,628,5.630967256273855,15.281514749856042,Limestone,224,No,26,62,100,1
628,629,8.74381253422191,18.193638819003947,Shale,209,No,28,55,119,1
629,630,3.0499945723777153,14.49444518925558,Sandstone,189,Yes,23,55,32,1
630,631,6.197114150200882,17.64631863498587,Limestone,223,Yes,28,65,90,1
631,632,5.304614307389762,14.10662306209095,Sandstone,270,No,21,69,35,0
632,633,3.367371970698093,8.74933129968709,Sandstone,296,Yes,25,30,116,1
633,634,6.151654006708321,12.607364106849863,Granite,152,Yes,24,44,64,1
634,635,4.7832409513570315,13.333291492057985,Granite,185,No,24,30,84,0
635,636,5.463193840429045,9.699406939839406,Sandstone,192,Yes,22,40,30,1
636,637,7.939307133490051,9.229955950270554,Limestone,292,No,28,31,89,1
637,638,6.6508568873767695,14.42557939588345,Limestone,264,No,20,30,39,0
638,639,3.8725320029496935,9.021723638672986,Limestone,258,Yes,26,60,118,1
639,640,9.729901782965474,11.635342014681008,Shale,239,Yes,28,45,82,1
640,641,7.451375359968169,16.93516371155691,Sandstone,233,No,25,51,109,1
641,642,8.361078979637721,19.57318615481577,Sandstone,226,Yes,28,47,31,1
642,643,3.5544920500585957,16.61444696662314,Shale,154,No,19,46,81,0
643,644,3.3294086562201324,19.911506581434445,Sandstone,227,Yes,29,59,113,1
644,645,3.1361363525765684,16.380055655352834,Sandstone,240,Yes,22,39,111,1
645,646,4.321558194414111,11.52553364785193,Shale,236,Yes,17,64,110,1
646,647,5.900858784029466,16.064630486064342,Granite,163,No,26,50,61,0
647,648,9.550782933819761,16.425881182362847,Sandstone,253,Yes,27,45,102,1
648,649,6.199417614860434,12.460723815397527,Shale,232,No,27,35,88,0
649,650,5.031785737607706,8.212566207312669,Limestone,203,No,21,32,77,0
650,651,6.933546774637644,16.438397417305843,Granite,281,No,16,50,24,1
651,652,3.783542046943525,8.260401143306499,Limestone,244,Yes,17,42,46,1
652,653,7.2665412370348825,15.574256936720854,Sandstone,158,No,29,47,47,1
653,654,6.979023680313523,9.963397864910661,Granite,202,No,27,53,45,1
654,655,8.543951233839968,14.78724233297652,Shale,226,Yes,26,56,110,1
655,656,9.906813281319168,14.0469563045672,Sandstone,209,No,29,33,68,1
656,657,4.756114302012774,8.16216370767419,Shale,195,No,16,51,40,0
657,658,6.567595155626325,12.354389803941242,Granite,203,Yes,19,53,20,1
658,659,9.362057844233025,15.213094008755633,Limestone,223,No,21,69,111,1
659,660,8.496329190959889,18.18327862278536,Sandstone,261,Yes,25,39,77,1
660,661,6.411844121705653,18.663705366038208,Sandstone,244,No,24,31,98,0
661,662,9.617601547303444,13.80619964039868,Shale,172,No,25,69,74,1
662,663,3.4006568546176656,16.74106984759326,Granite,176,Yes,25,35,100,1
663,664,9.516990337988087,11.797454918401492,Shale,219,No,25,47,45,1
664,665,3.3535517466796456,12.106236869103888,Granite,258,No,29,46,103,0
665,666,6.8311332088027905,10.333562230187765,Sandstone,226,No,24,67,44,0
666,667,9.2330866360076,14.74337731991887,Granite,199,Yes,29,52,96,1
667,668,4.83904660492912,11.774769811128383,Sandstone,273,Yes,29,59,52,1
668,669,6.30573949261611,9.01245075726206,Granite,168,Yes,29,50,108,1
669,670,5.270302153958767,16.220073039958145,Limestone,150,Yes,27,39,91,1
670,671,9.66500741953446,16.493038491264777,Granite,189,Yes,28,42,88,1
671,672,8.765519163271636,12.319909025348695,Limestone,171,No,15,41,25,1
672,673,7.963010579284657,8.920680793472274,Granite,261,Yes,27,38,42,1
673,674,7.113388906305761,13.115572608841111,Granite,189,Yes,24,33,49,1
674,675,8.744142525269037,13.308025496602585,Shale,187,Yes,23,68,97,1
675,676,5.74586929066483,16.024050618774716,Shale,197,No,15,53,73,0
676,677,6.132862985742433,11.784996695104201,Sandstone,224,No,15,63,106,0
677,678,8.11001204756603,16.191191357375665,Shale,256,Yes,28,68,30,1
678,679,5.504283343056,18.45786250108866,Granite,157,No,29,34,50,0
679,680,3.4473065943386167,10.849832508346399,Shale,235,No,26,44,25,0
680,681,3.5203422622025,19.747034673438797,Granite,217,No,24,33,30,0
681,682,3.807539609139927,12.636417645641684,Limestone,224,No,22,68,96,0
682,683,9.08776926340564,11.207104221764741,Granite,286,Yes,20,37,31,1
683,684,6.30558498029343,13.058134190123486,Sandstone,239,Yes,20,53,85,1
684,685,7.990176585413155,9.13276971084631,Limestone,279,No,26,57,72,1
685,686,5.750365349234253,9.508470878145388,Sandstone,229,No,23,56,118,0
686,687,4.810976631909441,12.973208563619977,Sandstone,244,No,29,30,55,0
687,688,5.430345172935484,17.1493342632692,Sandstone,219,No,18,63,36,0
688,689,8.559276417220286,18.80374687489389,Shale,239,Yes,22,46,47,1
689,690,7.376512875220067,15.97781588859525,Sandstone,208,No,18,66,111,1
690,691,9.563478459705316,9.262634662858037,Limestone,296,Yes,28,67,41,1
691,692,7.757933450037838,16.06423714616642,Granite,177,No,16,55,26,1
692,693,6.991271422282858,15.625135048435663,Sandstone,221,Yes,25,53,34,1
693,694,7.271372062900841,17.669167019519975,Limestone,163,No,29,68,115,1
694,695,9.596600076278902,17.90298399982617,Sandstone,173,Yes,22,50,30,1
695,696,8.517406509066943,18.418436909347747,Granite,261,Yes,26,59,43,1
696,697,3.1682886615650645,12.96957817494918,Limestone,193,Yes,21,42,86,1
697,698,6.738977872949881,16.37437274422573,Limestone,205,No,18,66,49,0
698,699,7.818368880825954,11.21900430706773,Granite,269,Yes,23,32,89,1
699,700,8.240889349074084,19.992035359802053,Limestone,181,No,29,61,85,1
700,701,4.4919948351975565,10.104010896522318,Granite,174,Yes,23,64,80,1
701,702,9.070241481159465,8.12137317993003,Limestone,265,Yes,22,48,97,1
702,703,9.690902030226146,9.785704574218112,Limestone,215,No,28,43,60,1
703,704,4.6570071409140885,17.31046747452952,Granite,191,Yes,15,51,101,1
704,705,9.17830820262072,13.361404118098537,Granite,225,No,21,46,70,1
705,706,3.6788513376126675,13.37000297372514,Limestone,286,No,19,33,63,0
706,707,3.389947852806716,19.460275035340022,Limestone,187,No,21,69,114,0
707,708,3.9045666007192454,19.035618896336892,Granite,210,No,26,48,32,0
708,709,3.404187556269252,11.73433685364811,Shale,238,Yes,23,66,109,1
709,710,8.915085660090432,10.508697545370394,Granite,167,Yes,16,31,31,1
710,711,3.4133510112079035,18.181786519204877,Limestone,219,No,27,44,101,0
711,712,4.901649339545589,18.87222885253236,Limestone,231,Yes,28,31,28,1
712,713,3.7262944047509947,14.499163073581844,Limestone,265,Yes,25,40,104,1
713,714,5.067954254196355,15.553084533405206,Granite,229,No,18,52,67,0
714,715,3.6339162732064434,11.08297141630752,Limestone,164,Yes,18,39,68,1
715,716,7.676022755201098,17.609632255742294,Shale,162,No,16,32,72,1
716,717,3.933287714398026,15.585469141388277,Sandstone,268,Yes,17,34,75,1
717,718,8.962921480872215,14.042162135575959,Shale,192,Yes,25,32,59,1
718,719,8.720337355086487,8.72130267294075,Granite,206,No,28,67,43,1
719,720,3.095631798294266,18.991219550133845,Limestone,166,Yes,28,42,117,1
720,721,9.270084488605802,15.385417044612872,Granite,181,Yes,27,48,91,1
721,722,3.2026102172035693,10.312293136315615,Sandstone,299,No,22,69,52,0
722,723,4.677520494702897,15.276633403796634,Granite,204,Yes,26,64,42,1
723,724,3.226723964431965,16.12956025087968,Limestone,162,No,23,53,96,0
724,725,5.350904409275212,14.309244040198706,Sandstone,196,Yes,20,53,73,1
725,726,6.597065679992902,16.61722085547227,Sandstone,236,No,24,46,72,0
726,727,8.576514083105966,14.977447375143491,Limestone,211,No,16,69,68,1
727,728,5.365870853288853,19.37323498438578,Limestone,178,No,16,39,97,0
728,729,7.938430172711817,8.644364943191682,Limestone,171,No,21,31,97,1
729,730,4.312531199832862,9.274948501634725,Granite,214,No,22,52,99,0
