,Gender,Age,Employment status,Company size,Annual income,Education level,Years of experience,Mental health support received from employer,label
329,Non-binary,18-24,Self-employed,1001-5000 employees,115000,Master's degree,6,No,1
330,Prefer not to say,55-64,Part-time,Less than 50 employees,40000,Master's degree,12,Not applicable,1
331,Male,18-24,Self-employed,51-200 employees,120000,Master's degree,8,No,1
332,Non-binary,18-24,Part-time,5001-10000 employees,40000,High school diploma,8,Not applicable,1
333,Prefer not to say,35-44,Self-employed,201-1000 employees,85000,Associate degree,14,Not applicable,1
334,Non-binary,55-64,Self-employed,51-200 employees,155000,Doctoral degree,10,Yes,1
335,Non-binary,45-54,Full-time,201-1000 employees,190000,Doctoral degree,20,Not applicable,1
336,Female,25-34,Self-employed,Less than 50 employees,160000,Associate degree,2,Not applicable,1
337,Non-binary,25-34,Self-employed,10001+ employees,105000,High school diploma,24,No,1
338,Female,35-44,Self-employed,201-1000 employees,75000,Master's degree,24,No,1
339,Non-binary,18-24,Full-time,201-1000 employees,175000,Bachelor's degree,26,No,1
340,Male,45-54,Self-employed,5001-10000 employees,45000,Doctoral degree,24,Yes,0
341,Prefer not to say,35-44,Full-time,Less than 50 employees,150000,Associate degree,6,No,1
342,Prefer not to say,25-34,Retired,5001-10000 employees,110000,High school diploma,8,No,1
343,Female,18-24,Full-time,1001-5000 employees,155000,Bachelor's degree,8,No,1
344,Non-binary,55-64,Part-time,1001-5000 employees,190000,Bachelor's degree,4,No,1
345,Non-binary,18-24,Retired,Less than 50 employees,175000,Associate degree,12,Yes,1
346,Prefer not to say,18-24,Part-time,Less than 50 employees,90000,High school diploma,26,No,1
347,Male,55-64,Retired,201-1000 employees,150000,Associate degree,2,Yes,1
348,Prefer not to say,25-34,Full-time,201-1000 employees,185000,Doctoral degree,8,Not applicable,0
349,Prefer not to say,45-54,Self-employed,201-1000 employees,190000,Associate degree,26,Not applicable,1
350,Prefer not to say,18-24,Self-employed,51-200 employees,55000,High school diploma,6,Yes,1
351,Prefer not to say,45-54,Self-employed,Less than 50 employees,120000,Master's degree,22,Not applicable,1
352,Male,65 and above,Self-employed,1001-5000 employees,185000,High school diploma,28,Yes,1
353,Female,18-24,Part-time,51-200 employees,190000,Master's degree,24,Not applicable,1
354,Female,35-44,Retired,201-1000 employees,160000,High school diploma,14,Yes,1
355,Female,45-54,Retired,201-1000 employees,60000,Associate degree,16,Not applicable,1
356,Male,18-24,Retired,5001-10000 employees,85000,Master's degree,4,Yes,1
357,Prefer not to say,45-54,Retired,10001+ employees,95000,High school diploma,28,Yes,1
358,Female,45-54,Full-time,201-1000 employees,190000,Associate degree,24,Not applicable,1
359,Female,25-34,Self-employed,1001-5000 employees,85000,Master's degree,2,Yes,1
360,Female,45-54,Part-time,1001-5000 employees,100000,Bachelor's degree,2,Yes,1
361,Non-binary,65 and above,Full-time,201-1000 employees,55000,Associate degree,6,Yes,1
362,Male,35-44,Full-time,10001+ employees,45000,High school diploma,10,Not applicable,1
363,Non-binary,25-34,Self-employed,201-1000 employees,170000,Bachelor's degree,12,Not applicable,1
364,Non-binary,35-44,Self-employed,201-1000 employees,105000,Master's degree,2,Yes,1
365,Non-binary,18-24,Full-time,51-200 employees,70000,Bachelor's degree,4,No,1
366,Prefer not to say,55-64,Self-employed,51-200 employees,140000,Bachelor's degree,22,No,1
367,Male,18-24,Part-time,10001+ employees,170000,Associate degree,22,Yes,1
368,Female,65 and above,Self-employed,Less than 50 employees,65000,Associate degree,2,Not applicable,1
369,Female,18-24,Part-time,5001-10000 employees,35000,Doctoral degree,24,Not applicable,1
370,Non-binary,65 and above,Full-time,51-200 employees,130000,High school diploma,26,Not applicable,1
371,Male,45-54,Part-time,10001+ employees,45000,High school diploma,4,No,1
372,Female,55-64,Self-employed,5001-10000 employees,135000,Doctoral degree,22,Not applicable,1
373,Non-binary,35-44,Retired,5001-10000 employees,100000,Doctoral degree,16,No,1
374,Male,18-24,Self-employed,201-1000 employees,70000,Doctoral degree,16,Yes,0
375,Female,25-34,Part-time,5001-10000 employees,100000,Associate degree,12,No,1
376,Male,35-44,Retired,5001-10000 employees,120000,Associate degree,26,Yes,1
377,Female,18-24,Self-employed,10001+ employees,60000,Bachelor's degree,6,Not applicable,1
378,Non-binary,45-54,Full-time,201-1000 employees,145000,Doctoral degree,12,Yes,1
379,Male,45-54,Full-time,51-200 employees,145000,Master's degree,4,No,1
380,Prefer not to say,25-34,Self-employed,201-1000 employees,160000,Associate degree,8,Yes,1
381,Male,45-54,Self-employed,5001-10000 employees,85000,Bachelor's degree,26,Not applicable,1
382,Female,65 and above,Self-employed,Less than 50 employees,50000,Bachelor's degree,18,Yes,1
383,Prefer not to say,25-34,Full-time,10001+ employees,105000,Bachelor's degree,14,Yes,1
384,Prefer not to say,45-54,Full-time,51-200 employees,145000,Doctoral degree,20,Not applicable,0
385,Prefer not to say,18-24,Part-time,5001-10000 employees,190000,Doctoral degree,16,Not applicable,0
386,Female,65 and above,Full-time,5001-10000 employees,135000,High school diploma,16,Yes,1
387,Prefer not to say,25-34,Part-time,1001-5000 employees,70000,Associate degree,14,No,1
388,Non-binary,18-24,Self-employed,201-1000 employees,70000,Doctoral degree,8,No,1
389,Non-binary,65 and above,Self-employed,51-200 employees,70000,Master's degree,16,Not applicable,1
390,Prefer not to say,55-64,Self-employed,10001+ employees,70000,Associate degree,6,Not applicable,1
391,Prefer not to say,25-34,Self-employed,201-1000 employees,160000,Bachelor's degree,14,Yes,1
392,Prefer not to say,55-64,Part-time,5001-10000 employees,90000,Associate degree,22,No,1
393,Male,35-44,Retired,201-1000 employees,125000,Doctoral degree,18,Not applicable,0
394,Female,35-44,Part-time,1001-5000 employees,40000,Bachelor's degree,20,Not applicable,1
395,Non-binary,35-44,Self-employed,201-1000 employees,110000,Doctoral degree,26,No,1
396,Female,55-64,Self-employed,5001-10000 employees,115000,Associate degree,14,No,1
397,Male,45-54,Retired,201-1000 employees,80000,Master's degree,12,Yes,1
398,Female,35-44,Self-employed,201-1000 employees,85000,High school diploma,12,Yes,1
399,Male,25-34,Self-employed,Less than 50 employees,70000,Bachelor's degree,10,No,1
400,Male,55-64,Retired,Less than 50 employees,140000,Bachelor's degree,16,No,1
401,Prefer not to say,35-44,Full-time,10001+ employees,35000,Doctoral degree,20,No,0
402,Male,45-54,Self-employed,Less than 50 employees,115000,Doctoral degree,18,Not applicable,0
403,Prefer not to say,18-24,Self-employed,10001+ employees,150000,Bachelor's degree,14,Yes,1
404,Non-binary,45-54,Self-employed,5001-10000 employees,85000,Associate degree,24,Yes,1
405,Female,65 and above,Self-employed,10001+ employees,180000,Bachelor's degree,6,Not applicable,1
406,Female,45-54,Retired,1001-5000 employees,180000,Bachelor's degree,4,Yes,1
407,Female,25-34,Full-time,Less than 50 employees,60000,Associate degree,22,Not applicable,1
408,Prefer not to say,18-24,Full-time,51-200 employees,190000,High school diploma,4,Not applicable,1
409,Female,35-44,Self-employed,1001-5000 employees,135000,High school diploma,24,Not applicable,1
410,Female,65 and above,Retired,5001-10000 employees,115000,Bachelor's degree,6,No,1
411,Male,65 and above,Part-time,1001-5000 employees,195000,Doctoral degree,8,Yes,0
412,Non-binary,18-24,Full-time,Less than 50 employees,165000,Bachelor's degree,12,Not applicable,1
413,Non-binary,55-64,Retired,10001+ employees,90000,Bachelor's degree,26,Yes,1
414,Male,65 and above,Full-time,5001-10000 employees,75000,High school diploma,6,Yes,1
415,Male,25-34,Full-time,1001-5000 employees,65000,Bachelor's degree,24,No,1
416,Female,55-64,Retired,Less than 50 employees,180000,High school diploma,12,Not applicable,1
417,Prefer not to say,45-54,Full-time,5001-10000 employees,190000,Master's degree,12,Not applicable,1
418,Female,65 and above,Self-employed,Less than 50 employees,130000,Bachelor's degree,20,Not applicable,1
419,Prefer not to say,65 and above,Retired,Less than 50 employees,30000,Associate degree,24,No,1
420,Non-binary,25-34,Full-time,5001-10000 employees,180000,Associate degree,26,Yes,1
421,Male,55-64,Full-time,10001+ employees,45000,Associate degree,6,Not applicable,1
422,Female,65 and above,Part-time,5001-10000 employees,80000,High school diploma,6,No,1
423,Non-binary,65 and above,Retired,Less than 50 employees,65000,Bachelor's degree,8,Not applicable,1
424,Male,25-34,Self-employed,51-200 employees,170000,Master's degree,16,Yes,1
425,Prefer not to say,65 and above,Part-time,201-1000 employees,110000,Master's degree,20,Not applicable,1
426,Female,25-34,Retired,51-200 employees,135000,Bachelor's degree,16,Not applicable,1
427,Female,55-64,Self-employed,Less than 50 employees,115000,Doctoral degree,8,No,1
428,Female,35-44,Retired,10001+ employees,150000,Master's degree,20,No,1
429,Non-binary,25-34,Self-employed,51-200 employees,130000,High school diploma,18,Not applicable,1
430,Male,18-24,Self-employed,1001-5000 employees,35000,Master's degree,10,No,1
431,Female,25-34,Full-time,5001-10000 employees,195000,Doctoral degree,6,No,1
432,Non-binary,45-54,Self-employed,1001-5000 employees,145000,Doctoral degree,28,Not applicable,1
433,Prefer not to say,35-44,Part-time,10001+ employees,95000,Associate degree,8,Yes,1
434,Prefer not to say,55-64,Retired,1001-5000 employees,150000,Master's degree,2,No,1
435,Female,45-54,Retired,1001-5000 employees,95000,Doctoral degree,18,Yes,1
436,Non-binary,25-34,Part-time,Less than 50 employees,185000,Associate degree,14,No,1
437,Non-binary,35-44,Retired,10001+ employees,165000,Bachelor's degree,2,No,1
438,Male,65 and above,Part-time,5001-10000 employees,55000,Doctoral degree,24,Not applicable,0
439,Male,45-54,Part-time,201-1000 employees,115000,High school diploma,28,Not applicable,1
440,Non-binary,25-34,Retired,1001-5000 employees,85000,Bachelor's degree,22,No,1
441,Prefer not to say,35-44,Part-time,10001+ employees,140000,High school diploma,22,No,1
442,Female,65 and above,Self-employed,1001-5000 employees,120000,High school diploma,20,No,1
443,Female,65 and above,Self-employed,Less than 50 employees,65000,Doctoral degree,14,Yes,1
444,Male,55-64,Full-time,201-1000 employees,110000,Bachelor's degree,20,Yes,1
445,Male,45-54,Full-time,51-200 employees,45000,Associate degree,14,Yes,1
446,Female,65 and above,Self-employed,201-1000 employees,35000,Master's degree,4,Not applicable,1
447,Male,55-64,Self-employed,10001+ employees,75000,Associate degree,6,Not applicable,1
448,Female,18-24,Full-time,10001+ employees,95000,Bachelor's degree,4,Yes,1
449,Non-binary,65 and above,Retired,Less than 50 employees,125000,Bachelor's degree,18,No,1
450,Non-binary,45-54,Self-employed,5001-10000 employees,35000,Associate degree,12,Not applicable,1
451,Female,35-44,Part-time,10001+ employees,175000,Associate degree,20,No,1
452,Female,18-24,Full-time,5001-10000 employees,85000,Doctoral degree,24,Yes,1
453,Female,35-44,Self-employed,10001+ employees,105000,Associate degree,26,Not applicable,1
454,Non-binary,25-34,Part-time,1001-5000 employees,40000,Bachelor's degree,20,Yes,1
455,Prefer not to say,65 and above,Retired,201-1000 employees,85000,High school diploma,18,Yes,1
456,Prefer not to say,65 and above,Part-time,Less than 50 employees,35000,Master's degree,6,Yes,1
457,Prefer not to say,35-44,Self-employed,Less than 50 employees,140000,Doctoral degree,16,Yes,0
458,Female,25-34,Full-time,Less than 50 employees,195000,Associate degree,26,Yes,1
459,Male,18-24,Retired,51-200 employees,125000,Associate degree,18,No,1
460,Non-binary,55-64,Retired,51-200 employees,85000,Master's degree,2,Not applicable,1
461,Male,65 and above,Retired,5001-10000 employees,195000,Associate degree,10,No,1
462,Prefer not to say,45-54,Part-time,201-1000 employees,75000,Doctoral degree,6,Not applicable,0
463,Female,55-64,Self-employed,1001-5000 employees,65000,Bachelor's degree,16,No,1
464,Non-binary,25-34,Part-time,201-1000 employees,190000,Doctoral degree,2,No,1
465,Male,55-64,Part-time,201-1000 employees,35000,Doctoral degree,26,Not applicable,0
466,Non-binary,45-54,Part-time,5001-10000 employees,100000,Bachelor's degree,4,No,1
467,Prefer not to say,65 and above,Part-time,201-1000 employees,110000,Bachelor's degree,6,Yes,1
468,Male,18-24,Retired,201-1000 employees,115000,Bachelor's degree,4,No,1
469,Male,45-54,Retired,201-1000 employees,120000,Bachelor's degree,12,Yes,1
470,Prefer not to say,45-54,Part-time,1001-5000 employees,55000,Associate degree,18,No,1
471,Prefer not to say,25-34,Part-time,10001+ employees,145000,Doctoral degree,22,No,0
472,Male,25-34,Self-employed,5001-10000 employees,135000,High school diploma,26,No,1
473,Non-binary,35-44,Full-time,5001-10000 employees,105000,Master's degree,20,Not applicable,1
474,Non-binary,18-24,Part-time,Less than 50 employees,120000,Bachelor's degree,10,Not applicable,1
475,Female,25-34,Retired,201-1000 employees,180000,Master's degree,22,Not applicable,1
476,Female,65 and above,Retired,5001-10000 employees,125000,Doctoral degree,26,Yes,1
477,Prefer not to say,25-34,Retired,201-1000 employees,40000,Bachelor's degree,4,No,1
478,Female,35-44,Part-time,10001+ employees,115000,Bachelor's degree,26,Yes,1
479,Non-binary,45-54,Part-time,10001+ employees,50000,Associate degree,14,Not applicable,1
480,Female,18-24,Retired,201-1000 employees,85000,Bachelor's degree,26,Yes,1
481,Non-binary,35-44,Retired,Less than 50 employees,125000,Doctoral degree,22,Yes,1
482,Female,25-34,Part-time,51-200 employees,150000,Master's degree,2,Not applicable,1
483,Female,45-54,Part-time,5001-10000 employees,145000,Bachelor's degree,16,Not applicable,1
484,Non-binary,55-64,Part-time,201-1000 employees,55000,Doctoral degree,18,Yes,1
485,Prefer not to say,65 and above,Part-time,201-1000 employees,170000,Doctoral degree,10,No,0
486,Prefer not to say,65 and above,Retired,51-200 employees,180000,Doctoral degree,18,Yes,0
487,Female,25-34,Full-time,1001-5000 employees,105000,Bachelor's degree,24,Not applicable,1
488,Prefer not to say,45-54,Part-time,Less than 50 employees,185000,Associate degree,20,Yes,1
489,Prefer not to say,25-34,Full-time,5001-10000 employees,135000,Associate degree,16,Not applicable,1
490,Male,65 and above,Full-time,Less than 50 employees,90000,Doctoral degree,2,Yes,0
491,Non-binary,18-24,Retired,51-200 employees,40000,Bachelor's degree,28,Not applicable,1
492,Female,45-54,Full-time,51-200 employees,170000,Associate degree,20,No,1
493,Prefer not to say,25-34,Part-time,1001-5000 employees,110000,Doctoral degree,20,No,0
494,Male,35-44,Part-time,1001-5000 employees,130000,Master's degree,6,No,1
495,Prefer not to say,25-34,Full-time,5001-10000 employees,45000,Master's degree,28,No,1
496,Non-binary,45-54,Self-employed,201-1000 employees,155000,Doctoral degree,10,Not applicable,1
497,Female,45-54,Part-time,51-200 employees,100000,Doctoral degree,26,Not applicable,1
498,Female,18-24,Self-employed,Less than 50 employees,160000,Master's degree,18,Not applicable,1
499,Non-binary,35-44,Full-time,1001-5000 employees,185000,Bachelor's degree,26,Not applicable,1
500,Male,35-44,Self-employed,5001-10000 employees,65000,High school diploma,16,Yes,1
501,Male,35-44,Part-time,10001+ employees,175000,High school diploma,16,No,1
502,Prefer not to say,55-64,Self-employed,10001+ employees,115000,High school diploma,20,Not applicable,1
503,Male,18-24,Self-employed,201-1000 employees,175000,High school diploma,20,Not applicable,1
504,Male,18-24,Full-time,51-200 employees,155000,Associate degree,28,No,1
505,Prefer not to say,35-44,Self-employed,10001+ employees,110000,Associate degree,2,Not applicable,1
506,Non-binary,25-34,Full-time,10001+ employees,40000,Doctoral degree,16,Not applicable,1
507,Female,18-24,Retired,Less than 50 employees,135000,Master's degree,20,No,1
508,Prefer not to say,45-54,Part-time,5001-10000 employees,115000,High school diploma,24,Yes,1
509,Female,65 and above,Retired,51-200 employees,180000,Bachelor's degree,6,No,1
510,Female,25-34,Part-time,201-1000 employees,120000,Associate degree,26,Yes,1
511,Prefer not to say,18-24,Full-time,10001+ employees,90000,Associate degree,6,Yes,1
512,Male,35-44,Full-time,201-1000 employees,175000,Bachelor's degree,18,Not applicable,1
513,Female,45-54,Self-employed,10001+ employees,65000,Master's degree,2,Not applicable,1
514,Prefer not to say,65 and above,Retired,10001+ employees,170000,High school diploma,24,Yes,1
515,Female,25-34,Self-employed,5001-10000 employees,145000,Doctoral degree,28,Not applicable,1
516,Non-binary,35-44,Part-time,10001+ employees,115000,High school diploma,6,Yes,1
517,Female,55-64,Part-time,5001-10000 employees,40000,Associate degree,8,Not applicable,1
518,Male,25-34,Full-time,Less than 50 employees,165000,Bachelor's degree,28,No,1
519,Female,55-64,Self-employed,5001-10000 employees,155000,Master's degree,16,Yes,1
520,Prefer not to say,55-64,Full-time,10001+ employees,90000,High school diploma,20,Yes,1
521,Male,65 and above,Self-employed,10001+ employees,150000,Associate degree,14,Not applicable,1
522,Prefer not to say,35-44,Part-time,201-1000 employees,195000,High school diploma,20,Not applicable,1
523,Non-binary,25-34,Part-time,5001-10000 employees,70000,Master's degree,12,Yes,1
524,Female,25-34,Part-time,5001-10000 employees,160000,Associate degree,22,Not applicable,1
525,Non-binary,65 and above,Retired,Less than 50 employees,190000,Doctoral degree,6,Not applicable,1
526,Male,18-24,Retired,Less than 50 employees,120000,Doctoral degree,20,Not applicable,0
527,Prefer not to say,35-44,Retired,Less than 50 employees,175000,Master's degree,24,Not applicable,1
528,Male,18-24,Full-time,10001+ employees,80000,Doctoral degree,24,Not applicable,0
529,Male,55-64,Retired,Less than 50 employees,140000,Associate degree,28,Yes,1
530,Female,65 and above,Self-employed,1001-5000 employees,50000,Associate degree,20,Yes,1
531,Male,45-54,Full-time,51-200 employees,40000,Bachelor's degree,24,No,1
532,Non-binary,45-54,Self-employed,5001-10000 employees,155000,High school diploma,8,Not applicable,1
533,Non-binary,55-64,Part-time,51-200 employees,85000,Associate degree,20,No,1
534,Prefer not to say,45-54,Self-employed,51-200 employees,125000,Bachelor's degree,10,No,1
535,Prefer not to say,25-34,Self-employed,Less than 50 employees,55000,High school diploma,24,Yes,1
536,Non-binary,18-24,Part-time,201-1000 employees,180000,Master's degree,24,No,1
537,Male,35-44,Full-time,Less than 50 employees,185000,High school diploma,28,Not applicable,1
538,Female,65 and above,Part-time,10001+ employees,110000,Associate degree,24,Yes,1
539,Non-binary,45-54,Retired,10001+ employees,50000,Bachelor's degree,20,Not applicable,1
540,Female,65 and above,Self-employed,10001+ employees,150000,Bachelor's degree,14,Not applicable,1
541,Prefer not to say,18-24,Full-time,5001-10000 employees,130000,Master's degree,16,Yes,1
542,Female,18-24,Part-time,10001+ employees,165000,Doctoral degree,8,Yes,1
543,Prefer not to say,65 and above,Retired,Less than 50 employees,180000,Bachelor's degree,18,No,1
544,Prefer not to say,25-34,Retired,Less than 50 employees,35000,Master's degree,22,Yes,1
545,Prefer not to say,18-24,Part-time,10001+ employees,60000,Doctoral degree,8,Yes,0
546,Male,45-54,Part-time,1001-5000 employees,35000,Doctoral degree,18,Yes,0
547,Male,18-24,Full-time,201-1000 employees,140000,Master's degree,10,No,1
548,Male,18-24,Retired,201-1000 employees,35000,Doctoral degree,4,Yes,0
549,Prefer not to say,35-44,Self-employed,5001-10000 employees,85000,Master's degree,8,No,1
550,Male,18-24,Full-time,Less than 50 employees,50000,Master's degree,14,No,1
551,Non-binary,18-24,Self-employed,51-200 employees,145000,Doctoral degree,8,Not applicable,1
552,Female,65 and above,Self-employed,10001+ employees,30000,Associate degree,8,No,1
553,Female,65 and above,Part-time,10001+ employees,135000,Bachelor's degree,14,No,1
554,Prefer not to say,18-24,Self-employed,Less than 50 employees,195000,Master's degree,14,Not applicable,1
555,Non-binary,55-64,Retired,1001-5000 employees,40000,Doctoral degree,10,Not applicable,1
556,Female,45-54,Self-employed,1001-5000 employees,70000,Associate degree,4,No,1
557,Prefer not to say,45-54,Retired,1001-5000 employees,165000,Bachelor's degree,20,No,1
558,Prefer not to say,55-64,Self-employed,Less than 50 employees,50000,High school diploma,28,Not applicable,1
559,Female,35-44,Full-time,10001+ employees,55000,Associate degree,26,No,1
560,Male,18-24,Self-employed,1001-5000 employees,45000,Associate degree,6,Not applicable,1
561,Prefer not to say,45-54,Full-time,10001+ employees,60000,Doctoral degree,14,Yes,0
562,Male,25-34,Retired,201-1000 employees,50000,Associate degree,16,Not applicable,1
563,Prefer not to say,25-34,Full-time,51-200 employees,135000,Master's degree,4,Not applicable,1
564,Female,65 and above,Retired,1001-5000 employees,110000,Doctoral degree,12,No,1
565,Female,65 and above,Retired,Less than 50 employees,50000,Associate degree,20,No,1
566,Non-binary,25-34,Self-employed,201-1000 employees,150000,Doctoral degree,12,No,1
567,Male,55-64,Full-time,51-200 employees,170000,Master's degree,26,No,1
568,Prefer not to say,35-44,Self-employed,5001-10000 employees,45000,Master's degree,2,Not applicable,1
569,Male,45-54,Part-time,51-200 employees,160000,Associate degree,6,No,1
570,Male,35-44,Part-time,51-200 employees,100000,Associate degree,2,No,1
571,Non-binary,65 and above,Part-time,201-1000 employees,105000,Doctoral degree,16,Yes,1
572,Non-binary,55-64,Full-time,1001-5000 employees,185000,Master's degree,28,No,1
573,Female,55-64,Self-employed,201-1000 employees,135000,Bachelor's degree,18,No,1
574,Prefer not to say,65 and above,Part-time,10001+ employees,100000,Bachelor's degree,26,Not applicable,1
575,Male,35-44,Full-time,201-1000 employees,155000,Doctoral degree,12,Yes,0
576,Male,55-64,Part-time,1001-5000 employees,170000,Bachelor's degree,18,No,1
577,Prefer not to say,18-24,Part-time,1001-5000 employees,65000,Bachelor's degree,8,No,1
578,Male,45-54,Retired,51-200 employees,175000,Bachelor's degree,4,Yes,1
579,Male,35-44,Full-time,10001+ employees,140000,High school diploma,8,Not applicable,1
580,Female,45-54,Self-employed,51-200 employees,65000,Associate degree,28,No,1
581,Prefer not to say,25-34,Part-time,1001-5000 employees,180000,Associate degree,22,Not applicable,1
582,Non-binary,18-24,Retired,201-1000 employees,150000,Master's degree,20,No,1
583,Prefer not to say,65 and above,Part-time,51-200 employees,95000,Doctoral degree,12,No,0
584,Female,18-24,Part-time,Less than 50 employees,85000,Doctoral degree,4,Yes,1
585,Female,18-24,Part-time,10001+ employees,90000,High school diploma,12,Not applicable,1
586,Prefer not to say,25-34,Full-time,Less than 50 employees,80000,Doctoral degree,18,Yes,0
587,Prefer not to say,65 and above,Self-employed,Less than 50 employees,165000,Doctoral degree,10,Yes,0
588,Male,35-44,Full-time,5001-10000 employees,85000,High school diploma,22,Yes,1
589,Female,45-54,Self-employed,10001+ employees,155000,High school diploma,18,Yes,1
590,Prefer not to say,25-34,Self-employed,10001+ employees,30000,Associate degree,24,Not applicable,1
591,Non-binary,45-54,Self-employed,51-200 employees,130000,Bachelor's degree,8,Yes,1
592,Male,18-24,Full-time,10001+ employees,165000,High school diploma,6,Yes,1
593,Female,18-24,Full-time,5001-10000 employees,115000,Bachelor's degree,20,No,1
594,Prefer not to say,55-64,Retired,5001-10000 employees,30000,Bachelor's degree,12,No,1
595,Male,25-34,Full-time,51-200 employees,85000,Associate degree,14,Yes,1
596,Prefer not to say,25-34,Part-time,5001-10000 employees,110000,Bachelor's degree,24,Not applicable,1
597,Female,45-54,Retired,Less than 50 employees,150000,Master's degree,14,Yes,1
598,Female,18-24,Retired,51-200 employees,45000,Doctoral degree,26,No,1
599,Non-binary,18-24,Full-time,1001-5000 employees,135000,Doctoral degree,10,Not applicable,1
600,Prefer not to say,35-44,Self-employed,51-200 employees,165000,Doctoral degree,26,Not applicable,0
601,Female,25-34,Self-employed,1001-5000 employees,195000,High school diploma,18,Yes,1
602,Prefer not to say,35-44,Self-employed,Less than 50 employees,135000,High school diploma,16,Not applicable,1
603,Prefer not to say,35-44,Part-time,10001+ employees,160000,High school diploma,22,Not applicable,1
604,Female,65 and above,Retired,51-200 employees,180000,Master's degree,20,Not applicable,1
605,Male,35-44,Full-time,51-200 employees,75000,Doctoral degree,12,No,0
606,Female,65 and above,Retired,51-200 employees,195000,Master's degree,18,No,1
607,Prefer not to say,18-24,Full-time,10001+ employees,140000,Doctoral degree,10,No,0
608,Non-binary,18-24,Full-time,10001+ employees,35000,Doctoral degree,8,Not applicable,1
609,Male,25-34,Retired,5001-10000 employees,100000,Doctoral degree,18,Not applicable,0
610,Male,25-34,Full-time,51-200 employees,100000,Doctoral degree,28,No,0
611,Prefer not to say,35-44,Self-employed,10001+ employees,160000,Master's degree,6,Not applicable,1
612,Female,65 and above,Part-time,201-1000 employees,180000,Doctoral degree,28,Yes,1
613,Male,18-24,Self-employed,201-1000 employees,190000,Associate degree,10,Not applicable,1
614,Prefer not to say,25-34,Part-time,1001-5000 employees,155000,Master's degree,14,Yes,1
615,Female,25-34,Full-time,Less than 50 employees,145000,Doctoral degree,18,Not applicable,1
616,Female,18-24,Self-employed,51-200 employees,55000,Master's degree,20,Yes,1
617,Prefer not to say,18-24,Part-time,10001+ employees,195000,Doctoral degree,12,Yes,0
618,Prefer not to say,35-44,Self-employed,10001+ employees,125000,Bachelor's degree,20,No,1
619,Female,18-24,Retired,5001-10000 employees,120000,Associate degree,8,No,1
620,Prefer not to say,45-54,Part-time,51-200 employees,125000,Master's degree,10,Not applicable,1
621,Male,18-24,Full-time,10001+ employees,55000,High school diploma,2,Yes,1
622,Prefer not to say,45-54,Part-time,51-200 employees,105000,Doctoral degree,2,Yes,0
623,Male,65 and above,Part-time,51-200 employees,125000,Bachelor's degree,28,Not applicable,1
624,Male,65 and above,Self-employed,5001-10000 employees,55000,Associate degree,16,No,1
625,Female,45-54,Self-employed,51-200 employees,165000,Bachelor's degree,12,No,1
626,Non-binary,25-34,Part-time,1001-5000 employees,190000,High school diploma,8,No,1
627,Male,45-54,Retired,10001+ employees,120000,Doctoral degree,24,No,0
628,Prefer not to say,18-24,Self-employed,5001-10000 employees,45000,Doctoral degree,18,Yes,0
629,Non-binary,35-44,Retired,5001-10000 employees,120000,High school diploma,2,Not applicable,1
630,Female,18-24,Part-time,201-1000 employees,55000,Associate degree,4,Yes,1
631,Male,35-44,Full-time,Less than 50 employees,180000,Associate degree,8,Not applicable,1
632,Male,35-44,Part-time,10001+ employees,195000,Doctoral degree,4,No,0
633,Non-binary,25-34,Part-time,5001-10000 employees,100000,Bachelor's degree,6,Yes,1
634,Male,55-64,Self-employed,1001-5000 employees,155000,High school diploma,22,Yes,1
635,Male,35-44,Full-time,201-1000 employees,75000,High school diploma,26,Not applicable,1
636,Female,45-54,Retired,1001-5000 employees,170000,Bachelor's degree,14,No,1
637,Male,18-24,Full-time,1001-5000 employees,110000,Bachelor's degree,16,No,1
638,Male,55-64,Full-time,1001-5000 employees,90000,Doctoral degree,2,Not applicable,0
639,Female,55-64,Full-time,1001-5000 employees,145000,High school diploma,18,No,1
640,Non-binary,25-34,Self-employed,Less than 50 employees,90000,Master's degree,6,No,1
641,Female,18-24,Full-time,201-1000 employees,35000,Bachelor's degree,4,Yes,1
642,Non-binary,18-24,Self-employed,1001-5000 employees,120000,Master's degree,24,No,1
643,Prefer not to say,45-54,Self-employed,5001-10000 employees,155000,Bachelor's degree,10,No,1
644,Prefer not to say,18-24,Full-time,51-200 employees,90000,Master's degree,12,Yes,1
645,Prefer not to say,25-34,Retired,1001-5000 employees,60000,Master's degree,20,Yes,1
646,Prefer not to say,25-34,Self-employed,201-1000 employees,195000,Doctoral degree,8,No,0
647,Male,18-24,Self-employed,51-200 employees,100000,Associate degree,10,No,1
648,Prefer not to say,45-54,Retired,10001+ employees,160000,Master's degree,6,Yes,1
649,Male,45-54,Self-employed,Less than 50 employees,180000,Bachelor's degree,12,Not applicable,1
650,Female,55-64,Full-time,1001-5000 employees,180000,Doctoral degree,24,No,1
651,Male,35-44,Self-employed,10001+ employees,115000,Associate degree,8,Yes,1
652,Non-binary,65 and above,Full-time,10001+ employees,110000,Associate degree,22,No,1
653,Female,45-54,Full-time,201-1000 employees,60000,High school diploma,24,No,1
654,Female,45-54,Self-employed,51-200 employees,30000,High school diploma,24,Not applicable,1
655,Female,65 and above,Full-time,201-1000 employees,35000,Master's degree,14,Not applicable,1
656,Female,25-34,Retired,51-200 employees,130000,Bachelor's degree,26,No,1
