,TA_ID,Years_of_Experience,Class_Size,Student_Satisfaction_Score,Attendance_Rate,Graded_Assignments_Score,Tutorial_Sessions_Conducted,Feedback_Count,label
601,602,0,40,1.2,71%,37,6,20,0
602,603,3,42,3.3,76%,42,17,14,0
603,604,6,30,1.7,94%,88,13,6,1
604,605,0,50,1.0,72%,5,9,8,0
605,606,0,34,4.7,93%,14,9,2,0
606,607,3,21,3.1,78%,56,5,17,0
607,608,6,60,1.4,95%,98,14,15,1
608,609,1,27,4.4,76%,11,15,10,0
609,610,2,25,4.9,79%,16,7,18,0
610,611,3,35,2.8,94%,31,4,8,0
611,612,2,52,1.2,99%,76,3,27,1
612,613,3,43,1.5,75%,58,7,19,0
613,614,0,34,2.5,86%,59,9,28,0
614,615,3,54,4.5,86%,64,9,10,0
615,616,2,49,1.6,95%,61,20,6,0
616,617,6,45,4.3,74%,98,7,14,1
617,618,0,24,1.1,84%,64,20,15,0
618,619,3,20,2.8,76%,57,11,17,0
619,620,6,46,3.6,70%,16,6,28,0
620,621,1,40,1.2,97%,4,13,23,0
621,622,4,25,3.5,84%,100,2,9,1
622,623,3,44,4.8,79%,3,7,12,0
623,624,1,37,1.6,74%,5,3,3,0
624,625,2,24,3.9,85%,94,12,16,1
625,626,5,52,3.4,88%,50,0,21,0
626,627,1,37,1.7,98%,42,5,25,0
627,628,4,28,1.0,85%,84,0,24,1
628,629,1,29,1.0,72%,48,3,12,0
629,630,5,56,3.1,74%,45,10,23,0
630,631,3,51,4.8,77%,15,17,29,0
631,632,1,50,3.6,87%,92,16,15,1
632,633,3,29,3.9,81%,91,8,21,1
633,634,2,55,3.0,79%,55,18,28,0
634,635,4,52,3.3,85%,59,20,29,0
635,636,5,34,1.5,98%,55,15,22,0
636,637,1,43,4.5,100%,33,10,24,0
637,638,4,52,4.0,92%,11,19,3,1
638,639,1,48,5.0,90%,91,5,9,1
639,640,6,53,2.2,92%,34,13,6,0
640,641,4,28,1.9,80%,88,3,0,1
641,642,1,57,1.5,94%,13,4,15,0
642,643,2,22,4.9,92%,7,3,12,0
643,644,5,37,4.1,95%,24,3,9,1
644,645,6,35,1.7,88%,65,7,14,0
645,646,5,23,3.2,93%,99,10,5,1
646,647,2,41,2.7,98%,82,20,17,1
647,648,3,49,1.6,74%,40,8,26,0
648,649,1,57,1.6,70%,55,8,9,0
649,650,2,42,4.9,87%,65,17,3,0
650,651,2,38,2.2,76%,27,17,16,0
651,652,6,27,4.8,74%,15,5,19,1
652,653,6,46,1.3,81%,15,16,18,0
653,654,4,24,2.8,70%,41,20,11,0
654,655,2,45,1.5,86%,77,3,17,1
655,656,2,46,1.0,72%,6,18,17,0
656,657,3,39,3.2,96%,96,3,1,1
657,658,6,34,1.5,80%,92,16,7,1
658,659,6,38,3.9,77%,56,0,8,0
659,660,0,52,3.8,100%,52,15,28,0
660,661,5,47,1.7,76%,6,2,14,0
661,662,4,56,4.8,92%,78,11,14,1
662,663,2,58,3.9,98%,31,18,20,0
663,664,0,40,2.2,77%,6,0,18,0
664,665,0,23,3.8,99%,33,13,15,0
665,666,2,38,3.9,93%,58,8,3,0
666,667,3,33,2.4,70%,46,1,12,0
667,668,5,51,2.5,79%,26,15,8,0
668,669,6,53,2.4,81%,51,6,7,0
669,670,6,38,3.5,82%,32,6,1,0
670,671,5,32,4.6,90%,60,12,26,1
671,672,5,47,1.7,87%,46,18,25,0
672,673,6,59,4.5,74%,95,18,24,1
673,674,1,54,1.1,79%,7,17,6,0
674,675,6,27,3.6,85%,49,19,9,0
675,676,5,50,2.7,75%,39,5,24,0
676,677,3,36,4.2,79%,65,14,11,0
677,678,2,21,3.9,86%,5,2,16,0
678,679,4,44,2.9,76%,27,1,27,0
679,680,1,36,3.6,74%,38,6,3,0
680,681,1,47,3.0,74%,45,18,11,0
681,682,2,57,4.2,97%,23,9,17,0
682,683,2,44,2.9,87%,12,5,15,0
683,684,4,32,3.1,81%,9,17,17,0
684,685,6,24,2.0,77%,29,4,17,0
685,686,5,60,3.4,99%,29,19,18,0
686,687,3,34,2.2,81%,13,19,15,0
687,688,6,30,3.3,100%,87,1,18,1
688,689,4,47,1.7,83%,24,4,13,0
689,690,5,34,1.6,81%,9,19,29,0
690,691,2,58,2.7,80%,68,19,4,0
691,692,4,33,2.7,70%,37,7,18,0
692,693,6,24,2.1,71%,56,4,25,0
693,694,5,42,1.5,82%,75,19,10,1
694,695,2,35,1.2,85%,86,15,10,1
695,696,1,49,1.1,72%,60,2,26,0
696,697,4,34,2.1,80%,24,12,28,0
697,698,0,45,2.8,80%,52,20,11,0
698,699,1,31,3.9,82%,53,5,25,0
699,700,0,51,2.9,80%,98,3,9,1
700,701,2,47,4.6,80%,46,20,7,0
701,702,0,42,1.1,98%,33,20,29,0
702,703,3,40,1.7,78%,13,9,20,0
703,704,5,22,2.4,84%,97,17,0,1
704,705,2,45,3.3,77%,71,19,27,0
705,706,0,20,4.4,85%,12,17,7,0
706,707,2,51,2.4,83%,73,11,23,1
707,708,3,26,2.1,96%,46,2,20,0
708,709,0,38,1.2,79%,29,11,17,0
709,710,0,42,4.3,78%,12,11,10,0
710,711,1,45,2.5,82%,55,1,28,0
711,712,0,33,3.3,86%,48,17,6,0
712,713,5,32,4.9,86%,35,1,24,1
713,714,0,57,1.0,81%,34,1,28,0
714,715,2,39,1.6,98%,58,20,16,0
715,716,3,51,4.1,70%,60,20,29,0
716,717,4,48,4.2,82%,1,7,4,1
717,718,6,39,4.1,99%,17,0,5,1
718,719,5,60,3.1,72%,43,12,24,0
719,720,3,60,4.9,92%,55,17,12,0
720,721,3,45,2.6,98%,9,7,22,0
721,722,0,49,3.4,94%,55,12,16,0
722,723,6,48,1.3,82%,16,6,0,0
723,724,4,30,2.6,89%,67,2,14,0
724,725,6,40,3.9,100%,41,9,12,0
725,726,4,37,2.0,83%,86,18,23,1
726,727,3,20,4.8,77%,47,12,1,0
727,728,6,59,3.7,89%,84,18,15,1
728,729,2,58,2.2,73%,88,7,12,0
729,730,4,54,4.1,91%,97,17,25,1
730,731,4,21,1.3,91%,58,14,0,0
731,732,6,42,4.9,100%,84,6,5,1
732,733,5,42,1.2,99%,85,6,12,1
733,734,3,59,4.7,90%,36,2,30,0
734,735,5,48,2.0,78%,12,17,8,0
735,736,5,21,4.0,80%,26,13,17,1
736,737,1,41,1.0,79%,2,19,28,0
737,738,4,22,2.0,72%,22,16,20,0
738,739,6,52,4.0,84%,46,8,28,1
739,740,5,26,3.1,99%,83,9,11,1
740,741,5,58,1.5,81%,18,7,29,0
741,742,3,55,2.6,99%,34,18,1,0
742,743,1,56,2.5,78%,95,19,8,0
743,744,3,43,3.3,91%,67,1,0,0
744,745,5,38,3.7,93%,0,19,12,0
745,746,3,58,4.4,91%,27,20,18,0
746,747,2,45,3.0,90%,48,11,26,0
747,748,0,35,2.6,74%,86,3,27,0
748,749,6,47,1.6,85%,3,2,24,0
749,750,1,41,4.2,77%,96,0,28,0
750,751,5,21,3.9,94%,11,14,15,0
751,752,5,29,2.6,94%,88,0,11,1
752,753,5,37,3.1,91%,28,8,20,0
753,754,6,31,3.7,92%,40,4,16,0
754,755,0,20,1.7,76%,73,19,26,0
755,756,1,23,1.1,89%,2,20,13,0
756,757,6,56,2.3,81%,78,18,25,1
757,758,5,40,3.4,76%,59,20,9,0
758,759,1,39,2.9,70%,10,5,23,0
759,760,5,25,3.8,97%,4,7,28,0
760,761,6,40,4.3,75%,73,2,7,1
761,762,4,24,3.0,92%,90,19,19,1
762,763,2,36,1.5,79%,8,1,6,0
763,764,2,36,4.4,91%,37,13,1,0
764,765,3,25,3.3,90%,98,10,11,1
765,766,6,52,4.0,81%,91,17,30,1
766,767,6,42,3.8,81%,58,6,8,0
767,768,6,23,4.9,73%,58,0,4,1
768,769,0,28,2.2,70%,49,7,15,0
769,770,5,48,3.8,99%,19,5,21,0
770,771,5,30,2.5,91%,35,10,19,0
771,772,3,58,2.6,87%,36,9,28,0
772,773,2,48,1.9,75%,74,1,1,0
773,774,3,51,2.4,85%,49,0,10,0
774,775,2,31,4.8,97%,18,3,24,0
775,776,2,54,2.2,71%,4,8,25,0
776,777,1,47,2.0,71%,88,12,21,0
777,778,3,27,3.3,78%,79,3,7,0
778,779,1,59,2.0,81%,49,2,20,0
779,780,3,58,2.9,77%,94,17,3,0
780,781,5,25,4.3,95%,13,1,23,1
781,782,6,29,1.9,81%,51,8,30,0
782,783,2,44,2.7,89%,16,6,30,0
783,784,5,32,3.4,75%,55,1,14,0
784,785,2,60,3.2,100%,75,11,15,1
785,786,4,53,4.9,88%,61,16,4,1
786,787,1,34,3.7,92%,98,13,11,1
787,788,5,35,4.0,85%,17,13,4,1
788,789,6,24,4.9,98%,70,14,30,1
789,790,0,42,2.7,89%,24,16,0,0
790,791,3,22,2.4,83%,93,3,7,1
791,792,5,27,1.2,78%,93,13,10,0
792,793,0,28,1.7,99%,66,6,21,0
793,794,4,25,1.9,74%,75,18,19,0
794,795,2,59,1.7,94%,46,1,1,0
795,796,1,35,4.0,86%,40,8,18,0
796,797,0,35,3.1,94%,81,14,23,1
797,798,1,45,3.7,80%,39,18,0,0
798,799,2,42,4.3,90%,9,9,14,0
799,800,1,45,1.9,86%,26,7,27,0
800,801,6,45,2.3,91%,20,12,20,0
801,802,1,39,3.8,91%,57,9,13,0
802,803,5,49,2.6,72%,68,16,5,0
803,804,3,29,1.1,90%,66,1,20,0
804,805,6,31,2.7,83%,52,17,2,0
805,806,0,55,4.6,94%,39,1,12,0
806,807,4,46,2.6,94%,83,18,2,1
807,808,1,59,2.3,81%,63,15,18,0
808,809,1,38,5.0,90%,7,14,1,0
809,810,5,28,3.6,83%,31,7,23,0
810,811,4,21,2.5,85%,96,6,14,1
811,812,6,55,1.4,71%,68,17,17,0
812,813,6,30,4.2,94%,27,8,9,1
813,814,6,30,3.8,94%,24,15,12,0
814,815,0,44,4.7,78%,55,1,7,0
815,816,2,51,1.9,97%,8,7,27,0
816,817,3,47,1.5,99%,44,20,23,0
817,818,4,33,3.9,73%,53,8,3,0
818,819,1,34,1.8,89%,90,8,15,1
819,820,6,25,1.7,82%,38,20,1,0
820,821,2,43,2.3,88%,27,0,7,0
821,822,3,59,4.3,82%,98,9,25,1
822,823,4,57,3.2,80%,43,2,23,0
823,824,1,58,1.2,79%,76,0,11,0
824,825,6,31,2.9,98%,8,10,25,0
825,826,0,44,3.7,91%,40,8,7,0
826,827,4,37,3.2,84%,32,13,10,0
827,828,6,41,3.3,93%,64,3,8,0
828,829,1,50,1.9,83%,81,5,14,1
829,830,2,38,4.4,75%,76,12,29,0
830,831,4,45,3.2,83%,16,0,26,0
831,832,3,49,3.9,78%,75,3,19,0
832,833,0,57,4.9,77%,79,11,9,0
833,834,4,60,2.7,79%,92,0,16,0
834,835,5,51,4.5,84%,51,8,9,1
835,836,4,59,1.0,86%,64,20,23,0
836,837,5,31,1.1,88%,92,14,29,1
837,838,0,34,3.4,77%,36,3,13,0
838,839,5,52,2.2,73%,60,0,26,0
839,840,2,21,2.0,80%,18,9,21,0
840,841,3,21,2.1,98%,81,6,5,1
841,842,1,56,2.3,91%,25,3,5,0
842,843,2,45,3.9,87%,40,3,13,0
843,844,1,32,3.3,75%,25,15,9,0
844,845,6,28,4.2,71%,4,0,21,1
845,846,5,32,4.3,87%,10,6,2,1
846,847,3,44,4.4,100%,97,12,15,1
847,848,2,39,2.7,72%,86,18,0,0
848,849,4,23,2.7,90%,97,5,4,1
849,850,2,30,4.7,73%,82,1,28,0
850,851,1,27,3.6,71%,35,17,8,0
851,852,4,48,1.3,81%,84,15,6,1
852,853,0,34,3.2,95%,5,8,1,0
853,854,2,28,2.4,71%,58,9,21,0
854,855,2,55,4.9,72%,99,20,22,0
855,856,4,55,1.1,94%,47,13,7,0
856,857,2,37,3.4,87%,77,16,20,1
857,858,4,43,3.9,77%,30,9,30,0
858,859,0,32,2.2,78%,11,4,10,0
859,860,2,27,4.9,88%,8,7,23,0
860,861,6,59,4.4,79%,26,5,12,1
861,862,1,50,4.7,92%,95,7,26,1
862,863,2,39,1.1,91%,90,20,13,1
863,864,4,21,3.3,85%,50,3,22,0
864,865,4,38,2.2,98%,19,1,8,0
865,866,1,34,4.4,71%,55,9,12,0
866,867,1,45,3.5,79%,31,1,16,0
867,868,4,57,3.2,76%,70,8,3,0
868,869,5,28,1.5,82%,51,16,22,0
869,870,4,54,3.2,85%,37,6,24,0
870,871,2,46,3.5,98%,11,14,5,0
871,872,4,31,4.8,95%,79,12,20,1
872,873,1,31,3.3,97%,44,6,29,0
873,874,2,60,4.9,88%,53,0,10,0
874,875,4,56,4.8,91%,4,10,8,1
875,876,0,32,3.6,92%,99,20,28,1
876,877,1,37,3.0,97%,17,12,25,0
877,878,5,51,2.9,83%,25,20,26,0
878,879,0,30,4.6,71%,54,13,25,0
879,880,2,30,1.1,84%,76,1,30,1
880,881,1,31,1.5,91%,0,0,25,0
881,882,2,49,1.4,78%,96,9,5,0
882,883,3,54,4.0,74%,70,4,27,0
883,884,1,30,2.4,84%,99,3,0,1
884,885,2,32,3.6,92%,41,9,1,0
885,886,0,59,3.4,91%,83,8,2,0
886,887,2,30,2.5,83%,99,19,9,1
887,888,4,22,3.1,98%,93,13,14,1
888,889,6,31,3.6,92%,87,7,29,1
889,890,4,47,4.8,84%,25,19,7,1
890,891,0,23,3.3,70%,84,12,23,0
891,892,2,36,3.5,88%,44,2,11,0
892,893,1,20,1.3,75%,72,4,20,0
893,894,0,33,4.8,92%,38,13,5,0
894,895,2,58,3.1,88%,86,13,2,0
895,896,3,24,4.2,79%,50,7,2,0
896,897,4,23,1.2,71%,15,9,4,0
897,898,0,39,2.7,90%,4,7,14,0
898,899,2,37,2.0,78%,75,15,27,0
899,900,3,36,2.1,78%,26,11,27,0
900,901,4,27,4.2,89%,75,9,0,1
901,902,3,44,3.5,77%,26,1,21,0
902,903,5,31,2.8,96%,76,11,10,1
903,904,6,42,1.0,99%,28,16,24,0
904,905,0,47,4.9,88%,0,11,5,0
905,906,2,22,4.8,95%,69,1,17,0
906,907,3,28,1.9,87%,57,8,8,0
907,908,6,28,1.2,100%,13,1,8,0
908,909,3,45,3.1,80%,22,12,13,0
909,910,3,58,4.8,81%,88,20,13,1
910,911,1,53,4.6,100%,61,17,20,0
911,912,6,44,3.3,71%,90,8,16,0
912,913,3,41,2.2,71%,62,0,21,0
913,914,2,24,2.3,76%,5,2,23,0
914,915,2,51,4.6,99%,82,6,1,0
915,916,2,31,3.0,89%,44,20,6,0
916,917,6,57,1.5,99%,92,5,14,1
917,918,4,27,2.0,76%,67,10,24,0
918,919,3,42,2.1,75%,23,16,11,0
919,920,6,51,1.5,74%,9,9,24,0
920,921,0,29,2.9,72%,51,20,23,0
921,922,4,38,4.7,93%,5,11,29,1
922,923,5,43,3.7,78%,90,7,21,0
923,924,1,39,1.3,78%,33,1,28,0
924,925,2,45,1.0,86%,1,13,12,0
925,926,1,25,2.1,77%,63,12,28,0
926,927,4,45,2.5,78%,96,5,8,0
927,928,6,44,4.1,94%,84,5,1,1
928,929,1,46,4.9,93%,61,16,22,0
929,930,4,52,2.6,90%,91,11,10,1
930,931,5,50,3.7,96%,76,8,28,1
931,932,6,34,5.0,92%,31,5,16,1
932,933,1,27,4.0,79%,91,15,10,0
933,934,2,52,3.5,76%,58,16,5,0
934,935,6,21,1.3,94%,3,7,21,0
935,936,5,46,2.3,84%,84,8,11,1
936,937,6,35,4.7,89%,10,6,19,1
937,938,6,24,1.8,77%,51,11,4,0
938,939,6,30,4.4,94%,73,16,28,1
939,940,3,41,3.8,90%,69,0,6,0
940,941,2,59,2.5,88%,13,9,27,0
941,942,5,50,3.1,73%,60,15,12,0
942,943,6,42,3.2,70%,81,20,14,0
943,944,2,20,3.9,90%,58,12,21,0
944,945,2,37,3.1,94%,45,4,3,0
945,946,3,32,1.5,70%,25,17,24,0
946,947,2,47,4.1,97%,3,3,23,0
947,948,4,42,2.6,82%,64,20,7,0
948,949,5,51,4.9,96%,78,6,10,1
949,950,1,54,2.1,74%,14,9,24,0
950,951,3,54,2.1,88%,87,16,11,1
951,952,0,24,2.3,92%,70,4,8,1
952,953,5,56,3.3,72%,15,14,27,0
953,954,4,39,4.6,88%,5,13,22,1
954,955,5,37,1.7,88%,54,1,7,0
955,956,3,26,2.1,98%,0,17,8,0
956,957,1,26,3.3,84%,71,15,2,1
957,958,3,29,2.8,77%,61,1,3,0
958,959,6,48,2.8,81%,81,15,20,1
959,960,4,33,4.3,80%,32,10,4,1
960,961,4,29,4.7,95%,58,17,20,1
961,962,5,41,2.9,96%,29,3,30,0
962,963,0,22,3.7,76%,31,19,27,0
963,964,2,29,4.2,79%,79,14,4,0
964,965,1,56,3.1,92%,75,4,17,1
965,966,5,48,2.2,70%,31,20,18,0
966,967,6,20,3.6,72%,18,13,21,0
967,968,4,30,3.3,87%,86,12,13,1
968,969,4,33,4.6,80%,71,15,22,1
969,970,1,22,1.2,90%,99,1,22,1
970,971,5,57,4.6,76%,62,4,25,1
971,972,6,27,3.1,73%,19,19,15,0
972,973,4,43,1.1,78%,69,5,11,0
973,974,0,50,2.4,97%,49,20,11,0
974,975,0,37,3.9,97%,64,0,18,0
975,976,2,23,3.0,82%,1,17,21,0
976,977,6,54,4.9,77%,50,17,0,1
977,978,5,36,2.7,91%,53,17,30,0
978,979,5,38,2.3,95%,60,7,26,0
979,980,5,38,4.3,70%,58,8,9,1
980,981,3,48,3.2,81%,78,18,17,1
981,982,1,55,3.7,72%,57,5,17,0
982,983,0,46,4.2,99%,18,2,29,0
983,984,0,59,3.7,71%,41,3,1,0
984,985,0,25,2.7,86%,6,0,8,0
985,986,0,48,1.5,81%,100,3,3,1
986,987,6,39,3.3,75%,43,20,3,0
987,988,2,30,4.6,84%,32,1,2,0
988,989,4,30,2.7,81%,75,14,27,1
989,990,5,29,4.6,95%,87,12,3,1
990,991,0,47,3.0,93%,24,6,19,0
991,992,5,55,3.5,80%,50,4,0,0
992,993,2,31,4.3,89%,8,6,24,0
993,994,6,52,3.3,74%,83,17,27,0
994,995,3,58,1.4,90%,2,1,9,0
995,996,5,51,4.9,77%,28,16,27,1
996,997,4,42,2.0,99%,38,2,13,0
997,998,3,47,3.8,71%,46,14,26,0
998,999,4,41,3.0,93%,43,10,13,0
999,1000,5,53,2.9,93%,97,17,4,0
