,language,file_size,lines_of_code,branches,comments,complexity,num_functions,num_dependencies,vcs,release_cycle,code_reviews,unit_test_coverage,mutation_score,code_smells,vulnerabilities,code_quality_metrics,label
284,Java,153,29,75,98,68,84,7,Git,daily,63,0.8,0.58,False,False,0.76,0
285,JavaScript,2155,200,6,90,51,71,12,SVN,monthly,20,0.61,0.46,True,True,0.51,1
286,Java,8769,73,94,100,70,74,20,Mercurial,weekly,50,0.97,0.49,True,False,0.62,1
287,Python,5068,591,5,14,97,47,67,Git,monthly,75,0.98,0.9,False,False,0.82,0
288,C++,1001,976,74,80,15,35,98,Git,daily,78,0.87,0.68,False,False,0.86,0
289,Python,4699,228,88,71,20,96,9,SVN,weekly,93,0.57,0.93,False,False,0.51,1
290,JavaScript,1819,247,95,14,48,74,29,SVN,monthly,25,0.77,0.79,True,True,0.99,0
291,JavaScript,3790,814,78,84,73,53,32,Git,monthly,73,0.9,0.77,True,False,0.85,0
292,JavaScript,2641,48,27,53,80,68,27,Mercurial,weekly,85,0.61,0.38,False,False,0.66,1
293,Python,5440,938,2,33,11,100,71,SVN,daily,17,0.74,0.69,False,True,0.6,1
294,C++,8902,720,58,31,65,36,94,SVN,weekly,96,0.66,0.16,True,False,0.92,0
295,JavaScript,9603,432,50,99,91,59,8,SVN,monthly,45,0.94,0.75,False,False,0.5,1
296,C++,4053,459,26,93,31,42,37,Mercurial,weekly,1,0.6,0.22,False,False,0.83,0
297,Python,3888,852,99,59,95,15,71,Git,weekly,36,0.51,0.54,False,True,0.63,1
298,C++,5066,616,75,9,12,96,70,SVN,monthly,62,0.71,0.46,False,True,0.87,0
299,Java,2111,678,39,90,94,98,94,Git,monthly,46,0.91,0.9,False,True,0.82,0
300,C++,4469,618,32,93,15,94,56,SVN,monthly,19,0.59,0.46,False,False,0.83,0
301,C++,4573,471,37,54,8,51,73,Git,weekly,60,0.54,0.4,True,True,0.73,0
302,Python,9206,108,75,25,59,57,98,SVN,daily,79,0.75,0.58,True,False,0.93,0
303,Java,2759,384,89,59,88,69,92,Git,monthly,58,0.69,0.72,False,False,0.68,1
304,JavaScript,3402,895,11,53,68,1,100,Git,weekly,95,0.63,0.68,True,True,0.63,1
305,JavaScript,6812,146,92,82,65,83,5,Git,weekly,33,0.93,0.9,True,True,0.84,0
306,Java,5325,614,78,3,52,68,15,Git,daily,95,0.55,0.44,True,True,0.57,1
307,Python,3079,751,1,19,63,61,75,Git,monthly,95,0.58,0.15,True,False,0.94,0
308,Python,8164,27,11,78,78,15,57,SVN,daily,34,0.82,0.77,True,False,0.72,0
309,C++,2580,644,12,94,15,10,80,SVN,weekly,88,0.64,0.92,False,True,0.77,0
310,Python,5042,329,76,93,31,76,27,Git,weekly,15,0.61,0.14,True,True,0.94,0
311,JavaScript,9701,608,15,27,30,68,94,SVN,monthly,45,0.88,0.32,False,True,0.94,0
312,Java,5723,151,12,13,52,76,66,SVN,monthly,54,0.6,0.12,False,False,0.89,0
313,Python,6812,965,62,98,28,60,16,Git,monthly,68,0.98,0.73,True,True,0.87,0
314,Python,6251,371,100,52,29,58,38,Mercurial,monthly,55,0.59,0.97,True,False,0.63,1
315,C++,592,498,55,50,70,100,43,SVN,weekly,78,0.63,0.67,False,True,0.99,0
316,JavaScript,1274,966,79,80,97,36,54,Git,weekly,6,1.0,0.45,True,True,0.58,1
317,Java,4087,46,72,51,87,87,94,Git,daily,45,0.55,0.62,True,False,0.96,0
318,Python,243,896,34,96,59,65,18,Mercurial,daily,31,0.62,0.44,True,True,0.5,1
319,C++,7050,287,59,2,85,56,52,SVN,weekly,28,0.87,0.66,False,True,0.62,1
320,Java,3646,462,24,40,86,71,44,SVN,weekly,72,0.75,0.24,False,False,0.5,1
321,JavaScript,778,698,8,28,37,84,41,Git,weekly,28,0.64,0.79,True,False,0.72,0
322,Python,5810,628,66,94,64,81,31,Mercurial,monthly,40,0.65,0.2,False,False,0.98,0
323,JavaScript,9881,464,44,64,81,22,68,Git,daily,33,0.66,0.86,False,False,0.95,0
324,C++,1451,649,85,74,63,42,95,SVN,monthly,74,0.72,0.66,False,False,0.68,1
325,Java,7318,582,2,59,15,75,31,SVN,daily,10,0.92,0.46,False,True,0.94,0
326,Python,5484,762,62,3,27,24,93,SVN,monthly,57,0.85,0.23,True,False,0.85,0
327,C++,9448,25,38,36,4,32,26,SVN,monthly,44,0.85,0.77,False,False,0.95,0
328,Python,5452,197,82,50,94,84,86,Mercurial,monthly,18,0.59,0.83,False,False,0.71,0
329,Python,4905,793,6,43,8,59,48,SVN,daily,27,0.65,0.26,False,True,0.64,1
330,Java,9645,240,26,73,8,37,25,Git,weekly,79,0.71,0.18,True,False,0.54,1
331,Java,2976,446,95,58,27,92,90,Git,monthly,95,0.83,0.49,True,False,0.94,0
332,JavaScript,7226,862,5,34,72,48,72,Git,monthly,86,0.8,0.25,False,False,0.86,0
333,Java,9377,756,49,36,30,43,97,SVN,weekly,52,0.94,0.94,True,True,0.59,1
334,Java,8928,778,79,1,14,73,51,SVN,daily,81,0.72,0.23,False,True,0.99,0
335,C++,9525,695,70,78,24,38,75,SVN,monthly,99,0.59,0.46,False,True,0.72,0
336,Java,3709,389,28,37,45,55,43,Git,weekly,16,0.74,0.59,True,False,0.98,0
337,C++,5346,899,58,9,66,35,82,SVN,weekly,52,0.86,0.8,True,False,0.89,0
338,JavaScript,6621,996,20,99,22,97,84,SVN,daily,12,0.84,0.5,False,True,0.78,0
339,Python,3889,934,77,69,70,33,63,Git,monthly,19,0.52,0.45,True,False,0.53,1
340,Java,5435,293,47,59,61,15,63,Mercurial,weekly,75,0.57,0.71,False,False,0.98,0
341,C++,5749,728,63,1,52,80,43,Mercurial,weekly,8,0.57,0.11,False,False,1.0,0
342,JavaScript,8120,741,46,48,18,94,85,Git,monthly,69,0.9,0.6,True,True,0.61,1
343,Java,3970,536,50,82,19,39,58,SVN,weekly,27,0.53,0.49,True,False,0.9,0
344,JavaScript,3519,632,50,51,8,71,13,Mercurial,daily,57,0.76,0.54,True,True,0.72,0
345,Python,2445,828,40,85,79,21,21,Mercurial,weekly,5,0.79,0.35,True,False,0.85,0
346,JavaScript,4096,218,88,80,42,68,81,Mercurial,monthly,67,0.81,0.16,True,False,0.86,0
347,Java,9026,704,60,56,48,38,73,Git,weekly,73,0.78,0.95,False,False,0.6,1
348,Java,1032,30,18,51,66,21,10,Mercurial,daily,33,0.79,0.66,True,False,0.71,0
349,Python,1154,380,51,11,72,13,25,Mercurial,daily,31,0.68,0.94,True,True,0.9,0
350,JavaScript,8614,181,48,13,72,21,58,SVN,monthly,70,0.69,0.23,False,True,0.7,0
351,Python,428,511,78,66,90,48,53,Mercurial,daily,11,0.92,0.15,True,True,0.53,1
352,Python,5415,407,71,36,76,3,77,SVN,monthly,64,0.58,0.84,False,True,0.55,1
353,JavaScript,6502,197,78,36,98,10,85,Git,weekly,26,0.75,0.95,True,False,0.94,0
354,Python,9409,842,82,23,50,34,55,Git,weekly,78,0.64,0.27,False,True,0.97,0
355,JavaScript,2367,957,27,63,76,52,51,SVN,monthly,89,0.78,0.16,True,True,0.79,0
356,Java,2897,818,16,71,54,24,10,Mercurial,daily,41,0.61,0.13,True,False,0.81,0
357,C++,8643,509,27,92,98,11,95,SVN,daily,17,0.81,0.58,True,False,0.51,1
358,Python,7468,581,90,89,72,9,79,Git,daily,60,0.52,0.12,False,False,0.83,0
359,C++,8478,658,67,2,43,97,96,Git,weekly,75,0.52,0.17,True,True,0.94,0
360,Python,5663,463,97,34,7,30,85,SVN,daily,5,0.97,0.59,True,True,0.59,1
361,JavaScript,1614,441,12,12,92,47,83,Git,daily,92,0.74,0.52,False,False,0.8,0
362,Python,1815,706,89,1,12,80,59,Git,weekly,66,0.69,0.82,False,False,0.65,1
363,C++,8271,219,16,88,59,52,71,Git,weekly,6,0.82,0.73,True,True,0.9,0
364,JavaScript,8796,818,38,34,29,76,81,Mercurial,monthly,54,0.96,0.61,True,True,0.86,0
365,Python,9513,612,51,67,53,35,20,SVN,daily,29,0.54,0.35,True,False,0.68,1
366,Java,2051,544,32,27,4,25,5,Git,monthly,23,0.8,0.63,False,True,0.57,1
367,C++,5308,132,94,77,66,93,55,Git,weekly,79,0.64,0.93,True,True,0.53,1
368,JavaScript,2622,935,21,88,78,28,76,Git,daily,20,0.94,0.23,False,True,0.56,1
369,C++,4438,712,20,15,95,35,39,Git,monthly,6,0.88,0.59,False,False,0.68,1
370,JavaScript,5344,972,59,41,94,11,59,SVN,weekly,75,0.97,0.76,False,False,0.89,0
371,Python,143,95,91,85,46,18,96,Mercurial,weekly,20,0.59,0.5,False,True,0.6,1
372,Java,3740,399,77,98,60,100,99,SVN,weekly,50,0.98,0.52,False,False,0.86,0
373,C++,4094,124,29,38,37,13,24,Git,monthly,92,0.97,0.25,False,False,0.72,0
374,C++,2097,406,82,73,64,29,50,SVN,weekly,92,0.79,0.46,False,False,0.89,0
375,Python,1062,591,38,68,14,94,53,Git,daily,97,1.0,0.88,True,True,0.81,0
376,Java,1110,969,31,89,35,90,99,SVN,weekly,65,0.53,0.11,False,False,0.55,1
377,Java,5453,878,15,68,9,47,88,SVN,weekly,81,0.92,0.54,False,True,0.56,1
378,Java,3663,22,79,43,28,57,54,SVN,monthly,58,1.0,0.4,False,True,0.76,0
379,C++,2622,254,91,50,84,3,65,Mercurial,monthly,17,0.6,0.95,True,False,0.76,0
380,C++,1257,18,68,86,63,81,43,SVN,daily,98,0.98,0.78,False,False,0.71,0
381,JavaScript,3791,272,21,12,13,1,91,SVN,monthly,13,0.6,0.5,False,True,0.72,0
382,Python,2657,989,35,95,81,87,74,Mercurial,weekly,73,0.6,0.5,True,False,0.9,0
383,Java,1674,787,90,54,34,17,36,SVN,weekly,100,0.75,0.35,True,True,0.78,0
384,C++,7724,973,11,19,50,44,94,SVN,daily,100,0.92,0.62,False,True,0.99,0
385,C++,1779,1000,8,63,53,11,30,Mercurial,weekly,24,0.58,0.46,False,False,0.71,0
386,Java,956,618,18,83,12,36,91,Mercurial,weekly,47,0.74,0.77,True,False,0.85,0
387,Java,4408,968,56,16,97,67,32,SVN,monthly,21,0.68,0.57,True,False,0.67,1
388,JavaScript,2300,274,67,95,57,99,53,SVN,monthly,90,1.0,0.48,False,False,0.78,0
389,Java,7881,496,46,63,71,96,13,Git,monthly,60,0.82,0.51,True,False,0.72,0
390,C++,3131,242,3,78,80,87,74,Mercurial,weekly,75,0.76,0.9,False,True,0.88,0
391,JavaScript,637,450,18,76,3,81,95,Git,weekly,35,0.77,0.51,False,True,0.79,0
392,JavaScript,4184,435,35,67,23,97,13,Git,monthly,58,0.6,0.65,False,False,0.81,0
393,JavaScript,1818,747,73,10,39,41,73,Git,monthly,15,0.85,0.23,True,False,0.72,0
394,Python,7031,124,92,3,49,73,48,Mercurial,monthly,94,0.74,0.79,True,False,0.67,1
395,C++,9564,283,73,48,85,19,71,Git,daily,46,0.6,0.44,False,False,0.67,1
396,C++,5490,807,68,82,31,64,71,Git,daily,57,0.63,0.79,False,False,0.64,1
397,C++,4331,750,98,53,33,17,68,Git,daily,99,0.71,0.17,False,False,0.69,1
398,JavaScript,164,38,23,11,55,52,11,SVN,weekly,95,0.55,0.94,False,False,0.8,0
399,Python,7660,507,20,73,80,62,68,Git,monthly,24,0.75,0.93,True,False,0.93,0
400,C++,3810,292,13,74,32,96,16,Mercurial,weekly,23,0.85,0.59,False,True,0.61,1
401,JavaScript,7182,254,31,83,85,42,68,Git,monthly,19,0.91,0.24,True,True,0.77,0
402,Python,225,932,93,60,83,46,74,Git,daily,24,0.74,0.43,True,False,0.99,0
403,C++,4255,66,56,77,98,34,61,SVN,daily,2,0.72,0.56,True,True,0.78,0
404,C++,3054,403,79,69,6,44,32,SVN,monthly,53,0.86,0.15,False,False,0.72,0
405,Python,2103,853,43,85,21,79,65,Mercurial,daily,39,0.54,0.89,False,True,0.62,1
406,C++,5545,525,20,29,82,20,42,Git,weekly,38,0.93,0.5,False,True,0.6,1
407,Java,4640,169,37,61,49,44,7,Mercurial,monthly,31,0.62,0.57,False,False,0.52,1
408,C++,272,646,64,55,91,52,44,SVN,daily,33,0.56,0.43,True,False,0.82,0
409,Java,9690,348,49,99,44,84,33,Mercurial,monthly,33,0.76,0.7,True,True,0.78,0
410,JavaScript,3357,1000,72,49,4,89,87,Mercurial,monthly,80,0.95,0.51,False,True,0.69,1
411,Python,4843,989,90,17,28,83,23,Mercurial,daily,21,0.65,0.29,False,False,0.63,1
412,JavaScript,6049,58,64,35,6,89,76,SVN,daily,28,0.74,0.95,False,True,0.61,1
413,Python,1425,791,56,92,11,26,95,Mercurial,weekly,83,0.87,0.93,False,True,0.9,0
414,Java,6023,450,88,53,40,98,92,SVN,monthly,38,0.81,0.28,False,True,0.59,1
415,JavaScript,4329,299,83,80,100,14,78,Mercurial,weekly,41,0.84,0.13,False,True,0.75,0
416,Python,5505,47,1,26,98,75,13,Mercurial,weekly,8,0.74,0.93,False,False,0.61,1
417,Java,3140,276,82,83,63,89,82,Mercurial,daily,46,0.77,0.64,False,True,0.81,0
418,Java,603,880,84,17,88,33,22,SVN,monthly,1,0.88,0.58,False,False,0.81,0
419,Python,6458,456,17,72,74,93,59,Mercurial,monthly,66,0.87,0.47,True,True,0.8,0
420,Java,8505,175,41,96,55,91,88,Mercurial,monthly,1,0.74,0.78,False,False,0.62,1
421,JavaScript,3219,292,99,66,54,89,86,SVN,weekly,84,0.98,0.77,False,True,0.77,0
422,JavaScript,648,752,44,17,36,44,65,Mercurial,weekly,78,0.95,0.51,False,False,0.6,1
423,C++,7755,638,89,44,80,84,83,SVN,monthly,6,0.88,0.31,True,False,0.95,0
424,JavaScript,6882,994,50,63,23,18,33,Git,daily,35,1.0,0.9,True,True,0.9,0
425,C++,2592,190,41,15,38,15,38,Mercurial,monthly,5,0.87,0.22,False,True,0.72,0
426,JavaScript,924,852,19,41,1,30,70,Git,weekly,70,0.72,0.23,True,True,0.63,1
427,C++,4741,531,42,76,3,84,55,Git,daily,84,0.97,0.53,False,False,0.76,0
428,C++,4801,839,79,69,44,76,40,Mercurial,daily,48,0.98,0.87,False,True,0.52,1
429,Python,4554,614,89,39,77,95,80,Git,weekly,45,0.69,0.59,True,True,0.51,1
430,Python,5272,428,69,1,93,77,62,Git,weekly,15,0.65,0.49,True,False,0.56,1
431,C++,6396,177,65,96,40,80,43,Git,weekly,33,0.73,0.17,True,False,0.69,1
432,Java,781,350,95,60,11,62,96,SVN,monthly,71,0.85,0.44,True,True,0.98,0
433,Java,9629,169,5,96,5,18,30,Mercurial,daily,63,0.88,0.8,True,True,0.97,0
434,JavaScript,1471,928,16,37,58,50,1,SVN,daily,93,0.85,0.35,False,True,0.54,1
435,Python,882,289,4,89,1,8,88,Mercurial,monthly,5,0.9,0.67,False,False,0.58,1
436,Java,412,220,47,5,97,91,90,Mercurial,monthly,67,0.8,0.98,True,True,1.0,0
437,Java,8951,592,17,91,51,37,34,SVN,monthly,35,0.64,0.48,False,False,0.75,0
438,Python,1188,852,36,43,52,72,33,Mercurial,monthly,88,0.71,0.97,True,False,0.69,1
439,Python,5532,246,3,47,2,54,28,Mercurial,daily,87,0.75,0.54,True,True,0.95,0
440,Python,6291,228,14,100,83,13,14,Mercurial,daily,12,0.98,0.78,False,True,0.6,1
441,Java,6394,352,81,71,23,88,38,Mercurial,weekly,3,0.72,0.26,False,False,0.99,0
442,Python,7903,810,13,49,49,8,66,Git,weekly,25,0.74,0.9,True,True,0.85,0
443,Java,7905,639,2,68,19,31,67,Mercurial,weekly,16,0.95,0.17,False,True,0.81,0
444,JavaScript,3883,76,45,12,77,30,60,Mercurial,weekly,36,0.82,0.22,True,False,0.96,0
445,Python,8,147,42,92,48,41,67,SVN,monthly,74,0.96,0.64,True,False,0.87,0
446,Python,9942,463,3,17,6,33,5,Git,monthly,47,0.9,0.37,True,True,0.56,1
447,JavaScript,3572,283,46,51,13,89,29,Mercurial,monthly,10,0.66,0.3,False,True,0.86,0
448,JavaScript,3651,932,80,27,9,11,38,Mercurial,weekly,30,0.71,0.31,True,False,0.59,1
449,Java,859,319,51,16,96,19,82,SVN,daily,88,0.59,0.3,False,False,0.55,1
450,Python,9676,854,6,30,66,1,45,Mercurial,daily,87,0.78,0.71,False,True,0.54,1
451,JavaScript,8819,846,12,98,25,94,98,Git,weekly,74,0.96,0.52,True,True,0.94,0
452,Java,5989,733,59,31,22,20,19,SVN,weekly,61,0.78,0.45,False,True,0.91,0
453,C++,2425,213,92,31,33,35,22,SVN,weekly,11,0.9,0.43,True,False,1.0,0
454,Python,1435,370,89,74,16,15,60,Git,weekly,63,0.94,0.12,False,False,0.85,0
455,JavaScript,7118,127,61,33,66,100,49,Mercurial,daily,83,0.58,0.75,False,True,0.69,1
456,Python,5694,521,9,25,94,79,56,SVN,weekly,51,0.76,0.39,False,False,0.51,1
457,Java,8336,818,55,100,63,6,15,Git,monthly,85,0.8,0.62,False,True,0.5,1
458,Python,665,203,14,7,60,84,34,Mercurial,monthly,29,0.61,0.11,False,False,0.92,0
459,Python,6721,385,45,77,65,11,19,Git,monthly,55,0.9,0.92,False,True,0.61,1
460,JavaScript,2690,113,60,66,62,94,89,Git,monthly,12,0.6,0.55,False,False,0.95,0
461,Python,9860,103,15,55,43,37,8,Git,weekly,86,0.95,0.41,True,False,0.71,0
462,Java,7120,779,31,94,50,19,73,Git,weekly,40,0.86,0.17,True,False,0.96,0
463,Java,1466,492,63,17,15,42,93,SVN,daily,85,0.69,0.45,False,True,0.76,0
464,C++,8496,915,91,42,30,6,29,Mercurial,daily,74,0.6,0.29,False,True,0.58,1
465,Java,2221,764,89,36,30,89,37,SVN,monthly,76,0.66,0.74,True,True,0.88,0
466,C++,362,558,57,30,6,93,64,Git,monthly,19,0.59,1.0,False,False,0.59,1
467,Java,7096,953,94,14,87,83,91,Git,weekly,64,0.62,0.58,True,True,0.77,0
468,JavaScript,2313,373,88,82,26,92,71,Git,daily,29,0.95,0.52,True,True,0.62,1
469,Python,6115,168,62,34,36,11,38,Mercurial,monthly,81,0.66,0.71,False,False,0.68,1
470,JavaScript,6987,956,12,7,1,52,85,Git,daily,1,0.91,0.28,True,True,0.52,1
471,C++,3903,94,23,86,7,24,83,Mercurial,daily,17,0.59,0.26,False,True,0.66,1
472,C++,6986,781,75,97,8,6,44,Mercurial,weekly,49,0.92,0.85,False,False,0.88,0
473,C++,6397,230,26,45,31,48,21,Mercurial,weekly,30,0.65,0.16,True,False,0.63,1
474,JavaScript,7403,756,8,11,10,29,85,SVN,monthly,81,0.91,0.31,False,False,0.9,0
475,JavaScript,4602,248,56,97,35,12,71,SVN,monthly,27,0.54,0.99,False,True,0.91,0
476,Python,130,998,89,50,37,86,96,SVN,daily,56,0.88,0.16,False,True,0.56,1
477,Java,3891,150,54,70,86,71,96,SVN,monthly,76,0.85,0.95,True,True,0.79,0
478,C++,4282,659,12,59,83,75,18,Git,weekly,15,0.58,0.14,True,False,0.96,0
479,Python,1271,275,89,82,75,31,99,Git,daily,53,0.59,0.59,True,False,0.87,0
480,Python,494,141,9,64,56,55,56,SVN,daily,67,0.68,0.94,False,True,0.76,0
481,JavaScript,1543,718,2,52,60,80,56,SVN,daily,67,0.61,0.17,False,False,0.84,0
482,Python,7175,939,11,50,70,3,65,Git,monthly,50,0.91,0.24,False,True,0.61,1
483,Python,25,884,5,59,63,39,72,SVN,monthly,38,0.79,0.55,True,True,0.75,0
484,C++,5676,824,79,92,12,85,24,Git,monthly,36,0.61,0.54,False,True,0.59,1
485,Java,5984,651,84,20,56,42,97,Mercurial,daily,29,0.9,0.37,True,False,0.83,0
486,JavaScript,8306,975,34,57,50,77,39,SVN,weekly,58,0.94,0.22,False,True,0.59,1
487,JavaScript,8725,610,5,26,63,2,61,Mercurial,daily,13,0.73,0.68,True,True,0.64,1
488,JavaScript,2352,468,59,66,32,82,86,Git,weekly,7,0.66,0.73,True,False,0.51,1
489,C++,8054,201,70,98,55,37,66,SVN,daily,72,0.64,0.36,False,False,0.67,1
490,Java,6305,810,96,15,4,37,78,Git,daily,92,0.64,0.99,False,True,0.91,0
491,Python,4331,125,10,16,49,52,67,Mercurial,daily,19,0.7,0.41,False,True,0.94,0
492,Java,6517,505,50,4,22,51,51,Mercurial,daily,22,0.83,0.32,True,False,0.88,0
493,C++,7531,984,23,2,62,17,39,Mercurial,daily,87,0.55,0.75,True,True,0.53,1
494,Python,8874,143,29,50,93,10,74,SVN,monthly,72,0.81,0.16,False,False,0.81,0
495,JavaScript,3208,476,80,18,99,99,3,Git,daily,44,0.99,0.53,False,True,0.88,0
496,JavaScript,8854,209,90,39,58,52,26,SVN,monthly,56,0.78,0.79,False,False,0.91,0
497,C++,8506,127,39,87,21,54,41,SVN,daily,3,0.68,0.37,True,True,0.76,0
498,C++,3468,903,78,28,35,27,4,Git,weekly,66,0.85,0.81,True,True,0.52,1
499,C++,3782,351,37,85,92,3,4,Git,daily,22,0.52,0.74,True,False,0.56,1
500,Python,2201,366,74,66,17,30,57,Mercurial,weekly,26,0.95,0.32,True,False,0.69,1
501,Python,8587,683,64,4,38,64,39,SVN,daily,91,0.55,0.9,True,False,0.95,0
502,Python,5511,532,58,15,59,26,86,SVN,monthly,45,0.72,0.17,True,True,0.97,0
503,Java,4555,796,85,6,3,6,50,Git,weekly,93,0.9,0.27,False,False,0.84,0
504,Java,5554,104,17,21,68,6,40,SVN,monthly,64,0.63,0.18,False,True,0.99,0
505,Java,9378,685,25,6,6,67,63,Mercurial,monthly,72,0.92,0.97,True,False,0.89,0
506,Java,3869,375,20,40,81,86,64,SVN,monthly,24,0.67,0.64,False,True,0.93,0
507,JavaScript,2960,176,37,14,77,8,48,Mercurial,weekly,64,0.98,0.78,True,True,0.69,1
508,Python,1890,960,91,60,53,87,7,SVN,weekly,17,0.64,0.83,False,True,0.62,1
509,JavaScript,5346,700,34,96,63,12,64,Git,weekly,36,0.68,0.83,False,True,0.92,0
510,JavaScript,4510,22,70,30,32,97,96,Mercurial,monthly,74,0.67,0.79,True,True,0.7,0
511,C++,4400,99,73,89,95,9,96,SVN,monthly,95,0.81,0.47,True,False,0.69,1
512,Python,7888,415,17,53,60,12,22,Git,monthly,34,0.64,0.64,False,False,0.81,0
513,JavaScript,6008,755,68,96,30,48,32,Mercurial,weekly,92,0.65,0.17,False,False,0.91,0
514,C++,9302,735,32,85,84,2,47,Git,daily,46,0.94,0.93,True,False,0.77,0
515,Java,6694,761,84,36,67,88,6,Mercurial,monthly,52,0.74,0.27,True,True,0.72,0
516,Python,7769,570,36,45,74,37,53,Mercurial,monthly,66,0.92,0.97,True,False,0.9,0
517,C++,9459,580,51,95,96,15,65,Mercurial,monthly,3,0.73,0.46,False,False,0.57,1
518,JavaScript,5518,747,50,92,94,72,96,SVN,weekly,46,0.91,0.27,True,True,0.76,0
519,JavaScript,7833,254,50,31,96,70,49,Mercurial,daily,3,0.89,0.53,False,False,0.86,0
520,C++,7448,932,99,21,39,79,65,Git,monthly,4,0.62,0.84,False,False,0.99,0
521,Java,2752,587,79,41,73,76,54,Mercurial,daily,47,0.88,0.52,False,False,0.94,0
522,JavaScript,9789,804,85,67,63,81,97,Git,monthly,33,0.55,0.62,False,False,0.61,1
523,C++,4289,829,55,21,53,37,47,SVN,monthly,72,0.54,0.45,True,False,0.54,1
524,JavaScript,4605,213,16,50,74,37,12,SVN,weekly,19,0.66,0.82,False,True,0.84,0
525,JavaScript,924,901,1,36,17,68,60,Git,daily,82,0.7,0.27,False,True,0.56,1
526,Python,4669,627,63,7,94,13,96,Mercurial,weekly,85,0.67,0.33,True,True,0.51,1
527,Java,7417,677,2,62,86,87,22,Git,weekly,43,0.67,0.4,True,True,0.95,0
528,C++,7674,81,39,21,25,17,12,Git,weekly,98,0.66,0.88,False,False,0.51,1
529,JavaScript,4470,640,54,59,39,49,24,SVN,daily,74,0.9,0.32,False,False,0.74,0
530,JavaScript,474,629,22,44,50,85,46,SVN,weekly,12,0.51,0.54,False,True,0.56,1
531,Python,2812,442,44,6,29,7,49,Mercurial,daily,62,0.97,0.21,False,True,0.78,0
532,C++,6634,829,65,45,50,80,98,SVN,weekly,34,0.6,0.31,True,True,0.99,0
533,C++,3600,510,65,63,87,100,83,SVN,weekly,70,0.65,0.35,True,True,0.53,1
534,Java,5236,283,53,64,57,29,50,Mercurial,weekly,100,0.86,0.29,True,False,0.87,0
535,Java,4779,877,87,41,81,76,31,SVN,weekly,38,0.96,0.39,False,False,0.87,0
536,Python,7912,977,51,86,22,29,80,Git,monthly,38,0.83,0.38,False,False,0.59,1
537,C++,8556,294,71,4,34,82,36,Mercurial,monthly,39,0.92,0.45,False,False,0.6,1
538,JavaScript,7079,401,37,29,71,7,72,Git,monthly,53,0.57,0.61,False,True,0.69,1
539,Python,8094,966,9,88,32,93,54,Git,monthly,11,0.58,0.17,True,True,0.82,0
540,JavaScript,5245,83,37,79,98,43,79,Git,daily,13,0.92,0.79,True,False,0.62,1
541,JavaScript,2507,64,63,63,20,10,62,Mercurial,daily,20,0.7,0.68,True,False,0.75,0
542,JavaScript,9631,747,41,76,87,60,4,Mercurial,daily,88,0.57,0.61,True,True,0.73,0
543,C++,477,967,68,65,81,99,60,Git,daily,26,0.56,0.5,True,False,0.52,1
544,JavaScript,4732,350,54,36,64,22,83,Git,monthly,57,0.87,0.16,True,True,0.91,0
545,JavaScript,6981,376,61,71,77,31,99,Mercurial,monthly,75,0.68,0.21,False,False,0.87,0
546,JavaScript,6679,252,59,79,55,34,16,Git,weekly,39,0.97,0.72,True,False,0.54,1
547,Python,5296,640,61,97,63,30,66,Mercurial,monthly,89,0.86,0.63,True,True,0.77,0
548,Python,3259,602,100,8,65,10,53,Mercurial,daily,60,0.62,0.34,True,False,0.87,0
549,Python,9249,810,100,54,72,35,11,Git,monthly,3,0.87,0.92,False,False,0.82,0
550,Python,2356,194,67,87,71,89,58,Mercurial,monthly,11,0.67,0.95,False,False,0.88,0
551,Java,1436,641,100,4,97,6,12,Mercurial,monthly,61,0.87,0.57,True,True,0.98,0
552,Python,5225,421,26,12,78,15,25,SVN,daily,54,0.75,0.62,False,False,0.81,0
553,JavaScript,8974,14,8,18,19,61,13,SVN,weekly,71,0.77,0.58,False,False,0.89,0
554,Python,5619,466,60,76,35,30,62,Git,weekly,64,0.66,0.99,False,False,0.79,0
555,C++,3501,679,84,89,70,100,72,Mercurial,daily,26,0.57,0.86,False,True,0.74,0
556,Java,3342,607,22,27,7,71,27,Mercurial,monthly,65,0.69,0.94,False,False,0.9,0
557,Java,5901,757,93,12,2,52,53,Git,monthly,37,0.67,0.13,False,True,0.85,0
558,C++,7182,508,42,99,22,72,51,Git,daily,15,0.97,0.9,False,False,0.91,0
559,Java,6829,418,16,3,98,73,5,Git,weekly,90,0.96,0.3,True,False,0.66,1
560,C++,8970,434,53,63,57,78,21,SVN,daily,90,0.98,0.76,True,False,0.69,1
561,C++,1153,888,26,12,80,46,75,SVN,weekly,63,0.5,0.33,True,False,0.88,0
562,Java,468,454,83,17,29,63,31,Mercurial,monthly,19,0.96,0.22,False,False,0.62,1
563,Java,7261,976,26,54,91,82,7,Git,monthly,42,0.51,0.28,True,True,0.78,0
564,C++,1182,590,89,42,38,25,99,Git,daily,96,0.71,0.43,True,False,0.94,0
565,Python,1340,52,95,24,92,4,78,Git,daily,76,0.75,0.42,True,True,0.89,0
566,JavaScript,6575,659,11,19,95,11,98,Mercurial,monthly,14,0.76,0.12,True,False,0.69,1
567,JavaScript,1032,461,60,32,49,28,20,Mercurial,monthly,3,0.96,0.99,True,True,0.98,0
568,Java,8365,922,47,81,44,92,26,Mercurial,daily,18,0.72,0.88,False,False,0.52,1
