,Lines of code,Number of functions,Number of files,Number of external libraries,Number of dependencies,Number of internal comments,Number of external comments,Number of test cases,Number of bugs reported,Number of defects,label
556,8424,10,26,1,0,8,61,115,47,23,1
557,7860,47,25,7,1,37,93,18,51,10,1
558,3623,6,31,1,4,38,53,20,65,30,1
559,9231,29,46,2,3,11,13,132,44,0,1
560,7044,38,20,8,1,16,18,25,27,74,1
561,7038,21,43,7,8,45,36,23,20,42,1
562,2103,24,46,0,6,20,45,13,2,93,1
563,7614,33,48,0,0,25,96,98,10,98,1
564,4234,32,24,6,8,12,31,121,43,40,0
565,6839,13,17,5,5,34,36,51,22,74,1
566,5875,43,32,5,1,44,26,55,19,90,1
567,9145,49,36,6,0,42,46,49,4,61,1
568,3275,13,11,1,7,5,5,90,20,34,1
569,1309,38,17,3,7,10,19,105,22,13,0
570,7609,21,44,2,4,6,48,16,98,99,1
571,2289,24,32,8,8,48,70,142,52,51,1
572,5649,13,31,1,1,8,33,71,84,81,1
573,2967,40,39,9,6,38,45,89,27,53,1
574,5471,34,35,7,5,39,70,91,47,99,1
575,6328,8,36,1,1,26,26,85,31,70,1
576,7051,42,48,7,9,40,9,124,2,75,1
577,9539,34,14,4,5,24,14,104,18,7,1
578,4621,26,16,0,9,16,94,134,62,71,1
579,7521,22,31,9,4,47,69,135,28,17,1
580,8910,27,40,9,3,31,17,50,52,12,1
581,2810,44,47,6,7,33,73,127,93,21,0
582,6941,35,46,6,3,44,1,49,25,21,1
583,2449,44,22,7,9,40,74,119,59,79,0
584,1613,19,44,2,7,21,17,75,36,23,1
585,8884,19,28,6,5,17,62,21,98,91,1
586,538,49,28,6,4,13,99,108,55,48,1
587,7717,45,42,6,2,25,28,116,26,69,1
588,7415,47,45,5,6,38,3,25,67,27,1
589,6777,12,30,6,1,13,89,132,53,74,1
590,1532,38,31,2,9,19,68,149,7,69,1
591,4539,5,29,6,3,44,70,118,84,4,1
592,3908,20,15,5,1,28,72,109,6,91,1
593,9098,17,11,4,6,17,35,21,71,99,1
594,9504,48,27,1,6,27,28,21,79,64,1
595,5078,34,40,9,9,28,38,47,31,57,1
596,3737,36,16,9,8,16,76,88,29,52,1
597,9904,47,5,1,6,16,49,146,48,3,0
598,3547,31,32,7,3,32,51,72,92,96,1
599,7809,7,23,4,7,25,83,64,32,37,1
600,5740,35,36,8,6,27,41,85,69,13,1
601,4674,44,46,4,9,31,92,89,55,89,1
602,4203,15,7,1,0,5,83,51,94,49,1
603,4787,7,43,5,4,45,35,85,73,34,1
604,9306,43,6,8,7,49,78,136,32,65,0
605,1662,28,31,2,6,30,21,34,15,86,1
606,3719,18,44,8,7,35,70,131,44,0,1
607,5176,33,12,8,9,23,46,129,26,84,0
608,9521,16,9,1,8,11,4,103,41,74,1
609,6187,42,32,1,6,25,79,22,8,71,1
610,148,14,45,7,0,33,48,20,71,20,1
611,2116,11,45,8,8,46,42,100,43,52,1
612,8991,14,30,7,5,24,89,46,35,92,1
613,5849,17,11,7,7,48,66,117,34,0,1
614,9252,37,30,2,7,39,60,134,44,79,0
615,4813,39,18,0,9,13,18,131,29,73,0
616,536,15,30,9,6,34,72,112,64,1,1
617,6533,5,45,9,9,9,38,31,87,34,1
618,834,48,25,9,0,20,4,121,90,13,1
619,9651,33,19,5,8,10,46,100,92,91,0
620,9965,15,48,6,4,8,15,60,98,8,1
621,5140,40,13,8,9,48,18,126,42,67,0
622,1443,35,17,9,3,10,43,73,78,28,1
623,2645,12,13,6,3,16,27,67,17,39,1
624,4341,14,11,1,1,46,50,111,9,19,1
625,7836,14,17,4,7,46,62,124,45,60,1
626,2478,24,20,2,8,35,35,127,13,42,1
627,5754,36,5,1,9,15,28,11,15,79,1
628,7687,37,30,6,5,42,24,59,71,57,1
629,3519,10,44,2,3,10,0,88,28,78,1
630,995,10,41,6,7,46,38,64,45,67,1
631,6176,14,17,6,2,9,81,16,37,7,1
632,970,47,46,9,5,22,57,111,9,72,1
633,3439,33,25,4,9,16,28,99,89,91,1
634,9841,49,29,6,7,19,26,114,98,4,0
635,5911,25,24,5,6,44,66,45,16,36,1
636,6420,29,48,2,9,25,65,128,10,16,1
637,7234,23,33,4,4,9,50,37,14,90,1
638,1122,42,7,7,2,40,90,127,98,56,1
639,8680,20,25,8,2,7,36,80,2,57,1
640,9420,12,25,1,9,14,19,122,28,93,1
641,1155,10,23,0,3,15,69,149,36,45,1
642,2178,21,8,5,9,10,21,71,40,94,1
643,9203,12,43,9,3,7,28,140,50,9,1
644,3729,36,25,5,3,34,60,73,63,91,1
645,6794,14,5,2,9,36,53,102,36,57,1
646,8857,19,38,6,1,17,1,49,55,68,1
647,2169,19,17,6,8,25,80,43,97,48,1
648,3721,42,30,1,1,42,61,109,51,61,1
649,837,49,8,9,6,40,68,112,74,26,1
650,8670,49,32,2,4,18,28,110,61,80,1
651,3586,42,9,1,1,19,50,77,52,8,1
652,5599,23,29,0,3,18,58,145,72,20,1
653,8389,44,45,9,9,49,58,70,83,6,1
654,1433,48,24,1,9,45,98,19,76,21,1
655,9459,12,24,9,6,33,52,69,87,1,1
656,6242,46,25,1,2,34,57,36,15,24,1
657,7099,7,28,6,8,43,84,61,33,84,1
658,4551,38,13,1,9,43,29,140,1,66,1
659,1612,7,42,1,0,7,70,104,9,98,1
660,7322,24,5,9,7,28,21,42,59,25,1
661,8463,7,34,5,9,10,16,144,13,97,1
662,1755,10,37,1,5,22,93,124,39,57,1
663,1709,49,42,5,3,46,76,132,51,0,1
664,5209,34,40,5,7,13,61,55,32,36,1
665,287,10,21,5,6,41,65,91,91,13,1
666,9188,47,46,8,6,48,71,83,33,53,1
667,9489,45,37,4,7,34,19,128,48,70,0
668,5474,15,43,6,4,40,83,106,58,33,1
669,1887,27,28,8,6,21,55,48,97,5,1
670,8920,42,42,7,7,13,78,73,93,48,1
671,8768,37,10,2,4,31,74,18,79,17,1
672,9051,17,11,0,8,36,25,115,51,21,1
673,8272,32,20,3,8,32,28,115,64,30,0
674,2172,22,41,2,8,19,92,110,4,54,1
675,1039,13,41,9,8,42,9,111,19,41,1
676,4258,13,7,3,0,32,40,20,31,81,1
677,2969,23,20,2,7,41,93,23,35,69,1
678,5507,45,44,6,8,29,53,145,41,98,0
679,9641,47,8,2,9,35,84,128,73,6,0
680,2557,32,6,6,0,19,85,65,87,85,1
681,5384,47,12,1,3,11,26,17,67,58,1
682,4689,14,20,2,6,6,64,121,62,57,1
683,4744,24,25,8,0,44,50,96,82,20,1
684,8554,10,6,2,8,15,59,57,52,41,1
685,8275,13,24,1,1,20,89,32,77,84,1
686,954,16,8,0,3,43,35,120,77,30,1
687,4716,13,16,4,0,10,8,104,6,31,1
688,6164,47,28,9,9,37,89,10,19,37,1
689,6611,16,47,5,1,11,85,87,12,19,1
690,2513,22,8,6,6,8,1,95,49,58,1
691,4260,14,38,3,2,33,54,39,74,93,1
692,3486,26,6,6,8,49,7,105,70,58,1
693,4793,33,6,5,0,19,19,99,10,86,1
694,3671,46,8,3,0,27,87,70,26,70,1
695,2181,8,6,6,3,26,9,97,70,50,1
696,8696,12,40,4,1,42,22,110,20,21,1
697,1264,40,15,5,8,24,60,112,23,75,0
698,9229,39,43,8,9,5,11,10,76,38,1
699,4181,44,10,1,3,27,7,110,1,3,1
700,1784,30,44,0,5,16,5,93,70,29,1
701,206,45,12,0,8,48,67,12,43,49,1
702,6471,11,14,0,1,37,89,73,38,55,1
703,6677,21,47,1,7,41,95,127,67,98,1
704,4547,15,27,6,6,39,80,61,48,83,1
705,1486,36,42,4,1,30,14,82,68,97,1
706,8056,7,34,4,7,20,5,65,0,57,1
707,7095,15,24,6,3,42,45,51,29,35,1
708,2937,44,22,4,6,9,38,87,74,20,1
709,5678,36,33,2,5,32,94,32,69,21,1
710,2205,44,38,5,5,11,0,105,21,66,1
711,4834,21,39,6,8,6,69,59,23,65,1
712,9711,9,46,9,5,33,6,95,3,65,1
713,2489,28,30,5,4,14,61,28,40,21,1
714,2936,29,26,8,0,19,29,22,77,33,1
715,6684,37,47,4,5,36,15,78,26,25,1
716,6262,26,14,3,1,34,34,96,6,89,1
717,4973,34,27,9,9,22,64,12,73,28,1
718,7267,9,19,9,9,40,3,99,28,38,1
719,633,5,32,6,2,45,75,143,98,10,1
720,5988,5,11,9,1,11,30,133,55,0,1
721,1277,33,39,4,9,9,93,123,3,70,1
722,738,24,32,6,0,18,71,60,30,1,1
723,4366,28,10,0,3,33,40,25,99,30,1
724,7278,23,18,9,7,16,87,70,37,54,1
725,4848,22,39,3,5,38,66,135,62,98,1
726,4173,35,11,8,5,21,51,60,68,87,1
727,5669,19,25,4,2,6,88,36,51,50,1
728,7128,23,46,0,9,35,76,28,18,40,1
729,8562,32,48,3,1,37,43,64,85,8,1
730,6441,6,47,9,4,27,59,143,60,64,1
731,2136,45,37,9,8,17,80,136,43,29,0
732,4325,8,17,5,0,27,28,66,56,72,1
733,3954,6,33,1,0,18,78,99,97,66,1
734,9205,41,40,6,6,27,25,125,78,23,0
735,8507,18,36,2,6,37,1,84,11,81,1
736,432,10,14,0,1,8,3,114,36,75,1
737,2088,29,29,0,3,19,83,85,77,21,1
738,1851,16,24,7,5,37,57,10,27,94,1
739,4807,49,6,6,9,41,1,58,35,29,1
740,8535,38,22,3,7,5,45,33,20,28,1
741,5614,42,10,2,9,17,34,120,85,16,0
742,4710,34,38,3,0,47,30,28,10,36,1
743,4018,24,41,0,7,6,49,36,49,77,1
744,2939,39,32,7,1,21,32,32,7,32,1
745,3446,16,8,7,6,25,11,48,74,32,1
746,4153,12,43,4,2,32,86,36,9,22,1
747,3376,35,31,6,9,38,46,53,75,4,1
748,2761,10,30,2,8,17,34,120,33,62,1
749,2885,33,43,6,1,40,52,91,5,93,1
750,6712,26,15,6,7,46,6,80,30,55,1
751,9641,30,40,8,7,40,2,117,30,63,1
752,4353,35,47,7,8,10,24,103,25,66,0
753,8464,13,39,6,4,13,90,37,96,62,1
754,731,10,21,6,8,23,28,40,5,62,1
755,2821,28,14,9,7,6,49,89,86,34,1
756,6620,47,26,2,5,27,22,110,41,19,1
757,2798,28,22,4,6,25,78,81,91,84,1
758,2751,38,19,4,4,31,40,85,62,97,1
759,7362,7,30,8,5,10,57,74,12,81,1
760,599,25,16,9,9,44,27,57,49,10,1
761,9260,39,40,0,7,21,36,121,48,71,0
762,7960,48,9,6,5,14,46,88,79,26,1
763,3203,44,49,2,4,28,30,124,34,79,1
764,3787,40,16,0,4,9,19,137,54,95,1
765,9163,15,15,0,7,34,83,36,24,49,1
766,8645,39,47,5,3,9,38,81,18,17,1
767,6361,20,23,0,7,15,2,146,83,47,1
768,7229,16,35,1,0,20,4,72,55,31,1
769,5106,16,21,9,9,48,91,29,80,51,1
770,5711,12,19,8,6,18,26,48,88,89,1
771,930,48,15,5,8,47,96,89,83,6,1
772,7428,17,39,3,2,45,90,131,5,61,1
773,9625,28,19,8,3,9,70,67,68,27,1
774,6792,33,46,4,6,30,57,92,73,55,1
775,5069,24,35,3,5,19,87,39,8,64,1
776,5013,19,10,6,9,36,84,46,53,99,1
777,2097,46,43,8,1,28,9,143,2,61,1
778,8709,30,14,5,5,25,24,45,64,43,1
779,5983,40,48,7,9,39,59,95,46,97,1
780,1603,20,34,3,4,28,45,100,13,76,1
781,3959,32,10,8,5,27,7,138,70,60,1
782,2826,21,20,3,4,13,8,85,33,22,1
783,582,44,13,3,1,47,1,38,44,56,1
784,4510,10,32,0,6,12,60,81,0,10,1
785,107,35,40,7,7,31,28,137,81,72,1
786,9991,42,18,7,3,28,60,87,71,11,1
787,2967,35,38,3,4,8,10,16,54,75,1
788,9762,9,7,7,3,39,99,149,93,32,1
789,7692,7,30,5,3,45,33,87,13,80,1
790,5810,16,43,8,0,11,34,125,30,39,1
791,1544,18,32,4,8,10,67,106,55,4,1
792,2540,43,22,1,7,31,38,117,12,3,0
793,5228,12,10,0,5,21,36,28,27,63,1
794,3426,47,29,7,9,36,46,84,37,17,1
795,1619,31,42,4,9,40,33,70,76,26,1
796,4807,17,11,0,8,25,15,92,90,46,1
797,4798,18,15,6,3,30,17,92,61,68,1
798,6181,14,47,6,2,26,42,17,2,40,1
799,6296,44,22,1,5,15,65,114,62,78,1
800,1771,23,13,4,7,37,14,114,6,84,1
801,2257,30,5,2,9,30,91,18,25,76,1
802,9832,22,27,4,4,31,83,87,46,69,1
803,2156,15,9,2,9,18,8,67,87,77,1
804,4333,11,17,2,5,46,36,79,7,88,1
805,9384,14,27,0,4,30,82,99,59,49,1
806,4173,6,45,2,2,36,52,86,99,64,1
807,1816,8,6,7,5,14,72,132,70,80,1
808,8065,15,47,6,6,7,22,36,93,47,1
809,5747,18,26,1,3,14,57,38,3,94,1
810,5425,9,42,3,5,29,11,61,94,74,1
811,1866,36,15,6,7,6,64,98,72,45,1
812,5063,33,14,2,2,24,28,126,66,21,1
813,3867,26,33,6,7,30,46,126,62,85,1
814,7224,40,40,1,6,30,79,12,65,35,1
815,1964,32,28,0,6,30,45,74,34,81,1
816,4921,17,20,2,4,46,8,17,73,97,1
817,6418,24,20,9,8,18,94,136,39,33,1
818,6631,11,46,5,0,28,41,101,23,76,1
819,1865,14,30,6,1,37,91,100,69,60,1
820,2589,21,37,2,9,33,70,59,35,51,1
821,6841,35,43,1,0,10,82,11,76,46,1
822,9503,14,44,4,8,10,75,120,22,64,1
823,1202,44,17,5,2,13,91,42,32,44,1
824,3687,22,30,8,2,43,81,129,28,7,1
825,7845,8,19,7,8,43,87,114,63,11,1
826,3207,18,47,2,6,18,27,52,19,12,1
827,273,49,21,7,0,36,43,133,82,72,1
828,2318,30,5,0,2,49,11,128,27,30,1
829,6743,15,16,6,9,33,62,146,13,95,1
830,2598,11,10,2,6,32,22,147,80,53,1
831,882,18,15,6,1,30,46,12,18,10,1
832,8639,22,18,2,2,36,42,15,29,73,1
833,5353,49,10,3,0,6,1,19,60,0,1
834,2437,40,44,2,3,36,55,26,59,38,1
835,1593,9,5,1,4,29,70,144,93,16,1
836,496,28,40,1,6,26,24,53,24,99,1
837,9208,33,12,0,5,9,65,139,85,84,1
838,6351,21,44,8,6,29,81,105,57,60,1
839,1451,18,10,6,6,19,85,146,68,11,1
840,8000,5,37,7,4,25,90,11,7,11,1
841,7951,42,33,2,5,8,92,137,1,2,1
842,1778,28,30,7,7,9,71,48,31,94,1
843,8095,12,21,6,6,17,56,88,44,91,1
844,4371,34,19,5,7,19,38,45,19,12,1
845,3727,49,25,6,2,26,92,97,88,75,1
846,533,24,37,6,5,23,31,126,25,43,1
847,8234,12,15,7,8,45,67,19,58,52,1
848,7744,45,9,2,8,12,27,75,61,5,1
849,4982,22,42,7,6,24,87,65,54,1,1
850,8426,34,39,6,7,18,15,41,51,70,1
851,9402,6,13,4,9,36,42,27,41,62,1
852,3141,13,25,0,4,18,81,124,72,30,1
853,582,30,21,3,6,7,40,69,77,43,1
854,5641,27,14,4,1,7,47,20,12,8,1
855,2866,6,28,7,6,38,66,70,64,92,1
856,623,9,45,6,6,39,70,56,88,95,1
857,5346,32,47,9,8,14,96,82,34,69,1
858,7925,8,23,5,0,8,96,58,3,84,1
859,2175,11,12,2,2,46,37,27,27,63,1
860,6025,36,34,5,1,9,70,140,54,18,1
861,6991,22,34,3,7,41,71,23,15,62,1
862,3701,44,41,0,7,17,72,129,63,48,0
863,1609,11,37,7,3,31,42,147,12,60,1
864,3961,49,10,1,4,31,43,16,34,93,1
865,9057,34,25,8,5,23,46,41,26,45,1
866,5744,9,16,0,9,39,17,57,78,25,1
867,7116,5,18,2,2,13,90,78,56,61,1
868,2243,35,10,4,7,35,94,53,61,59,1
869,6250,14,35,4,8,18,7,93,40,73,1
870,6749,12,21,3,5,17,36,45,20,43,1
871,4939,19,28,9,7,5,17,124,81,50,1
872,8074,41,15,4,1,45,0,79,65,80,1
873,3114,7,28,2,1,12,43,35,64,0,1
874,3430,46,8,7,7,28,29,112,32,20,0
875,754,36,41,4,0,37,97,135,74,99,1
876,3160,38,13,9,8,49,2,91,26,31,1
877,8555,17,22,9,4,29,59,132,3,32,1
878,4738,37,10,6,8,36,63,62,11,34,1
879,5823,36,30,9,8,27,0,89,58,84,1
880,5239,30,21,8,8,8,91,134,77,21,1
881,7473,19,9,3,1,33,85,25,70,64,1
882,3478,11,46,5,1,12,0,98,44,7,1
883,8098,28,40,4,4,28,62,114,58,71,1
884,4837,36,27,2,1,22,98,101,83,21,1
885,8932,46,12,7,3,21,78,128,15,96,1
886,9147,24,34,0,8,40,71,103,79,39,1
887,7986,31,49,9,7,35,18,65,64,1,1
888,6127,34,44,8,0,29,17,81,95,11,1
889,5942,25,48,1,4,15,50,98,0,98,1
890,2252,31,25,6,2,45,62,38,16,57,1
891,9428,8,48,5,8,13,65,14,17,42,1
892,835,45,13,3,2,41,20,48,45,93,1
893,1316,20,32,8,2,27,33,110,22,15,1
894,4291,20,39,2,3,31,65,86,5,77,1
895,8172,27,39,2,4,18,89,40,71,35,1
896,833,20,35,2,4,18,61,101,92,73,1
897,5227,44,34,8,5,19,54,86,8,19,1
898,2068,17,31,1,8,12,41,17,59,57,1
899,6870,28,48,7,2,24,98,145,87,39,1
900,7215,37,18,4,0,45,54,74,56,69,1
901,4337,32,29,6,6,47,55,61,27,6,1
902,2165,20,10,1,3,27,1,120,5,42,1
903,4939,33,13,8,2,49,63,53,8,91,1
904,2635,16,26,0,7,8,41,108,1,9,1
905,9713,31,17,9,5,33,7,75,84,90,1
906,7692,14,33,8,9,30,69,95,11,57,1
907,4976,22,9,0,1,26,68,25,32,40,1
908,9703,37,32,4,9,45,6,124,23,43,0
909,5973,8,16,6,3,29,2,68,8,45,1
910,880,9,9,9,0,39,27,60,65,22,1
911,680,37,35,0,3,33,23,18,62,34,1
912,4512,20,12,7,6,48,58,100,92,62,1
913,3770,8,21,7,2,30,48,17,70,33,1
914,5763,17,40,1,0,39,66,68,24,32,1
915,627,7,33,4,0,33,20,143,23,27,1
916,5404,21,46,5,7,44,17,66,73,0,1
917,9160,30,30,0,6,13,17,129,68,85,1
918,3949,18,16,6,3,19,58,77,53,50,1
919,3814,30,41,1,9,13,13,106,4,91,1
920,4228,21,25,6,7,39,70,17,59,41,1
921,6888,9,28,5,5,48,76,99,64,80,1
922,6556,15,34,6,9,19,59,96,11,90,1
923,2153,34,9,5,2,10,13,61,49,16,1
924,8172,44,35,3,9,31,48,40,56,77,1
925,4666,48,33,6,0,44,93,31,29,31,1
926,1886,24,6,8,9,32,2,108,61,62,1
927,3702,10,15,5,1,18,13,134,80,59,1
928,6065,35,49,9,5,37,68,89,19,47,1
929,4373,13,42,9,8,19,51,55,77,72,1
930,2796,37,35,9,9,43,68,106,81,57,0
931,2479,29,31,8,4,13,48,72,21,1,1
932,778,19,27,8,3,17,54,115,80,30,1
933,957,26,45,5,6,46,46,10,67,79,1
934,4233,45,40,2,0,48,15,145,64,84,1
935,1893,16,18,5,7,24,16,16,84,33,1
936,8313,26,25,5,8,48,30,34,95,54,1
937,6022,16,20,8,9,19,67,58,73,47,1
938,9359,42,16,5,5,34,14,45,68,67,1
939,7357,47,23,7,5,30,86,115,48,60,1
940,6745,17,16,4,7,40,66,77,30,40,1
941,7755,15,47,5,4,18,15,37,77,35,1
942,5906,13,32,2,8,17,55,110,38,51,1
943,2464,7,11,5,4,26,94,10,75,87,1
944,7489,31,20,4,7,8,65,144,70,65,0
945,2351,5,7,0,2,20,7,14,55,30,1
946,9572,27,17,4,3,32,6,133,57,76,1
947,4689,22,49,7,3,30,17,55,1,46,1
948,8733,28,47,7,5,38,95,108,24,70,1
949,4352,41,41,6,0,21,82,34,7,75,1
950,7654,35,48,7,3,36,6,21,36,26,1
951,4280,17,29,1,9,48,47,26,20,14,1
952,637,37,39,9,5,14,72,107,84,96,1
953,9232,11,32,1,7,34,88,59,93,79,1
954,1389,29,16,7,6,5,72,47,81,92,1
955,2004,16,41,7,4,43,75,65,31,32,1
956,5115,35,34,9,1,21,0,61,94,92,1
957,8784,8,40,7,3,25,74,149,89,90,1
958,7774,13,43,0,3,43,27,50,83,70,1
959,3675,12,39,4,6,36,5,97,95,17,1
960,5071,14,33,8,2,31,7,75,3,73,1
961,9073,29,45,9,7,10,4,46,82,52,1
962,9492,24,14,1,3,15,78,105,10,92,1
963,8779,43,5,2,7,16,91,57,82,92,1
964,4185,46,46,1,1,23,87,75,63,95,1
965,4576,13,27,6,6,9,39,113,2,9,1
966,7435,33,49,2,8,24,45,83,50,10,1
967,6449,35,9,2,0,6,92,91,9,55,1
968,1522,26,31,5,4,35,60,137,97,69,1
969,6512,44,19,9,6,39,53,17,96,27,1
970,682,40,47,9,2,11,21,146,31,98,1
971,2396,17,37,3,9,40,17,10,30,25,1
972,8243,42,16,2,9,16,4,51,1,59,1
973,6127,18,34,2,0,7,72,73,83,60,1
974,3169,16,11,5,9,22,1,20,25,90,1
975,5366,42,24,7,6,17,5,49,36,64,1
976,2455,6,42,8,7,45,37,39,8,15,1
977,943,16,13,2,2,25,16,43,89,17,1
978,7621,42,29,3,2,38,49,57,44,78,1
979,7973,27,49,5,6,23,33,131,45,62,1
980,9914,19,6,5,8,48,71,69,74,28,1
981,5288,41,24,4,4,25,91,126,7,94,1
982,4006,25,33,9,0,30,12,24,1,32,1
983,7715,35,5,5,6,19,83,80,99,42,1
984,5999,17,9,5,4,49,38,116,69,5,1
985,1966,31,20,2,5,36,24,91,82,93,1
986,5766,31,22,8,4,7,30,46,21,96,1
987,7264,19,42,9,7,33,25,31,3,32,1
988,2844,9,32,0,2,46,31,102,45,23,1
989,5313,13,22,5,4,27,92,130,76,95,1
990,3373,47,10,4,2,7,84,123,42,33,1
991,3275,41,9,1,5,21,3,17,40,21,1
992,894,10,35,3,6,34,42,126,96,94,1
993,6235,21,35,1,3,47,16,147,47,21,1
994,4609,24,18,8,2,44,94,117,77,21,1
995,6465,12,48,5,6,28,20,81,81,37,1
996,4521,18,34,6,3,23,24,39,42,93,1
997,7794,33,39,0,6,44,22,71,42,63,1
998,200,46,34,0,9,24,62,141,83,14,1
999,5961,19,21,3,0,21,11,20,93,25,1
