,age,gender,years_of_experience,course_level,hours_per_week,feedback_score,availability,communication_skills,responsiveness,number_of_students,previous_rating,label
495,33,1,2,2,15,4.3,2,1,1,59,0,1
496,31,0,1,1,23,4.3,1,2,3,43,1,1
497,28,0,7,2,27,3.4,3,1,3,18,0,1
498,31,1,5,1,26,2.4,2,2,1,24,0,1
499,26,0,1,2,13,4.2,1,3,1,39,1,1
500,31,1,6,1,24,3.2,2,3,3,45,1,1
501,26,0,5,1,20,4.3,2,2,3,17,1,1
502,28,0,3,2,12,3.5,3,2,2,16,0,0
503,30,0,7,1,12,4.1,2,2,1,39,0,1
504,33,0,9,1,25,3.4,2,1,3,20,1,1
505,26,1,9,1,14,2.7,1,2,1,40,0,0
506,22,1,9,1,19,4.8,1,2,2,22,1,1
507,31,1,2,1,28,3.2,3,1,3,49,0,0
508,31,0,3,2,13,3.4,1,3,3,41,1,1
509,22,1,7,1,28,1.9,1,2,3,39,0,1
510,23,1,5,2,20,3.5,3,2,1,32,1,1
511,27,1,2,2,11,3.3,2,3,2,15,0,0
512,30,0,3,2,19,1.7,3,3,1,53,0,0
513,29,0,6,1,20,1.2,1,1,3,17,1,1
514,34,0,7,2,29,3.4,3,2,2,18,0,1
515,26,1,9,1,25,4.1,2,2,3,55,0,1
516,22,1,1,2,28,3.1,3,1,3,51,1,0
517,34,1,7,2,20,1.9,1,3,1,29,0,1
518,28,0,8,2,23,3.7,1,1,3,22,0,1
519,26,0,3,1,11,1.3,3,3,2,52,0,0
520,27,1,4,2,14,2.8,2,1,3,33,1,0
521,34,0,6,1,14,1.7,3,3,3,40,1,1
522,28,0,7,2,28,1.7,2,1,1,53,1,1
523,24,0,4,2,21,1.8,2,3,2,24,1,1
524,33,0,8,1,27,2.5,3,3,1,52,1,1
525,31,1,5,2,13,1.2,2,3,3,28,0,1
526,24,0,1,1,26,2.6,1,3,1,55,0,0
527,26,0,4,1,19,3.0,3,3,1,33,1,0
528,27,0,3,1,29,2.9,2,2,1,44,0,1
529,30,0,9,1,15,2.5,1,3,1,19,0,0
530,34,1,8,2,23,4.4,3,2,3,45,0,1
531,33,1,1,1,20,1.6,1,3,3,21,0,1
532,26,0,6,1,20,3.0,1,2,2,33,1,1
533,22,0,9,2,27,1.2,1,2,1,45,1,1
534,25,0,7,2,27,1.3,2,1,1,53,0,1
535,26,0,4,2,20,3.3,3,3,2,38,0,1
536,33,0,1,2,21,3.3,3,1,1,48,1,0
537,31,0,2,2,14,4.5,2,1,2,37,0,1
538,31,1,5,1,18,3.2,3,3,3,59,0,1
539,26,0,5,1,18,4.8,1,1,2,54,0,1
540,28,1,8,2,19,1.2,3,3,1,20,1,0
541,25,1,6,1,28,1.4,2,1,2,52,1,1
542,22,0,8,2,10,1.2,1,3,3,55,0,1
543,26,1,2,1,16,1.7,2,3,1,50,0,0
544,28,1,3,1,13,3.2,1,3,3,41,0,1
545,31,1,6,1,10,3.6,1,2,3,25,0,0
546,31,1,3,2,24,1.2,3,1,2,19,0,1
547,27,1,6,1,17,4.8,1,2,3,31,0,1
548,26,1,6,2,21,4.4,2,1,1,21,1,1
549,25,0,2,1,27,2.2,3,1,3,41,1,0
550,23,1,7,1,24,1.3,2,1,3,29,0,1
551,25,1,2,2,26,1.7,1,2,2,27,1,0
552,31,1,6,2,23,1.5,2,1,3,25,0,1
553,31,0,1,1,23,1.5,2,2,2,59,0,0
554,24,1,3,2,27,3.1,1,3,2,40,1,1
555,31,0,2,1,29,2.0,3,1,1,36,1,0
556,22,1,7,1,27,2.4,2,1,1,42,0,1
557,29,0,4,1,25,5.0,1,3,1,38,0,1
558,26,0,8,2,10,3.7,3,3,1,43,1,0
559,34,1,6,2,20,4.8,3,1,2,23,1,1
560,25,1,4,1,24,1.6,3,3,3,56,0,1
561,29,0,5,2,21,2.5,2,2,1,18,0,1
562,28,1,9,1,17,3.2,2,2,1,32,0,0
563,23,0,7,1,29,1.3,2,1,1,57,1,1
564,22,0,9,1,15,1.0,3,2,3,30,0,0
565,33,0,7,1,12,3.7,2,2,1,47,1,0
566,32,0,1,1,22,3.6,1,1,3,43,0,0
567,25,0,8,1,22,2.6,2,3,2,53,1,1
568,29,1,4,2,11,3.0,2,1,2,24,1,0
569,33,0,3,1,14,2.7,3,2,2,23,1,0
570,23,0,7,1,26,1.1,2,1,3,45,1,1
571,24,1,3,1,15,2.3,1,1,1,42,0,0
572,33,0,8,1,11,1.7,3,2,1,17,1,0
573,22,1,6,1,13,1.4,1,2,1,28,1,0
574,22,1,5,2,20,4.8,3,1,1,39,1,1
575,34,1,4,1,17,3.4,3,2,1,29,0,0
576,24,0,8,2,21,3.9,2,2,3,16,0,1
577,32,0,8,2,17,2.3,1,2,2,38,0,0
578,26,0,1,1,20,2.6,3,2,1,28,0,0
579,33,1,9,2,29,1.9,2,2,2,21,0,1
580,24,0,5,1,17,1.4,3,2,3,50,0,0
581,22,1,4,2,17,1.7,3,3,3,38,1,1
582,22,0,6,1,26,4.2,3,1,1,41,1,1
583,29,1,6,1,29,3.7,3,2,3,51,1,1
584,31,0,2,1,29,3.2,3,1,2,52,0,0
585,32,0,8,1,25,2.9,3,3,1,44,1,1
586,33,0,7,1,23,4.7,2,2,1,41,1,1
587,34,1,1,1,20,1.3,3,1,2,53,0,0
588,34,1,5,1,16,2.1,1,2,1,29,1,0
589,33,0,6,2,25,2.4,2,2,1,40,0,1
590,23,0,4,2,22,4.1,1,2,2,15,1,1
591,34,1,2,1,24,5.0,3,2,1,18,0,1
592,24,1,4,1,25,2.0,1,2,1,43,0,1
593,23,1,1,2,18,4.5,3,2,2,15,0,1
594,24,0,7,2,12,4.3,3,2,3,57,1,1
595,28,1,2,2,28,1.9,2,3,2,36,1,0
596,22,0,2,1,29,2.6,2,3,1,25,0,0
597,31,1,9,1,14,2.6,3,2,2,24,0,0
598,29,0,5,1,19,4.9,2,2,1,31,1,1
599,34,1,2,1,26,1.7,1,3,1,50,1,0
600,31,1,9,2,24,4.2,2,3,2,40,0,1
601,31,1,9,2,17,2.3,2,3,1,35,1,0
602,31,1,1,1,24,3.9,1,2,3,27,1,0
603,23,1,3,2,23,2.7,2,1,1,23,1,1
604,24,0,4,1,29,3.3,3,1,2,25,0,1
605,30,1,7,1,16,4.3,1,1,3,25,0,1
606,28,1,4,1,21,4.2,3,1,3,20,1,1
607,25,1,2,2,26,4.5,1,2,1,15,0,1
608,31,0,7,1,26,1.2,3,1,2,20,1,1
609,26,1,6,2,19,3.8,3,3,1,27,1,0
610,23,0,3,2,28,1.6,2,3,1,36,0,1
611,34,1,6,1,23,2.7,3,1,2,45,0,1
612,32,1,6,1,20,3.2,2,3,2,36,0,1
613,34,0,5,2,11,2.6,1,2,1,51,1,0
614,29,1,4,1,27,3.1,3,1,3,41,1,1
615,25,0,1,2,16,5.0,3,1,1,28,0,1
616,30,0,6,2,21,1.5,1,2,3,19,0,1
617,26,1,2,1,11,3.7,1,3,1,50,0,0
618,34,0,3,1,29,2.6,3,2,2,46,1,1
619,30,1,8,2,27,1.5,1,2,3,48,1,1
620,25,1,6,2,15,1.6,2,3,2,21,1,0
621,31,0,3,1,19,4.8,1,2,2,56,0,1
622,26,0,7,1,29,4.5,1,3,2,24,0,1
623,30,0,4,1,24,4.6,3,3,2,31,1,1
624,29,0,9,2,14,5.0,2,2,2,44,0,1
625,24,1,5,2,29,1.8,1,3,1,35,0,1
626,22,1,3,2,12,2.4,2,2,3,27,0,0
627,24,0,2,1,14,3.7,2,3,1,15,0,0
628,25,1,2,1,17,2.9,2,1,1,15,1,0
629,23,1,3,2,17,2.7,3,3,1,47,0,0
630,22,1,2,1,17,2.4,1,3,2,52,1,0
631,28,1,4,1,21,3.4,3,2,1,39,1,1
632,29,0,2,1,17,3.3,1,3,3,40,0,1
633,28,0,9,2,20,1.6,1,1,1,27,1,1
634,26,1,2,2,23,2.9,3,1,2,42,1,0
635,33,0,9,1,17,3.2,2,3,3,47,0,1
636,22,0,6,1,19,3.3,2,3,3,51,1,1
637,28,0,1,2,16,1.8,1,1,3,55,1,0
638,34,1,4,2,26,4.0,3,2,3,44,1,1
639,28,1,1,1,13,1.1,2,1,1,22,1,0
640,30,1,6,1,22,2.4,2,1,2,15,1,1
641,24,0,4,1,13,4.1,1,3,3,26,1,1
642,30,1,3,2,14,3.3,1,3,3,19,1,1
643,22,1,3,1,13,2.0,3,1,2,38,1,0
644,22,0,9,1,27,3.8,1,2,1,20,0,1
645,25,1,6,2,15,3.3,2,1,3,39,0,0
646,30,1,9,2,11,4.2,2,1,1,15,0,1
647,27,0,5,1,20,3.9,2,2,1,39,1,1
648,34,0,2,2,23,3.4,2,1,1,15,1,0
649,32,0,8,1,14,3.0,3,1,1,46,1,0
650,24,1,5,1,15,1.5,3,3,3,56,0,1
651,22,1,2,1,19,2.0,1,2,3,56,0,0
652,25,1,4,2,17,2.7,1,3,1,17,0,0
653,33,0,9,1,23,3.4,1,3,1,33,1,1
654,34,0,4,2,12,3.1,3,2,2,57,0,0
655,30,1,4,2,21,2.2,2,2,2,43,0,1
656,24,1,2,2,25,1.0,1,1,2,16,1,0
657,33,0,6,2,26,3.0,2,3,3,23,0,1
658,30,0,2,2,10,2.1,1,2,2,31,1,0
659,28,0,7,1,19,3.9,1,3,3,50,0,1
660,33,0,3,1,19,1.1,1,3,3,31,1,1
661,25,1,3,2,11,3.3,1,2,3,26,1,0
662,24,0,5,1,18,4.8,1,1,3,34,1,1
663,31,1,3,2,22,1.7,2,3,2,17,1,1
664,26,1,2,2,25,2.9,1,2,1,57,1,0
665,26,1,9,1,27,1.4,2,1,1,18,0,1
666,24,0,2,2,28,3.5,3,3,1,31,1,0
667,33,0,2,1,21,3.2,1,2,2,51,1,0
668,30,0,8,1,17,2.6,2,3,1,56,1,0
669,25,0,9,1,26,3.1,3,2,2,29,1,1
670,32,1,7,1,24,4.6,3,2,2,47,0,1
671,26,0,3,2,19,1.8,3,3,2,30,1,0
672,25,0,9,2,24,1.1,2,3,1,25,0,1
673,26,1,3,2,24,4.4,1,2,1,34,1,1
674,28,0,5,1,16,3.3,1,1,1,52,1,0
675,30,1,9,1,22,4.6,2,3,3,38,0,1
676,28,1,3,2,26,3.4,1,2,2,30,0,1
677,34,1,7,1,18,4.2,2,2,3,44,0,1
678,26,1,1,2,17,2.7,1,1,2,48,1,0
679,31,1,4,2,29,4.0,3,1,1,15,0,1
680,31,1,4,2,27,4.7,1,1,2,38,1,1
681,28,1,7,2,22,3.3,2,3,2,38,0,1
682,31,1,8,1,25,1.7,2,2,3,23,0,1
683,26,0,1,2,18,2.1,3,2,2,36,1,0
684,24,0,5,1,21,1.8,2,2,1,26,0,1
685,28,0,7,2,21,2.0,1,1,2,31,0,1
686,34,0,4,1,15,2.2,1,2,2,39,1,0
687,32,1,4,2,28,3.2,3,3,2,42,1,1
688,32,0,4,2,16,3.4,2,1,3,29,1,0
689,23,1,6,1,12,2.7,3,1,2,44,0,0
690,33,0,7,1,25,3.5,1,1,2,41,0,1
691,30,0,2,2,27,1.3,3,1,3,36,0,0
692,31,0,5,1,25,1.4,2,3,3,24,0,1
693,31,1,4,1,16,1.7,3,2,3,45,0,0
694,33,0,3,1,13,3.1,2,3,3,41,1,1
695,22,1,7,1,17,1.9,2,2,1,26,0,0
696,34,1,6,2,22,2.1,1,3,1,45,1,1
697,27,0,7,1,22,2.6,1,1,2,46,0,1
698,28,0,5,1,26,4.2,1,1,1,46,1,1
699,34,0,6,1,26,1.1,2,3,2,55,0,1
700,29,1,5,1,14,3.6,3,3,1,59,0,0
701,31,0,7,1,15,3.7,2,2,3,49,1,0
702,30,1,2,1,28,4.2,1,3,3,35,0,1
703,23,1,5,1,22,4.7,1,3,1,24,1,1
704,32,0,6,1,23,1.1,3,2,1,30,0,1
705,31,0,6,2,13,1.6,1,2,2,21,0,0
706,23,1,5,1,16,4.5,1,2,2,18,1,1
707,26,1,7,2,17,2.8,1,3,2,41,0,0
708,34,1,8,1,22,3.3,3,2,3,39,1,1
709,26,0,7,1,15,3.7,2,1,3,45,0,0
710,27,1,5,2,15,3.7,1,1,3,25,0,0
711,24,0,1,1,12,4.7,3,1,3,34,0,1
712,29,1,5,2,12,5.0,1,3,2,50,0,1
713,34,1,2,2,22,3.9,3,1,3,31,0,0
714,22,0,5,1,11,2.1,1,3,3,59,0,1
715,27,1,5,2,25,4.5,3,3,3,25,0,1
716,25,0,2,2,15,1.2,1,1,3,44,1,0
717,22,0,5,1,17,1.9,2,2,1,49,0,0
718,28,1,4,1,17,4.6,1,3,2,55,0,1
719,30,0,1,1,15,2.0,3,1,2,52,0,0
720,34,0,3,2,23,1.9,1,3,3,36,1,1
721,25,1,1,2,12,1.6,2,2,1,57,1,0
722,25,0,5,2,19,4.4,1,2,2,41,0,1
723,27,0,4,2,12,3.0,3,1,2,51,0,0
724,33,0,7,1,21,3.7,3,3,3,49,0,1
725,24,1,5,1,26,2.0,2,3,3,18,1,1
726,34,0,4,2,14,4.0,3,3,2,30,0,1
727,33,1,2,1,29,4.0,1,3,2,30,1,1
728,27,1,4,2,18,2.3,1,1,1,35,0,0
729,28,0,2,1,29,2.6,1,2,2,40,1,0
730,32,0,8,1,16,1.8,3,1,2,50,1,0
731,31,0,3,2,13,4.9,1,3,3,33,0,1
732,31,1,9,2,22,3.6,1,3,2,31,0,1
733,24,0,4,1,22,4.7,1,2,3,59,0,1
734,28,0,6,2,19,2.2,2,3,2,40,0,0
735,24,0,5,1,27,4.1,3,1,2,36,0,1
736,34,0,1,2,26,4.1,3,1,2,42,0,1
737,34,0,9,2,29,3.8,3,2,1,15,0,1
738,23,1,1,2,29,4.9,2,1,3,58,1,1
739,33,1,8,2,22,2.6,3,1,1,50,0,1
740,31,0,9,1,26,1.5,2,1,2,57,0,1
741,25,0,9,1,13,3.7,2,1,1,51,1,0
742,33,0,1,2,10,3.9,3,3,3,16,0,1
743,29,0,2,1,10,3.3,1,1,2,31,0,0
744,34,1,1,2,24,1.8,1,2,1,54,0,0
745,30,0,2,1,22,3.0,3,2,1,52,0,0
746,28,1,8,2,26,2.2,3,1,3,35,1,1
747,22,1,5,2,17,2.7,2,2,1,23,1,0
748,24,0,7,2,27,3.6,3,1,3,27,0,1
749,34,1,2,1,22,4.0,2,2,2,25,0,1
750,33,1,8,2,23,1.9,3,2,2,30,1,1
751,30,1,6,1,17,2.6,1,1,1,30,0,0
752,33,1,8,1,17,2.1,1,1,2,16,1,0
753,22,0,1,2,24,1.8,3,3,2,56,1,0
754,30,0,1,2,22,4.1,2,1,1,58,1,1
755,29,1,7,2,16,4.6,1,1,2,22,0,1
756,22,0,8,1,14,2.5,2,3,1,57,0,0
757,27,0,3,1,26,4.0,3,1,3,56,0,1
758,26,0,5,1,25,4.6,3,1,3,27,1,1
759,27,0,1,1,11,4.4,1,3,3,31,0,1
760,31,0,7,1,27,1.7,3,1,1,53,0,1
761,33,1,5,2,26,4.8,1,1,1,38,1,1
762,34,0,8,1,16,2.5,2,3,2,17,0,0
763,34,0,8,2,22,2.4,1,3,2,44,0,1
764,34,0,9,2,27,1.2,1,2,2,27,0,1
765,26,0,7,2,23,2.9,2,1,2,33,1,1
766,27,1,1,2,27,1.4,1,2,2,21,0,0
767,26,1,3,2,22,2.0,1,2,1,23,1,1
768,32,1,8,1,20,2.3,3,3,1,33,1,1
769,33,1,3,1,25,4.2,2,1,3,59,1,1
770,26,0,8,1,26,4.5,1,1,3,54,0,1
771,25,1,1,1,17,2.2,2,3,3,36,0,1
772,24,0,5,2,28,4.4,2,2,3,32,0,1
773,24,0,4,1,29,4.4,1,3,1,37,1,1
774,25,0,5,2,24,4.1,3,1,1,16,1,1
775,30,0,8,2,18,1.6,2,3,1,25,0,0
776,23,0,4,1,29,3.8,1,1,2,45,1,1
777,30,1,4,2,19,4.8,2,2,2,47,0,1
778,22,1,3,1,21,3.7,3,1,3,28,0,1
779,22,1,7,1,29,2.3,3,2,2,30,0,1
780,26,1,3,2,10,3.0,3,2,1,25,0,0
781,27,0,3,1,29,3.6,1,1,3,47,0,1
782,27,1,5,2,18,3.0,1,1,3,21,0,0
783,24,0,5,1,24,1.5,3,2,2,45,0,1
784,28,1,6,1,10,2.2,1,3,3,28,1,1
785,30,0,8,2,21,4.2,3,1,2,42,0,1
786,32,0,6,1,12,4.4,1,2,2,57,1,1
787,33,1,1,1,20,1.5,3,2,3,30,1,0
788,31,0,8,1,11,4.8,2,3,2,33,0,1
789,29,0,8,2,25,2.3,3,1,2,31,1,1
790,27,1,9,1,18,3.6,3,2,2,40,1,0
791,33,0,9,1,24,4.0,1,3,2,20,1,1
792,29,1,2,1,21,4.2,1,2,3,57,0,1
793,33,1,2,1,10,4.8,1,1,1,23,0,1
794,26,1,3,2,22,2.3,1,3,1,31,0,1
795,29,0,1,2,23,4.4,1,2,2,45,0,1
796,31,0,4,1,17,1.5,1,3,2,26,0,0
797,33,0,4,2,17,3.8,2,1,2,37,1,0
798,25,1,9,1,21,4.0,3,3,1,19,1,1
799,31,0,9,2,10,3.7,3,1,2,57,0,0
800,29,1,9,2,20,2.0,3,2,3,50,1,1
801,31,1,7,1,17,4.5,2,1,3,50,1,1
802,33,0,2,2,19,1.7,3,2,3,17,1,0
803,23,1,5,2,28,1.2,2,2,1,38,1,1
804,33,0,4,1,20,3.9,2,1,2,31,0,1
805,33,0,8,1,16,2.9,2,2,2,53,0,0
806,26,0,2,1,20,4.4,3,3,2,40,0,1
807,30,0,6,2,26,2.5,2,2,1,18,1,1
808,25,0,5,2,10,1.7,3,1,1,59,1,0
809,32,1,2,2,17,4.3,3,3,1,26,0,1
810,27,1,1,2,15,3.2,1,3,1,15,0,0
811,22,1,8,2,27,1.8,1,2,3,35,1,1
812,30,0,2,2,15,3.9,2,2,1,33,0,0
813,22,0,7,2,14,3.0,2,1,1,35,0,0
814,26,0,9,1,22,3.4,3,3,1,32,1,1
815,25,1,9,1,28,2.8,2,1,2,57,1,1
816,34,0,8,2,17,4.3,2,2,2,17,0,1
817,33,1,9,1,18,4.3,3,3,2,58,1,1
818,34,1,2,2,26,3.8,2,1,3,46,0,0
819,34,0,6,1,12,1.4,2,1,3,24,1,0
820,24,0,4,1,28,4.4,3,1,1,54,1,1
821,34,1,4,2,20,3.7,3,1,2,29,0,1
822,27,0,5,1,26,3.8,1,1,3,19,1,1
823,23,1,3,1,28,2.5,3,3,2,18,0,1
824,24,0,1,1,11,4.5,1,1,3,42,1,1
825,26,0,8,2,17,3.9,2,3,3,18,0,1
826,30,1,5,1,28,1.5,3,1,1,29,1,1
827,23,0,3,2,16,2.6,3,2,1,31,1,0
828,31,1,7,1,26,4.5,3,2,3,58,0,1
829,29,0,7,2,15,1.2,2,1,1,17,1,0
830,23,1,1,2,28,4.8,1,2,3,24,0,1
831,32,1,9,1,15,3.7,2,3,3,56,1,1
832,34,0,2,1,11,3.5,2,1,2,37,1,0
833,26,1,5,1,15,2.1,3,3,1,32,0,0
834,28,0,5,2,14,2.0,1,1,1,15,1,0
835,29,0,8,1,28,4.8,2,2,1,49,1,1
836,22,0,8,1,29,2.2,3,3,2,45,0,1
837,27,1,7,1,13,4.1,2,2,2,58,1,1
838,22,1,7,1,26,2.6,2,2,2,15,0,1
839,23,0,6,1,20,1.6,3,1,1,17,0,1
840,22,0,6,2,13,1.0,3,3,1,17,0,0
841,32,1,9,2,22,3.2,1,2,1,51,1,1
842,26,0,6,1,29,4.9,2,1,2,33,1,1
843,31,0,2,1,26,2.5,3,1,2,43,0,0
844,30,1,2,1,18,2.4,3,1,3,39,1,0
845,27,0,5,2,13,2.4,1,2,2,47,0,0
846,32,1,4,2,23,3.1,1,1,3,50,1,1
847,32,0,2,2,28,2.8,3,3,1,43,0,0
848,22,1,3,2,12,4.5,1,3,2,40,0,1
849,34,0,7,1,23,3.0,3,2,1,18,1,1
850,22,0,8,2,17,3.0,2,3,1,28,0,0
851,23,1,6,2,10,1.6,1,1,1,41,0,0
852,30,0,5,1,19,4.9,2,2,1,47,1,1
853,24,1,1,2,27,2.0,2,1,2,36,0,0
854,22,0,8,1,25,1.3,2,2,1,17,0,1
855,26,1,3,2,17,3.7,3,2,3,37,1,0
856,28,1,6,1,10,3.4,2,1,2,35,0,0
857,27,1,3,1,21,2.7,2,3,1,55,0,1
858,33,1,7,2,17,2.7,2,3,2,37,0,0
859,22,0,7,1,25,4.1,3,2,3,18,0,1
860,26,0,9,1,27,1.8,2,1,1,35,0,1
861,26,1,5,1,13,4.3,2,1,3,51,0,1
862,27,1,8,2,15,3.6,1,2,1,57,0,0
863,24,1,8,1,21,2.7,3,3,3,45,0,1
864,26,0,1,1,18,2.8,2,1,1,35,1,0
865,28,0,5,2,24,2.0,1,3,2,40,0,1
866,26,0,3,2,25,4.0,3,3,1,55,0,1
867,26,0,1,1,21,3.1,3,2,2,49,1,0
868,26,1,4,2,23,2.3,3,2,1,52,0,1
869,31,1,8,2,22,3.4,3,3,1,38,0,1
870,31,1,3,2,11,5.0,3,1,3,25,0,1
871,24,0,2,1,12,2.7,3,1,3,55,0,0
872,22,0,9,1,19,4.7,2,2,3,43,0,1
873,26,0,5,1,18,2.4,2,3,1,17,0,0
874,30,1,7,1,29,1.2,2,1,1,15,1,1
875,22,1,2,1,17,1.8,2,1,1,33,1,0
876,24,0,9,1,19,2.7,1,2,2,36,1,0
877,34,1,9,2,28,1.9,2,3,2,28,1,1
878,34,0,4,1,12,1.0,3,1,1,28,1,0
879,25,0,4,1,14,4.7,2,2,3,58,0,1
880,22,1,6,2,12,4.4,2,1,3,30,0,1
881,22,0,6,1,25,4.0,3,1,3,47,0,1
882,29,1,1,1,26,1.7,2,1,1,27,0,0
883,23,0,9,2,24,1.5,2,2,3,52,0,1
884,33,1,2,1,12,1.3,2,3,1,26,1,0
885,29,1,5,2,21,3.9,1,2,2,52,1,1
886,28,1,9,2,18,4.7,2,3,3,53,0,1
887,31,0,4,1,21,2.7,3,1,2,47,0,1
888,31,0,3,2,24,1.5,3,3,3,47,0,1
889,23,1,7,1,11,3.0,2,1,1,43,1,0
890,27,1,6,1,27,2.4,2,1,1,19,1,1
891,27,0,8,1,29,2.5,2,2,1,20,0,1
892,24,0,3,1,21,3.5,3,1,1,45,1,1
893,32,0,5,2,13,3.9,3,2,3,30,0,0
894,23,1,4,1,25,1.4,1,3,2,45,1,1
895,33,0,4,1,25,1.1,1,3,1,39,1,1
896,22,0,4,1,10,5.0,1,1,3,47,0,1
897,27,1,8,1,11,1.9,3,2,2,27,1,0
898,33,0,6,1,12,1.2,1,1,1,24,1,0
899,26,0,3,1,29,1.8,2,2,2,38,0,1
900,32,0,5,2,26,1.2,2,2,1,24,1,1
901,30,1,6,1,29,2.6,3,2,2,55,0,1
902,22,1,5,1,10,4.2,1,3,2,45,1,1
903,28,1,6,1,29,2.4,2,2,1,27,0,1
904,26,1,8,1,15,2.8,3,3,3,17,0,1
905,26,1,7,2,24,3.7,1,2,2,48,1,1
906,23,1,5,1,23,3.0,2,3,1,42,1,1
907,32,1,6,1,29,4.4,1,3,2,33,0,1
908,24,0,4,1,24,4.5,3,3,2,37,1,1
909,28,0,9,2,23,1.0,1,1,3,59,1,1
910,27,1,4,2,14,4.1,3,2,2,46,1,1
911,33,0,1,1,15,2.8,1,1,2,27,0,0
912,23,0,7,2,26,5.0,2,2,1,47,0,1
913,27,1,7,2,20,2.9,3,2,1,48,0,1
914,23,0,4,2,25,4.9,3,1,3,47,1,1
915,23,0,3,2,21,4.0,3,3,2,19,1,1
916,23,0,8,1,24,2.0,1,2,2,17,0,1
917,32,0,5,1,13,3.2,1,3,2,21,0,0
918,24,0,7,1,27,5.0,2,1,3,38,1,1
919,23,1,4,1,12,4.4,3,3,2,36,1,1
920,25,1,4,2,17,1.4,3,2,1,59,1,0
921,30,1,8,1,12,3.8,1,2,3,37,1,0
922,27,0,8,1,17,2.4,1,2,1,44,0,0
923,22,1,2,2,27,1.0,2,1,1,32,1,0
924,29,0,2,1,19,2.6,2,2,3,46,1,0
925,33,0,3,1,29,1.9,1,1,1,21,0,1
926,28,0,3,1,26,4.3,3,3,2,47,0,1
927,31,0,1,1,17,2.3,2,2,3,19,1,0
928,24,1,3,2,20,4.3,1,2,1,42,0,1
929,22,1,6,1,14,1.0,1,2,2,22,1,0
930,26,0,8,1,22,2.2,3,3,2,29,1,1
931,34,1,6,1,14,2.0,1,2,1,18,0,0
932,25,0,5,1,22,1.9,1,1,2,48,0,1
933,31,1,4,2,15,1.3,2,3,3,19,1,1
934,29,1,3,1,14,1.7,1,3,1,47,0,0
935,22,0,4,1,18,3.2,1,3,2,19,1,0
936,31,1,7,2,25,2.2,2,3,2,52,1,1
937,22,0,1,2,11,2.7,3,3,1,48,1,0
938,33,1,7,1,10,2.5,3,1,1,40,0,0
939,25,0,1,1,17,4.5,2,3,1,15,1,1
940,29,0,2,2,28,4.6,2,2,1,18,1,1
941,26,1,4,2,20,3.0,3,3,3,53,1,1
942,23,1,1,1,21,2.3,3,3,1,40,0,0
943,27,0,9,2,21,1.4,3,3,3,47,1,1
944,26,1,6,1,16,4.8,3,3,3,47,1,1
945,23,1,1,1,22,1.2,3,3,1,22,1,0
946,34,0,1,1,17,2.2,2,1,3,34,0,0
947,32,0,6,1,18,2.2,1,1,1,30,1,0
948,32,1,4,2,16,2.3,3,3,1,35,1,0
949,32,0,4,1,24,1.7,3,1,2,59,0,1
950,24,0,6,1,11,4.1,1,2,1,40,0,1
951,30,0,7,2,29,1.5,1,3,2,37,1,1
952,28,1,9,1,21,3.5,1,2,3,32,1,1
953,28,1,5,1,10,1.5,1,2,2,45,1,0
954,32,0,9,1,17,1.3,1,3,3,56,0,1
955,27,1,4,1,14,4.6,1,2,1,26,0,1
956,29,0,2,1,24,1.8,2,2,3,15,1,0
957,25,1,3,2,10,4.3,1,2,3,56,0,1
958,29,0,1,1,10,3.2,1,3,1,23,1,0
959,25,0,6,1,19,1.3,2,3,3,17,1,1
960,29,1,6,2,19,4.8,1,2,1,40,0,1
961,30,0,1,2,24,2.0,3,3,2,23,1,0
962,24,1,3,1,26,4.4,3,3,1,56,0,1
963,24,1,5,1,15,1.7,1,2,1,30,0,0
964,32,0,3,1,12,4.4,2,3,3,38,1,1
965,34,0,3,1,22,1.1,3,1,2,28,0,1
966,23,1,3,1,25,3.0,2,3,1,17,1,1
967,34,0,5,1,17,4.1,3,1,2,48,0,1
968,31,0,5,2,24,4.7,1,2,2,47,1,1
969,24,0,4,1,26,4.6,2,3,3,38,1,1
970,24,0,1,2,26,4.3,2,2,1,23,1,1
971,26,0,5,1,22,4.6,2,2,3,27,0,1
972,26,1,5,2,26,1.8,3,2,1,16,1,1
973,23,1,4,2,15,2.1,3,2,2,21,0,0
974,33,0,6,2,26,2.2,3,2,1,35,0,1
975,31,0,4,1,25,2.5,1,3,1,33,0,1
976,34,0,7,1,23,2.6,3,1,2,39,0,1
977,27,1,7,1,22,3.2,1,3,2,36,0,1
978,26,0,2,2,15,1.6,2,3,1,25,1,0
979,27,1,3,1,12,3.8,2,3,3,47,0,1
980,22,1,1,1,23,1.7,1,3,1,46,1,0
981,26,1,8,1,23,2.2,3,1,2,35,1,1
982,30,0,9,1,24,3.0,1,3,3,53,0,1
983,33,1,4,1,17,4.2,2,2,2,34,1,1
984,31,0,6,1,24,4.0,2,3,2,22,1,1
985,23,1,9,2,22,3.6,1,3,3,56,0,1
986,22,0,6,2,26,1.6,3,1,2,51,1,1
987,31,1,9,2,12,3.2,3,1,2,23,0,0
988,34,0,4,1,15,1.3,1,2,2,39,0,0
989,32,1,8,2,14,2.5,1,3,2,39,0,0
990,30,0,9,2,26,2.7,3,3,2,47,1,1
991,31,0,4,2,11,1.2,2,3,2,16,1,0
