,LinesOfCode,CyclomaticComplexity,NumberOfMethods,NumberOfParameters,CommentDensity,CodeChurn,CodeAge,CodeRevisions,BugFixes,CodeCoverage,DefectDensity,LinesOfCodePerMethod,Coupling,FanOut,FanIn,HalsteadVolume,HalsteadDifficulty,MaintainabilityIndex,label
249,-68,51,-184,47,0.0,221,51,409,165,0.0,42.01,-213.16,117,-131,-19,242,361,100,1
250,-66,-531,414,305,0.0,-179,43,-102,379,0.0,0.0,-450.69,424,35,-117,-1185,153,74,0
251,-178,130,67,-347,0.0,262,77,12,231,100.0,79.95,191.79,156,247,66,117,-71,0,1
252,-329,581,-37,-166,0.0,190,-279,-455,216,61.7,238.4,3.34,405,501,457,-56,-126,100,0
253,227,-351,-84,-94,1.0,159,323,1,-217,100.0,176.36,296.28,211,60,43,322,-296,0,0
254,94,145,225,261,0.0,-374,-296,-83,202,1.98,185.33,-194.63,-31,129,161,233,233,100,1
255,-16,-146,-8,-99,1.0,-130,554,-184,202,100.0,0.0,-278.79,243,-40,314,-221,-16,0,0
256,-121,409,219,-127,0.0,-410,489,333,248,0.0,225.34,-86.2,500,197,76,7,227,0,1
257,-112,-346,-92,54,1.0,118,-4,84,138,0.0,351.72,-122.61,-27,-229,-60,-50,51,5,1
258,57,34,98,57,1.0,269,189,146,122,0.0,247.03,-109.74,222,-39,-249,26,178,0,1
259,-160,529,349,-288,1.0,-131,808,391,171,100.0,366.24,92.08,-5,184,290,896,-161,0,1
260,-106,-319,-90,-5,1.0,-147,622,310,200,0.0,0.0,-82.5,636,-14,79,-65,57,100,0
261,-48,-176,2,240,0.0,-83,324,-386,-99,0.0,0.0,29.94,308,-11,666,-537,83,100,0
262,-274,-191,-87,3,0.0,-349,-127,87,-60,100.0,0.0,17.12,-227,-24,114,-822,437,0,0
263,-157,345,-57,298,0.0,187,-797,-404,-91,0.0,26.57,-220.5,177,350,-87,-652,127,100,1
264,-59,199,347,79,1.0,169,-510,119,514,0.0,220.59,-522.58,-186,-127,-412,-27,487,0,1
265,-208,228,192,-527,0.0,185,-303,-324,160,100.0,157.87,181.31,197,438,118,-324,19,0,1
266,161,-114,-133,-164,0.0,100,4,273,318,0.0,175.82,-398.48,62,-319,-247,-402,291,0,1
267,-140,-158,291,-271,0.0,-38,-75,23,348,100.0,91.17,-167.45,8,-181,-397,-82,72,0,0
268,-591,267,103,233,0.0,-61,-450,-130,-97,100.0,57.22,167.0,102,445,-246,-834,46,0,1
269,-618,-114,505,282,1.0,-234,338,389,-126,100.0,341.88,363.53,51,-127,-322,705,321,100,0
270,-238,-800,-91,-236,0.0,28,117,-89,311,0.0,159.3,-516.65,225,-246,-23,-1189,-199,56,1
271,-41,-194,360,656,0.0,-104,104,72,183,28.1,286.46,-79.12,-204,-277,-351,-276,182,0,1
272,118,-270,287,235,1.0,127,184,159,-305,0.0,205.61,151.61,209,-130,-270,179,180,100,1
273,223,118,114,-103,1.0,-43,713,426,466,0.0,0.0,-396.77,283,-470,-358,520,287,0,1
274,-313,-271,217,322,0.0,50,203,305,289,0.0,0.0,-553.77,202,-167,-239,-943,334,100,0
275,519,282,-147,28,1.0,368,-379,1,104,0.0,131.58,-239.46,-197,-12,-58,457,37,0,1
276,-156,156,393,-53,1.0,-264,1303,218,115,83.0,157.41,-374.71,30,-140,126,262,-308,0,1
277,-116,-24,34,65,0.0,-456,777,119,-223,100.0,0.0,-321.61,145,212,243,-1009,92,0,0
278,-26,440,60,171,0.0,-126,742,58,382,100.0,239.79,-26.01,454,232,461,377,-4,0,1
279,-227,558,445,110,1.0,-325,-795,-434,252,0.0,467.91,-478.64,87,261,-154,142,-123,100,1
280,-121,42,232,303,1.0,-291,251,122,134,0.0,102.96,54.72,57,-195,87,426,274,100,1
281,440,117,264,138,1.0,-313,341,243,8,100.0,411.43,388.87,144,-133,-313,1767,-177,0,1
282,411,49,-109,-126,1.0,185,657,186,99,0.0,68.46,-320.85,294,-258,-55,-307,79,0,1
283,-72,444,50,129,0.0,-191,1147,91,334,100.0,41.06,-205.6,417,283,255,452,-552,0,1
284,182,-236,43,200,1.0,115,822,-105,-57,0.0,0.0,81.75,95,-339,88,-596,52,0,0
285,-293,461,176,145,0.0,163,-1626,-537,143,0.0,537.32,335.04,-94,624,404,412,280,100,1
286,-205,445,273,-80,1.0,98,395,20,162,0.0,342.94,-147.81,469,340,176,535,-302,100,1
287,-461,-13,327,274,0.0,-739,857,97,-111,0.0,22.29,-699.27,171,-112,147,-1154,91,100,1
288,-330,-92,185,-188,0.0,-351,334,-137,-91,0.0,0.0,-649.9,340,98,123,-1833,225,0,0
289,-108,578,31,-102,0.0,315,-19,-326,304,100.0,103.59,-190.2,217,305,195,367,-270,0,1
290,-175,-308,-392,32,0.0,-50,847,-85,149,100.0,0.0,-219.3,506,-309,45,-1164,106,0,0
291,75,-57,249,-209,1.0,236,-334,-170,109,74.17,219.44,53.68,-66,92,159,152,266,0,0
292,-26,126,-103,228,1.0,-243,177,-118,-125,0.0,297.01,64.9,174,-327,70,-258,330,0,1
293,-157,-358,378,329,0.0,-76,-357,-232,457,0.0,0.0,-689.83,77,-99,-169,-1275,266,33,0
294,-145,-213,95,498,1.0,198,868,190,163,0.0,26.11,-221.36,-20,-161,-152,-586,-176,0,1
295,-83,-578,327,498,1.0,82,1648,195,-150,0.0,0.0,-82.8,346,-633,-32,-807,78,0,0
296,-186,-395,-65,-57,0.0,-421,827,-13,225,100.0,0.0,-348.05,378,-433,-37,-838,75,0,0
297,176,-57,152,64,1.0,30,-312,-168,-159,0.0,0.0,46.54,241,275,240,-248,250,100,0
298,-510,-234,500,59,1.0,370,97,262,-125,0.0,238.16,106.1,-37,-86,-490,-109,356,0,1
299,-72,45,-93,-290,0.0,-118,-485,-121,-1,70.54,0.0,-211.56,181,63,33,-646,321,100,0
300,-351,107,213,-206,0.0,-38,-958,-1,134,100.0,107.2,184.17,-76,266,-675,-667,199,0,1
301,-125,350,382,-421,1.0,81,-53,-264,410,0.0,420.7,-230.25,571,104,-169,-89,70,0,1
302,-308,68,346,279,0.0,316,-623,-61,-105,100.0,250.97,269.7,-449,84,-343,75,195,0,1
303,-234,61,-242,58,0.0,-286,-366,6,245,100.0,138.3,29.83,-37,-221,25,164,200,100,0
304,23,-190,-14,-236,0.0,73,269,-86,104,100.0,10.32,-145.82,318,-47,131,-479,169,0,0
305,248,-139,187,-89,1.0,279,-62,-239,-166,0.0,96.08,-178.88,157,-21,-113,-609,56,0,1
306,42,492,-89,34,0.0,202,-575,-188,441,100.0,76.87,138.29,-138,287,287,1042,-22,29,1
307,42,-266,292,488,0.0,136,411,215,298,0.0,0.0,-663.11,150,-109,-316,-923,-27,0,0
308,-180,99,83,-195,1.0,646,-676,380,128,100.0,260.91,-13.78,-363,299,-240,867,179,100,0
309,-17,227,219,56,1.0,31,69,280,289,0.0,285.14,-241.01,-81,-254,-314,114,430,0,1
310,-900,103,170,500,1.0,-56,333,487,145,0.0,337.63,-243.71,-320,-570,-155,-216,724,24,1
311,-163,45,47,-149,0.0,61,-572,-349,453,58.92,328.8,12.0,304,23,15,-29,173,0,1
312,-130,-250,452,445,1.0,321,602,-57,-68,0.0,0.0,-230.0,183,-66,-10,-665,121,0,0
313,107,-89,275,-320,1.0,344,-85,-21,268,0.0,430.95,-320.35,44,-228,-395,186,118,0,1
314,464,77,-107,85,0.0,183,-252,208,37,0.0,154.27,-28.23,-264,-165,-447,-250,209,0,1
315,163,-3,-251,65,1.0,107,432,348,-31,31.24,360.07,58.12,-16,-252,-111,617,-115,0,1
316,11,67,88,-121,0.0,-55,526,-11,180,0.0,428.4,-68.7,195,-209,482,124,287,0,1
317,437,-360,232,207,0.0,-437,3,-241,350,0.0,61.56,-358.34,482,-110,-184,-561,-47,0,1
318,338,191,62,29,1.0,-210,447,217,24,100.0,601.6,154.67,344,-240,-547,653,-12,0,1
319,528,-416,-366,-206,1.0,15,523,-13,-197,100.0,482.87,62.51,295,-452,62,592,-379,0,0
320,-18,481,-116,21,0.0,-14,752,-243,413,100.0,133.4,-363.86,292,108,711,1009,-537,100,0
321,-346,43,-126,173,0.0,-184,-113,45,-272,100.0,0.0,313.76,269,388,-77,-1238,400,0,1
322,-47,-108,118,225,1.0,70,376,-110,-127,0.0,0.0,7.27,184,-103,282,-399,203,0,0
323,59,-26,233,316,1.0,206,341,37,105,0.0,0.0,-200.23,155,-114,-165,-303,200,0,0
324,-415,283,439,-299,0.0,368,-1484,-623,453,73.07,243.76,96.94,125,526,-408,-446,147,0,1
325,-295,331,118,211,0.0,-190,119,-200,-107,68.88,0.0,-270.86,24,352,-26,-524,-285,19,1
326,-177,378,-174,-138,0.0,-38,713,6,303,100.0,0.0,-134.07,431,217,285,42,-310,0,1
327,412,-103,469,354,0.0,-232,354,-252,388,68.08,0.0,-226.83,600,211,-111,-244,-119,0,0
328,-768,268,565,-250,0.0,10,-477,-256,-103,0.0,358.11,-163.45,-42,311,-217,-1102,48,0,1
329,-77,-124,-193,-17,0.0,-576,1177,-4,111,100.0,0.0,-581.28,336,-71,408,-796,-176,0,0
330,-401,18,21,128,0.0,-294,183,-374,348,100.0,27.82,-287.2,319,16,222,-412,-84,87,0
331,-337,375,526,-204,1.0,-19,84,24,36,0.0,490.27,-195.21,-139,-35,-79,275,-30,0,1
332,-162,403,372,206,0.0,-8,-663,-306,27,0.0,90.44,-122.23,177,580,-97,-736,306,4,1
333,391,171,23,-14,1.0,70,-355,238,-110,0.0,323.67,49.03,-17,-264,-481,162,482,0,1
334,83,-245,180,-119,1.0,12,-62,-12,492,0.0,160.81,-547.65,38,-167,-563,-1017,15,0,1
335,-231,-296,569,184,1.0,99,605,-94,-169,0.0,55.74,98.95,222,10,75,-155,24,10,1
336,168,232,-192,329,0.0,561,227,566,167,0.0,0.0,-421.42,-40,-67,-145,158,256,58,0
337,34,-47,244,-764,0.0,-122,-2,-97,-16,100.0,0.0,-107.16,214,489,238,-959,207,0,0
338,-17,25,142,-136,1.0,-33,-397,-434,489,100.0,161.33,-291.75,146,-29,20,566,-163,100,0
339,-379,-53,43,201,0.0,-401,119,-32,-148,33.03,163.53,-211.99,-221,-245,-69,-746,106,0,1
340,323,184,-145,32,1.0,283,478,63,-216,0.0,0.0,-110.18,213,-77,240,-530,258,0,1
341,-179,11,236,-79,1.0,53,-138,18,-52,0.0,333.84,84.23,-38,-178,-305,18,284,0,1
342,282,-279,-21,53,0.0,330,-55,6,148,0.0,0.0,-249.66,-16,16,-11,-463,5,0,0
343,233,-56,-214,204,0.0,-286,-58,36,263,65.48,124.44,23.4,255,-19,-221,-74,-17,0,0
344,-327,73,-157,-614,0.0,320,-277,-299,435,100.0,0.0,76.85,517,378,131,-362,-183,0,1
345,-36,165,542,187,1.0,9,533,115,-5,0.0,223.87,-31.92,103,-206,-123,405,271,0,1
346,458,265,96,201,1.0,-231,534,173,-51,0.0,0.0,-475.61,188,5,-175,146,18,0,1
347,-303,66,566,-286,1.0,65,-602,-321,149,0.0,439.32,225.33,39,223,-267,-168,212,0,1
348,34,-348,7,253,1.0,105,990,446,145,100.0,222.74,51.33,166,-353,-98,1098,-248,23,0
349,285,-15,289,-258,1.0,557,266,46,-511,0.0,219.97,-21.52,-76,-129,2,321,-8,39,1
350,-291,-129,-183,163,0.0,-396,164,-209,-236,0.0,0.0,-76.87,340,-38,147,-1614,512,0,0
351,272,207,-109,-312,1.0,234,456,246,-149,100.0,242.48,313.18,120,-41,26,727,43,0,1
352,46,-307,-163,-46,1.0,205,94,170,127,100.0,175.8,3.41,15,-3,-79,632,-286,100,0
353,199,267,27,-300,1.0,146,378,-67,265,100.0,0.0,-292.06,-37,155,81,590,-454,0,1
354,208,587,154,-85,1.0,357,-489,-393,461,48.64,461.43,-88.83,72,170,420,1562,-96,100,1
355,145,177,-89,-127,1.0,42,-26,377,-41,30.38,411.86,96.95,-130,-442,-297,783,405,0,1
356,305,-126,43,389,0.0,-62,680,317,17,100.0,165.07,166.92,154,-179,-113,654,-116,0,0
357,-46,24,281,-405,1.0,-85,527,-192,237,100.0,101.05,-265.6,27,68,105,311,-469,0,1
358,-39,181,572,-152,1.0,52,-1272,-437,-44,0.0,242.86,-160.22,-167,459,-84,-354,380,100,1
359,-24,-316,-176,-211,1.0,14,338,105,532,0.0,35.79,-353.63,119,-270,-176,-187,-81,0,1
360,150,267,228,1,1.0,-196,1176,-8,429,100.0,0.0,-545.36,148,94,149,863,-809,0,1
361,353,-48,111,-1,1.0,362,391,198,-72,0.0,278.68,-109.52,-91,-279,-38,376,49,0,1
362,-29,123,39,14,1.0,-78,413,142,-143,0.0,337.44,-96.46,273,-504,-5,586,355,100,1
363,-335,-18,-286,-539,0.0,28,707,-35,145,100.0,0.0,-53.31,527,83,106,-1243,-32,0,0
364,-375,144,93,-343,0.0,-290,398,-89,357,100.0,176.44,34.08,298,97,38,-108,-226,0,1
365,-306,-302,-44,-139,0.0,-221,-317,-424,-68,86.61,0.0,-40.46,184,148,46,-1567,319,0,0
366,289,320,15,-151,1.0,321,470,59,547,100.0,328.47,235.24,213,10,174,1690,-286,0,1
367,126,495,639,501,1.0,-5,106,322,13,100.0,428.72,43.73,-169,-216,-495,1388,336,0,1
368,264,-487,420,576,0.0,128,147,-241,-97,0.0,222.88,-155.47,30,-42,-176,-762,-190,0,1
369,-216,423,-163,16,0.0,-70,-312,-5,211,0.0,541.0,321.91,380,60,266,386,346,81,1
370,-221,-286,-66,31,1.0,39,145,131,25,0.0,223.08,-84.51,87,-332,52,315,156,100,1
371,566,-221,92,356,0.0,357,-44,-189,157,0.0,0.0,-524.77,-123,44,-8,-677,-245,0,1
372,-34,-43,170,37,0.0,-19,-585,71,193,82.87,249.6,132.35,-118,-91,-126,-101,611,0,0
373,248,571,-140,-249,1.0,55,-215,150,58,35.42,85.04,197.42,11,98,128,1319,296,100,1
374,382,472,-621,162,1.0,170,-176,228,-196,0.0,192.06,122.85,-171,-199,-71,121,320,0,1
375,170,-302,-4,253,1.0,-203,100,-246,-234,0.0,177.83,-43.03,168,-281,81,-707,83,0,1
376,-625,-76,402,19,0.0,87,-888,39,-380,100.0,103.91,321.35,-659,335,-390,-1105,286,0,0
377,79,201,222,-328,1.0,213,-1121,-467,141,0.0,260.78,271.79,217,419,-15,-303,567,0,1
378,45,-26,142,-383,0.0,32,-376,-103,368,100.0,115.31,-29.55,129,-10,-239,37,163,0,0
379,-121,232,336,-41,0.0,120,-1087,-211,51,0.0,296.05,434.23,-3,688,122,-293,495,0,1
380,109,-109,-65,19,0.0,-486,275,-112,143,100.0,0.0,-703.71,139,-168,159,-731,189,100,0
381,99,-300,62,279,1.0,237,907,305,-156,27.2,34.14,10.31,126,-141,134,531,-269,100,1
382,10,233,-110,50,0.0,133,-746,-140,322,0.0,531.93,353.43,439,-10,74,464,576,100,1
383,-218,-123,75,19,0.0,93,176,-150,65,100.0,6.56,-213.18,50,-83,-10,-454,0,0,0
384,75,392,228,178,1.0,-223,116,-3,-222,0.0,59.45,-537.93,-69,147,54,-325,72,100,1
385,235,-26,58,249,0.0,20,-234,67,-55,72.8,204.93,147.16,7,-99,-125,226,321,0,0
386,73,194,30,-61,1.0,246,-193,-330,154,100.0,80.87,101.58,-126,149,273,469,23,0,1
387,269,613,65,470,0.0,152,-454,233,327,81.64,132.71,-142.82,-226,-111,-322,573,609,0,1
388,-391,206,116,-71,0.0,374,-701,-262,82,100.0,43.15,293.48,32,580,-104,-467,-29,0,1
389,-61,-26,-96,238,1.0,149,29,321,293,0.0,217.35,-349.36,-43,-276,-357,89,159,0,1
390,-308,63,182,-528,0.0,-267,674,-147,-70,89.57,0.0,-558.15,152,157,-25,-1202,-334,0,1
391,497,102,-30,169,1.0,-248,240,91,32,100.0,320.1,212.63,102,-262,-88,818,77,0,1
392,92,-2,267,-258,1.0,90,-1,-144,191,0.0,257.54,-3.96,187,-7,-93,-67,224,0,1
393,174,-378,5,-234,1.0,157,-373,-131,51,0.0,0.0,141.65,287,469,32,-391,-37,100,0
394,123,191,217,-2,1.0,-279,785,180,134,100.0,0.0,-295.11,51,29,160,378,-95,0,1
395,598,-143,-335,-413,1.0,103,65,125,-84,100.0,573.86,69.32,92,-425,-266,550,-85,0,0
396,14,48,243,310,1.0,-19,554,109,121,0.0,0.0,-116.65,187,-214,21,-48,331,0,1
397,47,425,-331,198,0.0,-126,899,284,139,100.0,0.0,-402.68,347,86,74,297,-447,95,0
398,277,-772,-373,212,0.0,-197,1054,38,157,76.38,99.91,-140.23,510,-360,-27,-369,-644,0,0
399,-36,649,-4,89,0.0,-25,35,225,13,100.0,316.14,324.3,52,310,191,908,50,0,1
400,70,285,172,169,0.0,-78,-645,-172,605,0.0,34.37,-303.13,16,66,-402,-467,431,0,1
401,471,-182,90,-142,1.0,53,-176,-51,313,100.0,461.82,-93.38,111,-89,-304,616,-151,0,0
402,-201,-134,9,167,0.0,-492,-247,69,-95,0.0,0.0,-236.85,92,75,-90,-1392,551,41,0
403,-308,-117,72,-283,0.0,-215,-665,-497,-71,0.0,0.0,-238.05,86,119,60,-1764,550,0,0
404,-316,52,-241,-187,0.0,-153,494,-307,348,100.0,0.0,-361.62,413,-65,203,-432,-342,0,1
405,-384,-339,-48,341,1.0,136,968,192,38,0.0,0.0,46.05,178,-251,421,-297,182,31,0
406,133,152,463,-320,1.0,260,545,53,79,0.0,363.19,-231.12,250,66,73,5,64,0,1
407,171,-338,641,460,1.0,-200,1452,80,-53,100.0,0.0,114.68,492,-347,4,181,-43,0,0
408,265,171,-150,33,1.0,-2,-364,77,-343,32.84,349.95,409.21,55,14,-219,179,273,0,1
409,-272,-123,-124,27,0.0,38,167,-382,157,100.0,0.0,-168.06,47,134,69,-1085,-85,0,0
410,-318,8,123,-51,0.0,-169,-142,-432,-7,0.0,67.75,-215.29,69,149,349,-803,161,58,1
411,93,389,-316,-166,0.0,-81,373,171,194,100.0,245.45,-147.15,523,-78,413,497,119,100,0
412,32,102,59,-77,0.0,36,-48,93,-70,21.54,136.85,52.52,77,58,-47,-394,374,0,1
413,-100,-99,672,781,0.0,104,42,-233,-167,0.0,0.0,-34.45,-180,28,132,-641,298,0,0
414,-98,-335,95,-213,1.0,686,638,148,-61,0.0,0.0,-28.39,202,148,210,-202,-65,0,0
415,-460,100,726,-331,1.0,-587,-468,-327,82,0.0,161.82,-330.12,-90,337,7,-889,252,63,1
416,-93,-404,295,-153,1.0,185,484,-25,203,0.0,0.0,-345.95,506,53,-37,-913,85,15,0
417,46,158,727,236,0.0,37,-690,-75,33,14.15,0.0,-7.55,-1,372,-67,210,463,100,0
418,279,-266,749,-173,1.0,30,-215,-198,11,100.0,121.65,205.39,209,240,50,832,38,100,0
419,-16,324,33,-222,0.0,-453,1533,257,-7,17.62,0.0,-449.4,558,281,439,-960,-14,0,1
420,79,-58,-240,-201,1.0,352,-128,503,-100,0.0,184.53,-4.03,-26,-116,-295,96,319,49,1
421,-127,-550,288,1,1.0,370,614,196,-23,23.63,0.0,-58.23,465,66,90,-241,59,100,0
422,-404,-54,-168,270,1.0,373,685,435,249,0.0,0.0,-397.97,102,-240,86,167,138,100,0
423,182,318,154,-19,0.0,224,-611,-472,664,100.0,121.15,-419.11,280,229,242,781,-61,100,0
424,-48,-350,21,-325,1.0,159,423,219,279,0.0,0.0,-133.99,408,-130,-259,-108,104,0,0
425,186,-94,-50,42,1.0,385,397,315,-132,100.0,289.53,134.4,77,78,-168,912,-330,75,0
426,-296,-508,94,97,1.0,90,1015,388,402,0.0,12.51,-538.95,438,-354,-131,-336,-26,100,1
427,-203,-95,230,298,0.0,39,291,310,330,0.0,0.0,-250.67,133,-63,91,-310,480,72,0
428,-263,-26,-19,-587,0.0,-159,1594,79,88,100.0,0.0,-472.15,390,-81,151,-639,-630,0,0
429,-659,230,182,-470,0.0,-169,-49,106,-34,100.0,435.85,431.07,-22,239,188,-330,118,0,1
430,25,-157,31,-503,0.0,-202,309,-84,-29,100.0,0.0,-513.33,118,8,-128,-922,-102,0,0
431,79,268,-284,146,0.0,143,-753,-314,170,100.0,203.38,160.14,17,-64,6,258,333,0,1
432,-361,211,-86,448,0.0,-517,1073,491,-153,100.0,0.0,-479.56,38,-105,18,-428,-264,86,0
433,-228,-64,42,163,0.0,-513,-121,35,-312,100.0,0.0,11.57,-352,191,166,-976,406,0,0
434,43,447,-219,-155,0.0,-132,77,154,171,100.0,33.04,-129.52,-40,139,403,589,-81,100,0
435,-130,105,307,-353,0.0,-183,-260,-56,237,100.0,158.54,-32.06,1,191,-20,-6,96,0,1
436,244,158,-391,-19,1.0,-107,-247,169,175,100.0,454.3,109.24,-41,-257,-261,645,113,0,1
437,81,59,335,579,0.0,-250,-262,51,69,0.0,0.0,-52.93,66,-52,-52,-291,569,81,0
438,336,-182,110,-142,1.0,107,519,-50,-99,0.0,72.59,-26.44,211,-202,25,99,-82,0,1
439,190,497,218,58,1.0,160,82,283,219,100.0,26.05,154.52,28,129,-369,1139,199,0,1
440,293,-90,-60,-105,1.0,-158,-211,-94,69,100.0,248.21,242.89,77,62,-41,198,12,0,0
441,304,-169,-136,-389,1.0,532,200,67,44,25.28,341.25,-165.5,-38,-181,-151,108,-184,0,1
442,-3,-460,-217,28,0.0,147,-499,-208,-98,100.0,0.0,201.15,67,29,25,-1158,613,0,0
443,-300,-618,49,147,0.0,-23,721,116,621,0.0,0.0,-402.06,618,85,169,-455,-165,100,0
444,-91,286,474,-174,1.0,-190,842,275,-89,0.0,191.32,-337.89,145,221,-254,-258,-344,0,1
445,-347,41,83,148,0.0,-315,345,-72,-131,100.0,0.0,-40.95,-1,196,169,-864,58,0,1
446,98,-563,257,187,0.0,221,277,-138,-68,0.0,52.49,-242.75,60,-140,-70,-1152,-53,0,1
447,-173,-346,105,446,0.0,84,522,-58,259,0.0,0.0,-316.37,5,-147,498,-982,192,0,0
448,630,-399,-192,-56,0.0,304,45,-448,73,0.0,108.34,-479.92,211,10,202,-940,-512,0,1
449,-229,-315,58,41,0.0,-143,87,-244,54,0.0,0.0,-574.83,109,-281,-46,-1444,298,0,0
450,245,-426,74,-257,1.0,368,340,-95,31,0.0,0.0,-57.0,210,69,213,-74,-171,67,0
451,-278,-644,166,242,1.0,40,999,-135,94,0.0,0.0,-242.67,595,8,507,-1047,-104,100,0
452,-130,-13,-139,-52,0.0,-153,-817,-158,-210,100.0,0.0,257.84,-142,319,279,-672,564,100,0
453,-341,89,-557,62,0.0,-181,-65,-67,64,100.0,0.0,119.89,547,-71,74,-894,379,9,1
454,-358,163,135,-488,0.0,236,-349,-256,458,100.0,245.0,209.73,685,342,-220,-144,-62,0,1
455,-95,-228,5,404,0.0,4,90,38,339,0.0,275.49,-286.36,164,-135,-252,-293,-30,0,1
456,212,-146,31,35,1.0,-302,438,419,13,100.0,474.83,330.99,38,-459,-328,1163,100,0,0
457,-95,112,225,-106,0.0,-136,453,200,-80,100.0,57.48,-72.9,-380,69,214,356,-156,0,1
458,305,145,138,-277,1.0,-40,282,276,107,100.0,239.66,107.27,382,-45,-383,1155,16,59,0
459,4,427,272,86,1.0,297,-200,-286,410,76.01,510.98,-51.66,-150,82,402,1424,-197,100,0
460,-408,195,202,227,0.0,238,-1809,-423,-116,19.24,218.35,446.42,-248,444,-236,-815,770,35,1
461,281,20,227,-240,1.0,61,-370,-160,-233,24.34,377.34,215.81,-43,-239,-302,388,282,0,1
462,-130,332,71,164,1.0,-101,1165,54,157,8.45,251.23,-212.36,466,-81,251,373,-224,0,1
463,771,124,-141,-213,1.0,-461,-244,3,281,100.0,613.71,59.18,35,-284,-395,1368,-295,0,1
464,-274,-373,-556,61,0.0,-618,731,-73,90,100.0,0.0,-99.85,74,-536,426,-558,67,0,0
465,22,-68,275,-47,1.0,-355,129,-187,345,0.0,0.0,-183.9,424,-172,200,-171,431,100,0
466,174,-385,6,-269,1.0,265,301,168,-32,100.0,52.72,202.12,397,106,81,930,-193,100,0
467,131,171,300,58,1.0,355,116,36,-134,6.56,207.88,153.37,-419,-160,-433,436,-24,0,1
468,248,203,437,156,1.0,66,-869,-195,205,0.0,420.11,91.48,-118,200,-85,430,487,0,1
469,-241,185,397,-400,0.0,315,-129,-147,238,100.0,185.88,253.71,222,417,-161,-190,27,0,1
470,422,222,-117,328,0.0,-247,-386,-91,173,0.0,6.89,-196.8,163,-4,-245,-593,248,0,1
471,-102,-164,75,-31,0.0,-173,-621,10,-86,37.74,161.87,225.58,-94,-41,2,-718,817,0,1
472,-20,-317,113,-37,1.0,123,559,158,40,0.0,274.76,-136.79,77,-217,-83,626,-339,100,1
473,67,-124,-155,-54,1.0,198,-187,244,103,100.0,382.58,75.31,-207,-147,-309,522,-11,0,0
474,343,171,276,721,0.0,-320,-455,44,-48,0.0,99.91,-64.04,-23,-140,-395,-734,621,0,1
475,507,-150,-709,-264,0.0,98,-795,92,211,100.0,228.95,62.6,49,261,-268,-105,-214,0,1
476,7,210,6,-129,1.0,289,215,35,-257,0.0,279.18,165.48,160,56,77,703,18,100,1
477,63,-160,256,329,1.0,401,1191,340,25,0.0,219.41,-223.77,155,-412,-348,64,-65,0,1
478,-125,296,52,-388,0.0,674,-474,-376,358,100.0,467.67,318.76,64,155,228,898,-141,0,1
479,71,70,148,144,1.0,3,-272,-457,23,0.0,76.96,-362.61,368,222,386,-512,363,100,1
480,236,-129,402,310,1.0,-148,-185,-219,211,25.5,236.42,-296.11,130,133,-255,277,-379,100,1
481,-118,-90,466,13,1.0,253,5,-222,79,0.0,0.0,-430.71,251,5,215,-1032,544,100,0
482,-112,-114,-95,-49,0.0,-372,-763,-454,132,100.0,0.0,-441.42,-115,-59,-209,-685,46,100,0
483,-52,-271,71,-89,0.0,-262,-108,64,-421,0.0,0.0,88.72,230,274,-158,-1924,766,0,0
484,-246,-352,352,314,1.0,201,967,245,183,0.0,0.0,-276.33,458,-135,327,-447,381,100,0
485,125,-93,3,190,1.0,103,15,-304,341,100.0,325.87,95.24,165,-242,395,809,288,42,0
486,-433,117,319,29,0.0,-91,-1297,22,-491,0.0,362.0,237.98,-702,269,131,-455,617,100,1
487,343,215,373,-18,1.0,-153,-203,-377,480,0.0,273.41,-374.65,216,20,275,531,324,59,1
488,43,-269,341,-79,1.0,-614,35,-209,-160,0.0,0.0,-495.3,-256,42,229,-1165,398,0,0
489,187,-12,-53,35,0.0,325,-503,205,-5,0.0,264.1,-66.37,-150,102,-338,126,49,0,1
490,476,-169,40,-722,1.0,671,-1118,-611,728,100.0,312.71,387.78,68,101,447,1233,339,0,0
491,-127,-110,386,-402,1.0,-44,-159,-271,38,0.0,163.26,-143.44,-161,25,134,-337,183,0,1
492,150,572,391,170,1.0,-264,622,-110,212,0.0,207.85,-557.09,168,193,206,555,-276,5,1
493,214,43,400,-127,1.0,14,196,-100,244,80.85,31.3,-137.13,215,-36,76,825,9,100,0
494,79,-210,52,37,0.62,91,229,-186,-56,0.0,0.0,-40.69,229,-94,201,-797,235,0,0
495,123,-273,153,225,0.0,-228,106,-72,287,0.0,208.09,-346.77,356,-237,281,-311,587,100,1
496,-59,209,-60,-82,0.0,-210,-377,-172,-72,100.0,0.0,71.79,109,401,188,-1032,480,0,1
497,343,199,257,139,0.0,407,-53,159,169,0.0,0.0,-395.95,-3,23,-126,-419,418,0,1
498,68,-155,160,281,1.0,295,705,337,41,0.0,253.93,-279.68,154,-494,-546,-412,203,0,1
499,327,-263,243,-210,1.0,-71,-401,58,184,0.0,82.79,-64.52,192,157,-411,154,18,100,1
500,260,-273,180,-201,0.0,81,-376,-309,329,0.0,41.68,-347.14,208,153,-44,-807,17,0,1
501,-637,81,403,614,0.0,-756,1414,400,-589,0.0,0.0,-298.8,63,227,-22,-1945,97,0,1
