,Age,Education Level,Occupation,Years of Experience,Marital Status,Work Hours per Week,Urban/Rural,label
480,42,Doctorate,Project Manager,8,Single,45,Urban,1
481,27,Doctorate,Teacher,7,Single,60,Rural,1
482,62,Doctorate,Medical Doctor,32,Single,60,Rural,1
483,31,Master's,Medical Doctor,13,Widowed,30,Rural,1
484,20,Bachelor's,Project Manager,2,Married,55,Rural,1
485,34,Doctorate,Lawyer,5,Widowed,50,Rural,1
486,25,Associate's,Financial Analyst,7,Married,45,Rural,1
487,47,High School,Project Manager,20,Single,40,Urban,1
488,52,Doctorate,Sales Representative,18,Single,30,Urban,1
489,23,Doctorate,Teacher,3,Married,55,Rural,1
490,18,Master's,Medical Doctor,0,Married,40,Rural,1
491,64,Bachelor's,Marketing Specialist,37,Widowed,40,Rural,0
492,31,Associate's,Teacher,3,Married,40,Rural,0
493,21,Master's,Construction Laborer,2,Married,50,Rural,1
494,63,Doctorate,Retired,36,Married,50,Urban,1
495,56,Master's,Data Scientist,34,Single,45,Rural,1
496,56,Doctorate,Retired,21,Married,0,Rural,1
497,48,Associate's,Medical Doctor,24,Widowed,45,Urban,1
498,24,Associate's,Marketing Specialist,0,Married,45,Rural,0
499,43,Master's,Retired,12,Widowed,40,Rural,1
500,20,Doctorate,Data Scientist,2,Widowed,45,Rural,1
501,23,Associate's,Retail Associate,3,Married,55,Urban,0
502,44,Doctorate,Teacher,4,Widowed,45,Urban,1
503,33,Bachelor's,Engineer,14,Widowed,0,Rural,0
504,25,Master's,Marketing Specialist,6,Widowed,40,Urban,1
505,27,Doctorate,Marketing Specialist,4,Single,50,Rural,1
506,51,Master's,Medical Doctor,29,Married,55,Urban,1
507,47,Master's,University Professor,7,Single,50,Rural,1
508,59,Doctorate,Sales Representative,15,Married,55,Rural,1
509,22,Bachelor's,Data Scientist,2,Widowed,45,Rural,1
510,41,Bachelor's,Engineer,4,Single,35,Urban,1
511,25,Associate's,Data Scientist,6,Married,50,Rural,1
512,48,High School,Software Engineer,20,Married,50,Rural,1
513,24,Master's,Marketing Specialist,6,Married,30,Urban,1
514,24,High School,Teacher,0,Married,60,Rural,0
515,58,High School,Engineer,23,Widowed,40,Rural,0
516,41,Bachelor's,Medical Doctor,4,Widowed,30,Urban,1
517,35,Associate's,Construction Laborer,5,Single,50,Rural,0
518,24,Bachelor's,Medical Doctor,2,Widowed,60,Rural,1
519,56,Associate's,Project Manager,28,Single,50,Rural,1
520,33,High School,Sales Representative,15,Widowed,35,Urban,0
521,42,Doctorate,Data Scientist,18,Single,50,Urban,1
522,58,High School,Barista,22,Married,45,Rural,1
523,42,High School,Project Manager,18,Married,60,Rural,1
524,46,High School,Financial Analyst,14,Widowed,35,Urban,1
525,34,Master's,Teacher,9,Single,55,Urban,1
526,39,High School,Sales Representative,0,Single,0,Urban,0
527,63,Associate's,Financial Analyst,39,Married,40,Rural,1
528,25,Doctorate,Retired,7,Married,30,Urban,1
529,29,Bachelor's,Lawyer,7,Married,50,Urban,1
530,61,Bachelor's,University Professor,16,Widowed,50,Rural,1
531,64,High School,Sales Representative,0,Single,40,Urban,0
532,56,Associate's,Sales Representative,22,Single,50,Urban,0
533,21,Master's,Project Manager,1,Married,50,Rural,1
534,43,High School,Engineer,14,Widowed,60,Rural,0
535,35,Doctorate,Retired,3,Single,40,Urban,1
536,36,Doctorate,Teacher,14,Single,55,Rural,1
537,42,Master's,Construction Laborer,7,Single,30,Rural,1
538,26,Doctorate,Sales Representative,5,Widowed,30,Urban,1
539,50,High School,Barista,25,Widowed,50,Rural,0
540,29,Master's,University Professor,6,Widowed,50,Rural,1
541,24,Master's,University Professor,0,Widowed,55,Rural,1
542,57,Associate's,Medical Doctor,37,Single,35,Rural,1
543,30,Bachelor's,Teacher,4,Married,55,Rural,0
544,32,High School,Teacher,8,Married,55,Urban,1
545,38,Master's,Sales Representative,13,Widowed,0,Urban,1
546,28,Associate's,Software Engineer,7,Married,50,Urban,1
547,38,Master's,Marketing Specialist,12,Married,50,Urban,1
548,55,High School,Sales Representative,24,Widowed,30,Urban,0
549,44,Associate's,Barista,13,Widowed,45,Urban,0
550,30,Associate's,Teacher,5,Widowed,60,Urban,0
551,40,Associate's,Software Engineer,0,Widowed,45,Rural,1
552,65,Bachelor's,Retail Associate,37,Married,40,Urban,1
553,39,Associate's,Engineer,12,Married,60,Urban,1
554,32,Bachelor's,Project Manager,3,Single,45,Urban,1
555,62,Doctorate,Engineer,28,Widowed,40,Rural,1
556,43,Associate's,Barista,19,Married,0,Rural,0
557,57,Bachelor's,Marketing Specialist,25,Single,50,Rural,0
558,47,Doctorate,Engineer,1,Married,60,Urban,1
559,63,Doctorate,Project Manager,3,Widowed,35,Rural,1
560,28,Master's,Sales Representative,2,Widowed,30,Urban,1
561,24,Doctorate,Teacher,5,Widowed,30,Rural,1
562,36,Associate's,Software Engineer,12,Widowed,35,Urban,1
563,31,Bachelor's,Teacher,8,Widowed,50,Urban,1
564,39,Doctorate,Software Engineer,15,Married,40,Urban,1
565,56,Doctorate,University Professor,32,Widowed,50,Rural,1
566,60,Bachelor's,Data Scientist,42,Widowed,35,Rural,1
567,44,Master's,Barista,7,Single,55,Urban,1
568,20,Doctorate,Engineer,1,Married,30,Urban,1
569,52,Bachelor's,University Professor,19,Widowed,35,Urban,1
570,41,Bachelor's,Marketing Specialist,4,Single,55,Urban,1
571,64,High School,Software Engineer,26,Single,50,Urban,1
572,36,High School,Marketing Specialist,15,Widowed,30,Rural,0
573,18,Doctorate,Medical Doctor,0,Widowed,50,Urban,1
574,50,Associate's,Retail Associate,4,Married,50,Rural,0
575,21,Bachelor's,Retired,1,Married,40,Rural,0
576,42,Doctorate,Software Engineer,10,Widowed,60,Rural,1
577,50,Associate's,Marketing Specialist,24,Widowed,45,Rural,0
578,64,Master's,Sales Representative,1,Married,0,Urban,1
579,22,Associate's,Teacher,0,Married,60,Rural,0
580,61,Bachelor's,Barista,41,Widowed,60,Rural,0
581,22,Bachelor's,Construction Laborer,4,Widowed,0,Urban,1
582,35,Associate's,Financial Analyst,15,Married,50,Rural,1
583,55,Master's,Software Engineer,16,Married,50,Urban,1
584,61,Doctorate,Financial Analyst,15,Single,45,Rural,1
585,37,High School,Teacher,19,Widowed,35,Rural,0
586,26,Master's,Retail Associate,5,Single,45,Urban,1
587,65,Associate's,Sales Representative,27,Single,30,Rural,0
588,26,Doctorate,University Professor,5,Widowed,40,Rural,1
589,46,Associate's,Medical Doctor,23,Widowed,45,Urban,1
590,63,Doctorate,Medical Doctor,36,Single,60,Urban,1
591,27,Master's,Engineer,4,Single,55,Urban,1
592,27,Bachelor's,Barista,1,Married,0,Urban,1
593,27,Associate's,Barista,4,Widowed,40,Rural,0
594,39,Doctorate,University Professor,6,Single,50,Rural,1
595,60,Master's,Barista,27,Married,45,Urban,1
596,40,Master's,Data Scientist,10,Widowed,55,Rural,1
597,53,Master's,Financial Analyst,28,Married,55,Rural,1
598,56,High School,Software Engineer,12,Married,40,Urban,1
599,57,Doctorate,Lawyer,18,Widowed,0,Rural,1
600,25,Associate's,University Professor,7,Widowed,50,Urban,1
601,35,High School,Barista,15,Single,50,Urban,0
602,25,Associate's,Software Engineer,6,Single,0,Rural,1
603,27,Doctorate,Retail Associate,3,Widowed,60,Urban,1
604,27,Doctorate,Financial Analyst,7,Married,30,Rural,1
605,26,Doctorate,Project Manager,8,Single,30,Rural,1
606,40,Associate's,Construction Laborer,10,Single,0,Rural,0
607,55,High School,University Professor,26,Single,0,Urban,1
608,48,Bachelor's,Project Manager,18,Single,0,Urban,1
609,39,Doctorate,Marketing Specialist,10,Widowed,40,Rural,1
610,56,Bachelor's,Marketing Specialist,6,Widowed,45,Urban,1
611,31,Doctorate,Data Scientist,0,Single,30,Urban,1
612,64,Doctorate,Project Manager,27,Married,30,Rural,1
613,43,Associate's,Retired,23,Single,60,Urban,0
614,23,Bachelor's,Engineer,2,Widowed,60,Urban,1
615,36,High School,Marketing Specialist,8,Married,60,Urban,1
616,29,Master's,Sales Representative,7,Single,40,Urban,1
617,52,High School,Financial Analyst,19,Widowed,50,Rural,1
618,37,Doctorate,Software Engineer,1,Married,0,Urban,1
619,27,High School,Marketing Specialist,8,Married,30,Rural,0
620,48,High School,University Professor,11,Married,30,Rural,1
621,33,Associate's,Medical Doctor,1,Widowed,40,Rural,1
622,63,High School,Barista,2,Widowed,45,Urban,0
623,64,Doctorate,Barista,12,Widowed,0,Rural,1
624,31,Doctorate,Retired,13,Single,60,Rural,1
625,28,Associate's,Medical Doctor,7,Widowed,35,Urban,1
626,50,Bachelor's,Medical Doctor,11,Married,30,Urban,1
627,40,Doctorate,Barista,12,Widowed,60,Rural,1
628,59,Associate's,Teacher,32,Married,45,Rural,1
629,40,Master's,Medical Doctor,12,Married,45,Urban,1
630,35,Doctorate,Construction Laborer,0,Widowed,35,Rural,1
631,22,Bachelor's,Data Scientist,2,Married,55,Rural,1
632,58,Master's,Sales Representative,27,Married,40,Urban,1
633,35,Master's,Retired,3,Married,40,Rural,1
634,22,Master's,University Professor,1,Married,0,Rural,1
635,41,Master's,Barista,23,Widowed,0,Rural,1
636,40,Associate's,Sales Representative,9,Single,55,Urban,0
637,20,Associate's,Software Engineer,0,Widowed,60,Rural,1
638,36,Bachelor's,Lawyer,16,Married,30,Rural,1
639,18,Master's,Lawyer,0,Widowed,50,Urban,1
640,35,Doctorate,Marketing Specialist,0,Widowed,55,Rural,1
641,50,Associate's,Sales Representative,26,Single,50,Rural,0
642,54,Associate's,Retail Associate,9,Married,60,Urban,1
643,53,Associate's,Construction Laborer,9,Single,45,Rural,0
644,33,Bachelor's,University Professor,13,Widowed,35,Urban,1
645,39,Bachelor's,Marketing Specialist,13,Single,55,Urban,1
646,31,Bachelor's,Teacher,10,Married,40,Rural,0
647,57,High School,Teacher,17,Married,35,Rural,0
648,24,Bachelor's,Sales Representative,6,Married,35,Rural,0
649,22,Associate's,Engineer,1,Married,35,Rural,0
650,20,Associate's,Barista,0,Widowed,50,Urban,0
651,56,High School,Marketing Specialist,35,Single,35,Urban,0
652,45,High School,Project Manager,0,Married,60,Rural,1
653,51,Bachelor's,Engineer,26,Widowed,50,Urban,1
654,31,Associate's,Teacher,1,Single,0,Rural,0
655,57,Bachelor's,Financial Analyst,20,Single,55,Urban,1
656,29,Associate's,Marketing Specialist,2,Single,35,Rural,0
657,47,Master's,Financial Analyst,24,Widowed,30,Urban,1
658,48,Associate's,Construction Laborer,11,Married,0,Rural,0
659,65,High School,Project Manager,20,Widowed,35,Rural,1
660,65,Master's,Marketing Specialist,26,Single,60,Urban,1
661,29,Doctorate,Medical Doctor,5,Widowed,0,Urban,1
662,32,Bachelor's,Engineer,1,Single,30,Rural,0
663,35,Associate's,Teacher,14,Married,40,Urban,0
664,21,Associate's,Retired,2,Married,0,Rural,0
665,34,High School,Marketing Specialist,16,Widowed,40,Rural,0
666,22,High School,Engineer,4,Married,50,Rural,0
667,52,High School,Retired,10,Single,0,Rural,0
668,22,Master's,Construction Laborer,1,Single,0,Rural,1
669,63,Master's,Retail Associate,42,Single,30,Rural,1
670,61,Bachelor's,Data Scientist,27,Single,60,Urban,1
671,61,High School,Project Manager,14,Married,35,Urban,1
672,43,Master's,Marketing Specialist,11,Single,0,Rural,1
673,57,Bachelor's,Retired,9,Married,40,Rural,0
674,43,Doctorate,Medical Doctor,9,Married,0,Rural,1
675,49,Master's,Sales Representative,0,Widowed,50,Urban,1
676,53,Associate's,Sales Representative,28,Married,40,Urban,0
677,35,Master's,Engineer,14,Widowed,0,Rural,1
678,46,Doctorate,Construction Laborer,28,Married,50,Rural,1
679,24,Doctorate,Medical Doctor,1,Widowed,35,Rural,1
680,64,Bachelor's,Sales Representative,21,Single,45,Rural,0
681,28,Associate's,Lawyer,8,Married,35,Urban,1
682,52,Doctorate,Data Scientist,25,Married,60,Urban,1
683,41,Master's,Retired,0,Single,55,Urban,1
684,31,Doctorate,Financial Analyst,4,Married,60,Rural,1
685,19,Bachelor's,Sales Representative,1,Single,0,Urban,1
686,33,Associate's,Teacher,7,Married,35,Urban,0
687,51,High School,Teacher,12,Married,30,Urban,0
688,24,High School,Data Scientist,1,Single,35,Rural,1
689,61,Master's,Project Manager,8,Widowed,60,Urban,1
690,48,Doctorate,Retired,10,Widowed,55,Rural,1
691,55,Associate's,Retired,33,Single,30,Urban,0
692,58,Associate's,Financial Analyst,19,Widowed,0,Urban,1
693,18,Master's,Teacher,0,Widowed,40,Rural,1
694,33,Associate's,Project Manager,11,Widowed,35,Rural,1
695,18,Master's,Project Manager,0,Widowed,55,Rural,1
696,45,High School,Lawyer,12,Widowed,50,Urban,1
697,39,Doctorate,Marketing Specialist,16,Married,30,Urban,1
698,63,Doctorate,University Professor,37,Single,60,Urban,1
699,27,High School,Marketing Specialist,4,Widowed,45,Urban,0
700,56,Bachelor's,Software Engineer,33,Widowed,60,Urban,1
701,31,High School,Sales Representative,3,Married,55,Urban,0
702,60,Doctorate,Barista,21,Married,35,Urban,1
703,30,High School,Software Engineer,2,Widowed,50,Rural,1
704,41,Master's,Barista,13,Widowed,40,Rural,1
705,35,Master's,Marketing Specialist,15,Married,50,Rural,1
706,28,Associate's,Sales Representative,9,Married,35,Rural,0
707,35,Master's,Software Engineer,9,Married,35,Urban,1
708,35,Bachelor's,Lawyer,0,Married,30,Rural,1
709,46,Doctorate,Sales Representative,9,Married,35,Urban,1
710,47,Master's,Sales Representative,27,Single,0,Urban,1
711,56,Associate's,Engineer,30,Widowed,50,Rural,0
712,24,Associate's,Retail Associate,4,Widowed,40,Urban,0
713,57,Master's,Teacher,37,Widowed,30,Rural,1
714,32,Doctorate,Retired,8,Married,40,Urban,1
715,51,Associate's,Retired,25,Single,45,Rural,0
716,20,Master's,Lawyer,2,Married,0,Rural,1
717,26,Bachelor's,Teacher,0,Single,40,Rural,0
718,38,Bachelor's,Financial Analyst,11,Married,35,Urban,1
719,49,Bachelor's,Retired,1,Single,50,Urban,1
720,65,Associate's,Construction Laborer,39,Married,50,Urban,1
721,44,High School,Medical Doctor,9,Widowed,45,Rural,1
722,45,Master's,Medical Doctor,2,Widowed,0,Urban,1
723,51,High School,Data Scientist,21,Married,0,Rural,1
724,56,Associate's,Marketing Specialist,9,Married,60,Urban,1
725,36,Bachelor's,Financial Analyst,0,Widowed,60,Rural,1
726,27,Doctorate,Barista,4,Widowed,35,Urban,1
727,42,High School,Retail Associate,20,Married,0,Urban,0
728,30,Bachelor's,Financial Analyst,9,Married,50,Rural,1
729,35,Doctorate,University Professor,16,Single,45,Rural,1
730,18,Associate's,Medical Doctor,0,Single,40,Rural,1
731,39,Doctorate,Barista,3,Married,40,Urban,1
732,42,Associate's,Medical Doctor,9,Married,60,Urban,1
733,49,Associate's,Retired,5,Single,40,Rural,0
734,42,High School,Marketing Specialist,17,Single,30,Rural,0
735,30,Master's,Lawyer,1,Married,55,Urban,1
736,50,High School,Sales Representative,29,Widowed,55,Urban,0
737,47,Master's,University Professor,17,Single,30,Rural,1
738,42,Doctorate,Financial Analyst,23,Widowed,45,Urban,1
739,55,Doctorate,University Professor,9,Single,40,Rural,1
740,44,Doctorate,Sales Representative,1,Widowed,60,Rural,1
741,21,Bachelor's,Construction Laborer,1,Single,45,Urban,1
742,43,Master's,Retail Associate,22,Widowed,40,Urban,1
743,56,Master's,Retired,4,Widowed,40,Urban,1
744,52,High School,Data Scientist,15,Widowed,45,Rural,1
745,30,High School,Marketing Specialist,8,Widowed,45,Rural,0
746,60,Bachelor's,Engineer,8,Widowed,55,Urban,1
747,51,Bachelor's,Retired,11,Widowed,35,Urban,1
748,59,Master's,Marketing Specialist,33,Single,60,Rural,1
749,18,High School,Medical Doctor,0,Widowed,35,Urban,1
750,32,Associate's,Teacher,0,Single,60,Rural,0
751,42,Associate's,Project Manager,11,Married,0,Urban,1
752,49,Master's,Barista,13,Single,35,Urban,1
753,40,High School,Teacher,7,Single,60,Urban,0
754,65,Bachelor's,Sales Representative,24,Married,60,Rural,1
755,39,Associate's,Sales Representative,21,Widowed,30,Urban,0
756,60,Master's,Project Manager,4,Single,30,Rural,1
757,54,Doctorate,Retail Associate,26,Single,30,Urban,1
758,21,Bachelor's,Financial Analyst,0,Single,0,Rural,1
759,20,Bachelor's,Software Engineer,2,Single,30,Rural,1
760,44,High School,Barista,0,Single,0,Rural,0
761,46,Doctorate,Teacher,12,Married,40,Rural,1
762,56,Master's,Retired,21,Single,40,Urban,1
763,63,Doctorate,Retired,38,Single,45,Rural,1
764,23,Bachelor's,Retired,3,Single,40,Urban,1
765,65,Doctorate,Data Scientist,22,Widowed,35,Urban,1
766,21,High School,Engineer,2,Married,0,Rural,0
767,34,Associate's,Marketing Specialist,13,Married,55,Urban,1
768,39,Master's,Data Scientist,8,Widowed,60,Urban,1
769,26,Associate's,University Professor,1,Widowed,0,Rural,1
770,38,Associate's,Marketing Specialist,16,Married,40,Urban,0
771,33,Bachelor's,Data Scientist,9,Widowed,60,Urban,1
772,60,Bachelor's,Data Scientist,20,Widowed,60,Urban,1
773,24,Associate's,Marketing Specialist,6,Widowed,40,Rural,0
774,62,Bachelor's,Retired,41,Widowed,30,Rural,0
775,61,Master's,Retired,30,Single,0,Urban,1
776,46,Master's,Medical Doctor,9,Married,0,Urban,1
777,51,Associate's,Barista,26,Single,35,Rural,0
778,20,Bachelor's,Lawyer,2,Single,35,Urban,1
779,38,High School,Medical Doctor,8,Married,35,Urban,1
780,19,High School,Retired,0,Married,0,Rural,0
781,21,Master's,Teacher,2,Widowed,50,Urban,1
782,33,High School,Construction Laborer,5,Married,30,Urban,0
783,34,Doctorate,Lawyer,9,Widowed,40,Urban,1
784,40,Associate's,Retail Associate,12,Widowed,30,Rural,0
785,64,High School,Lawyer,41,Widowed,40,Rural,1
786,30,Master's,Marketing Specialist,9,Married,55,Rural,1
787,28,Bachelor's,Marketing Specialist,7,Single,40,Rural,0
788,60,Associate's,Medical Doctor,25,Married,50,Rural,1
789,27,Master's,Project Manager,9,Married,40,Urban,1
790,40,Associate's,Retail Associate,10,Married,50,Urban,1
791,60,Master's,Marketing Specialist,30,Single,40,Rural,1
792,25,Doctorate,University Professor,2,Married,60,Urban,1
793,45,Bachelor's,Retail Associate,5,Widowed,50,Urban,1
794,28,Associate's,Financial Analyst,9,Married,60,Urban,1
795,34,Bachelor's,Retail Associate,6,Married,45,Urban,1
796,37,High School,Medical Doctor,17,Married,55,Rural,1
797,64,Doctorate,Medical Doctor,15,Widowed,40,Urban,1
798,19,Doctorate,Project Manager,1,Single,50,Rural,1
799,31,Doctorate,Marketing Specialist,7,Widowed,45,Urban,1
800,55,High School,Software Engineer,23,Single,50,Urban,1
801,60,Master's,Medical Doctor,28,Widowed,60,Urban,1
802,33,Bachelor's,Data Scientist,9,Single,55,Urban,1
803,30,Doctorate,Lawyer,5,Widowed,0,Urban,1
804,30,High School,Medical Doctor,8,Single,45,Rural,1
805,64,Master's,University Professor,0,Widowed,35,Rural,1
806,36,Bachelor's,Marketing Specialist,10,Widowed,50,Rural,0
807,40,High School,University Professor,15,Single,45,Rural,1
808,29,Doctorate,Financial Analyst,10,Widowed,50,Urban,1
809,27,Bachelor's,Project Manager,4,Widowed,40,Urban,1
810,23,High School,Lawyer,1,Widowed,35,Urban,1
811,65,Associate's,University Professor,4,Married,55,Rural,1
812,26,Bachelor's,Retired,1,Widowed,60,Rural,0
813,54,Doctorate,Sales Representative,23,Single,0,Urban,1
814,38,Bachelor's,Project Manager,15,Married,55,Urban,1
815,40,High School,Medical Doctor,20,Single,45,Rural,1
816,62,Master's,University Professor,32,Married,0,Urban,1
817,31,Associate's,Engineer,10,Single,0,Rural,0
818,50,Bachelor's,Marketing Specialist,24,Widowed,50,Rural,0
819,63,Master's,Software Engineer,36,Widowed,50,Urban,1
820,26,Master's,Financial Analyst,8,Widowed,55,Urban,1
821,30,Doctorate,Lawyer,4,Widowed,40,Rural,1
822,56,Bachelor's,University Professor,2,Single,0,Rural,1
823,35,Master's,Marketing Specialist,16,Married,0,Urban,1
824,34,High School,Lawyer,5,Single,60,Rural,1
825,49,Doctorate,Medical Doctor,20,Married,0,Urban,1
826,27,High School,Barista,1,Married,40,Rural,0
827,64,Bachelor's,Software Engineer,34,Single,60,Urban,1
828,26,Associate's,Data Scientist,5,Single,35,Rural,1
829,36,High School,Project Manager,18,Single,45,Urban,1
830,57,High School,Lawyer,8,Widowed,0,Rural,1
831,25,High School,Software Engineer,4,Widowed,45,Rural,1
832,38,Bachelor's,Lawyer,10,Widowed,50,Urban,1
833,40,Master's,Lawyer,11,Married,40,Rural,1
834,63,Bachelor's,University Professor,10,Single,60,Rural,1
835,41,High School,Engineer,5,Single,60,Rural,0
836,28,High School,Lawyer,8,Single,60,Urban,1
837,49,Bachelor's,University Professor,4,Married,0,Urban,1
838,45,Bachelor's,Lawyer,12,Widowed,45,Urban,1
839,64,High School,Retired,22,Married,30,Rural,0
840,42,Doctorate,Data Scientist,10,Married,35,Rural,1
841,58,Bachelor's,Project Manager,16,Married,30,Rural,1
842,53,Doctorate,Retired,13,Single,40,Rural,1
843,37,Bachelor's,Engineer,10,Widowed,30,Rural,0
844,39,Bachelor's,Engineer,5,Widowed,40,Rural,0
845,56,Doctorate,Retired,13,Married,55,Rural,1
846,40,Bachelor's,Teacher,13,Single,60,Rural,0
847,29,Bachelor's,Barista,11,Single,55,Urban,1
848,29,Doctorate,Lawyer,7,Married,0,Urban,1
849,34,Master's,Software Engineer,14,Married,55,Urban,1
850,50,Doctorate,Engineer,16,Single,50,Urban,1
851,33,Master's,Financial Analyst,3,Widowed,30,Rural,1
852,48,Master's,Sales Representative,12,Widowed,55,Urban,1
853,63,High School,Engineer,7,Married,55,Rural,1
854,58,High School,Financial Analyst,31,Widowed,40,Rural,1
855,61,Doctorate,Software Engineer,19,Single,30,Rural,1
856,24,Master's,University Professor,5,Widowed,0,Rural,1
857,37,Bachelor's,Construction Laborer,14,Married,35,Urban,1
858,28,High School,Financial Analyst,1,Widowed,30,Urban,1
859,63,Associate's,Sales Representative,37,Single,60,Urban,0
860,47,Master's,Data Scientist,11,Single,30,Rural,1
861,43,Doctorate,Medical Doctor,8,Single,55,Rural,1
862,19,High School,University Professor,0,Widowed,55,Rural,1
863,45,Bachelor's,Software Engineer,12,Married,50,Rural,1
864,40,High School,Marketing Specialist,16,Single,0,Rural,0
865,62,Associate's,Retail Associate,40,Widowed,45,Rural,0
866,43,Associate's,Marketing Specialist,17,Married,55,Urban,1
867,41,Master's,Retired,12,Married,45,Urban,1
868,51,Doctorate,University Professor,3,Single,60,Urban,1
869,18,Associate's,Lawyer,0,Widowed,30,Rural,1
870,22,Associate's,Software Engineer,0,Widowed,40,Rural,1
871,39,Doctorate,Sales Representative,10,Single,40,Rural,1
872,47,Master's,University Professor,15,Married,0,Urban,1
873,20,Bachelor's,Teacher,2,Widowed,40,Rural,0
874,60,Bachelor's,Sales Representative,31,Married,0,Urban,1
875,32,High School,Sales Representative,12,Single,60,Rural,0
876,60,High School,Construction Laborer,25,Married,45,Urban,1
877,46,Bachelor's,Software Engineer,24,Widowed,35,Urban,1
878,36,Associate's,Retail Associate,3,Single,30,Urban,0
879,60,Doctorate,Retail Associate,5,Single,0,Rural,1
880,60,Master's,Lawyer,22,Married,45,Rural,1
881,62,High School,University Professor,11,Widowed,35,Rural,1
882,52,High School,Engineer,27,Widowed,50,Rural,0
883,32,Associate's,Lawyer,13,Married,30,Rural,1
884,56,Master's,Construction Laborer,30,Married,60,Urban,1
885,43,Associate's,Retired,19,Widowed,55,Rural,0
886,35,Doctorate,Marketing Specialist,15,Widowed,45,Urban,1
887,41,Doctorate,Medical Doctor,9,Widowed,40,Urban,1
888,37,Master's,Software Engineer,3,Widowed,60,Rural,1
889,44,Master's,Software Engineer,4,Widowed,40,Urban,1
890,21,High School,Retired,1,Married,0,Urban,0
891,60,Master's,Barista,8,Single,50,Rural,1
892,64,Bachelor's,Sales Representative,3,Widowed,45,Rural,0
893,42,Bachelor's,Software Engineer,24,Widowed,50,Urban,1
894,50,High School,Teacher,21,Widowed,60,Urban,0
895,45,Doctorate,Financial Analyst,23,Married,40,Rural,1
896,28,Associate's,University Professor,4,Widowed,50,Urban,1
897,64,Master's,Marketing Specialist,2,Married,60,Rural,1
898,32,Associate's,Marketing Specialist,8,Widowed,35,Rural,0
899,39,Master's,Financial Analyst,11,Single,60,Urban,1
900,54,High School,Lawyer,26,Married,0,Rural,1
901,57,Master's,Retail Associate,36,Single,35,Urban,1
902,36,Bachelor's,Teacher,2,Single,60,Rural,0
903,29,Associate's,Teacher,6,Married,0,Urban,0
904,46,Doctorate,Sales Representative,21,Single,0,Rural,1
905,37,Master's,Barista,17,Widowed,35,Rural,1
906,41,Bachelor's,Financial Analyst,10,Single,50,Urban,1
907,31,High School,Barista,4,Married,40,Rural,0
908,20,Master's,Medical Doctor,0,Single,40,Urban,1
909,39,Associate's,Project Manager,8,Married,60,Urban,1
910,30,Associate's,Construction Laborer,9,Widowed,35,Rural,0
911,53,Associate's,Marketing Specialist,28,Married,55,Urban,1
912,43,Doctorate,Barista,2,Single,0,Urban,1
913,24,Master's,University Professor,0,Married,30,Rural,1
914,53,Master's,Retail Associate,3,Widowed,40,Urban,1
915,52,High School,Medical Doctor,20,Married,45,Rural,1
916,36,Doctorate,Construction Laborer,1,Married,0,Urban,1
917,62,High School,Financial Analyst,35,Single,30,Rural,1
918,19,High School,Teacher,1,Widowed,60,Rural,0
919,23,Doctorate,Project Manager,2,Single,55,Urban,1
920,64,Associate's,Barista,23,Single,45,Urban,0
921,56,High School,Sales Representative,18,Single,35,Rural,0
922,28,Bachelor's,Retired,0,Single,30,Urban,1
923,33,Associate's,University Professor,6,Single,35,Urban,1
924,65,Associate's,Barista,30,Single,0,Rural,0
925,64,Master's,Marketing Specialist,42,Single,30,Rural,1
926,60,Master's,University Professor,11,Widowed,50,Rural,1
927,64,Bachelor's,University Professor,0,Married,30,Rural,1
928,46,Master's,Software Engineer,20,Married,0,Rural,1
929,57,Bachelor's,Medical Doctor,29,Single,40,Rural,1
930,20,Associate's,Teacher,1,Widowed,55,Urban,0
931,33,Doctorate,Financial Analyst,10,Widowed,50,Urban,1
932,47,High School,Sales Representative,23,Married,35,Rural,0
933,19,Bachelor's,Marketing Specialist,0,Widowed,30,Rural,0
934,35,Master's,Financial Analyst,17,Married,35,Rural,1
935,63,Master's,Project Manager,45,Single,45,Rural,1
936,26,Bachelor's,Medical Doctor,1,Married,60,Rural,1
937,43,Associate's,University Professor,15,Widowed,60,Urban,1
938,20,Bachelor's,Teacher,0,Single,60,Rural,0
939,41,High School,Software Engineer,5,Single,45,Urban,1
940,36,High School,Barista,5,Single,45,Urban,0
941,23,Doctorate,Financial Analyst,0,Single,30,Urban,1
942,37,Associate's,University Professor,13,Married,35,Urban,1
943,52,Bachelor's,Construction Laborer,3,Married,35,Rural,0
944,36,High School,Retired,16,Widowed,35,Rural,0
945,18,Master's,Engineer,0,Single,30,Rural,1
946,63,Doctorate,Data Scientist,42,Married,35,Rural,1
947,65,Master's,Barista,38,Single,50,Urban,1
948,24,High School,Retail Associate,3,Single,30,Urban,0
949,41,Bachelor's,Medical Doctor,15,Single,55,Urban,1
950,61,Doctorate,Lawyer,17,Single,45,Rural,1
951,47,Doctorate,Engineer,21,Widowed,35,Urban,1
952,63,Bachelor's,University Professor,40,Widowed,50,Urban,1
953,38,High School,Financial Analyst,20,Widowed,45,Urban,1
954,45,Bachelor's,University Professor,16,Widowed,0,Urban,1
955,61,Master's,Financial Analyst,3,Single,0,Urban,1
956,59,Associate's,Barista,31,Widowed,55,Urban,0
957,21,Bachelor's,Retail Associate,3,Married,30,Rural,0
