,Time (s),Temperature (°C),Humidity (%),Pressure (mb),Geomagnetic activity,Weather,Distance from source (km),label
648,10,4,35,880,4,Rainy,600,1
649,20,30,62,960,4,Cloudy,150,0
650,140,11,0,850,4,Cloudy,400,1
651,180,29,91,900,4,Rainy,600,1
652,10,9,96,1090,1,Clear,800,1
653,20,29,66,860,4,Clear,400,1
654,110,25,78,790,3,Clear,50,0
655,130,5,32,950,1,Clear,300,1
656,160,26,31,920,4,Cloudy,1000,1
657,150,19,86,1000,2,Rainy,300,1
658,160,27,57,880,1,Rainy,100,0
659,80,19,25,1010,4,Rainy,150,0
660,20,11,60,920,3,Cloudy,300,1
661,130,20,16,980,5,Clear,800,1
662,20,29,72,950,4,Clear,300,1
663,50,9,68,910,2,Cloudy,0,0
664,180,4,28,1030,3,Cloudy,700,1
665,120,36,62,980,1,Rainy,500,1
666,40,7,5,960,3,Rainy,600,1
667,0,29,58,900,4,Cloudy,50,0
668,110,16,98,1020,2,Cloudy,150,0
669,140,2,20,1090,3,Cloudy,800,1
670,180,20,44,930,3,Clear,300,1
671,10,15,44,790,5,Rainy,50,1
672,20,31,86,1020,5,Cloudy,800,1
673,60,26,34,790,4,Cloudy,400,1
674,100,5,51,940,1,Clear,300,1
675,90,15,45,1030,1,Cloudy,500,1
676,70,2,65,990,2,Rainy,400,1
677,10,39,56,1040,4,Clear,700,1
678,130,19,41,990,1,Cloudy,0,0
679,120,39,72,970,3,Rainy,700,1
680,60,6,76,1060,4,Rainy,700,1
681,80,10,97,950,3,Clear,200,0
682,60,28,15,1060,2,Rainy,300,1
683,0,2,4,870,4,Clear,400,1
684,0,20,0,890,2,Rainy,150,0
685,50,31,21,1040,5,Cloudy,600,1
686,0,29,47,800,2,Clear,0,0
687,150,38,25,1060,5,Rainy,100,1
688,20,10,33,830,4,Clear,700,1
689,120,16,57,970,3,Rainy,50,0
690,30,24,84,820,3,Clear,50,0
691,160,24,6,1040,3,Cloudy,0,0
692,90,8,24,1020,2,Clear,1000,1
693,30,28,56,980,4,Clear,100,0
694,190,14,11,1030,4,Cloudy,700,1
695,110,18,30,1090,5,Rainy,200,1
696,120,14,26,1080,4,Cloudy,300,1
697,30,38,85,1040,3,Clear,500,1
698,150,34,33,850,4,Cloudy,150,1
699,180,39,80,950,5,Cloudy,0,1
700,60,12,74,930,4,Clear,900,1
701,0,15,92,1050,4,Clear,600,1
702,150,2,33,910,3,Cloudy,100,0
703,10,30,36,830,4,Clear,500,1
704,0,0,57,880,2,Rainy,150,0
705,130,34,59,1040,5,Rainy,800,1
706,190,15,25,830,5,Rainy,100,1
707,40,0,44,820,5,Rainy,100,1
708,140,13,44,920,4,Cloudy,150,0
709,90,6,31,830,2,Cloudy,150,0
710,10,22,68,1070,5,Cloudy,900,1
711,100,34,83,980,1,Clear,400,1
712,150,28,70,930,3,Cloudy,50,0
713,180,21,22,950,1,Cloudy,500,1
714,30,15,64,980,1,Clear,800,1
715,90,28,38,780,5,Clear,50,1
716,110,5,66,800,1,Clear,0,0
717,10,17,44,1070,1,Rainy,500,1
718,10,28,66,1000,2,Cloudy,150,0
719,80,24,62,970,3,Cloudy,300,1
720,110,1,69,1010,4,Cloudy,1000,1
721,10,31,94,800,5,Clear,0,1
722,170,35,53,840,5,Cloudy,100,1
723,150,31,26,910,1,Rainy,400,1
724,180,19,92,950,4,Cloudy,400,1
725,140,36,78,1070,4,Cloudy,800,1
726,150,37,35,1010,4,Clear,500,1
727,50,32,4,920,5,Rainy,50,1
728,140,4,66,900,5,Cloudy,400,1
729,110,5,50,960,2,Clear,150,0
730,110,21,88,1060,5,Rainy,300,1
731,90,20,31,990,5,Rainy,150,1
732,140,18,20,790,2,Clear,600,1
733,30,14,16,840,5,Clear,0,1
734,90,33,72,900,1,Clear,0,1
735,180,6,25,810,1,Clear,200,0
736,130,16,21,830,2,Clear,200,0
737,90,4,40,950,2,Clear,800,1
738,160,38,58,960,1,Cloudy,500,1
739,100,1,86,920,4,Clear,400,1
740,170,26,74,1090,5,Clear,800,1
741,10,23,9,800,3,Rainy,100,0
742,100,27,86,970,3,Rainy,500,1
743,70,0,4,940,2,Rainy,150,0
744,180,20,54,930,3,Clear,100,0
745,150,27,25,900,4,Clear,50,0
746,30,2,3,990,3,Cloudy,600,1
747,130,29,26,1040,1,Cloudy,900,1
748,160,0,97,990,2,Cloudy,400,1
749,100,17,57,970,3,Cloudy,200,0
750,20,32,2,850,5,Clear,600,1
751,30,14,49,1090,2,Rainy,100,0
752,120,23,95,980,4,Clear,1000,1
753,160,35,25,1030,1,Clear,1000,1
754,190,33,17,910,3,Clear,1000,1
755,190,25,6,810,1,Clear,300,1
756,90,39,44,840,4,Rainy,500,1
757,110,21,12,870,3,Rainy,600,1
758,70,15,5,920,2,Cloudy,150,0
759,20,39,34,1030,2,Clear,0,1
760,90,15,94,930,5,Cloudy,500,1
761,60,4,52,850,4,Rainy,700,1
762,90,5,67,790,3,Rainy,100,0
763,60,23,41,1060,1,Cloudy,300,1
764,170,29,3,940,1,Rainy,150,0
765,190,36,59,830,3,Rainy,300,1
766,130,31,44,930,4,Clear,900,1
767,110,18,71,790,4,Clear,100,0
768,70,27,74,1040,1,Rainy,400,1
769,60,7,65,1010,3,Rainy,50,0
770,40,0,81,1060,3,Cloudy,200,0
771,0,3,81,980,1,Cloudy,100,0
772,140,21,21,950,3,Rainy,200,0
773,80,21,11,880,3,Clear,100,0
774,110,29,80,890,2,Clear,600,1
775,170,26,50,820,2,Cloudy,500,1
776,100,26,16,790,5,Clear,50,1
777,90,12,35,990,5,Clear,500,1
778,90,38,92,1010,4,Cloudy,500,1
779,170,26,48,950,2,Cloudy,700,1
780,0,38,15,990,2,Clear,100,1
781,190,37,74,830,2,Cloudy,700,1
782,100,7,43,780,2,Rainy,200,0
783,10,11,21,860,4,Cloudy,50,0
784,100,23,93,920,1,Rainy,700,1
785,10,17,7,1090,4,Rainy,300,1
786,80,14,17,1050,1,Rainy,50,0
787,0,15,79,850,5,Cloudy,150,1
788,50,32,83,1050,2,Cloudy,100,1
789,10,9,71,910,1,Cloudy,0,0
790,140,23,93,810,4,Rainy,500,1
791,0,18,37,840,1,Cloudy,500,1
792,170,26,28,970,3,Clear,0,0
793,30,30,76,850,5,Clear,900,1
794,120,20,80,870,5,Cloudy,300,1
795,30,15,80,950,2,Rainy,900,1
796,140,22,72,950,2,Cloudy,0,0
797,10,13,1,960,4,Clear,1000,1
798,80,22,58,1070,1,Rainy,600,1
799,110,17,41,810,3,Cloudy,0,0
800,130,35,87,1040,5,Cloudy,100,1
801,190,11,20,900,1,Rainy,600,1
802,30,36,1,830,3,Rainy,0,1
803,140,10,4,1080,1,Clear,50,0
804,30,4,16,980,2,Cloudy,150,0
805,40,20,23,1030,5,Clear,400,1
806,90,31,7,900,3,Clear,500,1
807,110,28,29,1030,2,Rainy,0,0
808,110,6,49,1000,4,Cloudy,0,0
809,70,35,21,990,4,Clear,200,1
810,30,39,58,1070,2,Clear,500,1
811,20,26,23,1080,3,Rainy,0,0
812,0,5,25,1080,3,Cloudy,100,0
813,170,37,60,930,5,Cloudy,300,1
814,190,3,7,970,2,Clear,1000,1
815,130,34,11,1040,4,Rainy,0,1
816,160,9,13,870,2,Cloudy,100,0
817,50,37,29,860,1,Cloudy,900,1
818,50,29,54,840,3,Clear,0,0
819,90,8,98,940,1,Cloudy,150,0
820,180,15,60,1010,4,Cloudy,600,1
821,90,3,61,970,3,Cloudy,1000,1
822,20,25,30,840,4,Cloudy,200,0
823,0,28,91,1040,4,Clear,100,0
824,170,27,26,790,4,Cloudy,700,1
825,140,10,99,1090,5,Cloudy,400,1
826,190,27,0,1050,4,Rainy,300,1
827,30,31,40,960,4,Clear,800,1
828,170,23,13,780,1,Cloudy,600,1
829,90,38,73,790,1,Rainy,150,1
830,180,6,49,1040,1,Clear,150,0
831,160,17,41,820,3,Cloudy,600,1
832,90,2,70,950,5,Rainy,50,1
833,30,19,39,1060,3,Clear,700,1
834,40,33,13,830,5,Cloudy,50,1
835,60,29,99,830,5,Rainy,600,1
836,180,8,90,990,2,Clear,400,1
837,180,9,10,1050,2,Rainy,200,0
838,70,5,62,1040,2,Rainy,200,0
839,0,16,48,930,5,Cloudy,600,1
840,70,14,36,930,5,Rainy,1000,1
841,180,32,9,1070,3,Cloudy,700,1
842,160,12,53,1080,5,Cloudy,200,1
843,80,21,6,800,4,Rainy,600,1
844,190,15,80,1040,4,Rainy,500,1
845,150,33,11,800,5,Rainy,300,1
846,80,2,54,1030,4,Rainy,200,0
847,180,7,35,1000,5,Clear,1000,1
848,150,19,6,1060,2,Cloudy,200,0
849,120,23,23,1060,5,Rainy,200,1
850,180,17,33,810,2,Clear,0,0
851,40,22,64,830,1,Rainy,800,1
852,10,0,28,1050,4,Clear,200,0
853,30,1,25,1010,1,Cloudy,100,0
854,110,4,73,800,4,Rainy,300,1
855,170,17,64,1020,1,Clear,600,1
856,20,15,44,860,5,Clear,900,1
857,180,9,16,1080,1,Cloudy,100,0
858,30,28,35,800,4,Rainy,0,0
859,30,34,72,830,3,Rainy,500,1
860,150,24,62,980,4,Cloudy,900,1
861,100,23,22,970,3,Cloudy,1000,1
862,120,12,92,1010,5,Cloudy,600,1
863,100,20,65,1030,4,Clear,700,1
864,60,38,81,860,1,Clear,150,1
865,130,33,91,920,5,Cloudy,700,1
866,30,18,41,1050,4,Rainy,1000,1
867,70,27,70,860,5,Clear,200,1
868,110,26,74,820,3,Cloudy,100,0
869,120,25,70,980,5,Clear,1000,1
870,80,10,42,1040,1,Clear,500,1
871,80,34,87,930,4,Cloudy,100,1
872,10,19,54,800,3,Rainy,150,0
873,20,11,55,860,5,Rainy,700,1
874,110,27,78,940,2,Clear,900,1
875,160,1,30,1050,3,Rainy,400,1
876,30,0,82,1090,3,Rainy,50,0
877,130,8,55,800,1,Cloudy,0,0
878,80,21,73,840,1,Cloudy,150,0
879,70,39,47,840,5,Cloudy,500,1
880,0,26,51,980,2,Rainy,0,0
881,120,8,71,1090,3,Rainy,700,1
882,20,6,0,830,5,Cloudy,100,1
883,130,35,1,970,2,Rainy,150,1
884,180,37,92,850,5,Cloudy,150,1
885,50,1,41,810,3,Clear,100,0
886,30,4,73,1030,5,Clear,100,1
887,190,16,8,920,1,Rainy,1000,1
888,0,36,30,830,1,Rainy,400,1
889,90,34,95,930,4,Rainy,500,1
890,120,7,1,1090,2,Rainy,1000,1
891,110,2,23,820,3,Clear,700,1
892,100,2,42,890,2,Cloudy,150,0
893,30,0,69,910,1,Clear,800,1
894,160,23,71,1030,3,Cloudy,800,1
895,140,29,88,830,4,Rainy,500,1
896,20,25,42,800,1,Cloudy,500,1
897,90,37,50,1060,1,Cloudy,300,1
898,130,39,88,960,2,Cloudy,0,1
899,180,37,45,870,5,Cloudy,400,1
900,30,2,74,840,2,Clear,400,1
901,130,12,98,900,1,Rainy,200,0
902,50,35,0,780,2,Rainy,300,1
903,110,11,86,780,5,Cloudy,600,1
904,10,19,66,940,4,Rainy,100,0
905,160,38,0,990,3,Clear,900,1
906,0,7,62,810,1,Cloudy,150,0
907,160,1,75,910,2,Rainy,600,1
908,40,10,61,830,1,Rainy,1000,1
909,150,20,60,1070,3,Cloudy,700,1
910,130,36,39,910,2,Clear,900,1
911,190,5,94,920,4,Cloudy,50,0
912,90,18,28,780,3,Cloudy,1000,1
913,20,29,34,970,5,Rainy,600,1
914,20,38,91,930,5,Rainy,200,1
915,170,35,84,810,1,Cloudy,100,1
916,170,19,10,790,5,Cloudy,500,1
917,30,9,89,780,2,Rainy,1000,1
918,60,23,10,900,5,Cloudy,600,1
919,0,32,62,930,4,Clear,0,1
920,150,28,68,850,2,Cloudy,200,0
921,160,29,55,990,1,Clear,600,1
922,70,35,6,810,1,Cloudy,800,1
923,50,5,50,790,5,Cloudy,50,1
924,10,13,94,1050,5,Cloudy,1000,1
925,90,2,38,900,1,Rainy,0,0
926,160,23,41,820,2,Rainy,500,1
927,180,18,71,1020,3,Rainy,300,1
928,30,37,52,1000,1,Rainy,50,1
929,120,33,90,970,4,Rainy,100,1
930,180,8,20,1080,2,Rainy,200,0
931,150,29,29,980,3,Cloudy,0,0
932,120,31,77,1010,3,Clear,50,1
933,40,12,0,1040,2,Rainy,800,1
934,110,17,23,900,1,Rainy,900,1
935,60,21,5,820,3,Cloudy,0,0
936,80,3,5,930,4,Rainy,800,1
937,40,22,68,1050,2,Cloudy,400,1
938,30,6,61,830,5,Rainy,400,1
939,90,10,34,930,1,Clear,700,1
940,150,38,78,1060,2,Rainy,200,1
941,100,33,34,1030,4,Rainy,700,1
942,80,4,47,990,3,Cloudy,300,1
943,40,24,71,1010,1,Rainy,1000,1
944,100,27,42,900,1,Cloudy,100,0
945,80,13,34,880,2,Clear,800,1
946,160,26,4,980,2,Rainy,50,0
947,100,15,30,780,4,Cloudy,700,1
948,50,26,30,810,5,Clear,1000,1
949,150,1,7,800,2,Clear,600,1
950,180,18,5,950,2,Cloudy,50,0
951,130,22,86,1000,2,Cloudy,0,0
952,20,13,52,930,4,Rainy,600,1
953,90,25,79,900,3,Clear,500,1
954,30,7,43,900,5,Clear,500,1
955,10,26,48,840,4,Cloudy,400,1
956,120,39,7,1080,2,Clear,600,1
957,100,27,63,1010,3,Cloudy,800,1
958,110,3,3,920,2,Rainy,100,0
959,0,37,31,1090,4,Cloudy,500,1
960,80,10,52,1030,1,Rainy,0,0
961,110,23,66,920,2,Cloudy,0,0
962,60,27,62,820,3,Rainy,800,1
963,160,17,79,1080,5,Clear,1000,1
964,90,20,59,940,1,Cloudy,300,1
965,50,25,97,990,2,Cloudy,900,1
966,60,2,76,990,2,Cloudy,500,1
967,180,12,32,880,3,Rainy,500,1
968,130,37,21,1010,1,Cloudy,700,1
969,100,27,30,900,1,Cloudy,0,0
970,10,13,23,870,1,Clear,800,1
971,0,0,2,920,2,Cloudy,0,0
972,90,27,32,790,1,Cloudy,600,1
973,110,35,93,880,2,Cloudy,600,1
974,80,10,25,1020,2,Cloudy,400,1
975,100,39,97,880,1,Clear,0,1
976,0,3,50,1060,4,Cloudy,1000,1
977,190,33,85,990,5,Cloudy,700,1
978,90,0,29,780,5,Clear,50,1
979,180,9,34,1020,4,Rainy,500,1
980,100,16,24,850,1,Rainy,500,1
981,20,6,27,1030,2,Clear,800,1
982,150,38,96,940,3,Clear,1000,1
983,90,12,86,1090,4,Rainy,200,0
984,10,21,25,850,5,Cloudy,50,1
985,180,0,72,900,5,Rainy,100,1
986,30,27,7,1000,2,Cloudy,200,0
987,150,32,96,820,5,Clear,100,1
988,50,12,14,1080,5,Clear,700,1
989,100,0,48,1060,2,Clear,0,0
990,160,37,7,830,1,Rainy,300,1
991,140,24,54,970,5,Clear,200,1
992,30,20,84,1020,1,Rainy,100,0
993,70,32,57,1020,3,Cloudy,600,1
994,170,36,2,1060,1,Cloudy,700,1
995,130,33,8,1080,2,Cloudy,500,1
996,10,2,13,1030,2,Clear,400,1
997,150,29,90,910,2,Cloudy,900,1
998,140,2,19,940,5,Clear,1000,1
999,50,17,3,930,4,Rainy,1000,1
