,age,gender,membership_length,membership_type,weekly_exercise_hours,class_attendance_history,diet_quality,stress_level,social_support,motivational_factors,label
514,9,Male,5,Premium,8,10,3,1,7,9,0
515,6,Male,10,VIP,6,1,4,1,9,5,0
516,9,Female,1,VIP,7,4,4,1,7,6,0
517,3,Female,2,VIP,9,10,5,1,10,9,0
518,5,Male,6,Premium,5,4,2,10,2,9,0
519,1,Male,6,Premium,1,5,7,5,2,1,0
520,10,Male,4,Premium,9,4,8,8,4,3,0
521,5,Male,8,VIP,7,10,8,10,2,1,0
522,2,Female,9,Premium,9,2,8,5,2,9,0
523,1,Female,7,Premium,6,7,1,7,10,5,0
524,8,Male,9,Basic,9,6,6,1,8,9,0
525,6,Female,8,Basic,7,1,1,10,5,6,0
526,5,Male,4,Premium,7,10,10,1,5,2,0
527,2,Male,10,Basic,7,2,4,4,7,5,0
528,5,Male,5,Basic,6,5,1,2,2,2,0
529,8,Male,3,VIP,3,4,1,8,4,10,0
530,5,Female,7,Basic,7,2,9,2,1,3,1
531,2,Female,6,VIP,6,9,9,2,6,1,1
532,6,Female,4,Basic,6,1,6,5,3,9,0
533,6,Male,10,Basic,1,1,3,6,4,4,0
534,3,Male,3,Premium,4,3,5,6,4,2,0
535,3,Female,9,VIP,4,2,8,2,1,2,1
536,9,Male,1,VIP,5,10,2,8,4,2,0
537,4,Male,4,Basic,8,4,2,4,9,4,0
538,7,Female,8,Basic,8,3,3,2,4,10,0
539,3,Female,8,Premium,7,7,2,1,10,7,0
540,6,Female,7,VIP,8,2,8,8,4,10,0
541,9,Female,10,VIP,2,7,9,1,5,4,0
542,9,Female,10,VIP,10,7,5,5,8,1,0
543,3,Female,5,Premium,1,4,1,6,10,2,0
544,3,Male,4,Premium,3,10,4,10,2,2,0
545,7,Female,9,Basic,2,1,2,8,1,9,0
546,5,Female,8,Basic,2,10,9,9,2,5,0
547,2,Male,6,Premium,5,9,8,5,10,6,0
548,1,Female,3,VIP,10,2,9,4,10,4,0
549,7,Male,9,Premium,5,6,9,5,8,9,0
550,3,Female,2,Basic,6,2,9,9,9,1,0
551,1,Male,4,VIP,6,5,2,2,3,10,0
552,4,Male,3,Premium,2,10,8,10,4,5,0
553,1,Female,9,Basic,8,6,3,5,10,2,0
554,9,Male,2,VIP,1,3,2,1,10,7,0
555,6,Male,10,Basic,6,9,2,8,7,4,0
556,7,Male,7,Basic,8,1,4,3,4,8,0
557,4,Female,4,Premium,4,9,7,7,3,4,0
558,5,Male,6,VIP,3,2,9,6,3,5,0
559,5,Female,2,VIP,5,7,3,4,4,10,0
560,5,Female,8,Premium,3,1,1,4,8,10,0
561,4,Female,4,Premium,8,5,3,1,3,2,0
562,1,Female,7,Premium,4,7,7,6,4,10,0
563,5,Male,10,Basic,1,2,5,10,1,10,0
564,5,Male,3,Basic,3,2,6,8,6,5,0
565,7,Male,4,Basic,10,8,1,6,9,7,0
566,7,Male,6,Premium,10,2,1,1,3,6,0
567,9,Male,7,Basic,8,6,1,4,8,5,0
568,7,Female,3,VIP,3,9,4,7,2,8,0
569,10,Female,1,VIP,10,9,8,6,7,9,0
570,4,Male,7,Basic,10,6,2,10,4,1,0
571,4,Female,2,VIP,2,8,9,5,3,4,0
572,9,Female,2,VIP,9,7,10,9,1,4,0
573,2,Male,2,Basic,3,5,3,10,10,10,0
574,8,Female,1,Basic,8,5,2,7,9,1,0
575,5,Male,9,Basic,1,1,8,2,10,1,0
576,6,Female,2,Premium,2,9,1,3,9,5,0
577,1,Female,10,VIP,8,4,7,2,9,5,1
578,6,Female,2,VIP,10,6,8,5,4,8,0
579,5,Male,1,Basic,6,4,2,3,8,1,0
580,5,Female,5,Basic,3,3,2,8,2,10,0
581,8,Male,4,Premium,8,10,8,10,8,9,0
582,4,Male,1,Premium,8,6,6,6,10,6,0
583,3,Female,5,VIP,7,2,6,7,8,5,0
584,8,Male,9,Basic,4,7,9,6,5,9,0
585,10,Female,10,VIP,1,2,3,10,8,8,0
586,5,Female,3,VIP,5,1,6,9,6,2,0
587,9,Male,5,Basic,6,8,2,7,9,9,0
588,8,Female,9,Basic,7,1,6,6,4,5,0
589,7,Male,4,VIP,8,8,9,9,7,8,0
590,9,Female,4,VIP,5,5,5,2,3,6,0
591,7,Female,10,Premium,6,1,10,2,2,2,0
592,9,Female,4,Premium,4,4,1,9,10,5,0
593,9,Female,4,Basic,9,4,1,9,2,7,0
594,1,Male,6,VIP,4,6,4,8,7,1,0
595,5,Female,5,Premium,3,3,9,4,5,4,0
596,5,Male,10,Basic,2,1,4,9,4,10,0
597,5,Male,10,VIP,10,10,5,2,6,5,1
598,6,Female,8,Basic,7,2,2,10,5,6,0
599,2,Male,10,Basic,4,8,2,8,1,7,0
600,7,Female,4,VIP,7,5,8,6,5,9,0
601,4,Female,8,Premium,4,2,9,6,5,5,0
602,2,Female,9,Basic,4,3,7,4,1,1,0
603,6,Female,8,VIP,9,1,2,3,1,9,0
604,3,Female,1,VIP,7,7,4,5,4,1,0
605,4,Male,7,Premium,6,10,1,2,5,8,0
606,3,Male,1,Basic,2,1,2,6,1,7,0
607,2,Female,6,Premium,9,7,1,10,2,8,0
608,6,Male,1,Premium,2,6,7,5,9,10,0
609,6,Female,9,Basic,2,3,9,6,7,8,0
610,3,Female,7,VIP,4,4,7,4,10,2,0
611,8,Male,4,Basic,10,2,2,1,7,10,0
612,10,Male,9,Premium,9,5,4,10,5,9,0
613,10,Male,10,VIP,1,8,2,1,9,2,0
614,6,Male,10,VIP,1,4,6,6,2,4,0
615,6,Male,1,Premium,5,6,10,10,10,7,0
616,6,Male,10,VIP,10,3,5,1,2,10,0
617,6,Female,2,Basic,4,4,8,5,6,7,0
618,3,Female,3,Basic,10,3,1,10,5,8,0
619,2,Male,4,VIP,1,2,6,8,5,2,0
620,9,Female,5,Premium,9,1,4,3,3,2,0
621,5,Male,10,Premium,7,7,4,9,1,5,0
622,5,Male,5,Premium,3,4,10,9,7,3,0
623,8,Male,6,Premium,9,10,9,4,7,6,0
624,4,Female,4,VIP,10,9,3,4,6,8,0
625,3,Male,4,Premium,6,8,1,2,8,9,0
626,7,Female,7,Premium,1,10,4,1,5,10,0
627,4,Female,7,VIP,7,2,7,1,10,7,1
628,5,Male,6,VIP,5,5,5,6,8,9,0
629,6,Male,4,VIP,2,1,8,2,5,5,0
630,1,Male,3,Basic,7,5,4,2,1,10,0
631,10,Female,7,Basic,1,2,9,8,9,5,0
632,8,Female,7,Premium,9,2,10,10,2,5,0
633,1,Female,7,Basic,6,8,3,3,9,7,0
634,1,Male,4,Basic,6,6,3,2,9,6,0
635,3,Female,2,Premium,10,7,8,4,2,9,0
636,9,Female,1,Premium,10,5,2,2,5,1,0
637,4,Female,8,Basic,4,5,2,4,9,2,0
638,2,Male,7,VIP,9,4,9,5,9,3,0
639,1,Male,6,Basic,7,2,7,7,2,5,0
640,5,Male,6,Basic,4,3,5,9,4,2,0
641,7,Male,4,VIP,6,7,7,10,7,4,0
642,4,Female,10,Premium,10,2,6,8,4,1,0
643,3,Female,5,VIP,1,2,8,1,2,8,0
644,8,Female,6,Premium,7,3,10,3,10,3,0
645,5,Male,6,VIP,6,3,6,6,7,7,0
646,2,Female,2,Basic,4,3,1,1,10,10,0
647,4,Male,2,Basic,7,2,5,7,5,2,0
648,1,Female,1,Premium,8,3,3,4,2,7,0
649,5,Female,4,VIP,3,6,7,2,5,1,0
650,7,Female,6,VIP,9,3,9,5,10,3,0
651,6,Female,9,Basic,7,2,5,5,7,4,0
652,3,Female,7,Premium,4,8,9,2,7,9,1
653,6,Female,3,VIP,5,9,8,3,6,3,0
654,2,Male,3,Basic,4,8,1,6,7,4,0
655,2,Male,5,Premium,9,2,1,8,5,4,0
656,3,Male,4,VIP,4,10,2,3,7,10,0
657,7,Female,2,Basic,6,10,10,3,7,8,0
658,5,Male,4,VIP,5,3,7,1,3,6,0
659,6,Female,6,Premium,1,8,5,4,3,8,0
660,3,Female,1,Basic,5,1,9,10,2,3,0
661,2,Male,1,Basic,9,5,2,6,5,10,0
662,9,Female,10,Basic,4,3,2,7,9,9,0
663,6,Male,2,Premium,8,5,7,5,3,1,0
664,8,Female,1,Basic,2,3,2,2,6,6,0
665,6,Female,9,Basic,7,8,9,8,6,7,0
666,9,Female,10,Premium,6,10,4,10,9,2,0
667,3,Female,4,Basic,7,6,5,6,1,6,0
668,3,Male,2,Premium,8,3,10,1,6,6,0
669,3,Female,7,VIP,7,4,6,9,3,10,0
670,4,Male,10,Premium,1,4,4,5,6,1,0
671,1,Female,6,Premium,3,8,8,6,1,10,0
672,4,Female,1,Basic,6,3,10,5,1,4,0
673,1,Male,9,VIP,2,7,8,5,4,8,0
674,4,Female,10,Premium,1,1,7,2,8,2,0
675,6,Male,7,Premium,2,2,7,10,9,5,0
676,5,Female,3,Premium,2,7,4,8,10,3,0
677,3,Female,9,Basic,6,4,4,2,9,6,0
678,4,Male,7,VIP,4,10,10,4,5,10,0
679,8,Female,8,VIP,4,10,1,8,9,3,0
680,3,Female,10,Basic,1,6,3,9,5,10,0
681,1,Female,4,Premium,6,4,4,2,10,10,0
682,1,Female,9,VIP,4,8,1,5,10,4,0
683,2,Female,10,Basic,2,6,10,6,10,2,0
684,3,Male,4,Premium,2,7,8,8,7,9,0
685,10,Male,1,VIP,10,1,9,8,6,2,0
686,2,Female,9,Premium,7,8,5,2,2,8,1
687,5,Female,9,Basic,10,5,8,8,9,2,0
688,6,Female,8,Basic,10,2,4,7,6,10,0
689,7,Female,10,Premium,3,10,1,2,9,7,0
690,7,Male,6,Basic,3,3,1,5,2,10,0
691,9,Female,9,Premium,4,4,1,1,5,7,0
692,1,Male,3,Basic,8,5,3,10,7,1,0
693,3,Male,9,Basic,1,2,8,5,9,1,0
694,7,Female,4,Basic,7,1,5,4,6,5,0
695,7,Female,2,Premium,6,8,10,5,5,10,0
696,4,Male,3,VIP,4,1,5,7,1,7,0
697,5,Male,2,VIP,10,3,2,7,1,1,0
698,5,Female,1,VIP,6,3,9,3,3,6,0
699,1,Female,7,Basic,6,3,4,3,9,8,0
700,2,Female,2,Premium,3,2,9,10,2,10,0
701,1,Male,8,Basic,8,9,7,3,10,1,1
702,2,Female,4,Premium,6,1,1,7,3,4,0
703,7,Female,2,Basic,5,10,5,6,6,7,0
704,8,Male,7,VIP,5,7,5,7,10,5,0
705,1,Female,4,VIP,5,2,8,3,4,1,0
706,6,Male,5,VIP,5,8,2,4,1,5,0
707,8,Female,3,VIP,4,6,9,3,4,1,0
708,6,Female,5,Premium,9,10,8,1,4,10,0
709,2,Male,2,Basic,6,9,6,8,3,6,0
710,3,Female,8,VIP,7,2,1,8,8,5,0
711,1,Male,6,Basic,1,4,8,10,8,6,0
712,9,Female,3,Basic,4,1,2,3,8,1,0
713,10,Female,4,Basic,3,9,1,3,5,5,0
714,1,Female,1,VIP,2,9,1,3,6,4,0
715,9,Female,8,VIP,7,5,5,8,8,5,0
716,4,Female,10,Premium,8,7,3,8,5,10,0
717,2,Female,7,Premium,3,8,4,1,8,2,0
718,3,Male,5,Premium,8,9,5,9,6,10,0
719,2,Female,8,VIP,10,4,9,10,5,9,0
720,8,Male,5,VIP,10,6,3,3,5,5,0
721,3,Female,3,Basic,6,6,4,6,1,4,0
722,10,Female,10,VIP,3,6,7,6,8,8,0
723,8,Male,2,VIP,9,3,8,6,3,9,0
724,10,Female,8,VIP,2,6,5,3,3,3,0
725,7,Male,4,Basic,7,8,9,4,2,9,0
726,4,Female,6,Premium,7,5,4,6,8,3,0
727,9,Male,8,VIP,10,1,3,9,6,2,0
728,7,Male,2,VIP,8,1,3,1,6,5,0
729,6,Male,8,VIP,8,8,5,9,9,5,0
730,4,Female,2,VIP,7,3,5,7,10,10,0
731,10,Male,6,VIP,9,6,1,5,9,3,0
732,10,Female,1,Premium,5,4,8,3,3,1,0
733,1,Male,7,VIP,6,2,8,10,5,1,0
734,4,Female,7,Premium,6,2,1,8,4,4,0
735,2,Female,9,VIP,9,7,8,6,1,5,0
736,4,Female,6,Premium,6,6,1,1,8,8,0
737,9,Male,2,Basic,7,1,1,7,6,6,0
738,8,Female,1,VIP,6,2,6,2,6,10,0
739,8,Male,8,Premium,1,4,9,3,3,1,0
740,4,Male,8,Basic,8,2,6,6,8,1,0
741,4,Male,7,Premium,2,8,7,9,8,3,0
742,7,Male,9,Basic,10,6,9,3,10,2,0
743,4,Male,4,Basic,9,8,10,5,8,2,0
744,4,Female,1,Premium,9,4,2,5,10,7,0
745,7,Male,2,Basic,9,8,1,7,7,4,0
746,4,Female,3,Premium,2,4,5,5,4,4,0
747,4,Female,8,Premium,4,3,2,3,4,10,0
748,3,Male,6,Basic,7,8,2,10,3,4,0
749,9,Female,8,Premium,3,8,9,1,4,10,0
750,7,Female,8,Premium,10,5,4,9,8,10,0
751,3,Female,10,Premium,3,6,4,2,7,2,0
752,9,Male,10,VIP,4,8,7,5,6,6,0
753,3,Male,9,Premium,10,4,5,10,7,3,0
754,9,Female,6,VIP,10,10,9,8,2,10,0
755,7,Male,8,Basic,6,8,1,9,9,4,0
756,3,Female,8,VIP,7,1,4,3,10,5,0
757,6,Female,2,VIP,2,1,5,5,1,3,0
758,4,Female,9,VIP,9,9,6,10,3,7,0
759,1,Male,7,VIP,8,7,9,2,1,10,1
760,9,Male,5,VIP,5,2,4,6,4,8,0
761,9,Female,2,Basic,3,3,8,10,6,7,0
762,1,Male,10,VIP,5,6,3,7,6,7,0
763,7,Male,3,Premium,3,6,10,3,10,3,0
764,4,Female,1,Basic,6,8,4,10,10,1,0
765,6,Male,2,VIP,1,1,5,10,5,1,0
766,9,Female,2,Basic,10,7,5,9,10,7,0
767,5,Male,1,Basic,4,5,10,10,7,2,0
768,4,Female,9,VIP,1,7,8,9,3,9,0
769,7,Female,9,Premium,10,5,8,1,5,9,0
770,2,Female,8,Basic,9,8,6,6,10,5,0
771,9,Male,8,Basic,10,6,2,4,1,3,0
772,8,Female,5,Premium,2,3,4,7,9,6,0
773,7,Female,1,Premium,2,6,8,8,1,5,0
774,5,Male,9,Premium,8,5,3,3,3,5,0
775,2,Male,5,Premium,3,8,4,3,2,8,0
776,1,Male,5,Premium,6,5,10,4,3,2,0
777,6,Female,6,Premium,4,9,6,8,9,4,0
778,10,Male,6,Basic,4,9,10,9,1,5,0
779,3,Female,10,Premium,6,2,10,9,9,4,0
780,7,Female,6,Premium,3,6,1,8,1,9,0
781,10,Female,5,Premium,1,2,10,10,5,2,0
782,9,Female,10,Basic,2,7,3,6,4,2,0
783,8,Male,9,Basic,10,10,1,3,1,1,0
784,2,Female,6,VIP,6,5,10,3,6,5,1
785,7,Female,2,Premium,9,7,7,8,7,1,0
786,5,Male,8,Premium,10,3,10,7,1,3,0
787,7,Male,8,Basic,2,1,2,5,2,1,0
788,4,Female,5,Basic,2,5,7,5,3,8,0
789,5,Female,6,Basic,3,10,7,6,9,9,0
790,8,Female,9,VIP,2,10,10,8,9,6,0
791,3,Female,9,VIP,4,7,1,6,1,10,0
792,2,Male,4,Basic,10,5,1,4,4,6,0
793,7,Female,6,VIP,10,1,3,5,6,2,0
794,1,Male,7,Premium,9,2,3,7,1,6,0
795,5,Female,6,VIP,7,3,3,4,7,3,0
796,3,Male,9,VIP,1,9,1,9,1,10,0
797,10,Male,8,VIP,8,1,4,3,5,6,0
798,6,Female,5,VIP,1,1,2,5,10,2,0
799,4,Male,9,Basic,6,9,3,4,9,1,0
800,6,Female,1,Basic,1,6,6,10,8,8,0
801,9,Female,8,Premium,5,2,7,8,10,3,0
802,7,Male,4,VIP,7,10,10,2,6,5,0
803,4,Female,5,Basic,10,1,2,1,1,6,0
804,10,Male,6,VIP,1,7,5,5,3,9,0
805,10,Male,8,Basic,7,7,1,8,6,9,0
806,10,Male,9,Basic,9,8,5,1,1,8,0
807,6,Male,8,VIP,3,1,7,7,8,3,0
808,2,Male,6,Basic,4,10,8,6,6,5,0
809,5,Male,10,Premium,6,10,4,4,4,7,0
810,10,Male,7,Premium,5,7,5,9,1,9,0
811,9,Male,7,Premium,7,3,5,3,6,1,0
812,6,Female,9,Premium,10,2,8,1,7,3,0
813,3,Female,1,Premium,6,10,2,9,1,7,0
814,10,Male,6,VIP,4,7,2,5,7,3,0
815,7,Female,3,Premium,3,2,1,8,2,5,0
816,8,Male,2,VIP,8,5,7,6,9,6,0
817,6,Female,9,VIP,2,3,1,9,8,9,0
818,7,Female,10,Basic,10,7,3,2,3,9,0
819,9,Female,7,Premium,10,3,5,5,6,6,0
820,6,Female,4,Basic,2,1,8,1,7,8,0
821,2,Male,9,VIP,3,6,6,4,9,2,0
822,7,Female,3,Basic,6,8,7,2,9,2,0
823,9,Male,1,Premium,10,8,9,10,10,6,0
824,7,Male,7,Basic,2,5,5,2,4,1,0
825,2,Male,4,VIP,10,1,6,8,3,5,0
826,9,Female,3,VIP,7,6,3,5,8,7,0
827,2,Female,3,VIP,6,3,8,8,8,10,0
828,3,Female,1,Basic,7,2,2,10,10,8,0
829,8,Female,4,Premium,9,9,3,6,2,5,0
830,7,Male,9,Basic,4,9,4,10,5,9,0
831,5,Female,10,VIP,10,9,2,6,6,7,0
832,3,Male,7,Basic,5,2,8,1,2,10,1
833,6,Male,8,Premium,4,5,10,9,2,9,0
834,1,Female,9,VIP,1,7,8,8,5,2,0
835,8,Female,9,Premium,6,4,3,4,1,8,0
836,9,Male,7,Premium,4,10,8,2,5,5,0
837,3,Male,8,Basic,7,4,2,10,1,7,0
838,1,Female,3,VIP,3,4,9,9,2,1,0
839,8,Male,10,Premium,3,8,10,1,9,8,0
840,9,Female,10,VIP,1,8,9,6,9,5,0
841,10,Male,10,VIP,1,9,8,6,8,7,0
842,8,Male,6,Basic,2,7,5,2,5,7,0
843,6,Female,2,Basic,3,6,9,8,9,4,0
844,5,Male,10,Basic,7,1,8,5,10,7,0
845,6,Male,9,VIP,2,6,2,8,2,2,0
846,8,Male,5,VIP,9,10,9,1,3,8,0
847,3,Male,7,VIP,10,5,2,9,2,6,0
848,8,Female,5,Basic,8,3,2,7,8,7,0
849,8,Male,5,VIP,9,3,1,4,3,3,0
850,7,Female,6,Basic,8,1,9,1,7,2,0
851,1,Female,10,VIP,6,3,2,8,3,2,0
852,10,Female,10,Premium,8,3,6,9,8,9,0
853,4,Male,10,Basic,4,9,2,4,4,7,0
854,5,Male,5,Premium,3,10,3,5,6,3,0
855,8,Female,7,Basic,5,4,1,3,10,7,0
856,3,Female,10,Premium,2,8,4,9,1,5,0
857,4,Female,6,Basic,3,2,1,1,6,3,0
858,6,Female,10,VIP,8,8,3,9,9,4,0
859,3,Female,6,Basic,8,1,2,4,3,1,0
860,1,Female,5,Basic,6,9,1,10,8,7,0
861,3,Female,6,VIP,6,3,5,1,8,1,1
862,4,Male,2,Premium,1,5,9,4,4,8,0
863,9,Male,6,Basic,10,5,6,5,3,4,0
864,8,Female,4,Premium,2,8,7,2,9,4,0
865,7,Male,3,Basic,3,7,9,10,10,5,0
866,3,Male,10,Basic,5,5,3,7,5,9,0
867,1,Male,2,Premium,8,7,10,5,2,5,0
868,9,Male,6,Premium,1,7,7,3,3,7,0
869,2,Male,6,Premium,9,9,4,5,8,5,0
870,6,Male,7,Premium,6,10,7,10,6,4,0
871,5,Male,3,VIP,7,3,10,4,9,9,0
872,4,Female,9,Basic,7,8,5,1,2,7,1
873,3,Male,10,Premium,1,3,1,10,4,6,0
874,7,Female,8,Premium,10,6,7,8,8,5,0
875,1,Female,8,VIP,7,4,8,4,9,4,0
876,10,Male,10,VIP,9,2,3,6,6,9,0
877,8,Male,6,VIP,7,2,9,8,6,6,0
878,10,Male,2,Basic,3,3,9,1,2,3,0
879,2,Female,8,Premium,6,3,10,9,10,8,0
880,10,Female,5,Premium,10,7,2,6,4,4,0
881,10,Female,5,VIP,7,6,6,3,1,7,0
882,7,Male,10,Basic,2,1,6,2,8,4,0
883,4,Male,6,VIP,9,10,2,9,10,7,0
884,2,Male,1,Premium,7,5,9,8,1,6,0
885,3,Male,6,Basic,2,5,6,7,9,4,0
886,2,Female,2,Basic,2,7,7,8,6,4,0
887,2,Male,1,Premium,4,2,6,1,3,2,0
888,5,Male,2,VIP,1,3,5,9,2,7,0
889,4,Male,3,VIP,8,7,10,10,9,9,0
890,9,Male,1,Premium,10,10,9,2,3,6,0
891,2,Female,2,Basic,6,9,9,2,8,6,0
892,7,Male,9,Basic,6,3,5,9,9,10,0
893,3,Male,6,Basic,1,6,7,6,5,7,0
894,2,Male,9,Basic,6,1,3,10,10,7,0
895,4,Male,9,Basic,5,2,10,5,8,2,0
896,8,Male,7,Basic,6,10,10,3,7,8,0
897,2,Male,5,Premium,1,4,9,6,10,9,0
898,10,Female,9,VIP,6,8,3,7,3,10,0
899,9,Female,1,Basic,5,6,8,9,10,4,0
900,7,Female,7,VIP,5,5,4,5,5,8,0
901,4,Male,3,VIP,7,5,3,9,9,7,0
902,9,Female,3,VIP,3,5,3,10,3,10,0
903,9,Female,10,Premium,1,10,1,10,1,3,0
904,4,Female,4,Basic,10,1,5,3,4,10,0
905,9,Female,7,Basic,8,4,5,7,9,3,0
906,1,Female,7,VIP,3,3,9,1,6,3,1
907,3,Female,8,Basic,8,10,3,5,2,7,0
908,2,Female,10,Basic,8,8,10,10,5,9,0
909,4,Female,6,VIP,7,7,10,7,9,6,0
910,3,Male,1,VIP,9,5,2,3,3,7,0
911,1,Female,10,VIP,4,10,3,7,7,10,0
912,9,Male,8,Basic,8,8,2,9,10,5,0
913,9,Female,2,Basic,8,3,3,7,9,3,0
914,5,Female,2,Basic,3,9,3,10,6,7,0
915,6,Male,7,Premium,8,2,3,9,10,7,0
916,9,Male,4,VIP,4,9,1,4,7,6,0
917,9,Female,3,Premium,8,6,7,8,10,1,0
918,9,Female,1,Basic,8,5,6,9,2,2,0
919,9,Male,5,Basic,7,10,3,6,8,10,0
920,10,Male,2,Premium,8,4,5,8,4,10,0
921,4,Female,3,Premium,5,10,10,3,10,5,0
922,1,Male,2,Premium,6,3,9,6,6,6,0
923,2,Male,5,Basic,5,4,9,3,10,9,0
924,7,Male,3,VIP,7,2,10,2,5,8,0
925,10,Male,6,Premium,3,2,3,4,5,10,0
926,7,Female,2,Premium,2,4,1,10,1,6,0
927,5,Female,4,Basic,9,8,6,7,8,8,0
928,8,Male,3,Premium,10,7,1,1,9,10,0
929,2,Female,8,Premium,9,2,10,4,3,6,0
930,8,Male,3,Premium,2,5,10,8,10,9,0
931,8,Male,8,Basic,5,9,9,2,3,1,0
932,10,Male,7,Basic,7,9,6,2,9,2,0
933,8,Male,3,Basic,8,3,6,8,10,8,0
934,3,Male,7,Basic,5,2,3,9,1,4,0
935,7,Female,10,Premium,7,5,2,8,10,6,0
936,6,Male,10,Premium,7,6,5,10,1,5,0
937,6,Female,2,VIP,4,6,8,1,10,9,0
938,7,Male,2,Premium,5,10,8,8,7,1,0
939,5,Male,4,Premium,4,10,7,6,6,10,0
940,3,Female,6,Basic,5,1,4,8,1,6,0
941,5,Male,6,VIP,5,3,8,6,1,10,0
942,1,Male,6,Premium,6,7,6,6,6,2,0
943,7,Female,8,Basic,2,6,3,7,2,7,0
944,4,Male,7,Basic,5,6,10,2,2,4,1
945,9,Female,1,Basic,6,2,9,6,4,10,0
946,9,Female,9,Premium,6,2,3,2,7,9,0
947,10,Female,9,VIP,8,10,2,7,2,3,0
948,9,Female,9,Premium,6,1,8,3,5,4,0
949,7,Female,2,Basic,7,5,7,2,1,3,0
950,2,Male,3,Premium,6,3,3,6,4,6,0
951,6,Female,6,VIP,1,2,4,9,2,3,0
952,4,Male,3,VIP,4,1,7,6,6,2,0
953,7,Male,1,VIP,3,6,2,4,8,8,0
954,8,Female,10,VIP,10,10,7,5,3,8,0
955,1,Male,4,Premium,4,3,10,8,6,9,0
956,2,Female,5,Basic,2,4,3,6,2,10,0
957,2,Male,5,Premium,8,8,6,9,7,2,0
958,3,Male,7,Premium,5,7,4,6,1,3,0
959,3,Male,4,VIP,2,3,7,10,8,10,0
960,4,Male,10,Basic,7,10,10,1,2,9,1
961,6,Male,6,Premium,4,1,8,5,8,7,0
962,3,Female,10,VIP,8,4,8,4,2,9,0
963,10,Female,1,VIP,10,9,6,10,4,5,0
964,9,Female,4,Premium,8,10,8,4,8,4,0
965,1,Female,1,Premium,3,4,9,2,3,5,0
966,10,Male,3,Basic,4,8,4,4,4,8,0
967,6,Male,8,Basic,3,2,9,1,7,6,0
968,8,Female,2,Premium,7,9,3,10,9,7,0
969,1,Female,4,Basic,9,9,1,9,10,6,0
970,2,Female,5,VIP,3,8,2,6,6,4,0
971,3,Male,8,Premium,1,5,7,1,9,9,1
972,9,Male,3,VIP,2,10,7,4,10,3,0
973,7,Female,3,Premium,2,9,6,1,8,2,0
974,10,Female,1,Basic,10,4,4,1,1,10,0
975,9,Male,6,Basic,5,2,5,9,7,8,0
976,9,Female,2,VIP,7,1,6,2,5,7,0
977,5,Male,7,Basic,5,3,5,7,3,9,0
978,5,Male,4,VIP,4,8,4,5,1,2,0
979,6,Male,10,Premium,7,7,3,8,1,5,0
980,9,Female,2,Basic,10,7,7,2,6,2,0
981,8,Female,7,Basic,6,1,10,9,3,9,0
982,9,Female,6,Basic,4,3,10,5,4,8,0
983,5,Male,6,VIP,3,10,1,5,4,3,0
984,8,Female,7,Basic,2,6,2,8,4,3,0
985,3,Male,4,Premium,9,9,3,4,8,5,0
986,1,Male,7,Basic,4,1,10,5,1,10,0
987,2,Male,4,Premium,7,4,4,7,3,7,0
988,1,Male,2,VIP,6,2,3,4,6,4,0
989,9,Male,8,Basic,8,9,5,4,10,6,0
990,4,Female,2,Basic,4,9,9,6,7,5,0
991,7,Female,2,VIP,4,3,8,9,7,3,0
992,3,Male,6,Basic,3,2,9,9,4,9,0
993,4,Male,7,Premium,5,7,9,6,9,1,0
994,7,Male,8,Premium,10,5,5,1,8,7,0
995,7,Female,2,Basic,10,5,3,2,4,9,0
996,5,Female,10,VIP,3,5,10,4,3,9,0
997,5,Male,9,Basic,8,3,7,4,5,7,0
998,10,Male,9,Premium,6,2,10,7,9,9,0
999,5,Male,8,VIP,2,3,9,1,9,1,1
