,age,education_level,marital_status,number_of_children,employment_status,occupation,location,years_of_work_experience,industry,label
446,34,masters,married,5,unemployed,blue collar,urban,40,manufacturing,1
447,40,phd,divorced,9,retired,blue collar,rural,17,other,1
448,35,high school,divorced,14,employed,blue collar,rural,28,finance,1
449,50,high school,married,5,unemployed,white collar,rural,15,tech,1
450,46,masters,divorced,7,unemployed,blue collar,urban,14,healthcare,1
451,64,high school,separated,3,employed,blue collar,urban,4,healthcare,1
452,38,phd,married,1,unemployed,blue collar,urban,29,manufacturing,0
453,48,masters,divorced,12,retired,white collar,urban,23,healthcare,1
454,60,phd,married,1,employed,white collar,urban,39,finance,1
455,33,phd,single,0,employed,blue collar,rural,39,tech,0
456,49,masters,single,12,employed,blue collar,urban,38,finance,1
457,53,high school,separated,7,employed,white collar,urban,11,healthcare,1
458,52,masters,single,5,unemployed,blue collar,rural,3,finance,1
459,29,masters,single,10,unemployed,white collar,urban,32,other,1
460,36,bachelors,divorced,9,retired,white collar,rural,13,other,1
461,18,bachelors,divorced,10,unemployed,white collar,rural,30,retail,1
462,51,phd,married,2,employed,blue collar,urban,23,finance,0
463,53,masters,separated,5,employed,white collar,urban,21,finance,1
464,31,bachelors,separated,8,unemployed,blue collar,urban,24,other,1
465,35,high school,married,4,employed,white collar,urban,16,other,1
466,52,phd,divorced,8,retired,white collar,urban,6,tech,1
467,39,masters,divorced,5,employed,blue collar,urban,8,other,1
468,38,high school,single,6,retired,blue collar,urban,12,retail,1
469,24,phd,divorced,12,unemployed,blue collar,urban,29,tech,1
470,48,masters,divorced,10,employed,blue collar,urban,28,tech,1
471,36,masters,single,6,employed,blue collar,urban,26,other,1
472,18,phd,single,7,employed,white collar,urban,8,tech,1
473,61,phd,married,12,employed,white collar,rural,4,other,1
474,38,masters,separated,5,unemployed,blue collar,urban,6,retail,1
475,53,bachelors,separated,0,retired,blue collar,rural,40,manufacturing,0
476,55,masters,separated,0,employed,blue collar,rural,28,retail,0
477,41,phd,married,1,unemployed,blue collar,urban,3,manufacturing,0
478,26,bachelors,separated,13,retired,blue collar,urban,15,tech,1
479,21,phd,married,12,employed,blue collar,rural,40,tech,1
480,30,high school,married,12,employed,white collar,urban,33,tech,1
481,64,bachelors,single,4,unemployed,white collar,urban,31,finance,1
482,47,bachelors,married,1,retired,blue collar,urban,4,other,0
483,38,phd,divorced,1,employed,blue collar,urban,40,manufacturing,0
484,45,phd,married,6,unemployed,white collar,urban,28,retail,1
485,62,phd,divorced,2,retired,white collar,urban,14,other,0
486,59,masters,separated,8,employed,blue collar,urban,13,tech,1
487,59,high school,married,0,employed,white collar,rural,26,manufacturing,1
488,65,high school,married,2,employed,white collar,urban,21,tech,1
489,25,phd,separated,2,unemployed,blue collar,urban,1,other,0
490,43,masters,separated,0,employed,blue collar,rural,39,retail,0
491,62,masters,divorced,8,unemployed,blue collar,rural,31,tech,1
492,55,high school,separated,0,retired,white collar,rural,17,other,0
493,41,phd,single,9,retired,white collar,rural,8,tech,1
494,42,phd,married,0,retired,white collar,urban,1,other,0
495,37,phd,single,9,unemployed,white collar,urban,33,other,1
496,55,bachelors,married,9,unemployed,blue collar,urban,10,other,1
497,50,masters,single,9,unemployed,white collar,rural,40,tech,1
498,40,high school,single,3,retired,white collar,rural,24,manufacturing,1
499,38,bachelors,married,7,retired,white collar,rural,20,retail,1
500,53,masters,divorced,10,employed,blue collar,rural,35,healthcare,1
501,50,high school,married,1,retired,white collar,urban,20,retail,0
502,21,phd,married,3,retired,white collar,rural,16,other,1
503,26,phd,single,11,unemployed,white collar,urban,2,finance,1
504,65,masters,married,13,retired,blue collar,urban,37,manufacturing,1
505,46,high school,divorced,6,unemployed,white collar,rural,25,tech,1
506,51,high school,divorced,9,unemployed,white collar,rural,27,manufacturing,1
507,43,masters,divorced,7,retired,blue collar,urban,33,finance,1
508,58,masters,separated,10,employed,blue collar,rural,31,tech,1
509,36,masters,single,0,employed,white collar,urban,5,finance,1
510,25,high school,single,6,unemployed,white collar,urban,5,retail,1
511,50,masters,separated,10,unemployed,blue collar,urban,25,manufacturing,1
512,52,phd,divorced,11,employed,white collar,rural,4,manufacturing,1
513,34,bachelors,separated,6,retired,blue collar,urban,36,retail,1
514,39,bachelors,married,10,unemployed,blue collar,urban,1,tech,1
515,30,high school,married,11,retired,blue collar,rural,33,retail,1
516,35,high school,divorced,8,employed,white collar,rural,4,other,1
517,50,phd,separated,3,employed,white collar,rural,31,manufacturing,1
518,51,phd,separated,5,retired,white collar,urban,32,healthcare,1
519,55,high school,single,4,unemployed,white collar,rural,27,manufacturing,1
520,34,bachelors,single,3,retired,white collar,urban,30,retail,1
521,58,phd,single,8,unemployed,white collar,urban,31,other,1
522,56,masters,single,5,retired,blue collar,urban,14,healthcare,1
523,33,phd,married,9,retired,blue collar,urban,13,tech,1
524,62,phd,divorced,4,retired,blue collar,urban,13,other,1
525,53,bachelors,single,2,unemployed,blue collar,urban,21,retail,0
526,28,masters,married,10,employed,white collar,urban,27,retail,1
527,52,masters,single,6,retired,blue collar,urban,4,tech,1
528,64,phd,divorced,1,retired,white collar,rural,5,tech,0
529,48,masters,married,9,employed,white collar,rural,20,finance,1
530,22,masters,divorced,0,unemployed,blue collar,rural,12,healthcare,0
531,35,masters,single,8,retired,white collar,urban,7,healthcare,1
532,35,bachelors,married,4,employed,white collar,rural,20,other,1
533,41,phd,single,2,unemployed,white collar,urban,25,manufacturing,0
534,29,phd,married,0,employed,white collar,rural,20,other,1
535,53,bachelors,divorced,14,retired,blue collar,urban,6,retail,1
536,64,high school,single,2,unemployed,white collar,rural,5,tech,0
537,43,bachelors,separated,11,retired,blue collar,urban,29,manufacturing,1
538,37,masters,divorced,7,employed,white collar,urban,36,finance,1
539,33,bachelors,married,0,retired,white collar,rural,6,finance,0
540,40,phd,single,4,employed,blue collar,rural,23,other,1
541,55,high school,married,6,employed,white collar,urban,24,retail,1
542,19,bachelors,separated,2,retired,white collar,urban,2,healthcare,0
543,57,masters,divorced,8,retired,blue collar,urban,33,finance,1
544,53,phd,married,1,employed,blue collar,rural,39,retail,0
545,47,high school,divorced,3,employed,white collar,rural,7,finance,1
546,33,high school,married,6,unemployed,blue collar,rural,4,finance,1
547,59,phd,separated,8,employed,white collar,rural,28,finance,1
548,34,phd,separated,7,employed,white collar,rural,34,healthcare,1
549,38,bachelors,single,4,unemployed,blue collar,urban,4,finance,1
550,47,phd,married,4,unemployed,white collar,urban,26,healthcare,1
551,18,bachelors,single,8,unemployed,blue collar,urban,10,finance,1
552,25,bachelors,married,8,unemployed,white collar,rural,21,tech,1
553,37,masters,separated,4,retired,white collar,urban,35,retail,1
554,55,masters,divorced,11,employed,white collar,urban,27,healthcare,1
555,33,bachelors,separated,11,retired,blue collar,urban,38,tech,1
556,28,bachelors,single,2,retired,blue collar,urban,17,other,0
557,30,high school,married,13,retired,white collar,urban,2,other,1
558,48,phd,divorced,9,retired,white collar,urban,8,manufacturing,1
559,51,high school,married,12,retired,blue collar,rural,24,retail,1
560,47,bachelors,married,6,employed,blue collar,rural,12,healthcare,1
561,22,phd,separated,11,retired,blue collar,urban,29,finance,1
562,43,bachelors,separated,10,retired,blue collar,rural,2,other,1
563,45,high school,separated,5,retired,white collar,urban,32,other,1
564,56,phd,divorced,2,employed,white collar,urban,5,retail,1
565,53,phd,separated,8,employed,white collar,urban,40,manufacturing,1
566,43,phd,separated,6,retired,white collar,urban,4,tech,1
567,33,masters,married,5,employed,white collar,rural,22,other,1
568,57,phd,divorced,7,unemployed,blue collar,urban,4,retail,1
569,36,bachelors,single,9,unemployed,blue collar,rural,14,healthcare,1
570,58,masters,divorced,2,retired,blue collar,urban,34,manufacturing,0
571,48,phd,single,10,employed,white collar,rural,12,healthcare,1
572,24,bachelors,married,9,unemployed,blue collar,rural,6,manufacturing,1
573,65,masters,separated,0,unemployed,blue collar,urban,5,tech,1
574,42,masters,separated,9,retired,white collar,urban,19,retail,1
575,57,phd,married,1,employed,white collar,rural,12,manufacturing,1
576,53,phd,divorced,4,employed,white collar,rural,25,retail,1
577,61,masters,divorced,8,retired,blue collar,urban,4,manufacturing,1
578,54,masters,separated,2,unemployed,white collar,urban,23,other,0
579,55,bachelors,married,0,retired,white collar,rural,1,other,0
580,37,bachelors,single,1,employed,white collar,rural,21,retail,1
581,32,bachelors,divorced,2,retired,white collar,rural,38,retail,0
582,33,high school,married,1,retired,white collar,urban,12,finance,0
583,49,bachelors,separated,4,employed,blue collar,rural,20,retail,1
584,54,high school,single,1,retired,blue collar,rural,12,other,0
585,48,phd,divorced,10,employed,blue collar,rural,7,retail,1
586,23,phd,separated,9,retired,white collar,rural,5,healthcare,1
587,19,bachelors,single,8,retired,blue collar,rural,20,tech,1
588,31,phd,separated,5,employed,white collar,urban,24,manufacturing,1
589,39,bachelors,separated,4,retired,white collar,rural,31,tech,1
590,26,masters,married,1,unemployed,blue collar,rural,23,other,0
591,26,phd,married,1,unemployed,blue collar,urban,28,tech,1
592,38,masters,single,5,retired,blue collar,rural,27,retail,1
593,52,bachelors,married,13,employed,white collar,urban,5,manufacturing,1
594,32,masters,single,5,unemployed,white collar,urban,20,tech,1
595,64,bachelors,divorced,5,employed,white collar,urban,27,healthcare,1
596,29,high school,separated,15,retired,blue collar,rural,22,finance,1
597,46,high school,divorced,13,unemployed,white collar,rural,11,retail,1
598,64,high school,divorced,5,retired,white collar,rural,38,healthcare,1
599,35,bachelors,divorced,2,retired,blue collar,urban,6,healthcare,0
600,39,bachelors,divorced,4,retired,white collar,urban,8,retail,1
601,42,masters,divorced,7,employed,white collar,urban,8,other,1
602,47,masters,married,10,employed,blue collar,rural,4,tech,1
603,53,phd,single,1,unemployed,blue collar,rural,22,other,0
604,54,bachelors,separated,5,employed,blue collar,rural,26,retail,1
605,61,phd,separated,4,employed,white collar,rural,23,retail,1
606,52,high school,single,3,employed,white collar,rural,6,finance,1
607,22,bachelors,divorced,9,unemployed,white collar,urban,16,manufacturing,1
608,57,masters,single,4,employed,white collar,rural,10,tech,1
609,26,high school,married,8,unemployed,white collar,rural,34,retail,1
610,55,bachelors,divorced,7,employed,white collar,urban,16,other,1
611,49,phd,single,10,employed,white collar,rural,34,healthcare,1
612,41,bachelors,single,9,employed,blue collar,urban,12,other,1
613,23,high school,divorced,4,retired,white collar,rural,1,healthcare,1
614,63,masters,divorced,8,retired,blue collar,rural,40,other,1
615,60,masters,separated,9,retired,white collar,urban,38,tech,1
616,53,masters,single,12,unemployed,blue collar,urban,17,retail,1
617,32,phd,married,2,employed,blue collar,rural,16,manufacturing,0
618,33,high school,divorced,2,employed,blue collar,rural,35,retail,0
619,57,phd,separated,5,employed,white collar,rural,26,finance,1
620,29,phd,divorced,12,employed,white collar,urban,16,retail,1
621,31,masters,single,0,unemployed,white collar,urban,28,finance,0
622,62,bachelors,single,5,retired,white collar,rural,37,finance,1
623,51,masters,married,2,retired,white collar,rural,12,healthcare,0
624,56,bachelors,married,0,employed,white collar,rural,34,other,1
625,46,high school,single,1,retired,blue collar,urban,33,retail,0
626,54,bachelors,married,15,retired,blue collar,urban,40,manufacturing,1
627,43,bachelors,single,7,retired,white collar,rural,1,other,1
628,58,bachelors,single,5,unemployed,blue collar,urban,11,manufacturing,1
629,46,high school,separated,10,retired,blue collar,rural,18,retail,1
630,52,phd,married,5,retired,blue collar,rural,5,retail,1
631,34,masters,divorced,1,unemployed,white collar,urban,37,other,0
632,28,bachelors,separated,4,retired,white collar,rural,7,finance,1
633,48,phd,single,4,retired,blue collar,urban,6,other,1
634,51,phd,single,1,unemployed,white collar,urban,5,finance,0
635,38,phd,single,7,unemployed,blue collar,rural,22,tech,1
636,51,bachelors,single,2,unemployed,blue collar,rural,29,manufacturing,0
637,64,bachelors,single,9,retired,blue collar,rural,30,finance,1
638,33,high school,single,4,retired,blue collar,urban,17,tech,1
639,35,masters,married,8,retired,white collar,rural,4,tech,1
640,54,masters,single,4,retired,blue collar,rural,6,healthcare,1
641,31,masters,separated,7,unemployed,blue collar,rural,14,tech,1
642,65,phd,single,3,unemployed,blue collar,rural,21,other,1
643,18,bachelors,separated,15,employed,white collar,rural,25,retail,1
644,53,masters,married,3,employed,white collar,rural,28,finance,1
645,25,phd,separated,5,unemployed,white collar,urban,12,manufacturing,1
646,23,masters,separated,8,unemployed,blue collar,urban,28,finance,1
647,36,bachelors,divorced,0,employed,white collar,urban,31,other,1
648,25,bachelors,separated,8,retired,white collar,rural,22,other,1
649,39,masters,separated,3,employed,white collar,rural,22,finance,1
650,45,bachelors,married,4,retired,blue collar,urban,18,retail,1
651,21,masters,separated,0,unemployed,blue collar,rural,19,finance,0
652,40,phd,separated,15,retired,blue collar,rural,10,healthcare,1
653,60,high school,single,8,employed,blue collar,urban,29,healthcare,1
654,22,bachelors,single,0,employed,white collar,urban,9,tech,1
655,35,masters,divorced,2,employed,blue collar,urban,33,retail,0
656,33,bachelors,divorced,5,unemployed,white collar,urban,15,tech,1
657,25,phd,single,12,retired,white collar,rural,10,retail,1
658,42,high school,divorced,9,retired,blue collar,rural,37,healthcare,1
659,45,bachelors,divorced,9,unemployed,white collar,urban,35,manufacturing,1
660,47,bachelors,divorced,13,unemployed,blue collar,rural,23,healthcare,1
661,40,phd,separated,2,unemployed,blue collar,urban,11,finance,0
662,47,masters,married,0,retired,blue collar,urban,21,retail,0
663,19,phd,single,8,unemployed,blue collar,urban,14,finance,1
664,42,phd,married,5,unemployed,blue collar,urban,25,tech,1
665,53,masters,separated,12,retired,blue collar,rural,18,manufacturing,1
666,25,bachelors,single,1,employed,white collar,urban,28,tech,1
667,56,bachelors,single,6,retired,blue collar,rural,35,retail,1
668,29,bachelors,divorced,4,retired,white collar,rural,40,retail,1
669,62,masters,separated,9,unemployed,blue collar,urban,21,healthcare,1
670,56,phd,single,8,employed,white collar,rural,26,tech,1
671,44,high school,separated,1,unemployed,blue collar,urban,8,other,0
672,44,high school,married,6,retired,blue collar,rural,3,other,1
673,32,masters,separated,1,retired,blue collar,urban,35,manufacturing,0
674,45,bachelors,married,6,retired,blue collar,urban,29,manufacturing,1
675,65,phd,separated,10,employed,blue collar,rural,12,other,1
676,31,high school,divorced,6,unemployed,white collar,rural,10,retail,1
677,47,phd,divorced,15,unemployed,white collar,rural,12,other,1
678,42,bachelors,married,9,unemployed,white collar,rural,12,retail,1
679,36,high school,married,1,employed,white collar,rural,40,retail,1
680,39,masters,married,2,unemployed,white collar,rural,5,other,0
681,36,bachelors,separated,0,unemployed,white collar,urban,15,finance,0
682,52,masters,married,8,unemployed,white collar,rural,35,manufacturing,1
683,20,phd,divorced,8,employed,blue collar,urban,37,manufacturing,1
684,65,high school,separated,9,unemployed,white collar,urban,26,healthcare,1
685,52,high school,divorced,8,retired,white collar,rural,33,manufacturing,1
686,39,bachelors,single,0,unemployed,blue collar,urban,38,tech,1
687,45,masters,separated,4,retired,white collar,urban,13,manufacturing,1
688,62,bachelors,divorced,7,employed,white collar,urban,2,finance,1
689,19,phd,married,1,employed,blue collar,urban,14,healthcare,0
690,63,masters,single,7,unemployed,blue collar,rural,27,retail,1
691,48,high school,separated,0,unemployed,white collar,urban,13,finance,0
692,21,masters,single,5,employed,white collar,urban,19,manufacturing,1
693,27,high school,divorced,1,unemployed,blue collar,urban,5,retail,0
694,40,high school,separated,13,employed,white collar,rural,23,finance,1
695,31,phd,single,2,unemployed,white collar,urban,2,other,0
696,64,phd,divorced,6,employed,white collar,urban,10,manufacturing,1
697,40,bachelors,separated,11,employed,blue collar,urban,17,finance,1
698,41,masters,separated,6,unemployed,white collar,urban,5,other,1
699,25,masters,divorced,3,retired,white collar,urban,33,healthcare,1
700,18,masters,separated,15,employed,white collar,rural,7,manufacturing,1
701,37,masters,separated,3,retired,white collar,urban,38,retail,1
702,38,high school,separated,2,employed,white collar,urban,34,healthcare,1
703,44,high school,divorced,3,employed,white collar,rural,27,retail,1
704,23,masters,separated,2,unemployed,white collar,rural,11,other,0
705,57,masters,divorced,10,employed,blue collar,rural,14,manufacturing,1
706,61,high school,single,11,employed,white collar,urban,24,finance,1
707,44,phd,single,3,employed,blue collar,rural,28,other,1
708,29,high school,single,8,retired,white collar,rural,20,manufacturing,1
709,36,masters,divorced,6,unemployed,blue collar,rural,36,finance,1
710,25,bachelors,married,4,retired,blue collar,rural,32,manufacturing,1
711,40,bachelors,divorced,2,unemployed,blue collar,rural,8,manufacturing,0
712,40,bachelors,single,7,employed,white collar,urban,6,finance,1
713,57,high school,separated,5,unemployed,white collar,rural,37,tech,1
714,55,high school,divorced,12,employed,white collar,rural,40,finance,1
715,55,masters,married,0,employed,white collar,rural,26,other,1
716,42,bachelors,married,7,retired,blue collar,urban,24,other,1
717,22,high school,married,3,unemployed,blue collar,urban,27,manufacturing,1
718,64,high school,single,0,retired,white collar,rural,20,retail,0
719,48,masters,single,3,employed,blue collar,urban,20,finance,1
720,31,phd,single,7,retired,blue collar,rural,30,manufacturing,1
721,55,phd,single,8,unemployed,white collar,rural,13,tech,1
722,30,masters,single,5,unemployed,white collar,urban,18,retail,1
723,24,high school,divorced,1,employed,blue collar,urban,2,healthcare,0
724,59,high school,divorced,5,unemployed,blue collar,rural,30,tech,1
725,23,bachelors,married,3,unemployed,blue collar,rural,23,finance,1
726,19,masters,divorced,1,employed,white collar,urban,10,retail,1
727,50,high school,separated,9,retired,white collar,urban,6,other,1
728,50,high school,married,10,retired,white collar,urban,7,other,1
729,22,high school,divorced,10,retired,blue collar,urban,28,healthcare,1
730,25,bachelors,separated,5,retired,white collar,urban,18,retail,1
731,40,high school,married,1,employed,blue collar,rural,1,healthcare,0
732,26,masters,single,7,unemployed,blue collar,urban,21,tech,1
733,55,phd,married,13,unemployed,blue collar,urban,15,healthcare,1
734,20,phd,separated,0,retired,white collar,rural,18,finance,0
735,60,phd,married,1,retired,blue collar,rural,1,healthcare,0
736,20,phd,separated,5,unemployed,white collar,rural,29,finance,1
737,41,masters,single,8,retired,blue collar,rural,11,finance,1
738,64,masters,married,6,retired,blue collar,rural,34,manufacturing,1
739,34,high school,divorced,9,retired,blue collar,urban,8,manufacturing,1
740,23,masters,married,4,unemployed,white collar,rural,31,finance,1
741,60,high school,separated,11,employed,blue collar,urban,15,other,1
742,25,bachelors,separated,10,retired,blue collar,rural,32,other,1
743,35,bachelors,single,3,unemployed,white collar,urban,4,manufacturing,1
744,36,bachelors,divorced,5,employed,blue collar,rural,16,retail,1
745,35,bachelors,single,3,retired,white collar,urban,27,other,1
746,56,phd,married,7,retired,blue collar,urban,16,finance,1
747,62,high school,single,12,unemployed,white collar,rural,6,finance,1
748,48,high school,single,10,employed,white collar,rural,31,retail,1
749,46,masters,single,5,unemployed,blue collar,urban,5,tech,1
750,39,high school,married,8,retired,blue collar,urban,17,retail,1
751,20,phd,separated,10,unemployed,blue collar,rural,18,other,1
752,38,masters,separated,8,employed,white collar,rural,15,other,1
753,61,bachelors,divorced,10,unemployed,white collar,rural,31,manufacturing,1
754,58,masters,single,9,unemployed,white collar,urban,39,tech,1
755,31,phd,divorced,9,unemployed,white collar,rural,12,manufacturing,1
756,65,bachelors,married,8,employed,white collar,rural,7,healthcare,1
757,24,high school,married,9,unemployed,blue collar,rural,11,manufacturing,1
758,31,masters,separated,8,retired,blue collar,rural,3,manufacturing,1
759,61,phd,divorced,5,employed,white collar,rural,16,retail,1
760,28,bachelors,single,7,retired,blue collar,rural,18,retail,1
761,63,high school,married,5,unemployed,white collar,urban,7,tech,1
762,30,high school,separated,8,retired,white collar,rural,37,manufacturing,1
763,48,bachelors,divorced,2,unemployed,blue collar,urban,20,tech,1
764,50,phd,separated,5,unemployed,blue collar,rural,34,finance,1
765,48,phd,married,2,retired,white collar,rural,28,tech,0
766,31,phd,separated,1,employed,white collar,rural,32,manufacturing,1
767,42,high school,single,6,unemployed,blue collar,urban,18,retail,1
768,22,high school,divorced,1,retired,white collar,urban,29,other,0
769,32,phd,separated,1,unemployed,blue collar,rural,27,retail,0
770,55,masters,separated,9,retired,blue collar,rural,30,retail,1
771,43,high school,single,6,retired,white collar,urban,35,manufacturing,1
772,37,masters,married,2,employed,white collar,rural,8,other,1
773,58,high school,separated,4,employed,white collar,urban,13,finance,1
774,65,high school,separated,4,employed,white collar,urban,40,healthcare,1
775,20,bachelors,divorced,0,unemployed,blue collar,urban,2,retail,0
776,36,masters,separated,4,unemployed,white collar,urban,37,manufacturing,1
777,38,masters,divorced,11,retired,blue collar,urban,13,other,1
778,57,phd,separated,4,retired,white collar,urban,14,finance,1
779,27,phd,married,8,unemployed,white collar,urban,15,tech,1
780,22,bachelors,divorced,1,unemployed,white collar,urban,38,retail,0
781,30,high school,married,4,retired,white collar,rural,38,finance,1
782,30,high school,divorced,6,retired,white collar,rural,28,healthcare,1
783,59,bachelors,separated,3,unemployed,blue collar,urban,34,other,1
784,62,phd,divorced,2,unemployed,white collar,rural,36,tech,0
785,40,masters,married,6,unemployed,blue collar,rural,17,manufacturing,1
786,56,phd,married,1,employed,white collar,rural,40,manufacturing,1
787,63,masters,single,10,unemployed,white collar,rural,23,other,1
788,34,masters,single,0,employed,blue collar,urban,25,other,0
789,42,masters,divorced,5,retired,white collar,rural,34,manufacturing,1
790,23,high school,married,10,employed,white collar,rural,8,retail,1
791,60,phd,single,6,unemployed,white collar,rural,38,other,1
792,19,bachelors,single,10,retired,white collar,urban,4,finance,1
793,54,high school,married,4,unemployed,white collar,rural,26,healthcare,1
794,25,high school,separated,9,employed,blue collar,rural,35,tech,1
795,18,phd,divorced,10,employed,white collar,rural,10,manufacturing,1
796,21,phd,married,8,unemployed,white collar,rural,24,retail,1
797,30,phd,married,7,unemployed,blue collar,urban,32,manufacturing,1
798,41,bachelors,divorced,12,retired,blue collar,rural,27,tech,1
799,23,high school,single,2,unemployed,blue collar,rural,2,retail,0
800,58,high school,single,15,employed,blue collar,rural,2,retail,1
801,25,phd,single,2,unemployed,white collar,rural,1,tech,0
802,52,phd,divorced,8,employed,blue collar,rural,9,tech,1
803,51,bachelors,separated,12,unemployed,blue collar,rural,33,tech,1
804,41,high school,divorced,3,retired,white collar,urban,1,retail,1
805,34,phd,single,14,unemployed,blue collar,urban,37,retail,1
806,48,phd,divorced,2,employed,white collar,urban,7,finance,1
807,32,masters,divorced,5,employed,white collar,urban,17,healthcare,1
808,20,phd,single,2,employed,blue collar,rural,29,finance,0
809,59,bachelors,separated,9,retired,blue collar,urban,19,finance,1
810,36,masters,divorced,8,employed,white collar,urban,14,manufacturing,1
811,46,phd,single,0,unemployed,blue collar,rural,23,retail,0
812,35,phd,separated,1,employed,white collar,urban,6,retail,1
813,18,high school,divorced,10,unemployed,white collar,rural,32,manufacturing,1
814,61,bachelors,married,4,retired,blue collar,rural,21,other,1
815,37,high school,separated,10,employed,blue collar,urban,9,other,1
816,24,phd,divorced,8,retired,white collar,rural,25,manufacturing,1
817,27,bachelors,divorced,13,retired,white collar,urban,15,other,1
818,37,high school,divorced,9,unemployed,blue collar,urban,28,manufacturing,1
819,27,phd,separated,13,unemployed,blue collar,rural,22,healthcare,1
820,61,high school,married,0,employed,blue collar,rural,17,manufacturing,0
821,32,bachelors,divorced,7,employed,white collar,rural,6,tech,1
822,38,high school,single,1,retired,blue collar,rural,19,other,0
823,45,masters,married,3,unemployed,white collar,urban,9,finance,1
824,57,phd,single,7,unemployed,white collar,urban,40,other,1
825,64,high school,divorced,7,retired,white collar,urban,15,healthcare,1
826,45,masters,single,7,employed,white collar,urban,31,other,1
827,35,bachelors,divorced,15,employed,white collar,rural,4,other,1
828,21,high school,single,0,unemployed,white collar,rural,36,other,0
829,20,phd,divorced,5,retired,white collar,urban,12,healthcare,1
830,22,bachelors,married,9,retired,white collar,rural,20,manufacturing,1
831,60,high school,separated,1,employed,blue collar,rural,16,finance,0
832,55,phd,single,4,unemployed,white collar,urban,31,other,1
833,21,high school,separated,5,retired,white collar,urban,4,tech,1
834,26,high school,married,11,unemployed,white collar,rural,24,manufacturing,1
835,35,high school,divorced,4,unemployed,blue collar,rural,36,healthcare,1
836,47,high school,separated,9,retired,blue collar,urban,31,retail,1
837,35,masters,married,5,retired,white collar,rural,1,tech,1
838,21,masters,married,6,retired,white collar,urban,18,other,1
839,48,masters,separated,1,unemployed,blue collar,rural,8,tech,0
840,19,bachelors,married,7,retired,blue collar,urban,7,other,1
841,44,phd,separated,10,retired,white collar,rural,16,finance,1
842,29,high school,separated,1,retired,blue collar,rural,5,retail,0
843,44,high school,single,1,employed,blue collar,urban,37,tech,1
844,32,high school,separated,4,employed,white collar,urban,39,manufacturing,1
845,40,bachelors,divorced,8,unemployed,blue collar,urban,31,retail,1
846,50,phd,separated,6,unemployed,white collar,rural,3,finance,1
847,36,masters,separated,0,employed,blue collar,rural,2,healthcare,0
848,50,masters,married,13,retired,white collar,rural,7,tech,1
849,45,masters,divorced,9,employed,white collar,rural,23,retail,1
850,58,phd,single,7,employed,blue collar,rural,35,manufacturing,1
851,22,high school,single,8,employed,white collar,urban,40,retail,1
852,32,bachelors,divorced,9,unemployed,white collar,rural,15,tech,1
853,24,phd,married,4,unemployed,white collar,rural,28,finance,1
854,37,high school,married,5,unemployed,blue collar,urban,9,finance,1
855,62,bachelors,married,2,unemployed,white collar,urban,38,healthcare,0
856,32,masters,separated,8,unemployed,blue collar,rural,40,manufacturing,1
857,36,phd,single,6,unemployed,blue collar,urban,10,healthcare,1
858,26,masters,divorced,10,employed,white collar,urban,5,healthcare,1
859,45,phd,single,1,retired,blue collar,rural,5,other,0
860,40,phd,divorced,10,employed,blue collar,urban,8,finance,1
861,58,masters,single,9,retired,blue collar,rural,28,healthcare,1
862,28,bachelors,divorced,5,unemployed,white collar,rural,30,other,1
863,24,bachelors,married,10,retired,blue collar,rural,20,other,1
864,52,high school,separated,5,employed,blue collar,urban,23,finance,1
865,54,phd,divorced,5,retired,blue collar,urban,9,manufacturing,1
866,18,phd,separated,7,employed,blue collar,urban,13,other,1
867,41,bachelors,divorced,5,unemployed,white collar,urban,27,other,1
868,21,masters,single,1,unemployed,white collar,rural,24,other,0
869,65,high school,separated,0,retired,white collar,urban,35,retail,0
870,60,high school,divorced,9,employed,white collar,urban,15,healthcare,1
871,19,masters,divorced,8,unemployed,white collar,rural,1,tech,1
872,57,masters,separated,6,retired,blue collar,urban,6,other,1
873,59,phd,divorced,10,unemployed,white collar,urban,2,retail,1
874,64,phd,separated,7,retired,white collar,rural,3,healthcare,1
875,43,masters,divorced,7,unemployed,white collar,rural,9,manufacturing,1
876,23,high school,married,3,employed,white collar,rural,13,tech,1
877,32,high school,separated,9,retired,blue collar,urban,21,manufacturing,1
878,19,phd,married,3,employed,blue collar,rural,30,manufacturing,1
879,63,high school,single,13,unemployed,white collar,urban,5,retail,1
880,38,bachelors,separated,2,unemployed,blue collar,rural,8,retail,0
881,32,bachelors,married,5,employed,blue collar,rural,3,healthcare,1
882,53,masters,separated,1,unemployed,white collar,rural,18,other,0
883,19,phd,single,4,retired,white collar,urban,33,manufacturing,1
884,24,masters,single,3,unemployed,white collar,rural,15,finance,1
885,27,high school,divorced,3,retired,blue collar,urban,38,finance,1
886,47,bachelors,single,7,employed,white collar,urban,28,retail,1
887,27,phd,separated,7,retired,blue collar,urban,39,manufacturing,1
888,63,high school,separated,7,unemployed,blue collar,rural,6,manufacturing,1
889,32,bachelors,separated,2,unemployed,white collar,urban,24,tech,1
890,50,high school,married,1,unemployed,blue collar,urban,23,finance,0
891,41,high school,single,8,retired,white collar,urban,8,healthcare,1
892,42,high school,separated,0,employed,blue collar,rural,26,healthcare,0
893,18,high school,divorced,9,unemployed,white collar,urban,3,finance,1
894,43,masters,separated,4,unemployed,white collar,rural,9,retail,1
895,60,high school,separated,10,retired,white collar,rural,4,manufacturing,1
