,Monthly Usage,Number of Calls,Number of Text Messages,Data Usage,Bill Amount,Plan Type,Customer Tenure,Monthly Charges,Customer Satisfaction,label
577,578,578,578,578,63,Standard,578,2,4,1
578,579,579,579,579,70,Premium,579,1,4,1
579,580,580,580,580,27,Basic,580,1,1,0
580,581,581,581,581,19,Standard,581,2,2,0
581,582,582,582,582,45,Premium,582,1,1,0
582,583,583,583,583,61,Basic,583,0,4,1
583,584,584,584,584,57,Standard,584,2,1,1
584,585,585,585,585,71,Premium,585,0,4,1
585,586,586,586,586,38,Basic,586,3,3,1
586,587,587,587,587,21,Standard,587,0,4,0
587,588,588,588,588,37,Premium,588,2,1,0
588,589,589,589,589,44,Basic,589,4,4,1
589,590,590,590,590,26,Standard,590,4,2,0
590,591,591,591,591,87,Premium,591,1,1,1
591,592,592,592,592,75,Basic,592,2,3,1
592,593,593,593,593,37,Standard,593,3,1,0
593,594,594,594,594,91,Premium,594,1,4,1
594,595,595,595,595,32,Basic,595,0,3,0
595,596,596,596,596,37,Standard,596,4,2,0
596,597,597,597,597,36,Premium,597,0,1,0
597,598,598,598,598,88,Basic,598,2,1,1
598,599,599,599,599,33,Standard,599,4,2,0
599,600,600,600,600,49,Premium,600,3,3,0
600,601,601,601,601,48,Basic,601,0,3,0
601,602,602,602,602,99,Standard,602,3,4,1
602,603,603,603,603,37,Premium,603,1,3,0
603,604,604,604,604,71,Basic,604,4,4,1
604,605,605,605,605,59,Standard,605,2,4,1
605,606,606,606,606,45,Premium,606,1,4,0
606,607,607,607,607,92,Basic,607,3,3,1
607,608,608,608,608,15,Standard,608,1,2,0
608,609,609,609,609,73,Premium,609,0,2,1
609,610,610,610,610,94,Basic,610,0,3,1
610,611,611,611,611,89,Standard,611,4,4,1
611,612,612,612,612,13,Premium,612,3,2,0
612,613,613,613,613,38,Basic,613,0,3,0
613,614,614,614,614,70,Standard,614,1,4,1
614,615,615,615,615,35,Premium,615,2,2,0
615,616,616,616,616,38,Basic,616,3,3,1
616,617,617,617,617,35,Standard,617,2,4,0
617,618,618,618,618,28,Premium,618,0,2,0
618,619,619,619,619,19,Basic,619,0,1,0
619,620,620,620,620,89,Standard,620,4,4,1
620,621,621,621,621,12,Premium,621,3,3,0
621,622,622,622,622,41,Basic,622,1,3,0
622,623,623,623,623,95,Standard,623,2,2,1
623,624,624,624,624,91,Premium,624,0,2,1
624,625,625,625,625,28,Basic,625,4,1,1
625,626,626,626,626,72,Standard,626,2,2,1
626,627,627,627,627,41,Premium,627,0,4,0
627,628,628,628,628,13,Basic,628,2,1,0
628,629,629,629,629,81,Standard,629,1,2,1
629,630,630,630,630,90,Premium,630,2,2,1
630,631,631,631,631,11,Basic,631,2,3,0
631,632,632,632,632,46,Standard,632,2,1,0
632,633,633,633,633,13,Premium,633,4,1,0
633,634,634,634,634,78,Basic,634,1,2,1
634,635,635,635,635,14,Standard,635,4,4,0
635,636,636,636,636,45,Premium,636,2,2,0
636,637,637,637,637,47,Basic,637,1,1,0
637,638,638,638,638,44,Standard,638,3,3,0
638,639,639,639,639,43,Premium,639,1,4,0
639,640,640,640,640,16,Basic,640,0,1,0
640,641,641,641,641,82,Standard,641,3,3,1
641,642,642,642,642,79,Premium,642,4,4,1
642,643,643,643,643,74,Basic,643,4,2,1
643,644,644,644,644,16,Standard,644,0,1,0
644,645,645,645,645,63,Premium,645,0,2,1
645,646,646,646,646,80,Basic,646,1,4,1
646,647,647,647,647,69,Standard,647,1,2,1
647,648,648,648,648,85,Premium,648,3,3,1
648,649,649,649,649,26,Basic,649,3,3,1
649,650,650,650,650,41,Standard,650,1,4,0
650,651,651,651,651,79,Premium,651,0,3,1
651,652,652,652,652,84,Basic,652,3,3,1
652,653,653,653,653,68,Standard,653,3,3,1
653,654,654,654,654,58,Premium,654,0,2,1
654,655,655,655,655,17,Basic,655,2,1,0
655,656,656,656,656,56,Standard,656,3,3,1
656,657,657,657,657,10,Premium,657,4,2,0
657,658,658,658,658,85,Basic,658,0,1,1
658,659,659,659,659,64,Standard,659,1,2,1
659,660,660,660,660,26,Premium,660,3,4,0
660,661,661,661,661,58,Basic,661,0,3,1
661,662,662,662,662,63,Standard,662,1,4,1
662,663,663,663,663,52,Premium,663,3,2,1
663,664,664,664,664,77,Basic,664,0,3,1
664,665,665,665,665,43,Standard,665,3,4,0
665,666,666,666,666,61,Premium,666,1,3,1
666,667,667,667,667,43,Basic,667,3,4,1
667,668,668,668,668,86,Standard,668,3,1,1
668,669,669,669,669,98,Premium,669,3,2,1
669,670,670,670,670,35,Basic,670,0,2,0
670,671,671,671,671,25,Standard,671,0,4,0
671,672,672,672,672,21,Premium,672,2,2,0
672,673,673,673,673,25,Basic,673,4,4,1
673,674,674,674,674,96,Standard,674,4,3,1
674,675,675,675,675,86,Premium,675,0,2,1
675,676,676,676,676,74,Basic,676,0,3,1
676,677,677,677,677,37,Standard,677,3,4,0
677,678,678,678,678,93,Premium,678,2,4,1
678,679,679,679,679,13,Basic,679,3,1,1
679,680,680,680,680,75,Standard,680,3,4,1
680,681,681,681,681,51,Premium,681,0,2,1
681,682,682,682,682,85,Basic,682,2,1,1
682,683,683,683,683,61,Standard,683,4,3,1
683,684,684,684,684,10,Premium,684,0,3,0
684,685,685,685,685,24,Basic,685,3,1,1
685,686,686,686,686,74,Standard,686,1,1,1
686,687,687,687,687,77,Premium,687,0,2,1
687,688,688,688,688,92,Basic,688,1,2,1
688,689,689,689,689,45,Standard,689,1,2,0
689,690,690,690,690,60,Premium,690,2,2,1
690,691,691,691,691,18,Basic,691,0,2,0
691,692,692,692,692,34,Standard,692,4,2,0
692,693,693,693,693,47,Premium,693,3,3,0
693,694,694,694,694,98,Basic,694,0,1,1
694,695,695,695,695,15,Standard,695,2,4,0
695,696,696,696,696,16,Premium,696,4,1,0
696,697,697,697,697,54,Basic,697,1,2,1
697,698,698,698,698,62,Standard,698,0,2,1
698,699,699,699,699,67,Premium,699,0,4,1
699,700,700,700,700,23,Basic,700,4,2,1
700,701,701,701,701,46,Standard,701,4,3,0
701,702,702,702,702,56,Premium,702,2,1,1
702,703,703,703,703,19,Basic,703,2,1,0
703,704,704,704,704,33,Standard,704,0,3,0
704,705,705,705,705,60,Premium,705,4,2,1
705,706,706,706,706,87,Basic,706,0,2,1
706,707,707,707,707,79,Standard,707,0,2,1
707,708,708,708,708,98,Premium,708,1,2,1
708,709,709,709,709,67,Basic,709,4,4,1
709,710,710,710,710,18,Standard,710,0,3,0
710,711,711,711,711,23,Premium,711,4,2,0
711,712,712,712,712,35,Basic,712,4,3,1
712,713,713,713,713,35,Standard,713,3,2,0
713,714,714,714,714,84,Premium,714,0,2,1
714,715,715,715,715,84,Basic,715,0,3,1
715,716,716,716,716,76,Standard,716,4,1,1
716,717,717,717,717,89,Premium,717,2,4,1
717,718,718,718,718,61,Basic,718,0,3,1
718,719,719,719,719,30,Standard,719,2,2,0
719,720,720,720,720,39,Premium,720,1,2,0
720,721,721,721,721,29,Basic,721,4,1,1
721,722,722,722,722,64,Standard,722,2,2,1
722,723,723,723,723,91,Premium,723,3,4,1
723,724,724,724,724,17,Basic,724,1,4,0
724,725,725,725,725,88,Standard,725,3,3,1
725,726,726,726,726,36,Premium,726,4,1,0
726,727,727,727,727,38,Basic,727,3,2,1
727,728,728,728,728,39,Standard,728,2,3,0
728,729,729,729,729,40,Premium,729,0,4,0
729,730,730,730,730,71,Basic,730,2,3,1
730,731,731,731,731,64,Standard,731,2,1,1
731,732,732,732,732,93,Premium,732,4,3,1
732,733,733,733,733,98,Basic,733,1,1,1
733,734,734,734,734,30,Standard,734,1,4,0
734,735,735,735,735,50,Premium,735,0,1,0
735,736,736,736,736,11,Basic,736,0,3,0
736,737,737,737,737,46,Standard,737,4,3,0
737,738,738,738,738,51,Premium,738,3,2,1
738,739,739,739,739,59,Basic,739,3,2,1
739,740,740,740,740,80,Standard,740,0,1,1
740,741,741,741,741,38,Premium,741,4,2,0
741,742,742,742,742,20,Basic,742,2,2,0
742,743,743,743,743,67,Standard,743,2,1,1
743,744,744,744,744,83,Premium,744,2,4,1
744,745,745,745,745,34,Basic,745,2,1,0
745,746,746,746,746,20,Standard,746,4,4,0
746,747,747,747,747,28,Premium,747,0,4,0
747,748,748,748,748,29,Basic,748,0,1,0
748,749,749,749,749,57,Standard,749,2,2,1
749,750,750,750,750,32,Premium,750,3,2,0
750,751,751,751,751,64,Basic,751,3,2,1
751,752,752,752,752,21,Standard,752,0,2,0
752,753,753,753,753,16,Premium,753,0,2,0
753,754,754,754,754,37,Basic,754,0,2,0
754,755,755,755,755,91,Standard,755,2,3,1
755,756,756,756,756,30,Premium,756,3,1,0
756,757,757,757,757,10,Basic,757,1,2,0
757,758,758,758,758,78,Standard,758,3,3,1
758,759,759,759,759,35,Premium,759,3,2,0
759,760,760,760,760,50,Basic,760,3,1,1
760,761,761,761,761,96,Standard,761,0,4,1
761,762,762,762,762,74,Premium,762,3,2,1
762,763,763,763,763,51,Basic,763,3,1,1
763,764,764,764,764,15,Standard,764,1,3,0
764,765,765,765,765,23,Premium,765,0,3,0
765,766,766,766,766,33,Basic,766,3,4,1
766,767,767,767,767,59,Standard,767,3,2,1
767,768,768,768,768,26,Premium,768,1,3,0
768,769,769,769,769,57,Basic,769,2,4,1
769,770,770,770,770,23,Standard,770,3,2,0
770,771,771,771,771,36,Premium,771,4,2,0
771,772,772,772,772,94,Basic,772,1,3,1
772,773,773,773,773,30,Standard,773,4,3,0
773,774,774,774,774,40,Premium,774,3,2,0
774,775,775,775,775,71,Basic,775,3,1,1
775,776,776,776,776,14,Standard,776,4,3,0
776,777,777,777,777,87,Premium,777,2,4,1
777,778,778,778,778,24,Basic,778,2,3,0
778,779,779,779,779,54,Standard,779,0,2,1
779,780,780,780,780,38,Premium,780,2,2,0
780,781,781,781,781,68,Basic,781,0,3,1
781,782,782,782,782,68,Standard,782,3,4,1
782,783,783,783,783,85,Premium,783,1,3,1
783,784,784,784,784,53,Basic,784,1,1,1
784,785,785,785,785,33,Standard,785,3,3,0
785,786,786,786,786,25,Premium,786,0,2,0
786,787,787,787,787,42,Basic,787,4,4,1
787,788,788,788,788,96,Standard,788,4,3,1
788,789,789,789,789,38,Premium,789,4,3,0
789,790,790,790,790,88,Basic,790,1,2,1
790,791,791,791,791,24,Standard,791,2,2,0
791,792,792,792,792,89,Premium,792,3,1,1
792,793,793,793,793,42,Basic,793,3,3,1
793,794,794,794,794,34,Standard,794,2,4,0
794,795,795,795,795,91,Premium,795,4,3,1
795,796,796,796,796,36,Basic,796,4,2,1
796,797,797,797,797,14,Standard,797,0,2,0
797,798,798,798,798,96,Premium,798,3,4,1
798,799,799,799,799,46,Basic,799,0,2,0
799,800,800,800,800,95,Standard,800,0,2,1
800,801,801,801,801,36,Premium,801,3,2,0
801,802,802,802,802,46,Basic,802,4,3,1
802,803,803,803,803,25,Standard,803,3,4,0
803,804,804,804,804,43,Premium,804,4,3,0
804,805,805,805,805,34,Basic,805,2,2,0
805,806,806,806,806,80,Standard,806,1,1,1
806,807,807,807,807,70,Premium,807,4,2,1
807,808,808,808,808,98,Basic,808,0,4,1
808,809,809,809,809,29,Standard,809,0,3,0
809,810,810,810,810,56,Premium,810,2,3,1
810,811,811,811,811,55,Basic,811,4,4,1
811,812,812,812,812,33,Standard,812,0,2,0
812,813,813,813,813,95,Premium,813,0,2,1
813,814,814,814,814,89,Basic,814,4,4,1
814,815,815,815,815,48,Standard,815,2,3,0
815,816,816,816,816,49,Premium,816,2,1,0
816,817,817,817,817,89,Basic,817,0,1,1
817,818,818,818,818,73,Standard,818,1,3,1
818,819,819,819,819,97,Premium,819,4,1,1
819,820,820,820,820,73,Basic,820,1,2,1
820,821,821,821,821,60,Standard,821,0,3,1
821,822,822,822,822,59,Premium,822,0,3,1
822,823,823,823,823,47,Basic,823,3,4,1
823,824,824,824,824,28,Standard,824,3,1,0
824,825,825,825,825,75,Premium,825,3,3,1
825,826,826,826,826,23,Basic,826,1,1,0
826,827,827,827,827,51,Standard,827,4,3,1
827,828,828,828,828,93,Premium,828,1,1,1
828,829,829,829,829,44,Basic,829,3,3,1
829,830,830,830,830,25,Standard,830,4,3,0
830,831,831,831,831,45,Premium,831,1,1,0
831,832,832,832,832,32,Basic,832,3,2,1
832,833,833,833,833,49,Standard,833,1,3,0
833,834,834,834,834,79,Premium,834,0,4,1
834,835,835,835,835,19,Basic,835,3,3,1
835,836,836,836,836,99,Standard,836,4,4,1
836,837,837,837,837,63,Premium,837,0,4,1
837,838,838,838,838,65,Basic,838,2,1,1
838,839,839,839,839,10,Standard,839,4,3,0
839,840,840,840,840,13,Premium,840,2,2,0
840,841,841,841,841,88,Basic,841,0,3,1
841,842,842,842,842,76,Standard,842,2,1,1
842,843,843,843,843,16,Premium,843,3,1,0
843,844,844,844,844,72,Basic,844,0,3,1
844,845,845,845,845,85,Standard,845,4,4,1
845,846,846,846,846,28,Premium,846,1,2,0
846,847,847,847,847,78,Basic,847,3,2,1
847,848,848,848,848,30,Standard,848,3,2,0
848,849,849,849,849,34,Premium,849,0,1,0
849,850,850,850,850,18,Basic,850,3,3,1
850,851,851,851,851,64,Standard,851,0,2,1
851,852,852,852,852,76,Premium,852,1,1,1
852,853,853,853,853,20,Basic,853,3,4,1
853,854,854,854,854,75,Standard,854,0,4,1
854,855,855,855,855,44,Premium,855,4,1,0
855,856,856,856,856,97,Basic,856,4,1,1
856,857,857,857,857,36,Standard,857,3,1,0
857,858,858,858,858,93,Premium,858,0,1,1
858,859,859,859,859,49,Basic,859,0,3,0
859,860,860,860,860,79,Standard,860,2,1,1
860,861,861,861,861,67,Premium,861,1,4,1
861,862,862,862,862,39,Basic,862,1,1,0
862,863,863,863,863,48,Standard,863,4,3,0
863,864,864,864,864,46,Premium,864,4,1,0
864,865,865,865,865,52,Basic,865,3,1,1
865,866,866,866,866,21,Standard,866,0,4,0
866,867,867,867,867,83,Premium,867,4,1,1
867,868,868,868,868,71,Basic,868,0,2,1
868,869,869,869,869,76,Standard,869,1,4,1
869,870,870,870,870,82,Premium,870,4,3,1
870,871,871,871,871,91,Basic,871,3,2,1
871,872,872,872,872,78,Standard,872,4,1,1
872,873,873,873,873,19,Premium,873,3,3,0
873,874,874,874,874,64,Basic,874,4,2,1
874,875,875,875,875,75,Standard,875,0,2,1
875,876,876,876,876,38,Premium,876,0,4,0
876,877,877,877,877,89,Basic,877,3,3,1
877,878,878,878,878,58,Standard,878,0,1,1
878,879,879,879,879,12,Premium,879,3,1,0
879,880,880,880,880,58,Basic,880,4,4,1
880,881,881,881,881,90,Standard,881,3,4,1
881,882,882,882,882,62,Premium,882,1,2,1
882,883,883,883,883,74,Basic,883,3,3,1
883,884,884,884,884,73,Standard,884,4,1,1
884,885,885,885,885,18,Premium,885,2,2,0
885,886,886,886,886,95,Basic,886,0,2,1
886,887,887,887,887,98,Standard,887,0,3,1
887,888,888,888,888,20,Premium,888,1,3,0
888,889,889,889,889,54,Basic,889,2,4,1
889,890,890,890,890,10,Standard,890,4,1,0
890,891,891,891,891,49,Premium,891,2,1,0
891,892,892,892,892,81,Basic,892,1,3,1
892,893,893,893,893,76,Standard,893,4,4,1
893,894,894,894,894,21,Premium,894,1,3,0
894,895,895,895,895,57,Basic,895,0,2,1
895,896,896,896,896,68,Standard,896,3,1,1
896,897,897,897,897,19,Premium,897,1,4,0
897,898,898,898,898,70,Basic,898,0,3,1
898,899,899,899,899,43,Standard,899,1,4,0
899,900,900,900,900,93,Premium,900,2,4,1
900,901,901,901,901,96,Basic,901,1,3,1
901,902,902,902,902,70,Standard,902,1,1,1
902,903,903,903,903,45,Premium,903,2,3,0
903,904,904,904,904,90,Basic,904,0,4,1
904,905,905,905,905,52,Standard,905,3,1,1
905,906,906,906,906,31,Premium,906,2,1,0
906,907,907,907,907,96,Basic,907,4,1,1
907,908,908,908,908,80,Standard,908,3,1,1
908,909,909,909,909,92,Premium,909,0,2,1
909,910,910,910,910,58,Basic,910,3,2,1
910,911,911,911,911,82,Standard,911,2,4,1
911,912,912,912,912,64,Premium,912,1,2,1
912,913,913,913,913,32,Basic,913,4,2,1
913,914,914,914,914,45,Standard,914,1,2,0
914,915,915,915,915,47,Premium,915,3,4,0
915,916,916,916,916,83,Basic,916,4,3,1
916,917,917,917,917,96,Standard,917,4,4,1
917,918,918,918,918,48,Premium,918,3,1,0
918,919,919,919,919,80,Basic,919,3,2,1
919,920,920,920,920,40,Standard,920,2,3,0
920,921,921,921,921,47,Premium,921,3,3,0
921,922,922,922,922,44,Basic,922,3,2,1
922,923,923,923,923,33,Standard,923,4,3,0
923,924,924,924,924,79,Premium,924,1,4,1
924,925,925,925,925,95,Basic,925,0,4,1
925,926,926,926,926,37,Standard,926,2,1,0
926,927,927,927,927,11,Premium,927,2,4,0
927,928,928,928,928,38,Basic,928,3,2,1
928,929,929,929,929,71,Standard,929,3,2,1
929,930,930,930,930,17,Premium,930,0,3,0
930,931,931,931,931,96,Basic,931,2,1,1
931,932,932,932,932,69,Standard,932,2,2,1
932,933,933,933,933,28,Premium,933,1,3,0
933,934,934,934,934,29,Basic,934,4,2,1
934,935,935,935,935,16,Standard,935,0,1,0
935,936,936,936,936,54,Premium,936,3,1,1
936,937,937,937,937,74,Basic,937,1,2,1
937,938,938,938,938,72,Standard,938,3,2,1
938,939,939,939,939,43,Premium,939,0,2,0
939,940,940,940,940,29,Basic,940,1,1,0
940,941,941,941,941,24,Standard,941,2,2,0
941,942,942,942,942,18,Premium,942,0,3,0
942,943,943,943,943,31,Basic,943,3,3,1
943,944,944,944,944,84,Standard,944,2,4,1
944,945,945,945,945,68,Premium,945,1,4,1
945,946,946,946,946,15,Basic,946,3,2,1
946,947,947,947,947,52,Standard,947,0,1,1
947,948,948,948,948,89,Premium,948,2,3,1
948,949,949,949,949,76,Basic,949,1,4,1
949,950,950,950,950,21,Standard,950,0,2,0
950,951,951,951,951,49,Premium,951,3,2,0
951,952,952,952,952,63,Basic,952,0,3,1
952,953,953,953,953,49,Standard,953,2,2,0
953,954,954,954,954,32,Premium,954,4,3,0
954,955,955,955,955,85,Basic,955,3,1,1
955,956,956,956,956,79,Standard,956,2,1,1
956,957,957,957,957,20,Premium,957,0,2,0
957,958,958,958,958,58,Basic,958,1,1,1
958,959,959,959,959,41,Standard,959,0,1,0
959,960,960,960,960,63,Premium,960,0,3,1
960,961,961,961,961,47,Basic,961,1,2,0
961,962,962,962,962,57,Standard,962,1,4,1
962,963,963,963,963,30,Premium,963,3,3,0
963,964,964,964,964,38,Basic,964,4,1,1
964,965,965,965,965,92,Standard,965,3,2,1
965,966,966,966,966,70,Premium,966,3,3,1
966,967,967,967,967,38,Basic,967,3,4,1
967,968,968,968,968,59,Standard,968,2,1,1
968,969,969,969,969,95,Premium,969,1,3,1
969,970,970,970,970,22,Basic,970,3,3,1
970,971,971,971,971,10,Standard,971,2,3,0
971,972,972,972,972,38,Premium,972,3,2,0
972,973,973,973,973,83,Basic,973,4,1,1
973,974,974,974,974,16,Standard,974,1,1,0
974,975,975,975,975,42,Premium,975,2,2,0
975,976,976,976,976,50,Basic,976,1,2,0
976,977,977,977,977,82,Standard,977,1,4,1
977,978,978,978,978,17,Premium,978,4,2,0
978,979,979,979,979,44,Basic,979,1,1,0
979,980,980,980,980,82,Standard,980,0,2,1
980,981,981,981,981,61,Premium,981,2,4,1
981,982,982,982,982,43,Basic,982,2,1,0
982,983,983,983,983,44,Standard,983,4,4,0
983,984,984,984,984,72,Premium,984,0,3,1
984,985,985,985,985,67,Basic,985,0,1,1
985,986,986,986,986,73,Standard,986,1,4,1
986,987,987,987,987,70,Premium,987,3,3,1
987,988,988,988,988,88,Basic,988,3,3,1
988,989,989,989,989,72,Standard,989,0,4,1
989,990,990,990,990,38,Premium,990,1,3,0
990,991,991,991,991,63,Basic,991,2,3,1
991,992,992,992,992,23,Standard,992,1,4,0
992,993,993,993,993,45,Premium,993,2,1,0
993,994,994,994,994,52,Basic,994,3,3,1
994,995,995,995,995,88,Standard,995,4,4,1
995,996,996,996,996,75,Premium,996,1,1,1
996,997,997,997,997,28,Basic,997,4,1,1
997,998,998,998,998,44,Standard,998,3,2,0
998,999,999,999,999,38,Premium,999,2,3,0
999,1000,1000,1000,1000,68,Basic,1000,4,1,1
