,Exam Score,Number of Subjects Passed,Average Grade,School Type,Household Income,Student Gender,Learning Difficulty,Extracurricular Activities,label
566,456,6,A-,Public,42706,Male,Yes,5,1
567,547,4,A,Public,99368,Female,Yes,6,1
568,309,7,A,Private,86942,Female,No,0,1
569,366,1,B-,Private,90062,Female,Yes,6,1
570,322,2,C,Public,86692,Male,No,2,0
571,451,5,B-,Private,37945,Female,No,3,1
572,530,1,C+,Private,42598,Male,No,8,1
573,445,8,B-,Private,83062,Male,No,3,0
574,291,9,C,Public,79471,Male,No,8,0
575,405,3,D,Private,40457,Male,Yes,2,0
576,351,5,B-,Public,37444,Male,Yes,5,0
577,209,4,C,Private,28726,Female,Yes,2,0
578,328,7,F,Private,63127,Female,Yes,2,0
579,286,5,C+,Private,64543,Female,Yes,5,1
580,339,4,B,Public,96673,Female,No,7,1
581,552,5,B,Private,48977,Female,No,7,1
582,444,9,C-,Private,37413,Female,No,1,1
583,377,8,A,Private,25543,Female,No,5,1
584,500,4,A-,Public,75328,Male,No,2,1
585,366,4,F,Private,54566,Male,Yes,4,0
586,377,3,C-,Public,92843,Male,No,9,0
587,483,8,B+,Public,21997,Female,No,4,1
588,492,3,F,Public,89452,Female,Yes,9,0
589,456,6,C+,Private,20438,Female,Yes,4,0
590,242,1,B,Public,79345,Male,Yes,7,0
591,221,6,C-,Public,95883,Female,Yes,0,0
592,282,1,B+,Public,64284,Male,Yes,1,0
593,494,9,A-,Public,25788,Male,No,8,1
594,413,1,D,Private,61336,Female,No,9,1
595,386,6,C+,Public,39513,Male,No,3,0
596,549,8,B+,Private,20159,Female,No,8,1
597,481,4,B-,Public,97351,Female,Yes,8,0
598,484,1,D,Public,48712,Male,Yes,4,0
599,350,4,C-,Public,85665,Male,Yes,4,0
600,353,7,A-,Private,36509,Male,No,0,0
601,236,3,C-,Private,60640,Female,No,7,1
602,408,4,A,Private,32937,Female,No,1,1
603,388,5,B,Public,29264,Female,Yes,7,0
604,267,9,B+,Private,75383,Male,No,3,0
605,349,4,B-,Public,34695,Female,Yes,7,0
606,275,7,B,Public,67398,Male,Yes,0,0
607,514,5,F,Private,93188,Female,No,1,1
608,554,6,B-,Public,70417,Male,Yes,3,0
609,538,1,F,Private,33313,Male,Yes,3,0
610,489,3,A-,Public,91964,Female,No,4,1
611,485,8,B+,Private,54582,Female,Yes,6,1
612,293,2,F,Private,82169,Male,Yes,5,1
613,297,7,C,Private,85008,Female,No,7,1
614,532,4,C+,Public,94840,Female,No,9,1
615,402,7,A-,Private,97899,Female,No,6,1
616,397,6,C-,Private,61505,Female,Yes,5,1
617,519,3,C-,Public,62240,Male,Yes,6,0
618,413,4,C-,Public,97464,Male,No,9,0
619,495,3,C+,Private,37377,Male,Yes,3,0
620,312,2,B-,Public,61841,Female,No,4,1
621,362,2,B+,Public,75468,Female,Yes,1,0
622,223,6,B+,Public,65656,Male,Yes,6,0
623,401,5,B-,Private,45885,Male,No,7,1
624,524,1,C,Private,86625,Male,Yes,0,0
625,302,9,B,Private,38671,Female,No,1,1
626,569,2,C+,Private,30230,Male,No,2,0
627,444,7,A-,Private,49297,Female,No,9,1
628,448,9,B-,Public,69284,Female,Yes,5,0
629,538,5,B+,Private,63514,Female,No,5,1
630,298,1,B+,Public,66258,Male,No,2,0
631,284,2,C,Public,48123,Female,Yes,5,0
632,398,5,B-,Private,94652,Male,No,6,1
633,573,9,A-,Private,96884,Male,No,5,1
634,471,4,C+,Private,32968,Female,No,9,1
635,433,4,D,Private,30049,Female,No,9,1
636,335,9,A,Private,42357,Male,No,4,0
637,426,8,A-,Private,97993,Female,Yes,3,1
638,265,1,A-,Public,54315,Female,Yes,0,0
639,514,9,B-,Public,63467,Female,Yes,5,0
640,518,2,F,Private,26665,Female,Yes,6,0
641,474,2,C,Public,60279,Female,No,4,1
642,279,1,F,Private,51203,Female,Yes,8,1
643,391,2,F,Public,52939,Male,Yes,7,0
644,366,3,B-,Private,79495,Male,No,9,1
645,519,9,B+,Public,32348,Female,Yes,0,1
646,570,1,F,Private,35151,Male,Yes,5,0
647,281,9,A-,Public,65250,Female,No,3,1
648,223,8,C,Public,46289,Male,Yes,9,0
649,231,6,B+,Private,70382,Female,Yes,1,0
650,515,3,B,Private,97125,Male,Yes,0,0
651,545,7,B+,Public,60881,Female,No,9,1
652,264,4,B+,Public,70369,Female,No,9,1
653,578,2,C+,Public,60307,Male,No,1,0
654,292,1,D,Private,26024,Male,No,8,0
655,514,2,F,Private,43857,Female,Yes,8,1
656,516,7,B+,Public,73189,Female,No,7,1
657,399,4,B+,Private,34992,Female,Yes,3,0
658,508,7,F,Public,96217,Male,Yes,0,0
659,274,1,C-,Private,92255,Female,No,1,1
660,395,6,B-,Private,46470,Female,Yes,8,1
661,268,5,B-,Public,48756,Female,No,5,1
662,587,1,A-,Public,97912,Female,No,6,1
663,586,2,B+,Public,69738,Female,Yes,5,0
664,519,3,C,Public,70412,Male,Yes,7,0
665,411,2,B,Public,96297,Male,No,9,0
666,354,1,A-,Public,95670,Female,No,9,1
667,258,6,A,Private,32807,Male,No,1,0
668,422,8,B+,Private,35858,Male,No,6,1
669,395,5,C+,Private,77852,Male,No,5,1
670,294,1,C,Public,35806,Male,No,9,0
671,544,3,B+,Public,46290,Male,No,5,0
672,480,1,D,Private,56981,Female,Yes,7,1
673,542,4,B-,Private,52406,Male,Yes,9,1
674,262,8,B-,Private,24596,Female,No,3,1
675,495,5,C,Public,44481,Female,Yes,6,0
676,521,6,D,Public,53993,Male,Yes,8,0
677,565,4,A-,Private,27794,Female,No,9,1
678,267,8,B+,Private,21146,Female,Yes,2,0
679,463,2,A-,Private,62686,Male,No,4,0
680,270,8,B+,Private,20146,Female,Yes,9,0
681,584,1,B+,Private,42301,Female,No,0,1
682,574,9,B+,Private,87102,Female,No,5,1
683,409,8,B-,Private,34693,Male,Yes,3,0
684,523,8,B,Private,57565,Male,No,3,0
685,456,3,B+,Private,40645,Female,Yes,0,0
686,380,1,C,Private,81933,Female,Yes,2,0
687,320,1,D,Public,42749,Male,No,0,0
688,235,2,D,Private,48781,Male,No,7,1
689,436,3,C,Public,42610,Female,Yes,5,0
690,436,1,F,Private,61198,Male,No,4,0
691,263,4,C+,Private,29459,Female,Yes,2,0
692,304,8,D,Public,88789,Female,Yes,0,0
693,347,3,A-,Public,71059,Female,Yes,3,0
694,526,4,B,Private,97440,Male,Yes,4,0
695,302,5,C,Public,82091,Male,No,0,0
696,366,3,C+,Private,23908,Male,Yes,1,0
697,540,4,A,Private,40643,Female,No,4,1
698,236,4,A-,Public,65934,Female,Yes,6,0
699,510,3,A,Public,46896,Male,Yes,3,0
700,449,1,C-,Public,61951,Male,No,6,0
701,260,6,C+,Public,57725,Male,Yes,7,0
702,448,3,C+,Private,83404,Female,Yes,0,0
703,575,7,C-,Private,62019,Female,Yes,4,0
704,277,8,A-,Public,73577,Female,No,1,1
705,498,3,C+,Public,67895,Male,Yes,7,0
706,519,1,A-,Private,27797,Male,Yes,3,0
707,253,8,C,Public,30797,Female,No,5,1
708,337,7,A,Private,67679,Male,Yes,8,1
709,211,3,C-,Private,52550,Male,No,3,0
710,284,5,D,Public,64674,Female,Yes,6,0
711,307,8,A,Private,99303,Female,No,6,1
712,553,9,B+,Private,25532,Female,Yes,4,1
713,502,7,F,Public,79926,Female,No,4,1
714,351,5,A,Private,53671,Female,Yes,4,0
715,396,3,F,Public,87579,Female,No,6,1
716,438,3,B+,Private,50962,Male,Yes,9,1
717,338,9,C,Private,39836,Male,No,9,0
718,223,8,C-,Public,49019,Female,Yes,9,0
719,287,2,D,Private,43261,Female,Yes,5,1
720,384,4,F,Public,53201,Male,Yes,5,0
721,514,5,B,Public,80065,Female,Yes,3,0
722,312,4,F,Public,73260,Male,Yes,9,0
723,239,5,C-,Public,91766,Male,Yes,0,0
724,228,2,C+,Private,21123,Female,No,7,1
725,270,6,C-,Public,36611,Female,No,6,1
726,315,4,A,Public,95912,Male,No,6,0
727,201,5,F,Private,28654,Male,No,2,0
728,349,4,B-,Private,70471,Male,No,3,0
729,287,5,A,Private,39172,Female,No,1,1
730,404,7,A,Public,70429,Female,Yes,7,1
731,407,4,F,Public,22965,Male,No,5,0
732,531,5,B-,Public,86868,Female,No,1,1
733,481,5,D,Public,57357,Female,Yes,0,0
734,300,4,D,Public,36214,Male,Yes,7,0
735,592,2,C-,Private,84094,Male,No,2,0
736,227,5,C+,Private,25792,Male,No,8,0
737,564,7,B,Public,24761,Female,Yes,7,0
738,405,6,F,Public,42276,Male,No,5,0
739,268,4,C+,Public,50284,Female,Yes,4,0
740,514,1,A-,Private,78724,Female,Yes,7,1
741,545,3,B-,Public,98330,Female,No,2,1
742,395,8,C+,Private,21562,Male,Yes,3,0
743,514,9,B+,Public,89117,Male,Yes,8,1
744,321,4,C-,Public,77221,Female,Yes,1,0
745,552,8,B,Private,62916,Female,No,2,1
746,465,3,A-,Public,99903,Male,No,0,0
747,504,6,A-,Public,81337,Male,Yes,1,1
748,254,1,B-,Public,34273,Male,No,5,0
749,335,5,F,Private,46841,Male,Yes,1,0
750,351,7,C+,Private,20332,Male,No,0,0
751,565,5,A,Private,78072,Female,No,4,1
752,590,2,C-,Private,47959,Male,Yes,4,0
753,406,1,C,Public,51199,Male,Yes,6,0
754,274,9,D,Private,92764,Male,No,3,0
755,421,6,F,Public,81618,Male,Yes,2,0
756,256,3,B-,Public,36146,Male,Yes,1,0
757,585,4,B,Public,75263,Male,No,7,0
758,273,6,B+,Private,41305,Female,Yes,4,0
759,251,7,A-,Private,96580,Male,No,1,0
760,458,3,C-,Private,80321,Female,Yes,5,1
761,222,8,C-,Private,63955,Male,Yes,7,1
762,207,2,A,Public,48877,Male,Yes,6,0
763,214,9,A,Private,35046,Male,Yes,6,0
764,499,3,B-,Public,73993,Male,Yes,5,0
765,286,3,A,Private,77469,Female,No,3,1
766,241,4,C+,Private,39370,Female,No,7,1
767,500,9,C-,Public,89946,Female,Yes,0,0
768,339,1,C+,Public,57040,Female,No,9,1
769,532,5,D,Public,27518,Female,Yes,0,0
770,356,1,D,Private,87872,Female,No,0,1
771,316,2,C-,Private,83341,Female,No,4,1
772,286,3,C-,Private,88635,Male,Yes,0,0
773,272,5,C+,Public,38888,Male,Yes,6,0
774,387,8,B+,Private,87202,Female,Yes,2,0
775,480,1,D,Public,74846,Female,Yes,3,0
776,207,7,F,Private,89272,Male,Yes,0,0
777,358,7,C,Private,26865,Female,No,1,1
778,509,2,B-,Public,45280,Male,No,4,0
779,351,9,C+,Public,50093,Male,Yes,6,0
780,452,4,B+,Public,40606,Male,Yes,3,1
781,494,9,B+,Private,70742,Male,Yes,4,1
782,596,5,C,Private,83373,Male,No,7,1
783,501,5,C+,Public,30198,Female,No,0,1
784,266,3,C+,Private,72991,Female,Yes,3,0
785,358,7,A-,Public,25906,Female,Yes,3,0
786,369,3,C+,Public,74636,Male,Yes,3,0
787,458,7,C+,Public,65532,Female,No,9,1
788,400,8,B-,Public,93054,Female,No,3,1
789,261,7,D,Private,39339,Male,Yes,7,0
790,292,9,F,Public,45806,Female,No,8,1
791,314,4,B-,Private,80697,Female,No,5,1
792,522,8,A,Public,71764,Male,Yes,6,1
793,525,9,B+,Private,89975,Female,No,8,1
794,398,5,A-,Private,31214,Female,Yes,9,0
795,411,5,D,Private,29117,Female,Yes,1,0
796,474,6,C,Public,73103,Female,No,7,1
797,524,3,A,Private,48862,Male,No,2,0
798,528,1,A-,Private,65930,Female,Yes,5,1
799,523,2,A-,Public,86223,Female,No,9,1
800,503,3,B+,Private,53486,Male,Yes,8,1
801,361,9,A,Public,66145,Male,Yes,3,0
802,470,7,C+,Private,86150,Male,Yes,1,0
803,502,1,A,Public,44066,Male,No,0,0
804,382,6,A,Private,23857,Male,Yes,3,0
805,403,6,D,Public,49387,Female,No,0,1
806,457,1,F,Public,26816,Female,Yes,4,0
807,342,5,B,Public,61991,Male,No,3,0
808,448,6,C-,Public,22746,Male,Yes,3,0
809,448,5,A,Private,86091,Female,No,1,1
810,324,9,D,Private,39145,Female,No,1,1
811,485,2,A-,Public,82869,Female,No,1,1
812,325,7,A-,Public,31338,Female,No,1,1
813,221,5,B+,Private,62292,Male,Yes,2,0
814,416,8,A-,Public,98589,Female,Yes,3,1
815,204,6,A-,Private,32700,Female,Yes,4,0
816,495,1,B-,Public,46653,Male,No,8,0
817,420,9,B+,Public,87326,Female,No,4,1
818,364,8,A-,Private,57297,Male,No,0,0
819,406,9,C,Public,61883,Male,Yes,9,0
820,544,9,C,Private,72913,Male,Yes,0,0
821,359,7,B,Private,81411,Female,Yes,6,1
822,553,4,C+,Public,35000,Female,No,0,1
823,295,2,B+,Private,51823,Female,Yes,3,0
824,528,9,B,Public,45317,Male,No,5,0
825,205,8,F,Private,95566,Female,No,2,1
826,458,6,C+,Public,46954,Female,Yes,5,0
827,526,6,B-,Public,22248,Male,No,2,0
828,253,4,F,Private,77471,Male,Yes,6,1
829,309,8,A,Private,77347,Female,Yes,1,0
830,537,7,C-,Public,45323,Female,No,4,1
831,333,2,B+,Public,47072,Female,Yes,9,0
832,201,2,C,Public,83369,Female,No,0,1
833,297,7,F,Private,21533,Female,No,1,1
834,517,5,C+,Public,24517,Female,No,8,1
835,259,2,C+,Private,72715,Male,No,1,0
836,541,5,B-,Private,73948,Female,Yes,4,0
837,419,5,B,Private,96162,Male,Yes,2,0
838,329,9,C-,Private,56705,Male,No,4,0
839,559,6,B+,Private,42318,Male,No,7,1
840,414,9,A-,Private,26160,Male,Yes,1,1
841,381,7,D,Private,35744,Female,No,3,1
842,545,3,B-,Public,53921,Female,No,6,1
843,596,9,B,Private,60369,Male,No,4,0
844,315,9,C+,Private,94267,Male,No,3,0
845,231,3,C-,Private,61859,Female,No,4,1
846,541,3,B,Private,56332,Female,Yes,6,1
847,269,8,C+,Public,99523,Male,Yes,4,0
848,212,6,C-,Public,37343,Female,No,1,1
849,433,4,F,Private,52943,Female,No,7,1
850,255,4,C,Public,86688,Male,No,7,0
851,339,2,F,Public,92355,Male,Yes,4,0
852,565,5,F,Public,97404,Female,No,3,1
853,501,5,C,Private,70644,Male,Yes,5,1
854,238,7,C+,Public,80393,Female,Yes,1,0
855,383,2,A-,Public,89647,Female,Yes,6,0
856,423,6,F,Private,75780,Female,Yes,6,1
857,234,7,B-,Public,43926,Female,No,0,1
858,279,8,D,Private,47878,Male,Yes,4,0
859,256,6,C,Public,78493,Female,No,4,1
860,368,2,B,Private,62449,Male,No,9,1
861,453,3,B-,Private,53805,Female,No,8,1
862,552,8,A-,Public,50472,Male,No,7,1
863,206,1,B-,Private,44484,Male,No,0,0
864,528,8,A-,Private,27318,Female,No,1,1
865,405,4,B-,Private,88699,Female,No,4,1
866,273,8,D,Private,31469,Male,No,2,0
867,397,3,A,Private,21740,Male,Yes,2,0
868,503,8,A,Public,89330,Female,Yes,3,1
869,384,3,A-,Private,87146,Male,Yes,5,1
870,272,3,A,Public,25236,Female,Yes,1,0
871,453,5,B,Public,85727,Male,Yes,2,0
872,493,7,C-,Private,58690,Male,Yes,6,1
873,510,9,C+,Public,29091,Female,Yes,8,0
874,211,3,C-,Public,26543,Male,Yes,4,0
875,507,8,A-,Public,74587,Female,Yes,1,1
876,371,2,B,Private,65641,Female,No,2,1
877,409,7,D,Private,62281,Female,Yes,4,0
878,320,6,B-,Private,23192,Male,Yes,4,0
879,509,4,C,Public,74970,Female,Yes,3,0
880,317,8,F,Public,85288,Male,Yes,5,0
881,273,3,B,Public,35078,Female,Yes,9,0
882,380,3,F,Private,26791,Male,No,5,0
883,367,9,B+,Public,34250,Male,No,1,0
884,215,8,A-,Public,74024,Male,No,9,0
885,307,8,D,Public,25366,Male,Yes,1,0
886,529,1,A-,Public,20761,Male,Yes,2,0
887,527,7,B+,Private,77420,Female,Yes,3,1
888,398,6,F,Public,21224,Female,Yes,4,0
889,595,2,C,Public,73682,Male,No,6,0
890,585,9,C,Public,23858,Male,No,5,0
891,445,9,D,Private,31531,Male,No,8,0
892,353,3,A,Private,45362,Female,Yes,2,0
893,347,8,D,Private,79816,Male,Yes,5,1
894,523,4,B+,Private,43546,Female,Yes,3,1
895,456,7,F,Private,93430,Female,No,5,1
896,528,4,A-,Public,98034,Female,Yes,0,1
897,560,5,B-,Private,30091,Male,No,2,0
898,335,4,A-,Private,89051,Male,No,5,1
899,257,9,C+,Private,65997,Female,Yes,0,0
900,394,3,A-,Private,78910,Male,Yes,7,1
901,528,7,D,Private,87092,Male,No,3,0
902,418,7,B+,Public,69289,Male,No,5,1
903,320,6,F,Public,87130,Male,No,4,0
904,261,7,A-,Private,48104,Female,No,0,1
905,430,6,B-,Private,76509,Female,No,2,1
906,592,1,B-,Public,57147,Female,Yes,8,0
907,472,8,B,Public,42608,Female,Yes,3,0
908,293,6,D,Public,39273,Female,No,7,1
909,405,3,C+,Public,98363,Male,No,1,0
910,405,3,B,Private,22016,Female,Yes,9,0
911,221,3,F,Public,30920,Male,Yes,9,0
912,503,9,B+,Private,71184,Female,No,2,1
913,473,2,A,Private,83307,Male,Yes,4,0
914,349,1,C,Public,48185,Female,Yes,9,0
915,302,6,F,Public,26067,Male,No,0,0
916,327,2,B+,Private,65352,Male,No,6,1
917,412,5,F,Private,51103,Female,No,7,1
918,253,1,B,Public,94393,Female,No,8,1
919,465,8,D,Public,95230,Female,No,1,1
920,293,8,A,Public,93643,Male,No,7,0
921,504,2,A-,Public,58490,Female,No,2,1
922,260,9,B,Public,91296,Male,Yes,3,0
923,484,4,F,Public,60952,Female,No,4,1
924,427,4,C-,Public,99429,Female,Yes,4,0
925,335,4,C-,Public,86802,Female,No,9,1
926,295,3,C-,Private,26614,Female,Yes,3,0
927,590,8,F,Public,61922,Female,Yes,6,0
928,313,7,A,Private,43185,Female,No,1,1
929,374,8,C,Private,95886,Male,Yes,1,0
930,317,1,C,Private,85290,Male,No,2,0
931,580,9,B,Public,30347,Female,Yes,8,0
932,221,4,F,Private,64262,Male,Yes,7,1
933,570,2,C-,Private,90807,Male,Yes,8,1
934,209,6,F,Public,43074,Male,No,6,0
935,293,4,B,Private,37820,Female,Yes,2,0
936,422,5,C-,Private,79482,Female,No,2,1
937,322,4,C,Public,91435,Male,Yes,6,0
938,471,9,C,Private,27847,Female,No,9,1
939,337,4,C,Private,51657,Female,No,6,1
940,221,4,C-,Public,45409,Female,Yes,3,0
941,564,6,A-,Private,53340,Female,No,5,1
942,204,2,C-,Private,77759,Male,Yes,8,1
943,281,8,D,Private,34546,Female,Yes,1,0
944,464,9,A-,Public,86356,Male,Yes,9,1
945,366,6,C,Private,78205,Female,Yes,3,0
946,288,2,F,Public,94961,Male,No,7,0
947,433,7,F,Private,89628,Female,No,3,1
948,447,7,A-,Public,81996,Female,No,3,1
949,268,5,A-,Public,68909,Male,Yes,9,0
950,214,6,C-,Public,79763,Female,Yes,1,0
951,480,5,A-,Public,95270,Male,No,7,1
952,324,8,A-,Public,87298,Female,Yes,0,0
953,581,5,C-,Private,54693,Female,No,9,1
954,399,9,B,Private,49957,Female,Yes,9,1
955,502,5,B+,Public,70174,Male,No,6,1
956,465,4,D,Private,59539,Male,Yes,3,0
957,258,5,B,Private,59082,Female,Yes,9,1
958,335,3,D,Public,22628,Male,Yes,5,0
959,445,8,B,Private,59169,Female,Yes,8,1
960,342,5,D,Public,71222,Male,No,2,0
961,563,7,C,Public,66176,Female,Yes,9,0
962,328,1,B,Private,23341,Female,No,9,1
963,574,1,B+,Private,31105,Male,Yes,3,0
964,521,5,D,Public,82647,Male,Yes,0,0
965,405,1,C+,Private,98751,Female,No,4,1
966,596,8,D,Private,78475,Male,No,2,0
967,252,8,C+,Public,85644,Female,No,8,1
968,505,2,B-,Public,38789,Male,No,2,0
969,415,3,A-,Public,23491,Female,No,6,1
970,543,8,A,Private,60643,Female,Yes,7,1
971,390,8,B,Private,64457,Male,No,9,1
972,260,1,C,Public,37274,Male,No,2,0
973,221,5,B,Private,53092,Male,Yes,3,0
974,284,5,B,Public,94855,Male,No,5,0
975,375,6,C,Public,28388,Female,Yes,9,0
976,589,2,B+,Private,59689,Female,No,8,1
977,505,6,F,Private,94475,Male,No,1,0
978,358,8,A,Public,23204,Male,No,0,0
979,220,5,C,Public,22813,Female,Yes,4,0
980,566,4,C,Private,66521,Male,Yes,2,0
981,477,8,A-,Public,66072,Male,Yes,9,1
982,278,2,B-,Private,26899,Female,Yes,8,0
983,237,7,A,Public,57058,Female,Yes,7,0
984,253,1,D,Private,25306,Female,Yes,0,0
985,447,4,C+,Private,92709,Male,No,9,1
986,203,2,F,Private,84987,Male,No,4,0
987,377,1,F,Public,77145,Female,Yes,2,0
988,255,4,C+,Public,51262,Male,No,7,0
989,569,5,B,Private,65414,Female,No,9,1
990,258,1,C-,Private,89691,Female,Yes,4,0
991,256,2,B-,Public,90470,Female,Yes,3,0
992,391,1,B,Public,99852,Male,No,4,0
993,282,2,C,Private,23603,Male,Yes,5,0
994,465,8,C,Private,68831,Female,No,3,1
995,263,8,B,Public,76455,Female,Yes,2,0
996,434,8,D,Public,25134,Male,Yes,5,0
997,346,3,A,Private,57719,Male,No,9,1
998,568,5,B+,Private,83060,Female,Yes,4,1
999,599,2,D,Public,35742,Male,Yes,7,0
