Vmag,Plx,e_Plx,B-V,SpType,Amag,target
9.4,36.33,0.87,1.107,K5V,22.201328,0
8.82,3.98,1.05,0.074,A1V,16.819416,0
4.85,3.01,0.53,-0.12,B3IV,12.242832,0
9.07,1.97,1.5,0.484,F5V,15.542331,0
8.13,5.99,1.14,1.264,K2III,17.017136,1
9.22,0.97,0.89,1.375,K4III,14.153859,1
8.19,16.07,1.07,0.558,F7/F8IV,19.220078,0
8.69,8.41,1.32,0.575,G3V,18.31398,0
6.21,81.69,0.83,0.84,K1V,20.770844,0
8.44,3.45,1.06,1.353,K2III,16.129095,1
8.73,2.0,0.91,0.842,G3/G5II/III,15.235149,1
8.13,3.19,0.83,1.633,K5/M0III,15.648954,1
8.37,9.98,1.21,0.52,F6V,18.365652,0
7.8,5.85,0.79,0.34,F0/F2V,16.63578,0
8.03,2.97,1.17,0.929,G8III,15.393782,1
6.62,5.04,0.77,0.075,A2IV,15.132153,0
10.99,4.59,3.43,0.134,A2IV,19.299065,0
8.59,15.69,0.78,0.605,G3V,19.568115,0
7.84,4.24,2.13,0.078,B9V,15.97683,0
8.96,4.04,1.13,0.446,F3IV/V,16.991907,0
5.76,37.65,0.86,0.48,F5V,18.638826,0
8.12,6.35,1.02,0.136,A1V,17.13387,0
8.09,3.17,1.05,0.04,B9V,15.595297,0
8.94,2.94,2.17,0.045,B9IV/V,16.281736,0
8.48,-0.42,1.4,1.5,K3III,11.596246,1
8.37,4.78,0.96,0.96,G8IV,16.76714,0
8.95,6.24,1.07,0.4,F3V,17.925922,0
8.76,2.31,0.65,0.109,A0Vn,15.57806,0
8.43,1.93,1.16,0.94,G6III,14.857786,1
7.95,4.4,1.21,0.246,A7V,16.167263,0
8.84,3.1,0.8,0.293,A8IV/V,16.296808,0
6.18,2.06,0.8,-0.178,B2.5V,12.749336,0
8.6,5.48,1.18,1.086,K0III,17.293903,1
9.12,6.48,1.22,0.555,F8IV,18.177876,0
6.75,3.83,0.61,-0.054,B9IV,14.665994,0
10.24,-1.87,5.78,0.264,A1V+A3V,16.599209,0
7.06,4.02,0.92,0.086,A2V,15.081131,0
10.15,4.94,2.04,0.615,F5V,18.618635,0
5.34,9.61,0.58,-0.012,A0V,15.253617,0
10.82,4.31,1.84,0.222,A5V,18.992386,0
7.53,3.38,0.58,0.027,B9III,15.174583,1
9.26,2.19,1.46,0.321,A1V,15.962221,0
8.87,-0.06,0.94,-0.056,B2V,7.7607565,0
8.38,12.68,1.21,0.536,F7V,18.895596,0
7.33,2.28,0.81,-0.013,B9.5V,14.119675,0
8.23,21.98,1.19,0.619,G2V-VI,19.940138,0
7.97,7.84,1.26,0.387,F0IV,17.44158,0
10.3,19.8,2.18,1.125,K5V,21.783325,0
5.61,2.07,0.82,-0.202,B2V:ne,12.189852,0
6.98,5.73,1.05,0.179,A3III/IV,15.770773,0
5.52,5.77,0.84,0.015,B9.5Vn,14.32588,0
8.25,3.52,0.98,1.141,K0III,15.982714,1
8.84,13.24,1.14,0.647,G1V,19.44944,0
8.43,2.37,0.8,1.091,G8III,15.303741,1
9.4,8.18,1.47,0.559,F6V,18.963766,0
6.45,8.56,1.41,0.013,A0V+...,16.11237,0
10.21,7.12,1.93,0.483,F7/F8V,19.4724,0
7.62,10.31,0.92,0.281,F0V,17.686295,0
8.65,5.13,1.14,0.511,F2V,17.200586,0
7.6,6.31,1.68,0.375,F3/F5IV:,16.600147,0
7.32,2.84,0.99,1.371,K2III,14.586592,1
9.22,0.18,1.26,1.128,G8/K0III,10.496363,1
8.44,25.44,0.93,0.737,G8V,20.467587,0
8.18,12.04,0.66,0.447,F5IV/V,18.583134,0
5.87,2.21,0.62,-0.096,B6IV,12.591961,0
8.77,2.73,0.71,0.233,A1IV/V,15.950814,0
8.77,1.98,1.22,0.154,A1V,15.253326,0
7.18,4.37,1.02,1.594,K2/K3IIICNw,15.382408,1
6.13,4.42,0.52,1.489,K4III,14.357111,1
8.18,3.16,1.04,0.117,A0/A1V,15.678436,0
7.93,7.09,1.13,0.765,G3IV,17.183231,0
8.23,2.92,0.84,0.029,B8V,15.556913,0
8.15,6.08,0.7,0.259,A8V,17.069517,0
8.54,1.26,0.99,-0.17,B3IV,14.041853,0
8.46,1.94,0.82,-0.057,B7V,14.899009,0
4.94,3.07,0.53,1.668,M1III,12.375692,1
9.6,1.99,1.53,0.604,F5IV/V,16.094265,0
2.75,42.25,1.05,0.147,A3IV,15.879134,0
9.23,-0.73,1.36,1.265,K1/K2III,13.546614,1
6.66,15.06,0.7,0.372,F3/F5IV+...,17.549126,0
8.46,7.5,0.8,0.862,G8IV,17.835306,0
4.13,6.49,1.06,-0.115,B6III,13.191223,1
7.95,22.88,0.96,0.606,G2V,19.74728,0
6.2,23.82,0.87,0.443,F7IV-V,18.08471,0
8.03,7.63,1.94,0.563,F8V,17.442623,0
4.49,27.91,0.56,0.164,A3IV,16.7188,0
8.18,23.66,1.05,0.79,G8IV,20.050076,0
7.77,3.8,0.59,-0.06,B8V,15.668919,0
7.5,4.23,1.01,0.93,K0III,15.631702,1
7.46,0.39,0.6,1.064,G2Ib,10.415323,1
8.77,0.37,1.11,0.259,B9III,11.61101,1
8.93,-0.99,1.61,0.099,B2Vp,13.908176,0
5.13,21.35,0.65,0.089,A2/A3V,16.776989,0
6.97,30.36,0.81,0.618,G2/G3IV/V,19.381508,0
8.83,1.99,0.86,0.009,B9.5V,15.3242655,0
9.81,2.92,1.95,1.231,G8IV/V,17.136913,0
8.08,4.28,0.92,0.025,B9V,16.237219,0
8.83,1.81,1.77,0.962,K1/K2III+..,15.118393,1
9.69,7.37,8.22,0.04,A1V,19.027336,0
8.92,2.08,1.36,0.119,B9IV,15.510317,0
7.83,3.48,1.2,1.05,K0III,15.537896,1
8.59,12.49,1.3,0.517,F6V,19.072811,0
8.52,12.17,1.38,0.475,F5V,18.946453,0
8.19,13.06,1.32,0.546,F7V,18.769714,0
7.88,2.83,1.01,0.026,A0V,15.138932,0
7.95,6.87,0.92,0.208,A2III/IV,17.134785,0
8.82,5.1,1.31,0.2,B9IV/V,17.357851,0
7.03,19.35,0.89,0.491,F5V,18.463406,0
6.52,10.77,0.56,-0.008,A0V,16.681078,0
7.87,11.95,1.08,0.498,F5V,18.25684,0
4.45,16.69,0.89,0.21,A7IVn,15.562282,0
8.46,3.54,1.09,1.142,K2III,16.205017,1
9.36,10.2,1.34,0.513,F6V,19.403,0
8.68,2.81,0.81,0.103,B9V,15.9235325,0
8.4,17.24,0.9,0.583,G0V,19.582685,0
8.55,5.3,0.87,0.096,A0V,17.17138,0
8.0,1.29,0.9,0.063,A0V,13.552949,0
7.1,19.98,1.04,0.568,G1V,18.602978,0
7.2,12.76,0.83,0.409,F2IV/V,17.729252,0
6.45,5.5,0.95,-0.04,B9Vs,15.151813,0
6.92,6.18,1.03,0.158,A2/A3IV,15.874943,0
5.92,14.68,6.92,0.015,A0V,16.753632,0
8.56,4.0,0.86,1.165,K1III,16.570301,1
5.53,18.56,0.86,0.237,F0V,16.87289,0
1.25,9.25,0.61,-0.238,B0.5III,11.0807085,1
8.56,6.68,0.78,0.462,F7IV,17.683884,0
6.73,3.55,0.77,1.508,K4II-III,14.481142,1
4.3,54.92,0.66,0.388,F2V,17.998653,0
6.24,9.39,0.81,1.002,K0III,16.103329,1
6.61,13.28,0.79,0.905,K0IIICNIV,17.22599,0
7.96,7.09,1.72,0.0,F5V,17.21323,0
9.77,8.67,1.81,0.437,F0V,19.460094,0
9.67,7.71,0.87,0.6,G0V:,19.105272,0
6.4,6.86,0.75,0.928,G8III,15.581621,1
9.13,3.41,1.3,1.224,K0III,16.793772,1
7.19,9.51,1.06,0.162,A1V,17.080902,0
9.69,1.3,1.46,1.35,K2/K3III:,15.259716,1
6.0,11.49,0.64,0.029,A1Vn,16.3016,0
8.9,5.75,1.23,0.449,F0V,17.69834,0
8.98,2.29,1.34,0.351,A5IV,15.779177,0
8.5,8.33,0.68,0.483,F6III,18.103226,1
8.74,2.45,1.82,0.81,F0V,15.68583,0
12.38,19.64,9.61,1.51,M2V:,23.845707,0
6.09,7.48,0.84,0.897,G8III,15.459508,1
7.72,24.8,0.89,0.613,G3IV,19.692257,0
4.16,21.64,1.06,0.835,G7III,15.836287,1
8.28,39.35,1.37,0.992,K3V,21.254723,0
7.79,1.25,0.66,-0.109,B6V,13.2745495,0
9.48,2.73,1.53,0.979,K0V,16.660812,0
7.45,1.98,0.96,1.29,K1IIICN...,13.933326,1
6.97,18.81,0.88,0.429,F3V,18.341944,0
2.2,25.01,1.01,-0.023,A1IV,14.190568,0
6.37,11.88,0.81,0.912,K0III,16.744083,1
8.83,2.24,1.29,1.02,G9III,15.58124,1
8.6,5.74,1.22,0.293,F0V,17.39456,0
7.01,2.61,0.98,1.924,K3/K4III,14.093203,1
9.52,3.04,1.23,0.211,A3IV,16.934368,0
8.93,1.76,0.74,1.893,M1III,15.157564,1
5.41,4.76,0.49,-0.063,B9III,13.798035,1
11.55,78.3,3.37,1.637,M4Ve,26.018808,0
6.75,3.11,0.72,1.584,K3III,14.213802,1
8.75,0.78,1.21,1.376,K3III,13.210473,1
6.11,11.37,0.58,0.297,A9IV,16.388802,0
7.16,4.49,1.02,-0.017,B8II/III,15.421231,1
8.86,4.59,2.07,0.433,F2III/IV,17.169064,0
7.77,4.23,0.97,1.086,K0IIIvar,15.901703,1
7.62,2.99,0.67,0.127,A2V,14.998356,0
7.81,1.24,0.95,1.711,M1III,13.277109,1
7.92,1.67,0.87,0.132,A2III,14.033583,1
6.83,5.99,0.61,-0.039,B9V,15.717134,0
8.06,8.97,1.01,0.478,F5V,17.823963,0
6.51,28.94,0.78,0.526,F7V,18.817493,0
8.73,11.08,1.14,0.552,G1Vw,18.9527,0
7.01,28.29,0.93,0.599,G2V,19.268166,0
9.31,9.26,1.37,0.567,G1V,19.143055,0
8.59,4.19,1.1,-0.008,B8V + B9,16.70107,0
8.26,6.67,0.79,0.366,F0IV,17.38063,0
9.02,4.55,0.93,0.531,F5/F6V,17.310059,0
8.58,1.3,0.76,1.234,K1III,14.149716,1
8.79,1.36,1.12,0.369,F0IV/V,14.457695,0
8.24,4.73,1.12,0.399,F2V,16.614305,0
8.94,3.1,1.3,0.04,B9IVn,16.396809,0
6.38,16.29,0.77,0.93,K0V,17.439606,0
8.39,1.25,1.08,0.022,B8Vn,13.87455,0
8.59,4.67,0.93,0.453,F3III,16.936584,1
10.17,3.62,1.68,0.549,F2V,17.963543,0
8.36,2.76,0.81,-0.018,B9V,15.564546,0
7.57,4.0,0.91,1.079,K0III,15.580301,1
6.99,7.96,0.86,1.201,K1III,16.494564,1
8.61,8.96,2.91,0.47,F5V,18.37154,0
9.13,-0.86,1.78,1.61,K3/K4III,13.802492,1
9.0,9.06,1.18,0.542,F6/F7V,18.78564,0
8.68,4.96,0.65,0.581,F8IV/V,17.15741,0
8.8,3.99,1.2,0.526,F0V,16.804865,0
8.61,5.16,1.15,-0.046,B9V,17.173248,0
7.6,6.54,1.15,0.069,A0V,16.677889,0
4.88,9.55,0.53,-0.154,B5V,14.780017,0
9.57,2.72,1.35,0.474,F2V,16.742844,0
10.52,42.0,2.81,1.419,M0V,23.636246,0
8.89,8.17,1.2,0.647,G3V,18.45111,0
6.63,2.28,1.21,1.111,K1III,13.419674,1
9.4,6.3,1.42,0.51,F8V,18.396702,0
8.63,0.46,1.02,0.066,A0V,11.9437895,0
8.07,4.68,1.16,0.099,B9V,16.42123,0
7.19,4.21,0.57,-0.027,A0IV,15.311411,0
7.51,13.33,0.93,0.408,F2V,18.134151,0
6.9,16.66,0.98,0.432,F5III,18.008375,1
7.72,16.73,0.59,0.491,F6/F7V,18.837479,0
7.91,2.52,0.74,1.0,K0III,14.917003,1
9.93,19.28,1.71,0.809,K0V,21.355536,0
8.05,1.34,0.85,1.548,K4/K5III,13.685524,1
8.27,8.49,0.98,0.243,A6V,17.91454,0
7.74,14.53,0.91,0.817,G8V,18.551329,0
8.34,3.8,0.94,-0.074,A0V,16.238918,0
8.78,8.0,0.99,0.76,G6V,18.295448,0
8.32,0.25,1.19,1.385,K2III,10.3097,1
8.4,9.29,1.06,0.475,F6V,18.240078,0
6.24,26.15,0.81,0.528,F7V,18.327358,0
7.6,12.04,0.87,0.475,F5V,18.003132,0
7.22,22.68,1.0,0.786,G8V,18.998215,0
7.2,5.46,0.57,0.2,A4IV,15.8859625,0
5.28,14.66,0.51,0.206,A8/A9III/IV,16.11067,0
9.82,6.43,1.69,0.69,G5V,18.861053,0
7.76,1.57,0.91,1.553,K4III,13.739499,1
8.87,2.27,1.08,0.03,B9V,15.650129,0
8.31,6.64,1.15,0.463,F3V,17.420841,0
8.99,5.67,1.3,0.943,G5III:,17.757915,1
7.87,16.04,1.04,0.638,G1IV/V,18.896023,0
8.31,7.54,0.98,0.481,F5V,17.696857,0
8.49,7.4,0.96,0.558,G0V,17.836159,0
6.18,9.29,0.63,0.419,F3Vn,16.020079,0
7.82,9.23,0.65,0.556,F6V,17.646008,0
9.2,11.52,1.55,0.665,G3V,19.507263,0
9.67,12.49,1.44,0.627,G3V,20.152813,0
6.21,11.28,0.68,0.098,A2/A3V,16.471546,0
8.78,1.72,0.86,-0.054,B9V,14.957642,0
6.89,13.37,1.08,0.508,F5V,17.520657,0
7.35,14.29,0.97,0.606,G0V,18.12516,0
8.83,2.12,1.23,1.026,K0III,15.461679,1
8.44,0.86,1.18,-0.097,B1Ib/II,13.112492,1
3.7,12.63,0.89,1.614,M3/M4III,14.207016,1
7.53,2.01,1.37,0.903,G8/K0III,14.04598,1
4.72,11.39,0.69,0.306,F3III,15.002619,1
7.2,37.19,1.15,0.748,G6/G8V,20.052132,0
4.64,57.09,0.72,0.413,F5IV-V,18.4228,0
4.92,15.76,0.74,0.013,A0V,15.907782,0
9.03,3.94,1.32,1.029,K0III,17.00748,1
8.88,0.59,1.43,1.23,G8III,12.734261,1
10.06,23.96,1.65,1.047,K3V,21.957436,0
7.87,1.12,0.94,0.065,B6/B7III,13.116091,1
8.77,3.08,0.91,0.117,A1V,16.212753,0
9.26,6.31,1.42,0.505,F0V,18.260147,0
6.46,-0.69,0.79,0.187,B0.5Iab:,10.654245,1
9.56,9.64,1.47,0.61,G3V,19.480385,0
7.88,8.98,0.79,0.25,A3II/III,17.646381,1
8.81,2.67,0.84,1.549,K3III,15.942556,1
7.33,44.49,2.55,0.863,K1/K2V,20.571312,0
8.64,3.07,1.41,1.185,K0III,16.075691,1
8.95,1.86,1.2,1.019,K0IV,15.2975645,0
6.63,36.93,0.5,0.579,G1V,19.466896,0
7.88,2.94,0.85,1.287,K2III,15.221737,1
7.75,3.61,0.66,-0.062,B9V,15.537537,0
8.28,8.39,1.26,0.384,F0V,17.89881,0
6.44,6.06,0.93,1.062,K0III,15.352364,1
8.55,0.81,1.0,-0.08,B8V,13.092425,0
9.32,1.35,1.28,1.061,G8III/IV,14.971668,0
8.41,0.35,1.15,-0.024,B8V,11.130341,0
9.5,2.55,0.84,0.061,B9.5V,16.5327,0
8.64,5.4,0.69,0.435,F3V,17.301968,0
7.69,3.87,1.03,1.366,K1III,15.628555,1
7.86,7.55,0.97,0.363,F0V,17.249735,0
6.31,4.47,0.76,0.011,A0Vn,14.561537,0
9.52,6.7,1.52,0.588,G0V,18.650375,0
8.33,3.26,1.05,1.13,K0III,15.896089,1
8.65,4.0,0.79,1.136,K1III,16.660301,1
8.42,2.22,0.91,-0.006,B9V,15.151766,0
8.12,3.11,1.01,1.103,G8IIICN...,15.583802,1
8.39,9.46,0.72,0.467,F5V,18.269455,0
9.27,10.1,1.25,0.96,G8V,19.291607,0
5.96,12.59,0.98,0.126,A3Vs,16.460129,0
8.16,1.77,1.01,1.093,G8III/IV,14.399866,0
7.62,2.62,0.91,1.37,K3III,14.711507,1
9.08,5.23,1.28,0.482,F5V,17.672508,0
5.71,1.7,0.93,-0.212,B1V...,11.862245,0
9.54,32.87,2.66,0.95,K5V,22.123999,0
6.54,10.6,0.79,0.234,F0V,16.666529,0
7.75,7.78,0.66,0.345,A9IV,17.204899,0
9.14,17.25,0.8,0.724,G8V,20.323948,0
10.05,13.32,1.21,0.663,G5/G6V,20.67252,0
6.17,8.58,0.93,-0.046,B8V,15.837437,0
8.32,5.46,1.17,0.275,A4V,17.005962,0
6.97,4.83,0.98,0.058,A1V,15.389734,0
9.33,3.04,1.37,0.977,G8III,16.744368,1
9.18,2.95,1.49,0.993,G8III,16.52911,1
6.03,33.32,0.76,0.496,F6V,18.643526,0
8.02,2.5,1.03,-0.031,B9V,15.009701,0
9.52,5.83,1.01,0.545,F6V:,18.348343,0
9.79,5.48,1.37,0.495,F5V,18.483902,0
9.0,6.2,1.22,0.389,F6III,17.961958,1
8.39,3.35,1.01,1.352,K3III:,16.015224,1
7.87,3.44,1.03,0.958,G8III,15.552792,1
8.52,7.35,1.17,0.831,G8V,17.851437,0
6.04,6.35,0.6,1.396,K3/K4III,15.053868,1
5.46,0.55,1.2,0.176,B0.5Ia,9.161814,1
7.13,24.47,1.06,0.518,F8V,19.07317,0
5.69,5.49,0.73,1.258,K2III,14.387861,1
4.78,14.96,0.7,0.048,A2V,15.654657,0
8.13,3.41,1.0,1.004,K0III,15.793772,1
9.65,2.89,2.16,0.44,F3V,16.954489,0
6.0,1.07,0.64,-0.096,B0.5III,11.146919,1
7.69,12.16,0.98,0.441,F5V,18.114668,0
7.75,0.35,0.99,0.22,B1.5Vne,10.470341,0
10.84,1.74,6.13,0.609,G0V,17.042746,0
7.61,5.19,0.97,0.1,A0V,16.185837,0
9.06,3.76,1.62,0.62,G3/G5V,16.93594,0
9.27,3.63,1.45,0.48,F5V,17.069534,0
10.11,101.91,1.67,1.5,M2Ve,25.151085,0
9.77,8.41,1.6,0.73,G3/G5V,19.39398,0
9.52,2.74,2.06,0.537,F3/F5V,16.708754,0
8.33,3.32,0.87,1.016,K0III,15.93569,1
7.61,2.79,0.72,1.243,K1III,14.838021,1
7.43,3.35,0.6,1.084,K1III,15.055223,1
5.0,5.36,0.65,-0.093,B8IIIn,13.645824,1
6.51,4.22,0.78,0.031,A0IV,14.636562,0
5.77,13.24,0.53,0.051,A2V,16.37944,0
8.09,1.06,0.75,-0.108,B4V,13.21653,0
10.5,8.39,2.17,0.736,G6V,20.118809,0
8.06,1.84,1.03,1.456,K3V,14.384089,0
8.1,10.54,1.1,0.456,F3V,18.214203,0
8.63,18.0,0.75,0.668,G5V,19.90636,0
8.35,2.35,1.15,1.433,K2V,15.205339,0
7.86,66.15,0.95,1.153,K5V,21.96265,0
8.31,4.47,1.19,0.297,A9III,16.561539,1
8.13,12.95,1.14,0.562,G1/G2V,18.691349,0
9.59,9.13,1.44,0.653,G3V,19.392353,0
7.02,2.27,1.05,1.096,G8III,13.800129,1
7.28,12.0,2.24,0.192,A3V,17.675907,0
8.37,2.47,1.25,0.043,B8II,15.333485,1
10.59,-4.78,4.18,0.962,F9Ib,18.98714,1
6.97,7.96,0.85,0.345,F0V,16.474566,0
8.23,10.79,1.5,0.513,F5V,18.395107,0
8.9,2.8,1.14,1.281,K1/K2III,16.13579,1
5.72,1.97,0.76,-0.112,B6IV,12.192331,0
7.11,6.72,0.87,0.983,G8/K0III,16.246847,1
9.18,2.03,1.73,0.103,A0V,15.717481,0
8.77,5.46,1.36,0.334,A7IV/V,17.455963,0
8.34,6.44,0.84,0.48,F6IV,17.38443,0
10.12,4.68,1.27,0.459,F3/F5IV/V,18.47123,0
7.67,6.39,0.62,0.404,F2IV,16.697504,0
7.51,8.65,0.96,0.351,F0IV,17.19508,0
4.92,9.67,0.57,0.903,G8III,14.847132,1
6.64,13.07,0.63,0.369,F1IV,17.221378,0
7.48,8.41,0.9,0.248,A9V,17.10398,0
8.65,26.3,1.66,0.848,K0IV-V,20.749779,0
8.97,5.95,1.48,0.472,F3V,17.842585,0
7.8,3.52,0.77,0.104,A0V,15.532713,0
9.46,4.83,1.38,0.45,F2V,17.879734,0
8.61,2.0,1.05,1.006,K0III,15.11515,1
6.41,3.04,0.6,1.614,M1III,13.824368,1
8.72,19.8,0.79,0.629,G3/G5V,20.203327,0
8.36,10.16,1.31,0.446,F5V,18.394466,0
8.44,9.55,0.93,0.571,G0V,18.340015,0
9.1,1.18,1.34,0.967,G8III,14.459411,1
10.19,18.4,1.64,0.978,K2V,21.514088,0
7.88,7.05,1.53,0.42,F3V,17.120945,0
5.9,3.63,0.87,1.529,K5III,13.699533,1
10.48,25.12,2.54,1.246,K7V:,22.480099,0
7.9,1.99,0.88,0.243,B5Ve,14.394266,0
7.96,1.78,0.72,-0.085,B6V,14.2121,0
8.86,10.91,1.36,0.342,F0IV/V,19.049122,0
5.78,9.87,0.79,0.26,F0V,15.751587,0
10.37,5.12,1.75,0.622,G6/G8V:,18.916351,0
9.56,9.19,1.05,0.679,G8V,19.37658,0
9.86,34.19,1.61,1.274,K4V,22.529495,0
9.07,2.3,1.34,0.371,F0V,15.878639,0
8.62,2.67,1.4,1.04,G8IV,15.752556,0
9.68,5.7,1.44,0.497,F6V,18.459373,0
9.25,27.82,1.45,0.915,K4V,21.471786,0
8.56,1.66,0.95,1.401,K3/K4III,14.660541,1
7.78,2.53,0.74,-0.127,B4V,14.795603,0
5.64,6.43,0.8,1.514,M0III,14.681055,1
9.07,0.86,1.46,1.72,M2III:,13.742492,1
8.05,4.24,0.7,0.051,A1V,16.186829,0
9.04,3.95,2.02,0.349,A7III,17.022985,1
7.54,0.98,0.65,0.078,B3V,12.49613,0
9.39,6.73,0.88,0.563,G2V,18.530075,0
8.63,19.1,1.06,0.651,G5V,20.035168,0
7.75,6.41,1.78,0.34,F2/F3IV,16.78429,0
9.52,7.67,1.48,0.509,F3V,18.943977,0
7.55,6.02,0.92,0.001,B9.5V,16.447983,0
7.77,5.04,1.17,1.037,K0III,16.282152,1
9.14,2.86,1.48,0.341,A7V,16.421831,0
8.9,1.33,1.2,1.13,K1/K2III:,14.5192585,1
9.74,2.11,1.52,1.47,K5V,16.361412,0
7.96,3.75,1.18,1.011,G8/K0III,15.830156,1
8.72,6.79,1.12,0.339,F0V,17.879349,0
9.69,9.15,1.57,0.633,G5V,19.497105,0
5.49,27.26,2.35,0.46,F5V,17.66763,0
7.82,2.59,0.99,-0.077,B7V,14.886499,0
7.93,9.6,1.32,0.481,F5V,17.841356,0
7.53,23.9,0.85,0.577,G0V,19.42199,0
9.98,7.77,1.63,0.614,G0V,19.432106,0
9.6,12.41,1.08,0.734,G6/G8IV/V,20.06886,0
9.1,8.06,1.29,0.452,F5V,18.631676,0
7.7,13.15,0.94,0.523,F5V,18.294628,0
7.44,5.18,1.1,1.568,K5III,16.011648,1
8.97,-0.19,1.28,1.176,G8III,10.363768,1
8.14,0.92,1.07,1.599,K5III,12.95894,1
9.12,9.32,1.43,0.92,G8V,18.96708,0
9.12,10.15,1.32,0.697,G3/G5V,19.152328,0
8.88,5.63,2.03,0.9,G0V,17.632542,0
6.1,30.82,0.53,0.47,F8V,18.544163,0
9.18,13.5,2.42,0.546,G0V,19.831669,0
8.11,11.2,1.04,0.43,F3V,18.35609,0
8.0,2.98,1.06,0.179,A2V,15.371081,0
8.98,4.68,1.38,0.617,G2V,17.33123,0
7.98,2.51,1.13,1.465,K3/K4III,14.978369,1
7.8,2.75,0.82,1.128,K0III,14.996664,1
8.1,3.14,0.6,0.043,A0V,15.584648,0
9.03,4.56,1.31,0.413,A1IV,17.324825,0
9.31,8.0,1.59,0.608,G0V,18.82545,0
8.45,10.19,2.43,0.524,F6/F7V,18.490871,0
7.94,8.03,1.0,0.23,A3II/III,17.463577,1
5.33,4.37,0.73,1.576,M4IIIa,13.532408,1
8.33,8.19,3.22,0.587,G1V,17.89642,0
8.46,4.03,0.89,0.318,F0IV,16.486526,0
8.49,12.63,1.16,0.571,F8/G0V,18.997017,0
7.42,6.97,0.8,0.079,A0V,16.636164,0
6.66,2.77,0.73,1.259,K1III,13.872399,1
6.37,4.12,0.81,-0.134,B5IV/V,14.444486,0
7.04,11.3,0.62,0.435,F5IV/V,17.305393,0
8.36,2.38,1.88,0.309,F0V,15.242885,0
8.3,3.27,0.79,1.152,K0IV,15.87274,0
6.24,14.05,0.62,0.884,K0IV,16.978382,0
8.46,9.64,1.1,0.424,F3V,18.380386,0
8.24,5.77,1.15,1.221,K1III,17.04588,1
5.68,5.31,1.34,-0.021,B9.5V,14.305473,0
9.34,3.31,1.46,0.11,A2V,16.93914,0
7.59,3.07,0.96,1.172,G5II,15.025692,1
7.44,2.65,0.62,0.007,A0III/IVp..,14.55623,0
8.12,12.35,1.06,0.548,F7V,18.578335,0
9.15,12.08,1.7,0.593,G0V,19.560335,0
7.47,17.82,1.05,0.478,F6V,18.724539,0
8.15,11.43,1.36,0.517,F6V,18.440231,0
8.2,11.8,0.65,0.435,F5V,18.55941,0
8.55,11.04,2.04,0.2,G3V,18.764847,0
7.77,2.24,0.66,1.674,M2III,14.52124,1
8.48,1.78,1.26,1.14,G8III,14.7321,1
8.5,3.74,0.74,0.172,A0Vm...,16.364359,0
8.75,1.76,1.42,0.916,G8III,14.977564,1
7.68,7.03,0.85,0.105,A1IV,16.914776,0
9.92,-1.54,1.15,0.32,F2-G2Ie,15.857604,1
7.59,13.98,1.11,0.449,F4Vvar,18.317537,0
8.33,3.48,1.05,1.046,G8III,16.037895,1
5.5,12.48,0.49,0.007,A0V,15.981072,0
9.21,5.74,1.89,0.542,F5/F6IV,18.004559,0
8.46,2.56,1.13,1.018,K0III,15.5012,1
7.72,18.22,0.95,0.62,G0V,19.022741,0
8.87,3.89,1.19,0.441,F3V,16.819748,0
6.84,17.0,0.58,0.568,F8V,17.992245,0
7.34,5.05,0.59,1.079,K0III,15.856457,1
8.88,5.02,0.82,0.461,F3IV/V,17.383518,0
8.2,10.89,1.18,0.795,G6IV,18.38514,0
9.43,14.12,0.91,0.645,G6IV/V,20.179173,0
8.33,3.65,0.97,0.06,B9V,16.141464,0
8.58,8.45,0.79,0.492,F6V,18.214283,0
10.11,0.56,1.07,0.28,F0V,13.85094,0
7.48,5.35,0.91,0.801,G6V,16.121769,0
8.29,1.68,1.11,1.743,M3III,14.416546,1
8.92,0.2,1.35,0.113,B9IV/V,10.42515,0
9.57,3.46,1.67,0.397,F2V,17.26538,0
8.71,7.12,0.94,0.458,F3V,17.9724,0
9.79,6.05,2.13,0.582,F7V,18.698776,0
8.38,6.42,0.68,0.478,F5IV,17.417675,0
7.8,10.34,2.13,0.446,F3/F5V,17.872604,0
8.11,10.33,0.85,0.492,F7V,18.1805,0
7.27,2.59,0.64,1.1,G6III,14.336498,1
8.94,17.7,0.79,0.699,G6V,20.179867,0
8.34,19.86,1.28,0.645,G3V,19.829897,0
8.87,1.32,1.65,0.441,B2Ib/II,14.47287,1
9.65,7.31,1.16,0.695,G6/G8IV/V,18.969585,0
10.21,1.22,3.65,0.586,F5/F6V,15.6418,0
5.94,8.49,0.81,0.066,A3V,15.5845375,0
8.5,0.04,2.85,1.011,K0III,6.5102997,1
5.93,16.14,0.73,0.337,F3V+...,16.969517,0
7.8,24.13,0.98,0.603,G2IV,19.712788,0
8.65,1.66,1.1,0.4,B8Vnn(e),14.75054,0
6.98,13.32,0.8,0.225,A4V,17.60252,0
9.1,1.3,0.89,1.326,K2III:,14.669717,1
7.85,8.07,0.93,0.547,F8IV,17.384367,0
8.07,12.59,0.69,0.539,F7V,18.570127,0
8.72,12.12,1.07,0.507,F8IV,19.137514,0
8.87,3.57,1.25,0.155,B9V,16.63334,0
7.98,6.63,1.07,0.28,A5V,17.087568,0
8.24,8.13,1.04,0.415,F3V,17.790453,0
6.66,11.63,0.61,0.442,F3/F5V,16.987898,0
6.86,6.55,0.84,0.1,B9V,15.941206,0
