,Gender,Age,Department,Amount of time spent reading books per day,Reason for reading books,How to manage books for reading,Number of e-books you read last two years,Number of printed books you read last two years,Favorite books for reading to spend leisure time,What is the change that you fell after reading books,Who influenced you to read books,Which language books do you like to read,Where do you read printed books,Do you read Newspaper,The format that you used for reading books,Frequency of reading books,target
179,Male,20,CSE,1,Academic Purpose,E-books,1-5,6-10,Politics,Feel Relax,Parents,Bangla,Home,Yes,Both,Once or twice a year,1
180,Male,22,CSE,4,Academic Purpose,E-books,More than 20,More than 20,Others,Increase Academic Performance,Self-Decision,English,Home,Yes,Printed,On everyday basis,1
181,Female,21,CSE,3,Keep me informative,Used-all,,6-10,Fiction,Increase Academic Performance,Self-Decision,Bangla,Home,Yes,Printed,A few times a month,1
182,Male,21,CSE,1,Keep me informative,Used-all,6-10,6-10,Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,No,E-books,A few times a week,0
183,Male,22,CSE,1,Academic Purpose,Used-all,1-5,More than 20,Others,Feel Relax,Self-Decision,Others,Home,Yes,Both,A few times a week,1
184,Male,21,CSE,2,Academic Purpose,Used-all,6-10,11-15,Others,Increase Creative Thinking,Friends,Bangla,Home,No,Printed,A few times a week,0
185,Male,22,CSE,1,Keep me informative,E-books,1-5,1-5,Fiction,Increase Creative Thinking,Friends,English,Home,Yes,E-books,Once or twice a year,0
186,Male,20,CSE,1,Entertainment Purpose,Used-all,More than 20,11-15,Fiction,Increase Academic Performance,Self-Decision,Bangla,Home,Yes,Both,On everyday basis,0
187,Female,20,CSE,1,Entertainment Purpose,Buy,More than 20,More than 20,Fiction,Feel Relax,Self-Decision,Bangla,Home,Yes,Both,A few times a week,0
188,Male,22,CSE,3,Keep me informative,Buy,More than 20,More than 20,Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,Yes,Printed,On everyday basis,0
189,Male,21,CSE,1,Keep me informative,E-books,More than 20,6-10,Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,Yes,E-books,A few times a week,0
190,Male,21,CSE,2,Academic Purpose,E-books,11-15,6-10,Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,Yes,E-books,A few times a month,0
191,Male,21,CSE,1,Entertainment Purpose,Borrow,1-5,1-5,Fiction,Increase Creative Thinking,Friends,Bangla,Home,Yes,Printed,Once or twice a year,0
192,Male,22,CSE,1,Academic Purpose,E-books,1-5,1-5,Fiction,Increase Creative Thinking,Teachers,Bangla,Library,No,Both,A few times a week,1
193,Male,22,CSE,2,Academic Purpose,Buy,,6-10,Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,Yes,Printed,On everyday basis,0
194,Male,23,MCT,1,Academic Purpose,Buy,,1-5,Politics,Increase Problem Solving Skill,Self-Decision,English,Library,Yes,Both,A few times a week,1
195,Male,23,CSE,1,Keep me informative,E-books,1-5,1-5,Fiction,Increase Creative Thinking,Self-Decision,English,Home,Yes,Both,A few times a week,0
196,Male,23,CSE,1,Keep me informative,E-books,6-10,6-10,Politics,Increase Creative Thinking,Self-Decision,Bangla,Library,Yes,Both,On everyday basis,0
197,Male,22,CSE,2,Keep me informative,E-books,11-15,1-5,Fiction,Increase Creative Thinking,Self-Decision,Bangla,Library,Yes,E-books,On everyday basis,0
198,Male,21,CSE,1,Academic Purpose,E-books,1-5,1-5,Non-Fiction,Increase Academic Performance,Teachers,Bangla,Home,No,Both,Less than once a year,1
199,Male,22,CSE,1,Keep me informative,Others,,,Others,Feel Relax,Self-Decision,English,During Travel,Yes,Both,Less than once a year,1
200,Male,18,MCT,4,Entertainment Purpose,Others,More than 20,More than 20,Fiction,Feel Relax,Self-Decision,English,Home,No,E-books,On everyday basis,0
201,Male,22,CSE,1,Academic Purpose,E-books,1-5,6-10,Biography,Increase Creative Thinking,Parents,Bangla,Home,Yes,E-books,On everyday basis,1
202,Male,22,CSE,1,Academic Purpose,Buy,6-10,1-5,Biography,Increase Creative Thinking,Self-Decision,Bangla,Library,No,Printed,A few times a week,0
203,Female,21,CSE,1,Keep me informative,E-books,6-10,1-5,Fiction,Increase Problem Solving Skill,Teachers,Bangla,Home,Yes,Both,A few times a week,0
204,Male,23,Textile,2,Academic Purpose,Used-all,More than 20,More than 20,Others,Feel Relax,Teachers,Bangla,Home,Yes,Both,On everyday basis,1
205,Male,21,EEE,1,Academic Purpose,Used-all,6-10,6-10,Others,Increase Problem Solving Skill,Self-Decision,English,Home,Yes,Printed,On everyday basis,1
206,Male,23,EEE,4,Keep me informative,Others,More than 20,More than 20,Others,Increase Problem Solving Skill,Self-Decision,English,Library,Yes,Both,On everyday basis,0
207,Male,22,EEE,2,Academic Purpose,Buy,6-10,6-10,Fiction,Increase Academic Performance,Teachers,English,Home,No,Both,On everyday basis,1
208,Male,19,EEE,1,Keep me informative,Buy,6-10,6-10,Others,Increase Problem Solving Skill,Self-Decision,Bangla,Home,No,Both,A few times a week,0
209,Male,23,EEE,1,Academic Purpose,Used-all,6-10,6-10,Biography,Increase Academic Performance,Self-Decision,English,Home,Yes,Both,On everyday basis,1
210,Male,23,EEE,4,Entertainment Purpose,E-books,More than 20,6-10,Fiction,Feel Relax,Self-Decision,English,Home,No,E-books,On everyday basis,0
211,Male,22,EEE,1,Academic Purpose,E-books,11-15,16-20,Biography,Increase Creative Thinking,Friends,English,Library,Yes,Both,On everyday basis,1
212,Male,22,MCT,6,To increase my English vocabulary knowledge,E-books,,,Biography,Increase Problem Solving Skill,Friends,Bangla,Home,Yes,Printed,On everyday basis,1
213,Female,22,Others,4,Academic Purpose,E-books,More than 20,More than 20,Others,Increase Academic Performance,Self-Decision,English,Home,No,Both,On everyday basis,1
214,Male,22,EEE,3,Academic Purpose,Used-all,6-10,11-15,Others,Increase Problem Solving Skill,Teachers,Bangla,Home,No,Both,On everyday basis,1
215,Male,22,MCT,1,Academic Purpose,Used-all,,1-5,Others,Increase Academic Performance,Self-Decision,Bangla,Home,Yes,Printed,On everyday basis,1
216,Female,22,CSE,2,Academic Purpose,Borrow,,More than 20,Fiction,Feel Relax,Parents,Bangla,Home,No,Printed,A few times a month,1
217,Male,22,NFE,1,Academic Purpose,Used-all,6-10,1-5,Others,Increase Creative Thinking,Friends,Bangla,Home,Yes,Both,A few times a week,1
218,Female,22,CSE,4,Academic Purpose,Used-all,More than 20,More than 20,Non-Fiction,Increase Problem Solving Skill,Parents,English,Library,Yes,Both,Less than once a year,1
219,Male,22,EEE,3,Academic Purpose,Buy,6-10,6-10,Others,Increase Academic Performance,Parents,English,Home,Yes,Printed,On everyday basis,1
220,Male,22,MCT,1,Academic Purpose,Used-all,11-15,11-15,Others,Increase Creative Thinking,Teachers,Bangla,Home,Yes,Both,A few times a week,1
221,Male,22,MCT,1,Academic Purpose,Used-all,1-5,1-5,Others,Increase Academic Performance,Teachers,Bangla,Library,No,Printed,A few times a week,1
222,Male,22,English,1,Keep me informative,Others,6-10,1-5,Others,Increase Academic Performance,Self-Decision,Others,During Travel,Yes,Both,A few times a month,0
223,Male,23,Civil,4,To increase my English vocabulary knowledge,Others,6-10,1-5,Biography,Feel Relax,Self-Decision,Bangla,Home,No,Both,A few times a week,0
224,Male,22,Civil,1,Academic Purpose,E-books,11-15,1-5,Biography,Increase Creative Thinking,Teachers,English,Home,Yes,E-books,On everyday basis,1
225,Male,22,Civil,1,Academic Purpose,Used-all,6-10,6-10,Fiction,Increase Academic Performance,Teachers,Bangla,During Travel,Yes,Both,On everyday basis,1
226,Male,20,Civil,2,Keep me informative,Used-all,16-20,More than 20,Fiction,Increase Problem Solving Skill,Self-Decision,Bangla,Home,Yes,Printed,On everyday basis,0
227,Male,21,Civil,1,Academic Purpose,E-books,1-5,11-15,Fiction,Increase Academic Performance,Self-Decision,Bangla,Home,Yes,Printed,On everyday basis,1
228,Male,21,Civil,4,Academic Purpose,Buy,More than 20,6-10,Politics,Feel Relax,Self-Decision,Bangla,Home,Yes,Both,A few times a week,1
229,Female,23,Civil,1,Keep me informative,Used-all,1-5,1-5,Fiction,Increase Creative Thinking,Self-Decision,English,Home,No,Printed,A few times a week,0
230,Female,22,Civil,4,Keep me informative,Used-all,,6-10,Fiction,Increase Creative Thinking,Self-Decision,English,Home,No,Both,A few times a week,0
231,Male,21,Civil,1,Keep me informative,E-books,6-10,11-15,Biography,Increase Creative Thinking,Parents,Bangla,Home,Yes,Both,On everyday basis,0
232,Male,23,Civil,1,Academic Purpose,Others,1-5,1-5,Others,Increase Academic Performance,Self-Decision,English,Home,No,Printed,On everyday basis,1
233,Male,23,MCT,3,Keep me informative,E-books,16-20,11-15,Biography,Increase Creative Thinking,Self-Decision,English,Home,Yes,E-books,On everyday basis,1
234,Male,19,CSE,2,Academic Purpose,Used-all,6-10,1-5,Others,Feel Relax,Self-Decision,Bangla,Home,Yes,Both,Once or twice a year,1
235,Male,22,Civil,1,Keep me informative,E-books,6-10,1-5,Non-Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,No,Printed,A few times a week,0
236,Female,22,CSE,2,Academic Purpose,E-books,6-10,1-5,Fiction,Increase Creative Thinking,Parents,Bangla,Library,Yes,Both,A few times a week,1
237,Male,23,CSE,1,Academic Purpose,E-books,,,Others,Increase Creative Thinking,Teachers,Bangla,Library,No,E-books,A few times a month,1
238,Male,21,CSE,1,Academic Purpose,E-books,,1-5,Non-Fiction,Feel Relax,Self-Decision,Bangla,Home,No,Printed,On everyday basis,1
239,Female,22,NFE,1,Academic Purpose,Others,6-10,1-5,Non-Fiction,Increase Creative Thinking,Parents,Bangla,Home,Yes,Both,A few times a week,0
240,Female,21,NFE,3,Academic Purpose,Used-all,1-5,More than 20,Non-Fiction,Increase Academic Performance,Friends,Others,During Travel,No,Both,A few times a week,0
241,Female,21,MCT,4,Keep me informative,Used-all,More than 20,16-20,Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,Yes,Both,On everyday basis,0
242,Male,21,CSE,1,Academic Purpose,Used-all,6-10,1-5,Others,Increase Academic Performance,Teachers,Bangla,Home,No,Both,A few times a month,1
243,Female,21,CSE,3,Keep me informative,Used-all,1-5,1-5,Others,Increase Creative Thinking,Friends,Bangla,Home,Yes,Both,A few times a week,0
244,Male,21,CSE,2,Academic Purpose,Used-all,More than 20,11-15,Politics,Increase Creative Thinking,Self-Decision,Bangla,Home,No,Both,A few times a week,1
245,Male,21,CSE,2,Entertainment Purpose,Used-all,More than 20,More than 20,Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,Yes,Both,On everyday basis,0
246,Male,22,CSE,2,Academic Purpose,E-books,More than 20,More than 20,Others,Increase Problem Solving Skill,Self-Decision,Bangla,Home,Yes,Both,A few times a week,1
247,Male,21,CSE,2,Academic Purpose,Others,11-15,11-15,Politics,Increase Creative Thinking,Self-Decision,Bangla,Home,Yes,Printed,On everyday basis,1
248,Male,22,CSE,1,Academic Purpose,E-books,1-5,1-5,Politics,Increase Academic Performance,Friends,Bangla,Home,No,Printed,On everyday basis,1
249,Female,20,CSE,3,To increase my English vocabulary knowledge,Used-all,,6-10,Others,Feel Relax,Friends,Bangla,Library,No,Both,On everyday basis,1
250,Male,21,CSE,2,Academic Purpose,Borrow,6-10,1-5,Biography,Increase Problem Solving Skill,Friends,Bangla,Library,Yes,Printed,A few times a month,0
251,Male,22,CSE,1,Academic Purpose,E-books,6-10,6-10,Others,Increase Creative Thinking,Self-Decision,English,Home,No,E-books,Once or twice a year,1
252,Male,21,CSE,1,Academic Purpose,E-books,1-5,More than 20,Others,Increase Problem Solving Skill,Parents,Bangla,Library,Yes,Both,On everyday basis,1
253,Female,21,CSE,3,To increase my English vocabulary knowledge,Buy,,16-20,Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,Yes,Printed,A few times a month,0
254,Male,21,CSE,2,Academic Purpose,Used-all,6-10,6-10,Fiction,Increase Problem Solving Skill,Parents,English,Home,Yes,Both,On everyday basis,0
255,Male,20,CSE,2,Academic Purpose,Used-all,6-10,More than 20,Fiction,Increase Problem Solving Skill,Parents,Bangla,Home,Yes,Both,On everyday basis,1
256,Male,20,CSE,1,Academic Purpose,E-books,6-10,6-10,Fiction,Increase Creative Thinking,Friends,Bangla,Home,Yes,Both,A few times a week,1
257,Male,22,CSE,1,Academic Purpose,Used-all,6-10,1-5,Fiction,Increase Problem Solving Skill,Teachers,English,Home,Yes,Both,A few times a week,1
258,Male,22,CSE,1,Keep me informative,Used-all,6-10,1-5,Fiction,Increase Problem Solving Skill,Self-Decision,Bangla,Home,Yes,Both,A few times a month,0
259,Male,22,CSE,2,Academic Purpose,Others,1-5,6-10,Others,Increase Creative Thinking,Parents,Bangla,Library,No,Both,A few times a week,1
260,Male,22,CSE,2,Academic Purpose,E-books,6-10,6-10,Non-Fiction,Feel Relax,Friends,English,Home,Yes,E-books,A few times a month,1
261,Male,21,CSE,3,Keep me informative,Used-all,1-5,11-15,Biography,Increase Creative Thinking,Friends,Bangla,Home,Yes,Printed,A few times a month,0
262,Male,22,CSE,1,Academic Purpose,E-books,1-5,1-5,Fiction,Increase Academic Performance,Self-Decision,English,Home,No,E-books,A few times a month,1
263,Male,21,CSE,1,Keep me informative,E-books,11-15,6-10,Biography,Increase Problem Solving Skill,Self-Decision,English,Library,Yes,Both,A few times a week,0
264,Female,20,CSE,2,Academic Purpose,Used-all,6-10,11-15,Fiction,Increase Academic Performance,Self-Decision,Bangla,During Travel,Yes,Both,A few times a week,1
265,Male,21,CSE,1,Academic Purpose,E-books,6-10,1-5,Others,Increase Creative Thinking,Self-Decision,Bangla,Home,No,Both,A few times a week,0
266,Male,21,CSE,1,Academic Purpose,Buy,,1-5,Biography,Increase Creative Thinking,Self-Decision,Bangla,Library,Yes,Both,Less than once a year,1
267,Female,21,CSE,2,To increase my English vocabulary knowledge,Used-all,11-15,11-15,Fiction,Increase Academic Performance,Self-Decision,English,Home,Yes,E-books,A few times a week,0
268,Male,21,CSE,1,Keep me informative,E-books,More than 20,6-10,Biography,Increase Creative Thinking,Self-Decision,English,Library,Yes,Both,A few times a week,1
269,Male,21,CSE,1,Academic Purpose,Others,,1-5,Politics,Increase Creative Thinking,Self-Decision,Bangla,Home,No,Both,On everyday basis,0
270,Female,21,CSE,1,Keep me informative,Used-all,1-5,1-5,Others,Increase Creative Thinking,Self-Decision,Bangla,Home,No,Printed,A few times a month,1
271,Male,21,CSE,1,Keep me informative,E-books,More than 20,6-10,Others,Increase Creative Thinking,Self-Decision,English,Library,Yes,Both,A few times a week,1
272,Male,21,CSE,1,Keep me informative,Buy,6-10,6-10,Others,Increase Problem Solving Skill,Parents,English,Home,Yes,Both,A few times a month,0
273,Male,20,CSE,1,Academic Purpose,E-books,1-5,1-5,Fiction,Increase Academic Performance,Parents,English,Home,Yes,Both,A few times a week,0
274,Male,22,CSE,7,To increase my English vocabulary knowledge,Used-all,More than 20,More than 20,Biography,Increase Creative Thinking,Self-Decision,English,Library,Yes,Both,On everyday basis,0
275,Male,21,CSE,1,Academic Purpose,Borrow,6-10,16-20,Biography,Increase Creative Thinking,Self-Decision,Bangla,Home,Yes,Printed,On everyday basis,1
276,Female,19,CSE,1,Entertainment Purpose,Used-all,More than 20,More than 20,Biography,Feel Relax,Self-Decision,English,Home,No,E-books,On everyday basis,0
277,Female,21,NFE,2,Academic Purpose,Buy,1-5,1-5,Fiction,Feel Relax,Self-Decision,Bangla,Home,Yes,Both,On everyday basis,1
278,Female,20,Others,3,Academic Purpose,E-books,1-5,6-10,Biography,Increase Creative Thinking,Teachers,Bangla,Home,No,E-books,On everyday basis,1
279,Male,23,Others,1,Academic Purpose,Borrow,1-5,1-5,Others,Increase Creative Thinking,Self-Decision,English,Library,No,Both,On everyday basis,0
280,Female,21,Others,1,Academic Purpose,E-books,1-5,11-15,Fiction,Increase Academic Performance,Self-Decision,Bangla,Home,No,Printed,A few times a week,1
281,Male,21,SWE,1,Academic Purpose,Used-all,,,Others,Increase Creative Thinking,Teachers,English,Home,No,Both,On everyday basis,1
282,Female,22,Others,1,Entertainment Purpose,Buy,1-5,16-20,Fiction,Feel Relax,Self-Decision,English,Home,Yes,Both,On everyday basis,0
283,Female,18,Others,1,To increase my English vocabulary knowledge,Used-all,1-5,11-15,Fiction,Feel Relax,Parents,Bangla,Home,No,Printed,A few times a month,0
284,Female,19,Others,1,Academic Purpose,Used-all,,6-10,Others,Increase Creative Thinking,Teachers,English,Home,Yes,Printed,On everyday basis,1
285,Male,20,Others,1,Keep me informative,Borrow,,,Others,Feel Relax,Self-Decision,English,Home,Yes,Both,A few times a week,0
286,Female,23,CSE,1,Academic Purpose,Borrow,1-5,1-5,Biography,Increase Creative Thinking,Self-Decision,Bangla,Home,Yes,Printed,A few times a week,1
287,Female,22,NFE,2,Academic Purpose,Others,,1-5,Others,Increase Creative Thinking,Self-Decision,Bangla,Home,No,Printed,On everyday basis,1
288,Male,20,EEE,4,Academic Purpose,Buy,6-10,More than 20,Others,Increase Academic Performance,Self-Decision,Bangla,Home,No,Printed,A few times a month,1
289,Male,21,EEE,1,Academic Purpose,Borrow,16-20,1-5,Politics,Increase Creative Thinking,Teachers,Bangla,Home,Yes,Printed,On everyday basis,0
290,Male,20,English,2,To increase my English vocabulary knowledge,Used-all,1-5,1-5,Others,Increase Problem Solving Skill,Self-Decision,English,Library,Yes,Both,A few times a week,1
291,Male,21,EEE,2,Keep me informative,Buy,6-10,More than 20,Fiction,Increase Problem Solving Skill,Self-Decision,Bangla,Home,Yes,Both,On everyday basis,1
292,Male,21,CSE,2,Academic Purpose,E-books,1-5,11-15,Fiction,Increase Academic Performance,Self-Decision,Bangla,Home,No,Printed,On everyday basis,1
293,Male,21,CSE,2,Academic Purpose,Borrow,,6-10,Others,Increase Academic Performance,Teachers,Bangla,Home,No,Printed,On everyday basis,1
294,Male,21,Textile,2,Keep me informative,Borrow,11-15,11-15,Biography,Increase Creative Thinking,Friends,Bangla,Home,No,Printed,A few times a week,1
295,Male,20,JMC,3,Keep me informative,Buy,,1-5,Others,Increase Creative Thinking,Self-Decision,English,Home,Yes,Both,On everyday basis,1
296,Male,21,EEE,2,Academic Purpose,Buy,11-15,More than 20,Others,Increase Academic Performance,Self-Decision,Bangla,Home,Yes,Both,On everyday basis,1
297,Male,22,CSE,4,Keep me informative,Used-all,1-5,16-20,Others,Increase Problem Solving Skill,Self-Decision,Bangla,Home,No,Both,On everyday basis,0
298,Male,21,NFE,2,Academic Purpose,Used-all,,More than 20,Biography,Increase Academic Performance,Parents,Bangla,Home,No,Printed,On everyday basis,1
299,Male,21,CSE,3,Keep me informative,Buy,,6-10,Others,Increase Problem Solving Skill,Friends,Others,Library,Yes,Both,On everyday basis,1
300,Male,19,SWE,2,Academic Purpose,Used-all,1-5,More than 20,Others,Increase Creative Thinking,Parents,Bangla,Home,Yes,Both,On everyday basis,1
301,Male,21,EEE,2,Academic Purpose,Buy,,1-5,Others,Increase Problem Solving Skill,Self-Decision,Bangla,Home,Yes,Printed,On everyday basis,1
302,Male,23,Others,4,Keep me informative,Used-all,More than 20,More than 20,Others,Increase Problem Solving Skill,Self-Decision,English,Home,Yes,Both,On everyday basis,0
303,Male,21,EEE,2,Keep me informative,Used-all,6-10,More than 20,Others,Increase Creative Thinking,Self-Decision,Bangla,Library,Yes,Printed,On everyday basis,1
304,Male,23,CSE,4,Academic Purpose,Used-all,,,Others,Feel Relax,Self-Decision,Bangla,Home,Yes,Both,On everyday basis,1
305,Male,20,CSE,1,Keep me informative,Used-all,More than 20,11-15,Fiction,Increase Creative Thinking,Teachers,Bangla,Home,Yes,Both,On everyday basis,1
306,Male,21,English,2,Academic Purpose,Used-all,1-5,6-10,Fiction,Increase Academic Performance,Parents,Bangla,Home,Yes,Both,On everyday basis,1
307,Male,20,EEE,2,Keep me informative,Buy,,1-5,Others,Increase Creative Thinking,Self-Decision,Bangla,Home,No,Printed,A few times a week,1
308,Male,21,Pharmacy,4,Academic Purpose,Used-all,1-5,6-10,Others,Increase Academic Performance,Self-Decision,Bangla,Home,Yes,Both,On everyday basis,1
309,Male,22,EEE,4,Academic Purpose,Others,,,Others,Increase Creative Thinking,Parents,English,Library,No,Printed,On everyday basis,1
310,Male,20,Civil,4,Academic Purpose,E-books,More than 20,,Biography,Increase Problem Solving Skill,Self-Decision,Bangla,Home,No,Printed,On everyday basis,1
311,Male,22,CSE,1,Keep me informative,Buy,1-5,6-10,Fiction,Increase Creative Thinking,Self-Decision,Bangla,Library,Yes,Printed,On everyday basis,1
312,Male,19,SWE,3,Academic Purpose,Used-all,1-5,1-5,Fiction,Increase Creative Thinking,Self-Decision,English,Home,No,Both,A few times a week,1
313,Male,20,Others,1,Academic Purpose,Used-all,,16-20,Others,Increase Problem Solving Skill,Teachers,Bangla,Library,Yes,Printed,A few times a week,1
314,Male,21,Others,1,Academic Purpose,Others,,1-5,Politics,Increase Problem Solving Skill,Self-Decision,Bangla,Home,Yes,Printed,Less than once a year,1
315,Male,22,EEE,1,Academic Purpose,Used-all,1-5,1-5,Fiction,Increase Creative Thinking,Parents,English,Home,No,Both,A few times a week,1
316,Male,23,MCT,2,Entertainment Purpose,Buy,6-10,,Politics,Feel Relax,Parents,Bangla,Library,No,Printed,A few times a week,0
317,Male,23,CSE,2,Keep me informative,Used-all,More than 20,6-10,Others,Increase Creative Thinking,Self-Decision,English,Home,Yes,Both,On everyday basis,1
318,Male,22,CSE,1,Academic Purpose,Buy,1-5,More than 20,Fiction,Increase Creative Thinking,Friends,Bangla,Home,No,Both,A few times a week,1
319,Female,22,Others,1,Academic Purpose,Others,,,Others,Increase Academic Performance,Self-Decision,Bangla,Home,No,Printed,Once or twice a year,1
320,Male,22,Civil,1,Academic Purpose,E-books,More than 20,6-10,Fiction,Increase Academic Performance,Self-Decision,English,Home,No,Printed,On everyday basis,1
321,Female,22,CSE,3,To increase my English vocabulary knowledge,E-books,6-10,1-5,Others,Increase Creative Thinking,Self-Decision,English,Library,Yes,Printed,A few times a week,1
322,Male,22,CSE,1,Academic Purpose,Others,1-5,1-5,Others,Increase Problem Solving Skill,Teachers,English,Home,No,Both,On everyday basis,1
323,Male,22,CSE,1,Entertainment Purpose,Used-all,,,Politics,Increase Creative Thinking,Parents,Bangla,Home,No,Both,A few times a month,1
324,Female,22,CSE,1,Keep me informative,E-books,16-20,6-10,Others,Increase Problem Solving Skill,Self-Decision,Bangla,Home,Yes,Both,A few times a week,0
325,Female,22,Others,3,Academic Purpose,Used-all,More than 20,More than 20,Fiction,Increase Academic Performance,Self-Decision,Bangla,Home,Yes,Both,On everyday basis,1
326,Male,21,CSE,1,Academic Purpose,E-books,More than 20,1-5,Fiction,Increase Academic Performance,Self-Decision,English,Home,No,E-books,On everyday basis,1
327,Male,22,CSE,1,To increase my English vocabulary knowledge,E-books,11-15,1-5,Biography,Increase Creative Thinking,Teachers,English,Library,No,Both,A few times a week,1
328,Male,23,CSE,1,Academic Purpose,Buy,11-15,11-15,Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,Yes,Both,A few times a week,1
329,Male,22,CSE,1,To increase my English vocabulary knowledge,Buy,,6-10,Non-Fiction,Increase Problem Solving Skill,Self-Decision,English,Home,No,Printed,On everyday basis,0
330,Male,22,CSE,2,Keep me informative,E-books,6-10,1-5,Fiction,Increase Creative Thinking,Self-Decision,Others,Home,Yes,Both,A few times a week,0
331,Male,23,CSE,1,Keep me informative,E-books,More than 20,More than 20,Others,Increase Creative Thinking,Self-Decision,Bangla,Home,Yes,Both,On everyday basis,0
332,Male,22,CSE,2,Academic Purpose,E-books,1-5,,Others,Increase Academic Performance,Teachers,Others,Library,No,E-books,On everyday basis,1
333,Male,22,CSE,1,Academic Purpose,E-books,6-10,1-5,Fiction,Increase Academic Performance,Teachers,Bangla,Home,Yes,E-books,A few times a month,1
334,Female,23,CSE,1,Academic Purpose,E-books,,,Fiction,Feel Relax,Teachers,Bangla,Home,No,E-books,Once or twice a year,1
335,Female,21,CSE,2,Entertainment Purpose,Buy,1-5,6-10,Others,Feel Relax,Self-Decision,Bangla,Home,No,Both,A few times a month,0
336,Female,22,CSE,2,Academic Purpose,Used-all,1-5,6-10,Others,Feel Relax,Self-Decision,Bangla,Home,Yes,Both,A few times a week,0
337,Male,22,CSE,1,To increase my English vocabulary knowledge,Borrow,11-15,,Others,Increase Creative Thinking,Parents,English,Library,No,Printed,A few times a week,1
338,Male,22,CSE,1,Entertainment Purpose,Borrow,1-5,1-5,Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,No,Both,A few times a week,0
339,Male,22,CSE,1,To increase my English vocabulary knowledge,E-books,1-5,1-5,Others,Increase Creative Thinking,Self-Decision,English,Home,Yes,Both,On everyday basis,1
340,Male,22,CSE,1,Keep me informative,E-books,11-15,11-15,Politics,Increase Creative Thinking,Self-Decision,English,Home,Yes,E-books,On everyday basis,1
341,Male,22,CSE,2,Keep me informative,Used-all,1-5,11-15,Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,No,Both,On everyday basis,0
342,Female,22,CSE,2,Keep me informative,Buy,6-10,1-5,Others,Increase Creative Thinking,Self-Decision,Bangla,Home,No,Printed,On everyday basis,0
343,Female,22,CSE,1,Entertainment Purpose,Borrow,More than 20,11-15,Fiction,Feel Relax,Friends,English,During Travel,Yes,Printed,On everyday basis,0
344,Male,22,CSE,1,Academic Purpose,E-books,More than 20,More than 20,Biography,Increase Creative Thinking,Self-Decision,English,Home,Yes,Both,On everyday basis,1
345,Male,23,CSE,1,Academic Purpose,Used-all,More than 20,,Others,Increase Problem Solving Skill,Self-Decision,English,Library,Yes,E-books,A few times a week,1
346,Male,22,CSE,1,Academic Purpose,E-books,More than 20,6-10,Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,No,Both,Once or twice a year,1
347,Male,22,CSE,1,Academic Purpose,E-books,6-10,6-10,Fiction,Increase Creative Thinking,Friends,Bangla,Home,Yes,Both,A few times a week,0
348,Female,22,CSE,2,Academic Purpose,Others,6-10,1-5,Others,Increase Creative Thinking,Self-Decision,English,Home,No,Printed,On everyday basis,1
349,Male,23,CSE,4,Academic Purpose,Used-all,,1-5,Others,Increase Problem Solving Skill,Self-Decision,Bangla,Home,Yes,E-books,On everyday basis,1
350,Male,22,CSE,1,Academic Purpose,Buy,11-15,More than 20,Fiction,Increase Creative Thinking,Self-Decision,English,Home,Yes,Both,A few times a week,1
351,Male,23,CSE,1,Academic Purpose,Others,11-15,,Politics,Feel Relax,Self-Decision,Bangla,Home,No,E-books,A few times a month,0
352,Male,23,CSE,4,Entertainment Purpose,E-books,1-5,1-5,Others,Increase Problem Solving Skill,Self-Decision,English,Library,Yes,Both,A few times a week,0
353,Male,23,MCT,2,Keep me informative,Others,,1-5,Others,Increase Creative Thinking,Self-Decision,Bangla,Home,No,Printed,A few times a week,1
354,Male,22,SWE,2,Entertainment Purpose,Buy,,More than 20,Fiction,Feel Relax,Self-Decision,Bangla,Home,No,Printed,A few times a week,0
355,Female,20,MCT,8,Entertainment Purpose,E-books,More than 20,,Fiction,Increase Creative Thinking,Self-Decision,English,Home,No,E-books,On everyday basis,0
356,Female,20,CSE,2,Academic Purpose,Others,6-10,6-10,Others,Increase Academic Performance,Teachers,Bangla,Home,Yes,Printed,A few times a week,1
357,Male,23,EEE,1,Academic Purpose,E-books,16-20,1-5,Non-Fiction,Increase Academic Performance,Self-Decision,English,Home,Yes,E-books,A few times a month,1
358,Male,22,Textile,1,Academic Purpose,Used-all,1-5,11-15,Others,Increase Academic Performance,Self-Decision,Bangla,Home,Yes,Both,A few times a week,1
359,Female,22,EEE,4,Keep me informative,E-books,16-20,1-5,Fiction,Increase Problem Solving Skill,Self-Decision,English,Home,Yes,E-books,On everyday basis,1
360,Male,22,EEE,2,Academic Purpose,Buy,1-5,1-5,Others,Increase Academic Performance,Self-Decision,English,Home,No,Both,A few times a week,1
